-6.5599e-05-0.00035745i,0.00070272+0.00034559i,-0.00079833+0.00073633i,-0.0017136+0.0014243i,-0.0011081+0.0022188i,-0.00065824+0.0021013i,-0.00063808+0.0016903i,-0.0012405+0.0012043i,-0.00096043+0.0015341i,0.00013623+0.0021753i,0.00051071+0.0014118i,-0.00025498-0.00022592i,-0.00027552-0.00071653i,6.9931e-05+1.9014e-05i,-0.00024104+0.00033103i,-2.4267e-05-0.00013138i,0.00027984-0.00035177i,0.0002443-0.00026015i,-0.00014377-0.00033783i,2.0677e-05+7.283e-05i,0.00049594+0.00036334i,0.0005076+0.00018317i,-0.00019736-0.00016888i
0.00055676+0.0006211i,0.00023512+0.00058107i,-8.2562e-05+0.00065789i,0.0001329+0.00047022i,-0.00029688+0.00014409i,-0.00083363-1.7969e-05i,-0.00099319-0.0005451i,-0.00054719-0.00062227i,-0.0004556-0.00025804i,-0.00074887-0.00030508i,1.3974e-05-0.00053468i,0.0012147-2.1378e-05i,0.0011789+0.00040965i,0.00016219+0.00043754i,-0.00029968+0.0002111i,0.0002244-0.00048677i,0.00080636-0.00019291i,-2.6068e-05+0.00078003i,1.3461e-05+0.00090838i,0.00073018+0.00023843i,0.00070368-0.00014432i,0.00012163-0.00021711i,-0.00045901+0.00028925i
0.00061518-0.0012089i,0.00030676-0.00095713i,-0.00039677-0.0010169i,-0.001847-2.0643e-07i,-0.0024743+0.00082317i,-0.0015542+0.00071282i,-0.00049499+0.00019639i,-0.00010905-0.00037783i,0.00011622-0.00047411i,0.00046427-3.28e-05i,0.00027531-0.00050957i,-2.444e-05-0.0006609i,0.00018895+0.00075331i,0.00020102+0.0015608i,7.1367e-06+0.0011357i,5.9817e-06+0.00036948i,-0.00013686+0.00036309i,-5.538e-05+0.00050036i,0.00012127+0.00049924i,1.0714e-05+3.0487e-05i,0.00028919-0.00041654i,0.00037438-0.00048117i,-0.00012515-0.00026725i
0.00067313+0.00029607i,0.0001679-0.00022008i,-0.0013235+0.00014637i,-0.0018424-0.00030649i,-0.0010845-0.0014696i,-0.00074549-0.00046129i,0.00022452+0.00094102i,0.00062813-3.0465e-05i,0.00031462-0.0012565i,-0.00024898-0.0005224i,-0.00056363-0.00051269i,0.00013141-0.00068516i,0.00021644+1.3908e-05i,0.00047407+0.00033953i,0.00080095+0.00038649i,0.00016463+0.00033774i,-0.00034068+0.00012465i,3.5811e-05-0.00015037i,0.00059295+0.00018573i,0.00052792+0.0003528i,-0.000229-1.0858e-05i,-0.00040433-6.879e-05i,-0.00018075-0.00016023i
-0.0016832+8.8605e-06i,-0.0020595+0.0014234i,-0.00078268+0.002335i,0.00020706+0.0018283i,0.00091559+0.00095717i,4.1493e-05+7.6799e-05i,-0.001232-0.0003545i,-0.0015726-0.00023379i,-0.0012889+7.1512e-05i,-3.6451e-05-0.00039142i,0.00062358-0.00028639i,-5.0422e-05+3.383e-05i,-0.00033731-0.00052422i,7.7827e-05-0.00057786i,0.00073489-0.00033224i,0.00079246-0.00025649i,0.00040016-4.0255e-05i,0.00088244+0.00050082i,0.00072571-0.00038227i,0.00015173-0.0014293i,0.00025582-0.0010666i,4.5295e-05-0.0003989i,-0.00031886+0.00019738i
0.0024634-0.0012647i,0.0023303-0.00085144i,0.00031062-9.5997e-05i,-0.0011421-0.00041063i,-0.001762-0.00037951i,-0.0011715+0.00050621i,0.00061998+0.00061863i,0.00021475+0.00088675i,-0.0001167+0.0016382i,0.00016246+0.0011875i,7.6703e-05-0.00022218i,-0.0001623-0.0005689i,-0.00023312-4.615e-05i,-7.5993e-05-3.3384e-05i,-0.00043485-7.2277e-05i,-4.1211e-05+0.00026364i,0.00041318+7.6858e-05i,0.00049933-0.00049883i,0.00076721-0.00047025i,0.00063895-0.00049681i,0.0004116-0.00092325i,-5.3079e-05-0.0010569i,2.0412e-05-0.00070856i
-0.0017276-9.5314e-05i,-0.003031-0.00027047i,-0.0017571+0.00071218i,-0.00096744+0.0013764i,-0.0013126+0.0011415i,-0.00098387+0.0013497i,-0.00034797+0.00079482i,-0.00078462-0.0002699i,-0.0014049-0.00053315i,-0.0011868+0.0001153i,-0.00023623+0.00056342i,-0.00011645+0.00069331i,0.00030335+0.00080192i,0.001128+0.00065742i,0.00063211+0.0003304i,-7.6289e-05+0.00034605i,-0.00010531+0.00047322i,0.00070613+0.00073638i,0.0014588+0.00037032i,0.0010049-0.00030086i,0.00032265-0.00012655i,8.1864e-05-0.00024905i,0.00053733-0.00077079i
0.00099774+8.3727e-05i,0.0020626+0.0010659i,0.0014044+0.0017489i,0.00010293+0.0017064i,-0.0011651+0.00091344i,-0.0019437+9.9908e-05i,-0.0017048-0.00040474i,-0.00077924-0.0012082i,-2.3256e-05-0.0018671i,0.00046384-0.00090326i,0.00025482-0.00017354i,-0.00070056+0.00025783i,-0.00070181+0.00042688i,1.6027e-05+0.00067832i,0.00016527+0.0006926i,-0.00029292-0.00020054i,-0.00036238-0.00047073i,-0.00028546-9.4914e-05i,-0.00053558-9.3108e-05i,-0.00041573+0.00036882i,0.00017214+0.00016423i,0.00066847-0.00053334i,0.00055534-0.00056032i
-0.0033399-0.00060735i,-0.0039394+0.00056233i,-0.0027905+0.0019181i,-0.0025676+0.0026759i,-0.0016547+0.0021437i,0.00058782+0.0007832i,0.0011082-0.0003763i,0.00015866-0.0010643i,-0.0010158+0.00011771i,-0.00093956+0.0011632i,-0.00011735+0.0015487i,0.00021362+0.001498i,3.1907e-05+0.0012944i,-9.2871e-05+0.00062867i,0.00083517+0.00010118i,0.0014627+0.00014139i,0.00067208-0.00061898i,0.0005042-0.00077605i,0.00091331+4.5104e-05i,0.00073851-0.00015878i,0.00047996-0.00032411i,3.8661e-05+0.00022948i,5.9512e-05+0.000344i
0.0009675+0.0021868i,0.0011563+0.0017867i,0.0010262+0.0010258i,0.0013979+0.00042718i,0.0014477+0.00081708i,5.3142e-05+0.00055772i,-0.0013864-3.8247e-06i,-0.0015506+0.0004096i,-0.0012648+0.0010759i,-0.00095311+0.0011248i,4.8253e-05+0.00044275i,0.00032988+0.00026399i,-0.00030544+0.00039336i,0.00022492+0.00038648i,0.00022889+0.00070597i,-0.00023125+0.00039116i,1.8048e-05+0.00031454i,0.00049682+0.00029675i,0.0012217+0.00029166i,0.0018178+0.00039478i,0.0010158+4.3797e-05i,0.00028928+5.7976e-05i,0.00037412+0.00045843i
-0.0004728-0.0012602i,-0.00090318-0.00023025i,-0.00079825+0.0013888i,-0.00094133+0.00168i,-0.0013188+0.00043499i,-0.00042692+5.2847e-06i,0.00054576+0.00051629i,0.00035834+0.000235i,-0.00038279-0.00016362i,-0.00043242+0.00032383i,-0.00011016+0.0010395i,-0.000333+0.0016225i,-0.00096019+0.0011524i,-0.0014192+0.00037804i,-0.00094845+0.00024973i,-0.0003686+0.00021347i,-8.1233e-05+0.0002913i,-7.8499e-05+4.0592e-05i,0.00032749-0.00041411i,0.0005606-0.00048521i,0.00068149+0.00033449i,0.00030649+0.00052253i,-7.5096e-05-0.00012721i
0.0020341+0.0011678i,0.00097064+0.00056833i,-8.8292e-05-0.00031418i,-0.00058243-0.0008274i,-0.0010115-0.0010854i,-0.00058927-0.00040344i,-0.00048126+0.00081531i,-0.00080133+0.00044395i,-0.00055+0.00027824i,-0.00034741+0.0010987i,-0.00033679+0.00019004i,-0.0004747-0.00076054i,-0.00087605-0.00066707i,-0.00050989-0.00039743i,-0.00023538+0.00054458i,0.00014+0.00097329i,0.00088196+0.0011026i,0.00078692+0.00087045i,0.0003419+0.00019237i,0.0001509-0.00015135i,0.00020325-0.00040158i,5.5023e-05-0.00012187i,-0.00058709+0.00047429i
0.00021459-0.0019537i,-0.00078088-0.0011718i,-0.00069276+0.00023887i,-0.00097326+0.0012918i,-0.0015095+0.0011899i,-0.0013148+0.0013662i,-0.00041084+0.00064898i,0.00023236-0.00085263i,6.9089e-05-0.0009149i,0.00016517-0.00011536i,-0.00038777-8.101e-05i,-0.00092378-0.00030733i,-0.00064631+1.6181e-05i,-0.00031405-6.0417e-05i,-0.00019197-0.00013634i,9.2274e-05+6.6281e-05i,-0.00013182-0.00038048i,-0.00062565-0.0001849i,-0.00042932+0.00021513i,-0.00034294-0.00037439i,-0.00051913-0.0013206i,-0.00030408-0.0013525i,0.00040773-0.00020026i
0.0011279+0.0022258i,0.0013955+0.0024428i,0.00024666+0.0019252i,-0.000945+0.0010508i,-0.00098897+0.00049503i,-0.0015223+0.00058319i,-0.0013407+0.00064613i,-0.00066779+0.0009871i,-0.00019069+0.0010992i,0.00015763+0.00049658i,-0.00012644+0.00064913i,-0.00022827+0.00060636i,-5.318e-05+0.00032794i,-0.00014213+0.0006654i,-0.00026715+0.00044452i,0.00019786+7.4347e-05i,0.00086619-0.00019342i,0.0010661-0.00032589i,0.00049981-0.00049129i,0.00075362-0.00056971i,0.0012387+9.2213e-05i,0.00099913+0.0004203i,0.00066265-0.00014828i
0.0010951-0.0021956i,-0.00025149-0.0013991i,-0.0013967-0.00049791i,-0.0015823-0.00078035i,-0.0016464-0.00060143i,-0.0019676+0.00050115i,-0.0011785+5.6034e-05i,-0.00028854-0.0009224i,-0.00073151-0.00085465i,-0.0010218-0.00038151i,-0.00084256-0.00015941i,-0.00084527+0.00015627i,-0.00076659+0.00058282i,-0.000686+0.00054308i,-0.00057034+0.00039152i,-0.00021068+0.00049704i,5.7805e-05+0.00039631i,0.00024519-0.00024191i,0.00028801-0.00020032i,0.00014198-8.2305e-05i,0.00039163-0.00023303i,0.00083581-1.6859e-05i,0.00047142-0.00030778i
-8.8818e-05+0.0011906i,-0.00045921+0.00075185i,-0.00025806+0.0007762i,0.00064994+0.001174i,8.6111e-05+0.0010344i,-0.00074589+0.00028815i,-0.00015359+9.7101e-05i,0.00044296+0.00011436i,-0.00029274-0.00014305i,-0.00084281-0.00045468i,-0.00088284-0.00048189i,-0.00059282-0.00023551i,-4.182e-05+0.00018676i,0.00012868+0.00044527i,3.963e-05+0.00028779i,0.00022119-0.00045117i,0.00058593-0.00064337i,0.0011794-0.00041958i,0.0012253-0.00039141i,0.00082512-0.00073791i,0.0010373-0.00089884i,0.0016477-0.00041752i,0.001103+0.00062277i
0.0012493-0.0022255i,0.00085892-0.0015631i,0.00069722-0.00038758i,0.00015653+0.00021509i,0.00019123+0.00030617i,0.00014687+0.00049827i,-0.00094187+3.0312e-05i,-0.0011801-0.00047608i,-0.00044532+0.00016319i,0.00022691-4.8398e-05i,-0.00030729-0.00070196i,-0.00081263-0.00022877i,-0.00045663+0.0010662i,-0.00077477+0.0016682i,-0.00047891+0.0012287i,0.0011563-3.5776e-05i,0.0010499-0.00072065i,0.00081773-0.00022321i,0.00081114+0.00042525i,0.00089756+0.00068406i,0.00019639+0.0007468i,-0.00055758+0.00030344i,-0.00080653-0.00031002i
-3.1478e-05+0.0016507i,-0.0010618+0.0012525i,-0.00033137+0.00025104i,0.00021485-5.3911e-05i,-8.173e-05-4.984e-05i,-0.00025167-0.0001175i,-0.00051336+0.0003115i,-0.00025509+0.0011632i,-8.2212e-05+0.00075855i,0.00024452+5.3629e-05i,0.00020516-0.00014045i,-0.00046156+0.00038141i,-0.00022717+0.00055434i,0.00062424-0.00022598i,0.00073255-0.00011542i,0.00030586+0.00010991i,0.00014081+0.00012328i,0.00039572-0.00017861i,0.00089713-0.00048657i,0.00086772-0.00063048i,0.0007798-0.001116i,0.00085554-0.00092536i,8.5262e-05-0.00012069i
0.00013665-0.00063122i,-0.00034917-0.00031628i,-0.001112-0.00013359i,-0.0013493-0.00075204i,-0.0011497-0.00014812i,-0.0008746-0.0002197i,-0.00046615-0.00045195i,-0.00011171-0.00024739i,0.00013714+0.00080822i,8.2457e-05+0.0014086i,-0.00053902+0.00047895i,-0.0011661+0.00016587i,-0.0006372+0.00010192i,0.00025593-0.00028858i,1.5174e-06-0.00038415i,0.00050573-0.0004412i,0.0014502-0.00039802i,0.0016963+0.00051347i,0.0015064+0.00036026i,0.00054602-0.00038293i,-0.00029138-0.00041696i,-0.00045785-0.00056218i,-0.00039099-0.00079033i
-0.0017641+0.0025401i,-0.00090505+0.0018867i,0.00059273+0.0019157i,0.0011314+0.0016782i,0.00083272+0.0014254i,0.00026036+0.00092199i,-0.00071238-9.1332e-05i,-0.0012637+0.00048419i,-0.00053563+0.0011238i,0.00055447+0.00088498i,0.00035016+4.4631e-05i,0.00027736-0.00090125i,1.8513e-05-0.00081113i,-0.00023436-0.00092882i,-0.00033366-0.00074961i,-0.00084144-1.0186e-05i,-0.00030038+3.9298e-05i,0.00036942+0.00028397i,0.00053704+0.00047859i,0.00011276+0.00098836i,-0.00056804+0.0009403i,-0.00042006+0.00012781i,-0.00011712-9.0128e-05i
0.0017649-0.0017701i,0.00013547-0.0011078i,-0.00032144-0.00086023i,-0.00053427-0.00046521i,-0.0013232-0.0001831i,-0.00095801+0.00072438i,-5.9864e-05+0.00092499i,-1.1838e-05-3.9333e-05i,-0.00014333-0.00023834i,0.00015669-7.8445e-05i,-0.00039774-0.00013058i,-0.00079827+0.0001517i,-0.00024535+0.00055864i,-7.6319e-05+0.00068255i,-0.00021202+0.00039656i,-0.00011549-0.00032523i,0.00045133-0.00052924i,0.0010755-0.00024115i,0.00034025+0.00028754i,-0.00055703-6.7044e-06i,-0.00058255-0.0003135i,-0.00047987-0.00044926i,-0.00032964-0.00056501i
0.0011385+0.0015491i,0.0021445+0.0011665i,0.0027226-0.00014508i,0.0021157-0.0028155i,0.0004782-0.003035i,-0.0013485-0.0014677i,-0.0019856-1.0306e-05i,-0.0011735+0.00078517i,0.00017055+0.00099429i,-3.0977e-05+0.0010024i,-0.00057737-4.1805e-05i,-0.00038555-0.00051175i,0.00023599-0.00020272i,-0.000139+0.00010899i,4.2537e-07+0.0002234i,0.00036665+1.0219e-05i,0.00023945+0.00069284i,0.00045129+0.00091313i,0.00088285+2.4556e-05i,0.00070226-0.0004779i,0.00061636-0.00057415i,0.00079655-0.00037698i,0.00065978+0.00016856i
-8.7144e-05-0.0019085i,-0.00034027-0.00068805i,-0.0011271-0.00030096i,-0.0014985+0.00089896i,-0.0016851+0.0017345i,-0.0012233+0.0016811i,-0.00057088+0.00020015i,-1.8046e-05-0.0010457i,-8.1474e-05-0.00055176i,-0.00058272+0.00039275i,-0.00035346+0.00053868i,0.00036458+0.0001579i,0.0002341+0.00027196i,-0.00024489-0.00022173i,8.4877e-05-0.00062053i,5.041e-05-0.0002294i,-0.00014675-0.00014862i,0.00034301-0.00023715i,0.00028837-0.00091093i,0.00013964-0.0014961i,0.00025719-0.00077773i,0.00038836+3.6797e-05i,0.00022029+9.7667e-05i
0.0012971+0.00047632i,0.0010847-1.0763e-05i,0.0010009-0.00058336i,0.00022169-0.0020744i,-0.0012188-0.0022252i,-0.0023925-0.0011441i,-0.0020169-0.0009234i,-0.00085313-0.00077892i,-0.00070795-4.7172e-05i,-0.00021605+0.00036058i,-5.0531e-05+0.00061292i,-0.0010656+0.00083574i,-0.0013826+0.00059419i,-0.0014694-1.3835e-05i,-0.00090054+0.00011486i,0.00010124+0.00078078i,0.00012929+0.00084417i,0.00016277+0.00049394i,0.00046986+0.00018006i,0.00061293-7.0094e-05i,0.00045793-2.9777e-05i,-1.6133e-06+0.00036899i,-0.00024429+0.00084593i
-0.00036985+2.9663e-06i,-0.0020769+0.00045878i,-0.0024275+0.0010109i,-0.0014222+0.0015757i,1.6342e-05+0.0014812i,-0.00024676+0.00061166i,-0.00051469+3.9782e-05i,-0.00055909-0.00030371i,-0.00076482-0.00029486i,-0.00033764-0.00044952i,3.8856e-05-0.0010148i,-0.00018039-0.0011472i,-7.8498e-05-0.00095347i,-2.218e-05-0.0007704i,-0.00020038-0.00071047i,0.00026517+0.00049019i,0.00034858+0.0011116i,0.00010103+0.00065888i,0.0005343+0.00061186i,0.00042006+0.00023296i,0.00025346-0.00076231i,-0.00012264-0.0011108i,-0.00052828-0.00039498i
-0.0001774+0.0029839i,0.0013906+0.0017559i,0.0028762+0.00068323i,0.0015942+0.00028882i,-0.00097889-0.00036101i,-0.0011956-0.0006242i,-0.00073246-1.9616e-05i,-0.00079766+0.00085551i,-0.00066094+0.0011607i,-0.00041188+0.00042649i,-0.00018189+6.5743e-05i,-0.00041226+7.6528e-06i,-0.00032263+0.00010332i,-0.00017971+0.00029527i,-0.00063624+0.00014442i,-0.00041962+0.00012158i,-0.00049187-0.00027828i,-0.00040773-0.00071907i,-0.00014299-0.00034029i,0.00023595-0.00055052i,0.0005189-0.0015542i,0.00012655-0.0014126i,-0.00026668-0.00049602i
-0.0011537+3.2373e-05i,-0.00096771+0.00037303i,0.0010208+0.00060839i,0.00073349-0.00014921i,-0.00053292-0.0011798i,-0.00050027-0.0011689i,-0.00023947-0.00019577i,-0.00017972-0.000374i,-0.00031769-3.6567e-05i,-0.0004165+0.00043823i,0.00033813+7.2844e-05i,0.00094822-0.00014332i,0.0011556+0.00017417i,0.00041111+0.00026622i,0.00023816+0.00012502i,0.0010613+0.00059711i,0.0014656+0.00084377i,0.0010722+0.00070361i,0.00022233+0.00064956i,-0.00042242+0.00014142i,-0.00056721-0.00018757i,-0.00023197-1.8875e-05i,0.00025965-6.0766e-05i
0.0006422+0.00075501i,0.00022925+0.0011869i,-0.00039324+0.001188i,-0.00081941+0.0011669i,-0.00090711+0.00092789i,-0.0013539+8.3862e-05i,-0.0016634+0.00018598i,-0.0014236+0.0011363i,-0.00077899+0.0010696i,1.495e-06+0.00040515i,-0.00029874+7.0091e-05i,-0.00013266+0.00047525i,0.00017818+0.0012019i,-0.00031199+0.00068962i,-0.00012124+0.00038612i,9.0624e-05+0.00067213i,0.00026625+0.000141i,0.00066864+0.00015005i,0.00069257+0.00030683i,0.00027179-0.00034559i,0.00029199-0.0010135i,0.00096966-8.2769e-05i,0.0010316+0.00081837i
-0.00052104+7.4491e-05i,-0.00084643+0.0011115i,-0.00063527+0.0015745i,-0.00044394+0.0010149i,-0.00076907+0.00038673i,-0.00057159+0.00062259i,0.00012643+0.0003108i,-0.00092793-0.00021582i,-0.0020531+0.00019222i,-0.0014755+0.00092534i,-0.0013962+0.00030904i,-0.0013913-0.00040703i,-0.0002014+0.00028519i,0.00068917-0.00023314i,0.00095973-0.00041227i,0.00096931+0.00025633i,0.00059526+7.6621e-05i,0.0001759-0.00061594i,0.00057655-0.00069071i,0.00088533-0.0004919i,0.00029095-0.00043761i,-0.00062265+0.00010821i,-0.0009857+0.00055121i
0.00065681-6.9937e-05i,-8.9785e-05+0.0012313i,-0.00049114+0.0014965i,-0.00043512+0.0015784i,-0.00054047+0.0017385i,-0.00087105+0.00097706i,-0.0011624+0.00039475i,-0.00061066-0.00058346i,-0.0011103-0.00053859i,-0.0016766+0.00057408i,-0.0012334+0.00053892i,-0.00056844-0.00019202i,-9.8993e-05+0.00023128i,-0.00010605+7.1601e-05i,-0.00015371-0.00065324i,-0.00041126-0.00084742i,-0.00057732-0.00080204i,0.00011172-8.3403e-05i,0.00023136-0.00076419i,9.5685e-06-0.0012455i,-5.9593e-06-0.00068973i,-0.00044303-0.00029689i,-0.00027234-5.2093e-05i
-0.0018383+0.0011882i,-0.00084175-0.00011026i,7.3799e-05-3.5014e-05i,-1.2873e-05+0.00073644i,-0.00036777+0.00055504i,-0.0012311+0.00069214i,-0.0011407+0.00059004i,-0.00058934+0.00042479i,-5.6575e-05+0.00075733i,0.00069194+0.00094924i,0.00049891+0.00048624i,0.00011472-0.00010664i,-0.00035185-7.0468e-05i,-0.00038425+0.00024686i,-0.00015286-0.00011521i,4.5553e-05-0.00015646i,0.00039853+0.00050906i,0.00096853-6.2747e-05i,0.00082211-0.00031947i,-0.00010685-9.5502e-05i,0.00016966-0.00046744i,0.00071534-0.0003803i,-5.5951e-05-2.9254e-05i
-0.002079+0.00050706i,-0.0016298+0.0011759i,-0.001011+0.0019629i,-0.00027908+0.0022441i,0.00070503+0.00159i,0.0012572+0.00045525i,0.00068537-0.0003418i,-0.00082257-0.00053318i,-0.0018505-1.0363e-05i,-0.00091376+0.00082222i,-7.5456e-06+0.00071578i,-0.00050946-4.4616e-05i,-0.00025859-7.3139e-05i,0.00090258+0.00074196i,0.00023648+0.00091973i,-0.00039155+0.00036993i,4.2862e-06-0.0002265i,0.0004782-0.0002127i,0.00090595-0.00021984i,0.0010488-0.00041907i,0.00084173-0.00080057i,0.0010976-0.00098295i,0.0009962-0.00089821i
