-0.0018036-0.00036965i,-0.0022803-0.00070575i,-0.0032464-2.1611e-05i,-0.0021031+0.00027628i,-0.0012227-0.00026732i,-0.0009699-0.00019354i,-0.00027172-0.00015972i,0.00017207-0.00012238i,-0.00055826+0.00030197i,-0.00073435+0.00011854i,-0.00062527-0.00025461i,-0.00045482-0.00056303i,-0.00025809-0.00066406i,-0.00012306-0.00038464i,-0.00037269+0.00035913i,-0.00057008+0.00070166i,-0.00059278+0.0008731i,-0.00083565+0.00040774i,-0.00048005-0.00029513i,0.00038698-0.00071288i,-4.5594e-05-0.00040588i,-0.00091929+7.6484e-05i,-0.00015894+0.00024895i
-0.0009042-0.000214i,-0.0019516-0.001754i,-0.0021252-0.0030133i,-0.0023163-0.0022378i,-0.0017164-0.00084238i,-0.0010707-0.0011507i,-3.0026e-05-0.0010137i,0.00022886-0.000525i,-0.00062131-0.00056386i,-0.00077486+8.0378e-05i,-8.7756e-05+0.00027677i,0.00016651+0.00041929i,-0.00032125+0.00049324i,-0.00059181+0.00016624i,-0.00064279+0.00035829i,-0.00024951+0.00010103i,-5.319e-05-0.0014755i,-0.00019023-0.0016641i,-0.00090176-8.7058e-05i,-0.00091355+0.00023542i,-0.00012906+2.7992e-05i,0.0008-0.00027272i,0.00076722-0.00054372i
0.0019044-0.00071305i,0.0010279-0.0014066i,-0.00076444-0.0015589i,-0.0028627-0.0017978i,-0.0034065-0.0020967i,-0.0022392-0.00085979i,-0.00039424+0.00013698i,0.0010864-0.00030026i,0.00054072-0.00061892i,-0.0010578-0.00064067i,-0.00071979+0.0002316i,-0.00010319+0.00043572i,-0.00037472-0.00010005i,-0.00073508-2.7965e-05i,-0.0005673+0.00054237i,0.00018841+0.00035704i,0.0012847+1.1483e-05i,0.0013373+0.00035593i,-7.3258e-05+0.0011859i,-0.00032784+0.0010696i,8.0767e-05+0.00069658i,-0.00016676+0.00047605i,-0.0003805-0.00048811i
-0.00043176-0.00045177i,-0.0011188-0.00090806i,-0.0021294-0.00099411i,-0.0026692-0.0010051i,-0.0027512-0.00028745i,-0.002525+2.8677e-05i,-0.0018845+6.5382e-05i,-0.00082658+0.00016427i,-0.00070908-6.2589e-06i,-0.0013994+1.8388e-06i,-0.0012139-0.00015017i,-0.00041556-0.00062552i,-0.00041701-0.00090557i,-0.00056937-0.00023948i,-0.00029581+0.00044584i,-1.1076e-05+0.0004734i,0.00048505+0.00054334i,0.0002168+0.00043862i,-0.00022304+2.148e-05i,0.00030272-0.00047623i,0.00042989+0.00012266i,0.00032723-0.00017118i,0.00036687-0.00086689i
0.00013948-0.0015322i,-0.0017157-0.0028094i,-0.0031212-0.0040736i,-0.0031803-0.0028342i,-0.0028636-0.0014003i,-0.0020358+0.00017169i,-0.0012335+0.00092379i,-0.0010012-9.5266e-05i,-0.0010749-0.00076607i,-0.0012042-0.0005784i,-0.00097916-0.00045536i,-0.00064054-0.00071164i,-2.7014e-05-0.00031213i,0.00060556+4.3897e-05i,0.0012868+0.00058719i,0.00066291+0.0012034i,0.00015905+0.00024784i,0.00012195-0.00078736i,-0.00023063-0.00048824i,2.8843e-05+0.00013924i,-0.00042721+0.00041489i,-0.0001648+0.00089544i,0.00073056+0.00027095i
0.0029543-0.0016191i,0.0014161-0.0019626i,-0.000472-0.0025717i,-0.0018825-0.0023397i,-0.0023104-0.0018709i,-0.0014707-0.0018202i,-0.00033609-0.0010129i,1.2151e-05+0.0002347i,-2.8214e-05+0.00040253i,-0.00076775+0.00023854i,-0.00065572-0.0004127i,-5.3264e-05-0.00079654i,5.3612e-05-0.00050657i,-5.42e-05-3.3216e-05i,-0.000144+2.1249e-05i,-0.00034176-0.00082366i,-0.00010579-0.0012571i,0.00031752-0.00062845i,0.00017855-2.1069e-05i,0.00067356-0.00018543i,0.00051265+0.00030227i,-0.00045117+0.00084119i,-0.00083751+0.00068651i
2.3519e-05-0.0015206i,-0.0016839-0.001809i,-0.0035489-0.0022331i,-0.0022973-0.00093797i,-0.0016864+0.00086172i,-0.0016214+0.0014477i,-0.00019831+0.0016934i,0.00025046+0.00075129i,-0.00064309-0.00048654i,-0.0015878-0.0014658i,-0.0015953-0.0014064i,-0.0006577-0.00041514i,-0.00040783+0.00029734i,0.00012413+0.00058721i,0.0012085+0.00027599i,0.00093162+0.00049499i,8.4307e-05+0.0004044i,0.00055175-0.00013435i,0.0016031+0.00038495i,0.001209+0.00030653i,0.00052055-0.00033638i,0.00033144-0.00090657i,0.00054459-0.0006558i
-5.8467e-05-0.0014608i,-0.00054849-0.0025237i,-0.0017355-0.0022782i,-0.0021118-0.0020504i,-0.0016706-0.00098591i,-0.0010836-0.00011807i,-0.0013201+0.00030533i,-0.0013913+0.00020045i,-0.0015354+0.00040167i,-0.001375+0.00064141i,-0.00079137-6.1129e-05i,-0.00015279-0.00058662i,1.8414e-05-0.00024315i,0.00018762+0.00016804i,0.00051991+0.00026862i,0.00019055-0.00051291i,0.00026783-0.001085i,0.00029856-0.00019133i,0.00046417+0.00073646i,0.00055716+0.00095425i,0.00029158+0.00086934i,0.00017338+0.00089705i,0.00015761+1.9099e-05i
-0.00028128-0.00086199i,-0.00046138-0.0006676i,-0.00093624-0.0010317i,-0.0020036-0.0010731i,-0.002167-0.0012096i,-0.0017667-0.00075592i,-0.0016899+0.00035733i,-0.00095079+0.00044763i,-0.00044312+0.0004327i,-0.00095584+0.00056284i,-0.00060013+0.00029641i,-0.00015221-2.2671e-05i,0.0001061-0.00043992i,0.00036323+0.0001156i,0.00021181+0.00083074i,0.00032883+0.0001697i,0.00021347-0.00014808i,-0.0002842-0.0001027i,-0.0002087+0.00035003i,-4.2372e-05+0.00062358i,-0.00033029-0.00037126i,-0.00077395-0.0010027i,-0.00039036-0.00085371i
-0.001875-0.00080749i,-0.0022364-0.0016924i,-0.0029581-0.0014647i,-0.0024904-0.00071112i,-0.0014269-0.00062652i,-0.00095515-0.00049524i,-0.00086441+0.00053238i,-0.0012343+0.00032745i,-0.0013051+0.00015706i,-0.0006143+0.00038614i,0.00066138-3.0067e-05i,0.00020903-0.0002169i,-0.00052431-0.000458i,-0.00031234+7.7325e-05i,0.00015328+0.00011783i,0.00016465-0.00018824i,-0.00063646+0.00040301i,-0.0008548+0.00089606i,-0.00019602+0.00042267i,-0.00028548-8.0533e-05i,-0.00077462+7.2176e-06i,-0.0004075-7.2043e-05i,0.00043444-0.00038298i
