0.0017697+0.00037413i,0.0023077+0.00023262i,0.0016645-0.00050697i,0.00079809-0.0013094i,-3.2861e-05-0.0012484i,-0.0013722+0.00053276i,-0.00097289+0.0021121i,0.00045267+0.0020311i,0.0014106+0.00092522i,0.0012168+0.00073375i,0.00033447+0.00035543i,0.00037435-0.00049215i,0.0006042-8.4293e-05i,0.00018748+0.00014413i,0.00032751+0.00016377i,0.00022878+0.00094172i,-0.00075398+0.00073361i,-0.0010804+5.7086e-05i,-0.00097259-0.00022233i,-0.001125-0.00018134i,-0.0014218+0.0001373i,-0.0015564+0.00029791i,-0.0014818+0.00026976i
0.0002815+0.00088489i,0.00096827+0.00043106i,0.0012888-0.00046382i,0.00064266-0.00044368i,0.00015683-0.00024971i,0.0004383-0.00067917i,0.0012573-0.00056755i,0.0018295-3.5855e-05i,0.0016791+2.774e-05i,0.0010168-0.00023921i,0.00021298+0.00014648i,-0.00049114+0.00096041i,-0.00093527-0.00027348i,-0.00082446-0.001404i,-0.00054477-0.00072614i,-0.00067714-0.00043278i,-0.00079777-6.6995e-05i,-0.00043195-6.9772e-05i,2.0312e-05-0.00023643i,0.00033082-0.00018135i,0.00013327+0.00037841i,-0.00068807+0.0005828i,-0.00079516+0.00065173i
-0.00069048+3.619e-05i,0.0015662-0.00076879i,0.0017772-0.00039924i,0.0016772+0.00067038i,0.0014223+0.0011706i,0.0010494+0.0011074i,0.0012678+0.0009993i,0.00063984+0.00061534i,-0.00017889+0.00046959i,-0.00029312+0.00029137i,-0.00043301+0.00046679i,-0.00027204+0.00050234i,-6.4557e-05-9.6907e-05i,-0.00025038-1.8889e-05i,-0.0002615-9.4534e-05i,-0.00034762+9.5559e-05i,-0.00066836+0.00063502i,-0.00063982+0.0007841i,-0.0008209-0.00018483i,-0.00081736-0.00056745i,-0.00026847-9.1842e-05i,8.3651e-05-6.5392e-05i,-0.00056898-0.00027885i
0.00050789+0.0012358i,0.0012944+8.6604e-05i,0.0025713-0.001027i,0.0021093-0.0017692i,0.0004863-0.0017579i,-0.00013777-0.00066161i,0.00037511-3.5594e-05i,0.00073155-7.3172e-05i,0.001315-9.0947e-05i,0.0010336+0.00019631i,0.00022235-6.636e-05i,0.00027191-0.00034467i,-2.3811e-05-0.00016361i,-0.00011483+0.00030346i,-1.9133e-05+0.00083141i,-0.00067936+0.00047677i,-0.00081775+0.00040291i,-0.00070854+0.00038759i,-0.00059316+0.0002868i,-0.00065934+0.00052351i,-0.00034637+0.00073959i,0.00044093+0.00047857i,0.00082861-0.00068327i
-0.0021068-0.00011571i,-0.00094786-0.0010405i,0.00039329-0.00069292i,0.0010285-5.7634e-05i,0.0010811+0.00020196i,0.0016338+0.00070625i,0.0011474+0.00074567i,0.00066776+0.00069854i,0.0014516+0.00092378i,0.0012443+0.0012876i,0.0010141+0.00064538i,0.00074271-0.00023146i,5.8838e-05-0.00046952i,-0.00042495-0.00092371i,-0.00091009+8.2316e-05i,-0.0013222+0.00052542i,-0.0010417-0.00038419i,1.1952e-05-0.00059286i,0.00045568-0.00053974i,0.00075587-0.00023988i,0.0010793+0.00019321i,0.00086073+0.00034245i,0.00059372+0.00075616i
0.0015512+0.0030405i,0.0024551+0.0021428i,0.0027778+0.00034776i,0.0025191-0.00081465i,0.0010684-0.0015798i,-0.00061393-0.0011494i,-0.00051569-0.00016639i,0.00040508+0.00049506i,0.00072813+2.6241e-05i,-0.00011711-1.3707e-05i,-0.00073158+0.00036736i,-2.0572e-05+0.00017149i,0.00045284+0.00024984i,0.00011169-1.0948e-05i,-8.2984e-05+1.6404e-05i,-0.0002977+0.00022044i,0.00019293+0.00060993i,0.00057406+0.0010409i,-0.00011797+0.00069955i,3.5736e-05-0.00021431i,0.00051006-0.00066054i,0.00036787-0.00040776i,-0.00013255-0.00037461i
0.00030916-0.0016352i,0.0002764-0.00068054i,0.001439-0.0005895i,0.00184-0.00035862i,0.0011872+0.00024615i,0.00036179-4.0245e-05i,0.00028538-0.00042581i,-0.00018118-0.00076237i,-0.00017886-0.00099394i,7.8748e-05-0.00015329i,-0.00010625+0.00069111i,-0.00033616+0.00057984i,5.5329e-05-0.00019623i,-0.00024942-0.00057659i,-0.00057635-0.00031282i,-0.00066716-0.00021952i,-0.00040912-0.00014472i,0.00011341-7.0489e-05i,-0.00023031+2.8295e-05i,-0.00025717-2.1442e-05i,0.00032673-0.00014082i,0.00053251-5.98e-05i,0.00030081-0.00014081i
0.00079016-1.8497e-05i,0.0018826+0.00051283i,0.0014798+0.00022912i,0.00097092+0.00047593i,0.00085176+0.0004646i,-5.6071e-05-6.1789e-05i,-0.00068756-0.00087171i,-0.0001167-0.00023567i,0.00060348+0.0001315i,0.0006306+0.00011489i,0.00035514+0.00044237i,0.00032798-0.00016799i,-0.00077857-0.00049859i,-0.0013368-0.00019263i,-0.00058739-0.0009759i,1.4206e-05-0.0003273i,9.1537e-05+0.00035629i,-0.00023336-0.00050228i,-0.00016369-0.00094466i,0.000172-0.00081919i,4.1572e-05-0.00070253i,-3.3792e-05-0.00032309i,-0.00027511-0.00010103i
0.00026851-0.00096159i,0.0015502-0.001255i,0.0015906-0.0011171i,0.0010194-0.0011854i,0.00050309-0.0011259i,0.00040423+0.00058522i,-0.00021495+0.0010491i,-3.4111e-05-0.00060239i,0.0010483-0.00091883i,0.0008653-0.0001243i,0.00056702-9.7941e-06i,0.00086324+1.1557e-05i,0.00095053+0.00034039i,0.00057631+0.00048987i,0.00046158+0.00012598i,0.00041914-0.00030607i,-0.00051434+0.00051459i,-0.0012959+0.00089923i,-0.001257+0.00046163i,-0.00012361+2.3911e-05i,7.2959e-05-0.00033173i,-0.00029519-0.00047968i,-0.00020613-3.8454e-05i
0.00092179+0.00075404i,0.0014441+0.0012241i,0.0017997+0.00074625i,0.0012506-0.00044155i,-0.000195-0.0011135i,-0.00091767-0.00061139i,-0.00012531-9.9317e-05i,0.00071563+0.00049853i,0.00056117+5.1867e-05i,0.00041639-0.001085i,3.7924e-05-0.00060851i,0.00057213+0.00036969i,0.0010406+0.00022854i,0.00061296+0.00025608i,-0.00046198+0.0005894i,-0.0011973+0.00046391i,-0.00025639+0.00021697i,-0.00017931+0.00038379i,-0.00079764+5.9802e-05i,-0.0002749-0.00043682i,1.0298e-05+0.00033305i,-0.00021689+4.4282e-05i,1.3421e-05+0.00011819i
-0.00052279-0.0012343i,0.00028914-0.0019307i,0.00021311-0.0015509i,-0.00054579-0.0011524i,-0.001051-5.4951e-05i,-0.00025343+0.00099355i,0.0015718+0.0010347i,0.0020177+0.00092463i,0.00126+0.00096567i,0.00064332+0.00026383i,0.00042067-0.00041508i,0.00019264-0.00024539i,-0.00085739-0.00055212i,-0.00022992-0.00083015i,0.00018178-0.00048785i,-0.00031815-0.00019924i,-0.0009356+4.843e-05i,-0.0011734+0.0004808i,-0.00032563+0.00026774i,0.00029862-0.00028727i,0.00042485-0.00023876i,0.000526-0.00034283i,0.0005802-0.0006967i
-0.00014192+0.00075363i,0.0011802+0.00074394i,0.0016556+0.00095287i,0.0014138+0.001161i,0.00035149+0.00094719i,1.2056e-05+0.00090242i,0.00056096+0.0013974i,0.0010202+0.00091171i,0.00096771-8.2377e-05i,-8.7072e-06-2.014e-06i,-0.00051831+0.00056996i,5.5959e-05+0.00092854i,0.00056293+0.00066261i,0.00015633+0.00011391i,-0.00043849-6.7854e-06i,-0.00011679+8.0006e-05i,3.8804e-05+0.00013576i,-0.00019608+0.00065356i,-0.0003448+0.0006505i,-0.00010399-0.00032391i,0.00013157-0.00069062i,-3.6467e-05+0.00020192i,-0.00071783+0.00042222i
0.0010055-0.00032909i,0.0010379-0.00041626i,0.0014367-0.00093965i,0.00073915-0.0013513i,-0.00049059-0.001638i,-0.0011248-0.00075041i,-0.00074058-0.00016742i,0.00059777-0.00015419i,0.0007485-0.00072132i,-0.00024064-0.00085491i,-0.0004121-0.00029995i,0.00038693-4.4866e-05i,0.00050497-2.774e-06i,-0.0002045-0.00019767i,-0.00049785-0.0010115i,-0.00029496-0.00066595i,0.00019535+0.00050441i,0.00024181+0.00065644i,0.0002726+0.0004107i,0.00027467+0.00015177i,-0.00025985+8.0848e-05i,-0.00018578-0.0006896i,-0.00033486-0.00099338i
0.0011922+0.0012342i,0.0015972+0.00034431i,0.0017759-1.2817e-05i,0.00080651-0.00062646i,-0.00021589-0.00074976i,-0.00047472-0.00048559i,-0.00024711-0.00073524i,0.00020439-0.000454i,0.0012814+0.00021516i,0.0013131+0.00030613i,8.2229e-05+0.00025885i,-5.1632e-05+0.00031525i,-0.00036526-1.1268e-05i,-0.0007271-6.4826e-05i,-0.00034581+0.00039768i,-0.00050628+0.0005902i,-0.00046506+0.00022869i,-0.00048867-0.00019848i,-2.4182e-05-0.00023754i,0.00056391+0.00023204i,4.7103e-05+0.00050005i,-8.2694e-05-5.5538e-06i,0.00059847+3.5589e-05i
0.0011749-0.00011189i,0.0001788-0.0010818i,0.00043475-0.0016942i,0.00078018-0.0020779i,-0.00025914-0.0012173i,-0.0014771+0.00020787i,-0.00063305+0.00049374i,0.00052365+0.00040405i,0.00048531+0.00032578i,0.00023307+0.00010282i,0.00019727+0.00010416i,0.00017912-0.00023229i,-4.1978e-05-0.00058546i,4.1492e-05-0.00052374i,0.00035329-0.00024425i,-0.00017039-0.00011807i,-0.00062669-0.00022892i,-0.00079867-0.00041885i,-0.00054724-0.00019156i,0.00017682-2.2044e-05i,0.00037262+0.00061255i,-5.7376e-05+0.00058387i,-0.00015494+0.00024677i
5.3978e-05-0.0013353i,0.0016107-0.0013491i,0.0027454-0.00063076i,0.0019469-0.00018529i,8.0286e-05-3.3251e-05i,-0.0010351-9.1067e-05i,-0.00048694+0.00020124i,4.9494e-05+0.00064016i,0.00040178+0.00053896i,0.00093796+0.00037838i,0.0011564+0.00057498i,0.000884+0.00014525i,0.00018969-0.00080123i,-0.00037968-0.0012689i,-0.00065014-0.0003513i,-0.00086246+0.00043527i,-0.00098079+0.00070062i,-0.00083584+0.00089806i,-0.00015301+0.00017968i,0.00031142-0.00056586i,0.00040077-0.00056863i,0.0008277-0.00041544i,0.00070936-0.0003835i
0.001232+0.00027784i,0.0011949+0.00038633i,0.0013624+0.0004417i,0.0013879-9.6943e-05i,0.00044565-0.00086i,-0.0005561-0.0010842i,-0.00039237-0.0010166i,0.00015072-4.2137e-06i,0.00038152+0.00047293i,0.00022285+0.00017756i,-0.00013851+0.00013895i,0.00036643-0.00018788i,0.0011147-8.4616e-05i,0.0010011-7.1491e-06i,-0.00032665-0.00058261i,-0.0012319-0.00026032i,-0.00056818+0.00035472i,-0.00032021+0.000575i,0.00046242-2.7739e-05i,0.001347-0.00014816i,0.0007533+7.8673e-05i,1.0436e-05+6.2015e-05i,0.00031745-9.402e-05i
-0.0001725+0.00029824i,0.00051704-3.1272e-05i,0.0010323-5.4588e-05i,0.0012164-0.00025256i,0.0010634+0.00015403i,0.00055889-3.0221e-05i,0.0006827-0.00018023i,0.0015937-5.1834e-05i,0.0016457+0.00037227i,0.00092293+0.00052586i,0.0006598-0.00012744i,0.00048138-0.00045308i,0.00027937-0.00048909i,9.0095e-05-0.00019067i,-3.5363e-05-0.000101i,-0.00038997-0.00071075i,-0.00015158-0.00074942i,0.00073211-0.00078425i,0.00072312-0.00068326i,-0.00029811+0.0003933i,-0.00054939+0.00041835i,1.3337e-05+0.00033697i,-0.00033168+0.00052456i
0.00093177+0.0021374i,0.0018646+0.00084074i,0.0024559+0.00062533i,0.0010941+0.001348i,-0.0001439+0.00083945i,-0.00029596-2.773e-05i,-0.00030004-0.00053622i,6.4531e-05-0.00066845i,0.00019259-0.00011111i,3.6194e-05-0.00043776i,0.00014269-0.00033693i,0.0004345+0.00025341i,0.00096608-0.00023777i,0.00082698-0.0010514i,-0.000153-0.001388i,-0.00026495-0.0011064i,7.6854e-05-0.00049967i,1.9498e-05-0.00020009i,0.0001702+1.6911e-05i,0.00063521+0.00058765i,0.00080532+0.00083593i,0.00038544+0.00050028i,0.00034015+6.8531e-06i
-0.00073586-0.0017078i,0.00054782-0.0010875i,0.0010819-0.00026244i,0.00063407+0.00036288i,8.5066e-05+0.0012976i,0.00036156+0.0016319i,0.00051764+0.00047238i,0.00012938+0.00037038i,2.2022e-05+0.00082818i,2.689e-05+0.00093654i,-0.00016627+0.00080872i,-0.00012743+0.00024927i,0.00074537-0.00064286i,0.00062576-0.00068316i,0.0003565-0.00066443i,0.0005031-0.00069945i,-0.00026628-5.1822e-05i,-3.1954e-05+0.00058697i,0.0004838+0.00024648i,0.00040761-0.00040202i,0.00019007-0.00023732i,0.00038433+0.00017945i,0.00020359+0.00077434i
0.0026257+0.00067937i,0.0012967+0.00023354i,0.00064643-0.0010998i,0.00048238-0.0015447i,-0.0003344-0.00036346i,-0.00071533+0.00032253i,-0.00041539-0.00020889i,0.00068308-0.00021973i,0.0013244+7.4474e-05i,0.00015035+0.0005234i,-0.00030243-5.7017e-05i,0.00049128-0.00076214i,-8.3733e-05-0.0004151i,-0.00065076+9.6574e-05i,-5.5764e-05-2.0146e-05i,0.00041203+1.4144e-06i,0.00078649+0.00027761i,0.00024863+0.00019314i,-0.00045093+0.00017068i,-0.00012108+0.00013866i,0.00017832-0.00050142i,3.7196e-05-0.00092569i,0.00043259-0.00031024i
-0.00036879+5.7018e-05i,5.759e-05-0.00061779i,0.00050193-0.00015972i,0.0010161-0.00054149i,0.001374-0.00011345i,0.00080498+0.00090639i,0.00019838+0.00024077i,0.00103-0.00021516i,0.0013539-7.5037e-05i,0.00067662-0.00014507i,0.00033465-0.00047785i,0.00062303-0.00036475i,0.0005025+0.00072217i,0.00030219+0.00098251i,0.00078705+6.6614e-05i,0.00017977-0.00065496i,-0.00091275-0.00037755i,-0.000766-0.00028754i,-3.8775e-05+0.00011661i,-1.4929e-05+0.00086333i,0.000269+0.00091298i,0.00067063+0.00045678i,-1.29e-05+0.00011984i
-0.0013949-0.0015661i,-0.00092658-0.0016011i,-0.0002054-0.0016582i,0.00038406-0.00036612i,-4.4201e-05+0.0013053i,0.0003454+0.0012535i,0.0010013+0.00053522i,0.00098265+0.00060494i,0.0013665+0.00077454i,0.00084239+0.00061279i,-0.00040655-6.2426e-05i,-0.0003457-3.7419e-05i,0.00026862+0.00025794i,0.00027795-0.00022819i,-0.00054461-0.00059086i,-0.0010255-0.00061426i,-0.00011593-0.00047744i,0.00086691-0.00014214i,0.00085476-0.00021258i,0.00047917-0.00010614i,-9.9004e-06+9.8176e-05i,-0.00027696+0.00031437i,0.00019241+0.00015002i
0.00093388+2.4205e-05i,0.002484-0.0001074i,0.0023108+9.4668e-06i,0.0013398+0.00057239i,0.00011209+0.00088259i,-0.00070647+0.00033228i,-0.00056399-7.7045e-05i,0.00023747+0.00063432i,0.0012125+0.00066518i,0.0018387+0.00049024i,0.00152+0.00077089i,0.00096845+0.00053708i,0.00045191-0.00039953i,-1.6684e-05-0.0010562i,0.00020802-0.00040016i,-0.00045095-7.5906e-05i,-0.0012185+0.00016565i,-0.00058306+0.00094155i,-0.0001003+0.00088651i,0.0001118+0.00045242i,0.00059868+0.0007411i,-5.3626e-05+0.0010546i,-0.00046068+0.0011392i
-0.0004031+0.0012214i,0.00015956-0.00014967i,0.0013365-0.00098393i,0.0014725-0.0010643i,0.00019787-0.00092386i,-0.00075566-0.00056388i,-0.00051528+0.00022621i,0.00092224+0.00022617i,0.0019436-0.00015273i,0.0013827-0.00053214i,0.0011241-0.00097426i,0.00070206-0.0003846i,0.00037486+0.00017216i,0.00022998-0.00019276i,0.00023525+5.9645e-05i,0.00062624+0.00083498i,0.00054823+0.0001883i,0.00036659-0.00071995i,-0.00015479-0.00088493i,-0.0011447-0.0010001i,-0.00080721-0.00072242i,-0.00010467-0.00037456i,-0.00061802-0.00067542i
0.00048117+0.0015653i,0.0010472+0.0013482i,0.001602+0.00081666i,0.0008696-0.00026253i,4.5205e-05+0.00018488i,4.1045e-07+0.00079464i,0.00087458+0.0010957i,0.001411+0.00084325i,0.001244-8.6913e-05i,0.00027546-7.19e-05i,-0.00029367+0.00052099i,-0.00051867+0.00050276i,-0.0003336+1.287e-05i,1.1488e-05-0.0001071i,5.6297e-05+0.0003577i,0.00029129+0.00096122i,0.00053772+0.0013087i,7.7561e-05+0.0014826i,-0.00087124+0.0010851i,-0.00086659+0.00031119i,6.9554e-05+3.9688e-05i,0.0005372+0.00033562i,-2.8999e-05+0.00024151i
0.00022462-0.0024221i,-9.2371e-05-0.001383i,-0.00083286-0.0002393i,-0.00042821-0.00012632i,1.5317e-05+0.00013816i,0.0010753+0.00089467i,0.00091298+0.0011698i,0.00039685+0.00099888i,0.00086224+0.0014746i,0.00048565+0.0010985i,-4.1976e-05+0.00037246i,-1.7217e-06+0.00018592i,-2.6584e-05-0.00024481i,0.00017796-0.00061009i,4.6425e-05-0.00080072i,5.1338e-05-0.00099199i,-0.00046513-6.8209e-05i,-0.00087806+0.00047528i,-0.00084778-6.289e-05i,-0.0005091+1.3097e-05i,-0.00027413+0.00040171i,-0.00071391+0.00019449i,-0.00076856+0.00021451i
0.00092152+0.00061369i,0.0014325+0.0003953i,0.0020069-0.00044322i,0.0017959-0.0013622i,0.0012468-0.0011827i,0.00061534-0.00042345i,-0.00015979+0.00019444i,0.00053115+0.00024703i,0.0010398+9.2707e-05i,-0.00017088-2.7187e-05i,-0.0010682-3.8494e-06i,-0.00088657-0.00042744i,-0.00038736-0.000722i,4.585e-05-0.00031081i,-0.0001002+9.796e-05i,-0.00067855+0.00066412i,-0.0011519+0.00045849i,-0.0010532+3.5228e-05i,-0.00057465+0.00021688i,-0.0002838-8.369e-05i,0.00029008+0.00043053i,0.00039364-8.853e-05i,-0.00032575-0.00066506i
-0.0005665-0.0012386i,0.00020356-0.00038599i,0.00044749-0.00011321i,-0.00011381+0.00020888i,0.00027702+0.00055398i,0.00047753+0.00099648i,-1.8997e-05+0.0005333i,0.00017385-0.00027586i,0.00039038-0.00051591i,0.00038856-0.00048864i,-0.00016019-0.00037183i,-0.00035267-0.00045302i,8.0845e-05-0.00040644i,-0.00020314-9.0091e-05i,-0.00056848+5.1548e-05i,0.00064118+0.00020947i,0.00039893+0.00078067i,-0.00094695+0.00087969i,-0.0011937-0.00021311i,-0.00042833-0.00082429i,0.0002909-0.00045944i,0.00047425-0.0008035i,0.0001777-0.00096502i
0.00088386+0.00034163i,0.0020127-0.00019259i,0.0025826-0.00082281i,0.0023969-0.00083926i,0.00096732-0.00057002i,-0.00031333-0.00055644i,-0.00044018-0.00010542i,-9.9064e-05-0.00030857i,0.00059894-0.00044673i,0.0011896+0.00029653i,0.00057822+0.00035747i,0.00012087+7.7486e-05i,-8.4622e-05-5.0436e-06i,-0.00021212-0.00094676i,-0.00025938-0.00075795i,4.6321e-05-0.00025643i,0.00017409-0.0007218i,0.00017271-0.00015467i,0.00020104+6.1827e-05i,2.7339e-05+4.8459e-05i,-1.0244e-05+0.0003477i,3.4942e-05-0.00025986i,0.00078063-0.00014518i
-0.00071838+3.3312e-05i,0.00021097-0.00034526i,0.00098399-0.00043304i,0.0010919+0.00055384i,0.00070768+0.0017876i,0.00056167+0.0010563i,0.00059049-0.00033794i,0.00046191+0.0001044i,0.00061707+0.00032465i,0.00071216-9.9878e-05i,0.0004645-0.00048759i,0.00050415-0.00086058i,0.00028327-0.00090928i,-0.00015274-0.00086159i,-0.00064251-0.00052661i,-0.00062773-0.00028466i,-0.00064041+0.00012003i,-0.00099658+0.00088818i,-0.001112-7.6004e-06i,-0.00044729-0.00051313i,-0.00071871-0.00044306i,-0.00082179+2.5583e-05i,-0.00027113+0.00062595i
0.0022415-0.00054581i,0.0024279+0.00017296i,0.0017476+0.00036347i,0.00050012-6.1851e-05i,-0.00044422-0.00044506i,-0.00046985+2.1131e-06i,0.00040612+0.00082525i,0.0014879+0.00024209i,0.0013722-0.00062261i,0.00056987-0.00033361i,0.00046579+0.00082903i,0.00054261+0.0011147i,-6.1877e-05+0.00021383i,-0.00019906-0.00013866i,-0.00059323-0.00013282i,-0.00095438+0.00018735i,-0.00066249+6.4245e-05i,-0.00037343-0.00024229i,-0.00032628+0.00039372i,-0.00075885+0.00034671i,-0.00080634-0.00064767i,-0.00087356-0.00054395i,-0.0011291+2.02e-05i
0.00075474+0.00080702i,0.0012904+0.00014509i,0.0028803-0.00078551i,0.0018955-0.0013682i,0.00023434-0.00067473i,-0.00053479+0.00052543i,-0.0011792+0.00061822i,-0.0005494+0.00012542i,0.00019157+0.00027595i,-0.00044835+0.0004797i,-9.4195e-05-0.00027711i,0.0010025-0.00094068i,0.00024791-0.0007154i,-0.00071591-0.0002381i,-0.00092096+0.00032015i,-0.0010929+0.00022379i,-0.0010891+9.2226e-05i,-0.00031229+3.221e-05i,-0.0002267-0.00011161i,-0.00083202-0.00065407i,-0.00048676-0.00066981i,0.00010739-0.00034107i,8.9839e-06-7.4767e-05i
0.0016002-0.00024474i,0.0031342-0.0002836i,0.0036452-8.07e-05i,0.0021669-0.0012443i,0.00026405-0.001194i,-0.00055148-0.00034062i,-0.00093632+0.000175i,-0.00045823+0.00057587i,0.00076994+0.00019552i,0.00040323+0.00040205i,-0.00033622+0.00085588i,5.4608e-05-0.00010202i,-8.6998e-05-0.00082482i,-0.0005006-0.00031787i,-0.00087713-0.00020434i,-0.001018+3.0819e-06i,-0.00077735+0.00036555i,-0.00059218-2.7991e-06i,-0.0010172+0.00032547i,-0.00087932+0.00037836i,-0.0003588+7.5899e-05i,0.00013599-6.5726e-05i,0.000153-0.00048827i
-0.0008608-0.00030491i,-0.00020296-0.00096639i,0.00034249-0.0012153i,0.00010404-0.00060157i,-0.00078889-0.00052736i,-0.0009515-0.00031418i,-0.00038967+0.00050044i,-8.2321e-05+0.0008987i,-8.2423e-05+0.00072605i,9.9703e-05+0.000389i,7.8565e-05+0.00045151i,0.00076622+0.00042394i,0.0013378+0.00046302i,0.00043934+0.00037986i,-0.00021145-0.00031477i,-0.00016668-0.0012158i,-0.00048455-0.0013088i,-0.00014427-0.00044765i,0.00036739+0.0006427i,-0.00026099+0.00044666i,-0.00093915-0.00028159i,-0.00091461-0.00073358i,-0.00036096-0.00077676i
0.0010776+0.0022473i,0.0014059+0.0022181i,0.0016234+0.0010107i,0.0010083+0.00047257i,0.00043307+5.746e-06i,-0.00035701+0.00021856i,-0.00085665+9.6213e-05i,-0.00019955-0.00011998i,0.00022355-0.00012928i,0.00043986-0.00048i,0.00058323+2.626e-06i,0.00024879+0.000392i,0.00027374+0.00037635i,0.00010753+0.00064284i,-0.00032485+0.00059748i,-2.3499e-05+0.00029892i,0.0006995+0.00086764i,0.00031297+0.00086266i,-0.00052197+0.00035359i,-0.00022818-0.00044313i,-0.00025018-0.00045043i,-0.0006528-0.00023936i,-0.00054599-0.00031784i
0.0011039-0.0012514i,0.00041178-0.001171i,0.00057598-0.00096868i,0.00082903-0.00016159i,0.00026886-0.00052985i,-0.00078439-0.00052941i,-0.00026238+0.0005037i,0.00088495+0.00075754i,0.0008027+0.00070226i,0.0011479+0.00033558i,0.00091764-7.2412e-05i,-0.00021329-0.00014787i,-0.00033996-0.00012371i,1.2644e-06+4.5957e-05i,-0.00028349+0.00029899i,0.00013623+0.00070411i,-6.2605e-05+0.00057552i,-0.0010036-0.00015956i,-0.000845-0.00047254i,-0.00053714+0.00014307i,-0.00061265+2.6155e-05i,-0.00073707-2.0663e-05i,-0.0002705+0.00071832i
0.0011634-0.00054507i,0.0024786-0.00094484i,0.0015882-0.00029398i,0.0011699+0.00060744i,0.0007965+0.0011365i,0.00058718+0.00094699i,0.0013445+0.00026756i,0.0012988+0.00037568i,0.00036818+0.0005689i,-0.00013367+0.00055329i,5.9613e-05+0.0010485i,0.00028775+0.00046667i,-0.00039284-6.5605e-05i,-0.0007621+0.00017135i,-0.00017659-0.00010861i,-0.00067835+2.8437e-05i,-0.00062931-0.00014111i,-8.2755e-05-0.00029623i,0.00011942+9.7002e-05i,-0.00027245-3.9781e-05i,-0.0005649-0.00036545i,-0.00025402-0.00068587i,0.00035192-0.00052877i
0.00060587-0.0013149i,0.0011584-0.00027856i,0.00044284-2.4436e-06i,-0.00017455+0.00044894i,-0.00099704+0.00076916i,-0.00033684+0.0012503i,0.00055711+0.0010395i,0.00069382+9.4843e-05i,0.00056816-6.0017e-05i,0.00036521+0.00016137i,0.00021468+0.00059397i,1.171e-06+0.0010496i,0.00048285+0.0010113i,0.000372+0.00018169i,-0.00044511-0.00020853i,-0.001596-0.00039259i,-0.0018465-0.00039856i,-0.0010057-0.00036982i,-0.00010508+0.00030785i,-4.2789e-05+2.4166e-05i,0.00026289-0.00078866i,0.00057343-0.00055584i,0.00031339-1.3082e-06i
0.0009153-0.0013004i,0.0021446-0.00059979i,0.0027912+1.2481e-05i,0.0017389+0.00017999i,0.00049314+0.00045536i,-0.00015312+0.0013079i,-0.00032281+0.0012569i,0.0008123+0.00043549i,0.0017701+0.00032448i,0.0016595-0.00022538i,0.00055026-0.00067497i,-8.3248e-05-0.00074125i,0.00045222-0.00058246i,0.00057353-0.00044259i,-0.00021564+0.00012745i,-0.00026591+0.0010219i,-0.00024152+0.00098314i,-0.00080732+0.00038085i,-0.00098283+0.00051281i,-0.0011691+0.00090461i,-0.00026998+2.956e-05i,0.00032775-3.1403e-05i,3.1477e-05+0.00023001i
0.00022759-0.00096007i,0.0018016-0.0014939i,0.0022319-0.0003629i,0.0011046+0.00058267i,-0.0006068+0.0012092i,-0.00063428+0.0015858i,0.00049901+0.000584i,0.00083149-5.8603e-05i,0.00088637-0.00054741i,0.00081691-0.0012104i,-0.00050516-0.0005006i,-0.00067817+0.00012168i,-2.4569e-05-0.00048044i,-0.00012171-0.0011885i,-0.00045859-0.0010201i,-0.00046359-0.0012369i,9.9417e-06-0.00080656i,0.0002857+0.00020982i,0.00013036+0.00027359i,-0.00095238-0.00012342i,-0.0018494-0.00056004i,-0.0010734-0.0007031i,-0.00020264-0.00029946i
0.0011201+7.2494e-05i,0.00061286+5.065e-05i,0.00057649-0.00075202i,0.00035467-0.00061491i,-0.00044711+0.00019042i,-0.0008299+0.0009935i,-0.00045484+0.0016004i,-0.00025485+0.0012508i,0.00021991-0.00019939i,0.0006232-0.00055349i,0.00014711+0.00028443i,0.0002577+0.00056207i,0.00041468+0.00013365i,-0.00036579-0.00029981i,-0.00047713-0.00017995i,-0.00067893-8.3674e-05i,-0.001066+0.00013111i,-0.0013663+0.00080393i,-0.0011421+0.00054014i,-0.00060304+0.00042952i,-0.00017918+0.00065367i,-0.0002665-7.8063e-05i,-9.1367e-05-0.00025379i
0.0025299-0.00049579i,0.0026462-0.0013125i,0.0033532-0.0018539i,0.0021091-0.0021142i,0.00031564-0.0018392i,-0.0007807-0.0013343i,-0.00037056-0.00011407i,0.0013845+0.00097496i,0.0019676+0.00034627i,0.00077782-0.00026352i,-0.00010993-0.00017076i,9.4516e-05-0.00015361i,0.00076429+2.3327e-06i,0.00071476+0.00046848i,0.00031486-4.5685e-05i,0.00047828-6.4388e-05i,0.00039122-6.6028e-05i,-4.0805e-05-0.00031348i,-0.00040017+0.00019179i,-0.00040409+0.00028732i,-0.00059636-0.00026855i,-0.0011651+0.00045075i,-0.00070376+0.0013692i
