-0.0042364+0.0011756i,-0.0025543-1.9457e-05i,-0.0036656-0.00010769i,-0.003389+0.0013201i,-0.0024369+0.0026303i,-0.0016746+0.0023452i,-0.00074884+0.0023482i,-5.2234e-05+0.0020034i,0.00015817+0.0012595i,0.00081524+0.00048917i,0.0018686-0.0001597i,0.0013785-0.0003189i,3.1355e-05-0.00028955i,-0.00044856-0.0004907i,-0.00071767-0.0010705i,-0.00085294-0.00089653i,-0.00020845-0.00075572i,-6.3947e-05-0.00066596i,4.5344e-05-0.00021963i,0.00049167-4.6811e-06i,-0.00048683-0.00041686i,-0.00095303-0.00071242i,-0.00056861-0.00033077i
-0.00088174+0.0019874i,9.1456e-05+0.0022443i,0.0014304+0.0011804i,0.0016335+0.00099542i,0.0016143+0.0010419i,0.001364+0.00020051i,0.0013763-0.00059476i,0.0015733-0.00040552i,0.0013595+0.00042834i,0.0013078+0.00062494i,0.00088649+0.0007361i,0.00019385+0.00046189i,-6.558e-05-0.00039168i,-0.00084604-0.00077835i,-0.0012205-0.00059583i,-0.0003091-0.00019985i,0.00033256-2.8334e-06i,0.00027864-0.00063039i,0.00052612-0.00071876i,0.00032337-0.00033216i,0.00025348+0.00014285i,6.2225e-05+0.00072492i,-0.00053488+0.00081442i
0.00023999+0.0013608i,0.00015597+0.0010931i,0.00059987+0.00081636i,0.0013906-0.00015127i,0.0012717-0.00029571i,0.00039611+0.00011828i,0.00049281+0.0001181i,0.0011339+0.00019059i,0.0011462+0.00023708i,0.0010837+0.00051566i,0.00068575+0.00073592i,-0.00014597+0.00041813i,0.00012124-0.00029651i,-0.00013735-0.00086957i,-0.00013033-0.00095001i,0.00032688-0.00042981i,0.00029632-0.00031726i,0.00025213-0.00072986i,-0.00044716-0.00030026i,-0.00067842-0.00022941i,2.5002e-06+9.869e-05i,-0.00020887+0.00016478i,4.0807e-05+0.00049767i
-0.00096662+0.0019952i,0.00086707+0.00067176i,0.0017162+0.0020733i,0.0016394+0.0026949i,0.00083984+0.0019458i,4.6528e-05+0.00093667i,-8.509e-05+0.00019889i,0.00080512-8.0954e-05i,0.00094412+0.00029566i,0.00071143+0.00074337i,0.00064837+0.0002694i,-0.00019639-0.00057706i,-0.00045104-0.00059333i,-0.00021909+0.00018412i,0.00016132+0.00027307i,0.00013805-3.3506e-05i,-0.00028196+0.00011271i,-0.00071367+6.8271e-06i,-0.00064451-0.00044475i,-0.0002962-0.00057516i,0.00034735-0.00022482i,0.00077636+0.00020323i,0.00057243+0.00092651i
0.00092183-0.0033062i,0.00070945-0.0037577i,0.00056141-0.0031785i,-0.00062681-0.0019364i,-0.0014682-0.00044772i,-0.0011954+0.00095136i,-0.00032208+0.00071793i,-0.00049905-9.7202e-05i,-0.00059122+0.00026374i,-0.00029955+0.00040225i,0.00010481-0.00031671i,0.00052519-9.9822e-05i,0.001091+0.00050238i,0.0010802+0.00077677i,2.2554e-05+0.00064882i,-0.00066889-0.00011899i,-0.00056055-0.00076784i,-0.00058833-0.0005219i,0.00011445+0.00015058i,0.00014253+0.00016611i,-0.00053415+0.00029153i,-0.00064202+0.00058587i,-4.1288e-05+0.00028624i
0.00012265-0.0019902i,-0.00023177-0.000704i,-0.0010762-0.00040478i,-0.00059748-0.00013759i,9.1595e-05+0.00092722i,-0.00033232+0.0011878i,-0.00063427+0.00044681i,-0.00088743-0.00033963i,-0.00069688-0.00055387i,-0.00034398-4.8878e-05i,-3.2423e-05+0.00012456i,4.899e-05+0.00047732i,0.00042751+0.00044295i,0.00071291+0.00054245i,9.8058e-05+0.00043396i,0.00026688-0.00076391i,0.00078283-0.00075076i,0.0010206-0.00027106i,0.00069743-0.0003568i,0.00029365-0.00036926i,0.00067629-9.6909e-05i,0.0008689-0.00029976i,0.00023878-0.00070641i
-0.00030432-0.0018381i,-0.0014784-0.0013228i,-0.0024407-0.0010321i,-0.0017445-0.00067206i,-0.00053346-0.00042032i,8.5628e-05-0.00053064i,-9.0472e-05-0.00066402i,-0.00025803-0.0003762i,0.00066098+0.00040006i,0.0012436+0.0011095i,0.00029596+0.00045179i,-0.00022303+0.00037508i,0.0002467+0.00075175i,0.00051535+0.00052718i,0.00048837-5.0394e-05i,0.00030184-0.0001043i,0.00038093-0.00047309i,0.00070104-0.0010707i,0.00045016-0.0010964i,0.00013313-0.00073415i,0.00047416-0.00020977i,0.00045025-0.00016491i,0.00015153-0.00028809i
0.0024518-0.00047369i,0.001349-0.00034064i,-0.00041157-0.00078243i,-0.0010187-0.0014661i,-0.00064783-0.0011341i,-0.00080386+0.00047561i,-0.00015678+0.00082203i,0.0012726+0.00044253i,0.0014632+0.00033559i,0.0013214-0.00013497i,0.0014826+0.00028213i,0.00046543+0.00087536i,-0.00052173+0.00077311i,-0.0003298+0.0003578i,-0.00017052-0.00016363i,0.00024592+0.00033884i,6.8327e-05+0.00045719i,-0.00022312-0.00083199i,0.00039648-0.0016631i,0.00031207-0.0020428i,-3.2841e-05-0.0015743i,0.00036321-0.00031104i,0.00065205+0.00010521i
0.00065367+0.00016582i,0.0001429-0.00024885i,0.0013395-0.0014226i,0.00086526-0.0011712i,-0.00063498+4.4322e-05i,-0.00045573+0.00041227i,0.00020251+0.00017656i,-0.00037621+0.0001695i,-0.00082624+0.00078072i,3.464e-05+0.00061046i,0.00018195-0.0001006i,1.7454e-06-0.00052608i,-0.00022533-0.0006134i,-0.0003358-0.00050522i,0.00044314-0.00011502i,0.00041635+0.00079388i,0.00021872+0.0007973i,0.00038863+6.7916e-05i,-9.8518e-05-0.00042177i,0.00050387-0.00079432i,0.0007627-0.00072891i,-5.076e-05-0.00064564i,-0.00094206-1.1859e-06i
-0.0010991-0.0011412i,0.00092838-8.8946e-05i,0.00029394+0.0013342i,-0.00043099+0.0011546i,-4.36e-05+0.00044565i,0.00061403+0.00013083i,0.00070208+0.00027267i,0.00062552+0.00025108i,0.00047097+0.00065173i,-0.00028136+0.00032783i,4.5288e-05-0.00010837i,0.00089133+0.00012569i,0.00092038-0.00039045i,-7.6409e-05-0.0012288i,-0.00051688-0.00073781i,0.00012504+0.00036191i,0.00035313+0.00015135i,-0.00035193-0.00044746i,0.00013075+5.4163e-05i,0.00065943+0.00063458i,-0.0002227+0.00020057i,-0.0001428-0.00014621i,0.00043839+0.00042038i
0.0017512+0.00089562i,0.0011493+0.00046152i,0.00050484-0.00049376i,5.2702e-05-0.00053412i,0.00039756+0.00011601i,0.00056561-0.000277i,0.00017281+7.8991e-06i,-8.0987e-05+9.8294e-05i,-6.3803e-05+3.8265e-05i,8.0126e-06+0.00021958i,-0.00022237+9.3331e-05i,-0.00068905+0.00042293i,-0.00036989+0.00010931i,-0.00032535-0.00063067i,-0.00052313-0.00031076i,-0.00060099+4.0377e-05i,-0.00065608-0.00081769i,-4.3001e-06-0.0015431i,-0.00012464-0.00071207i,-0.00039318+3.0809e-05i,-0.00027579+0.00014993i,-0.00049602+0.00032289i,-0.00057358-1.1613e-05i
-0.0012624-0.0015652i,-0.00066894-0.00088751i,-0.001369-0.00060502i,-0.0016811-0.00045702i,-0.0004763+4.2222e-05i,0.00027182+0.00063205i,-0.00010484+0.0011437i,1.1339e-06+0.0011456i,0.00032219+0.0012501i,0.00024445+0.0013975i,0.00019059+0.00078813i,0.00056889+0.00024787i,0.00068444+0.00015963i,0.00069297-0.00067275i,-0.0002901-0.0010918i,-0.00099138-0.00028371i,-0.00081767+0.0002248i,-0.00023668-0.00020783i,0.00025286-1.026e-05i,0.00033654-0.00026185i,0.00070397-0.00015345i,0.00067337-0.0001345i,9.5905e-06-5.3848e-05i
-0.00090313+0.0008603i,-0.0010376+0.0010955i,-0.0012717+0.0010789i,-0.00049015+0.00084588i,0.00093666+0.00012675i,0.0014245-0.0003745i,0.00046449-0.00052586i,-3.1233e-05-3.6343e-05i,0.00043914+0.0008767i,0.0013145+0.00049643i,0.0022142-0.00036773i,0.0013569-0.00065697i,-0.0001366-0.00084944i,-7.6814e-05-0.0017146i,0.00013102-0.0015761i,0.00013197-0.00019491i,0.0007013+0.00030641i,0.00039773+0.0003858i,0.0001131+0.00039918i,0.00038412+5.9276e-06i,0.00047071-0.00030161i,0.00026218+0.00027593i,-0.0003764+0.00070455i
0.00023967-0.0007576i,5.9528e-06-0.00033254i,-0.00045291+0.00086052i,-0.00039845+0.0016207i,0.00039137+0.0011494i,0.0010608+0.0012645i,0.00082994+0.0016477i,0.00077582+0.0014984i,0.00085844+0.0016946i,0.0011458+0.0016057i,0.00050481+0.0010294i,-0.00028882+0.00035837i,-0.00022868-0.00055668i,9.6187e-05-0.00069279i,-0.00018648-0.0006639i,-0.00055569-0.00086545i,0.00020845-0.0014283i,0.0012588-0.0013653i,0.00098278-0.00044365i,7.9647e-05+0.00026161i,0.00023387+8.4089e-05i,0.00072952+0.0002053i,-1.2433e-05+0.00031798i
-0.0026144-0.0011396i,-0.0019904+4.4282e-05i,-0.00041099+0.0012121i,-0.00046181+0.0011589i,-0.00068555+0.0016995i,5.3958e-05+0.0016845i,0.00027174+0.00096442i,-0.00010487+0.0012115i,1.369e-05+0.00093912i,0.00092433+0.00090664i,0.00081298+0.0010036i,0.00021553+0.00055622i,-4.8399e-05+7.0693e-05i,-1.239e-05-0.00074477i,-8.8277e-05-0.001237i,6.1195e-05-0.0011573i,0.00025244-0.00075818i,0.00024375-5.3962e-05i,0.00076119+0.00027104i,0.00043122-5.9722e-06i,5.217e-05-0.00018219i,0.00048186-0.00031934i,-4.3448e-05-0.00023436i
0.0011582-0.0021234i,0.0003726-0.0011737i,-0.000429-0.00072317i,-0.0015308+0.00019865i,-0.0014622+0.00091722i,-0.00040087+0.0019503i,-8.752e-06+0.001824i,-0.00068786+0.00011194i,-0.00098423-0.00021306i,-0.00087709+0.00067282i,-0.00074667+0.0013296i,-0.00012569+0.0013867i,0.00011906+0.00083578i,-8.2039e-06+0.00014433i,0.00081355-4.5305e-05i,0.00082525-0.00021832i,0.00024751-0.0008489i,0.00092382-0.0008498i,0.0013632-0.00055479i,9.2714e-05-0.00065537i,-0.0006262-0.00077598i,-0.00079494-0.00081427i,-0.0013418-0.00030128i
0.0013625+0.00036421i,0.0018642+0.00034915i,0.0016428-2.3159e-05i,0.0011526-0.00014719i,0.00065839+0.00037435i,0.001017+0.00069863i,0.00082369+0.00086847i,0.00017028+0.00057728i,7.5327e-05+0.00016402i,0.00050059+0.00028628i,0.00095285+0.00021703i,0.00055215+0.00060726i,0.00040216+0.0010096i,0.0001247+0.00063706i,-0.00082148-0.00017152i,-0.00075793-0.00072515i,0.00029389-0.00054406i,0.00074233+3.7608e-05i,0.0010465+1.1024e-05i,0.00091325-0.00087685i,0.00035843-0.0012756i,9.0206e-05-0.0016161i,0.00021988-0.00080832i
-0.00054411-0.0018714i,-0.0012957-0.0012092i,-0.0026322-0.0010833i,-0.0027208-7.3542e-05i,-0.0015177+0.00097203i,-0.00097924+0.0012538i,-0.0011241+0.0012735i,-0.0010668+0.00063738i,-0.00089453-7.9857e-05i,-0.00048672+0.00044625i,3.291e-05+0.0011622i,0.00053123+0.00093789i,0.00048975+0.00074919i,0.00037339+0.00033094i,0.00077616-1.2841e-06i,0.00080433+0.00049908i,-4.1904e-05+0.00098668i,-0.00033921-0.0001741i,0.00013991-0.0014781i,0.00033958-0.00082169i,9.6951e-05-0.00018688i,-0.00038792-0.00040254i,-0.00068443-0.00042467i
-0.00024651-0.001343i,-6.7396e-05-0.00084077i,1.8989e-05-0.0008372i,0.00098726-0.00076398i,0.0017224+0.00015804i,0.00093163+0.001157i,0.00052852+0.0015239i,0.00062934+0.0012706i,0.0005787+0.0006747i,0.00089416-4.8392e-05i,0.00083418-0.00019162i,3.5684e-05+0.00064234i,8.7117e-05+0.00078895i,0.00017166+0.00037747i,0.00023329-0.00046878i,0.00070055-0.001225i,0.00050443-0.0010579i,0.0004514-0.0012292i,0.0010376-0.0013321i,0.00060973-0.00059252i,-0.0002958+0.00031816i,-0.00072479+0.00068404i,-0.00011965+0.00033944i
0.0015718-0.00046224i,0.0014101+0.0001503i,0.0014133-0.00017888i,0.00066149-0.00058388i,-0.00061879-0.0003862i,-0.00087761+0.00032708i,-0.00045774+0.00081344i,-0.00065164+0.00052844i,-0.00057525+0.000117i,0.00052895+0.00073468i,0.0009419+0.0010079i,7.3198e-05+0.00082531i,-0.00071174+0.00017928i,-0.00021121-0.00070423i,0.00080212-0.00044331i,0.00037687-0.00015032i,-0.00019679-0.00024049i,-0.0003195-0.00061668i,-0.00034066-0.000624i,-0.00044099-0.00041342i,-0.00041579-0.000451i,-0.00069826-0.00035076i,-0.00086941+5.2406e-05i
0.0025194+0.0017058i,0.0023972+0.0012739i,0.0029148+0.00064445i,0.0028397-0.00013113i,0.0014857-0.00052551i,0.00017364-0.00037456i,-0.00020089-0.0002716i,0.00013554-0.0003711i,0.00040944-0.00023772i,0.00068214+0.00024743i,0.0007486-7.3575e-05i,0.00028822-0.00062577i,-0.00018642-0.00051897i,-0.00062393-0.00012327i,-0.0012515+1.9913e-05i,-0.00042498+0.00011239i,0.0001734+0.00014446i,-0.00040637+0.00015399i,-0.00044178-0.00033176i,-0.00032977-0.00065954i,0.00025497-0.00042915i,0.00070217-0.00027819i,0.00084988+0.00050419i
0.00081896-0.00057699i,0.00098912-0.00041341i,0.0005558-1.9525e-05i,0.00043439+0.00037987i,0.0009082+0.00068729i,0.00060887+0.0011409i,0.00061064+0.00055435i,0.00068494+0.00019278i,0.00075071+0.00064125i,0.00039579+0.00060304i,-4.0171e-05+0.00051454i,-0.00057644+0.00085717i,-0.00064649+0.00066974i,5.5651e-05+0.00038894i,0.00049034-0.00010941i,0.00013992-0.0010713i,-0.00056959-0.0013626i,-0.00053433-0.00062643i,0.0003014-0.00030964i,0.00054395-0.00078061i,0.00034085-0.00078993i,-0.00011823-0.00086452i,-0.00048685-0.00067626i
0.0015011-0.0010299i,0.00072667-0.0010133i,-6.6165e-05-0.0012878i,-0.0014479-0.0019271i,-0.0010442-0.0019109i,0.00025757-0.00092587i,0.00061182+0.00011997i,0.00011558+0.00038459i,0.00045096+0.00019044i,0.00086895+0.00016216i,0.00055629+0.00079167i,0.0006347+0.0009447i,0.00045426+0.00010899i,0.00054372-0.00016424i,0.00048051-0.00021184i,-0.00011045-0.00026195i,-2.9991e-05+0.00021861i,0.00022907+0.00021366i,5.9983e-05+0.00023468i,-0.00046988-9.952e-06i,-0.00073501-0.00064752i,-0.00053035-0.00055677i,-0.00062772-0.00026908i
0.00089641+0.00098464i,0.00097171+0.00076235i,0.0010498-0.00053602i,0.00067805-0.00066627i,-7.8173e-05+0.00022614i,0.00062669+0.00064132i,0.0010703+5.5644e-06i,0.00054976-0.00053993i,0.00068527+0.00015244i,0.0012906+0.00084557i,0.0010706+0.00062408i,-0.00013035-8.8931e-05i,-0.00065513-0.00043892i,-0.00056023-4.4101e-05i,-0.00023911-0.00026954i,0.00010104-0.0003437i,0.00041227-0.00027319i,5.6116e-05-0.0011268i,0.00010994-0.0016501i,0.00050278-0.0010926i,0.00027781+0.00023616i,3.8863e-05+0.00072239i,0.00030114+0.0004901i
-0.0016805-0.00090306i,-0.00070589+0.00021684i,0.00011012+0.00095755i,0.00040074+0.00098124i,0.0008649+0.00089702i,0.0015103+0.0008288i,0.0015683+0.00054003i,0.0010658+0.00058067i,0.0013433+0.0013039i,0.0015592+0.001394i,0.00075977+0.00083241i,0.00032911+0.00042305i,-1.8641e-05+6.4005e-05i,-0.00010919-0.00045825i,0.00034891-0.00092609i,0.00062534-0.0011814i,0.00083501-0.0011391i,0.00030652-0.00037213i,-0.0010635-2.4021e-05i,-0.00092692-0.00040501i,-0.00063984-0.00066132i,-0.00092444-0.00033001i,-0.00080186+5.1863e-05i
0.0013726+0.001674i,-0.00036859+0.0016446i,-0.00044634+0.00053709i,0.00011322-0.00060031i,0.00044245-0.00041885i,0.00014841+0.00075795i,-1.6495e-05+0.0005372i,0.00046416+0.00013379i,0.00099199+0.00045513i,0.00079257+0.00092187i,0.00018598+0.00056692i,0.00018172-2.3218e-05i,0.00082357-4.8499e-06i,0.00073903-0.00053805i,0.00047626-0.00070283i,0.00043901+0.00018397i,5.2019e-05+0.00055556i,0.0001408-0.00041395i,0.00039666-0.0011701i,0.00015201-0.00071703i,-5.3704e-05-3.774e-05i,-0.00068069+0.00058747i,-0.0014705-0.00071193i
-0.001165+0.00077264i,-0.00046659+0.0012207i,0.00044055+0.0012056i,0.0010151+0.000976i,0.00095897+0.00080263i,0.0011975+0.00039476i,0.00022996+0.0003544i,-0.00035667+0.00080564i,-2.9692e-05+0.0005927i,0.00043486-3.6198e-05i,0.0011848-0.00046736i,0.0014184-0.0002296i,0.00037737+0.00013308i,-3.2887e-05+0.00022681i,-3.1905e-05-5.9342e-05i,-0.00024667-0.00066175i,-6.2471e-05-0.00018585i,0.00029222+0.00046077i,0.00079658+4.0412e-05i,0.00090792+0.00042721i,0.00014758+0.0010242i,-0.00063358+0.00021763i,-0.00045245-3.0188e-05i
0.00011208-0.00092761i,-0.00022558-0.00089199i,-0.00040126-0.00067009i,-2.7635e-05-3.7266e-05i,-4.1025e-05+0.00036279i,0.00049169-0.00024366i,0.00094298-0.00064615i,0.00027624-0.00012958i,-0.00010649+0.00074694i,-0.00023152+0.00090668i,-0.00048358+0.00064757i,-0.00051362+0.00056944i,-0.00068471+0.00049184i,-0.00060201-2.2581e-05i,-0.00079961-2.8467e-05i,-0.0011523+0.00031586i,-0.00076864-2.1125e-05i,-0.00030749-0.00085097i,0.00068583-0.0015299i,0.0012871-0.0014115i,0.00042958-0.0008581i,5.9343e-05-0.00051435i,6.5862e-05-0.00024688i
0.0018128+0.00089165i,0.0019583+0.0012642i,0.0027493+0.00043429i,0.0019149-0.0002116i,0.00085231+0.00046429i,0.0011016+0.0014767i,0.0013842+0.0013047i,0.0012932+0.00079772i,0.00091913+0.00037908i,0.0007646-1.7094e-05i,2.9955e-05+0.00026106i,-0.00058781+0.00063178i,-0.00096732-7.6037e-05i,-0.0010751-1.5409e-05i,-0.00068736+0.00038159i,-0.00024782-3.6331e-05i,-1.1403e-05+0.00012481i,0.00088638+0.00017754i,0.00056026-0.00040821i,-0.00011271-0.0007741i,0.00050947-0.00065159i,0.00015047-0.00067159i,-0.00060258-0.00076062i
0.00025362-0.002552i,-0.00092451-0.0015676i,-0.0016931-0.0024705i,-0.0014382-0.0014052i,-0.0011775-5.259e-05i,-0.0005915+0.00049201i,2.6011e-05+0.00039259i,-0.00012647-1.1422e-05i,1.3033e-05-0.00021134i,0.00077192+0.00017961i,0.0010836+0.0014291i,0.00074163+0.0018901i,0.0010153+0.00055372i,0.0012653-0.00079893i,0.00096427-0.00075293i,0.00050227-0.00048588i,0.00010178-0.00030069i,1.7552e-05+0.00015767i,-0.00028402+0.00054704i,-8.9167e-05+0.00033038i,3.2025e-05+0.00012079i,-0.0003583+6.4181e-05i,-3.1178e-05-0.00051678i
0.001177+0.00093949i,0.001085+0.0012017i,0.0020579+0.00068051i,0.0020449-0.00089728i,0.001353-0.0013792i,0.0004834-0.0014862i,0.0002792-0.0015772i,0.00035174-0.00070287i,0.00060158+0.00024772i,0.00047986+0.00049475i,-0.0002408+0.00029649i,-0.00084417+0.0001106i,-0.00075735-0.00032972i,-0.00064887-0.00020437i,-0.0011975-0.00029066i,-0.0009132-0.0002571i,-0.0001747+2.8659e-05i,-8.9876e-05+0.00029693i,0.0001+0.00012563i,0.00023986-0.00041355i,0.00068479-0.00016993i,0.00093557-0.00025944i,0.00035358-0.00018443i
-0.00020081-0.0023087i,-0.00072298-0.0022839i,-0.0001419-0.0023609i,-0.0012072-0.00075712i,-0.00095513+0.00021211i,0.00055442+0.00066254i,0.00097367+0.00033825i,0.00022496+0.0003012i,0.00040976+0.0011103i,0.00086904+0.00097194i,0.0006288+0.00092486i,0.00046493+0.00092995i,0.00082367+0.0011288i,0.00076761+0.00039006i,0.00019731-0.00013019i,0.00043916+0.00051621i,9.8561e-05-6.4944e-06i,-0.00035613-0.00080162i,0.00063526-0.0008521i,0.00071835-0.00068886i,0.00012738-0.0007603i,-2.9933e-05-0.00085499i,-0.00022519-0.00017915i
0.00031569+0.0021407i,0.00014275+0.0016204i,0.00041165+0.0017712i,0.0007224+0.0010742i,0.0010195+0.00022001i,0.00021717+0.00061172i,-0.00024914+0.00072602i,-0.00013758+0.00039545i,-0.00043318+0.00057517i,3.2748e-05+0.00066396i,0.00021194+5.761e-05i,0.00022539-0.00036869i,-0.00031786-0.00098866i,-0.0012045-0.0011044i,-0.0010028-0.00067668i,-0.00073672-0.00080231i,-0.00024275-0.00081673i,0.0003738-0.00015002i,0.0005012-0.00012723i,8.3382e-05-0.00069399i,-0.00083314+0.0001007i,-0.00049152+0.00087402i,0.00031119+0.00054606i
