-0.0022559+0.00010046i,-0.0014955-0.0013717i,-0.0017229-0.0027272i,-0.0016092-0.0017532i,-0.0015604+0.0011397i,-0.00086517+0.0027902i,0.00049218+0.0019903i,0.0012172+0.00075834i,0.00089304+0.00098086i,0.00057791+0.00076787i,0.00037303+0.00036229i,0.00031502+0.00011328i,3.9426e-05-0.00057541i,-0.00021197-3.3922e-05i,7.1435e-05+0.00076916i,0.00033992-5.057e-05i,0.001011-0.00074853i,0.00082542-0.00075408i,0.00050937-0.00022417i,0.00028677+0.0008586i,-0.00021743+0.0010313i,0.00017155+0.00052079i,0.00073129+0.00053583i
-0.0004341-0.00079706i,0.00034695-0.00056268i,0.00015331-0.0013739i,0.00080067-0.0012837i,0.0013351-0.00034375i,0.00087179-0.00072037i,0.00065119-0.0017891i,-0.00021483-0.002077i,-0.00075897-0.0011891i,-0.00057098-4.5218e-05i,-9.3387e-05+0.00086379i,0.00026503+0.0009529i,-0.00048278+0.00011616i,-0.00060587-0.00029268i,0.00026902-0.00075934i,0.00042856-0.0016167i,0.00047651-0.0013427i,3.1376e-05-0.00015404i,-0.00025345+0.00050682i,6.8944e-05+5.9052e-06i,-0.00011126-0.00032108i,-2.4631e-05-0.00047953i,-0.00016539-8.4495e-05i
0.003286-0.00082538i,0.0040488+0.00014484i,0.0037655-0.0005921i,0.002521-0.00035033i,0.00044958+6.4363e-05i,-0.0013368+0.0002548i,-0.00068461+4.2378e-06i,-0.00017212-0.00066539i,-0.00054809-0.00071022i,-0.00038653-0.00057621i,2.8007e-05-0.00097426i,0.00053298-0.0013631i,0.00080954-0.001596i,0.00062699-0.001156i,0.00062375-0.00072847i,0.00038136-0.00084039i,0.00018202-0.00063941i,-2.1414e-05-0.00024295i,-2.9226e-05-0.00058962i,6.1843e-05-0.0011885i,0.00074596-0.00091093i,0.0004463+4.3006e-05i,-0.00056146+0.0005237i
3.9185e-05-0.0017156i,0.00031159-0.00067471i,4.7102e-06-0.0010493i,-0.00055604-0.0027508i,-0.00057061-0.003178i,0.00028439-0.0017996i,0.0009787-0.00032937i,-0.00018665-0.00013354i,-0.001935-0.00025467i,-0.0021932-5.3755e-05i,-0.0012448-0.00025359i,-0.00045764-0.00094193i,-0.00044336-0.0012318i,-0.00015914-0.00066061i,0.00057699+0.00012137i,0.00086743-9.481e-06i,0.00093684-0.00055938i,0.00091297-0.00065461i,0.00069633-9.6372e-05i,0.00055833+0.00011741i,0.00029069+0.00053553i,7.6666e-05+0.00055923i,0.00056401+0.00011033i
0.00025236+0.0022293i,1.076e-05+0.0012672i,0.0010227+6.0433e-05i,0.001477+9.0912e-05i,0.001731-3.8364e-05i,0.0020385-0.0005373i,0.0012372-0.0012587i,-0.0001199-0.0013396i,-0.00089687-0.00089471i,-0.0010004-0.00036759i,-0.00019168-0.00071007i,0.00095077-0.00070156i,0.00114-0.00027732i,0.00074929-0.00032484i,0.00014511-3.5909e-05i,0.00014756+0.00013557i,0.00022623+0.0002132i,-0.00027708+0.00040977i,-0.00062956+0.00071602i,-0.00010496+0.00064848i,0.0005462+0.00031908i,0.00050562+0.00050336i,0.00011169+9.4684e-05i
0.0027036+0.0023801i,0.002173+0.0025716i,0.0035406+0.0017544i,0.0023819+0.0009399i,-5.0221e-05+2.9212e-05i,-0.0003532-0.0010708i,6.4664e-05-0.0011269i,-1.1643e-05-0.00016922i,-0.0008247+0.00084627i,-0.00037499+0.00017319i,0.0010203-0.00065617i,0.00071071+0.00011379i,8.2071e-06+0.0004118i,0.00021839+0.00018909i,0.00045762-1.4943e-05i,0.00087168-0.00048321i,0.00040021-0.0003231i,-0.0001489+0.0009021i,-8.393e-06+0.0013696i,-9.9813e-05+0.00086726i,0.00015035+0.00018183i,0.00053392+0.00050563i,0.00023878+0.00080596i
0.0017222+0.0014864i,0.0013021+0.00051154i,0.0016841-0.00094589i,0.0010804-0.0017095i,0.0010504-0.0015505i,0.0011089-0.0011214i,0.00059902-0.00074616i,-0.00010817-0.00043196i,-0.00055563-0.00021768i,-0.0002941+0.00012135i,2.2771e-05+0.00025467i,-0.00025698+0.00029369i,-0.0004255+0.00041288i,6.7617e-05-0.00015324i,0.00021313-0.00032465i,1.7673e-05+8.4779e-05i,0.00049387-0.00030425i,0.00043518-0.0006908i,0.00066971+5.7246e-05i,0.00047103+0.0002167i,-0.00019394+0.00031663i,-0.00070722-8.1786e-05i,-0.00012391-0.00050343i
-0.00059592-0.00056103i,-0.0016855-0.00042045i,-0.0024118-0.0001537i,-0.0023119+0.00062947i,-0.0017245+0.0008112i,-0.00073291+0.0002459i,-0.00012597-0.00055199i,-0.00022178-0.00067128i,-0.00039914-0.00010383i,-0.00072018+0.00015856i,-0.00080108-0.00043611i,-0.00057808-0.00073137i,-0.00073037-6.7227e-05i,-0.00081718-0.00014967i,-0.0007434-0.00054935i,-0.00054069-0.00041018i,0.00054296-0.00023957i,0.00079852-0.00034173i,0.00031038-0.00019555i,-0.00026599+0.00054454i,-0.00030522+0.0014014i,0.00013711+0.0017132i,0.00069198+0.0010684i
0.0012121+0.0031733i,0.0022841+0.0026973i,0.0022257+0.0029507i,0.0009062+0.0017934i,0.00074648-0.00041258i,0.00080369-0.00095831i,0.00010203-0.00070395i,-0.00086482-0.00037992i,-0.0015109-0.00021197i,-0.00086941+1.6726e-05i,0.00035354-2.1887e-05i,0.00035073-0.00026377i,-0.00033876-0.00038786i,0.00045039-0.00066422i,0.00087197-0.0011762i,0.00024439-0.00078309i,0.00031488+4.2525e-05i,0.00013188+0.00026508i,0.00020416+6.6775e-05i,0.00042516-3.6238e-05i,0.00088833+0.00064639i,0.0017194+0.00089553i,0.0012057+0.00032269i
-2.9353e-05-0.00046962i,0.00097481-7.9532e-05i,0.00078092-0.00080853i,0.00057011-0.0011331i,0.00052025-0.00082686i,0.001004-0.0012639i,0.0012151-0.0022242i,0.00056526-0.0025242i,-0.00034235-0.0012294i,-0.00091794+0.00013275i,-0.00070681+0.00051622i,-0.00038119+0.00034051i,-0.00019538-9.8333e-05i,-0.00044438-0.00019273i,-0.00066591+0.00014854i,6.5149e-05-1.3057e-05i,0.00057868+0.00040149i,0.00023756+0.00048896i,0.00022699+0.00028004i,-0.000437+0.00024375i,-0.0011996+0.00037471i,-0.00085804+0.00099269i,-0.00085265+0.0014482i
-0.00020085-0.00020431i,0.00020478+0.00018419i,-0.00031515+0.00048121i,-0.00076124+3.2345e-05i,0.0004482-0.00020449i,0.00057512+0.0003854i,0.00058862+0.00035541i,0.00095506-0.00013657i,-0.0004292-0.00039509i,-0.0017599-0.00026944i,-0.0011338+0.00018139i,-0.00013561-9.3561e-05i,1.9285e-05-0.00041887i,-0.0005931-0.00049297i,-0.00025296-0.00019364i,0.00057078+0.0001707i,0.00018439+0.00022764i,-0.00039781+0.00054185i,-0.00020096+0.001496i,0.00017691+0.0011307i,0.00016099-1.4849e-05i,0.00044109-2.96e-05i,0.00033624+0.00021793i
-0.00056389+0.00058447i,0.00014171+0.00085737i,-7.3126e-05+0.0013174i,-0.001269+0.00040935i,-0.00064118+5.2865e-05i,0.00082107-0.00030996i,0.00081856-0.0014089i,-0.00047371-0.0021171i,-0.0012766-0.0012374i,-0.0010172-0.00031659i,-0.00074522-0.00047026i,-0.0004771-0.0010831i,-0.00016384-0.00069664i,-0.00062003+0.0001185i,-0.00059368+0.00011955i,0.00015186+0.0001804i,0.00032008-0.00021139i,-0.00034822-0.00010053i,-0.0010639+2.1933e-05i,-0.00079587-0.00054985i,-0.00017219-3.232e-05i,0.0003328+0.00012426i,0.00034717+0.00013698i
-0.00024358+0.0013888i,0.00015306+0.00072178i,0.00064174+2.0658e-05i,0.00093456-0.00067326i,0.001036+0.00044484i,3.1431e-05+0.00063028i,-0.00029633-0.00024976i,-0.00013808-0.00070185i,-0.00070878-0.00063962i,-0.00039224+0.00016951i,0.00046447-0.00039426i,0.00017944-0.00096958i,-0.00013974-0.00076407i,0.00060712-0.00052442i,0.0012087-0.00044565i,0.00077174-0.00027505i,0.00031951+0.00021893i,0.0006209+0.00058121i,0.00057898+0.00064022i,7.7325e-05+0.00018185i,0.00020108-0.00052583i,0.00027336-0.00070967i,0.00031369-0.00038806i
-0.00015208+0.0011846i,-0.00050686+0.0015791i,-0.00077293+0.0013871i,0.00049606+0.00061572i,0.0016852-0.00014514i,0.0018308-0.00020089i,0.0010725-2.0171e-06i,-0.00013965-0.00055402i,-0.0011036-8.163e-05i,-0.00069472+0.00044506i,0.00017388+8.8896e-05i,0.00072992+3.6368e-06i,0.00070273-9.1827e-05i,0.00045898+0.00044045i,0.00074369+0.0011858i,0.0010001+0.00068557i,0.00046144-2.719e-05i,0.00057844-7.9468e-05i,0.0008+0.00087258i,0.00024513+0.0012206i,-0.00017418+0.00051261i,-0.00037528+0.00089753i,-1.2474e-05+0.0012991i
-0.0011696-0.00059033i,-0.0021434-0.00053232i,-0.0027552-0.0006186i,-0.0028209-0.00055006i,-0.0021242+0.00055802i,-0.00071789+0.00088122i,-0.00013187-0.00015971i,-0.00073363-0.0001997i,-0.00093438+0.00039002i,-0.00065778+0.00091773i,-0.00032898+0.00078725i,-6.3805e-05+0.00030002i,0.00011435-5.0481e-05i,-0.00025628+0.00017013i,-0.00052111+0.00015159i,-0.00047488-0.0001139i,0.00013483-0.00053803i,0.00037963-0.00059683i,-7.1335e-06+0.00014916i,6.5338e-05+0.00042224i,0.00058991+0.00065391i,0.00023379+0.0007246i,0.00041653-0.00017621i
-0.0014876+0.0010678i,-0.0018265+0.0007787i,-0.0018648+0.00030243i,-0.0010813+0.0003369i,0.0010568+0.00013458i,0.0017249-7.6458e-05i,0.0010012-0.0010394i,-5.2829e-05-0.0013807i,-0.0010137-0.00068629i,-0.0011835+0.00029341i,-0.0014862+0.00094029i,-0.00062153+0.00045551i,0.00054824+0.00039158i,-0.00015974+0.00084335i,-0.00069667+0.00057696i,-7.7635e-06-0.00044431i,9.3392e-05-0.00092689i,-0.00014103-0.00060157i,0.00053471+0.00025832i,0.00022769+0.00030179i,-0.00026358-0.00068938i,-0.00034999-0.00068214i,-0.00079889+0.0003136i
0.00081473+0.0035265i,0.0013339+0.0031871i,0.002047+0.0027819i,0.0024512+0.0011394i,0.0021656-0.00029675i,0.0015707-0.00050114i,0.0011175-0.00076845i,-0.00031105-0.0018579i,-0.0011751-0.0015676i,-0.00071835-0.00030593i,-7.4253e-05-5.7284e-05i,0.00059966+0.00029149i,0.00096056+0.00090514i,0.00017099+0.00090284i,-0.00026347+0.00020214i,-0.00016896-0.00023084i,-0.000857-0.0002137i,-0.0010314+0.00024747i,-0.00065134+0.00048299i,-0.00063016+0.00077453i,-0.00076563+0.0005293i,0.00012557+0.00041363i,0.0010092+0.00033774i
-0.00064273+0.0012813i,0.00029786+0.00175i,-0.00069847+0.0027287i,-0.0014547+0.0025383i,-0.00049938+0.0010444i,0.00015383-0.00015176i,-0.00044671-0.00060624i,-0.00099886-0.0010427i,-0.00085723-0.00042143i,-0.00089198+0.00039718i,-0.00093684+0.00017149i,1.9357e-05-0.00023348i,0.00023398-0.00021872i,0.00011209+0.00064637i,0.00065431+0.00089819i,0.00059088+0.00013909i,0.00062781-0.00042728i,0.0012252+0.00011443i,0.0011917-0.00010782i,0.00050125-0.00054942i,0.00035212+0.00050472i,0.00018831+0.00074791i,-0.0001053-0.0001292i
-0.0019982-0.0015763i,-0.0023405-0.00093649i,-0.0018457-0.0013522i,-0.0014529-0.001335i,-0.0015598-0.00017877i,-0.001101+0.00039739i,-0.00045572+0.00027579i,-0.00077745-0.00024683i,-0.001228-0.00082784i,-0.0013135-0.0011132i,-0.0010554-0.0010579i,-0.0005841-0.00054824i,1.5186e-05+0.00060817i,0.00031332+0.0016603i,0.00022665+0.0011395i,4.8093e-06+0.00053071i,-0.00028681+0.00029623i,-0.00093994+0.00010833i,-0.00082657+0.0001541i,7.6335e-05+0.00030678i,0.00054919+0.00077296i,0.0005508+0.00096316i,0.00017419+0.00090933i
0.00094366-0.0020871i,0.0014739-0.0020317i,0.00042448-0.0026157i,0.0011122-0.0013215i,0.0014519-0.00028327i,0.0006807-0.00090212i,0.00036189-0.00085289i,-7.0408e-05-0.00091027i,-0.0010925-0.00023072i,-0.0013952+0.00015816i,-0.00055501-2.3887e-05i,9.9338e-05-0.0005497i,0.00043252-0.00069721i,6.8503e-05+1.6497e-05i,-0.00084914-9.5675e-05i,-0.00091533-0.00050579i,-0.00013505+0.00046383i,-0.00021189+0.00081828i,-0.00060931+2.9081e-06i,-0.00013078-0.00043544i,-0.00021251-9.1099e-05i,-0.00046781+0.00024691i,-7.2279e-05+0.00061445i
0.0016012-0.00034582i,0.0017392-0.00049626i,0.0011801-0.00090471i,-0.001163-0.0013228i,-0.0017082-0.0013535i,-0.00038956-0.00074749i,4.7506e-05+9.3291e-05i,-0.00027689+0.00033195i,-0.00098649+0.00080722i,-0.001035+0.00083379i,-0.00034653+0.00052861i,-2.4539e-05+0.00065059i,0.00010464+0.00011557i,6.6712e-05-0.00050958i,0.00060369-0.0010133i,0.00060257-0.00065003i,-0.00049081+0.00024178i,-0.00041207+0.00047209i,-1.8146e-05+0.0011221i,-0.00072173+0.0013263i,-0.0013912+0.00041265i,-0.0012283+7.8496e-06i,-0.000556+0.00046615i
-0.0010912-0.00083724i,-0.0010255-0.00075904i,-0.001104-0.00036984i,-0.00078649-0.00038803i,-0.0011357-9.1996e-05i,-0.00094854+3.0635e-05i,-0.00014645-0.00018486i,-0.0006545-0.00051017i,-0.0012498-0.0008602i,-0.0013593+0.00014651i,-0.00097496+0.00055524i,0.00012669+0.00032741i,0.00039624+0.00044055i,-0.00058647-0.00010803i,-0.0010413-0.0015407i,-0.00040861-0.0013082i,0.00022189-0.00086913i,0.00023672-0.00068655i,-0.00013346-0.00023213i,-4.5004e-05+0.00030342i,0.00091875+0.00080044i,0.00074691+0.00078856i,-0.00021902+0.00074308i
-0.0019212+0.00045242i,-0.0025245+0.00036715i,-0.0017112+0.00023901i,-0.0006307+0.00096947i,-0.00032834+0.0010816i,4.2163e-05-0.00021258i,-1.1204e-05-0.0012276i,-0.00074259-0.001016i,-0.0011029+0.00021804i,-0.0013413+0.0012278i,-0.00075997+0.00091049i,-6.6853e-05+0.00031762i,0.00096595-0.00017625i,0.0013115-0.0011221i,0.00036858-0.0012363i,-0.0002649-0.00054535i,-0.00039717-0.00050306i,-0.00014597+9.8092e-05i,-0.00045367+0.00064304i,-0.0011807+0.00034984i,-7.47e-05+0.00038261i,0.00083322+0.00025122i,0.00031912-0.00035678i
-0.00049267+0.0027627i,-0.00010986+0.0026687i,0.0012827+0.0018232i,0.0015377+0.00014073i,0.00027253-8.465e-05i,-0.00062201+0.00035911i,-0.0015494+0.00047976i,-0.0016409-0.00020749i,-0.0010178-0.00017767i,-0.00015613+0.00078291i,0.00067827+0.0017213i,0.00026196+0.0012026i,-0.00035172-0.00041372i,-9.8362e-05-0.00076385i,0.00010896-3.3101e-05i,-9.0356e-05-4.3551e-06i,-0.00027586-0.00024253i,-0.00028944-0.00016488i,0.00019659+0.00058029i,0.00040657+0.0010826i,0.00080238+0.00058318i,0.0010382+0.00028946i,0.00036737+4.0292e-05i
-0.0004841+0.00050497i,0.00049629+0.00043037i,0.00055789+0.0013356i,3.3663e-06+0.0014593i,0.00040645+0.0010501i,0.0020547+0.00086527i,0.0019437+0.00039422i,0.00024675-0.00012804i,-0.00045554+0.00081832i,-0.00066711+0.00099696i,0.00029487+0.00022045i,0.0013193+5.8143e-06i,0.0013659+0.00073635i,0.0011951+0.00050247i,0.00032077-0.00060593i,-0.00042813-0.0001004i,7.0504e-05+0.0003983i,0.00085503+0.00010191i,0.00011195+0.00023881i,-0.00058756-0.0001458i,-0.00024905-8.0825e-05i,0.00019337+0.00011269i,0.00043306-0.00024604i
-0.00096111-0.0012299i,-0.0018739-0.00083035i,-0.0024214-0.00028612i,-0.0014154+0.00058324i,3.3027e-06+0.00085504i,0.0011083+0.00079549i,0.00096976-2.9969e-05i,-0.00074614-0.0012181i,-0.0019985-0.0011685i,-0.0017323-0.00023581i,-0.00091231+0.0008936i,-0.00030974+0.00073002i,-0.00030051-0.00011719i,-0.00029502-0.0005203i,-0.00020396-5.2743e-05i,-1.9317e-05-7.033e-05i,0.00061356-0.00016398i,0.0012103+0.00066634i,0.00098493+0.0012982i,0.00079554+0.0014039i,0.00065303+0.0004631i,-2.5162e-05-0.00065355i,1.0344e-05+0.00015645i
0.0026492+0.00056657i,0.0022085-0.00058035i,0.0010801-0.0011894i,0.00013453-0.00079856i,0.00057347-0.00079637i,0.00080016-0.00085787i,-0.00078301-0.00061632i,-0.0013346+1.6004e-05i,-0.0013016+0.00081704i,-0.001116+0.00029731i,-0.00039987-2.6872e-05i,0.00050472-6.388e-05i,0.0010701-0.0011368i,0.00031009-0.0015238i,0.00027874-0.00076846i,0.00037383+2.2152e-05i,8.067e-05-0.00016908i,3.6088e-05-8.532e-05i,-0.00040665+1.0733e-05i,-0.00035369+0.0001357i,-5.6785e-05+0.00035607i,0.0004276-0.00013369i,0.0002658+0.00025985i
-0.001518+0.0026548i,-0.000647+0.0031417i,-0.00070203+0.0036377i,-0.00088403+0.0027801i,-0.00015093+0.0011576i,0.00077067+0.00016909i,0.00067749-0.00027895i,-0.00046216-0.0012314i,-0.00085921-0.001574i,-0.00054387-0.00026361i,-0.00068421+0.00062708i,-0.00070907+0.00010677i,0.00022486-0.00067914i,0.00071046-0.00053258i,0.00034953-0.0001551i,0.00026361-5.0444e-05i,0.00038436-9.7408e-05i,-6.5839e-05+0.00026751i,-0.0011341+0.00025171i,-0.0012705-0.00016474i,-0.00014838+0.00024689i,0.00053641+0.00023962i,8.297e-05+0.00020983i
0.0008783-0.0016319i,0.0013565-0.0008788i,0.0018946-0.00013964i,0.0018528+0.00064311i,0.0013081+0.00099311i,0.0010287+0.00031897i,0.0011196-0.00064952i,-0.00070448-0.001352i,-0.0024462-0.0013013i,-0.0018084-0.00060257i,-0.00057753-0.00022026i,4.2944e-05-0.00095393i,0.00010506-0.00084505i,-2.1803e-06-0.00062421i,-0.00027977-0.001113i,-0.00010565-0.00064853i,0.00030108+0.00013256i,0.00039995+0.00062496i,0.00041503+0.00012764i,0.00060772-1.4001e-05i,0.00053813+0.00064859i,0.00056986+0.00073437i,0.00022984+0.0005491i
0.00067603+0.0012768i,0.00090493+0.00066472i,-8.2284e-05-0.00075282i,-0.0019398-0.0011315i,-0.0024285-0.00042626i,-0.0014755-0.00061734i,-0.00094448-0.0019285i,-0.0012224-0.0022801i,-0.0014142-0.00093183i,-0.0014513-0.00012811i,-0.00056231+0.00025604i,0.00010372+0.00033276i,0.00035579-0.00028565i,0.0004326-0.00050509i,0.00074076-0.00080657i,0.00049516-0.0011938i,-0.00021505-0.00031124i,-0.00021621+9.2285e-05i,0.00013044+0.00041332i,-9.8047e-05+0.00090366i,3.7165e-06+0.00084927i,-2.7219e-05+0.00046428i,0.00010101-0.00063374i
0.00017983+0.00056402i,0.00023289-0.00026493i,0.00023936-0.0016334i,0.00050083-0.0024141i,0.00067362-0.0031745i,0.001479-0.0020442i,0.0015404-0.0012902i,1.6233e-05-0.0010201i,-0.001498-0.00023282i,-0.0018027+0.00018722i,-0.0014755-8.148e-05i,9.595e-05-0.0006945i,0.0011112-0.00042189i,0.00081759+0.00034073i,0.00027286+0.00041724i,-6.8501e-05+3.998e-05i,-0.00057203+0.00031943i,-0.00059078+0.0005355i,2.0702e-05+0.00023345i,-9.5793e-05+0.00032618i,-4.9381e-05+0.00056632i,0.0005469+0.00050086i,0.0010607+0.00024335i
0.0017714-0.00045741i,0.0018515+0.00013024i,0.001915+0.00013503i,0.0016369+0.00020762i,0.0010731+0.00059623i,0.0007366-0.00022024i,6.8802e-05-0.0010136i,-0.00076463-0.00066024i,-0.0018383+0.00011087i,-0.0025259+0.00038978i,-0.0017316-0.00048073i,-0.00037566-0.00078371i,0.00019026-0.00048219i,0.00018968+7.5125e-05i,0.0006087+0.00085322i,0.00085433+0.00038684i,-0.00011299+3.4022e-06i,-0.00010268+0.00028005i,0.00067496+0.00062994i,0.00071902+0.00024619i,0.00048836-0.00044827i,0.00011309-0.00070306i,-0.0006376-0.00022756i
