-0.0040018+0.0010774i,-0.0026404+0.001396i,-0.0019436+0.0025561i,-0.0002607+0.003264i,0.00082683+0.0037689i,0.001993+0.0038359i,0.0021208+0.002567i,0.0012783+0.0011315i,0.00060698+0.0011057i,0.00060898+0.0015381i,0.0012071+0.0011364i,0.0018845-4.5635e-05i,0.001454-0.0015048i,-0.00012501-0.0025954i,-0.0014264-0.0023397i,-0.0017104-0.0017147i,-0.00070696-0.00080405i,0.00057352+0.0003904i,0.00084211+0.00094917i,0.00054546+0.00049942i,-0.00020648-0.00024982i,-0.00065016+0.00014089i,-0.00093466+0.00073943i
-0.0006164-0.0001868i,-0.00094636+0.00080501i,2.0984e-06+0.0013572i,0.0007058+0.00097592i,0.0010383+0.00069315i,0.0011953+0.0009619i,0.0007036+0.00048996i,-0.00016058+0.00090237i,-0.00077598+0.0014813i,-0.00010755+0.00064566i,0.00036182+0.00048476i,0.00011612+0.0010728i,-0.00063167+0.00074138i,-0.0011145-9.3456e-05i,-0.00064729-6.3664e-05i,-0.00022185-5.8557e-05i,0.00014816-0.000327i,0.00033844-0.00031137i,0.00047577-0.00029512i,0.0010447+3.7744e-05i,0.0009508+0.0004171i,0.0001004+0.0006681i,-0.0002338+0.0010391i
-0.001575-0.0014351i,-0.0020717+0.00027114i,-0.002677+0.0012093i,-0.0028292+0.0014994i,-0.0024786+0.00095563i,-0.0016094+0.0010556i,-0.00014477+0.001496i,0.00040808+0.00067663i,-0.00020714-9.4331e-05i,-0.00093842+2.7618e-05i,-0.0010994+0.00018932i,-0.00011258+0.0004502i,0.00053651+0.00030808i,9.8135e-05-0.00021211i,-0.00028318-0.00096499i,-0.00042871-0.0010114i,-0.00026859-0.00052124i,-0.00031148-0.00015663i,-0.00071896-0.00018815i,1.2332e-05-0.00065209i,0.00076642-0.00010343i,0.00061992-0.00042973i,0.00049794-0.00097969i
-0.0010744+0.0013731i,-0.00097207+0.0014061i,-7.1992e-05+0.0019863i,0.0008959+0.00092273i,0.0018875-7.2285e-05i,0.001867-0.00023733i,0.001225-0.00029973i,0.0014254+0.00010185i,0.00067426+0.0006236i,-0.00045402+0.00025461i,-0.00032042-0.00021219i,-0.00039169+0.00051301i,-0.00062607+0.00063188i,-0.00051171+0.00011071i,0.0002079-0.00011235i,0.00051335+3.4947e-05i,0.00054353+0.00030388i,0.0007265+0.00067718i,-0.00020903+0.00053395i,-0.00083499+0.00034022i,-0.00040309+0.00018612i,-0.00020568-0.00034342i,-0.0002574-0.00059465i
-0.00096697-0.00096932i,-0.0019245-0.00075348i,-0.0024885-0.00089175i,-0.0020329+2.0885e-05i,-0.0011246+0.00095719i,-0.00010494+0.0014134i,8.8816e-05+0.00072764i,0.00019515-0.00033904i,-2.8801e-05-0.00038143i,-0.00046344-0.00030506i,-0.00041524+3.1174e-05i,-0.00033901+6.1214e-05i,-2.2183e-05-0.00041498i,-0.00016793-0.00030468i,-0.0011194-0.00051582i,-0.0011757-0.00056651i,-0.00059358+0.00019864i,1.7138e-06+0.00021086i,0.0001406-0.00014163i,-0.00039495-0.0008853i,-0.00072959-0.00093346i,-0.00010666-0.000541i,0.00091354-0.0003893i
0.00095105+0.001982i,0.0011889+0.0019002i,0.0028644+0.0021744i,0.0032158+0.0026854i,0.0024633+0.0021235i,0.0014662+0.0013708i,0.0016685+8.3793e-05i,0.0022412-0.00032487i,0.0017146+0.00034606i,0.0014495+0.00045865i,0.00065334+0.00042804i,7.6679e-05+0.00066699i,0.00052458+0.00085505i,-0.00024109+0.00072648i,-0.0012765+0.00043109i,-0.00040629+8.1487e-05i,0.00032684-0.00025361i,0.00018972-0.00034864i,0.00057687-0.00069333i,0.0010184-0.00071311i,0.00078395-0.0002997i,0.00042194+0.00036692i,0.00018963+0.00030956i
0.0006208-0.00044332i,0.00014323-0.0015597i,0.00040356-0.0015414i,-6.9812e-05-0.0018709i,-0.00028536-0.0018839i,-0.00018022-0.00035133i,0.00012294+0.00081861i,0.00094186+0.00082625i,0.0010023+0.00027071i,0.00085318-0.00035049i,0.00044745-0.00029481i,0.00010757+0.00024234i,-0.00036588+0.00073808i,-0.00021124+0.0010836i,0.00015101+0.0003265i,0.0002102+7.3739e-05i,6.147e-05+0.00091673i,-0.00018443+0.0013599i,-0.00079935+0.00050384i,-0.0010706-0.00036994i,0.00024097-0.00010251i,0.00057852-0.00012626i,0.00061979-0.00067329i
-0.00088904+0.00044901i,-0.0017235+0.0017358i,-0.0013523+0.0023129i,-0.00055807+0.0019733i,0.00029405+0.0015741i,0.0010598+0.00097964i,0.001221+8.3378e-05i,0.0011062-0.00022765i,0.0012808+0.0001321i,0.0011604+0.00016932i,0.0003099-7.4722e-06i,-1.4486e-05+0.00018889i,0.00037813-0.00024887i,0.00051965-0.00062125i,0.00054539-0.00013397i,0.00061678+0.00033534i,0.00030596+0.00048283i,-0.00060033+5.5931e-05i,0.00016426-0.00027602i,0.00097499-0.00011395i,-0.00016489-0.0001848i,-0.00063366-0.00043687i,-0.00042918+0.00015197i
4.7882e-05-0.00041702i,-0.00071353+0.0005599i,-0.0010972-0.00019371i,8.0194e-05-0.00026668i,0.00060632-9.3221e-05i,0.00081725+0.00010387i,0.0010541+0.0001404i,-0.00013076+0.00016416i,-0.00062339+0.00025602i,-0.00035182+0.00013052i,-0.00075814+0.00028117i,-0.00094596+0.00077958i,-0.00029435+0.0012091i,-8.1541e-05+0.00061038i,-0.00013446-0.00028173i,-0.00011963-0.00030776i,-0.00073072+6.4713e-05i,-0.00079476+0.00017553i,-0.00030447+1.8949e-05i,-0.00012055-8.8715e-05i,0.00011756-0.00046082i,4.452e-06+7.5115e-06i,-0.00059932+0.00077244i
-0.00065803+0.00095005i,-0.0008501+0.0015576i,-0.00022804+0.0011657i,-0.00025596+0.00050112i,-0.00083331+0.00055469i,-0.00064821+0.001117i,-7.7462e-05+0.0006763i,0.00022416-0.0003173i,0.00021583+7.2431e-05i,0.00016255+0.00028042i,0.0002439+0.00013132i,0.00040965+0.00026556i,0.00029902+0.00038418i,-0.00055843+0.0006492i,-0.0013062+0.00039327i,-0.00042553-3.2768e-05i,0.00043477-0.00035981i,0.00025602-0.00047914i,-0.0001479-0.00047168i,-0.00028377+1.9881e-05i,-0.00067093-0.0001215i,-0.00051391-7.7642e-05i,-0.00017603+0.0004278i
0.00011983+0.0010189i,-1.9036e-05+0.00089136i,0.00032646+0.00041726i,0.00077242+0.00066232i,0.00064417+0.00022546i,0.00021201-0.00019935i,0.00041696-0.00015423i,0.00045221+0.00010663i,0.00018777+0.00040316i,0.0002842-0.00031794i,0.0002255-0.0010434i,-0.00055356-0.0004736i,-0.0010498-5.4639e-05i,-0.00071329-0.00015587i,-0.0001542-0.00019966i,-9.2014e-05-0.00038104i,0.00018948-0.00058509i,0.00024616-0.00082486i,0.0004618-0.0014158i,0.00053221-0.00078556i,0.0003009+0.00034279i,2.969e-05+0.00051353i,-0.00061491-0.00016563i
