-0.0040018+0.0010774i,-0.0026404+0.001396i,-0.0019436+0.0025561i,-0.0002607+0.003264i,0.00082683+0.0037689i,0.001993+0.0038359i,0.0021208+0.002567i,0.0012783+0.0011315i,0.00060698+0.0011057i,0.00060898+0.0015381i,0.0012071+0.0011364i,0.0018845-4.5635e-05i,0.001454-0.0015048i,-0.00012501-0.0025954i,-0.0014264-0.0023397i,-0.0017104-0.0017147i,-0.00070696-0.00080405i,0.00057352+0.0003904i,0.00084211+0.00094917i,0.00054546+0.00049942i,-0.00020648-0.00024982i,-0.00065016+0.00014089i,-0.00093466+0.00073943i
-0.0021906-0.010435i,0.0012409-0.031018i,0.0178-0.05512i,0.036787-0.05569i,0.033916-0.026161i,0.014906-0.0057723i,0.0019048-0.010448i,-0.0068067-0.018208i,-0.014639-0.014585i,-0.013907-0.003819i,-0.0061714+0.0017311i,-0.0016094+0.000519i,-0.0011849-3.9381e-05i,-0.0011509+0.0008808i,-0.0020468-0.0010538i,-0.0043126-0.0024325i,-0.0050603-0.001046i,-0.0037475+0.00057887i,-0.0031062+0.0011887i,-0.0029057+0.0021741i,-0.00074002+0.0018222i,0.001182-0.0010763i,0.00078507-0.0030831i
0.0039185+0.0070659i,0.0054822+0.031172i,-0.0013224+0.065491i,-0.015482+0.078521i,-0.020498+0.053589i,-0.013339+0.023052i,-0.010889+0.0089235i,-0.014168+0.0060705i,-0.012562+0.010202i,-0.0043974+0.011064i,0.0025036+0.0041164i,0.0023437-0.00050659i,0.0016892+0.001005i,0.0032797+0.003182i,0.0028719+0.0040384i,0.0026391+0.005047i,0.0042086+0.0060262i,0.0042922+0.006748i,0.0032525+0.0059192i,0.0023059+0.0029578i,0.00045057+1.9905e-05i,-0.0019131-0.00091312i,-0.002464+6.404e-05i
-0.0089902-0.010543i,-0.023963-0.030755i,-0.032527-0.063964i,-0.021265-0.082535i,-0.0021345-0.06139i,0.0013421-0.025498i,-0.0086972-0.0029124i,-0.010919+0.0091641i,0.0014593+0.011017i,0.011989+0.0020871i,0.0079742-0.0052488i,0.00056958-0.0045021i,0.0006353-0.0031121i,0.001832-0.0042315i,0.00088733-0.0028629i,0.00059768+0.00040688i,0.00067149+0.0015279i,0.0011944+0.00016907i,0.0024284-0.0012714i,0.00339-0.0025126i,0.0014006-0.002287i,-0.0013431+0.00030898i,-0.0017309+0.0010923i
0.011711+0.0022311i,0.032357+0.01937i,0.054803+0.049989i,0.054206+0.071607i,0.027074+0.05597i,0.0032928+0.026093i,0.0026265+0.016445i,0.010594+0.014532i,0.010207+0.0032761i,4.6386e-05-0.0072234i,-0.0075955-0.0067493i,-0.0063242-0.0014677i,-0.0014753-6.7826e-05i,0.0010156-0.00066918i,0.0023019-0.0012782i,0.0035238-0.0026153i,0.0045874-0.0035583i,0.00601-0.0039417i,0.0059705-0.0036264i,0.0024543-0.0026337i,-0.00047752-0.00033912i,-0.00031878+0.0020885i,-0.00030608+0.0024312i
-0.011896-0.0035943i,-0.041122-0.013737i,-0.075266-0.033253i,-0.084956-0.047872i,-0.060601-0.039056i,-0.026148-0.012314i,-0.0063779+0.0053249i,-0.00098705+0.0055117i,-0.0073126-0.00022819i,-0.016208-0.00022961i,-0.015143+0.0036625i,-0.0083057+0.0032178i,-0.0066852-0.00027019i,-0.0074608-0.00076544i,-0.006156+0.00028899i,-0.004234-0.00045842i,-0.0028124-0.0017347i,-0.0026501-0.0013i,-0.0031642-0.00027031i,-0.0028727+0.00089024i,-0.0014261+0.0010975i,-0.00015187-0.00012757i,0.00025067-0.00071107i
0.011288-0.0069166i,0.039213-0.010965i,0.081011-0.011821i,0.10157-0.0022797i,0.077107+0.013933i,0.035754+0.015015i,0.018048+0.0021858i,0.012449-0.0055647i,0.0016623+0.0015687i,-0.0035467+0.015288i,-3.4671e-05+0.016874i,0.001734+0.0071423i,-0.00034339+0.0016848i,-0.0018136+0.0020778i,-0.0024906+0.0010183i,-0.0029769-0.0011842i,-0.0027178-0.0024657i,-0.0013187-0.0029976i,-0.001397-0.002746i,-0.0021085-0.0010102i,-0.0012461+0.0012496i,-0.00023576+0.0022075i,0.00030933+0.0020535i
-0.010854+0.0085966i,-0.041677+0.021516i,-0.088142+0.04113i,-0.10973+0.042864i,-0.080619+0.017756i,-0.031698+0.00095666i,-0.008005-0.00048868i,-0.0037263+4.5125e-05i,0.0056783+0.0028108i,0.017072+0.0034493i,0.017533-0.0012179i,0.0073812-0.0041066i,-0.0001166-0.00054121i,-0.00034649+0.0040379i,0.0014809+0.0057405i,0.0019161+0.0065537i,-0.00024151+0.006563i,-0.0028832+0.0057692i,-0.0028577+0.0044958i,-0.00094558+0.001435i,0.0002526-0.001551i,0.00053845-0.0015577i,0.00063179-0.00055323i
0.0048422-0.015977i,0.022101-0.036948i,0.049817-0.070866i,0.065149-0.084758i,0.049274-0.056035i,0.019553-0.024134i,-0.0017442-0.016314i,-0.006912-0.015301i,0.00090967-0.013671i,0.0097354-0.016133i,0.0081395-0.015533i,0.0036586-0.0087126i,0.0051812-0.0020803i,0.0091827-4.7762e-05i,0.0085953-0.00023456i,0.0047564+0.00082435i,0.0011895+0.0015255i,0.00059234-0.00035103i,0.001978-0.0023522i,0.0028155-0.0037184i,0.0017408-0.0040392i,-0.00067484-0.0031664i,-0.0013749-0.00306i
-0.0016703+0.013915i,-0.0066943+0.047163i,-0.019946+0.10352i,-0.029894+0.13596i,-0.028739+0.098757i,-0.02328+0.041786i,-0.015433+0.022175i,-0.010061+0.016693i,-0.013253+0.0011789i,-0.021161-0.011768i,-0.020806-0.010737i,-0.011802-0.0050769i,-0.0030617-0.0034582i,0.001517-0.0050783i,0.0032051-0.006625i,0.0045487-0.0051755i,0.0058484-0.0010202i,0.0067916+0.0047728i,0.0070688+0.0062022i,0.0027316+0.0024608i,-0.0025598-0.00024948i,-0.0033743-0.00019411i,-0.0035525-0.0007956i
-0.0058455-0.014935i,-0.011589-0.053236i,-0.0098515-0.10707i,-0.00388-0.13457i,-0.0019009-0.095564i,-0.00058858-0.030045i,-0.0039882+0.005084i,-0.01108+0.013959i,-0.01653+0.016079i,-0.017834+0.016842i,-0.013286+0.013518i,-0.0068552+0.0055478i,-0.0039144-0.0031079i,-0.0036987-0.0072132i,-0.0043424-0.0061377i,-0.0035647-0.0046118i,-0.0016502-0.0054425i,-0.00098374-0.0058949i,-0.0029877-0.0031276i,-0.0050729+0.0026506i,-0.0042249+0.0073841i,-0.0021277+0.0079752i,-0.00065863+0.006643i
0.0070452+0.01005i,0.024323+0.036706i,0.050898+0.072484i,0.071327+0.088212i,0.064081+0.069227i,0.032199+0.035432i,0.018675+0.016386i,0.022541+0.011428i,0.016401+0.01394i,0.0083585+0.019235i,0.0048815+0.01676i,0.00015007+0.0082128i,-0.0053082+0.0026058i,-0.0092878+0.00042852i,-0.0095439-0.0020011i,-0.0066195-0.0044651i,-0.0032979-0.005163i,0.00034069-0.0035776i,0.0030757-0.0017944i,0.0025557-0.00010283i,0.00084211+0.0019152i,0.00059675+0.0025574i,0.0023888+0.0030038i
-0.013701-0.010603i,-0.049986-0.03256i,-0.10701-0.05844i,-0.14546-0.07319i,-0.12199-0.06758i,-0.05457-0.037808i,-0.0093783-0.013887i,0.0052218-0.0082729i,0.019181-0.0056455i,0.02801-0.0058984i,0.022115-0.0065527i,0.010147-0.0022434i,0.0021067+0.0033791i,8.7206e-05+0.0083503i,0.00013347+0.010778i,-0.0014957+0.0095385i,-0.0052742+0.0063131i,-0.0085047+0.0021901i,-0.0071065-0.0016601i,-0.0015964-0.0041151i,0.0033803-0.0045469i,0.0041402-0.0037573i,0.0027507-0.0030209i
0.014631+0.0038825i,0.045172+0.018979i,0.093324+0.030031i,0.11679+0.028517i,0.083757+0.028632i,0.030517+0.017728i,0.0037554-0.0057206i,-0.0027466-0.019187i,-0.0065548-0.020039i,-0.0069048-0.016506i,-0.0039731-0.010988i,-0.00017405-0.0036458i,0.0030162+0.0026202i,0.0043139+0.0062342i,0.0050426+0.0068033i,0.0050603+0.0063712i,0.0056787+0.0061035i,0.0079693+0.0037864i,0.0083989-0.0013598i,0.0049654-0.0060443i,-0.00077242-0.0088496i,-0.0055182-0.0094864i,-0.0077161-0.0090353i
-0.014493-0.0060724i,-0.044831+0.0043305i,-0.087815+0.044246i,-0.10704+0.096857i,-0.077804+0.094435i,-0.036071+0.046798i,-0.019653+0.018389i,-0.0176+0.0096152i,-0.01759-0.00080564i,-0.019969-0.0066025i,-0.016364-0.0047564i,-0.0063854-0.0059054i,0.0024646-0.0076373i,0.010265-0.006355i,0.01472-0.0045604i,0.012556-0.00093897i,0.0080274+0.0043059i,0.0045504+0.0092196i,0.0023148+0.011339i,0.00087582+0.0091933i,-0.00014294+0.0052933i,-0.00024161+0.0022805i,-0.00053376+0.00051852i
0.012465-0.0081917i,0.040381-0.032338i,0.091484-0.085219i,0.12699-0.13777i,0.10547-0.12078i,0.055773-0.050522i,0.016628-0.0042308i,-0.00768+0.011453i,-0.015835+0.01984i,-0.010345+0.022771i,-0.0043191+0.015257i,-0.0038074+0.0044452i,-0.0038923-0.0023304i,-0.0034351-0.0076814i,-0.0042394-0.010396i,-0.0034418-0.011057i,0.00103-0.011367i,0.0035761-0.011254i,0.00052859-0.0078312i,-0.003939+0.00063631i,-0.0064881+0.0072666i,-0.0048873+0.0089553i,-0.0024656+0.0080672i
-0.013465+0.0050599i,-0.032318+0.021554i,-0.047109+0.056219i,-0.036658+0.085169i,-0.013369+0.066996i,-0.010712+0.022549i,-0.0087374+0.010119i,0.0080936+0.015233i,0.013816+0.0075936i,0.0089046-0.00074538i,0.0035438-0.0026998i,-0.0031819-0.0027706i,-0.0060279-0.0033652i,-0.005149-0.0062599i,-0.0039737-0.0083302i,-0.004585-0.0071054i,-0.0071047-0.0049956i,-0.0066096-0.0023583i,-0.0024747-6.5929e-07i,0.0012492-0.00055523i,0.0032529-0.0013312i,0.003847-0.00010844i,0.0049843+0.0022439i
0.0050236-0.011075i,-0.0065324-0.03662i,-0.049523-0.085712i,-0.11279-0.13312i,-0.12969-0.12575i,-0.077136-0.05824i,-0.019136-0.0088494i,0.0023824+0.00077004i,0.0082613+0.0043781i,0.01109+0.0019177i,0.0065637-0.00085635i,0.00055198+0.0035827i,-0.0033759+0.0080983i,-0.0073797+0.011215i,-0.010556+0.012236i,-0.011288+0.0089236i,-0.0095105+0.0036715i,-0.0072295-0.0018377i,-0.0049933-0.0074176i,-0.0029555-0.0091178i,-0.0029568-0.0066153i,-0.0030027-0.0024992i,-0.0026965-0.00056224i
-0.0023242+0.011081i,0.0039232+0.043495i,0.037241+0.10027i,0.079288+0.14824i,0.073418+0.1479i,0.03327+0.0962i,0.013759+0.037016i,0.0097258+0.0016136i,-0.0037445-0.010636i,-0.015623-0.0059642i,-0.013158+0.00076493i,-0.0057253+0.0021015i,-0.0015465+0.00051785i,0.00039115+0.0003733i,0.003155+0.0034025i,0.0064795+0.0074092i,0.007989+0.010505i,0.0099651+0.01206i,0.010373+0.0097465i,0.0057047+0.0030679i,0.00064624-0.0036432i,-0.0017749-0.0066115i,-0.0024485-0.007452i
0.0040313-0.015093i,-0.0038502-0.022937i,-0.038287-0.01202i,-0.07704+0.027525i,-0.059182+0.051514i,-0.0085839+0.030104i,0.0071027+0.0011122i,0.0014249-0.0023414i,0.005128+0.004165i,0.0092487+0.0053366i,0.0082001+0.0052208i,0.0073806+0.001526i,0.0061497-0.00020325i,0.0058639+0.0036688i,0.0065979+0.0045562i,0.0059281+0.0024928i,0.0036239+0.0011687i,-7.613e-05+0.0022389i,-0.0022425+0.0060539i,-0.001092+0.0096988i,0.0011514+0.0099243i,0.0029249+0.0062873i,0.0026637+0.002307i
0.0010762+0.0027053i,0.024193-0.0089497i,0.10077-0.050025i,0.19299-0.1141i,0.1934-0.13626i,0.10568-0.087599i,0.030475-0.0342i,-0.0053158-0.015427i,-0.014876-0.0072022i,-0.0063143-9.1485e-05i,0.0015199-0.00077712i,0.00019506-0.0049928i,-0.0020652-0.0079107i,0.00021378-0.010804i,0.002989-0.013501i,0.003885-0.013168i,0.0041673-0.0095189i,0.0055151-0.0072982i,0.0059837-0.0062752i,0.0037837-0.0033337i,0.0011983-0.00092549i,-0.00058675+0.00075217i,-0.0019534+0.0014566i
-0.0025904-0.013138i,-0.024938-0.018665i,-0.075623-0.0050942i,-0.12486+0.023175i,-0.12574+0.026045i,-0.094095-0.0048665i,-0.062806-0.013223i,-0.028329+0.0018825i,-0.0027923-0.0029024i,0.00045746-0.016205i,-0.0027253-0.017653i,-0.0022611-0.010065i,0.0010044-0.00099832i,0.00421+0.003949i,0.0026835+0.0045887i,-0.0022917+0.0027882i,-0.006666+7.5084e-05i,-0.0086478-0.0019549i,-0.0076143-0.0044079i,-0.0045223-0.0070279i,-0.0022577-0.0070576i,-0.0024417-0.0035027i,-0.0036447+0.0011335i
-0.0045196+0.0098866i,-0.018868+0.0003001i,-0.051209-0.048941i,-0.095834-0.11666i,-0.11346-0.12311i,-0.084484-0.045264i,-0.035341+0.017943i,-0.013935+0.024837i,-0.017314+0.023435i,-0.015844+0.019171i,-0.011983+0.0084969i,-0.010154+0.0026858i,-0.0089967-0.00059048i,-0.0093328-0.0027517i,-0.008036-0.0036033i,-0.0032497-0.0021534i,0.0019067-0.00048713i,0.0045825-0.0019039i,0.0026442-0.004097i,-0.0016969-0.0059321i,-0.005909-0.0045344i,-0.0069779-0.00081379i,-0.0043452-1.6819e-05i
0.0055297-0.0046124i,0.012795+0.021094i,0.03736+0.11232i,0.067385+0.22606i,0.068272+0.25089i,0.045331+0.17312i,0.028988+0.087913i,0.026184+0.037599i,0.020062+0.008746i,0.0057514+0.0012263i,-0.0028937+0.0027822i,-0.0064892+0.00087178i,-0.0053276-0.00019543i,0.00034791+0.0013352i,0.0035863+0.0054183i,0.0045869+0.0085413i,0.0046953+0.0087923i,0.0033831+0.0105i,0.0023531+0.011347i,0.00028555+0.0097284i,-4.4798e-05+0.0082894i,0.0021441+0.0047111i,0.0038095+0.00018156i
0.0025914+0.010894i,0.0029994+0.012117i,-0.010091-0.0088842i,-0.026865-0.033132i,-0.0076163-0.028747i,0.032216-0.020753i,0.043584-0.022585i,0.030121-0.011555i,0.021357+0.0035183i,0.018065+0.0050804i,0.010194+0.0032275i,0.0023464+0.0045681i,-0.0032204+0.0024824i,-0.0089509-0.0010139i,-0.011-0.0035309i,-0.0076606-0.0062377i,-0.0043102-0.0089823i,-0.00305-0.0085191i,-0.0010233-0.003211i,0.0024373+0.0029574i,0.0041158+0.0053119i,0.004278+0.0025894i,0.0024814-0.00030825i
0.00065837-0.017241i,0.032831-0.044402i,0.12543-0.067305i,0.23251-0.095173i,0.23185-0.12202i,0.12654-0.10207i,0.037447-0.0563i,0.0016074-0.039872i,-0.013222-0.035604i,-0.01379-0.021457i,-0.0068-0.0091877i,-0.0017108-0.0026433i,0.0022099+3.3962e-05i,0.0050811+0.0011506i,0.0062412+0.0036148i,0.0036293+0.0043706i,-0.00059535+0.0051882i,1.7944e-06+0.0051771i,0.0030712+0.0013917i,0.0046657-0.0024218i,0.004984-0.0036842i,0.0020194-0.001969i,-0.002757+0.0011321i
0.00023766+0.010591i,-0.034037+0.015956i,-0.12502+0.00044443i,-0.22858-0.022737i,-0.24361-0.021552i,-0.16923-0.019974i,-0.09396-0.024882i,-0.050698-0.009175i,-0.023345+0.0084693i,-0.010441+0.01067i,-0.0022359+0.0084056i,0.0057626+0.0048649i,0.0052373+0.0038065i,0.0011761+0.0064587i,-0.001206+0.0062534i,-0.0020284+0.0028329i,-0.0011825-0.0003796i,-0.0020761-0.0038554i,-0.0038165-0.0066736i,-0.0050581-0.0075106i,-0.0063296-0.0061177i,-0.0075752-0.0029137i,-0.0078404-0.00015057i
-0.015373-0.01371i,-0.022464-0.041389i,-0.020658-0.068819i,-0.021653-0.082347i,-0.030302-0.06684i,-0.034664-0.015958i,-0.025626+0.02297i,-0.017181+0.025703i,-0.013698+0.02237i,-0.00057635+0.01871i,0.0088707+0.0072489i,0.0070981-0.0039552i,0.0053393-0.0080191i,0.0072439-0.0071676i,0.012248-0.0045425i,0.016217-0.00099424i,0.016659+0.0017213i,0.013448+0.0035017i,0.0078735+0.0048982i,0.0033787+0.003495i,0.0013647-2.2051e-06i,0.0019215-0.0026835i,0.0041666-0.0049979i
0.016023+0.022751i,0.018116+0.08692i,0.0051023+0.19947i,0.0027186+0.29856i,0.022783+0.2925i,0.036703+0.19138i,0.027919+0.10171i,0.025698+0.055969i,0.03575+0.021292i,0.029538-0.0036435i,0.013677-0.014356i,0.0009763-0.017395i,-0.0061329-0.013214i,-0.0065261-0.0085293i,-0.007221-0.0075757i,-0.008697-0.0088104i,-0.0090497-0.0088564i,-0.0078036-0.0039817i,-0.0037842+0.00168i,-0.0017181+0.0038319i,-0.0016993+0.0042739i,5.6584e-05+0.0034414i,0.0027431+0.00039744i
-0.015788-0.019843i,-0.013447-0.060299i,0.022875-0.1207i,0.063317-0.1584i,0.060878-0.13721i,0.0372-0.08576i,0.026266-0.043147i,0.016461-0.018619i,0.0017767-0.014189i,-0.0091441-0.01909i,-0.016923-0.016689i,-0.017923-0.0054884i,-0.011027-0.0017579i,-0.0059827-0.0065708i,-0.0053662-0.0084346i,-0.0057385-0.0060047i,-0.0047917-0.0035085i,-0.0014908-0.0034446i,0.001663-0.0050343i,0.0028267-0.005168i,0.001466-0.0035197i,5.1863e-05-0.0021052i,-0.0016512-0.00019743i
0.025556+0.0052379i,0.068876+0.024609i,0.12632+0.043012i,0.17116+0.018216i,0.15886-0.035297i,0.090318-0.04816i,0.035612-0.028027i,0.014411-0.024702i,-0.0063259-0.021238i,-0.020904-0.001471i,-0.021762+0.011931i,-0.017285+0.013797i,-0.01145+0.013064i,-0.009934+0.0127i,-0.012065+0.015479i,-0.012624+0.017572i,-0.010205+0.015969i,-0.0060688+0.011088i,-0.0037871+0.0033237i,-0.0043262-0.00038457i,-0.0051039+0.0023098i,-0.0052654+0.0075717i,-0.0051121+0.011476i
-0.040102-0.0095571i,-0.10401-0.05206i,-0.19556-0.12216i,-0.26746-0.14642i,-0.25736-0.082855i,-0.16564-0.01345i,-0.078807-0.0030062i,-0.045776-0.0026261i,-0.031035+0.013787i,-0.015458+0.02341i,-0.003075+0.023575i,0.004849+0.018917i,0.0071681+0.012599i,0.0091007+0.0088735i,0.014183+0.0049824i,0.020056+0.0019677i,0.021764+0.00018888i,0.013863-0.0029624i,0.0026169-0.004234i,-0.0034325-0.0029784i,-0.0039563-0.0013132i,-0.0030701-0.00046814i,-0.0027825-0.0013715i
0.031236-0.0026937i,0.066723+0.017795i,0.086161+0.059194i,0.070647+0.074966i,0.050252+0.04298i,0.037201+0.0042628i,0.022874-0.0042055i,0.016047+0.0024204i,0.019683+0.0042793i,0.028064+0.00097634i,0.029768-0.0034496i,0.022867-0.0052357i,0.016548-0.0035556i,0.012958-0.0014407i,0.01118-0.00048783i,0.0096092-0.0019382i,0.0060917-0.0028454i,0.0016776+0.00063603i,-0.00065786+0.0067382i,0.0023667+0.0091629i,0.0058746+0.0052332i,0.0076035-0.0017314i,0.0075103-0.0071158i
-0.039077+0.018646i,-0.09654+0.047012i,-0.14092+0.10315i,-0.11167+0.17222i,-0.035213+0.1837i,0.0039798+0.13243i,-0.0036957+0.088086i,-0.0044865+0.058897i,0.0047679+0.022198i,0.00086711-0.0054984i,-0.001568-0.014986i,0.0024144-0.018582i,0.0026521-0.020388i,0.00035482-0.021821i,-0.0011083-0.023976i,-0.0036768-0.025727i,-0.007638-0.023412i,-0.0072599-0.013627i,-0.0016537-0.0041374i,0.001196-0.0029536i,-0.00065845-0.0059057i,-0.0029809-0.0079559i,-0.0044508-0.006142i
0.044177-0.029851i,0.11738-0.056914i,0.20687-0.087398i,0.21494-0.12041i,0.1088-0.12611i,0.0035325-0.091761i,-0.020007-0.052815i,-0.0096169-0.032516i,-0.0082104-0.02291i,-0.0099868-0.014516i,-0.013442-0.010355i,-0.013621-0.009374i,-0.011605-0.0091837i,-0.012614-0.0043485i,-0.013522+0.0055846i,-0.01617+0.013438i,-0.014524+0.015741i,-0.0031836+0.011706i,0.0073378+0.0029006i,0.0085114-0.0036553i,0.0024586-0.0032483i,-0.0032309+0.0013854i,-0.0034967+0.0040631i
-0.034221+0.027735i,-0.076128+0.054769i,-0.09382+0.057566i,-0.04317+0.027931i,0.035033-0.001625i,0.066078+0.00022955i,0.057125+0.0097279i,0.032733+0.0063079i,0.0018705+0.014698i,-0.010482+0.027828i,-0.0092004+0.023648i,-0.0141+0.012515i,-0.019454+0.0092649i,-0.017899+0.0092187i,-0.012553+0.0072632i,-0.0068028+0.0071872i,-0.0016687+0.009485i,0.0010904+0.0073756i,-0.00016018-0.00051227i,-0.0035397-0.0038414i,-0.00702+0.0016772i,-0.0067562+0.010229i,-0.004114+0.013664i
0.02428-0.048115i,0.040447-0.11561i,0.015536-0.17946i,-0.07325-0.17202i,-0.14154-0.083496i,-0.11532-0.0088638i,-0.062905-0.0071663i,-0.038821-0.014019i,-0.016421-0.0066508i,0.0023068-0.0084939i,0.0025678-0.0081996i,-0.0030087+0.00020921i,-0.0011345+0.0096185i,0.0083425+0.01556i,0.016915+0.014254i,0.020149+0.011121i,0.017999+0.0077302i,0.0092986+0.0013822i,-0.0010621-0.0027747i,-0.0037883+0.00015735i,0.00082763+0.004067i,0.0048176+0.0019034i,0.0038378-0.0026932i
-0.018466+0.049187i,-0.05312+0.11925i,-0.077004+0.17235i,-0.046366+0.14895i,0.015939+0.056601i,0.036222-0.027144i,0.020162-0.031533i,0.016241-0.0013537i,0.020105+0.0055279i,0.012589-0.0020696i,0.0035516-0.0038342i,0.0063623+0.0029341i,0.014833+0.0057506i,0.014085-0.0026266i,0.0054789-0.011709i,-0.00011184-0.015869i,-0.0017895-0.015923i,-0.0045601-0.010427i,-0.0075895-0.0018874i,-0.0069218+0.0027818i,-0.0038184+0.00048834i,-0.00050529-0.0046393i,0.0020557-0.0048673i
0.011031-0.053953i,0.017834-0.10114i,0.0089936-0.081017i,-0.013745+0.018782i,-0.02694+0.10272i,-0.034753+0.12831i,-0.042139+0.10992i,-0.032952+0.063986i,-0.021564+0.014639i,-0.020433-0.0072701i,-0.014742-0.0055862i,-0.0037899-0.0071471i,0.0047483-0.013748i,0.0077492-0.013788i,0.0072983-0.0078314i,0.0057975-0.0028578i,0.0024919-0.0005345i,0.0015303+0.00093595i,0.0043095+0.0015122i,0.0047071-0.0012817i,0.0018781-0.0058908i,-0.0020896-0.0083249i,-0.0061962-0.0073451i
0.004606+0.045644i,0.022125+0.095816i,0.074677+0.092182i,0.11098+0.0041734i,0.061319-0.07391i,-0.0031475-0.078092i,-0.0035857-0.051182i,0.0083519-0.035576i,0.0019038-0.015628i,0.0013241+0.0050661i,0.0019366+0.0067323i,-0.0011659-0.0002546i,-0.0056941-0.0053889i,-0.011961-0.0035264i,-0.012847+0.004306i,-0.010218+0.0087796i,-0.0048516+0.0077155i,0.0032965+0.004544i,0.0082234+0.0030016i,0.0064021+0.0038474i,-0.00017436+0.0049822i,-0.0030801+0.0062619i,-0.00071895+0.0043856i
-0.016752-0.059423i,-0.026513-0.11865i,-0.031057-0.12587i,-0.0052027-0.048865i,0.065237+0.020486i,0.11922+0.029249i,0.10716+0.008638i,0.05691-0.0023804i,0.014131+0.0023582i,-0.0020858+0.0038347i,-0.0049183+0.00010765i,-0.0094877-0.0017539i,-0.013552+0.00030569i,-0.0088296+0.002058i,0.0027337-0.0022986i,0.010234-0.006264i,0.0082334-0.0016903i,0.0020681+0.0048933i,0.00084193+0.0032154i,0.0040454-0.0032083i,0.0024644-0.0038552i,-0.0025717+0.00069793i,-0.0055642+0.0044738i
0.0095502+0.05143i,0.0012081+0.087314i,-0.02474+0.04383i,-0.074076-0.062516i,-0.12673-0.094879i,-0.13046-0.056964i,-0.089062-0.02691i,-0.04655-0.0049101i,-0.012843+0.0047003i,0.0012586+0.00224i,0.0011872+0.0055003i,0.0023826+0.0074282i,0.0012804+0.0049209i,-0.0014+0.0038454i,-0.0057035+0.0006407i,-0.010023-0.0049412i,-0.01051-0.0087345i,-0.0086748-0.010161i,-0.0072217-0.0088128i,-0.0057513-0.0035406i,-0.0015436+0.0038303i,0.0045595+0.0054948i,0.007647+0.0017799i
-0.022866-0.048157i,-0.037973-0.076105i,-0.029767-0.044213i,0.016384+0.026565i,0.06307+0.030358i,0.042885-0.0077321i,-0.0050408-0.0012839i,-0.0066423+0.014888i,0.0016071+0.01026i,-0.0038889+0.009982i,-0.00060924+0.0083783i,0.0055932+0.00073325i,0.0072793-0.002541i,0.0045888-0.0046266i,-0.0024315-0.006053i,-0.0065638-0.0043748i,-0.0034474-0.0012162i,0.00045446+0.0010675i,-0.0012126-0.00075646i,-0.0064757-0.0024224i,-0.0080899-0.002645i,-0.0050483-0.0016014i,-0.00052605+0.002026i
0.043247+0.051545i,0.049116+0.10236i,-0.0060095+0.12877i,-0.10516+0.10783i,-0.15609+0.097456i,-0.1159+0.11541i,-0.050579+0.093644i,-0.025875+0.042803i,-0.018316+0.015909i,-0.00067391+0.0053616i,0.0063693-0.0088559i,-0.00019318-0.015653i,-0.0029795-0.0077686i,0.0010282+0.0056185i,0.0066454+0.017805i,0.011037+0.023108i,0.010231+0.017131i,0.0061887+0.0078752i,0.0015954+0.0064127i,0.00012502+0.0083997i,0.0031894+0.0040981i,0.0042302-0.0041362i,0.0019272-0.0089312i
-0.028974-0.064514i,-0.013122-0.12898i,0.077246-0.16146i,0.17399-0.13372i,0.17504-0.10223i,0.1077-0.095433i,0.053987-0.083445i,0.020641-0.063719i,-0.0029178-0.040514i,-0.0098159-0.025073i,-0.012329-0.020504i,-0.016167-0.010535i,-0.011132+0.00029519i,-0.00015592+0.0031882i,0.0094428+0.0010207i,0.014368-0.00070579i,0.015779+0.0021954i,0.015251+0.0035253i,0.013751+0.00092828i,0.0095873-0.001486i,0.00087571-0.0028744i,-0.0071276-0.00045052i,-0.010032+0.0033201i
0.03557+0.035596i,0.041815+0.087493i,-0.004786+0.14747i,-0.060227+0.18595i,-0.041989+0.17393i,0.01746+0.1086i,0.037054+0.044242i,0.027086+0.029689i,0.02382+0.02798i,0.011493+0.0097826i,-0.0087996+0.0048065i,-0.0086325+0.013525i,0.0058666+0.0096142i,0.01228-0.0062441i,0.009605-0.017791i,0.0033788-0.020074i,-0.0047904-0.014885i,-0.0094541-0.0046308i,-0.0049414-0.0017769i,0.0009787-0.009939i,-0.00024982-0.01323i,-0.005123-0.0088753i,-0.0089798-0.0053757i
-0.073391-0.045198i,-0.13131-0.13116i,-0.11047-0.26003i,-0.026969-0.34718i,0.0015135-0.30063i,-0.034015-0.15432i,-0.052314-0.019744i,-0.036396+0.02915i,-0.017466+0.016255i,-0.0087951+0.007961i,-2.9564e-05+0.014125i,0.0078293+0.0067934i,0.001113-0.0076952i,-0.012718-0.010909i,-0.021817-0.0061694i,-0.023646-0.0026625i,-0.017911-0.0027319i,-0.0069222-0.0050842i,3.1307e-05-0.0077493i,-0.0015362-0.0047617i,-0.00331+0.0042864i,0.0013923+0.010779i,0.0059927+0.010414i
0.068192+0.05864i,0.11738+0.15928i,0.11431+0.28588i,0.073537+0.32783i,0.043347+0.23948i,0.0078928+0.1182i,-0.016838+0.051596i,0.0020791+0.024114i,0.021978+0.0057695i,0.017505+0.0016802i,0.011333+0.0030561i,0.005-0.0017784i,-0.0056096-0.0038378i,-0.012683+0.00137i,-0.012129+0.0072788i,-0.0087849+0.0095169i,-0.007359+0.0094934i,-0.0068957+0.0085352i,-0.0088952+0.00988i,-0.010872+0.013177i,-0.006459+0.011756i,-0.00031493+0.0041553i,0.0030554-0.0030633i
