0.00099098+0.00057809i,0.0021687+0.0009618i,0.0016114+0.0018085i,0.0011518+0.0012242i,0.0012063+0.00040035i,0.0013266+0.00064963i,0.0013751+0.00068646i,0.0014202+0.00064155i,0.0021025+0.00020798i,0.0023445-0.00034204i,0.0015311-7.8396e-07i,0.00089436+3.0583e-05i,0.00057676-0.00026592i,0.00023296-0.00029164i,-0.00020102+0.00026215i,-0.00064064+0.00031766i,-0.00023092+0.00011252i,0.00024446+0.00027846i,-0.00016706+0.00025871i,-0.00034632+0.00019949i,0.0002636+0.00045606i,0.00012662+0.00066647i,-0.00042965+0.00062259i
-0.0016533+0.0019684i,-0.0013494+0.0028i,0.00039485+0.003459i,0.0024014+0.002276i,0.0027254+0.00099807i,0.0012432-0.00047029i,0.00025154-0.00095709i,5.42e-05-0.00043001i,8.0188e-05+1.8254e-05i,0.00042177+0.0001017i,0.00029144-8.4843e-05i,0.00035584+0.00050858i,0.00059096+0.0006089i,-9.5845e-06+0.00031844i,-0.00099685-0.00047821i,-0.0010508-0.00089568i,-0.00028305-0.00043274i,5.0171e-05+0.00028642i,0.00010796+0.00061084i,0.00022278+0.00020745i,0.00055843-0.00036763i,0.00085568-7.44e-06i,0.00046246+0.00021992i
0.0011909+0.0013736i,0.0013374+0.0024552i,0.0012004+0.0019382i,0.0011561+0.0012912i,0.0016694+0.00043948i,0.0014132-0.00066954i,0.00084826-0.00077743i,0.00080138+0.00011744i,0.00061072+0.00040336i,0.00058104+0.00023861i,0.00039902+0.00044752i,0.00076768+0.00080897i,0.001433+0.00020565i,0.00037262-0.00065093i,-0.00046076-0.00053068i,6.6368e-06-0.00010529i,8.6967e-05+0.0002i,-0.00069742+0.00050278i,-0.00065396+0.00038903i,-0.00011124+0.00056021i,-0.00022396+0.00058907i,8.1817e-05-0.00041924i,0.00051711-0.00095579i
-0.00011024+0.0018128i,0.00017297+0.003539i,0.0012053+0.0041104i,0.0021543+0.0021317i,0.0017243+0.00099534i,0.0011806+9.1114e-05i,0.00064317-0.0010802i,0.00015693-0.0009618i,0.00021191-0.00033464i,5.638e-05-0.0002134i,-0.00039709+4.9655e-05i,0.00010776+0.00050209i,0.00096632+0.0006673i,0.00086906+0.00043476i,0.00034834+0.00034793i,0.00086513+0.00050266i,0.00088824+0.00048501i,0.00013065+0.00033051i,0.00033588+0.00014605i,0.00039914-1.9957e-05i,-2.2944e-05-5.598e-05i,-0.00042203-0.00044938i,-0.0005604-0.00026705i
0.0016664+0.00042831i,0.00076596+0.00056561i,7.8036e-05+0.00034747i,0.00010607+0.0010957i,0.00091187+0.0009604i,0.0006077-0.0003412i,-2.7014e-05-0.00050995i,2.5234e-05+4.2615e-05i,0.00019304-0.00022491i,0.00020584-0.00059435i,-0.00024986-0.00084514i,-0.00023111-0.00098477i,0.00061295-0.00062745i,0.00053275-0.00044809i,0.00014906-0.0007065i,0.00025645+0.00027297i,0.00018722+0.00063441i,0.0002382+0.00039222i,0.00036654+0.0007499i,0.00057537+0.00087651i,0.00065543+0.0012248i,0.00067099+0.00019888i,0.00080608-0.00091005i
-0.00035749+0.0023191i,-0.00033473+0.0021201i,0.00075643+0.0030182i,0.0014968+0.0030675i,0.0017877+0.0024339i,0.0018112+0.00060815i,0.00038733-0.00073796i,-0.00017007-0.00070023i,0.00015435-0.0005723i,0.00017023-0.00059097i,0.00013104-0.00015855i,-0.00026529+0.00031418i,-8.5484e-05-1.7684e-05i,6.8497e-05-0.00035254i,4.8613e-05-0.00080246i,0.00025797-0.00061366i,0.0002356+0.00010622i,0.00041131+0.00031824i,0.00025994-0.00014462i,0.00023556-0.00074409i,0.00052148-0.00027315i,-0.00035339-0.00024249i,-0.00081996-0.00058673i
-0.0001776-0.00060959i,0.0011126-6.0132e-06i,0.0017265+0.00066913i,0.0019899+0.0012929i,0.0026887+0.0015057i,0.0025121+0.00050774i,0.0019589-0.00090854i,0.00050491-0.00059171i,0.00012059+0.00059854i,0.0004629+0.00040991i,0.00019803+0.00022256i,0.00035694+0.00010883i,0.00035766-0.00012042i,0.00053433+1.2852e-06i,0.00066819+3.7404e-05i,0.0004711-0.00072534i,-0.00018969-0.00094552i,0.00010102-0.00052494i,0.00033206-0.00048882i,0.00035292-0.00011844i,0.00060687-3.7291e-05i,0.00096389+0.00019538i,0.0004396+0.00012786i
-0.00035908+0.0034603i,-0.00053144+0.0045755i,0.00031525+0.00393i,0.00090476+0.0018984i,0.0016859+0.00026823i,0.0024387-0.00030991i,0.00159+3.926e-05i,0.00089064+2.3525e-05i,0.0014426+5.5469e-05i,0.0018874-0.00068183i,0.0012449-0.00080317i,0.0010569+0.00018515i,0.00037532+0.00013468i,-0.0008563-0.00048658i,-0.000668+0.00019269i,0.00013003+0.00057408i,0.0007513+1.2852e-06i,0.00074934-0.00019037i,0.00049588-0.00028493i,0.00025327-0.00037309i,-0.00035159-0.00025876i,-0.00056613-4.6375e-06i,-0.00058057+0.00011803i
-0.00087595+0.00049393i,-0.0002162-0.00013552i,0.00082788+0.00022982i,0.0021409+0.001101i,0.0029627+0.00035847i,0.0019902-0.0011323i,0.0003879-0.0013124i,-0.00040202-0.0016649i,-0.00029303-0.0010605i,0.00037961-0.00025861i,0.0010976-0.00045571i,0.0012033+0.00019858i,0.00051727+0.00072167i,-0.0001606+0.00039835i,-0.00065456+1.7818e-05i,-0.00078118+0.00052492i,-0.0007376+0.00060524i,-0.00048595+0.00029852i,0.00014426+0.00012841i,0.00031838+0.00015741i,0.00040933+0.00042465i,0.00053923+0.00051401i,0.00038365-0.00036946i
0.0016833+0.0014572i,0.0026081+0.003575i,0.0035388+0.0047005i,0.0028748+0.0029755i,0.0023909+0.00032062i,0.0016508-0.00057453i,0.0011235-0.0007732i,0.00065367-6.0478e-05i,0.00021473+3.0775e-05i,0.00046764+6.68e-05i,0.00024614+0.00023891i,0.00013514-8.9022e-05i,6.1497e-05+0.00029369i,0.00075134+0.00026293i,0.0012055+0.00024278i,0.00092598+0.0010537i,0.00059103+0.0005303i,0.0008305-0.00087608i,0.0011939-0.00065791i,0.00057669+0.00029684i,3.1445e-05+0.00038463i,-0.00013063-0.00013254i,-0.001433-0.00047255i
-0.0020101+6.4532e-05i,-0.0011254+0.00087729i,-0.00010231+0.0015681i,0.0006333+0.0015399i,0.00078451+0.00061819i,0.00057445+0.00032468i,0.00016576+6.7362e-05i,0.00031722-0.00053838i,0.00095194-0.00076054i,0.0016406-0.0006646i,0.0011948+1.6678e-05i,0.00065033+0.00028011i,0.00073056-4.3906e-05i,0.0010004-0.00037678i,0.00096664-0.00028422i,0.00055747-0.00010076i,0.00043475-0.00053684i,0.00037675-0.00043343i,-0.00044661+0.0003563i,-0.00095256+0.00026746i,-0.00069039-0.00017273i,-0.00063489-0.00037763i,-0.0002234-0.00011382i
-0.0003682+0.0002024i,0.00038736+0.0016921i,0.0016506+0.0023851i,0.0022257+0.0018858i,0.0017134+0.0010365i,0.0020251-0.00030954i,0.0020467-0.001178i,0.00066736-0.00058823i,0.00018167+4.8866e-05i,0.0006999-0.00055934i,0.0002845-0.00071993i,4.7022e-05+0.0001876i,0.00016606+0.001129i,0.00048949+0.0014564i,0.00024362+0.0010675i,-0.00041383+0.00052647i,-0.00043373-0.0005102i,-0.00046372-0.0009453i,-0.00057431-0.00067915i,-0.00061261+5.3128e-06i,-0.00027228+0.00098535i,-0.00012264+0.00026167i,2.2326e-05-0.00015669i
0.0012148+0.00047434i,0.0010552+0.0015086i,0.0010004+0.0013961i,0.001448+0.0012609i,0.0013376+0.00098589i,0.0013756-0.00103i,0.00051074-0.0016962i,-0.00067103-0.00057698i,-0.00017469+5.4887e-05i,0.00090839-0.00074075i,0.00059558-0.001161i,0.00051156-0.00041999i,0.00088213+0.00040713i,0.00059374+0.0001582i,0.00012349-9.1075e-05i,-0.00023193-0.00027963i,-3.1644e-05-0.00037881i,0.00026524+2.9154e-05i,0.0002387+5.7354e-05i,0.00046204-0.00056683i,0.00097539-0.00010379i,0.00058348+0.00084262i,-0.00036569+0.00029381i
-0.00015121+0.002198i,-0.00024328+0.0024544i,0.001223+0.0017261i,0.0022344+0.0011419i,0.0010906+0.0005582i,0.00014785-0.00029175i,0.00014105-0.0011995i,0.00022576-0.00090933i,-0.00019478+7.1235e-05i,-0.00048732-0.00033922i,1.1348e-05-0.00035472i,0.00058775+0.0010508i,0.00041007+0.0014323i,0.00017672+0.00052425i,0.00067123-2.6746e-05i,0.0010788-0.00022613i,0.00061106-0.00069678i,0.00022366-0.00068247i,0.00037286-0.00035398i,0.00044676+8.8464e-05i,0.00041217+0.000238i,0.00023354-0.00032803i,0.00032394-4.5295e-05i
0.00045019+0.0007793i,0.00071157+0.0021104i,0.001158+0.0026118i,0.0012667+0.0018109i,0.0014469+0.0013316i,0.0012457+0.00054058i,0.00080233-0.00038292i,0.00051005-0.00050032i,0.00052119-1.4616e-05i,0.00062125+0.00034754i,8.6372e-05-0.00027249i,-0.00042801-0.00055057i,-0.0012809+0.00021377i,-0.0010026+0.00044853i,-0.00045787+1.5123e-05i,-0.00046805-0.00059293i,-0.00024187-0.00042754i,-0.00043872+0.00021507i,-0.00069865+2.4752e-05i,-0.00031093-0.00031277i,-2.6926e-05-0.00069571i,0.00011561-0.0007096i,-4.8923e-05-0.00034791i
0.0017136+0.0023128i,0.0020579+0.0036362i,0.0018357+0.0031929i,0.0020699+0.0017647i,0.001948+0.00066039i,0.0015588-0.00018807i,0.00071179+0.00012864i,0.00048565+9.7929e-05i,0.00030353-0.00048411i,0.00037893-0.00065535i,0.00064168+0.00027277i,2.8839e-05+0.00049671i,-5.9488e-05+0.00041124i,-1.7401e-06+0.0004237i,-0.00066382-2.5017e-05i,-0.00079838+0.00019645i,-0.00029742+0.00074624i,0.0003535+0.00025795i,0.000172+4.2159e-05i,-0.00042569+0.00030427i,-0.00026918-0.00034353i,-0.00012994-0.00095337i,0.00026797-0.00074803i
-0.0018987+0.0013628i,-0.00068914+0.0019205i,0.0007026+0.0019293i,0.00044348+0.0011337i,0.0014082+0.00062887i,0.0023849-9.4238e-05i,0.00063588-0.00023418i,-0.00051432+0.00010017i,0.0004173-0.00059223i,0.00086721-0.00084939i,0.00047665-0.00089059i,-8.3242e-05-0.00064065i,-0.00041169+0.00017459i,-0.00026667+0.00028476i,0.00016337-0.00032636i,0.00047766-3.9494e-05i,0.00048926+0.00066198i,6.9709e-05+0.00075388i,-0.00025354+0.0003734i,-0.00032101-6.8681e-05i,-0.00010418-0.00037767i,0.00013297+3.4801e-05i,0.00064749+0.00058407i
-0.00074353-0.00089809i,0.00041229+0.00030167i,0.0013449+0.00053282i,0.001523+0.00098844i,0.0016686+0.0011669i,0.0025497-0.00011224i,0.0020868-0.00059219i,0.00095155-0.0005141i,0.00032082-0.00081119i,0.00029325-0.00042426i,0.00042952-0.00023491i,0.00048647+0.00017478i,0.00014485+0.0011588i,-0.00013451+0.00072407i,4.1204e-05+0.00025209i,-6.2994e-05+0.00044986i,0.00021944+0.00051993i,0.00017885+0.00064124i,-5.5926e-05+0.00034166i,0.00023744-8.9949e-05i,0.0003519+0.0001426i,-0.00068422+0.00011613i,-0.0011795-0.00038036i
0.00023088+0.0021439i,0.00054552+0.0028041i,0.0014209+0.003147i,0.0016933+0.0022895i,0.0020519+0.00092845i,0.0016536-0.00035991i,0.0006771-0.00054388i,0.00046167-0.000391i,0.00099109+1.086e-05i,0.00063461+3.7236e-05i,0.0002563+5.7332e-06i,0.00072133+0.00041724i,0.0007191+0.00055146i,0.00033324+0.00018251i,-0.00015244-0.0001174i,-0.0002899-2.6108e-05i,0.00030335-0.00044762i,0.00084885-0.0005152i,0.000368+0.00031277i,8.1512e-05+0.0011246i,5.8803e-07+0.0009742i,0.00038839+0.0002936i,0.0007296+0.00025674i
-0.00047755+0.0012071i,-0.00083165+0.0027472i,-0.00074111+0.0017144i,0.00030184+0.00057639i,0.0015106+0.0007167i,0.0021604+9.5919e-05i,0.0014418-0.00080997i,0.00031602-0.00081871i,0.00018759-0.00023333i,-4.7277e-05+0.00055084i,-0.00023548+0.00067647i,3.5644e-07+0.00034167i,0.00010527-0.00035001i,-0.00017416-0.00081906i,-0.0009928-0.00056218i,-0.0010546-0.00011804i,-0.00060315+5.1015e-05i,-0.00055728-7.5014e-05i,-0.00021537-0.00065365i,0.00024619-0.00033713i,0.00045743+0.00017258i,-0.00016596-5.5831e-05i,-0.0012237-0.00054151i
-9.1995e-05+0.00097588i,0.00039297+0.0014979i,0.00071983+0.0022381i,0.0013242+0.0018486i,0.0018357-0.00058931i,0.0015988-0.0014091i,0.0008721-0.00082991i,0.00053719-0.00049435i,0.00046033-0.00015147i,0.00069393-0.00043945i,0.00031176-0.00046306i,-0.00049708-0.00029326i,-0.00039184-0.00066923i,-0.00036207-0.0011429i,-0.00049845-0.00051379i,-0.00095499-5.2241e-05i,-0.00066086+0.00010698i,7.5844e-05-8.2167e-05i,0.00044745-0.00061915i,0.00061057-0.00047294i,0.00036497+4.6228e-05i,-0.0002984+0.00013034i,-0.00055843-0.00010449i
0.001481+0.0031834i,0.0017753+0.0032358i,0.0036937+0.0018347i,0.0042563+0.00065325i,0.003495+0.00011442i,0.0024939-0.00063651i,0.00112-0.0011003i,0.00066336-0.00015606i,0.00063572+0.00029646i,0.0010759-0.00020148i,0.0016389-0.00048022i,0.00085422-0.00026471i,0.00012503+0.00020702i,-0.00026984-0.0002226i,-0.00028812-5.0065e-05i,-0.00028147+0.00073457i,-0.00038201+0.0007829i,5.1373e-05+0.00071522i,0.00074462+0.00011049i,0.0012745-0.00014478i,0.0012328-7.0907e-05i,0.00020222-0.00024613i,-2.2821e-05-0.00066358i
0.00039446+0.0016585i,-0.00054219+0.0024536i,-0.00037549+0.0022736i,0.00095851+0.0008481i,0.0026616+0.00033554i,0.0028754-0.00023434i,0.0020154-0.00074805i,0.0010311-0.00034137i,0.0007697+0.00028714i,0.00077682+0.00028295i,0.00056353-8.1311e-06i,0.00078836-0.00050867i,0.00077634-0.0011949i,0.00039604-0.00052351i,-0.00040187+2.3393e-05i,-0.00012757-3.2522e-05i,4.8636e-05+0.00027968i,-0.00044084+0.00018847i,-0.00036804+0.00025012i,-0.00077944+0.00029426i,-0.001251-0.00037725i,-0.00083107-0.00035439i,-0.0002599-0.0004544i
0.00023198-0.00065473i,0.00052273+0.0012691i,0.0013587+0.002626i,0.0026041+0.0024822i,0.0032048+0.0013574i,0.0031362+0.00021804i,0.0016184-0.00050633i,0.00022807-0.00099745i,-0.00019673-0.00063314i,0.00040168-0.00042791i,0.00053857-0.00088833i,7.7998e-05-0.0010195i,0.00039225-0.00092753i,0.00060851-0.00051989i,0.00055892-0.00050009i,0.00016839-0.00048874i,-0.00019241-0.00075119i,-4.8998e-05-0.00075966i,0.00036501-0.00047766i,0.00062439+3.5074e-05i,0.00038299+5.2112e-05i,0.00026877-0.00060627i,0.00074078-0.0007587i
-0.00033574+0.0019757i,0.00043706+0.0031112i,0.00037561+0.003743i,0.0012871+0.0029771i,0.0026916+0.0016805i,0.0014381+1.7051e-05i,-2.934e-05-0.00028574i,0.0001315+0.00036275i,0.0002085+0.00033799i,8.6217e-05+7.4331e-05i,0.00027425+0.00025804i,0.0004971+0.00084755i,-8.5958e-05+0.00065055i,-0.00088124-0.00022998i,-0.00076569-0.00056004i,4.5712e-05+2.2161e-06i,0.00066209+0.00084951i,0.00031038+0.00090711i,7.2868e-05+2.4078e-05i,0.00027859-0.00028215i,0.00025663+0.00015585i,-0.00093985+0.0007833i,-0.0011348+0.00052674i
-0.0011887+0.0022559i,8.8697e-05+0.0036214i,0.0020652+0.0041669i,0.0025909+0.0030496i,0.0025153+0.0010641i,0.0018753-0.00067556i,0.00021904-0.00075715i,-0.00023038-4.4698e-05i,0.00059791+0.00017234i,0.00066347-0.00075666i,0.00023516-0.0012463i,-4.7775e-06-0.00049286i,-0.00031373-0.00016258i,-0.00050056+0.00011413i,-0.00014827+6.9462e-05i,0.00062793-0.00021233i,0.0010207+0.00024947i,0.00077702+9.3091e-05i,6.4968e-05-0.00035244i,-0.00080249+0.00019798i,-0.00078479+0.00030755i,-0.00044524-0.00041498i,-0.00047474-0.00085668i
-0.00040619-0.00094409i,-0.0012431+0.000945i,-0.0013801+0.0015169i,-0.00039443+0.0011597i,9.1977e-05+0.00080062i,-0.00041004-0.00048917i,0.00012366-0.0010272i,0.00067506-0.00049279i,0.00090949-0.00024518i,0.00033622-0.00033041i,6.1009e-05+3.9703e-05i,0.00058717+0.00059547i,0.00039034+0.00045772i,7.9496e-06-0.00010685i,5.9664e-05-0.00038604i,-0.00014679-0.00068961i,-0.00045444-0.0011598i,-0.00024639-0.0013764i,0.00027073-0.00091158i,0.00053962-0.00057512i,-0.0001628-0.0008842i,-0.00079989-0.00094947i,-0.00068838-0.00046961i
0.0014808+0.0023938i,0.0020667+0.0016535i,0.0028089+0.0019549i,0.0028522+0.0022045i,0.0026667+0.00092455i,0.0020734-5.8296e-05i,0.00075702+0.00028514i,0.00055832+0.0004256i,0.00070777+0.00059956i,0.00074637+0.00042602i,0.00053134-0.00011208i,0.00016058+0.00036416i,-0.00012571+0.00020632i,0.00033633-3.245e-05i,0.00067276+0.0003681i,0.00053545+0.00025162i,0.00075414+5.5493e-05i,0.0012016-0.00023761i,0.00090656+0.00026852i,0.00077355+0.00048582i,0.00045444+0.00040353i,5.8531e-06+0.00026113i,3.9775e-05+0.00022996i
-0.00033922+0.002496i,0.00085145+0.0041723i,0.0014102+0.0040679i,0.0015776+0.0033447i,0.00194+0.0026177i,0.0019552+0.00084641i,0.0014893-0.0013006i,0.00084263-0.0015619i,0.0008085-0.00042941i,0.00078774-7.5119e-05i,0.0002578-1.8191e-05i,0.0004732+0.00014368i,0.0002626+0.00018052i,-0.00058409-0.0004432i,-7.1065e-05-0.0011329i,-0.00032748-0.00030467i,-0.0010008+0.00013532i,-0.00034615-0.00054134i,0.00049236-0.00044746i,0.00036893-0.00056623i,-0.00061927-0.00083261i,-0.00075124-0.00077413i,-0.00029472-0.00066113i
0.00018608+0.00029172i,6.0655e-05+0.0010741i,0.00036186+0.00093823i,0.00037215+0.00072742i,0.00043405+0.00066248i,0.00040262+0.00039963i,0.00044255+0.00041153i,0.00066514-2.6564e-05i,0.00069507-0.00060566i,0.0005312-0.0010149i,0.00066942-0.00089345i,0.00073262-7.3381e-06i,0.00085329+0.00062551i,0.00064971+0.00045635i,-0.00010529-5.7234e-06i,6.628e-05-0.00062278i,0.00037943-0.0014634i,0.00096804-0.001213i,0.0014758-0.00040665i,0.00058108-5.9245e-05i,0.00028607+8.5054e-06i,0.00053493-0.00013603i,0.00020826-0.00025474i
-0.0011048+0.0020909i,-0.00078739+0.0022143i,0.00054629+0.0023346i,0.0018841+0.0018841i,0.0025004+0.0011448i,0.0018857+0.00051519i,0.00012585-0.00032564i,-0.00043422-0.00057216i,0.00064287-0.00059614i,0.0014152-0.0012237i,0.00096964-0.0014503i,0.0006209-0.0004591i,0.0010571+0.00091294i,0.00066594+0.00044307i,0.00043606+0.00029215i,0.00036456+0.00060189i,-0.00014929-0.00011778i,-0.00049714+6.8737e-05i,-0.00042124-9.6497e-05i,0.00029214-0.00074116i,0.00018099-7.6702e-05i,-0.00010164+0.00052962i,-0.00026921+4.9643e-05i
0.0016442+0.0015522i,0.0017539+0.0023949i,0.0025159+0.0014541i,0.0019598+0.00031324i,0.00065621-0.00076725i,-2.3455e-05-0.00021147i,0.00021324+0.00053581i,-0.00064367-0.00035773i,-0.0011942-0.0012348i,-0.00060112-0.0014177i,-0.00029254-0.00037108i,0.00054271+0.00075734i,0.00089505+0.000495i,0.0008822-0.00038419i,0.0005413-0.00043262i,-1.2304e-05-9.2586e-05i,0.00025248-0.00035753i,0.00035778+0.00019127i,8.6997e-05+0.00063984i,0.00019744-0.00019262i,-7.6988e-05+9.4742e-05i,-0.0001875+0.00051916i,0.00034302-0.00060745i
0.00063297+0.0013735i,0.00049534+0.0024928i,0.001888+0.002728i,0.0027008+0.0029274i,0.0026271+0.002393i,0.0023799+0.00094694i,0.0011947+5.7169e-05i,-7.056e-05+0.00012958i,-9.4603e-05-0.00011689i,0.00013752-0.00051816i,0.00026334+0.00037603i,0.00032133+0.00072967i,0.00034282+0.00055878i,0.00028199+0.00045662i,-0.00031307+0.00072203i,-0.00082525+0.00018904i,-0.00062689-0.00083907i,-0.00023923-0.00029139i,-0.00019368+0.00047339i,-0.00036009+0.00055788i,-0.00072148-0.00021691i,-0.00087383-0.00040062i,-0.00029921-0.00010358i
