-0.0018389-0.00039401i,-0.0028262-0.0014724i,-0.0049929-0.0010678i,-0.0033627-0.0011876i,-0.0016508+0.00055247i,-0.0016993+0.0019339i,-0.0007454+0.0011196i,0.00048759+0.00014208i,0.0011923-0.00051545i,0.00147-0.0011065i,0.00054227-0.0014422i,-0.00012095-0.0013838i,0.00028921-0.0013494i,8.5289e-05-0.0017292i,-6.1023e-05-0.0010596i,-8.9452e-05-0.0002064i,3.835e-05-9.8135e-05i,0.00080726-5.1847e-05i,0.00078255+0.00059377i,0.00033095+0.0013544i,8.0423e-05+0.00067798i,-6.7948e-06-0.00010445i,-0.00064265+0.000241i
0.019229-0.11423i,0.008861-0.21017i,-0.028144-0.21642i,-0.025289-0.099948i,0.053272+0.017629i,0.11829+0.048096i,0.11457+0.027072i,0.078466+0.012622i,0.04201+0.0082975i,0.020892+0.0040682i,0.013008+3.9813e-05i,0.0068252+0.00078239i,0.0015326+0.0071113i,-0.0041217+0.011237i,-0.0052721+0.011784i,-0.0018893+0.0096993i,-0.0016585+0.0070981i,-0.0021409+0.0065947i,-0.00046498+0.0070202i,0.0025693+0.0064066i,0.0055278+0.0055897i,0.006852+0.0056923i,0.0051057+0.0051744i
0.053812+0.089497i,0.14157+0.10738i,0.23065+0.014524i,0.20978-0.11904i,0.076234-0.15509i,-0.030599-0.096598i,-0.046445-0.03591i,-0.025831-0.02094i,-0.015485-0.019389i,-0.010484-0.0053842i,-0.0013484+0.0044429i,0.0029038+0.0059992i,0.00047272+0.0060555i,-0.0039978+0.0026994i,-0.0084585-0.00096437i,-0.0093681-0.001757i,-0.0062116-0.0024171i,-0.0037444-0.0019749i,-0.0033084+0.0024033i,-0.0036131+0.0075076i,-0.0023041+0.008076i,-0.0015149+0.0031936i,-0.0041354-0.0020749i
-0.043313+0.023518i,-0.096753+0.089378i,-0.12251+0.184i,-0.10281+0.22767i,-0.079681+0.19122i,-0.059869+0.13155i,-0.03499+0.087667i,-0.012231+0.063392i,0.0060731+0.038551i,0.0088029+0.010408i,-0.0041703-0.0015681i,-0.015859-0.0055183i,-0.020006-0.010889i,-0.014973-0.013359i,-0.0072815-0.015623i,-0.003564-0.017354i,-0.00077055-0.016331i,0.0013732-0.012462i,-0.00075461-0.0057939i,-0.0041477-0.00011632i,-0.0058249+0.0022736i,-0.0045885+0.0033425i,0.00044705+0.0013691i
0.013276-0.14379i,-0.0099088-0.21313i,-0.067799-0.16907i,-0.071703-0.056509i,0.028189-0.012054i,0.10166-0.028905i,0.093783-0.02671i,0.064191-0.012831i,0.035683-0.0054378i,0.016004-0.0012399i,0.012408-0.0065593i,0.012286-0.015106i,0.0087763-0.015284i,0.0062589-0.0091701i,0.0089602-0.0030732i,0.015215-0.001294i,0.017292-0.0014937i,0.012528-0.0005635i,0.0052365+0.001058i,-0.00022243+0.00030822i,-0.0021984-1.1125e-05i,-0.00014647+0.0019457i,0.0038664+0.0027404i
0.049543+0.09981i,0.087328+0.10923i,0.096423-0.0062511i,0.025218-0.13661i,-0.088786-0.12068i,-0.13186-0.022303i,-0.1029+0.024408i,-0.070773+0.021453i,-0.05148+0.015198i,-0.026587+0.017009i,0.0014744+0.01628i,0.017157+0.011036i,0.019969+0.005363i,0.015393+0.0027522i,0.0068995+0.0065836i,0.0030675+0.011765i,0.0044407+0.012384i,0.0036875+0.011078i,-0.0013342+0.010833i,-0.0053018+0.0087724i,-0.0064114+0.0045276i,-0.0070501+0.0014672i,-0.0061161+0.0023757i
-0.035155+0.04521i,-0.060666+0.085948i,-0.038009+0.10523i,0.021466+0.098001i,0.035709+0.085442i,-0.00089471+0.080994i,-0.025803+0.077916i,-0.019573+0.064401i,-0.0004633+0.036075i,-0.00037825+0.011871i,-0.01342+0.014168i,-0.014048+0.023049i,-0.0052929+0.015918i,0.00080074+0.0019464i,-0.0025118-0.0051164i,-0.0099347-0.0013969i,-0.01028+0.0047601i,-0.0076239+0.0042892i,-0.0074467-0.001558i,-0.0087903-0.0053387i,-0.0088435-0.0047852i,-0.0054524-0.0026287i,-0.00010831-0.00034317i
0.0054418-0.20632i,-0.0013923-0.29693i,-0.0061251-0.2287i,0.019471-0.099722i,0.062305-0.099889i,0.054924-0.17209i,0.013364-0.17138i,0.0026818-0.11604i,0.0069172-0.068916i,0.0024914-0.038831i,-0.0034461-0.022346i,-0.003941-0.011658i,0.0038832-0.002451i,0.012083+0.001077i,0.014424-0.00347i,0.01348-0.0072518i,0.0091365-0.0069367i,0.0027392-0.0072727i,-0.0024079-0.0095901i,-0.0037958-0.011688i,-0.0008824-0.011062i,0.0039262-0.0072926i,0.004449-0.0030954i
0.063415+0.12832i,0.11195+0.16773i,0.096696+0.12077i,0.0035952+0.05831i,-0.070258+0.066656i,-0.05523+0.091841i,-0.022949+0.053986i,-0.037005+0.0086692i,-0.041875+0.0096337i,-0.012614+0.010826i,0.0068561-0.0063225i,0.0076416-0.0068739i,0.010345+0.012498i,0.014821+0.025756i,0.014146+0.024493i,0.0080748+0.016927i,0.001195+0.01119i,-0.0018996+0.0072857i,-0.00055366+0.0022886i,0.0033389+0.00074942i,0.0055758+0.00052529i,0.0024798+0.00034366i,-0.0030546+0.0041625i
-0.020859+0.11316i,-0.04439+0.19751i,-0.037867+0.1804i,0.010371+0.083215i,0.05458+0.044066i,0.075257+0.067974i,0.09289+0.086158i,0.095254+0.073152i,0.061691+0.038524i,0.022157+0.01862i,0.0062011+0.02158i,-0.0044032+0.023864i,-0.020314+0.019642i,-0.025974+0.013723i,-0.023083+0.01009i,-0.022137+0.011117i,-0.018778+0.011978i,-0.0098906+0.0059148i,-0.0023955-0.0023228i,-0.0013782-0.0044277i,-0.0021349-0.0012106i,-0.0022546+0.0019846i,-0.0040115+0.0015955i
-0.029095-0.27282i,-0.077989-0.42223i,-0.087352-0.37458i,-0.037928-0.2053i,-0.016399-0.1421i,-0.049912-0.14725i,-0.056429-0.11129i,-0.024322-0.080528i,-0.0089477-0.059781i,-0.0059475-0.024074i,-0.0035032-0.0071585i,-0.013162-0.012317i,-0.022697-0.014756i,-0.022082-0.013556i,-0.014708-0.014489i,-0.0079228-0.019524i,-0.0073239-0.023887i,-0.0066726-0.019139i,-0.0029671-0.011084i,-0.0022316-0.0071385i,-0.002859-0.0040464i,0.0012061-0.0028559i,0.0025371-0.0063583i
0.068688+0.10205i,0.15581+0.13828i,0.18804+0.13535i,0.1211+0.13796i,0.054209+0.15394i,0.016192+0.1401i,-0.045479+0.10206i,-0.080914+0.084007i,-0.047535+0.062415i,-0.0058336+0.019122i,0.0023039-0.011372i,0.0027727-0.017312i,0.0090301-0.009189i,0.015377+0.0022772i,0.019029+0.003753i,0.01778-0.0055792i,0.014157-0.011995i,0.011467-0.0080728i,0.010818-0.0012522i,0.010814+0.00036531i,0.0081319-0.00083472i,0.0033868-0.0016151i,0.00096932-0.00072068i
0.035431+0.21383i,0.047918+0.38048i,0.018841+0.38735i,-0.044998+0.20681i,-0.079509+0.064915i,-0.039342+0.04371i,0.039131+0.045819i,0.073736+0.026196i,0.045421+0.0071732i,0.0072132+0.0096716i,0.0059459+0.018432i,0.014219+0.010562i,0.00025845-0.0024098i,-0.013405-0.0050642i,-0.01036+0.0020472i,0.00030748+0.010828i,0.0090148+0.013057i,0.011983+0.0088718i,0.010313+0.0042076i,0.0054961+0.0020279i,-0.00048509+0.0026191i,-0.0020704+0.0048908i,0.0023111+0.0028508i
-0.078614-0.27023i,-0.23631-0.42802i,-0.34651-0.40961i,-0.2815-0.25705i,-0.15796-0.1616i,-0.1215-0.14627i,-0.10757-0.13568i,-0.071175-0.11944i,-0.047925-0.07808i,-0.02598-0.020952i,-0.0063597+0.003325i,-0.0040119-0.0045394i,-0.010091-0.019914i,-0.019928-0.025164i,-0.02575-0.016697i,-0.020477-0.0056546i,-0.013647+0.00033392i,-0.012245+0.0048042i,-0.011674+0.0095044i,-0.0096298+0.0077034i,-0.0081183+0.0023567i,-0.0042005-0.00085641i,-0.00080273-0.0013711i
0.0017511+0.022579i,0.055796-0.057181i,0.15865-0.1541i,0.23954-0.1489i,0.24643-0.088413i,0.16914-0.056892i,0.037804-0.0078697i,-0.024246+0.0542i,0.0030194+0.047525i,0.015403-0.0023556i,-0.0019412-0.017293i,0.0035936-0.00406i,0.030443+0.002457i,0.04201-0.00034515i,0.029645-0.0037115i,0.011424-0.0051689i,0.00068391-0.0054731i,-0.0040124-0.003446i,-0.003937-0.0020203i,0.00028085-0.0050111i,0.0028307-0.0088253i,0.00078963-0.007143i,-0.001147+0.00075631i
0.13917+0.2253i,0.32126+0.37552i,0.39271+0.38562i,0.22114+0.24123i,-0.00036962+0.13383i,-0.031291+0.11014i,0.065727+0.059363i,0.10624-0.0028953i,0.066498-0.020196i,0.019972-0.0072422i,0.0079198+0.0061367i,0.013693+0.012452i,0.01211+0.018257i,0.010303+0.018813i,0.014677+0.0099295i,0.017643+0.0024679i,0.017148-0.00087493i,0.011194-0.006972i,0.0035771-0.012717i,0.0032038-0.011201i,0.0061488-0.0079598i,0.0054701-0.0037665i,0.0045608+0.0012182i
-0.055027-0.17812i,-0.22502-0.19801i,-0.39077-0.066047i,-0.35551+0.076895i,-0.17975+0.083642i,-0.073935+0.0067917i,-0.053765-0.056127i,-0.058755-0.071998i,-0.057236-0.030419i,-0.025126+0.015763i,0.0019176+0.019191i,-0.0043641+0.0085565i,-0.020377+0.0040098i,-0.030179+0.0024007i,-0.029881+0.0040486i,-0.021584+0.0060322i,-0.013273+0.0068441i,-0.0070573+0.0051272i,-0.0039582+0.0032556i,-0.0038631+0.0067266i,-0.0015731+0.0095311i,0.0014739+0.0053277i,-0.00223+4.3728e-05i
-0.14949+0.0059391i,-0.24623-0.084514i,-0.20522-0.20465i,-0.0040078-0.23767i,0.14823-0.2136i,0.12715-0.15694i,0.044889-0.017688i,0.033956+0.093439i,0.05298+0.068404i,0.028313+0.0047949i,-0.0014228-0.0040116i,-0.00069486+0.0045907i,0.011145-0.001651i,0.014096-0.0069786i,0.0039518-0.0032368i,-0.0089499+0.0030358i,-0.01367+0.0037364i,-0.0079904+0.00054232i,-0.00095228-0.0029358i,0.00062921-0.0047845i,0.0013584-0.0022013i,-0.0006991-0.0013468i,-0.006433-0.00071239i
0.16266+0.12186i,0.44262+0.12588i,0.61132+0.041406i,0.41535+0.00041573i,0.099576+0.099395i,-0.0015475+0.18926i,0.040517+0.13158i,0.050838+0.025014i,0.016727-0.02092i,-0.01041-0.013642i,-0.01346+0.0014327i,-0.006076+0.0081653i,-0.00022666+0.013862i,0.0071239+0.010061i,0.014501-0.0041009i,0.017425-0.016234i,0.014457-0.021166i,0.0097629-0.018845i,0.0098996-0.016573i,0.011528-0.016492i,0.009145-0.01369i,0.0067235-0.0089135i,0.0059127-0.0091352i
0.072147-0.10711i,0.02397-0.016497i,-0.11005+0.21075i,-0.19729+0.32308i,-0.16678+0.20629i,-0.13395+0.039411i,-0.16443-0.04089i,-0.18762-0.029065i,-0.13073+0.01835i,-0.044883+0.027401i,-0.011628+0.0061834i,-0.017281-0.0027869i,-0.024968-0.0029547i,-0.028751-0.00090682i,-0.022844+0.0012979i,-0.0083898+0.00043766i,0.0046855+0.0017985i,0.010886+0.0055727i,0.01174+0.0087033i,0.010114+0.011417i,0.0072076+0.013352i,0.0085555+0.0086299i,0.010029-0.0038445i
-0.26353+0.10865i,-0.53986+0.19207i,-0.65481+0.18613i,-0.44432+0.055428i,-0.16924-0.11774i,-0.07616-0.19419i,-0.049499-0.11765i,0.02324-0.026498i,0.064743-0.02077i,0.03903-0.037687i,0.012164-0.025234i,0.0091422-0.012822i,0.0096004-0.017869i,0.0070908-0.020734i,0.0008197-0.010587i,-0.0069672+0.0065672i,-0.010423+0.016056i,-0.0095272+0.0159i,-0.0065412+0.014548i,-0.0035387+0.01392i,-0.0022967+0.012318i,-0.0021582+0.010669i,0.00083353+0.013613i
0.012487-0.035029i,0.15126-0.24145i,0.27415-0.49682i,0.23044-0.4905i,0.15236-0.20215i,0.19954-0.0077819i,0.22914-0.065183i,0.14079-0.15027i,0.039067-0.11834i,0.0042107-0.041448i,0.0031921-0.0037199i,-0.00076019+0.0044011i,0.002839+0.0078856i,0.014461+6.6554e-05i,0.017688-0.01432i,0.012131-0.022386i,0.0026056-0.021137i,-0.0045319-0.012755i,-0.0050038-0.0076484i,-0.0045442-0.011017i,-0.0073503-0.014411i,-0.0070086-0.010222i,-0.0021401-0.0039198i
0.21665-0.1857i,0.35785-0.25895i,0.37469-0.19324i,0.23383-0.081076i,0.071293-0.047768i,-0.0095032-0.036654i,-0.044493+0.0083479i,-0.062016+0.060153i,-0.035564+0.081963i,0.0051087+0.053033i,0.0074527+0.010331i,-0.0065819-0.0058184i,-0.0075314-0.0031275i,-0.0056732+0.0072692i,-0.0016049+0.012186i,0.0071996+0.0041236i,0.013678-0.006012i,0.011528-0.011602i,0.0067264-0.0084041i,0.0080486-0.0016172i,0.0089005-0.00053634i,0.0065128-0.0033574i,0.0038388-0.0088793i
-0.17307+0.23729i,-0.31535+0.52083i,-0.33301+0.68985i,-0.18412+0.53232i,-0.065692+0.24105i,-0.049604+0.12023i,0.014066+0.13457i,0.10991+0.10369i,0.11742+0.023145i,0.058581-0.022362i,0.023889-0.024474i,0.020189-0.020294i,0.013284-0.014867i,0.0076236-0.0077374i,0.0046307-0.0024773i,-0.0011676+0.0087411i,-0.0040076+0.015352i,-0.0041973+0.010421i,-0.0046729+0.0086933i,-0.002139+0.012463i,0.0032755+0.013041i,0.0040236+0.012838i,0.0025367+0.016474i
-0.17478-0.079918i,-0.21243-0.23928i,-0.16378-0.38676i,-0.052776-0.3384i,0.084857-0.14926i,0.18608-0.059014i,0.16209-0.10473i,0.053469-0.12852i,-0.019952-0.069564i,-0.018301-0.0010962i,0.0055001+0.022022i,0.0056148+0.016097i,-0.0039747+0.0032283i,-0.0043808-0.012131i,-0.0027912-0.022769i,-0.0067122-0.022473i,-0.0067405-0.012899i,0.0011861-0.004998i,0.0011997-0.0063402i,-0.00793-0.0091038i,-0.011939-0.0070807i,-0.0079297-0.0050204i,-0.003586-0.0036029i
0.22161-0.27185i,0.36807-0.48145i,0.37905-0.5361i,0.22678-0.36973i,0.045982-0.1665i,-0.066942-0.029383i,-0.099629+0.075873i,-0.078037+0.13423i,-0.035522+0.12733i,-0.0017006+0.078146i,0.0014932+0.029024i,-0.003337+0.0028833i,-0.0010596-0.0051985i,-0.0024673+0.0084537i,0.0042824+0.023605i,0.018097+0.014858i,0.022521-0.0016497i,0.019538-0.010193i,0.016142-0.01338i,0.014018-0.01421i,0.010498-0.013836i,0.0062449-0.015689i,0.00039205-0.023164i
0.018367+0.23691i,0.080488+0.58479i,0.1882+0.81801i,0.23405+0.67882i,0.15117+0.39647i,0.048056+0.27754i,0.044782+0.24613i,0.086495+0.15221i,0.072953+0.033301i,0.023226-0.022898i,0.0093584-0.021843i,0.02549-0.0085582i,0.031941+0.0033827i,0.022957+0.0072177i,0.0065204+0.0068148i,-0.0065121+0.0139i,-0.013821+0.022802i,-0.011621+0.025343i,0.0016697+0.020391i,0.013678+0.012197i,0.016871+0.0081979i,0.014936+0.011919i,0.016683+0.016883i
-0.27513-0.090177i,-0.44859-0.080018i,-0.50882-0.002063i,-0.38892+0.067098i,-0.19699+0.036914i,-0.097326-0.067903i,-0.10642-0.14599i,-0.13347-0.13597i,-0.10811-0.065647i,-0.042809-0.0052755i,-0.0024847+0.018173i,-0.0023448+0.02243i,-0.010539+0.0077861i,-0.015859-0.021705i,-0.022297-0.039644i,-0.028587-0.037541i,-0.027154-0.026602i,-0.015182-0.011371i,-0.0054661+0.0042567i,-0.0053589+0.013934i,-0.0058931+0.016085i,-0.0016275+0.012992i,0.0046016+0.012218i
0.12044-0.27505i,0.031707-0.50661i,-0.16906-0.60609i,-0.27487-0.45207i,-0.21004-0.22323i,-0.12244-0.1363i,-0.096493-0.12061i,-0.081057-0.071902i,-0.045834-0.0069925i,-0.0088107+0.021687i,0.001704+0.011806i,-0.0062283-0.0085934i,-0.0085328-0.020745i,0.0031762-0.011443i,0.026885-0.0031016i,0.046249-0.01703i,0.046657-0.029887i,0.027812-0.027355i,0.0054069-0.017431i,-0.0048158-0.0077277i,-0.0073461-0.002606i,-0.0088234-0.0043398i,-0.013562-0.010069i
0.19324+0.15264i,0.35363+0.26055i,0.45717+0.25364i,0.41519+0.11747i,0.28701+0.029592i,0.22996+0.069598i,0.24608+0.09835i,0.22012+0.046028i,0.11518-0.013876i,0.019697-0.011937i,0.0061229+0.0094058i,0.033569+0.012987i,0.050579+0.016672i,0.045114+0.018901i,0.027435+0.026231i,0.020191+0.042997i,0.018063+0.050135i,0.010652+0.041408i,0.0076474+0.022447i,0.0077656+0.0039316i,0.006553-0.0029375i,0.0074503+0.0036543i,0.012438+0.010517i
-0.19022-0.19872i,-0.27861-0.2249i,-0.22167-0.13839i,-0.094192-0.013391i,-0.053206+0.074669i,-0.065164+0.13992i,-0.01849+0.15917i,0.029699+0.099308i,0.023017+0.037976i,0.0085364+0.022757i,-0.0014729+0.02675i,-0.019427+0.035426i,-0.029342+0.033766i,-0.03177+0.014089i,-0.04109-0.002105i,-0.054694-0.0033145i,-0.056951-0.0011865i,-0.037526-0.0019716i,-0.013183+0.00023287i,-0.00076133+0.0067948i,0.0031841+0.0088247i,0.0016059+0.0056172i,0.00054567+0.005647i
0.16409-0.13182i,0.11997-0.25326i,-0.030559-0.2559i,-0.11721-0.14211i,-0.10873-0.080346i,-0.12385-0.091661i,-0.16646-0.07037i,-0.14139-0.017465i,-0.066517-0.0064063i,-0.029966-0.028015i,-0.030288-0.035827i,-0.025103-0.038731i,-0.015983-0.042184i,-0.0028064-0.034349i,0.016064-0.035992i,0.025584-0.053136i,0.025207-0.061978i,0.012343-0.046167i,-0.0045424-0.01926i,-0.0095398-0.0032496i,-0.0089946+0.0012716i,-0.012609-0.00010807i,-0.022098-0.0042357i
0.25146+0.22601i,0.43104+0.34469i,0.45591+0.31038i,0.2883+0.1549i,0.11537+0.027414i,0.030441-0.014104i,0.012695+0.0030375i,0.025647+0.014874i,0.017755+0.0027964i,-0.0035265+0.0071466i,0.01662+0.019989i,0.055601+0.014311i,0.068789+0.0072227i,0.05688+0.01051i,0.044784+0.024646i,0.053115+0.044416i,0.063568+0.05374i,0.05334+0.04023i,0.031518+0.014318i,0.011875-0.001266i,0.0012783-0.0038366i,0.0035439-0.0025717i,0.010145-0.0041255i
-0.14457-0.23621i,-0.31128-0.29094i,-0.33348-0.16285i,-0.1686+0.035361i,-0.017312+0.15088i,0.039414+0.19193i,0.077212+0.1746i,0.090723+0.10711i,0.065345+0.054884i,0.045055+0.034081i,0.013915+0.029681i,-0.029025+0.052272i,-0.038686+0.071316i,-0.027549+0.057934i,-0.030277+0.036441i,-0.050845+0.031295i,-0.064783+0.034989i,-0.046863+0.027755i,-0.015719+0.013066i,0.002203+0.0044764i,0.0081279-0.0025835i,0.0081084-0.011079i,0.0098418-0.013873i
0.1895-0.022498i,0.20583-0.074451i,0.10365-0.1126i,-0.013673-0.1265i,-0.084693-0.167i,-0.16437-0.19475i,-0.22533-0.11371i,-0.18474-0.0071235i,-0.091506+0.012584i,-0.046697-0.02163i,-0.047157-0.0394i,-0.047146-0.040649i,-0.039564-0.036536i,-0.030844-0.031218i,-0.025215-0.040541i,-0.028842-0.060381i,-0.03641-0.067233i,-0.036627-0.04251i,-0.024363-0.005994i,-0.0095245+0.0085208i,-0.0017419+0.0080067i,0.00084036+0.009119i,-0.00055211+0.011624i
0.1992+0.30564i,0.3294+0.36954i,0.2959+0.26674i,0.095085+0.11048i,-0.054515+0.033354i,-0.081659-0.0038209i,-0.086567-0.032559i,-0.07028-0.020876i,-0.029878-0.0087716i,-0.0036133+0.0043809i,0.029704+0.016368i,0.059382-0.0030415i,0.05415-0.024369i,0.040772-0.020847i,0.046825-0.0037417i,0.068986+0.0059388i,0.082367+0.0034296i,0.065201-0.0033707i,0.030447-0.0072745i,0.0057671-0.0032014i,9.9624e-06+0.0048486i,0.0041641+0.0074329i,0.0041566+0.0056324i
-0.16099-0.19558i,-0.40115-0.25888i,-0.52325-0.16902i,-0.32695-0.012248i,0.0043275+0.046315i,0.18785-0.0066397i,0.18989-0.085973i,0.099676-0.11668i,0.028997-0.061425i,0.022484-0.0065361i,0.0085986+0.0065102i,-0.022354+0.027072i,-0.017966+0.04727i,0.0055481+0.040575i,0.0095933+0.025404i,-0.0042261+0.029049i,-0.013908+0.038333i,-0.010538+0.025938i,-0.0063223+0.0055161i,-0.0057962-0.0011504i,-0.0043337-0.00088999i,-0.0055046-0.0054103i,-0.0082008-0.012297i
0.2276+0.022469i,0.33524-0.12841i,0.32514-0.30722i,0.20408-0.35425i,0.030498-0.27944i,-0.096039-0.1671i,-0.11516-0.059732i,-0.071487+0.0032636i,-0.04357+0.0084757i,-0.043007-0.0052129i,-0.042267-0.018224i,-0.030084-0.028923i,-0.020983-0.025645i,-0.024516-0.01134i,-0.028051-0.0020813i,-0.03256-0.0082884i,-0.039404-0.01243i,-0.036066+0.001023i,-0.018398+0.01238i,-0.0027548+0.007173i,-0.0012454+0.00074097i,0.00044816+0.0042421i,0.01014+0.0068893i
0.0045919+0.31367i,0.24126+0.33297i,0.43784+0.14512i,0.35984-0.014225i,0.19208+0.025653i,0.13255+0.11565i,0.12128+0.12474i,0.10762+0.075474i,0.077084+0.016657i,0.043126+0.0054195i,0.051554+0.020165i,0.060039+0.0082178i,0.03416-0.0046584i,0.019446+0.00080606i,0.0243+0.0058067i,0.032991+0.00077849i,0.032319-0.0098931i,0.020822-0.018954i,0.0084009-0.021081i,0.00084338-0.015666i,0.0016863-0.0082635i,0.0056865-0.00076078i,0.008415+0.0056056i
-0.10795-0.13203i,-0.23708-0.024789i,-0.25798+0.26032i,-0.087696+0.41426i,0.079875+0.27091i,0.11067+0.058425i,0.076987-0.051225i,0.029874-0.072485i,0.0071735-0.039875i,0.010911-0.0221i,-0.0087656-0.024539i,-0.025671-0.0063293i,-0.0084357+0.0067289i,0.0022649-0.0031364i,-0.0090671-0.011999i,-0.020548-0.0022121i,-0.017113+0.0058667i,-0.0074054-0.0041517i,-0.003047-0.010501i,0.001001-0.0029694i,0.0039802+0.0040066i,-0.0035176+0.0029077i,-0.013264-0.00061147i
0.24244+0.15995i,0.35072+0.19717i,0.27053+0.15507i,0.08326+0.097676i,-0.055255+0.071996i,-0.13777+0.070819i,-0.14748+0.085568i,-0.082108+0.081895i,-0.029493+0.049863i,-0.0093683+0.025493i,0.017187+0.012543i,0.041086-0.0026392i,0.028265-0.010664i,-0.00035941-0.00060827i,-0.003836+0.0092697i,0.0063899+0.0020495i,0.010619-0.0015539i,0.017068+0.0098596i,0.024264+0.018798i,0.018858+0.015979i,0.0063425+0.0098963i,0.0027006+0.0060151i,0.0052395+0.0046023i
-0.42981+0.20841i,-0.53881+0.22514i,-0.45721+0.065522i,-0.29874-0.07498i,-0.13192-0.059244i,0.0089851+0.0053956i,0.056939+0.061692i,0.05876+0.083356i,0.043028+0.048282i,0.018111+0.038141i,0.022828+0.065961i,0.026628+0.077355i,0.021123+0.066168i,0.027556+0.037565i,0.025339+0.015143i,0.014998+0.010029i,0.0085668+0.0055304i,0.0021013-6.53e-07i,-0.0079654-0.0016435i,-0.016025-0.0003232i,-0.012183-0.00090572i,-0.00088828-0.0054441i,0.0045724-0.0070678i
-0.087888-0.37891i,-0.19172-0.44747i,-0.23812-0.24406i,-0.15344+0.015575i,-0.0573+0.11341i,-0.045581+0.082897i,-0.070881+0.020337i,-0.085715-0.0035837i,-0.071557+0.011641i,-0.053918+0.0086612i,-0.078394-0.012059i,-0.10655-0.019124i,-0.090615-0.018754i,-0.062003-0.018326i,-0.051928-0.014269i,-0.04954-0.0058551i,-0.039163-0.00015288i,-0.027496-0.0011731i,-0.021654-0.0028854i,-0.013097-0.0027189i,-0.0041643-0.0033242i,-0.0042868-0.0013837i,-0.0071893-0.00073075i
0.53662+0.17168i,0.83024+0.1577i,0.77768+0.0083572i,0.41373-0.078981i,0.082154-0.034108i,-0.060972-0.0021695i,-0.10842-0.02321i,-0.11322-0.034127i,-0.076395-0.026438i,-0.026701-0.021024i,0.029281-0.028574i,0.072112-0.049691i,0.060713-0.055823i,0.028827-0.036625i,0.0264-0.023761i,0.034139-0.027727i,0.033991-0.017427i,0.036916+0.0042206i,0.038522+0.0047031i,0.027267-0.005353i,0.016404-0.0015668i,0.017373+0.0059084i,0.01518+0.0084059i
-0.65502+0.27896i,-0.84277+0.44897i,-0.63797+0.41648i,-0.30179+0.19342i,-0.13576-0.029198i,-0.078582-0.11648i,-0.041956-0.10237i,-0.0079299-0.063141i,0.01887-0.054725i,0.0079715-0.041733i,-0.0069186+0.017333i,0.011976+0.072846i,0.045753+0.071312i,0.057826+0.029919i,0.03461+0.0053243i,0.0085651+0.013858i,-0.0034585+0.020038i,-0.014503+0.011677i,-0.02165+0.0066327i,-0.018225+0.011852i,-0.01013+0.016861i,-0.0056564+0.01288i,-0.0077146+0.0022996i
-0.1608-0.61949i,-0.31912-0.71564i,-0.39649-0.42044i,-0.28432-0.058449i,-0.074855+0.095896i,0.052739+0.12286i,0.10151+0.063603i,0.093838-0.020426i,0.061106-0.021815i,0.037569-0.010169i,-0.014551-0.027787i,-0.077777-0.022143i,-0.095398+0.011245i,-0.068907+0.035862i,-0.035764+0.022168i,-0.026987-0.0062762i,-0.033438-0.017162i,-0.035024-0.011986i,-0.024505-0.0030312i,-0.012426-0.0049141i,-0.016729-0.010475i,-0.027484-0.0094075i,-0.024387-0.012896i
0.78409+0.05848i,1.0511-0.094361i,0.80607-0.31824i,0.28596-0.34083i,-0.043116-0.17107i,-0.12325-0.044435i,-0.087225+0.014489i,-0.037334+0.032085i,-0.039788+0.035417i,-0.013733+0.055163i,0.063268+0.022844i,0.090578-0.043314i,0.058408-0.059184i,0.031575-0.038671i,0.043623-0.02442i,0.061161-0.033178i,0.055198-0.040135i,0.043001-0.033557i,0.030488-0.02721i,0.017314-0.020734i,0.014287-0.01897i,0.025105-0.020525i,0.0394-0.011649i
-0.44881+0.37337i,-0.5369+0.60929i,-0.2799+0.53572i,0.015783+0.19727i,0.045752-0.03987i,-0.039325-0.061875i,-0.051747+0.005433i,0.013536+0.042472i,0.048598-0.013193i,-0.0027548-0.047209i,-0.035762+0.01342i,-0.0047158+0.055865i,0.025302+0.03116i,0.025604+0.0084328i,0.011386+0.030274i,0.013131+0.063339i,0.021317+0.059957i,0.016572+0.032818i,0.010434+0.019254i,0.010116+0.019412i,0.017546+0.020126i,0.024766+0.019593i,0.023103+0.018693i
-0.18658-0.51891i,-0.37966-0.58213i,-0.37826-0.31881i,-0.17388-0.065087i,-0.029524-0.028081i,-0.032146-0.02342i,-0.043287+0.041806i,0.0051222+0.08997i,0.06903+0.072855i,0.073402+0.018292i,0.025692+0.0028378i,-0.010484+0.030999i,-0.024625+0.06158i,-0.022017+0.06305i,-0.016868+0.028214i,-0.027484+0.0026279i,-0.030245+0.0075109i,-0.01437+0.017173i,-0.00090557+0.015146i,0.001055+0.0082857i,-0.0072462+0.011001i,-0.017147+0.021233i,-0.02306+0.021259i
0.53015-0.0018462i,0.61528-0.23041i,0.35478-0.35449i,0.067347-0.21926i,-0.013604-0.087863i,-0.039705-0.10002i,-0.11393-0.073304i,-0.15257+0.033102i,-0.12204+0.11028i,-0.052873+0.12178i,0.0044045+0.070321i,0.0123+0.00041887i,-0.0041104-0.035996i,-0.015201-0.028297i,-0.016696+0.0076119i,-0.0092309+0.029714i,0.00053576+0.02114i,-0.0016752+0.0069234i,-0.017831+0.0030933i,-0.028863+0.0053197i,-0.026702-0.0013258i,-0.023237-0.012699i,-0.016702-0.005215i
