-0.00236+0.00093841i,-0.0030745+0.0007342i,-0.0034771+0.0014729i,-0.0023652+0.0012926i,-0.001342+0.0010237i,-0.00092408+0.00082928i,-0.00056151+0.001098i,7.2204e-05+0.0015816i,0.00080944+0.001629i,0.00067813+0.0008565i,0.00055453-0.00040521i,0.0004179-0.0009405i,0.00025286-0.00093746i,0.0003068-0.0010314i,8.1217e-07-0.0014492i,-0.0003747-0.00080536i,-0.00063844+0.00016483i,-0.00056259+0.00043117i,-0.00092934-0.00038543i,-0.001336-0.00018747i,-0.00067744+0.00043404i,0.00034327+0.00046097i,0.00049751+0.00023711i
0.0010669+0.0003837i,0.0019172+3.0424e-05i,0.0026208+0.00081424i,0.0025824-4.3003e-07i,0.001439-0.0013097i,0.00026528-0.001781i,4.225e-05-0.00097422i,6.4114e-05-0.00021953i,-0.0001967-0.00034487i,0.00046995-0.00052941i,0.00057695-9.0126e-05i,-0.00063256+0.00035005i,-0.00088077+0.00024753i,-0.000766-0.00016139i,-0.00051873-0.00076639i,-9.8069e-06-0.00083687i,-0.00023185-0.00068532i,-0.00022711-0.00029428i,-0.00017383+0.00062977i,-0.00055792+0.00096605i,-0.00021376+0.00052799i,0.00041519+0.00050074i,0.00081798-0.00011605i
-0.0011559-0.00064109i,-0.0018086-3.4219e-07i,-0.0027559-0.00023891i,-0.002039-0.00040713i,-0.00088633+0.00039201i,-9.3543e-06+0.001059i,0.00040999+4.0873e-05i,0.00048145-0.00095688i,0.00031296-0.00034568i,-0.00016995+0.00022338i,-0.00028967+0.00046969i,0.00041928+0.0010875i,0.00074818+0.0011395i,0.00033876+0.00090213i,0.0004522+0.00054162i,0.00075971-9.2915e-05i,0.00021564-0.001242i,-0.00039011-0.0017156i,0.00034735-0.0013035i,0.00019603-0.0010426i,-0.0003281-0.00076723i,-0.00046075-0.00061007i,-0.0001266+6.9549e-05i
0.00021796+0.00035519i,0.00048826+0.00078181i,0.0010076+0.00098572i,0.0017293+0.00013781i,0.0016095-0.0001368i,0.00033067-0.00030905i,-0.00070033-0.00063571i,-0.00015849-0.00040472i,0.00040777-0.00024246i,2.5937e-05-0.00056945i,-0.00013294-0.00066613i,-2.4825e-05-0.00024199i,-0.00010767-0.00017668i,-0.00018353-0.0006163i,0.00040747-0.00098906i,0.00081291-0.0011888i,0.0005799-0.00078186i,0.00058898-0.00040067i,0.00051369-0.00075043i,0.00064728-0.00031675i,0.00013646+0.00081464i,9.6021e-05+0.00060865i,0.00068164-0.00012088i
0.00082749-0.00050522i,0.00092347-0.0010248i,6.3472e-05-0.00017791i,3.6293e-05+0.00019251i,0.00069654-4.8038e-05i,0.00074258-0.00029055i,7.2405e-05-0.00031603i,-0.00031718+0.0002658i,-0.00067808+0.00048361i,-0.000996+2.6877e-05i,-0.00066679-0.00038454i,-0.0001815+8.5596e-05i,4.6318e-05+0.0003843i,0.00017026+0.00017142i,-0.00020391-0.00025148i,-0.00033381-0.00063931i,0.00028995-0.00033481i,0.0004456+0.00031281i,0.00031921+0.00015853i,0.00032261+0.00027534i,0.00010413+0.001398i,0.00018809+0.0010336i,0.00042058+9.5757e-05i
0.0010967-0.0016526i,0.0017096-0.0017416i,0.0011973-0.0016809i,0.00076776-0.0010433i,0.0008579-0.00039436i,0.00050496-0.00044751i,-4.4783e-05-0.0012483i,0.00013134-0.0013692i,0.00016865-0.00041405i,-0.00072956+0.00011769i,-0.0007968-7.1264e-05i,0.00013497+0.00036294i,0.00054109+0.00074808i,-0.00023152+0.0007359i,-0.00082811+8.5536e-05i,-0.00055872-0.00039086i,0.0005039-0.0007315i,0.0011463-0.00068507i,0.00079283-6.7286e-05i,0.0010365-1.3195e-05i,0.00095761-0.00023152i,0.00040781-0.0010525i,0.00035006-0.00082564i
0.0008883+0.0017011i,0.00079797+0.0015077i,0.00031334+0.00090747i,-2.7047e-05+0.00036423i,0.00054967-0.0005857i,0.00092202-0.0010087i,0.00023252-0.00025275i,-0.00066157-0.00019657i,-0.00091981-0.00078148i,-0.00053294-0.00070162i,-0.00019751-0.00030722i,-0.00016361-0.00019394i,0.00012652-0.00046929i,-0.00011965-0.00060939i,-0.00050738-0.0010304i,-0.00049281-0.0013908i,0.00018829-0.00081568i,0.00020254-0.00057233i,-0.00018734-0.0012991i,-0.00012946-0.0012802i,0.00029039-0.00031634i,0.0007033+0.0005766i,0.0005409+0.00063569i
0.0003854-0.00028232i,-0.00067075-0.00059987i,-0.0004743-0.00048783i,0.00053514-0.00092384i,0.0012702-0.00080497i,0.00073195-0.00048211i,0.00015995-0.00010809i,0.00045615-0.00014856i,0.00065602-2.7683e-06i,0.00015671+0.00029483i,-2.821e-05+0.00026146i,-5.1741e-05+0.00038205i,-0.00077423+0.0005502i,-0.0014226-0.00029345i,-0.0010492-0.0013807i,-5.2968e-05-0.0012363i,0.00037434-0.00074884i,9.5318e-05+0.00022538i,0.00028176+0.00064758i,0.00075324+0.00047062i,0.00071464+0.00046373i,-0.00019346+0.00070578i,-1.3242e-05+0.00050699i
0.0016727-0.0015755i,0.0018913-0.0015231i,0.00074734-0.0015734i,-0.00054428-0.00076117i,-0.0010848-0.00093309i,9.371e-05-0.0014537i,0.0010825-0.0011102i,0.00098294-0.00084487i,0.00085556-0.0010109i,0.00056255-0.0003365i,0.0005884+5.4213e-05i,-0.00021455-0.00021038i,-0.00066867-0.00027334i,0.00032998-0.00043142i,0.00042278-0.00017328i,0.00041568-0.0003157i,-6.7095e-05-0.00039998i,-0.00023148-0.0001824i,0.00035524-0.00041188i,-6.7389e-05-0.0002936i,-0.00037645+0.00039306i,0.00042048+0.00085998i,0.00090722+0.00073984i
0.00064076-0.00044014i,0.0011257+0.00019103i,0.00087672-0.00062745i,0.00023684-0.0013531i,0.00018265-0.00055402i,-1.2615e-05-0.00027085i,-0.00010636-0.00021557i,0.00044214-0.00043533i,0.0010818-0.0005057i,0.00099241+0.0005059i,0.00068802+0.0010167i,0.00082556+0.0014353i,0.00088083+0.0016228i,0.00058551+0.0012679i,-0.00045702+0.00043261i,-0.0005416-0.0003925i,-0.00042208-7.0575e-05i,-4.4392e-05+0.00015797i,0.00055802+6.9715e-05i,0.00081227-0.00036662i,0.0011491-0.00067939i,0.0011709-0.00016554i,0.00064075-0.00017449i
-0.000428-0.0011419i,-0.00088947-0.0011078i,-0.0012559-7.9443e-05i,-0.00078755+0.00044569i,-0.00072993+0.00013312i,-5.2491e-05-0.00038432i,1.1233e-05-0.00031086i,-0.00079279-0.0004173i,-0.00017286-0.00051316i,0.00011149+0.00014345i,-0.00069629+0.00055085i,-0.00052257+0.00019502i,-0.00026209+0.00022476i,-0.00064581-1.9889e-05i,0.00035247-0.00041826i,0.00051766+0.00028414i,9.8267e-05+0.0011869i,0.00026113+0.00099691i,7.9724e-05-0.00011634i,-0.00040124-0.00098143i,-0.00022632-0.00068729i,0.00024811+0.00018598i,-0.00017863+0.00010283i
