-0.0047643-0.00026433i,-0.0043888+0.0013897i,-0.0031147+0.0029912i,-0.0015295+0.0030978i,-2.2944e-05+0.0030159i,0.001059+0.0020785i,0.00089037+0.0014584i,0.00032443+0.001699i,1.1237e-05+0.0013582i,0.001502+0.00039956i,0.0026076-0.00044057i,0.0020617-0.00058777i,0.0017181-0.00060361i,0.001472-0.0016775i,0.0014027-0.0030495i,0.0010001-0.0024898i,-0.00030346-0.0015884i,-0.0011393-0.0010915i,-0.0012697-0.00069498i,-0.000943-0.00019743i,-0.0010824+0.00059455i,-0.0013188+0.00093105i,-0.00067992+0.00080709i
0.0015947+4.2782e-05i,0.00095994-0.00045232i,0.00065172-0.0014929i,0.00054129-0.0024538i,-0.00014578-0.0014722i,-0.00042774+0.000339i,-0.00068035+0.00089642i,-0.00060934-0.00061121i,-1.6111e-05-0.0010624i,0.00022689-0.00035502i,0.00026177-0.00069371i,0.00031395-0.00089209i,4.3259e-05-0.000235i,-0.0008355+0.00037775i,-0.00043816+0.00073459i,-0.00014817+0.00063282i,-0.00011862+0.00015577i,1.8272e-05+0.00011897i,-0.00044364+0.00045834i,-0.00087445+0.0001809i,-0.00024784+0.00022852i,-0.00034502+0.00048182i,-0.00012944+0.00016261i
5.8063e-06+0.00055477i,2.6952e-05-0.00018277i,-0.00037326-0.00092401i,-0.0011455-0.0011967i,-0.0010685-0.00092907i,-0.00045021-0.00036837i,-0.00040071+0.00038966i,-0.00058071+0.00098794i,-0.0006492+0.0013825i,-0.00048011+0.0014786i,-0.00042333+0.0010034i,0.00014788+0.00036788i,0.00016264-4.5006e-05i,-0.0003541+9.842e-05i,-0.00050197-0.00059393i,-0.00044031-0.00085944i,-0.0006136-0.00040827i,-0.00019032-0.00041699i,0.00029054-0.00033362i,0.00011554+2.1573e-05i,0.00043604-0.0003913i,0.00048105-0.0010614i,-8.1256e-05-0.00076515i
-4.7213e-06+0.0020435i,0.0016903+0.0020356i,0.0020408+0.0011888i,0.0015246-0.00042611i,0.0012274-0.00097231i,0.00010367-0.0010627i,-0.00047438+0.00044175i,-0.00037265+0.0016189i,-0.00023309+0.0011565i,0.00028002-0.00012998i,1.1964e-05-0.00019797i,-0.00064575+0.0002104i,-0.00060722-0.00018144i,-0.00081592-0.00035654i,-0.00056984-0.0005426i,-0.00010008-0.0011025i,-3.2442e-05-0.0013865i,-0.00018052-0.00082192i,-0.00030188+4.5787e-05i,-0.00066975+0.00035985i,-0.00060309+0.0011276i,-0.00054183+0.00084424i,-0.00013861+0.00010934i
-0.00095362-0.00032549i,-0.00088538-0.00085176i,-0.00033964-0.00075976i,-0.00028295-2.9691e-06i,-0.00047587+0.00052079i,-0.00044034+3.6902e-05i,0.00013776-0.00015654i,0.00050013+0.00074745i,0.00032888+0.0011121i,0.00010252+0.0010475i,0.00015596+0.00065285i,0.0007883-0.00010064i,0.0012079-8.8059e-05i,0.0012305+0.00011521i,0.00060616-0.00020578i,0.00051367-0.00081013i,4.7187e-05-0.00045221i,-0.00086948-0.00019375i,-0.00046813-0.00014012i,3.7974e-05-0.00024364i,0.0002616-0.00041855i,-3.6383e-05-0.00064452i,-0.00045026-0.00092896i
-0.00011954+0.0011328i,0.00024678+0.0012702i,0.00036465+0.0011763i,0.00019964+0.00098412i,0.00014684+0.00062377i,0.00025258+0.00015711i,-0.00010888+3.8236e-06i,3.063e-05+0.00090861i,0.0006802+0.0015342i,0.0010575+0.00099732i,0.0010546+0.00019237i,0.00052081+0.00035953i,0.00046835+0.00038436i,0.00075011-9.6084e-05i,0.00054134-0.00047068i,-0.00022036+0.00027583i,-0.00059276+0.00093215i,0.00022746+0.00060051i,0.00048518+0.0002867i,1.1079e-06+9.8709e-05i,0.00038907-0.00018497i,6.4286e-05-1.477e-05i,-0.00044073+0.00050479i
0.00090288-0.0029946i,0.00038016-0.0035377i,-0.00058433-0.0036422i,-0.0016505-0.0034116i,-0.0022697-0.0021539i,-0.0018949-0.00020403i,-0.00094791+0.00056651i,-0.0004531+0.0010431i,0.00037268+0.00096124i,0.00033077+9.8485e-05i,-0.00071616-9.9809e-05i,-0.00093974+9.7143e-05i,-0.00051081+3.0231e-05i,-0.00015719+0.00017802i,-0.00044479+0.00059714i,-0.00045341+0.00039865i,-0.00054475-0.00025453i,-0.00010918+0.00043749i,0.00028703+0.00067924i,3.6822e-05+0.00012078i,-0.0002295-3.8252e-05i,-0.00047009+0.0001936i,-0.00025872+0.00021475i
0.00062123+0.00026755i,0.00051547-0.00021078i,0.00012579-0.0010966i,-0.00031388-0.0017216i,-0.00010557-0.0013278i,0.00039154+0.00010546i,0.00016878+0.0012414i,-2.5395e-05+0.0012554i,0.0002622+0.00097755i,0.0002636+0.0012647i,4.4131e-05+0.0012294i,0.00021321+0.00039036i,0.00029943+0.00022291i,0.00015859+0.00066476i,-0.00015415+0.00078497i,-0.00074736+0.00014265i,-0.0012457-0.0003463i,-0.00090437-0.00040526i,-0.00032541-0.00015885i,0.00020339-0.00022737i,0.00048397-0.00028976i,7.1864e-06-0.00012999i,-0.0002645-1.312e-05i
0.00083212+0.00011309i,0.0021802-0.00027646i,0.0024738-0.00027768i,0.0018875-0.00069694i,0.00081802-0.00071199i,-0.00026403-0.00030041i,-0.00020392+0.0004204i,0.00035656+0.001104i,-0.00013028+0.00092579i,-0.00083966+0.00023732i,-0.00076082-0.00046489i,0.0001947-0.00047155i,0.00046075+0.00017658i,0.00050062+0.00028802i,0.00069077-4.5464e-05i,0.0004615-0.00057415i,0.00035554-0.0010102i,-0.00025245-0.00047826i,-0.00060625+0.00054309i,-0.00024702+0.00088902i,9.9791e-06+0.00042534i,-2.5659e-05+0.00022311i,-0.00014088+0.00076985i
0.00011388-0.00068963i,-0.00029747-0.0010777i,-0.0011186-0.0020291i,-0.0010921-0.0017493i,-0.00071748-0.00025352i,-9.5385e-05+0.00079774i,-0.00015357+0.00090589i,-0.00015635+0.00071017i,-0.00045413+0.00021802i,-0.00055867-0.00021826i,-0.00022508-6.3408e-05i,0.00012101+0.00019223i,0.00050318+0.0002525i,0.00054885+0.00023019i,-0.00025926+0.00055869i,-0.00011305+0.00042717i,-9.7253e-05-0.00011259i,-0.00089767-0.00024305i,-0.00053299-0.0004434i,-0.00012882-0.00047364i,-0.00063352-0.00039269i,-0.00044157-2.5471e-05i,0.00021963+0.00056398i
0.0020674+0.0020735i,0.0028897+0.0015944i,0.002882+0.00071118i,0.0020098-0.00035356i,0.00036494-0.0008739i,9.1536e-05-0.00075845i,0.00092357-0.00047345i,0.00065635+0.00093406i,0.00030296+0.0018158i,0.00017346+0.00058895i,-5.1396e-05-0.00033211i,-4.1589e-05-0.00041005i,-0.00036202-0.00032412i,-0.0009855+0.00019573i,-0.00072597+0.00027683i,-0.0006437+0.00014311i,-0.00081922+8.3279e-05i,-0.00040298+0.00020846i,-0.00054519+0.00015356i,-0.00036404+0.0001755i,-0.00032511+0.00057412i,-9.4223e-07+0.00024642i,0.00065489-7.2206e-05i
0.00083543+0.00021375i,0.00087031-0.0012811i,0.00066772-0.0023716i,-0.00028309-0.0024612i,-0.00042878-0.001769i,-0.0002936-0.00036996i,-0.00047238+0.0008113i,6.4171e-05+0.00097506i,0.00023346+0.00087942i,4.5287e-05+0.00045688i,0.00022572-2.0983e-05i,9.4249e-05-0.00012998i,5.0088e-05+0.00017215i,0.00026182+7.4995e-05i,0.00012774+0.00049465i,-0.00078357+0.00076858i,-0.0011674+0.00040166i,-0.00070735+0.00022931i,-7.4753e-05+0.00036282i,0.00040932+0.000229i,0.00071813+0.00034761i,0.00011622+0.00063249i,-3.9012e-05-9.5377e-05i
9.4452e-05+0.00035926i,0.00036229+0.00040852i,-0.0006581-0.00098513i,-0.0018759-0.0018128i,-0.0016391-0.0013153i,-0.00055499-5.7685e-05i,0.00035726+0.00097723i,0.00063048+0.00090711i,0.00031111+0.0003547i,0.00052986+0.0004966i,0.00057542+0.00065782i,-0.00021832+0.00037782i,-0.00071863+0.00062792i,-0.00047363+0.00024186i,-0.00025695-0.00082106i,0.00020423-0.00021847i,0.00057092+0.00071301i,0.00020384+0.00013728i,-0.00026371+5.1085e-05i,-0.00086085+0.00012025i,-0.00085092-0.00032117i,-0.0002873-0.00028828i,-0.00066391-0.00015685i
0.0014985+0.00031819i,0.0017645-0.00037345i,0.0022724-0.0019261i,0.001983-0.0024547i,0.0010753-0.00089235i,0.00053436+0.00030032i,0.0010578+0.00067533i,0.0016807+0.0013986i,0.00098978+0.0013987i,-0.00069566+0.00047406i,-0.001143+0.0004234i,-0.0003729+0.00055424i,0.00029401+0.00049502i,0.00045978+0.00053644i,7.0734e-05+0.00095369i,-0.00027547+0.0010329i,0.00013485+0.00044098i,0.00062932+0.00069092i,0.00065777+0.00073376i,0.00053997-0.00014649i,0.00058414-0.00015555i,-1.4399e-05-0.0003726i,-0.00075654-0.0010336i
-0.0017738+0.0013595i,-0.0013172-0.00095269i,-0.0014919-0.0023379i,-0.0012175-0.0019418i,-0.00060806-0.0014794i,-0.00050768-0.00081486i,-0.00051975-0.00021836i,-0.00096413+4.0951e-05i,-0.00069763-0.00017998i,0.00020717-0.00032313i,0.00039888+0.00013753i,0.00068727+0.00015702i,0.001141-0.00016837i,0.00073637-0.00086311i,-0.00015333-0.0008669i,-8.6531e-05-0.00041178i,-0.00051259-0.0003992i,-0.0010352-0.00019319i,-0.00077983+0.000136i,-0.00028965-9.1963e-05i,3.0543e-05-0.00044152i,0.00055086+0.00034915i,0.00084883+0.00093436i
0.00078684-0.0008925i,0.0015031-0.0012346i,0.0018863-0.0011733i,0.0014188-0.00078814i,0.00035351-0.00052755i,-0.00035215+0.00055671i,-0.00026745+0.0010058i,0.00012249+0.00071872i,0.00070362+0.00051202i,0.001481+0.00049905i,0.0015035+0.00043031i,0.0010585+3.7921e-05i,0.00048592-0.00035203i,0.00036168-0.00055081i,0.0010852-4.8178e-05i,0.00041788-2.8314e-05i,-0.00022468-0.00068866i,-0.00038307-3.9985e-05i,-0.00016432+0.00044735i,0.00038947-4.6232e-05i,0.00066815-0.0008751i,0.00034657-0.00069978i,-0.00021562+0.00032456i
0.0006001+0.00046651i,-0.00045551+0.00059343i,-0.00017068-0.00068076i,0.00053987-0.0011676i,-0.00010897-0.00080312i,-0.00061884-0.00042512i,-0.00067649+0.00042602i,-1.3921e-06+0.00065225i,-8.5484e-05+0.0002722i,0.00021136+0.00062485i,0.00019345+0.00066169i,-0.00011148-0.00035718i,0.00059521-0.0016634i,0.00022272-0.0011687i,-0.0008385+2.0152e-05i,-0.00091023+8.8792e-05i,-0.00047799+3.4058e-06i,0.00029914-0.00043441i,0.00066278-0.00035759i,-7.5062e-05+0.00081188i,-0.00036358+0.00069534i,0.00021459+0.00035504i,0.00033393+0.0003618i
0.00033815+0.00070018i,0.00039851+5.1448e-05i,0.00031097-0.0013377i,-0.00047283-0.0015622i,-0.00071032-0.0010615i,6.1874e-05+0.0002029i,-0.0001438+0.00071466i,-0.00033299+0.00063169i,-0.00055695+0.0010096i,-0.00055046+0.00096528i,0.0001052+6.0439e-05i,0.00062037-0.00036188i,-8.2633e-05-0.00025308i,-0.00052878-0.00068202i,0.00020035-0.00040986i,0.00078266-0.00015565i,0.00060647-0.00044125i,0.00014597-0.00027028i,0.00025914+8.4928e-05i,0.00010788-0.00011732i,-0.00026225-8.7357e-05i,-0.00053012-0.00020722i,-0.00081613-0.00020914i
-0.0015648+0.00052627i,0.00026552-0.00046186i,0.0012832-0.00013047i,0.0012691+0.00013868i,0.0010524-0.00029946i,0.00083633-0.0015449i,0.0006773-0.0017041i,0.00070093-0.00078093i,0.0007427+0.00021868i,0.00057762+0.0014027i,0.00030056+0.00081909i,6.0118e-05-0.00078809i,-0.0001439-0.0014309i,-0.00047039-0.0012257i,-0.00027696-0.00073198i,-0.00038857-0.00025839i,-0.000618-0.00016138i,-0.00044177-0.00042192i,-0.00071901-0.00096329i,-0.00074253-0.00026485i,-3.7495e-05+0.00072893i,0.00039898+0.00049009i,0.00037127-9.207e-05i
-0.0002024+0.00029517i,-0.00058055-0.00040708i,-0.0009683-0.00093737i,-0.0010583-0.00053793i,-0.00018118+0.00029316i,0.00090406+0.00043113i,0.0013097+0.00044841i,0.0010447+0.00091918i,0.0010614+0.0010572i,0.00057109+0.00050329i,-0.00019402-0.00026114i,-0.00053309-0.00075475i,0.00052841-0.0010612i,0.00099249-0.00015138i,0.00060143+0.00057354i,0.00053192-0.00028553i,0.0007021-0.00053255i,0.00070726+3.4993e-05i,0.00014633+1.8011e-05i,-0.00027308-0.00081475i,-0.00043307-0.0016844i,-0.00019435-0.0016166i,0.00010961-0.00093794i
0.0012557-0.0003634i,0.00064836-0.0010751i,0.00031535-0.0021792i,5.1783e-05-0.0028516i,-0.00034431-0.0012961i,7.3038e-06+0.0011047i,0.00011327+0.0019583i,-0.00032921+0.0010773i,-0.00034753-1.0847e-05i,8.0537e-05-0.000355i,0.0011139+0.00040591i,0.0013428+0.00074766i,0.00038925+0.00032071i,3.8815e-05+0.00019002i,-0.00016391+0.00079816i,-0.00086542+0.0010712i,-0.00096619+0.00040516i,-0.00029546-0.00053853i,0.00012956-0.00080623i,0.00045912-0.00066516i,0.00051772-0.00070156i,0.00037462-0.00036719i,0.00036566-2.4172e-05i
0.00057497+0.0017551i,0.00044966+1.9172e-05i,0.00098945-0.0016804i,-4.8363e-05-0.0020839i,-0.00059101-0.0016255i,7.9686e-05-0.0012842i,0.0002029-0.00015313i,-0.00027321+0.00083777i,1.8022e-05+0.00062191i,0.00039847-0.00017762i,-0.00010865-0.00054531i,-0.00042946+0.00019852i,-0.00012401+0.0002441i,0.00031904-0.00058929i,-0.0005288-0.00071796i,-0.00056623-0.00067684i,0.00015558-0.00069919i,-2.3321e-05-0.00078508i,-0.00060854-1.3828e-05i,-0.00025893+0.00082664i,0.0001886+0.0004148i,0.00011111-0.00019908i,-9.2162e-05-0.00024851i
0.0013182+0.00044062i,0.0008829-0.00059336i,0.00048492-0.0022038i,-0.00023377-0.0024078i,-0.00066457-0.0011351i,0.00020928+0.00064427i,0.00051879+0.0017652i,-8.8562e-05+0.0012335i,-0.00012187+0.00044877i,0.00029126+0.0012348i,0.00075115+0.0015288i,0.0007774+0.0012853i,0.00052825+0.00069399i,0.00060692-5.3867e-05i,0.0010214+9.6084e-05i,6.0813e-05+6.1356e-05i,-0.00069867-1.3948e-05i,-0.00025534+0.00060293i,0.00067984+0.00084861i,0.00071405+0.0011697i,-0.00027519+0.0015271i,-0.00012941+0.00062617i,0.00026939+0.0001619i
0.000425-0.00070162i,0.0010084-0.0009383i,0.00064538-0.0022159i,-6.3969e-05-0.0021199i,-0.0015977-0.0011341i,-0.0010067-0.00030119i,0.00099295-5.7641e-05i,0.0012236+0.00041591i,0.0006007+0.00073448i,0.0004964+9.55e-05i,0.00052426+6.1396e-05i,0.00042672-2.6984e-05i,0.00050562+0.00060217i,0.00015945+0.00083486i,-4.3084e-05+0.00013211i,-0.00047763+0.0001892i,-0.00040347-0.00024921i,0.00039887-0.000807i,0.00055136-0.00041023i,0.00038597-0.00013623i,0.000836-1.9151e-05i,0.00093413-9.5079e-05i,0.00027721+0.00051909i
0.00093466+0.0010286i,0.00065849-0.00030128i,0.00022204-0.0016842i,0.00022571-0.0020147i,0.00075265-0.0017564i,0.00081929-0.0015939i,0.0008909-0.00076039i,0.00062654+0.00050117i,0.00068092+0.0010179i,0.00037475+0.00069672i,4.7368e-05+0.00023461i,5.4878e-05-1.2485e-05i,-7.6789e-05-0.00048843i,0.00053019-0.00040885i,0.00077922+0.00085149i,0.00022051+0.001087i,-0.00013877-2.5752e-05i,-5.3236e-05-0.0010756i,-0.00022581-0.001008i,-0.00061704-0.00042891i,-4.6343e-05+0.00052885i,0.0001945+0.0010211i,8.6508e-05+0.0012377i
-0.0010641+0.00016649i,0.00030405+0.00027909i,0.00041918-0.00053378i,-0.00040902-0.0019481i,-0.00034697-0.0011441i,0.00063447+0.00023417i,0.00042675-2.5806e-05i,0.00015707-0.0001052i,0.00025969+0.00039136i,0.00024543+0.00050456i,0.00051648+0.00064161i,0.00095074+0.00045493i,0.00049127+0.00043614i,0.00028218+0.00023186i,0.00067136-0.00029836i,0.00035376-0.00044124i,-0.00035064-0.00069079i,-0.001467-0.0012044i,-0.0014216-0.00068526i,-0.00037123-0.00044772i,0.00020725+0.00030777i,-1.8544e-05+0.00064758i,-0.00067068-0.00048931i
0.00073887-0.00062095i,0.00096488-0.0011339i,0.0010818-0.0021136i,0.00026356-0.002597i,2.4388e-05-0.0016067i,-0.00033441-0.00054462i,0.00022842+0.00034987i,0.001191+0.0015483i,0.0012548+0.0017784i,0.0011753+0.0011671i,0.00065311+0.00025785i,0.00055131-0.00030626i,0.00040562-3.1664e-05i,-0.00070324-3.6676e-05i,-0.0012245-0.00098756i,-0.00097217-0.0013507i,-0.0008139-0.00076524i,-0.00060064-0.00040936i,-0.00016117-0.00014589i,0.00034462+0.00068985i,0.00059656+0.00079013i,0.00060454+2.8025e-05i,-0.00026156-0.0005295i
0.0013649+0.00022928i,0.0011834+0.00068494i,0.0013537+0.00095429i,0.00027214-0.00010232i,-0.0004856-0.0012017i,-2.3435e-05-0.00088398i,-0.00017973+0.00066208i,-0.00028815+0.0012449i,0.00030848+0.0011585i,2.1733e-05+0.00084712i,-0.00036459+0.00011999i,-0.00043258-4.6698e-05i,-0.00027887+0.00036211i,-0.00062256+2.4289e-05i,-0.0010298-0.00028838i,-0.0009112+3.1242e-05i,-0.00055475+0.00014694i,-3.039e-05+3.5488e-05i,-0.00045283-0.00062588i,0.00023529-0.00054485i,0.00047096+0.00049312i,-0.00067828+0.0006368i,-0.00086655+0.00013419i
0.00058376-0.0005875i,-0.00025571-0.0021329i,-0.0012697-0.0036061i,-0.0015381-0.0032017i,-0.0017538-0.0024134i,-0.0014519-0.0017901i,-0.0011216-0.0012528i,-0.00091253-0.0012091i,-4.2901e-05-0.0011666i,0.00031808-0.00053968i,0.00017004+0.00012566i,-0.00010561+0.00051252i,-0.00020394+0.00036769i,0.00017992-0.00019455i,0.00063142+6.8947e-05i,0.00061191+0.00023888i,6.9083e-05+4.0002e-05i,0.00020717+0.00022616i,0.0011715+0.00025346i,0.0007523-6.7519e-05i,1.6095e-05+0.00024858i,0.0008374+0.00047763i,0.00099452+0.00079366i
4.3891e-05+0.00060012i,0.00062877-0.00034912i,0.0020217-0.0010886i,0.0019583-0.0002769i,0.00081085+0.00031476i,0.0005848+8.3368e-05i,0.00059891+8.5722e-05i,3.1736e-05+0.00042549i,-0.00038418+0.00078362i,0.00010682+0.00067229i,0.00039338+0.00032688i,-6.5297e-05-4.7643e-05i,-4.5051e-05+0.0002738i,0.00061694+0.000436i,0.00060432-0.00010827i,0.0002761-0.00039622i,0.0003079-0.00067069i,-0.00021086-0.00060508i,-0.00097949-0.00067333i,-0.00086203-0.00065417i,-0.00030498-0.00049013i,9.6568e-05-0.00065512i,0.00052867-0.0010393i
-0.00056218+0.00068999i,-9.2397e-05+0.00059732i,4.7668e-05+0.00018543i,0.00018456-0.00035493i,0.0014406-0.00017968i,0.0021464-0.00028279i,0.0012377-0.00065592i,0.0002864+0.00027246i,-0.00032873+0.0010843i,-0.00038901+0.0012052i,-0.00031725+0.00059909i,0.00026894-2.3968e-05i,0.00044422-0.00052862i,-1.6141e-06-0.00094484i,0.00020029-0.0010753i,0.00064901-0.00071902i,0.00065591-0.00035569i,0.0004645-0.00056858i,0.0002048-0.00095451i,0.00039522-0.0010604i,-4.8941e-05+2.9871e-05i,-0.00056233+0.00082216i,-7.1631e-05+0.00048042i
0.00090665+0.0009242i,0.00094732-0.00013427i,0.0010967-0.00068448i,-0.00024409-0.001437i,-0.0010206-0.0014518i,-0.00094334-0.00086567i,-0.0005966-0.000262i,0.0004388+0.00079858i,0.00046258+0.00073423i,0.00031909+0.00069222i,0.00061541+0.0001582i,0.00022619-0.0005791i,-0.00031562-0.00049291i,-0.00070078+0.00030256i,-0.00031945+0.00039697i,0.00046814-0.00037418i,0.0011616-0.00010338i,0.00078748-0.00039221i,0.00044253-0.00063373i,0.00061182+0.00027168i,-9.5234e-05+0.0010172i,-0.00069814+0.00079845i,-0.00056728+0.00023792i
