0.00018992-0.00029187i,0.0010027-0.0005805i,0.0012604-0.00037539i,0.00060386-0.00069153i,-0.00067153-0.0016066i,-0.0014608-0.0018485i,-0.0016837-0.00043617i,-0.0016029+0.00045697i,-0.00079178+3.6051e-05i,9.5429e-05-3.9972e-05i,-0.00043989+0.0012501i,-0.0010873+0.0015173i,-0.00075643+0.00018876i,-0.00082161-0.00040535i,-0.00041371-0.00027422i,0.00020507-0.00028216i,4.482e-05-0.00034359i,-0.00031298-0.00022741i,-0.00024956-0.00030253i,0.00034819+2.0149e-05i,0.00015298+8.1891e-05i,1.2837e-05+5.3627e-05i,0.00019468+0.00055756i
-0.00043835+6.2188e-05i,-0.00051023+0.0005919i,-0.00027001+9.7119e-05i,0.00018778+0.000218i,0.00025655-0.00019417i,0.00047742-0.00066928i,0.00099333+0.00016896i,0.00029956+0.0010627i,-0.00020014+0.0010674i,7.5065e-05+0.00045901i,0.00032868+0.00024644i,0.00043907+0.00054248i,6.5696e-05+0.00046407i,-0.00028441+0.00029525i,-1.6086e-05+0.00091791i,7.5133e-05+0.00075935i,0.0011248+0.00016585i,0.0015972+1.679e-05i,0.00043623+0.00021052i,-0.00024596+0.00051851i,-0.00034682+0.00059035i,3.9545e-05-0.00045927i,0.00054618-0.00087385i
-0.00065261-0.00012392i,-0.00081875+0.001048i,-0.00058169+4.7128e-05i,-0.0005052-0.0012282i,-0.0010451-0.0020673i,-0.0014297-0.0022769i,-0.0012211-0.0015331i,-0.00081326+6.1709e-06i,-0.00034385+0.00053079i,-0.00011548+0.00065025i,0.00019527+0.00033761i,0.00071498-0.00064405i,0.00073903-0.0017438i,0.00015812-0.0019315i,-0.00041112-0.00050677i,-0.00045792-0.00073426i,-0.00012014-0.0015402i,0.00024115-0.00053389i,0.00010601+0.00028642i,-0.00022104+0.00021611i,2.1891e-05-2.8327e-05i,-0.00027669-0.00013642i,-0.00061883-0.00016637i
-0.0011682+0.0010731i,8.1933e-05+0.00094613i,0.001005+0.0015648i,0.0010105+0.0012081i,0.0012067-7.6058e-05i,0.00030995-0.00039652i,-0.0016604+0.00083184i,-0.0018875+0.0010172i,-0.00060007+0.00082353i,0.00015574+0.0013891i,0.0006391+0.0016597i,0.00031633+0.00062128i,-0.00057467-3.923e-05i,-0.00039378-0.00026067i,-0.00022166-0.00023506i,-0.0006604+2.0531e-06i,-0.00027071-0.00048643i,0.00059546-0.00065247i,0.00027615-0.00046632i,-0.00026937+2.5037e-05i,-0.00048387+0.0012273i,-0.00014162+0.00098573i,0.00011871+0.00020102i
-0.0015721+0.0010784i,-0.00072333+0.00087097i,0.00014174+0.00047068i,0.00056123-0.00072451i,0.0010223-0.0014874i,0.00040261-0.00095015i,-0.0008653+0.00041057i,-0.00095207+0.0010887i,-0.0011072+0.00084325i,-0.00092393+0.00087362i,-0.00046659+0.00074348i,-0.00070641+0.00078712i,-0.0009186+0.00032948i,-0.00078165-0.00044753i,-0.00085258-0.00040212i,-0.00095758+0.00038443i,-0.0007396+0.00098248i,-0.00087141+0.00077267i,-0.00065719+0.00020852i,0.00013011-0.00021535i,2.1171e-05-0.00048987i,-0.00044033-0.00061895i,0.00013286-0.00036618i
-0.0014716+0.0010316i,-0.00054648+0.0016192i,-5.0654e-05+0.00056905i,-4.6184e-05-0.00099909i,-0.00064909-0.0019652i,-0.0013349-0.0015449i,-0.0014112-0.00038894i,-0.0011721+0.00050314i,-0.0008823+0.00063347i,-0.00060691+0.00048649i,0.00034172+0.00078848i,0.0013177+0.00041752i,0.00085747+1.2536e-05i,0.00013467+3.6143e-05i,0.00025576+0.00017472i,0.0005215+0.00039331i,5.196e-06+0.00014744i,-0.00033921-0.00064198i,9.4603e-05-0.00091006i,0.00029306-0.00048817i,0.00032053-0.0002865i,0.0001666+1.5254e-05i,-0.00050398+0.00023469i
0.0010554+0.0010163i,0.0020446+0.001085i,0.0035936+0.00021026i,0.0029692-0.0011267i,0.00054631-0.0019569i,-0.0012568-0.0015393i,-0.0019864-4.0065e-05i,-0.0019237+0.0014591i,-0.0011585+0.0012042i,-0.00030734+0.00052453i,-4.1517e-05+0.0006858i,-5.3668e-05+2.6554e-05i,-4.0876e-05+4.0534e-05i,-0.00031657+0.00107i,-0.0002968+0.0011434i,-0.00022039+0.00078045i,-0.00041631+2.4289e-05i,-0.00046296-0.00053118i,-0.00024277+0.00055484i,-0.00021359+0.0015766i,-0.0008009+0.00043698i,0.00013525-0.0001517i,0.00069716+0.00051988i
-0.00069715+5.746e-05i,-0.00098791-0.0009171i,-0.00078626-0.0004845i,-0.00095843+0.00076103i,-0.0022113+5.1369e-05i,-0.0017679-0.0010713i,-0.00093662-0.00072128i,-0.00074299+6.912e-05i,-0.0006722+0.0004802i,-0.00082546+0.0013385i,-0.00052549+0.0011901i,1.7514e-05-8.5931e-05i,0.00055818-0.00049946i,0.0010101-0.00032085i,0.0011357+9.9394e-05i,0.00078688+0.00033082i,0.001032+8.3694e-05i,0.0014474-1.1487e-05i,0.00089343+0.00035893i,0.00029844+0.00042656i,0.00035503-2.975e-05i,0.00011182-0.00026243i,0.00034521-0.00014239i
-0.00096068+0.00022803i,0.00040207+0.00040312i,0.00032706+0.001522i,-0.00018106+0.0012679i,-0.000263-0.00016537i,-0.00071036-0.0002033i,-0.00097695+0.00092287i,-0.0012906+0.0017061i,-0.00088462+0.0016548i,0.00014769+0.00086073i,0.00033365+0.00032908i,0.00047928+0.00044304i,0.00074983+9.8149e-06i,0.00073355-0.00071167i,0.0002392-0.00048223i,-0.00016277-0.00042358i,-0.00027269-0.00068602i,-0.00080514-0.00031261i,-0.00091404-0.00027745i,-5.5197e-05-0.00040351i,-8.8794e-05+0.00013537i,0.00010438+0.00037402i,-7.9564e-05+0.00037589i
-0.00096493+0.0010483i,-0.0004352+0.0018196i,-0.00046329+0.00099277i,-0.00022191-0.00018651i,-0.0003578-0.00072535i,-0.0009164-6.1789e-05i,-0.0013263+0.00026576i,-0.001349+0.00011346i,-0.0008411+0.001i,-6.2134e-06+0.00092849i,0.00026613+0.00029609i,-7.1431e-06+0.00032738i,-0.00016686+0.00024483i,-0.00068901-0.00041763i,-0.00038874-0.00046898i,-0.00067683+0.00046289i,-0.0011095+0.00043827i,-0.0010144+2.8879e-05i,-0.00067467+0.0003275i,-0.00046553+0.00062924i,-0.00028808+0.00065338i,-0.00011558+0.00044286i,-0.00021196+0.00035309i
-0.00032254-0.0015435i,-0.0015957-0.00081391i,-0.0017482-0.00027586i,-0.0012916-2.0797e-05i,-0.0011751-0.00061559i,-0.00022329-0.00073075i,-0.00041701-0.00015442i,-0.00135+0.00020547i,-0.0009965+0.00092548i,-0.00034293+0.0013412i,5.723e-06+0.00084357i,0.00056202+0.00026814i,0.00068382-1.3039e-05i,0.00086689+9.6367e-05i,0.00026942+0.00054316i,-0.00028408+0.00089886i,-1.3569e-05+0.00033607i,-7.5914e-05-0.00022699i,-0.00021427+3.3229e-05i,-0.00051748+0.00067714i,-0.001017+0.00060739i,-0.00050052+0.00014074i,-0.00017717+0.00015828i
0.0019968+0.00028434i,0.0013685-5.9459e-05i,0.0017314-0.0011151i,0.0012212-0.0019542i,-0.00073459-0.0016i,-0.0018678-0.0011327i,-0.002236+5.2839e-05i,-0.00132+0.00080976i,-0.00010501+0.00040543i,-0.00018618+0.00024861i,-0.00060144+0.00052087i,-0.00063605+0.00033192i,-0.00018725+0.00035796i,0.00011118+0.00067467i,-1.3131e-05+0.00085122i,0.00062219+0.00071502i,0.0011206+0.00051964i,0.0011016+0.00061873i,0.0007058+0.00065359i,0.00051353+0.00022956i,0.0002361+0.00016785i,0.0002778-3.2674e-05i,9.2244e-06+2.6321e-06i
-0.0022513-0.00023578i,-0.0014568-0.00013553i,-0.00064949+0.00013011i,6.391e-06-0.00082433i,0.00010549-0.00064687i,-0.00064113-0.00011692i,-0.001177-3.7291e-05i,-0.0015897-3.0158e-05i,-0.001263+0.00079527i,-0.001312+0.0014775i,-0.00051661+0.0015014i,0.00071029+0.0012264i,0.00056203+0.00031646i,-0.00026491-0.0009246i,0.00022607-0.0012208i,0.00051483-0.00078247i,0.00026351+0.00011156i,0.00040639+0.00038929i,-1.3204e-05-9.4748e-05i,-0.0006689-0.0005522i,-0.00053225-0.00068072i,0.00034777-0.0003774i,0.00091838+0.00024821i
-0.0005838-0.0005325i,-0.0014262-0.0005867i,-0.00045867-0.0009448i,0.00050791-0.0010054i,0.00027497-0.00084603i,-0.00051471-0.00022982i,-0.0015069+0.00024552i,-0.00090182+0.0003724i,0.00019975+0.0010726i,0.00014176+0.0015758i,-8.4089e-05+0.00084551i,-0.00014121+3.3246e-05i,0.00048043-3.0613e-05i,0.00027887+0.00012923i,-0.00027207-0.00020536i,0.00038598+2.8113e-05i,0.00048949+0.00018226i,0.00026984+0.00022679i,0.00058644-0.00035829i,0.00052848-0.0008399i,-0.00031512+4.7167e-05i,-0.00084883+0.00050022i,-0.00070933+0.00035826i
-0.00091491+0.00010196i,-0.00094914+0.00093322i,-0.00021279+0.0014804i,-0.00035252+0.0010677i,-4.0832e-06+0.0006427i,-4.8296e-05+0.00020817i,-0.0013254-0.00027616i,-0.0017327-0.00052701i,-0.0012159-1.4679e-05i,-0.0006806+0.00042183i,-0.00019672+0.00052542i,-4.5732e-05+0.00022803i,-0.00031969-0.00046766i,-0.00056992-0.00041185i,-0.00011859-6.175e-05i,-0.00017256-0.00055613i,2.355e-05-0.00071072i,0.00030503-0.00044062i,-6.9796e-05-0.00018972i,-0.00035497+7.9146e-05i,-0.00013154-9.4288e-05i,0.00021735-0.00073687i,0.00043732-0.0005906i
-0.0012454-0.0016002i,-0.0014342-0.00044396i,-0.00089893+0.00036323i,-0.00011255-0.000357i,-0.00047953-0.0010364i,-0.0011443-0.0010279i,-0.00095605-0.00032215i,-0.00081214+0.00030882i,-0.001302+1.92e-05i,-0.0010796+0.00043617i,-0.00072413+0.0010471i,-0.00081602+0.00050705i,-0.00016023-0.00015844i,0.0011089+0.0001566i,0.0017009+5.1882e-06i,0.001132-0.00050291i,0.00023462-0.00061763i,-0.00059814-0.0010946i,-0.00055843-6.1766e-05i,-0.00043206+0.00052462i,-0.00089614-0.00032355i,-0.00089672-0.00072004i,-0.00033901-0.00039684i
0.0011644+0.00079246i,0.00052956+0.00034803i,-0.00052228+0.00044426i,-0.0013541+0.00021949i,-0.0015233-0.00017189i,-0.0012542-0.00071094i,-0.00072608+0.0004087i,-0.00010843+0.0016869i,8.8861e-05+0.00068238i,-0.00018209-0.00023362i,0.00010113+0.00024672i,5.6817e-05+0.00012645i,-5.7221e-05-0.00025178i,-0.00019101-0.00019463i,-0.00035348+0.00054541i,0.00012389+0.0011542i,0.00040793+3.8134e-05i,0.00032375-0.0011807i,0.0004296-0.00067574i,0.00025037+0.00049281i,-0.0002283+0.0013298i,0.00021325+0.0013593i,-5.5145e-05+0.00075026i
-0.0012277+0.0013248i,-1.9746e-05+0.0012526i,0.0016238+0.00071187i,0.0014512-0.00058073i,0.00020913-0.0020456i,-0.00060037-0.0017086i,-0.0011923+0.00019226i,-0.0017012+0.0012491i,-0.00073781+0.0015669i,-0.00036323+0.0010857i,-0.00052146+9.2752e-05i,0.00017532-0.00021956i,0.00018278-0.00035384i,-0.0010291+1.5183e-05i,-0.00065043-7.9588e-05i,-1.1981e-05-0.00025946i,-0.00075037-0.00024333i,-0.00057301+3.9076e-05i,-0.00025973+0.00048999i,-0.00029012+0.00043971i,-0.00010348+0.00098131i,0.00022351+0.00092944i,0.00015085-0.00011379i
-0.00089056-0.0021939i,-0.0016506-0.0020667i,-0.0013685-0.0005309i,-0.0016801+0.00080003i,-0.0017467+0.00046151i,-0.0012214+7.5867e-05i,-0.0010857-0.00036129i,-0.00071028-0.00021086i,-0.00021344+0.00053724i,-0.00042979+0.00088342i,-0.00023947+0.0010467i,-6.1888e-05+0.00047505i,-4.841e-05+0.00044952i,0.00074022+0.00099541i,0.001057+0.0010427i,0.00091318+0.00054377i,0.001009-4.7556e-05i,0.00057737-0.00031532i,0.00031871+0.0004157i,0.00020773+0.00077175i,6.6219e-05+0.00080917i,-0.00022023+0.00047782i,-0.00097002+0.00027476i
