-0.0011347+0.00060208i,0.0001489-0.0010085i,0.00029973-0.0020328i,0.00028236-0.0016099i,7.9546e-05-0.00032438i,-0.00067704+0.0005392i,-0.00030081+0.00080566i,8.2312e-05+0.0012796i,-7.6328e-05+0.000919i,-3.1916e-05+0.00052105i,-0.00086864+0.00027167i,-0.0011231-1.508e-05i,-0.0013279-0.0003958i,-0.0013201-0.00094131i,-0.00077836-0.00071077i,-0.00098917-0.0003166i,-0.00037181-0.0011397i,0.00045665-0.0014371i,1.27e-05-0.00060346i,-0.000435+0.00027434i,0.00032678+3.8868e-05i,0.00086588+0.00021989i,0.00046852+0.00043457i
-0.00065224-0.00060117i,-0.00057772-0.0004485i,-0.0010468+0.00074232i,-0.0013277+0.00042055i,-0.0010283+0.00010169i,-0.00039391+0.00032998i,-3.3255e-05+0.00038618i,9.6414e-05+0.00065009i,0.00068891+0.0005637i,0.0011408-0.00027594i,0.0013293-0.0011636i,0.00061859-0.00037907i,-3.4341e-05+0.00067833i,-1.8719e-06+0.00053244i,0.00065734+0.00038017i,0.0013185-0.0001101i,0.00098804-0.00053566i,-0.00011609-0.00043846i,0.00015486-0.00036581i,0.00045275-0.00068643i,0.00020048-0.00078418i,-0.00012401-0.0009641i,-0.00034186-0.0012518i
-0.00012418-0.00096869i,-0.0010473-0.0012141i,-0.0021536-0.0021512i,-0.0031948-0.0014583i,-0.0023469+0.00022376i,-0.00093443+0.00085523i,-0.00012514-0.00017542i,-0.00015851+4.2754e-05i,-0.0007046+9.6453e-05i,-0.00074885-0.00027096i,-0.00023107+9.9695e-05i,0.00039178-5.2472e-05i,0.00034068-3.8552e-05i,-1.0064e-05-2.1003e-05i,-8.5447e-05+0.00013269i,-0.00020003+0.00056173i,-9.2958e-05+0.00012974i,0.00022167+7.277e-05i,0.00071252+0.00056395i,0.0012061+0.00071379i,0.00091043+0.00054996i,0.00024756-0.00012639i,-0.00046725+9.0072e-05i
-7.4099e-05-3.5997e-06i,-0.00028242+0.00089631i,-0.00047914+0.0012717i,0.00055099+0.00088416i,0.0014054-0.00021581i,0.0013575-0.0015018i,0.0006263-0.00099461i,0.00011543+0.0003629i,-0.00011461+0.00094563i,-0.00062488+0.0010803i,-0.00089663+0.0008266i,-0.0003547+0.00062717i,-7.8017e-06-0.00013246i,0.00029971-0.00068896i,0.00076093-0.00028692i,0.0010882-2.6258e-05i,0.0010099-0.0003099i,0.00082795-0.00036955i,0.00045574-5.2313e-05i,5.6448e-05+0.00050731i,0.00015551+0.00057542i,4.6471e-05-0.0001226i,-0.00050553-0.00029243i
2.72e-05+0.00092685i,3.7938e-05+0.0011181i,0.0010724+4.4464e-05i,0.0020089-0.00079336i,0.0014254-0.0015522i,4.7903e-05-0.0011561i,-0.00070748-0.00065534i,-0.00088289-0.00038393i,-0.00064079-0.00011562i,-0.00029765-0.00053284i,0.0001131-0.00025967i,0.00040767-0.00024885i,2.8892e-05-0.00025039i,-0.00012115+0.00036078i,0.00030553+0.00049444i,0.0005804+0.00072868i,-0.00030447+0.00066803i,-0.00036145+0.00094528i,7.474e-05+0.00089927i,-0.00036903-0.00020026i,-0.00021298-0.00079049i,5.964e-05-0.0001971i,-0.00061933+4.1736e-05i
0.00081582-0.0022578i,-0.00015659-0.0025451i,-0.0013-0.0024834i,-0.0020278-0.0013844i,-0.0011924+0.00019953i,-0.00035464+0.0011154i,0.00078044+0.00040185i,0.00098704-0.00049511i,-0.00051897-0.00059111i,-0.0013525-0.00064439i,-0.00082775-0.0011231i,-9.5141e-05-0.00094471i,-0.00024184+0.00030621i,-7.3212e-05-0.00016107i,0.00068528-0.00096128i,0.00088544-0.0003424i,0.00058167-0.00044458i,0.00035869-0.00037482i,0.00045422+0.00044455i,0.00098291+0.00030248i,0.00067496+0.00017332i,-0.00056357+0.0004571i,-0.00068003+0.00099941i
-0.00059533+0.001602i,-0.00033652+0.00095536i,-0.00028449+0.0012243i,0.00038896+0.00074436i,0.0011163-0.00045131i,0.00068622-0.0012374i,0.00071159-0.00042469i,0.0013754+0.00095106i,0.0021857+0.00098091i,0.0018797+0.00033152i,0.00067432+0.00018659i,-0.00028583-7.9715e-06i,-0.00090344-0.00072622i,-0.00079448-0.00038343i,-0.00036486+0.00018995i,6.4882e-05+0.00037202i,0.00026033+0.00054623i,0.0001849+0.0001464i,-0.00023825+0.00029697i,-0.00037914+0.00087507i,-0.00065437+0.00085525i,-5.8299e-05+0.00065449i,0.00090614+0.00041879i
-0.0015166+0.00052049i,-0.0017518+0.00013614i,-0.0016211+6.4784e-05i,-0.0013077-0.00011684i,-0.0005948-0.0003132i,-0.0002286+0.00017825i,-0.00068833+0.00026898i,-0.0011661+0.00032924i,-0.00063935+0.0010198i,0.00018945+0.00092751i,0.000285+0.00045332i,-3.1787e-05-7.7579e-05i,-0.00032616-0.00024067i,-0.00029572-0.00045102i,0.00063528-0.0010931i,0.0011478-0.0011191i,0.00012738-0.00082517i,-0.0001084-0.00026911i,0.00044648-1.2819e-05i,0.000572+0.00026649i,9.0275e-05+0.00049186i,0.0001295-0.00010581i,0.00055869-0.00077086i
-0.00023681+7.9478e-05i,0.00028915-0.00093813i,0.0013495-0.00066662i,0.0007283-0.00091118i,-1.3932e-06-0.0017607i,-6.1271e-05-0.0016313i,0.00059951-0.00082545i,0.00056913-0.00028474i,0.0010101+0.0001285i,0.001484-0.00028318i,0.0008098-0.00038448i,-6.7576e-05+5.5156e-05i,-0.00013928+0.00026463i,0.00065437+0.00056974i,0.0010544+0.00073878i,0.00029512+0.00022153i,-0.00027157-0.00018142i,-0.00019378+0.00039443i,-0.00095519+0.0006585i,-0.0013907-7.8345e-05i,-0.0010356-0.00058961i,-0.00030466-0.000114i,0.00019648-5.6841e-05i
0.00026258-0.00033177i,-0.00096815-0.00051332i,-0.0015336-0.0012472i,-0.00099158-0.00075619i,-0.00080072+0.00020214i,-0.00038503+0.00076412i,0.00059258+0.00041279i,0.0011882-0.00013538i,0.0006521-0.00088261i,0.0002743-0.00076165i,-6.7703e-05-0.00011445i,-0.00011612-0.00022043i,-0.00010713+0.00037122i,0.00032838+0.00036764i,0.00044667-0.00016393i,0.00019397-0.00042739i,-5.1859e-05-0.00016014i,-8.0852e-05-0.00013668i,-0.00028051-0.00031638i,-0.00038054+0.00046497i,-0.00022948+0.0013794i,0.00015499+0.0010034i,0.00062517+0.00050253i
0.00093699-0.0011123i,0.00015713-0.0015553i,-0.00085589-0.0010988i,-0.0014158-0.00043388i,-0.0021249+0.000175i,-0.0021633-2.7361e-05i,-0.0012325-0.00049788i,-0.00011005-0.00026834i,-0.00032254+0.0001092i,-0.00093781+4.0694e-05i,-0.00089563-0.00039475i,-0.0004849+5.8298e-06i,0.00036851+0.00082013i,0.00058916+0.00085387i,0.00075519+0.00076276i,0.00059764+0.00071176i,0.00065291+1.008e-05i,0.0010322-0.00058608i,0.00050295-0.00026878i,8.5673e-05+0.00039888i,-0.00015382+0.00030021i,4.1051e-05-0.00030426i,0.00063673+0.00036098i
0.00092675-0.00017714i,0.00084058+9.7414e-05i,0.00025207-0.00034178i,-0.00030884-0.00078935i,2.2033e-06-0.00081054i,0.00029067-0.00017463i,4.1175e-05+0.00039207i,-0.00036754+0.00021501i,-0.00047815-0.00038572i,-5.5178e-05+3.2507e-05i,0.00033748+0.00067015i,0.00050192+0.00032263i,0.00019824+0.00015228i,-0.00039964-0.00038587i,-0.00088405-7.2476e-05i,-0.00066232+0.00020643i,-0.00051872-0.00012265i,-0.00073831-0.00020761i,0.00017024-0.00051297i,0.00042895-0.00069507i,0.00027417-0.00016807i,0.00022077-3.1187e-05i,-1.5238e-05-8.8262e-05i
-0.00019234-0.0002543i,-0.00076075-0.00070031i,-0.00078493-0.00065228i,-0.00083315-8.1143e-05i,-0.00044067-0.00053189i,6.4234e-05-0.00090814i,6.0218e-05-0.0009194i,-0.00023733-0.00038252i,-0.00019001+0.00019273i,-0.00022876+0.00020411i,0.00022682+0.00022639i,0.00055469+2.7684e-05i,0.00031458-0.00049791i,0.00027888-0.00053051i,-3.3598e-05+0.00023084i,0.00044171+0.00044769i,0.0012722-3.3636e-05i,0.00086566-0.00013951i,-0.00019395+0.0001842i,-0.00092239+6.9279e-05i,-0.00044837-5.0541e-05i,-0.00010496-0.00013843i,-0.00064581-0.00022211i
-3.3519e-05-0.00060152i,-0.00036174-0.00030074i,-0.00040301-0.00056623i,0.00012456-0.0003375i,-1.9014e-05+0.00038853i,-0.00040237+0.00089241i,-0.00023301+0.00067343i,9.9721e-05+0.00034997i,0.00014776+0.00064879i,0.00058159+0.00045608i,0.0003206+9.559e-05i,-0.00055181+0.00058927i,-0.00095472+0.00019728i,-0.00059193-0.00033421i,6.9204e-05-0.00094459i,0.00066417-0.00093646i,0.00089536-0.0002112i,-0.00011574+0.00038907i,-0.00048767+0.00075959i,0.00029229+0.0004506i,0.00027607-0.00010597i,8.2751e-05-0.00058374i,0.0004084-0.00062607i
-0.0025318-0.00041009i,-0.0020033+0.00050651i,-0.0029762+0.0020856i,-0.0027045+0.0020058i,-0.0013942+0.00081042i,-0.0003054+0.00020694i,0.00015888+0.0004864i,0.00019512+0.00060063i,-0.0003487+0.0005052i,-0.00069575+0.00045251i,-0.00065986+0.00048192i,-0.00091608+0.00028094i,-0.00075945-0.00040506i,-0.00096104-0.00071232i,-0.00088526-0.00075331i,-0.00061379-0.00064915i,-0.00033669-0.00014984i,-0.00030017+9.9365e-05i,-0.00081499+0.00033283i,-0.0003409+0.00016432i,0.00018723-0.00039887i,0.00018624-0.00075307i,-0.00029474-0.00075317i
0.0005244+0.00099239i,0.00068821+0.00026238i,0.00062912-0.00049785i,-0.0001877-0.0018734i,-0.00082007-0.0025302i,-0.0011151-0.0018324i,-0.00035069-0.0013634i,0.0009889-0.0008669i,0.00084418-0.00027231i,2.899e-05-0.00012737i,-0.00041004+0.0005812i,-0.00060729+0.0013231i,-0.00035066+0.001278i,-0.00023487+0.00074786i,-0.0006328+0.00063254i,-0.00069443+0.00028062i,0.00019923-0.00065556i,0.00037259-0.00076669i,0.0001237-0.00026092i,0.00021249+0.00017447i,0.0002064-0.00026192i,0.0003946-0.00034188i,3.5906e-05+2.1526e-05i
0.0003149-0.00023083i,0.0012932-0.00090439i,0.0024018-0.00062332i,0.0020226+0.00031794i,0.00049771+0.0003954i,-0.0002602-0.00020364i,-0.00062693-0.00077654i,-0.00036375-0.00030203i,-0.0005894+0.0010165i,-0.00067824+0.00098387i,-0.00071256+0.00070138i,-0.0012807+0.00039153i,-0.0011537-0.00010353i,-0.00015004-0.0006291i,-8.3605e-05-0.00084499i,-0.00045886-0.00033637i,-0.00011856-0.00012451i,-6.4579e-05-0.00058302i,0.00013121-0.00099323i,0.00031486-9.6235e-05i,-0.00051449+0.0014239i,-0.00084544+0.0010641i,-0.00031486+0.00035174i
0.00024312-0.00045067i,0.00038699-0.00048819i,0.00086841-0.00013978i,-0.00040975+0.00031917i,-0.00089363+0.00038451i,-0.00014634+0.00076649i,-0.00044322+0.00028788i,2.0804e-05-0.00057755i,0.00077535-0.00024738i,4.0835e-06+0.00035289i,-0.00099685+0.00013432i,-0.0011235-0.00036535i,-0.00074243-0.00075027i,-0.00056926-0.00068384i,-0.00074564-0.0007964i,-0.00014786-0.00072627i,0.00062615-0.0001026i,0.00051752+7.2229e-05i,0.00071417+0.00017874i,0.0012064+0.00074489i,0.0012485-0.00010995i,0.0010664-0.0005399i,0.00010542+0.00033526i
0.0005152-2.5199e-05i,-0.0011458-0.0012262i,-0.0015567-0.0019441i,-0.00058213-0.001683i,-0.00036538-0.00074773i,-0.00066218+1.8483e-05i,0.00023968-0.00031058i,0.00041686-0.00062863i,-4.9806e-05-0.00034029i,-0.0004062-0.00022392i,-0.00055626-0.00057273i,0.00013593-0.0010872i,0.00025578-0.00062576i,-0.0002712+0.00020557i,0.00033358+0.00086887i,0.0010314+0.00095196i,0.00041218+0.00066015i,-0.00076465+0.00066028i,-0.00073443+0.00061537i,-0.00014846+0.00040422i,-0.00019062-9.2956e-05i,-0.00061053-0.00053512i,-0.00048313-0.00029712i
0.0012076-0.00089477i,0.00042499-0.000107i,-0.0003849-0.0006425i,-0.00093741-0.0018576i,-0.0017736-0.001155i,-0.0016728+0.00019412i,-0.00080813+5.5749e-05i,-0.00097039-0.00044343i,-0.00097481-0.00048258i,-0.00042401-1.0599e-05i,0.00036306+0.00032956i,0.00077355+0.0009308i,0.00053399+0.0011775i,0.00040127+0.00047182i,0.00040375-0.0007138i,0.00021682-0.00051246i,0.00034057+0.00027839i,0.00073736+0.00037978i,0.00072407+6.8542e-05i,0.00027954+0.00029764i,-0.00011016+0.00060671i,-2.7461e-05+0.00036726i,0.00042062+0.00017698i
0.00014405+0.00067232i,-0.00047997+0.00061034i,-0.0016428-0.00025648i,-0.0012875-0.00074463i,-0.00010484-0.001316i,0.00012381-0.00062531i,-0.00029482+2.6384e-05i,-0.0002168-0.00015988i,-0.00022949+0.0009107i,-0.00054852+0.0010825i,0.00027298-2.3389e-05i,0.00043836-0.0001768i,-6.2124e-05-2.6322e-05i,-0.00021228-0.0003936i,9.6311e-05+6.9522e-06i,-0.00028991+0.00034941i,-0.00046502+0.00028557i,0.00011951+0.00020222i,-0.00034906+0.00013025i,-0.00079678+9.505e-05i,-0.00037617+4.488e-05i,-0.00039392-0.00010643i,-0.00030232-8.0254e-05i
-0.00096029+0.0016316i,0.00048944+0.00093854i,0.0016769+0.0010649i,0.002451+0.001649i,0.0026659+0.0010034i,0.0010497-0.00037962i,-0.00049438-0.001008i,-0.00097569-0.000458i,-0.0010439+0.00065611i,-0.00013359+0.0013944i,0.00041049+0.0013544i,-0.000135+0.00037949i,-0.00023831-0.00031002i,0.00033649-0.00019163i,0.00053604+0.00019731i,0.00041899-0.00014339i,-0.00032394-0.00046607i,-0.00070049-0.00036914i,-0.00021895-0.00083206i,0.00015459-0.0005351i,-0.00012878+0.00081972i,-0.00085393+0.00071292i,-0.00081876-0.0003716i
-0.0012093+0.00036238i,-0.0014108+0.00041128i,-0.0024988+8.9167e-05i,-0.0026311-0.00051026i,-0.0022134-0.00012659i,-0.0013931+0.00027636i,-0.00025698-0.00016379i,6.5263e-05-0.00076502i,0.00044212-0.000853i,0.00063566-0.00040094i,0.00063881-0.00039345i,0.00064636-0.00032766i,0.00024063+0.00028632i,0.00050451+0.00020769i,0.0012416-0.00037585i,0.00082982-0.00077876i,-0.00010325-0.00058816i,-4.676e-05-0.00048139i,0.00023827-0.0007191i,-0.00020204-0.0011258i,-0.00049883-0.0011487i,-0.0005675-0.00082016i,-0.00076711-0.00081059i
-0.00079258-0.001321i,-0.00068492-0.00050163i,-0.00056151+0.0005996i,-0.00098832-2.121e-05i,-0.00082633-0.00086705i,-7.6522e-05-0.00059115i,0.00030603-0.00016587i,0.00066895+0.00050707i,0.00043179+0.0011639i,0.00010508+0.0012418i,-0.00011461+0.00095789i,-0.00037418+0.0003059i,0.00013666-0.0002536i,0.00064601+2.9453e-05i,0.00011827-3.4249e-05i,-0.00038485+0.00036763i,-0.00040881+0.00046064i,-0.00047274+0.00041897i,-7.5026e-06+0.00052462i,0.00013106+0.00029959i,-0.00015322-0.00023696i,0.00017542-0.00013361i,0.00081511+0.00076839i
0.00044612+0.00059865i,9.1804e-05-0.00042137i,0.00043304-0.0011506i,0.00033124-0.0010751i,-0.00030837-0.00057954i,-0.00041861-0.00015055i,6.276e-06-0.00012833i,-0.00025241+0.00021452i,4.8968e-05+0.00065445i,0.00078023+0.00023196i,-0.00012419-0.00044749i,-0.00076693-0.00033001i,-0.00054543+0.00055559i,0.00034352+0.00059928i,0.00060853+0.00027876i,-0.0005734+0.00022557i,-0.00071381+0.00031712i,0.0005869+0.00029073i,0.00109+0.00014384i,0.00079126+2.5772e-05i,0.000536+0.00014912i,0.00066802+0.000414i,0.00055902+0.000599i
-0.00053725+0.00084491i,-0.00087976+0.00044433i,-0.00019059+0.00046061i,0.00021307+6.0254e-06i,0.00060692-0.00036392i,0.00084339-0.0001999i,0.00070473-7.5557e-05i,7.6808e-05+0.00015274i,-0.00046743+0.00060995i,-0.000369+0.00043142i,0.00023652+0.00037686i,0.00084945+0.00038885i,0.00075207-0.00028981i,0.00040858-0.00097029i,0.00024751-0.00078013i,0.00043328-0.00028736i,0.0011214+3.1032e-05i,0.00121+0.00045026i,0.00066709+0.00016714i,0.00015702+0.00015171i,-2.4569e-06+0.00026053i,-0.00068146+0.0005081i,-0.00048793+0.00016553i
0.00056544-1.0533e-05i,0.0014616-0.00037831i,0.00080992-0.00043398i,0.00016179-0.00083922i,1.0807e-05-0.00095448i,-0.00044456-0.00097233i,-0.0010341-0.0010411i,-0.0010465-0.00035832i,-0.00051015+0.00024357i,-0.00027061+0.00049828i,-7.1732e-05-0.00030643i,-0.00040445-0.0015042i,-0.00084269-0.00054017i,-2.3239e-05+0.00083815i,0.00021981+0.00029839i,0.0001981+6.594e-05i,0.00062664+0.00085049i,0.00064014+0.0010605i,-9.0904e-05+0.00076375i,-0.00042002+0.00033474i,0.00014533-1.8397e-05i,5.6456e-05-0.00052556i,9.8888e-05-0.00072632i
-0.00027319+0.00027032i,0.00091301+0.00052819i,0.00085522+0.00065535i,0.00010425+0.00024738i,-0.00028781-3.2008e-05i,0.00020165-0.00081379i,0.0002054-0.0012307i,-0.00079443-0.00028702i,-0.00075916+0.00041706i,0.00030957+0.00042568i,0.00066498+0.00028819i,0.00039869-0.00014781i,0.00041739-0.00041311i,0.00055281-0.00053009i,0.00012537-0.00047491i,-3.2796e-05-0.00055217i,6.9535e-05-0.00071916i,0.00079649-0.0007822i,0.00047669-0.0010883i,5.5178e-05-0.0008092i,0.00032227+0.00014329i,0.00041414+3.3953e-05i,0.0007634+7.8656e-05i
-0.00061697+0.0017471i,-0.0012532+0.0023282i,-0.00047661+0.0010071i,0.00074451+5.6585e-05i,0.0014044+0.00043394i,0.00047649+0.00090601i,-5.0115e-05+0.00045845i,0.00037712+0.00033099i,0.00055108+0.00061634i,0.0007052-3.913e-05i,0.00069883-0.00082493i,0.00070391-0.00063281i,0.00068497+0.00046074i,0.00010071+0.001074i,-0.00042344+0.00027586i,0.00035377-0.00028132i,0.00055163-0.00011537i,-3.3729e-05+0.0002263i,-0.00012094+0.00069717i,-0.00025462+0.00038487i,-0.0006742-8.6408e-05i,-0.00096473-0.00012382i,-0.0011673+4.6416e-05i
-0.0017805+0.0010516i,-0.00031803+0.0013029i,0.00034433+0.0019478i,0.0012686+0.001647i,0.0018153+0.0008146i,0.001544-0.00019548i,0.00092602-7.3401e-06i,0.0005212+0.00057933i,0.00085091+0.0002907i,0.0010278-6.7594e-05i,0.00081023+0.00029427i,0.00093917+0.00082415i,0.00048174+0.0012087i,-6.6003e-05+0.00015885i,8.4899e-05-0.00030906i,0.00014748+0.00012691i,0.00011382-5.3209e-05i,-0.00024514-0.00051393i,-0.00025717-0.00049464i,-0.00032461-0.00063449i,-0.00058301-0.0010855i,-0.00022514-0.000969i,-6.6928e-05-0.00027826i
5.3317e-05+0.0012481i,-0.00078249+0.001163i,-0.0012626-0.00025022i,-0.001617-0.0012422i,-0.0020384-0.0009618i,-0.0014964-0.00041289i,-0.00020891-0.00021211i,0.00025123-0.00020374i,0.00033486-0.00014655i,0.00025658+0.0006657i,-0.00047053+0.0016517i,-0.000566+0.0014168i,0.00016793+0.0006919i,0.00062239+0.00049489i,0.00062993-0.00023635i,0.00045198-0.00094344i,-7.5595e-05-0.00039235i,-0.00079405+2.8826e-05i,-0.00085286-0.00038984i,-0.00062384-0.00037511i,-0.00076915+0.00018249i,-0.00060458+0.0001693i,2.4887e-05-0.00020838i
-0.00046103-0.0015578i,-0.0014317-0.0012419i,-0.0020936-0.00036104i,-0.0028912+0.00059999i,-0.0018516+0.0013138i,0.00082295+0.00073626i,0.0018955+9.2262e-05i,0.0011413+0.00058427i,0.00021074+0.00092867i,-0.00025567+0.00065488i,6.6306e-05+0.00040355i,3.1223e-05+0.00028902i,8.7782e-06-0.00012281i,0.00067172-0.0011899i,0.00098699-0.0014012i,0.00070934+0.00012103i,0.0005782+0.00067189i,0.00035703+0.00053551i,0.00055182+0.00051462i,0.0012986-0.00011903i,0.00085737+0.00015961i,-0.00011992+0.00047701i,-6.4918e-05+0.00019284i
