-0.0031486-8.783e-05i,-0.0022046-0.00038419i,-0.0011692+5.1269e-05i,-0.0016379+0.00035591i,-0.0018755+0.00025946i,-0.0013258-7.3916e-05i,7.0861e-05+0.00056097i,0.0016149+0.0018441i,0.0014016+0.0013499i,0.00093654+0.00034216i,0.00096912-0.00037422i,0.0011312-0.00058993i,0.0009097+0.00015142i,-0.00016573+0.00038524i,-0.0013051+0.00033273i,-0.00057534-0.00015823i,0.00056236-0.0002826i,-9.9426e-05-0.00043351i,-0.00012332-0.00064132i,2.1941e-05+4.4998e-05i,-0.00021321+0.00028926i,0.00011668+0.00025898i,0.00055037-0.00023236i
0.00059467+2.822e-05i,-0.00014419-0.00088529i,0.00020922-0.00085385i,0.00027579-0.0020414i,0.00014191-0.0036333i,-0.00046116-0.002692i,-0.0010464-0.00038181i,-5.7911e-05+0.00048353i,0.00057139+0.00014027i,0.00037115+0.00019279i,0.00091543-0.00021967i,0.0012646-0.00077i,0.0013713-0.000185i,0.00080948+0.00020009i,0.00035417-0.00022266i,0.00041932-0.00038121i,-0.00018967+0.00022408i,-0.00051348+0.00026658i,-0.00071373-7.3495e-05i,-0.00082727-0.00039329i,0.00033984-0.00060935i,0.00092857-0.0005293i,0.00055348-0.00037886i
-0.0012289+0.00020472i,-0.00026655+0.00035885i,0.00050897+0.00089791i,0.0010415+0.00055423i,0.00093635-0.00061605i,6.8742e-05-0.00088954i,0.00011767-0.00047953i,0.00074958-0.00026011i,0.00098439-0.00066172i,0.00096412-0.00094465i,0.00065994-0.00021514i,0.00061536+0.00014983i,0.0011117+0.00018279i,0.00054274+2.8983e-05i,-0.00046862+4.0392e-05i,-0.00030478+8.6931e-05i,4.6088e-05-0.00021063i,-0.00012765+3.6549e-05i,0.00030417+0.00042234i,0.00050879+0.00032909i,0.00019155+0.00072905i,-0.00019057+0.00022921i,1.3577e-05-0.00086373i
0.0021433+0.00069571i,0.0012576-0.00043271i,0.002313-0.0025073i,0.0015772-0.0029869i,0.00021587-0.00363i,0.00036951-0.0036066i,0.00073312-0.0018683i,0.0004246-0.00088532i,0.00032565-0.00057085i,0.00050486-0.000793i,0.00053449-0.0013799i,-3.6956e-05-0.0017933i,-0.00038344-0.0016887i,-0.00042826-0.0012163i,-0.0007122-0.00067108i,-0.00073843-0.00036049i,-0.00044208-0.00069722i,-0.00042462-0.00032336i,-0.00036735-1.6601e-05i,0.00023028-0.00043953i,0.00050784-0.00040914i,0.00040212-0.00031179i,0.00023978-0.00052771i
0.0003014+0.00016856i,0.0011494-2.561e-05i,0.001579-0.00067348i,0.0014468-0.00092704i,0.00083643-0.0010351i,0.00033995-0.0002412i,0.00053284+0.00032652i,0.00080201-0.0001254i,0.00086193-0.00068714i,0.00077406-0.00035057i,0.00069164-0.00023961i,0.00059783-0.00035763i,0.0001674+9.2798e-05i,-0.00043331-0.00043448i,-0.00012538-0.00096011i,0.00039947-0.00035439i,0.00072706+0.00016369i,0.00090067-3.8599e-05i,0.0011369+3.6849e-05i,0.00095413+0.00044321i,0.0012633+0.00031396i,0.00090146+4.4632e-05i,-6.1809e-05-4.9441e-06i
-0.00040796-0.00033271i,-0.0011987-0.0013159i,-0.0017658-0.0020837i,-0.0010258-0.0018266i,-0.00037678-0.0015025i,-4.5244e-05-0.00075173i,0.00080363-5.3705e-06i,0.0012497+2.9375e-06i,0.0010193-0.00052394i,0.00090138-0.0013188i,0.0009574-0.00085301i,0.00078539+2.2663e-06i,0.00058136+0.00026146i,0.00039386-0.00013725i,-9.2003e-05-0.00018108i,-0.00025322-0.00010067i,-4.2301e-05-6.7668e-05i,0.00058132-0.00016311i,0.00077078-0.00014585i,0.00037041-0.00033587i,0.0008505-0.00026602i,0.001081+9.7685e-05i,0.00050025+0.00014962i
0.00087438+0.0014871i,0.0021001+0.0016171i,0.0018219+0.0014171i,0.0014724+0.00050947i,0.001336-0.00090286i,0.00010441-0.00096623i,-0.00046553-0.00063042i,0.00029756-0.00018343i,0.001194-0.00032622i,0.00098651-0.00074275i,0.00058962-0.0005857i,0.00036359-0.00052353i,0.00020722-0.00086817i,2.8003e-05-0.0017498i,2.6448e-05-0.0016493i,0.00058231-0.00069185i,0.0010376+1.9954e-05i,0.0007455+0.00037609i,0.00031686+0.00011339i,0.00099136-0.00014468i,0.00097842-0.0010081i,0.00035246-0.00093226i,0.00028914+0.00026144i
-0.00022805-0.00023423i,-0.00073168+0.00012447i,-0.001309-4.0006e-05i,-0.0011736-0.00027432i,-0.00038543-0.00062593i,0.00011707-0.0009033i,0.00039105-0.0018085i,0.00075435-0.0019532i,0.00053098-0.0012644i,0.00021129-0.00084495i,-7.9627e-05-0.00018213i,-0.00023325-0.00060407i,0.00013616-0.00072174i,9.8771e-05-1.8495e-06i,7.7341e-05-0.00014724i,0.00098543-0.00033493i,0.00086585-0.00039052i,-0.00015458-0.00011656i,-0.00031455+3.1583e-05i,0.00047862+7.3264e-05i,0.00093212+0.00020215i,0.00055873-0.00044779i,0.00047056-0.00072197i
-0.00028116-0.0004967i,-0.00028724+0.00034562i,-0.001013-0.00037815i,-0.00021459-0.00099807i,0.00082199-0.00063027i,-0.00034699-0.00065514i,-2.2116e-05-0.00044333i,0.00087552-0.00067156i,0.0010312-0.00084131i,0.00061065-0.00045404i,3.1292e-05+0.00015581i,0.00031294+0.0004877i,0.00031149+0.00021683i,-0.00024933+4.5314e-05i,-0.00062014-7.5576e-05i,-0.0002149+8.9161e-05i,0.00060937-1.5061e-05i,0.00065321+9.4948e-05i,0.00031815+0.0004329i,0.00037707+0.00023095i,0.00056221+0.00023367i,0.00054361-9.9728e-05i,0.00036288+1.2711e-05i
-7.0402e-05-0.00054784i,-5.4017e-06+0.00030681i,-0.00073867-0.00035752i,-0.00060323-0.00097052i,-0.0003923-0.0011963i,0.00036382-0.00071483i,0.00082265-0.00069018i,0.00064522-0.0010418i,0.00039392-0.00062751i,-0.00021061-0.00066231i,0.00015365-0.00045945i,0.00065887-2.7386e-05i,0.00029268-0.00030274i,0.00046073-0.00041317i,0.00047597-0.00020965i,-9.1425e-05+0.00028505i,-0.00027498-3.5882e-05i,-8.1937e-05-0.0011892i,-0.00036866-0.00083129i,-0.00014067+1.2874e-05i,0.0001048+0.00080602i,0.00010654+0.0011389i,0.00075699+0.00083187i
0.0009075-0.0017628i,0.0011325-0.001661i,0.0018449-0.0027364i,0.0016058-0.0032248i,0.00082707-0.0037451i,0.0002649-0.0033629i,0.00045082-0.0012798i,0.00097438+0.00025598i,0.0013034-0.00012558i,0.0010961-0.00039289i,0.00074189-0.00038309i,0.0010629-0.0011805i,0.00066936-0.0012724i,-9.7934e-05-0.00048333i,8.3888e-05-0.00015606i,-0.00010062-0.00039143i,-0.00059606+1.4259e-06i,-0.0004925-0.00028088i,-0.00056774-0.00035284i,-7.1716e-05+0.00059072i,0.0005868+0.00030774i,0.00012159-0.00016362i,-0.00046997-0.00031747i
-3.091e-05+0.00047166i,3.1288e-05+0.00074486i,-0.00077047+0.0011533i,-0.0004438+0.00039944i,-6.8839e-05-0.0010567i,-0.00012525-0.0012233i,0.00059061-0.0005499i,0.0010468-0.00041758i,0.00039087-0.0006446i,0.00091487-0.00013453i,0.0014785+0.00021652i,0.00082316-0.00091928i,0.00035131-0.0011339i,-0.0001361-0.00084615i,-0.00021497-0.00056197i,0.00050713+0.00068977i,0.00093604+0.0011045i,0.00065993+0.00034555i,0.00034853-7.2741e-05i,2.0245e-05-6.385e-05i,-0.00035489+0.00069064i,-0.00019506+0.00062018i,-0.00067934-0.00010439i
0.00093633+0.00029308i,0.0012432+0.00011894i,0.0020274-0.0003257i,0.0020843-0.0014525i,0.0011717-0.0021131i,0.00044262-0.0012995i,0.00010759-0.00073514i,0.00036604-0.00092775i,0.0007946-0.00053815i,0.00072333+8.5252e-05i,7.5181e-05+0.00066701i,-0.00036771+0.00049477i,-0.00010264+1.222e-05i,-0.0004475-0.00015462i,-0.0012786-0.00043551i,-0.00091723-0.00039187i,0.00025861-3.2752e-05i,-7.8498e-05-0.00014366i,-0.00072682-0.00043918i,-0.00024102-0.00027115i,-1.6304e-05+0.00032664i,-0.00034185+0.00010857i,-0.00027271-0.00014756i
0.00020003+0.00014221i,0.00026117-0.00066567i,0.0020481-0.0016932i,0.0025115-0.0021575i,0.0011558-0.0023922i,0.00037127-0.0018569i,0.00058323-0.00049038i,0.0011511-0.00032743i,0.0018372-0.00052459i,0.0016352-7.7338e-05i,0.00095147-3.7993e-05i,0.00070468+5.08e-06i,0.00040725-0.00019094i,0.00014938-0.00011096i,-0.00021168-0.0006966i,-0.00034875-0.0013748i,-0.00090198-0.00051875i,-0.00098795+0.00011861i,1.478e-05-0.00028676i,0.00041388+2.0868e-05i,0.00020277+0.00049341i,0.00035294+8.6646e-05i,0.00031742-0.0011253i
-0.00041464-0.00038361i,-0.00072119-0.00067249i,-0.00015816-0.0010625i,0.00018993-0.0014722i,5.9256e-05-0.001802i,-0.00053365-0.00098389i,-0.00062784-0.00017126i,-3.0557e-05-0.00076338i,0.00065545-0.0006839i,0.00061669+0.00018068i,0.00016048-6.9274e-05i,0.00024417-0.00015653i,0.00067851+8.0246e-05i,0.00087013+0.00017503i,0.00024438+0.00028407i,-0.00029315+0.00044368i,-0.001194+0.00057436i,-0.0011241+3.4938e-05i,-0.00046119-0.00066088i,-0.00063869-0.00070263i,-0.00080624-0.00045057i,-0.00094511-0.0001762i,-0.00012175+0.00016327i
0.0021157-0.00072171i,0.0019969-0.00014828i,0.0023398-0.00041128i,0.0012704+0.00032864i,-0.00027376-0.00024946i,-4.7769e-05-0.0015346i,0.00042029-0.0014889i,0.00093669-0.001167i,0.0013233-0.00081547i,0.0012234+1.4357e-05i,0.001201+0.00091337i,0.001055+0.00063957i,0.00054414-0.00024959i,-8.8041e-05-0.0006168i,-0.00074116-0.0005088i,-0.00057228-0.00030557i,-0.00038744-0.0003687i,-0.00031925-0.00083213i,0.00026018-0.00050976i,0.00079195-0.00015192i,0.00046603-0.00052728i,-0.00025196-4.9827e-05i,0.00037944+8.0801e-05i
0.0016659-0.0010142i,0.00024477-0.0018019i,0.00033149-0.002871i,0.00059255-0.0035778i,0.00024545-0.0034526i,-0.0011256-0.0018624i,-0.00086631+0.0003224i,-0.00012956+0.00057846i,0.00073657+0.00011405i,0.0016168+0.00017772i,0.00079486-0.00030047i,-6.599e-05-0.00084841i,-0.0001779-0.00098425i,-0.00021778-0.0010486i,-0.00033155-0.00081145i,-0.00084015-0.0007008i,-0.00045745-0.00097604i,0.00019957-0.0011229i,0.00060505-0.00053683i,0.00056269+6.9961e-05i,0.00062048+8.1299e-05i,0.00056678+3.1353e-05i,0.00021315+9.8175e-05i
-0.00061321-0.00095181i,-0.0005958-0.00049366i,-0.00080074-0.0004712i,-0.00030106-0.0010182i,-0.00019613-0.0022796i,0.00041433-0.0020592i,0.00071412-0.00077145i,0.00033741-0.00089707i,0.0006197-0.0011231i,0.00038516+0.00058419i,-0.00026961+0.00085384i,-0.00026536-0.00025419i,-5.5263e-05-0.0005863i,0.00022178-0.00041751i,0.00025209+2.8593e-05i,0.00015571+0.00078304i,0.00081504+0.00074672i,0.0006948+0.00079819i,0.00065524+0.00066081i,0.0011935-6.383e-05i,0.0012159-0.00027909i,0.00020537-0.000398i,-0.00019614-0.00050029i
0.0008523-0.0013087i,0.00077659-0.00074237i,-0.00052916-0.00031243i,-0.0016898-0.00078346i,-0.00062422-0.001187i,0.00076007-0.00038516i,0.0011415+0.00058903i,0.0013199+0.00061256i,0.0013432-0.00028619i,0.00098523-0.00069273i,0.00013396-0.00070966i,-0.00019209-0.00080258i,4.8366e-05-0.00092236i,-0.00014362-0.0006542i,-0.00022043+5.1298e-05i,-4.3698e-05+6.1219e-05i,-0.00039172-0.0005379i,-0.00059388-0.00066578i,-0.00023144-0.00027488i,0.00039961+0.000422i,0.00023752+0.00091213i,0.00064531-0.00014429i,0.00084453-0.00088983i
