-0.0022352+0.0024473i,-0.0018043+0.002209i,-0.0016113+0.0014503i,-0.0012043+0.00092212i,-0.0004439+0.0010033i,-0.0010091+0.00089697i,-0.0012373+0.0016478i,-0.00055228+0.0016247i,0.00048423+0.0013914i,0.00069724+0.0012831i,0.00052976+0.00033629i,0.0011736-0.00076644i,0.00085976-0.0019849i,5.6834e-05-0.0021276i,-0.00021478-0.00040863i,-0.00042237+3.1261e-05i,-0.00052958-0.00020174i,-0.00052526-0.00029034i,-7.6197e-06-0.00049517i,0.00034787+0.00018873i,0.00042351+2.3469e-05i,0.00023314-0.00038182i,-0.00026131+0.00022043i
-0.00055009-0.0014941i,-3.5624e-05-0.00094224i,0.00084833-0.00080916i,0.0004143-7.1585e-05i,0.00061158+0.00038796i,0.00089483+0.00054855i,0.00025928+0.00026669i,5.1731e-05-9.5523e-05i,0.0001757-7.6205e-06i,9.421e-05+0.00020838i,1.0141e-05+0.00053343i,0.00013089+0.0012299i,0.00061143+0.0010294i,0.0012965+2.1164e-05i,0.0011763-0.00025586i,0.00044699-0.00023042i,0.0002744-0.00054279i,0.00055635-0.00040291i,0.0010286-0.00041929i,0.0012883-0.00045841i,0.00070342-0.00049401i,0.00066396-0.00097921i,0.0011178-0.00019394i
0.001053-0.0014216i,0.0015962-0.000726i,0.0016281-0.00086882i,0.0010391-0.00013684i,2.3922e-05+0.0011514i,-0.00067395+0.0012603i,-0.0002649+0.0010642i,9.8419e-06+0.00083252i,-6.1859e-05+0.000189i,6.215e-06-0.00044497i,1.7239e-05-0.00070275i,0.00028961-0.00010908i,0.00016827+0.00067919i,0.00018769+0.00049171i,0.00018107+0.0010951i,0.00019681+0.0017109i,0.00044881+0.001097i,-1.3453e-05+0.00041124i,-0.00029992+0.00013497i,0.00044901+0.00048946i,0.00035992+0.00085327i,-5.9844e-05+0.00041515i,3.4638e-05+0.00024205i
0.00066249-0.0012345i,0.00065869-0.00045003i,0.00088408-0.00098119i,-0.00019869-0.0015234i,-0.0013705-0.00074331i,-0.0014033+0.00048972i,-0.00091902+0.0013839i,0.00020468+0.0010934i,0.0008807+0.00024479i,3.2708e-05+6.2757e-05i,0.00012354-8.3985e-05i,0.00044983+0.00032125i,-0.00018774+0.00053659i,-0.0005553+0.00022462i,-0.00036766+0.00052638i,-0.00057523+0.00053911i,-0.0005876-0.00053148i,-0.00044223-0.00087116i,-0.00082342+0.00028905i,-0.00042026+0.00067615i,2.6646e-05+0.00057727i,-0.00024256+0.00018156i,-0.0011889+0.00019612i
-0.0001711-0.00019836i,0.00096937-0.0012195i,0.0013022-0.0015625i,0.00053597-0.0013465i,-0.00045181-0.00074543i,-0.0010494-0.00022227i,-0.0015321+0.00034656i,-0.0014366+0.00072633i,-0.00064647+0.00038965i,3.237e-05-0.00010156i,0.00059727+7.3867e-05i,0.00024506+0.00043517i,-0.00044558+0.00020472i,-0.00037138+0.00065211i,5.2299e-05+0.001444i,0.00030741+0.0013612i,3.3943e-05+0.0004268i,-8.6986e-05-0.00036203i,-0.00076084+0.00028518i,-0.0012182+0.00032796i,-0.00060308-7.2068e-05i,-2.3037e-05-7.7322e-05i,0.0010758-8.8272e-05i
0.0010528-0.001078i,0.00019332-0.00056719i,-0.00079263-0.00021738i,-0.00042773-3.4502e-05i,0.00012641+0.00019209i,-0.00012458-9.7481e-05i,-0.00079594+0.00064844i,-0.001555+0.0011435i,-0.001376+0.00022629i,-0.00088319-0.00020464i,-0.00025635+0.00014845i,-5.7891e-05+0.00016558i,-0.00012091-3.797e-05i,0.00045136+0.00029237i,0.00056629+1.5687e-05i,0.00020134-0.00074043i,-0.00010319-0.00051765i,0.00025681-0.0001845i,-0.0001237-0.00057088i,-0.00059839+0.0002152i,-0.0004247+0.00022409i,-0.00052376-0.00030375i,-0.00033467-0.00033043i
0.0012124+0.00053869i,0.0015991+0.00013316i,0.0011047-0.00073641i,0.00036793-0.0009684i,-0.00043982-0.00031902i,-0.00155+0.00025524i,-0.0021333-4.8664e-06i,-0.0017065-0.00027416i,-0.00047874-0.000231i,0.00016751-0.0011363i,-0.00013894-0.00091156i,-0.00052762+0.00017132i,-0.00053791+0.00034391i,-0.00068198+0.00046125i,-0.0010992+0.00038432i,-0.00071817-0.00037494i,-0.00019666-0.0010593i,-0.00013161-0.00051145i,-0.0001721+0.00043203i,0.00026116+0.00068086i,7.0042e-07-0.00014773i,-0.00070018-0.00039033i,-0.00060935-9.8791e-05i
0.00090906+0.00023704i,0.00044917-0.000422i,-0.0003263+7.1928e-06i,-0.00017953+0.00052335i,0.00061152+0.00061286i,0.00074592+0.00035298i,-0.00034899+0.00036126i,-0.0012907+0.00042501i,-0.00075138+0.00080528i,-8.6157e-05+0.00078607i,0.00010315-0.00012404i,0.00032248-6.3492e-06i,0.0010176+1.6441e-05i,0.0012661-0.00090439i,0.00044851-0.00070921i,-0.00010315-0.00069849i,0.00013365-0.00068264i,-0.0002654+0.00012837i,-0.0010405+0.00072251i,-0.00062639+0.00025953i,0.00029643-0.00042478i,0.00024016-0.00052124i,-0.00048602-0.00018078i
0.00071855-3.6008e-05i,0.00057187+0.00037808i,0.001162+0.00036724i,0.00086668-2.5682e-05i,0.00091512-0.00040198i,0.00093277-0.00022481i,0.00037031+0.00092514i,-4.7247e-05+0.0016966i,-0.0003763+0.0013141i,-0.00038345+0.00049034i,-0.00065823-0.00025268i,-0.00078769-0.00047292i,-0.00082699-0.00020689i,-0.0004511-0.00020717i,2.5572e-05-0.00043533i,-0.00043464-0.00039725i,-0.00092393+6.3147e-05i,-0.00036173+0.00035423i,-7.4391e-05+0.00033567i,-0.00020648+0.00031378i,-2.0152e-05-0.00010748i,0.00044836-0.0002791i,0.00044469-0.00050529i
-2.0825e-05+0.00095139i,0.00093054+0.0017111i,0.00053689+0.0014362i,-3.5216e-05+0.00051322i,0.00021704+0.00038608i,-0.00038978+0.00091481i,-0.0014807+0.00097802i,-0.0013106+0.0011796i,-0.00047036+0.0017165i,0.00031973+0.00072662i,0.00062247-0.0003405i,0.00022834-0.00040736i,0.00025836-0.00096964i,0.00094482-0.0010637i,0.0012111-0.00094524i,0.00061014-0.00046208i,-0.00028413+0.00027438i,-0.00047945+0.00017852i,-0.00012204-0.00029593i,3.0321e-05-0.00031051i,-0.00014961+0.00028125i,-4.6644e-05+0.00044011i,0.00030128+5.9538e-05i
-0.00036639+0.00089481i,-0.00039983+0.00036006i,0.00081559+0.00062287i,0.0015531+0.00010034i,0.0011669-0.0010001i,0.00048261-0.0011456i,-0.00013218-0.0008899i,-0.00085336+5.6993e-05i,-0.00060899-0.0002562i,0.00046304-0.00053166i,0.00024624+0.00029697i,-0.00073544+0.00028975i,-0.00064747-0.00043034i,-0.00033557-0.00069434i,1.1226e-05-0.00070322i,-0.00021652-0.00039721i,-0.00045041+1.3657e-05i,-5.5423e-05-6.9432e-05i,-0.00065979-0.00038986i,-0.0012161-0.00018191i,-0.00053604-0.00019257i,-0.00046967+0.00063177i,-0.0011064+0.00098549i
-0.0012285-0.0021514i,-0.00039503-0.0012175i,-0.0010609+0.00055315i,-0.0015652+0.0022462i,-0.001825+0.0028343i,-0.0010659+0.0017306i,-0.00086416+0.0010975i,-0.00054076+0.00090217i,0.00016178+0.00028989i,3.5044e-05-0.00039913i,-0.0002387-0.00030072i,-0.00010352+0.00082968i,0.00075514+0.00086875i,0.0009988+0.0003698i,0.00062776+0.00060641i,0.00063133+0.00050698i,0.00034639+0.00012468i,1.4088e-05-9.3926e-05i,-0.00029354-7.8901e-05i,-0.00014406-0.00011369i,-4.9602e-05-0.00040484i,-0.00012273-0.00018757i,-0.00034115+0.00012291i
-0.00089159+0.002003i,-9.2359e-05+0.0029096i,0.00032758+0.002451i,0.0013566+0.0010775i,0.0020723+0.00074885i,0.0014519+0.00041677i,4.7037e-05+0.00029368i,-1.3553e-05+0.0009436i,0.00019275+0.00086891i,0.00024749+0.00015632i,0.00026211-0.00013696i,-0.00065514+8.6447e-05i,-0.00048008+8.4751e-05i,0.00038997-0.00062715i,0.00025521-0.00013898i,-0.0004807+0.00048848i,-0.00022438+0.00023519i,5.7812e-06-0.00020865i,-0.00022659-0.00024319i,-0.00059463-0.0002141i,-0.00046853-0.00043402i,-0.00013708+9.6269e-05i,-0.00067397+0.0009548i
0.00080034+0.0019888i,0.0001257+0.00050577i,0.00060168-0.00052859i,0.00050143-0.00039238i,-0.00068945+0.0003668i,-0.0015802+0.00025757i,-0.0016118-0.00011019i,-0.0010936+0.00023885i,-0.00062321+0.00029476i,-0.00019065+0.0003896i,0.00035001+0.00046517i,0.00069218+0.00077602i,6.3361e-06+0.00091823i,-0.0007821+0.00095974i,-0.00022881+0.0013468i,0.00024998+0.0016974i,-5.3602e-05+0.00085356i,-8.8083e-05+3.7365e-05i,0.00080524+0.00011033i,0.0013578+0.00067957i,0.00047761+0.0011494i,-0.00042254+0.0012764i,-0.00067711+0.00083416i
-0.00098176+0.0014333i,0.0011559+0.00059195i,0.00183+0.00017923i,0.0018084-0.00029165i,0.0011891-0.00058769i,9.7009e-05-0.00066163i,-0.0005498-0.00086895i,-0.0004543-0.00045563i,-2.6348e-05-7.9842e-05i,-0.00033566-0.00051182i,-0.00078746-0.0010593i,-0.00064408-0.00047451i,-0.00075305+0.00049021i,-0.0011134+0.00024541i,-0.00037961-0.0004815i,0.00034203-0.00037005i,-0.00011056+0.00057522i,-0.0014486+0.00084887i,-0.0013126+0.00022645i,-6.582e-05-0.00015212i,-0.00025884+0.00019194i,-0.00037249+0.00029939i,1.6986e-05+0.0002215i
0.00036967+0.00059119i,0.00073149+0.00090634i,0.00038428+0.00077471i,-0.00014668-0.00018877i,-0.00035937-0.0012511i,-0.00041664-0.0013621i,-0.00026081-0.00012141i,-0.00041524+0.0015487i,-0.0010119+0.0017104i,-0.00092614+0.00051741i,6.1366e-05-0.00030089i,0.00010594-0.00024718i,-0.00080709-0.00049676i,-0.00076963-0.0012871i,-0.00091879-0.00056125i,-0.00086104+0.00042945i,-0.00013109+0.00033796i,-0.00031772+0.00045128i,-0.00075245+0.00070135i,-0.00069861+0.00073711i,-0.00056481+0.00039695i,-0.00077011-0.00050811i,-0.00057472-0.00061089i
0.00244-1.5311e-05i,0.0031033-7.6297e-05i,0.0020989-0.00080243i,0.00094232-0.00055991i,0.00065508+0.00030816i,0.00019875+0.00045588i,-0.00037329+0.00097357i,-0.00072016+0.0011648i,-0.00026088+8.7439e-05i,-0.00027978-0.00040666i,-0.00082635-0.00021052i,-0.00067181-5.2439e-05i,-0.00067896-0.00016642i,-0.00076457-8.5503e-05i,-0.00085384+0.00072962i,-0.00031702+0.00086157i,-1.7938e-05+3.0905e-05i,-0.00087274+0.00016784i,-0.0012679+0.00085972i,-0.00065162+0.00033559i,0.00026403+0.00038012i,0.00041288+0.00060933i,7.712e-05-0.00077041i
0.00077141+0.001456i,0.0014463+0.00063829i,0.0016067+0.00026771i,0.00089942+0.00034396i,1.4571e-05-0.00025218i,-0.001473-0.00091666i,-0.0030149-0.0002459i,-0.0032352+0.00041755i,-0.001945+0.00060802i,-0.00053063+0.0003897i,0.00024902-0.00015479i,0.00054507-0.00043889i,0.00011702-0.00042354i,-0.00062335-7.7996e-05i,4.7416e-05+4.1078e-05i,0.00098647-0.00040688i,0.00027784-0.00048481i,-0.0006123+0.00011817i,-0.00078109+0.00011562i,-0.00056674-0.00025928i,-0.00012824+0.00041431i,0.00046532+0.00063925i,0.00081702+0.00044032i
0.00036613+0.0015819i,0.00031477+0.0011487i,0.00058804+0.0011206i,0.0015863+0.00083263i,0.0017162+0.00063691i,0.00026397+0.00051744i,-0.0010551+0.00074096i,-0.001276+0.00084923i,-0.00064649+0.0010619i,-0.00023815+0.0011944i,-0.00036716+0.00050692i,-0.00076511+0.00035465i,-0.00060581+0.00069023i,-0.00026174+0.00031272i,0.00014398-0.00077895i,0.00039445-0.00084558i,0.00017726-0.00011428i,-0.00020662-0.00010535i,-0.00098219-0.00025993i,-0.0010307-0.000121i,-3.7685e-05+0.00026539i,-2.1367e-05-0.00026009i,0.00010479-0.0003245i
0.0027333+0.0016618i,0.0025708+0.0010462i,0.0016852+0.00047485i,0.0011923+5.9064e-05i,0.00067531-0.00052257i,-0.0004659-2.2505e-05i,-0.0018357+0.00083551i,-0.00085319+0.00081949i,0.00019555+0.00013063i,0.0001616-0.00028091i,0.00019134-0.00049123i,-0.00011329-0.0011205i,-0.00076073-0.00053973i,-0.0013786+0.00014522i,-0.00099532+0.00011096i,-0.00011853+0.00040716i,-0.00024963+0.00044141i,-0.00081831+0.00039006i,-0.0010054+0.00073412i,-0.00021703+0.00053779i,0.0007161-0.00065878i,0.0005318-0.001157i,4.3039e-05-0.001024i
0.0034647+0.00022202i,0.0033908-7.0121e-05i,0.0024262-0.0012587i,0.00099809-0.001158i,-3.1659e-05-0.00075333i,-0.001064-0.00051361i,-0.001398+0.00057022i,-0.00076758+0.00074141i,0.00019994+0.00036328i,0.00022133+0.00083229i,-0.00070965+5.3507e-05i,-0.0010315-0.00087935i,-0.00080617-0.000212i,-0.0014071+0.00096851i,-0.001226+0.00089196i,-0.00028406+3.3794e-05i,0.00026201-0.00044851i,0.00040363-0.00035122i,0.00049703+0.00041261i,0.00024611+0.00038811i,0.00046029+0.00022371i,-0.00017715+0.00061433i,-0.00083363+0.00027844i
-0.00031718-0.00017916i,0.00078884+8.8851e-05i,0.0011184-0.00048819i,0.0008445-0.00097681i,0.00027806-0.00079605i,-6.7717e-05-3.8716e-05i,-4.1214e-05+0.00015879i,0.00013075+0.00090013i,0.00026711+0.0010158i,-0.00040252+6.1623e-05i,-0.00091973-6.9505e-05i,-0.0007073+0.00022714i,-0.00074804+1.4693e-05i,-0.00065193+0.00037757i,-0.00044891+0.00078604i,-0.00016276+0.00031161i,0.00020373-0.00011539i,0.00061873+0.00029825i,0.0006417+0.00062634i,8.4333e-05+0.00020476i,-0.00035601-0.00017227i,-0.00055621-0.00018926i,-0.00016129-5.5407e-05i
0.0018829+0.00057895i,0.0022506-0.00090301i,0.0021154-0.00049421i,0.0012171-0.0005452i,0.00014197-0.001903i,-0.0008623-0.0019055i,-0.0014873-0.00033746i,-0.0011311+0.00053683i,-7.5604e-05+0.00013334i,0.00049513-0.00031759i,0.00012624-0.00067975i,0.00017083-0.0011704i,0.0006277-0.00069256i,0.00029938+5.3547e-05i,-0.00017093+0.00025995i,-0.00018934+0.00035142i,-0.00042935+0.00068088i,-0.00047489+0.0012077i,-0.00010599+0.00099997i,-6.9894e-05+0.00051343i,-0.00076097+0.00018337i,-0.00083252+0.00048244i,-0.00010325+0.0011272i
0.0012258+0.00052631i,0.00075162+0.0013381i,0.0010021+0.00057547i,0.00079059-0.0010029i,0.00024042-0.00098305i,-0.0008999-0.00022307i,-0.00088522+0.00046791i,-0.00035086+0.00030065i,5.4858e-05-0.00010207i,0.00057538-0.00023711i,0.00042641-0.00019437i,-0.00024861-0.0001595i,-0.0011256+6.9955e-05i,-0.00093262+0.00067293i,-0.00045328+0.0012241i,-0.00042946+0.0014778i,-0.00077999+0.00088125i,-0.00072884+6.476e-05i,-0.00039121-0.00023388i,-4.082e-05+9.831e-05i,0.00043952+0.00011362i,0.0005938-0.00023959i,0.00049055+9.607e-05i
0.002164+0.00049078i,0.0020997+0.00040123i,0.0026807-0.00052987i,0.0022367-0.0013747i,0.00103-0.0018653i,-0.00048144-0.0013717i,-0.0015705+0.0001341i,-0.00057697+0.00041087i,0.00050854+9.0327e-05i,0.00064991+0.00010231i,0.00022294+9.6238e-05i,-0.00019901-0.00092514i,-0.00069946-0.0013131i,-0.0010707-0.00039214i,-0.00061807+0.00056809i,-0.00013016+0.00075115i,6.4154e-05+0.0002582i,-0.00023411+0.00055597i,0.00026126+0.00065343i,0.0011281+0.00028219i,0.0009176+0.00040353i,0.0011159+0.00071434i,0.0013342+0.00073106i
0.0011341+0.00072021i,-0.00011341+0.00080924i,0.00029209+0.0015911i,0.00048018+0.0012308i,0.0003135+0.00052974i,-0.00060278+5.4593e-05i,-0.00075909+0.00068934i,-0.0003339+0.0018589i,0.00025638+0.0010895i,9.249e-05-7.4292e-05i,-0.00035523-0.00032933i,-5.2156e-06+0.00014881i,-0.00063558+0.00094279i,-0.00088954+0.00093579i,-0.0002387+0.00020496i,-0.00012304+1.197e-05i,-0.00029521+0.00033039i,-2.4009e-06+0.00046547i,-0.00025266+0.00059723i,-0.00045345+3.2608e-05i,-0.00039957-0.00097818i,-0.00039292-0.00047517i,-2.9705e-05-0.00010077i
0.00015207-0.0010072i,0.00030773-0.0023858i,0.00076505-0.0027332i,3.5987e-05-0.001508i,-0.0014353-0.00081036i,-0.0016447-4.5275e-05i,-0.00158+0.00021811i,-0.0009678-0.00038427i,6.9615e-05-0.00071263i,0.00017838-0.00027446i,-0.00011716+8.8764e-05i,0.00026534-0.00027737i,0.00010073-0.00024944i,-0.00030547+0.00035907i,-0.00029094+0.00069977i,0.00023818+0.00055383i,0.0008258+0.00036068i,0.00056686+0.00056816i,-8.4258e-05-0.00019303i,-0.00011514-0.00073024i,0.00023318-0.00041537i,-0.00052225-0.00016192i,-0.00091007-0.00040454i
-0.00085102-0.001419i,-0.00087099-0.00055513i,-0.0003381+0.00014365i,4.009e-06+0.0001329i,0.00050068+0.00058956i,0.00092496+0.0010449i,1.508e-05+0.001383i,-0.00033244+0.0015534i,-0.00055508+0.00067962i,-0.00090473+0.00058682i,-0.00048217+0.00064747i,0.00048092+0.00039907i,0.00082457-0.00020273i,0.00076571-0.00070143i,0.00040068-0.00084255i,7.883e-05-0.00063868i,-0.00016719+1.2131e-06i,8.9049e-05+5.5924e-05i,-0.00049409+6.7352e-05i,-0.001429+0.00024657i,-0.00053246-0.00029984i,0.00070415-0.00070825i,0.00033004-0.00047959i
0.0013456-0.0005308i,0.00010359-0.00027655i,-0.00023352+0.00025899i,-0.00020161+0.00059721i,-0.00051214+0.00023038i,-0.00022892+0.00053033i,-0.00070143+0.00067473i,-0.0012816+0.00024934i,-0.00045582+0.00025069i,0.0001079+7.231e-05i,0.00021736-0.00038962i,9.9497e-05-0.00023818i,0.00031873-0.00037897i,4.4524e-05-3.8437e-05i,-0.00030346+0.00036384i,0.00033811+0.00028685i,0.00014123+0.00018241i,-0.00067547+0.00032754i,-0.00074763+0.00016245i,-0.00061785+8.1836e-06i,-0.00056802+0.00026141i,-0.00023184+8.5223e-05i,0.00016188-0.00027186i
-0.00028212+0.00016098i,-0.00055102-0.00052315i,-6.277e-05-0.00083109i,0.00074823-0.00087376i,0.0004096+7.6184e-05i,-0.00048087+0.00079678i,-0.0013378+0.001425i,-0.0014549+0.0014254i,-0.00059266+0.00029914i,-0.00059528-8.1927e-05i,-0.00079023+0.00066869i,-0.00011901+0.00078185i,-0.00035317+0.0004922i,-0.00095484+0.000664i,-0.0002611+0.00029005i,0.00014031+0.00028476i,-0.00040277+0.00059968i,-0.00026752+0.00098111i,0.00033289+0.00089695i,-8.3705e-05+9.3098e-06i,-0.00027373-0.00098416i,0.00032414-0.0013214i,0.0003476-0.00082417i
-0.00073196-0.0012422i,-0.00084957-0.0010165i,-0.00033509-0.00041539i,-0.00025165-0.00047702i,-0.00011753-0.00050627i,-2.2153e-05+0.00060127i,-0.00031969+0.0017991i,-0.00054323+0.0014509i,2.5614e-05+0.00081404i,-0.0002292+0.00058491i,-0.00065925+0.00033704i,7.7311e-05-0.00019011i,0.00085497-0.0012559i,0.00094152-0.0014941i,-2.8559e-06-0.0011823i,-0.00068118-0.001032i,-5.5823e-05-0.00026827i,-0.00028163-0.00017978i,-0.000985-0.00048815i,-0.00057036-0.00033319i,-0.00012836-0.00046944i,-0.00030616-0.00039769i,-0.00026447-0.00025796i
0.0036705+0.00040347i,0.0032721-0.00047556i,0.0020119-0.0011946i,0.00096909-0.0015608i,0.00023274-0.0010564i,-0.0011722-0.00051241i,-0.0017205-0.00015698i,-0.00079925+0.00078779i,-0.00035132+0.0010764i,0.00014097+8.3806e-05i,-1.9252e-05-0.00069096i,0.00012675-0.00075881i,0.00083902+0.00011327i,0.00042117+0.00090837i,-0.0002612+9.6039e-05i,-0.00024849-0.00026519i,-0.0005899+0.00012841i,-0.00026057+0.0005608i,0.00070664+0.00067723i,0.00053735+0.00035723i,0.00039663-8.7381e-05i,0.00050932-0.00038402i,0.00031364+0.00012641i
