-0.0050226-0.00015381i,-0.0047416+0.0011643i,-0.0057327+0.0034083i,-0.0046391+0.0041783i,-0.0027382+0.0026755i,-0.0011892+0.00095413i,-0.00096999+0.00074173i,-0.00066703+0.0021205i,0.00063078+0.0033598i,0.001528+0.0033023i,0.0013804+0.0018672i,0.0009976+0.00075704i,0.0012287+3.9466e-05i,0.0011783+0.000292i,0.0010461+0.00064894i,0.00057732-1.4055e-05i,0.00021364-0.0001342i,0.00021684-0.00012833i,2.6076e-05-0.00048365i,-1.9866e-05-0.00018443i,0.00023208+0.00078681i,8.3455e-05+0.00070641i,-0.000441+2.3523e-05i
0.00022217-0.0026675i,-0.0010374-0.0029388i,-0.0023826-0.0035672i,-0.0021912-0.0027149i,-0.0014761-0.00068987i,-0.0007029+0.00054777i,0.00084129-9.7858e-05i,0.0018089-2.0934e-05i,0.0017529+0.0017306i,0.0019036+0.0028381i,0.0016536+0.0021265i,0.0015748+5.4992e-05i,0.0014281-0.0010299i,0.00031593-0.00038926i,0.00038243+0.00017241i,0.00075332+0.00017313i,0.00026775-2.0206e-05i,0.00038352-6.8064e-05i,0.00072241-0.00026157i,0.00056062-0.00067515i,0.00064437-0.00050672i,0.00070604+5.3326e-05i,0.00041419-0.00020176i
-4.1472e-05-0.0014158i,-0.00026349-0.0012754i,-0.00013488-0.00080935i,0.00049761+0.00065123i,0.00086515+0.001713i,0.00072588+0.0016322i,0.0005097+9.8516e-05i,0.00078775-0.0012602i,0.0019571-0.0003171i,0.0022216+0.00063845i,0.001151+0.00067216i,-0.00076767+0.00035509i,-0.0014935-0.0001879i,-0.00073016-0.00027924i,-0.0001075+0.00029206i,0.0001015+0.00094669i,0.00042501+0.00090469i,0.0013306+0.00013644i,0.0014973-0.00036178i,0.00079605-0.00054771i,0.00068569-0.00042018i,0.0011412+0.00031477i,0.00093491+0.00047143i
-0.0017655-0.00077914i,-0.0025224+2.2463e-05i,-0.0033733+0.0019148i,-0.0016134+0.002518i,0.00069338+0.0018859i,0.00098253+0.00075263i,-0.00020629-0.00032009i,-0.00098158-0.0014138i,-0.0016078-0.0014315i,-0.0019198+6.3737e-05i,-0.0019021+0.00051262i,-0.0016412+0.00087315i,-0.00076693+0.0013737i,0.00019233+0.0017625i,0.0005341+0.0015658i,0.00094733+0.001151i,0.0011324+0.00062566i,0.00047651+0.00015762i,0.00012569-0.000152i,8.5984e-05-0.00034753i,-6.9912e-05-0.00025251i,9.9984e-05-0.00031588i,-9.3126e-05-0.00033029i
-0.00047612-0.0021563i,-0.00078182-0.0017475i,-0.00043285-0.0015982i,0.00056209-0.0013403i,0.00062661-0.000269i,-0.00040484+0.0011378i,-0.0015253+0.0010327i,-0.0023027-0.00010177i,-0.0029681-8.7497e-05i,-0.0032463+0.00099373i,-0.0022255+0.0014454i,-0.0011605+0.00078011i,-0.00053878+0.000582i,-0.00010111+0.00013445i,4.9374e-05+7.3911e-06i,0.00044138+0.00062077i,0.0013742+0.0012989i,0.0017416+0.00067744i,0.00066984+7.751e-05i,0.00019053+0.00019391i,0.00026903+0.00029226i,-3.7335e-05+0.0007637i,-0.00041787+0.00041213i
-0.0033419-5.7706e-05i,-0.0025807+0.0023405i,-0.0017711+0.0040894i,-0.00082342+0.0040331i,2.0595e-05+0.0027667i,0.0011594+0.00093449i,0.00076547+0.00022381i,-0.0009668+0.0018494i,-0.0020802+0.0033373i,-0.0025145+0.0038845i,-0.002156+0.0036653i,-0.00030391+0.0027904i,0.00029611+0.0012526i,-0.00026433+0.0012482i,0.00015808+0.0018694i,0.00094636+0.0011924i,0.0012335+0.00032987i,0.00051799-0.0003985i,-5.5211e-05-0.00055212i,-0.00037141-0.00043883i,-0.00082327-0.00043697i,-0.00075347-0.00013597i,-0.00096632+0.00080507i
-0.0026474-0.00018642i,-0.0018481+0.00016926i,-0.0019406+0.0020224i,-0.0014217+0.0038594i,3.4746e-06+0.0034945i,0.00020329+0.0016629i,-3.1072e-05+0.00060591i,0.00022624+0.0014677i,-0.00034663+0.0045169i,-0.00053133+0.0056676i,0.00031745+0.0041775i,0.0012007+0.0023357i,0.001472+0.00065282i,0.0018195+0.00041389i,0.0022009+0.0015375i,0.0015721+0.0011291i,0.0013109+0.00011712i,0.0013872-0.00044699i,0.0011255-0.00038754i,0.00075189-0.00039054i,0.00050612-0.00014405i,0.00026842+0.00013493i,-3.4964e-05+7.019e-05i
0.0012948+0.00013913i,0.0019617+0.00021846i,0.003803+0.00032112i,0.0043754+0.00090432i,0.0040504+0.00067555i,0.0035509+0.00022213i,0.0026495+0.00024146i,0.0016331+0.00082379i,0.0014838+0.0033468i,0.0021985+0.0046317i,0.0030397+0.0032821i,0.0020501+0.0012811i,7.5409e-05-8.3664e-05i,0.0001478+0.00029141i,0.001289+0.00093442i,0.0011044+0.00031077i,0.00090018+0.00018585i,0.0011334+0.0003528i,0.0015044+0.00034442i,0.0013543+8.0924e-07i,0.0013435-0.0003334i,0.0015075-0.00041644i,0.00087791-0.00023086i
-0.0018296-0.00050533i,-0.0015117-3.8714e-05i,-0.0015333+0.00068448i,-0.0010596+0.0010861i,-0.00013459+0.0022011i,0.00026449+0.0023547i,0.00053809+3.4925e-05i,0.0005832-0.0011272i,0.00071118-5.3709e-05i,0.0020126+0.00092105i,0.0024394+0.00095164i,0.0012964+0.00025978i,0.00014646+9.8648e-05i,8.2963e-05+0.00061402i,0.00096651+0.0010403i,0.0011616+0.0010857i,0.0011007+0.00033973i,0.0013768-1.7605e-05i,0.0015824-0.00035343i,0.0017578-0.00044407i,0.0010329-9.8208e-05i,2.9237e-05+2.4283e-05i,-0.00046121+0.00013358i
0.00077171+0.0019063i,0.0011534+0.0013746i,0.0032175+0.00094874i,0.0049881+0.00017857i,0.0041325-0.0012228i,0.001829-0.0013919i,-0.00024427-0.0006188i,-0.00091022-0.00063783i,8.5267e-06-0.00093273i,0.00050714-0.00026526i,0.0006423+0.00044553i,0.0007278+0.0002502i,0.00091911-0.00023279i,0.00081536-0.00015367i,0.00052996+0.00034514i,0.0010465-0.00018651i,0.0014786-0.00063891i,0.0017582+0.00011305i,0.0013003+0.00065798i,0.00054453+0.00020623i,-0.00022368-0.00044612i,-0.00047549-0.00054764i,-3.3503e-05-0.0010477i
0.00027718-0.0016601i,0.00012732-0.0011935i,0.0001635-0.0012362i,-0.00071214+0.000136i,-0.0009691+0.0020225i,-0.00089796+0.0017795i,-0.0013309+0.00058263i,-0.0021892+0.0004013i,-0.0030194+0.00072027i,-0.0027042+0.00070284i,-0.0015271+0.00055456i,-0.00094603+0.00046445i,-0.00034486+0.0011977i,0.00042878+0.0018872i,-5.6342e-05+0.0016114i,0.00042809+0.00091558i,0.0014472+0.00021493i,0.0010048-0.0002943i,0.00098982-2.2535e-06i,0.00062928-9.2502e-05i,-0.00017344-0.00055463i,-4.314e-06-0.00053746i,0.00012337-0.00044325i
-0.00029775-0.00024087i,-0.00098393-0.00094018i,-0.0024361-0.00068224i,-0.0024067+0.00076458i,-0.00060385+0.0025618i,0.00061322+0.0030267i,0.0005548+0.0020116i,-0.00039853+0.0023208i,-0.0020592+0.0037902i,-0.0018048+0.0038054i,-0.0010718+0.0034536i,-0.000656+0.0027085i,-4.703e-05+0.0015743i,0.0004129+0.00065582i,0.00069374+0.00033002i,0.0005218+0.00021525i,0.0001551-0.00063249i,0.00013888-0.00077597i,0.00030722+0.00029268i,-1.7841e-05+0.00048675i,-0.00035792+0.00047268i,-0.00028693+0.0010521i,-0.00086331+0.00091937i
0.0017447+0.00018454i,0.0011834+0.00062981i,0.0014023+0.00016085i,0.0017013+0.00089601i,0.0019023+0.001536i,0.0016598+0.00061014i,0.00052175+0.00033278i,0.00062453+0.0017525i,0.0012848+0.0037698i,0.00044064+0.0048708i,2.9194e-05+0.0041811i,0.00054277+0.0022041i,0.00031157+0.00081663i,0.0002613+0.00066395i,0.00089828+0.00060621i,0.00098169+0.00040765i,0.00030099+0.000358i,0.00019232+0.00019963i,0.00066267-0.00054655i,0.0010626-0.0010936i,0.000479-0.00055086i,0.00011967-0.00033522i,0.00039311-0.0003507i
-0.0011494-0.001329i,-0.0017553-0.00063482i,-0.0028007+0.00036006i,-0.0018636+0.00088504i,-0.00019296+0.0017041i,0.0009911+0.0018286i,0.0018471+0.00043301i,0.0023004+4.2259e-05i,0.002205+0.0016178i,0.0021488+0.0031711i,0.0017317+0.0022851i,0.00048204+0.00088085i,-0.00011713+0.001274i,-0.00030542+0.0014462i,0.00056592+0.0014053i,0.0014085+0.0010008i,0.0012048+0.00042896i,0.00057128+2.7024e-05i,0.00087305-0.0010669i,0.0014911-0.0012151i,0.0015606-0.00094395i,0.001749-0.001316i,0.00047331-0.00049946i
-7.513e-05-0.0011415i,0.00070282-0.00024518i,0.0017307-0.00054067i,0.0026683-0.00017549i,0.0029235-0.00041254i,0.0019436-0.0020826i,0.00051235-0.0026129i,-0.00099563-0.0013423i,-0.00027464-1.7593e-05i,0.000765+0.00045682i,0.00096402+0.00058264i,0.0010168+0.00045781i,0.00089609+0.00097046i,0.00065141+0.0012938i,0.00058146+0.0009732i,0.00079781+0.00066225i,0.00081825+0.0003984i,0.0010074-0.00014377i,0.00062651-0.0009849i,0.00020527-0.0009427i,-4.5089e-05-0.0010012i,-0.00019878-0.0015402i,-0.00044681-0.0018208i
-0.0010852+0.0011552i,-0.0018609+0.0022912i,-0.0010021+0.0036962i,-0.00075055+0.0041705i,-0.00078655+0.0027654i,1.9028e-05+0.00045497i,-0.00070208-0.00021434i,-0.0020239-0.00049333i,-0.0020695-0.0005886i,-0.0013187-1.0995e-05i,-0.00088065+0.00016343i,-0.0010654-0.00033145i,-0.001035-0.00028928i,-0.00013386+0.00054121i,0.00064355+0.00081429i,0.0013446+0.00045423i,0.0017461-0.00036162i,0.001445-0.00031171i,0.00033052-0.00033212i,-0.00087631-0.00043748i,-0.0010348+5.3988e-05i,0.00025617+0.0001663i,0.00044006-0.00038032i
-0.00071478-0.0017308i,-0.00078587-0.001322i,-0.00045618-0.00046524i,-0.00047305+0.00047521i,-0.00069015+0.0011374i,-0.0005464+0.0010771i,-0.00037489+0.00077155i,-0.0016031+0.001156i,-0.0031201+0.0021126i,-0.0035459+0.0020867i,-0.0030668+0.0016383i,-0.0014724+0.0012845i,-0.00059582+0.00072304i,-0.0003301+0.00022816i,0.00031119-0.00011971i,9.3162e-05-0.00045207i,0.00036306-0.0010053i,0.00045836-0.0011157i,-0.00063982-0.00058273i,-0.0010497+0.00072563i,-0.00046818+0.0012524i,0.00051022-0.00018561i,0.00020353-0.0010909i
-0.00018075-0.00069999i,0.00055956-0.00099688i,0.0018219-2.5014e-05i,0.0019485+0.0015277i,0.0015008+0.0024819i,0.0010634+0.0025018i,0.00058674+0.0016675i,-0.00060017+0.0021349i,-0.0011421+0.0038139i,-0.0011332+0.0043798i,-0.00090761+0.0037946i,-0.000158+0.002178i,0.000442+6.5896e-05i,0.00073131-7.4112e-05i,0.0012576+0.00032046i,0.0013048+0.00016383i,6.9914e-05+0.0001045i,-0.00036011-0.0001473i,0.0001778-0.00046087i,0.00059845+0.00012164i,0.00077495+0.00048063i,0.00015781+0.00021543i,-0.00013566-0.00021296i
-0.0016338+0.0013309i,-0.0015101+0.001698i,-0.0009695+0.0027912i,7.1341e-05+0.0029305i,0.0010552+0.0025601i,0.00075928+0.0019271i,0.00059706+0.0015404i,0.00087141+0.0025376i,0.00075649+0.0041324i,0.00058789+0.0042551i,0.00075882+0.0029106i,0.0011218+0.0017512i,0.00019637+0.00099105i,-0.00097178+0.0007196i,-0.00047793+0.00082228i,0.0005171+0.00050125i,0.00074024+0.00031791i,0.00098319+0.00055651i,0.00063962+0.00069363i,-2.105e-06+0.00048157i,0.00027499+0.00012898i,0.00073929+4.1622e-05i,0.00027094+2.0125e-05i
0.0022036+0.0013349i,0.0020288+0.00146i,0.0027518+0.00092095i,0.0034956+0.00056281i,0.0030819+0.00092153i,0.0024818+0.00080062i,0.0017017+0.00016046i,0.0017581+0.00044846i,0.0013829+0.0013674i,0.0013583+0.0013249i,0.002162+0.00055627i,0.0015192+0.00018877i,-0.00022314+9.3317e-05i,-0.00095211+0.00050027i,-0.0002551+0.0009345i,0.0010778+0.0014388i,0.0015458+0.0010594i,0.0014528-0.00016158i,0.0012544-0.0006034i,0.00084639-0.00025179i,0.00058873-4.3072e-05i,0.00086463-0.00011914i,0.0013684-0.00035094i
0.00026021+6.0088e-05i,0.00066195-0.0012011i,0.0015406-0.00064881i,0.0019258+0.00067185i,0.0018192+0.0010306i,0.00116-1.8133e-05i,0.00030165-0.0013676i,0.00015842-0.0021261i,0.00050723-0.0012947i,0.00096331-0.00022i,0.000733-0.00038742i,-0.00015839-0.00076092i,0.00015811-2.8089e-05i,0.0011882+0.00075439i,0.0015855+0.00064031i,0.0014812+0.00094875i,0.0010698+0.00099065i,0.0005687+0.00012347i,0.00040802-0.00023988i,0.00010422-0.00033645i,8.9508e-05-0.00075788i,-0.00020196-0.00047227i,0.00038914-0.00024983i
-0.00069854-0.0015679i,-0.00038945-0.0007092i,-0.0016458-0.00016659i,-0.0018969+0.0011174i,-0.0013549+0.0020359i,-0.0010771+0.0013992i,-0.00084011-4.2182e-05i,-0.0015586-0.00057514i,-0.0019724+0.00018714i,-0.002337+0.00049997i,-0.0019667+0.0009309i,-0.0011659+0.0012752i,-0.00021193+0.00042028i,0.00148-0.00022404i,0.0019247+9.3913e-05i,0.001874+0.00038695i,0.001229-0.00023014i,0.00019813-0.0010876i,-0.00063039-0.00086106i,-0.00080762-0.00051484i,-0.00092936-0.0010372i,-0.00040769-0.0015248i,0.00037579-0.0013755i
-0.00051245-0.0011088i,-0.00043886-0.00025491i,7.1479e-05+0.00011177i,0.0010539+0.0012279i,0.0015059+0.0020818i,0.0011736+0.0024472i,0.00017611+0.0025955i,-0.0018566+0.0021468i,-0.0032575+0.0019763i,-0.0033218+0.002466i,-0.0020784+0.0021135i,-0.00043189+0.0013554i,0.00034392+0.00012772i,-1.4679e-05-0.00056997i,0.00021413+0.00013549i,0.00054919+0.00069253i,0.00035104+0.00027913i,0.00034855+0.00030966i,-4.9692e-05+0.0005152i,1.909e-05+0.00067339i,0.00024565+0.00097433i,-0.00025479+0.00069282i,-0.000342+0.0003092i
-0.00088887-0.0017336i,-0.00049707-0.0012984i,-0.00026179-0.0010101i,-0.00082951+2.2655e-05i,-0.00081005+0.0010914i,-0.00036672+0.0013356i,-0.00041609+0.0014421i,-0.00082506+0.0030938i,-0.0016688+0.0056515i,-0.0020238+0.0057305i,-0.0007306+0.0039214i,0.00080045+0.0018366i,0.00022116+0.00051617i,-0.0011523-3.1398e-05i,-0.00062008-0.00025976i,0.00023036-0.00024192i,0.00037899+9.4708e-05i,0.00050086-0.00016195i,0.00090465-0.00052537i,0.00052304+0.00018157i,-0.00035581+0.0009462i,6.8359e-05+0.00090181i,-0.00030411+0.00051489i
-0.0012763+0.00074765i,-0.001316+0.00076762i,-0.0009005+0.0019117i,-0.00018071+0.003043i,0.00076113+0.002203i,0.001485+0.0015262i,0.0017629+0.0022297i,0.0025447+0.0031773i,0.002482+0.0039733i,0.0014628+0.0043845i,0.0015648+0.0037326i,0.0010871+0.0019774i,-0.00046142+0.00074578i,-0.00075766+0.0014578i,-0.0001682+0.0015335i,0.00056363+0.0006659i,0.00072158+0.00066825i,0.00099981+0.00086202i,0.001011+0.00040663i,0.00063329+0.00012246i,0.00050443-3.8388e-05i,0.00046707-0.00028728i,-0.00053866-0.00017956i
0.00034581-0.0018692i,-0.00044228-0.0019861i,0.00024533-0.001081i,0.0015073+0.0012645i,0.0014711+0.0018217i,0.0018035+0.0011965i,0.0024811-2.0603e-05i,0.0030069-0.0011858i,0.0031074-0.00012289i,0.0026988+0.00065552i,0.0020935+0.00095349i,0.0016001+0.0012854i,0.00062917+0.0019184i,0.00012618+0.0019491i,0.00031201+0.0013389i,0.00056058+0.0010985i,0.00056463+0.0012078i,0.00071514+0.00055737i,0.00066313-0.00044529i,0.0002031-0.00039691i,0.00056185+0.00043484i,0.0011104+0.00084793i,0.00014049+0.00012214i
-0.001005+0.0012757i,-0.0012968+0.0018977i,-0.0012166+0.0019777i,0.001241+0.00087821i,0.0019503+0.00037387i,0.00061388-0.00025596i,-0.00040121-0.0018023i,-0.00097702-0.0022234i,-0.0008865-0.0011541i,-0.00064493-0.00037176i,0.00030919-0.00039465i,0.00047234-0.00041281i,0.00011582+0.00056392i,0.00089752+0.0020807i,0.001784+0.0017566i,0.0019095+0.00095309i,0.0011154+0.00087279i,0.0002006+0.00015492i,-1.3441e-05-0.00064987i,0.00036262-0.00044342i,0.0011333-7.273e-06i,0.00146-0.00039718i,0.0011883-0.00046395i
0.0010529+0.00016502i,0.0016294+0.00024059i,0.0021433+0.00037627i,0.0017809+0.00064746i,0.0012261+0.00068554i,-8.1998e-05+0.00048373i,-0.0013328-0.00035278i,-0.0018619-0.00087083i,-0.0025948+3.6183e-05i,-0.0033748-5.2667e-05i,-0.0031007-0.00041981i,-0.0017187-0.00035193i,-0.00013727-0.00043108i,0.0013507+0.00012812i,0.0021972-9.7833e-06i,0.0021251-0.00036575i,0.0016436-0.0002371i,0.0015761-0.00058848i,0.001592-0.00039606i,0.00091803-0.00019333i,0.00025457-0.0001089i,0.00033258+0.00022756i,0.00095645-5.4217e-05i
-0.001718+0.00070962i,-0.0020407+0.00086028i,-0.0016145+0.0022451i,-0.0014098+0.0030111i,-0.0011192+0.00213i,-0.0016366+0.0011951i,-0.0027767+0.0014683i,-0.0034967+0.0026456i,-0.004415+0.0040745i,-0.0041018+0.0051041i,-0.0028927+0.0042575i,-0.0015022+0.0018521i,-0.00028436+9.4219e-05i,5.6756e-05-0.00057489i,0.00014143-0.00053233i,0.00066064-0.0002095i,0.0007659-0.00036048i,0.0006106-0.0006255i,0.00074935-0.00054765i,0.00034536+0.00036986i,-0.00038337+0.00031297i,-0.00074278-0.00022236i,-0.0013164-0.00058879i
0.0019361+0.00048817i,0.0024493-0.00013748i,0.003578+0.00037793i,0.0042249+0.00051596i,0.0027869+0.0014389i,0.00037173+0.0013226i,0.00010791+0.0011293i,0.00061003+0.0037391i,0.00010952+0.0065636i,-0.00030194+0.0078451i,0.00020322+0.0061278i,0.00060746+0.0028019i,0.00041117+0.00059316i,4.9142e-05-0.00036295i,0.00028159-0.00078351i,0.00034275-0.00068334i,0.0013378+0.00015469i,0.00223+0.00069595i,0.0014822+0.00030467i,0.00021194+1.1387e-05i,-0.00024664+0.0006263i,-0.00039772+0.00053637i,-0.0010439-0.00034126i
-0.00079559+0.0031273i,-0.00077518+0.0022102i,0.0010841+0.0025855i,0.0027137+0.0035018i,0.003216+0.0031127i,0.0029453+0.00177i,0.002962+0.0011824i,0.0032003+0.0023745i,0.0032383+0.0046848i,0.0031551+0.0056321i,0.0029582+0.0042119i,0.0023222+0.0016225i,0.00099521+0.00069633i,-0.00054972+0.00090528i,-0.00028083+0.00030904i,0.00023048+8.0894e-05i,-0.00030239+0.00045657i,-3.8186e-05-0.00023097i,0.00068405-0.0010208i,0.0012273-0.00063589i,0.00097392+0.00085986i,0.00053264+0.0011208i,-2.6572e-05+0.00051889i
0.0015359-0.0001375i,0.001479-0.00012694i,0.00079627-0.0013383i,0.0011772-0.0017436i,0.0030677-0.0002536i,0.0044751-0.00032907i,0.0039377-0.0014929i,0.0028348-0.0017566i,0.0028621-0.00077842i,0.0032554+0.00029607i,0.0023413+0.00038326i,0.00086176+0.00016185i,2.8319e-05+0.00084476i,0.00012225+0.0020274i,0.00020114+0.0025294i,7.397e-05+0.0015332i,0.00040066-3.4414e-05i,0.0015825-0.00063715i,0.0020244-0.00046491i,0.0013472-0.00017037i,0.00078759-2.7062e-05i,0.00061207-0.00015855i,0.00036428+0.00030265i
-0.0012983+0.0001166i,-0.00052048+0.00046048i,0.00015226+0.0015486i,5.2448e-05+0.0014598i,-0.00042888+4.619e-05i,-0.00043858-0.001765i,-0.00037885-0.0024908i,-0.00048593-0.0031457i,-0.00049252-0.0030275i,-9.2096e-05-0.0025248i,0.00050791-0.0026075i,0.00042044-0.0012887i,0.0005005+0.00087057i,0.00062946+0.0016887i,0.00069811+0.0011625i,0.0011287+0.0010924i,0.0008839+0.0013286i,0.00029417+0.00092145i,-0.00015746+0.00063027i,-0.00042531-0.00015542i,-0.00073089-0.00061892i,-0.0007399-5.125e-05i,-5.8902e-05+0.00047664i
-0.0011106-0.00068636i,-0.0011786-0.001175i,-0.00079117-0.00050131i,-0.00042003+0.00061378i,-0.0003474+0.00094753i,-0.001185-0.00010064i,-0.0025548-0.0012583i,-0.0036358-0.0015462i,-0.0034081-0.00089135i,-0.00268+0.00029853i,-0.0020545+0.00089367i,-0.00083836+0.00081786i,0.00077823+0.00093633i,0.0017535+0.00088225i,0.001228+0.00030683i,0.0013873+0.00010691i,0.0020349+0.00039305i,0.0015711-5.4384e-05i,0.00075006-6.6238e-05i,-0.0001908-0.00028918i,-0.00024796-0.00038074i,-5.4749e-06+0.00026702i,-0.00011676+0.00028431i
-0.0018221+0.00020959i,-0.0017955+0.0010714i,-0.0010313+0.0022732i,0.00069876+0.0033471i,0.0006265+0.0037456i,-0.00081062+0.0021992i,-0.0019311+0.001026i,-0.0031947+0.0019771i,-0.004316+0.0031154i,-0.0046938+0.0038091i,-0.0032405+0.0034682i,-0.00096657+0.002224i,0.0010617+0.00025323i,0.0016725-0.00084564i,0.0013434+0.00014253i,0.0013018+0.0011109i,0.00084002+0.0012465i,0.00017585+0.0004773i,-3.6257e-05+0.00034303i,0.00011177+0.00013934i,0.00028906+0.00017669i,-0.00016021+0.00037646i,-0.00072567+0.00011936i
-0.0018908-0.00070213i,-0.001628-0.00022838i,-0.0018152+0.00099373i,-0.00022187+0.002664i,0.00058972+0.0042608i,0.00079656+0.0037842i,0.0006606+0.00347i,-0.00037286+0.0044526i,-0.0020989+0.0057681i,-0.001991+0.0066592i,2.2463e-06+0.0053049i,0.0010277+0.0025054i,0.0011255+0.00042222i,0.00075756+8.1328e-05i,0.00041731+0.00054406i,0.00018617+0.00029708i,0.00082598-0.00044175i,0.0010829-0.00032845i,0.00060578+0.00017207i,0.0001426+0.00034667i,0.00059248+0.00069567i,0.00089803+0.00080356i,0.00074809+0.00065705i
-0.000116+0.00056286i,-0.00012042+0.00022288i,0.0003726+0.00015589i,0.0015552+0.00053136i,0.0036913+0.00095925i,0.0040998+0.0012374i,0.0037114+0.0011537i,0.0033865+0.0014961i,0.0023684+0.0036801i,0.0016801+0.0044846i,0.0015916+0.0034477i,0.00095706+0.0020383i,-8.7733e-05+0.00023085i,-0.00073686+4.4382e-05i,-0.00093051+0.00019703i,-0.00050688+0.00031999i,0.0010803+0.0009586i,0.0017435+0.00068947i,0.00091611+0.00032353i,4.8909e-05+0.00028147i,0.00018463+0.0003268i,0.00051511+0.000425i,-0.0001185+5.1115e-05i
-0.00083791-0.0004579i,-0.0010258-0.00089969i,-0.00018546+0.00076639i,0.00029036+0.0026051i,0.0013288+0.0017755i,0.0031909+0.0003027i,0.0032321-0.00025694i,0.0028734+7.4324e-05i,0.0026601+0.00081283i,0.0021992+0.0013024i,0.0018228+0.00099863i,0.0012091+0.0009239i,0.00035756+0.0013682i,0.00034023+0.0020488i,0.00034106+0.0021744i,0.00048644+0.0012951i,0.00047765-0.0001667i,-0.00024343-0.0010706i,-0.00053482-0.00064701i,-4.7661e-05-4.4581e-05i,0.00028072+0.00054912i,0.00039593+0.00083639i,0.0005008+0.00026239i
-4.1535e-05-1.4977e-05i,0.0002585+0.00032823i,0.00052106+0.00076682i,0.00056312+0.00057748i,0.00056559-0.0003139i,0.00015186-0.0011847i,-0.00057946-0.0021131i,-0.0011264-0.0028885i,-0.00052699-0.0024962i,0.00064994-0.0011384i,0.0011181+2.1234e-05i,0.0014168+0.00029995i,0.00096063+0.00036499i,0.00066125+0.000457i,0.0012279+0.0010657i,0.0015294+0.0015248i,0.0012207+0.0013794i,0.0012336+0.0006102i,0.0011529-0.00015868i,0.0010563-6.6465e-05i,0.0011545+0.00050305i,0.00089153+0.00017591i,-0.00035663-8.0306e-05i
-0.0007872+0.00094492i,0.00087579+0.00058253i,0.0020144+0.00097613i,0.0023808+0.0015356i,0.0009918+0.00079615i,-0.00063797-0.001222i,-0.0024108-0.0022548i,-0.0039348-0.00173i,-0.00345-0.00058277i,-0.0021093+0.00010337i,-0.00083098+0.00033509i,0.00055966+0.00031723i,0.0010955+1.4497e-05i,0.00099099-0.00022368i,0.0011276+0.00012577i,0.00073584+0.00060272i,0.00026365+0.00013576i,0.00052833-0.00070183i,-3.9028e-05-0.00070678i,-0.0014876+6.8653e-05i,-0.0010382+0.001231i,0.00021904+0.001025i,-0.00031305-0.00021671i
-0.00022428+0.00031032i,-0.00076385+0.00061828i,-0.00020015+0.00048291i,0.00056022+0.00015279i,0.00039279+0.0013312i,-0.0012503+0.0015835i,-0.0025654+0.0010494i,-0.002894+0.0016753i,-0.0027614+0.0027458i,-0.0027675+0.0020845i,-0.0018165+0.00073148i,-0.0013367+0.0001378i,-0.0014433-0.00045882i,-0.0004912-0.00043718i,-0.00012928-9.7706e-05i,8.4932e-05-0.00030751i,0.00077699-0.00026562i,0.0011911+0.00028482i,0.00070243+0.00050497i,-0.00055603-6.8501e-05i,-0.0008875+0.00021147i,-0.0008527+0.00068111i,-0.0013763+0.00026947i
0.0014592-0.00067652i,0.00091002-0.00068302i,0.0019713+0.00011267i,0.0022675+0.0016902i,0.0015466+0.0039577i,0.0015907+0.0048771i,0.0010695+0.0038541i,0.00012384+0.0035316i,-0.00091351+0.0044433i,-0.0016053+0.0034717i,-0.00091629+0.0020777i,0.00017219+0.0010984i,0.00023079-3.3105e-05i,0.00018288-1.4392e-05i,0.00051113+0.00067695i,0.00093325-0.00022773i,0.00096552-0.001199i,0.0007547-0.00040356i,0.00074689+0.00081646i,-8.2879e-05+0.00078661i,-0.00077152+0.00040457i,-0.00028917+0.00077592i,-0.00042759+0.00080505i
0.00046104+0.0015853i,0.00054055+0.0011223i,0.0018197+0.0010211i,0.0035805+0.0016089i,0.0042691+0.0022958i,0.0043804+0.0020893i,0.0036815+0.0012414i,0.0025527+0.0020818i,0.0010533+0.0037945i,-0.00050905+0.0043459i,-0.00083596+0.0027799i,-3.5345e-05+0.0008764i,-0.00063742+2.8112e-05i,-0.00033334-0.00011867i,0.0013057+0.00028863i,0.0015038+0.00077002i,0.0011045+0.00078171i,0.00057083+0.0004332i,9.418e-05-0.00015683i,0.00013675-0.00033554i,0.0003596+4.9551e-06i,0.0005544+0.00024286i,0.00040748-0.0002732i
-0.00093893-0.0010149i,-0.0013458-0.00056809i,-0.0018344-0.00074672i,-0.0006442-0.00024155i,0.0017471-0.00012073i,0.0033649-0.0005636i,0.0032809-0.00055403i,0.0027023-0.00039039i,0.0017424+0.00080502i,0.00045605+0.003034i,-0.00026186+0.0041495i,-0.0010794+0.0032496i,-0.0016089+0.0018901i,-0.00092653+0.0013737i,0.00081396+0.0010504i,0.001551+0.00020115i,0.0014036-0.00022428i,0.0013618-0.00037186i,0.00073307-0.0010044i,-0.00090044-0.00065037i,-0.0013805-0.0004306i,-0.00063374-0.00083933i,6.9385e-05-3.3643e-05i
