-0.00030612+0.0008875i,-0.00040312+0.00076871i,-0.001656-0.00033241i,-0.00053983-0.0011527i,-0.00034844-0.0010372i,-0.0014878+9.7404e-05i,-0.00077193+0.0014341i,0.00067268+0.0017988i,0.0013812+0.00076004i,0.0015086+0.00038234i,0.00078379+0.00067972i,0.00062377+0.00068702i,0.00051262+0.00012575i,-0.00037462-0.0007017i,-0.00074013-0.0002485i,3.089e-05+0.00040558i,0.00059283-0.000113i,-0.00018046-0.00013502i,-0.0008352-6.3056e-05i,1.5558e-05-5.315e-05i,0.00047701+9.8162e-05i,0.00020647+0.00026357i,-0.00054011+0.00015196i
-0.00077107-2.2118e-05i,-0.0016906-6.7025e-05i,-0.0017325+9.8221e-05i,-0.0017073+0.00044141i,-0.00093026-6.3984e-05i,-0.0001844-0.00052014i,0.00014193-0.00016703i,0.00058467+0.00060754i,0.00052373+0.0012838i,-0.00053693+0.00055406i,-0.00061682-0.00022166i,-7.0082e-05+4.6234e-05i,-0.00016005-0.00025828i,-0.00089701-0.00057873i,-0.0011854-0.00081866i,-0.00098682-0.00094457i,-0.00090991-0.00037611i,-0.00065006+8.9947e-05i,0.00031192+7.9796e-05i,0.000638+4.6629e-05i,-1.4314e-05+0.000317i,-0.00042618-0.00017129i,0.000113-0.00072459i
0.0038732+0.0018856i,0.004346+0.0012547i,0.0043735+0.00049179i,0.0027382-0.00021742i,0.0011333-0.00065537i,-0.00048629-0.00057779i,-0.00083564-0.00047094i,3.2055e-05-0.0003132i,0.00068061+8.6004e-05i,0.00040568+0.00021803i,7.7064e-05-0.00029367i,0.00054532-0.00086268i,0.00075515-0.00077089i,0.00028859-0.00045522i,-0.00046928-0.00068383i,-0.00092647-0.00035327i,-0.00089424+6.3936e-05i,-0.00038943+0.00041748i,-0.00033588+0.00046423i,-0.00013983+0.00050093i,0.00035469+0.00057554i,0.00033597+0.00061162i,0.00015863+8.4536e-05i
-0.0001696+0.0016561i,0.00027441+0.0006637i,0.0015678+0.0011943i,0.0018413+0.00084036i,0.0015874+0.00035709i,0.0015227+0.00019234i,0.00097383+0.00016356i,0.00075946+0.00021381i,0.00054715+1.7879e-05i,0.00037582+0.00010908i,0.00029914+0.00041776i,0.00095288+0.00033183i,0.0015277+0.00011451i,0.00080767+0.00054399i,8.2649e-05+0.00045854i,-0.00025214+5.8102e-05i,-0.00028782-0.00055885i,0.00040082+0.00023826i,0.00068619+0.0012608i,0.00075344+0.0011068i,0.00052329+0.00047903i,0.00056442-0.00010015i,0.00041186+0.00011152i
0.00078826+0.00074533i,0.0016481+0.0010544i,0.0021445+0.0010025i,0.0014456+7.0455e-05i,0.00092237-0.0012673i,0.00023487-0.0015228i,1.8414e-05-0.00022892i,0.00026348+0.00063594i,0.00027665+9.1284e-05i,0.00014865-0.00038539i,0.0002321-4.2784e-05i,0.00078804-0.00045276i,0.0010006-0.00057153i,0.00059059-0.00029882i,-0.00023895-0.00027988i,-0.00086971-0.00032425i,-0.00040369-0.00070883i,-0.00010176-0.00040091i,5.1164e-05-0.00011091i,0.00098276-0.00043638i,0.0011491-0.00050927i,0.0008163-0.00033143i,0.00028062-0.00029585i
-0.00068043-0.00080036i,-0.0012487+7.4453e-05i,-0.0012937+0.00051195i,-0.00024718+0.00099182i,-0.00025451+0.002048i,-0.00038022+0.0018788i,0.0002555+0.00081512i,0.00041822+0.00074453i,0.00085246+0.0017338i,0.00085699+0.0019884i,0.00069081+0.0013661i,0.00028602+0.0013646i,5.7468e-05+0.00057528i,0.00031537-0.00032073i,0.00051356-0.00040921i,0.00048922-0.00043153i,-4.4365e-05-0.0010483i,-0.00041918-0.0014541i,-0.0011008-0.00035287i,-0.0004835+0.00076699i,0.00041419-3.6149e-05i,0.00022407-0.0011067i,0.0003047-0.0010479i
0.0013108+0.0019893i,0.0020763+0.0015094i,0.0028712+0.0015151i,0.0025481+0.00098576i,0.0020023+0.00051656i,0.0013814-0.00046856i,0.00055263-0.0001633i,-0.00022637+0.00018899i,-0.00034238-3.3107e-05i,0.00020801+0.00018336i,0.00063996-0.00011471i,0.00071731-0.00044285i,0.00076844+0.00029962i,-6.6208e-05+0.00012872i,-0.00069049-0.00031488i,-0.00029733+7.2427e-05i,-0.00055478-9.1483e-05i,-0.0009008-0.00071198i,-0.00051114-0.0004029i,-0.00053146+0.00039232i,-0.00013916+0.00031061i,-1.2934e-06-0.00010642i,-8.3464e-06+7.2782e-05i
4.6999e-05-0.00059381i,-0.00011003-0.00069223i,-0.00033231-0.00086045i,-0.00086418-0.0012064i,-0.00058371-0.0014445i,-8.0337e-05-0.0012747i,-0.00045387-0.00051103i,-0.00038562-3.0213e-05i,0.00050618+0.00041062i,-9.4862e-05+0.00029685i,-0.00074373-0.00041543i,0.00015177-0.00050954i,0.00056211-0.00066333i,0.00061521-0.00014216i,0.00056193+0.00057006i,9.8883e-05+9.8328e-05i,-0.00076947+3.0415e-05i,-0.0006866-0.00013179i,0.00050155+1.5539e-05i,0.00061247+0.00074697i,0.00023581+0.00068369i,0.00056255+0.00021852i,0.00094509-0.00037724i
-0.0017742-0.0011759i,-0.0017792-0.0014668i,-0.0011396-0.001393i,-0.0016166-0.00028174i,-0.0014087+0.00065489i,-7.7508e-06+0.00033431i,0.00064233-7.111e-05i,0.00078361+0.00073549i,-0.00017735+0.0012549i,-0.00049859+0.0006947i,-3.4444e-05+0.00020293i,0.00027055-0.00016407i,0.00014667-0.00014913i,-0.0001182+0.00042827i,-0.00058088+0.0010103i,-0.00051702+0.00067129i,5.2744e-05-0.00028009i,0.00022307-0.0013164i,0.00029693-0.00089383i,0.00065852+7.7742e-05i,0.00015013+0.00031685i,-0.00034461+0.00054751i,0.00050863+2.7618e-05i
-0.00043813+7.7777e-05i,-0.00065647-0.00031912i,-0.0012128-0.00041574i,-0.0003235+0.00014597i,0.00095648-0.0003988i,0.00098262-0.00061178i,0.00015309-0.00016412i,-0.0004638-0.00025419i,-0.00036786-0.00072523i,-6.5923e-05-0.00046493i,0.00021666+0.00057571i,0.00034938+0.0002742i,5.2271e-05-0.00022715i,-0.00019657+0.00028489i,-0.0001538+0.00017707i,-8.3479e-05-0.00021598i,-0.00036768-0.00031103i,-0.00027083-0.00082544i,1.7361e-05-0.0011248i,-6.6937e-05-0.00060302i,-0.00014241-9.9598e-05i,0.00053512+5.424e-05i,0.00040154+0.00030193i
0.00082361-0.0011445i,3.9976e-05-0.0022084i,0.00064245-0.0019818i,0.00020368-0.0012193i,-0.00027808-0.00042491i,-0.00065957-0.00053243i,-0.00038543-0.00060244i,0.00042902-0.00038676i,0.00055705-0.0005163i,0.00039651-0.00026957i,0.00047445-0.00015701i,0.00026983-0.00061608i,-0.00050781-0.00078522i,-0.0013945+8.3183e-05i,-0.0013911+0.00029043i,-0.00078313-0.00088529i,-0.00054551-0.0012976i,-0.00048399-0.00081825i,0.00027811-0.00012271i,0.00061871+0.0004781i,0.00067719+0.00059482i,0.00045262+0.00033473i,-7.3024e-05+0.00056115i
0.0014384-0.0019122i,0.001255-0.0023496i,0.00086839-0.00333i,0.00039436-0.0027221i,0.00053365-0.0015637i,0.00099058-0.0010235i,0.0012779-0.00040347i,0.001441+0.0003173i,0.00019401+0.00012304i,-0.00070351-0.00075462i,-0.00019839-0.0012525i,4.5925e-05-0.0014218i,-0.00027892-0.00186i,-0.00033324-0.0012917i,-0.00040177-0.00028408i,-0.00055505-0.00025631i,-0.00021615-0.00046232i,0.00011723-7.8617e-05i,-0.0001332+0.00031859i,8.1668e-05+0.00014428i,0.00041034-0.00045783i,-0.00014512-0.00073346i,-0.00046552-0.00059436i
-0.0004006-0.00056715i,-0.00034112-0.00071824i,0.00035693-0.00037344i,0.00015451+0.00035443i,0.00029553+0.0005015i,0.00032246+0.00053282i,0.0001971+0.00063572i,0.00085976+0.00042051i,0.0013222+8.9766e-05i,0.0012286-0.00025624i,0.00074452-0.00030921i,2.1698e-05-0.0002226i,5.622e-05+0.0002418i,0.0005373+0.0005424i,-9.452e-06-7.6504e-05i,-0.00060216+5.372e-05i,-0.00029496-0.0001225i,-0.00027332+0.00019601i,0.00034404+0.00061657i,0.0009535+0.00012859i,0.00026264+7.7316e-05i,-0.00055283+0.00012993i,-0.00061176-0.00010755i
0.00097083-5.2935e-05i,0.00020932+0.00054071i,7.8846e-05+0.00078635i,0.00083684+0.00014297i,0.00094607-0.00039613i,0.00074448+0.00021184i,0.00071942+0.00054575i,0.00094519+0.000104i,0.00064372-0.00030542i,0.00010126-2.0925e-05i,-2.5148e-05+0.00042775i,-0.00021944+0.00080045i,-0.00074834+0.00048337i,-0.00048437-0.00029392i,0.00039373-0.00025575i,-0.00034564-0.00033447i,-0.00093247-0.00031056i,-0.00036867+0.00088572i,0.00015406+0.001092i,4.5931e-05+0.00076593i,-6.1034e-05+0.00046081i,-0.00021792-0.0001614i,-0.00019234-8.486e-05i
0.00022475+0.0021872i,1.8794e-05+0.0021055i,-0.0010251+0.0021552i,-2.6798e-05+0.00099265i,0.0011975+0.00037735i,0.00097982-0.00049789i,9.4165e-05-0.00025827i,0.00020687+0.00036889i,0.00032634+0.0007688i,0.00037672+0.0010448i,0.00099233+0.00044558i,0.00081705-3.5931e-05i,0.00048606-0.00055428i,0.00023899-0.00086894i,-8.036e-05-0.00061349i,-0.00057583-0.0010345i,-0.0012218-0.00084964i,-0.00070337-0.00029678i,3.489e-05-0.00017394i,-0.00036958+0.00037171i,-0.00049935-0.00014407i,0.00046905-0.00031015i,0.00056593-0.00015163i
0.00088727-0.00061723i,0.0010809-0.001001i,-4.4198e-06-0.0010416i,-0.00022005-0.00054336i,0.00093643-0.00044711i,0.00078896-0.00062092i,0.00075321-0.00060003i,0.00086662+0.00022311i,0.00046742+0.00040594i,0.00061852-8.4547e-05i,-0.0001425+0.00034914i,-0.00087764+0.00040201i,-0.00077069+0.00047179i,-0.00073869+7.5202e-05i,0.00034283-2.8968e-05i,0.00077957+0.00034397i,0.00015272+3.6755e-05i,-0.00018954+0.00017991i,-0.00032372+0.00076324i,-5.4101e-05+0.00057819i,4.3461e-05+0.00046001i,0.00024427+0.00036116i,0.00035933+0.0004045i
0.00083962+0.0029679i,0.00022888+0.0015697i,0.00092257+0.0013707i,0.0010267+0.00074515i,0.00054992-0.00049914i,-0.0002857-0.0014163i,-0.0011732-0.0013465i,-0.00022044+0.00022437i,0.0003875+0.0011675i,0.0002249+0.00047746i,0.00036975-0.00030783i,-0.00029386-0.00038671i,9.2763e-05-0.00023172i,0.00093207+1.1952e-05i,2.9857e-05+0.00035766i,-0.00056025+7.8894e-05i,-0.00082569-1.3332e-05i,-0.0009471+0.00037517i,-0.0005151+0.0003092i,-0.00059299-0.00035696i,-0.00096677-0.0010909i,-0.00036353-0.00049293i,0.00066667+0.00048554i
-0.00063747-0.00097743i,-0.0005841-0.0010878i,-0.0011604-0.00099499i,-0.00087438-0.00040748i,-0.0006417+0.00077842i,-0.00018199+0.0015918i,0.00068424+0.00037419i,0.00021153-0.00084432i,-0.00026928-0.00047622i,-0.00025902+0.0004566i,0.00037399+0.00030568i,0.00085689+0.0003338i,0.00061199+0.00035052i,-3.1601e-05+7.9453e-06i,-0.00023529-5.9576e-05i,-0.00062938-0.00069261i,-0.0015434-0.0010092i,-0.00096238-0.00095347i,0.00030428-0.00014218i,0.0011412-0.00034023i,0.00068013-0.00077802i,0.00012106+0.00026159i,0.00048478+0.00041389i
0.0011275+0.0014282i,0.00073584+0.002011i,0.000459+0.0016998i,0.0010295+0.00016566i,0.0017796-0.0005354i,0.0015047-0.00034556i,-0.00027891-0.00083093i,-0.00094099-0.0011605i,-0.00062301-0.00037729i,-0.00045174+0.00036779i,-3.5e-06+0.00033276i,0.00018039+0.00033435i,-0.00048214+0.00049886i,-0.00096683+8.1757e-05i,-0.00038605-0.00043101i,0.0002779-1.383e-05i,0.0004066+0.00077568i,-0.00020466+0.0011816i,-0.00066445+0.00020797i,0.00053466-0.00098754i,0.00078805-0.00053013i,-0.0002861+7.5788e-05i,-0.0004099+0.00030744i
0.00055965-0.0006776i,0.0011757-0.00060463i,0.00142-0.0017392i,0.00063279-0.0019648i,-0.00032598-0.00062802i,-0.00042618-0.00079128i,0.00048927-0.00070676i,0.00086124+8.1414e-05i,0.0004124+0.00052941i,0.00069204+0.00079972i,0.0008719+0.00032049i,0.00085601-0.00065018i,0.0006496-0.00087488i,0.00015823-0.00075545i,-0.00026186-0.00083041i,-0.00074767-0.00030096i,-0.0013014+0.00044012i,-0.00066089+0.00077933i,0.0002199+0.0001037i,0.00081394-0.00036447i,0.00062883+0.00019939i,-3.8259e-05+6.6382e-05i,0.00057464-0.00034249i
-0.00055595+0.0029419i,-2.5088e-05+0.0037578i,0.0015171+0.0037762i,0.0013221+0.0028419i,0.0005054+0.00041705i,0.00068048-0.00028433i,0.00015959+0.00050764i,2.1187e-05+0.00068978i,0.00020563+0.00040466i,-8.3242e-05-0.00027773i,0.00015644-0.00036184i,0.00054068+3.3995e-06i,0.00060617+7.2557e-05i,0.00041804-0.00049812i,-9.6264e-06-1.6317e-05i,-0.00046931+0.00062801i,-0.00060003+0.0003574i,-0.00014001-7.4339e-05i,0.00042843-0.00087342i,0.00060627-0.0010427i,3.1652e-05+1.2251e-05i,-0.00087642+0.00046918i,-0.00044457+0.00068797i
0.00074503+0.0013235i,-0.00019275+0.0024802i,-0.00058071+0.0019602i,-0.00013139+0.00063985i,0.0013033+8.5074e-05i,0.0014526-0.00084528i,-6.1253e-05-0.00076989i,2.4341e-05-0.00030027i,0.00043138+0.00017632i,1.1955e-05+0.00036663i,0.00027533+0.00033537i,0.00037193+0.00017006i,-0.00047287-0.00053313i,-0.00076863-0.00097937i,0.00010997-0.00068269i,0.00055535+0.00015669i,0.00014642+0.00038185i,-0.00051237+0.00047779i,-0.00070822+0.00062899i,-0.00061864+0.00060847i,-0.00014417+0.00043697i,0.00017526+0.0001628i,0.00011926+5.3409e-05i
0.00060357+0.00048241i,3.0225e-05+0.00014817i,-2.8365e-05+0.00018451i,0.00027889+0.00044921i,-2.0951e-05-9.1351e-05i,0.00093838-0.00015442i,0.00091041-6.3534e-05i,3.0841e-05+4.1937e-05i,-0.00010612+0.0008683i,-0.00060374+0.0013253i,-0.00016341+0.0010818i,0.0010435+0.00056311i,0.00056623-0.00019325i,-0.00068985-0.0001224i,-0.00057299+0.00031898i,-0.00012673+0.00055603i,-0.00043153+0.00051712i,-0.0010805+0.00032704i,-0.00074087-0.00031427i,0.00012781-0.00043297i,0.00051735+0.00019686i,0.00067041+0.00033923i,0.00069587+0.00022353i
0.00025296+0.0018538i,0.00046438+0.001378i,0.0007187+0.00045507i,0.0008712+0.00056404i,0.0012307+0.00031913i,0.0014077-0.0010078i,0.0011278-0.001024i,0.00048937-0.00035019i,-0.00012006-0.00021751i,-0.00012527+7.2767e-05i,0.0010166+0.00021053i,0.0010655+0.00034203i,-0.0002964+0.00013667i,-6.4562e-05-0.00060422i,0.00076322-0.00010733i,0.00065813+4.3483e-05i,-0.00043609-0.0003479i,-0.00071916-0.00022606i,0.00018764-0.00052812i,0.00075157-0.00083343i,0.00068458-0.00045548i,6.0084e-05+0.0003935i,-0.0008324+0.0011723i
0.00054511+0.0015282i,0.00059892+0.0016028i,0.0003642+0.002611i,0.0012239+0.0018527i,0.0015419+0.0004539i,0.00048552-0.00010412i,5.5096e-05-0.00016148i,0.00035316-0.00019344i,-0.00016841-8.5105e-05i,-0.00075261+0.00045166i,0.00015814+0.00073626i,0.00123-0.00018819i,0.00094713-0.00026168i,0.00037822-0.0002352i,0.00037671-0.00031153i,-0.00011447-0.00012013i,-0.000529-0.00036998i,4.1841e-06-0.00033933i,-0.00029491+0.00068878i,-0.00064021+0.0010726i,-0.00067918+0.00066667i,-0.00014327+0.00028234i,0.00092815-0.00036855i
-0.00034943-0.0013966i,0.00090377-0.0011313i,0.00066194-0.0023376i,0.00027796-0.002468i,0.0003066-0.0013272i,0.00012122+0.00020659i,0.00040616+0.00041486i,0.00038467+0.00042426i,-0.00030466+0.0001585i,-0.00065249-0.00067852i,-0.00057735-0.00088869i,-0.00011138-0.00051416i,-0.00040013-0.00025837i,-0.00076557-0.00017018i,-0.00042995-0.00071007i,-0.000184-0.0012284i,-0.00023356-0.00014395i,-0.00034871+0.0010255i,-0.00014183+0.0012487i,0.00057533+0.00017127i,0.00086059-0.00063064i,0.00040361-0.00030981i,5.3303e-05-5.0767e-05i
-0.0018511-0.00084276i,-0.0010046-0.00046674i,-0.0011619-0.00080723i,-0.00038477-0.00078333i,-8.0333e-05+0.00051183i,6.5147e-05+0.00095172i,-0.00046891+0.00020006i,-0.0012212+0.00014377i,-0.00072819+0.00024893i,-0.00058392+0.00030063i,-0.00032839+0.00069217i,0.00034356+0.0003483i,0.00038504-0.0003317i,0.00010825-0.00010626i,0.0001344+0.00016182i,0.00011437+0.00019991i,-0.00073205+0.00038114i,-0.0010292+8.3716e-05i,-0.00054473-0.00041654i,-0.00052088-0.00037376i,-0.0011424-3.378e-05i,-0.001339-0.00023344i,-0.00054563-0.00045064i
3.5969e-06+0.00089291i,-4.0134e-05+0.00025458i,3.9522e-05-0.00073844i,9.0374e-05-0.00055604i,-0.00070748-0.00061781i,-0.0010168-0.0011783i,-0.00047254-0.00084922i,-0.00029946-9.502e-05i,1.0406e-05-7.4101e-05i,-0.00068509-0.00042201i,-0.00044203-3.4261e-07i,0.00025987+0.0004273i,-0.00031285-0.00026734i,-0.00067266-0.0011168i,-0.00065783-0.00092601i,-0.00020009-0.00025592i,-0.00039887+0.00025747i,-0.00080718-0.00011572i,-0.00049696-0.00011256i,-0.00016085+0.00044256i,0.00013365+0.00068786i,0.00028696+0.0008698i,0.00028424+0.00069013i
-0.0014243+0.0016541i,-0.00087789+0.0014228i,-0.00038433+0.0022819i,0.0003562+0.0022581i,0.00043495+0.0014793i,0.00039204+8.053e-05i,0.00034129-0.00076498i,-7.4661e-05+0.00064217i,-0.00011808+0.0013817i,0.00047602+0.0011456i,0.00046229+0.0015835i,0.00046748+0.001483i,0.00040566+0.00084398i,0.00028433+1.1413e-05i,0.00030946+0.00031283i,8.1632e-05+0.001193i,-0.00078536+0.00033543i,-0.00094359-0.00059769i,1.6467e-05+9.0318e-06i,0.00067022+0.00063581i,0.00024648+0.00039792i,-0.00022275-0.0005232i,0.00030269-0.0007423i
-0.0016451-0.00031181i,-0.002104-0.00054678i,-0.00089735-0.00099488i,0.00013606-0.00024696i,0.00021058-0.00015178i,0.00045982-0.00049853i,2.9454e-05-0.00044254i,-8.8668e-05-0.00022343i,0.00036838+0.00042621i,0.00017329+0.0011129i,-0.00047926+0.0010719i,-0.00061484-0.00038922i,-0.00099699-0.00075564i,-0.0010043-0.00070292i,-0.00049621-0.0012499i,-0.00061003-0.00069537i,-0.00083394-0.00073865i,-0.00013582-0.00027634i,0.00013856+0.00087664i,0.00020658+0.0004323i,0.00021196+0.00011239i,-0.00019483+0.00062346i,0.00038179+0.00015141i
0.00075574-0.00033757i,0.000775+0.00024937i,-0.00028419+2.1684e-05i,-0.0011936-0.00028165i,-0.00071266+0.0002173i,-0.00042523+0.00051853i,-0.00033309+0.00038348i,0.00030883+0.00057485i,0.00042912+0.00041215i,-0.00025627+0.00046056i,-0.00038309+0.0014707i,-0.00044128+0.0014879i,-3.5554e-05+0.00021209i,0.00027829-0.0010593i,-0.0006847-0.0014855i,-0.00076435-0.00085574i,-0.00023546-0.00040351i,-0.00068802-0.00047685i,-0.00078232-0.00017699i,6.3337e-06-9.4669e-05i,0.0002804-0.00068299i,-5.6229e-05-0.00058434i,-0.00012328-0.00029864i
-0.00068036-0.00017243i,-0.00087143-0.00077283i,-0.00081939-0.0014957i,-0.0006001-0.0012032i,0.00069978-0.00032723i,0.00081427-0.00016996i,0.00014346-0.00026876i,5.3366e-05-4.3434e-05i,-0.0001283-1.5497e-05i,-0.00013111+0.00054257i,-0.00036572+0.0015518i,-0.00026305+0.0016099i,0.00021194+0.00035734i,-0.0003479-0.00016877i,-0.0004385-9.7122e-05i,-0.00018052+0.00025823i,-0.00024516+0.00036964i,-0.00064336-0.00029709i,-0.00028891-0.0004829i,0.00021747+1.8521e-05i,-0.00026184-0.00030676i,-0.00019691-0.00055714i,0.00027221-0.0001297i
