-0.0053585+0.00080474i,-0.0033621+0.0010803i,-0.0029538+0.0028512i,-0.0011183+0.0037914i,0.00098591+0.0031333i,0.0004663+0.0019076i,-0.00085637+0.0012999i,-0.00032385+0.0017726i,0.00032943+0.0010675i,0.00057329+5.299e-05i,0.00062461-9.5102e-05i,0.00088114-0.00047746i,0.001348-0.0013093i,0.0011721-0.0011781i,0.00081378+0.00034138i,-0.00016934+0.00079761i,-0.0005672+0.00051388i,8.0622e-05+3.928e-05i,0.00026008-0.00044435i,0.00044513+5.6527e-05i,0.0001196+0.0004357i,0.00033259+6.0717e-05i,0.00055574-0.0011002i
-0.00014539-0.0021023i,-0.0001005-0.001052i,-0.00023736-0.00011583i,-0.0011507+0.0007104i,-0.0011083+0.00096498i,-0.00034211+0.00023134i,-0.00058595+0.00033211i,-0.00078458+0.00017479i,-0.00046488+0.00062596i,-0.00047521+0.0016778i,-0.00018693+0.0015023i,0.00011277+0.00072494i,-4.5145e-05+0.00036219i,7.7433e-05+4.0639e-06i,0.00074474-0.00058454i,0.00079206-0.0002684i,0.00012552+0.00058255i,-0.00015155+0.00057096i,0.00017163+0.00022756i,0.0004958+0.0003222i,0.00052433+0.00021501i,9.8623e-05+0.00010997i,0.00021166+3.4294e-06i
0.00094148+0.00027696i,0.0018235+0.0012514i,0.0018391+0.00073424i,0.0011589-0.00086075i,0.00034811-0.0013683i,-0.00043664-0.0012984i,-0.00063213-0.00074421i,-0.00024747+0.00020423i,-9.5222e-05+0.00015455i,0.00053084-0.00040198i,0.0010495-0.00021875i,0.00034448+0.00039402i,-0.00024895+0.00077037i,-0.00053507-0.00012251i,-0.00095414-0.00095659i,-0.0014023-0.00054154i,-0.00069956-0.00047438i,-9.5441e-05-0.00086039i,-0.0002829-0.00039373i,-0.00026468-0.00033502i,-0.0009601-0.00033479i,-0.0013784-0.00011443i,-0.00044841-0.00022629i
0.00044538+4.2944e-05i,-0.0008902+0.0013043i,-0.0010583+0.0017583i,-0.00033016+0.00098001i,-3.2845e-05-0.0003721i,-8.4096e-05-0.0013105i,-0.00050705-0.0010502i,-0.0010452-0.00050732i,-0.00067377+7.1177e-05i,-0.00038358-0.00012294i,-0.00030662-0.00062739i,0.00023287-0.00082216i,-0.00034138-0.00065206i,-0.0012368-0.00032362i,-0.00064081-0.00060447i,-0.0005007-0.00091908i,-0.00058206-0.00032657i,-0.00065663-8.8225e-05i,-0.00025564-0.00040396i,0.00059518-0.00098399i,0.0010749-0.00090847i,0.00091875-0.0008835i,0.00012592-0.0012544i
-0.00015498-0.0017622i,-0.00031507-0.0011192i,0.00014733-0.0011942i,0.00015616-0.00044773i,0.0002931+0.0005972i,0.00017497+0.00036768i,-0.00044824+2.1567e-05i,-0.00055479-0.00024992i,-0.00095427-0.00043046i,-0.00070213+0.00064054i,-0.00043187+0.00092721i,-0.00035755+0.00038003i,-7.1733e-06+0.00015501i,-0.00031575-0.00010523i,-0.00017846-0.00059955i,-0.00025387-0.00070116i,-0.00076197-0.00025443i,-0.00048792-6.5368e-05i,2.6779e-05+0.00018829i,0.00026021+0.00091569i,-5.552e-05+0.0012904i,-3.4967e-05+0.00077721i,0.00034941-4.441e-05i
-6.0518e-05+0.00024361i,-0.00066302+0.0010568i,-0.00060035+0.00085832i,0.00031065+0.00048806i,0.00046821-0.00020022i,-6.687e-05-0.0004421i,-0.00046379-7.7944e-05i,-6.2448e-05+0.00018386i,0.0001295-0.00011882i,-0.00085828+0.0003506i,-0.001326+0.00081917i,-0.00072799+0.00037206i,-0.00014588+2.2874e-05i,0.00045824-0.00025867i,0.00035787-0.00014788i,-0.00030397+9.4481e-05i,-0.00044094+0.00030805i,-0.00085071-0.00017385i,-0.0008585-0.0003174i,-4.922e-05+0.00069527i,0.00043533+0.00057191i,0.00037273+0.00030451i,2.4471e-05+0.00086157i
0.00065031+0.001213i,0.00014117+0.0010188i,0.00064277+0.00051672i,0.00046508+0.00021929i,-0.00084362-0.00024257i,-0.0011845-0.0012593i,-0.00051518-0.0014345i,-9.1942e-05-0.00082546i,0.00014538-0.00045831i,0.0002916-0.001178i,0.00016152-0.0012657i,-0.00016746-0.00093244i,-0.00049876-0.00065868i,-0.00027508-0.00015753i,8.2814e-06-0.0001011i,-5.4758e-05+9.4575e-05i,-0.00010743+8.9972e-05i,0.00034272+4.4143e-05i,0.00016385+0.00032466i,-0.00025985+3.8691e-05i,8.8813e-05-0.00032172i,0.00012555+7.6887e-05i,0.0004687+3.1683e-05i
0.0019005+0.00069612i,0.0014221-0.0008806i,0.00076259-0.0014779i,0.00040152-0.001944i,-0.00036244-0.0020068i,-0.0010701-0.0012867i,-0.00084442-5.4314e-05i,-0.00061364+0.00069292i,-0.0006742+0.00068845i,-0.0004349+6.218e-05i,0.00010671-0.0011094i,0.0006564-0.0013942i,0.00073576-0.00067145i,0.00058822-0.00030802i,0.00019272-8.6473e-05i,-0.00012547+0.00042448i,-0.00058568+0.00024403i,-0.00030581-8.3962e-05i,0.00089197+0.0010104i,0.0009409+0.0012108i,-0.00025312-0.00020191i,-0.0005257-0.00061259i,-0.00027569+0.00010509i
-0.0013262-0.0019201i,-0.0021421-0.0010063i,-0.0023997+0.00023155i,-0.0025832+0.00066374i,-0.0027477+0.000367i,-0.0022006-0.00063503i,-0.0020981-0.00071321i,-0.0013027-0.00057802i,-0.00040779-0.00059617i,-0.00051316+0.000166i,-7.1803e-05+0.00064986i,9.9692e-07+7.4963e-05i,-8.9839e-06-0.00051688i,0.00045959-0.00071233i,0.00032566-0.00022244i,-0.00042495+0.00013952i,-0.00069011-0.00056107i,-7.7269e-05-0.0009087i,-0.0002128-0.00054761i,-0.00060016-0.00011882i,-0.00026147-0.0003925i,-0.00015153-0.00081093i,-7.4841e-05-0.00050919i
-0.00053372+0.00068132i,1.8444e-05+0.00092539i,-0.00039855+0.001284i,-0.00092009+0.0013494i,-0.00089167+0.00086087i,-0.00054998+0.00046643i,-2.9863e-05+0.00029322i,0.00021762-0.00027914i,0.00027745-0.00032176i,0.00060621+0.00053791i,0.00049858+0.0005324i,-0.00015054+6.7524e-05i,-0.00026644+0.00010267i,0.0006019-8.1658e-05i,0.0011839-0.00044274i,0.00074509-0.00010385i,0.00041478+0.00082492i,0.00046493+0.00041249i,-0.00010633-0.0004907i,-0.00060701-0.00056767i,0.0001986-0.00043787i,0.00099017-0.00011404i,0.00083412+0.00024182i
-0.00013222+0.0001774i,-0.0013036-0.00052814i,-0.0013739-0.0010293i,-0.00028356-0.0010989i,7.3705e-05-0.0011192i,-0.0010878-0.00049154i,-0.00094676+0.0003692i,0.00044961+0.00073775i,0.00075895+0.00023737i,-2.8282e-05-0.00023848i,-0.00034699-0.00023903i,-0.00028795-0.0003203i,0.00014369-7.5067e-06i,-0.00026559+0.00038841i,-0.00063343+0.00022968i,-0.00044561-6.2348e-05i,-0.00040729-6.7514e-05i,-0.00026173+0.00039209i,-0.00027279+0.00061637i,-0.00062699+0.0008275i,-0.00038976+0.0006488i,-0.00014217-0.00017214i,0.00035038-8.0344e-05i
0.0012289+0.00034291i,0.0011961+0.00060833i,0.00060906-4.1377e-06i,-0.00018258+0.0002763i,-0.00088248+0.00064369i,-0.0014092+2.9137e-05i,-0.0013362-0.0004144i,-0.0010805-0.00049772i,-0.00072089+0.00013953i,-0.00052689+0.00088483i,-0.00041554+0.00052854i,-0.00016905+0.00029798i,0.0001342+0.00048673i,-0.0001006-0.00023527i,-8.9228e-05-0.00012107i,-0.00050847+0.00013363i,-0.00084377-0.00050357i,-8.7019e-05-0.00079139i,0.00024585-0.00062286i,0.00011861-7.9406e-05i,0.00052206+0.00065344i,0.00015326+0.00098723i,-0.00052894+0.0010381i
0.00038945+0.00044118i,0.00070172+0.0003175i,0.00097777+0.00032046i,0.00057768-0.00038561i,-0.00034302-0.0013574i,-0.00071589-0.0014269i,-0.00057317-0.00058215i,-0.00048308+0.00023419i,-0.00024055-8.8065e-05i,-0.00055475-0.00051756i,-0.00092094-0.00073188i,-0.00031419-0.0010617i,0.00030712-0.00069222i,-0.00033517-0.00041852i,-0.0013594-0.00073665i,-0.0007653-0.0007789i,0.00052907-0.0002565i,0.00040851-5.6284e-05i,0.00015903+0.00040012i,-0.00010868+0.00047109i,-0.00011571+0.00014457i,9.7813e-05+0.00035911i,0.00019042+0.00076861i
-2.1931e-05-2.6049e-05i,5.59e-05-0.00017367i,7.5937e-05-0.00023414i,0.00030286-0.00027073i,3.3503e-05-0.00031099i,-0.00046207-0.00019557i,-0.00092188-0.00081953i,-0.00068635-0.001061i,2.7364e-05+8.6992e-05i,-0.00020615+0.0010687i,-0.00036515+0.00036235i,0.00059749-0.00035928i,0.0013274+0.00032179i,0.00081841+0.00072755i,-0.00058119+0.00036687i,-0.0010556-0.00023587i,5.5779e-06-0.0006271i,0.00077891-0.00041722i,8.3063e-05-0.00021473i,-0.0005399-0.00023517i,-0.00068159-9.8946e-05i,-0.00078257+0.00018809i,-0.00043581+0.00033667i
-0.00018845+0.00020559i,-0.00049466+0.00028257i,-0.001247+0.00034795i,-0.00061398+0.00044833i,0.00052725-9.7575e-05i,0.00074561-0.00030716i,5.7399e-05+0.00020128i,-0.0014592+0.00040614i,-0.0018842+0.00036356i,-0.0010475+0.00051069i,0.0002064+0.00071733i,0.00088015+0.00090733i,0.00063208+0.00051957i,-0.0004275+0.00020435i,-0.00048747+0.00036271i,0.00063263+0.000371i,0.0007056+0.00032997i,0.00026432-0.00028887i,9.8264e-05-0.00029756i,9.1419e-05+0.0011205i,5.9794e-05+0.0013498i,-0.00017695+0.00042839i,-0.00049306+0.00010198i
0.0017068-0.0013539i,0.00089899-0.0014562i,-0.00031155-0.0017595i,-0.0018011-0.00073158i,-0.0016169-0.00060683i,-0.00072098-0.00016719i,-0.00059908+0.0001653i,-0.00032837-5.5743e-05i,-2.5641e-05+9.9262e-05i,0.00030144+0.00064528i,0.00065973+0.00061339i,0.00057767+0.00058071i,0.00062565+0.00052052i,0.00086305+0.00019234i,0.00071182-0.00057275i,0.00014144-0.00044629i,-6.358e-05-3.2518e-06i,-0.00012336+0.00010395i,-0.00041614+0.00039855i,0.00060213+8.2971e-05i,0.00083993-0.00050416i,0.00031337-0.00062929i,0.00039211-0.00046569i
-0.00039548+0.00099286i,-0.0011344+0.00087956i,-0.0004682+0.00076945i,0.00011848+0.00068638i,-0.00017351+0.00038066i,-0.00053015-0.00030624i,-0.00027151-0.001043i,-0.00039058-0.00074991i,-9.5345e-05-1.932e-06i,0.00023645-0.00019475i,-0.00012835-0.00025566i,-0.00019901-0.0005865i,0.00036178-0.00091303i,0.00024341-0.00097599i,0.00015694-0.00050802i,0.00035354+0.00019934i,0.00020238+0.00032154i,-8.3255e-05+0.00010508i,-0.00065988+6.0606e-05i,-0.00072422+0.00051446i,0.00012879+0.00075288i,0.00048246+0.0006417i,0.00036363+0.00021671i
-0.00095679-0.00039119i,-0.0020919-0.00068884i,-0.0010615-0.00029592i,0.00029191-1.9717e-05i,0.00097886-0.00076905i,0.00072954-0.0010212i,-0.00033916-0.00083074i,-0.00044752-0.00056829i,-0.0001998-0.00039311i,1.4632e-05-0.00020364i,-4.9733e-05+0.00026618i,-0.00018768+0.00023825i,-7.0856e-05+4.2532e-05i,0.00017903+0.00035312i,0.00092301+0.00078708i,0.0010871+0.00060193i,0.00070497-1.7769e-05i,0.00022341+0.00022957i,-0.0002677-0.00015908i,-0.00041824-0.00089455i,-0.00061128-0.0006154i,-0.00023467-0.00011005i,0.0005228+5.7457e-05i
-0.00057378+0.0011166i,0.00031513+0.0018721i,0.00072293+0.0016118i,0.00031585+0.00080705i,0.00026316+0.00011911i,-0.00016395-7.4587e-05i,-0.00074124-0.00034396i,-0.00059209-0.00027021i,-0.00068093+0.00038673i,-0.00090502+0.00011323i,3.3631e-06-0.00033843i,0.00030372-0.00042225i,0.00016353-0.00070327i,0.00024253-0.0010838i,0.00048233-0.001312i,0.0005236-0.0009047i,0.00048733-0.00057169i,0.0010455-0.00077i,0.0012258-0.00058499i,0.00041512+0.00015607i,-0.00013205-0.00014524i,0.00050608-0.00022578i,0.00087501+0.00011823i
-7.6659e-05+0.0010186i,0.00010634+0.00030118i,0.00038023+0.00017341i,0.00017469+0.0013982i,0.00014611+0.00085199i,0.00074641-0.0010365i,0.00043068-0.0012676i,-0.00086495-1.1248e-05i,-0.001199+0.00091151i,-0.0001713+0.00097024i,0.00070509+0.0009817i,0.0011036+0.0006662i,0.00077735+0.00038833i,0.00057776+0.00017275i,0.0003835+0.00011892i,-6.6738e-05-0.00015758i,-0.00021063-0.00019307i,-0.00010326+0.00059322i,0.00022627+0.00062367i,0.00076176+4.3646e-05i,0.00091483+3.0195e-05i,0.00070259+7.9118e-05i,0.00067551+4.7494e-05i
-0.00060715+0.00065149i,-0.0015289+0.00088895i,-0.0010675+0.0017684i,-0.00054188+0.00090647i,-0.00074989-0.00034359i,-0.00092332-0.00084784i,-0.00082759-0.00080398i,1.8699e-05-0.00083851i,0.00036168-0.0004909i,6.6485e-05-0.00044468i,-0.0002507-0.0008714i,8.3792e-05-0.00027119i,-0.00017702-0.00029752i,0.00019812-0.00094941i,0.00073111-0.00018927i,-2.5268e-05+0.00068157i,-0.00035505+0.0010062i,-3.9776e-06+0.00061467i,0.00011414-0.00014588i,0.00015133+6.4362e-05i,-3.7833e-06-0.00059762i,5.3607e-05-0.00086467i,0.00032875+0.00031943i
-0.0013735-0.001226i,-0.0012351-0.0014552i,0.00038802-0.0017183i,0.001541-0.00089601i,0.0015051-2.7915e-05i,0.00023557+7.0083e-05i,-0.00074644-0.00032182i,-0.0012463-0.00043944i,-0.0017672+0.00058017i,-0.001009+0.0011553i,5.9558e-05+0.00089882i,0.000278+0.00053568i,3.7955e-05-0.0001549i,0.00019423-0.00055694i,-0.00027456-0.00054108i,-0.00073865-0.00023023i,9.0212e-05+0.00032323i,0.00074414+0.00034962i,0.00043356-0.0004058i,-0.00041031-0.00017749i,-0.00067343+0.00024788i,-8.1467e-05+0.00019181i,0.00063446+0.0005144i
-0.0023944+0.0011224i,-0.0020282+0.0019512i,-0.0009658+0.0026488i,0.0010151+0.0018827i,0.0016473+0.00036921i,0.00041659-0.00078789i,-0.0013822-0.0015846i,-0.00098415-0.0015621i,4.9683e-05-0.00040593i,0.00040429+0.00050535i,0.00060968+0.00039927i,0.0003495-0.00019704i,0.00046829-9.3122e-05i,0.00079452+7.8916e-05i,0.00072081-0.00014163i,0.00014705+0.00023695i,-0.00059601+0.00022941i,-0.00067637-7.4846e-05i,0.00015755+0.00036552i,0.00037791+0.00040553i,0.00069685+0.00013584i,0.00028328+5.1513e-05i,-0.00012595-0.00019564i
-0.00058815-0.00068605i,-0.0010193-0.0006848i,-0.0010929-8.4354e-05i,0.00025735+0.00048776i,0.0010468+0.00025097i,0.00096087-0.00039871i,0.00024439-0.00082325i,-0.00044234-0.00045479i,-0.00080464+0.00027207i,-0.00028416-0.00011382i,0.00013936-0.00025012i,0.00041909-0.00014754i,0.00062008-0.00019114i,0.00039625-0.00037332i,0.00052852-0.00060743i,0.0011706-0.00015396i,0.00088235+0.00086287i,-0.00011158+0.00059889i,-0.00067357-0.00011754i,-0.00027609-0.00047444i,-6.2823e-05-0.00059705i,2.1306e-05-0.00051062i,-0.00015558-0.00017997i
0.00017127+0.00023729i,3.1908e-05+0.00090308i,0.00020391+0.0014174i,0.0002371+0.0015322i,-0.00051104+0.0010304i,-0.00059371+0.00024477i,-0.00096956-0.0010113i,-0.001395-0.00087068i,-0.0013136+3.9064e-05i,-0.0010672+0.00044837i,-0.00041951+0.00017744i,0.00014456-0.00030142i,0.0010105-0.00042506i,0.0007149-0.00031226i,-0.00028642-0.00018773i,-0.00072959-0.00022135i,-0.00094174-0.0011623i,-0.00038447-0.001405i,-0.0001666+0.00014412i,-0.00027683+0.0012737i,-0.00034538+0.00099696i,0.0003205+8.3321e-05i,0.00083392+3.5397e-05i
-0.0010875+0.0009131i,-0.0015474-8.4438e-06i,-0.00056846-2.9689e-05i,0.00082236-0.00055226i,0.0012888-0.0017067i,-0.00012171-0.0021706i,-0.0013651-0.0012545i,-0.0018757+0.00011568i,-0.0016671+0.00052947i,-0.00039346+0.0005961i,0.00028054+0.00064517i,0.0004117+0.00037596i,0.00020047-0.00040283i,0.00043236-0.0011299i,0.0012067-0.00087165i,0.00083105-0.00068615i,-2.7861e-05-0.00040355i,-0.00067691+0.00030196i,-0.001217+0.00036243i,-0.0003288+3.2027e-05i,0.00037157+9.6209e-05i,1.978e-05+0.00024151i,-0.00081681+7.4258e-06i
9.6444e-05+0.00029605i,-9.5185e-05+0.0014082i,0.00084742+0.0013513i,0.0013292+0.0014467i,0.00075967+0.0003164i,-0.00038472-0.0016754i,-0.0011221-0.0013975i,-0.00072423-7.0254e-05i,-3.2867e-05-4.5889e-05i,0.00088109+4.2329e-05i,0.001358+7.8534e-05i,0.0011857-0.00054375i,0.00029966-0.00053064i,-3.6863e-05-0.00028626i,-4.7824e-05-0.00035229i,-0.00047999-0.00089505i,-0.00073059-0.00095145i,-0.00052814+9.4638e-05i,-0.00063343+0.00096687i,-0.0005075+0.001241i,-0.00055118+0.00063086i,-0.00081531-0.00024384i,-0.0011284-0.00080818i
-0.001024-0.00055962i,-0.0013019-0.00082423i,-0.00088435+0.00030361i,0.00042716+0.001376i,0.0013941+0.00089677i,0.001626-0.0003823i,0.00058621-0.00040064i,-0.0006479+0.00068797i,-0.00077443+0.00091442i,-4.3558e-05+0.00029108i,0.00055784-0.00025541i,0.00034149-0.0006512i,0.00071434-0.00049011i,0.0013187-0.00016998i,0.0011382+0.00032454i,0.00046752+0.00026315i,6.6785e-05-0.00030509i,2.6885e-05+9.6067e-05i,2.6909e-05+0.00031668i,-0.00014733+0.00056319i,-0.0002463+0.00030319i,0.00013389-0.00026571i,0.00079059-0.00023244i
0.0014511-0.0014744i,0.0011584-0.00095012i,-2.6397e-05-0.0018243i,-0.0003282-0.0024897i,-0.00049387-0.002445i,-0.001967-0.0009908i,-0.0024809+0.00026361i,-0.0012652+0.00032297i,-0.00041324-3.4903e-05i,-0.0006893-0.0001648i,-0.00073111+0.0001224i,0.00034327+9.677e-05i,0.00039736-0.00038342i,-0.00041542-0.00028786i,-0.00026771-0.00017762i,0.00011164-3.5642e-05i,0.00039446+0.0005548i,0.00054855+0.00070542i,3.225e-05+0.00082657i,-0.00022561+0.00041916i,-0.00013662-0.00011909i,-0.00040866-0.00036099i,0.00023845-0.00045489i
