0.0014354-1.603e-05i,0.00071322-0.0019395i,-0.0010692-0.0030053i,-0.0023856-0.0020567i,-0.0027685-9.3016e-05i,-0.002208+0.0015879i,-0.0010397+0.0019766i,0.00016132+0.00089368i,0.00060877-0.00010901i,9.1491e-06-0.00039796i,-0.00022252-0.00053373i,-7.5024e-05-0.00082438i,-0.00012561-0.00041259i,-0.00057481+0.00027729i,-0.0010808+0.00078429i,-0.00012595+0.00098401i,0.00049271+0.00092875i,-0.00046912+0.0013829i,-0.00099483+0.0017722i,-0.001046+0.0002726i,-0.00091187-0.00087162i,-0.0006062-0.00019315i,-0.0004069-4.9001e-05i
-0.0019595-0.0018598i,-0.0040108-0.001542i,-0.0046108-0.00042056i,-0.0031006+0.0015827i,-0.0019308+0.0027028i,-0.00153+0.0017301i,-0.00046401+0.0004086i,-9.0219e-06+0.00034229i,-0.00022232+0.0010518i,-0.00025476+0.0015722i,-7.3105e-05+0.00062928i,-0.00010134-0.00026143i,-0.00018356-0.00051932i,-0.00062901-0.00075641i,-0.001304-0.00056079i,-0.00096682-0.00053076i,0.00013489+1.924e-05i,0.00032447+0.00030209i,0.00015534-0.00014073i,0.00040295-0.00063743i,0.00082521-0.00065798i,0.00075192+0.00024647i,0.00026148+0.00075828i
-6.763e-05-0.0016364i,-3.0219e-05-0.0021325i,-0.0011366-0.0017667i,-0.0018689-0.00025951i,-0.0013691+0.0012198i,-0.00024289+0.0011043i,1.9067e-05+0.0011837i,0.00056522+0.0012908i,0.00062735+0.0013505i,0.00010424+0.0011445i,-0.00040895+0.00021599i,-0.001195-0.00019925i,-0.0014413-0.0001588i,-0.00025746-0.00035914i,0.00036006-0.000408i,-0.00031196-0.00015829i,-0.00063706-0.00020135i,-0.00033677-0.00092072i,0.00020076-0.0011217i,0.00072472-0.00021791i,0.00078623+0.00040127i,0.00025167+0.00092559i,-0.00018882+0.00080106i
-0.002482-0.00083984i,-0.0020575+0.0012872i,0.00046263+0.0024475i,0.0018235+0.0012514i,0.0019882-0.0002196i,0.001393-0.00046969i,0.0011095+0.0001404i,0.0022594+0.00023204i,0.0029781-0.00016097i,0.0017325-0.00063842i,0.00012487-0.00074289i,-0.00046161-0.00068276i,-3.5776e-05-0.0002923i,-2.9102e-05+0.0004576i,-0.00055088+0.00021176i,-0.00067313+0.00040272i,-0.00033956+0.00068025i,-8.3188e-06-4.6271e-06i,0.00054518-0.001004i,0.00079209-0.0012978i,6.3182e-05-0.00032997i,-0.0003026-5.1295e-06i,9.9246e-05+0.00015301i
0.00021707-0.0022461i,0.0019459-0.0019501i,0.0014803-0.00021935i,0.00079564+0.00027749i,0.00075995-0.00029375i,0.00069565-0.00053359i,0.0010519-0.00042913i,0.00056404-0.0014078i,-0.00023997-0.0022554i,-0.00018862-0.0011426i,0.00024039+0.00010923i,-0.00022664+0.00070619i,-0.00061639+0.00080867i,0.0004507+9.9489e-05i,0.00049039-0.00051899i,-6.5303e-05-0.0004009i,-0.00036027-0.00032426i,-0.00065335-0.00057124i,-0.00080091-0.00019765i,-0.00093247-0.00015079i,-0.0015197+0.00014736i,-0.0010204+0.00070483i,4.4037e-05+0.00048118i
-0.00076654-0.0023597i,0.00021307-0.0020784i,-5.9761e-06-0.001672i,0.00025445-0.00039135i,6.1687e-05+0.00050033i,-0.0012257+0.001327i,-0.0013602+0.0011293i,-0.00083598+0.00053229i,-0.0012119+0.00053132i,-0.00093147+0.00059654i,-0.00039697+0.00095212i,0.00044035+0.00024528i,0.0011295+0.00035808i,0.00043435+0.00091772i,-0.00028293+0.00035603i,0.00017054-0.00034294i,0.00055454+3.0396e-05i,-1.0057e-06+0.00032747i,-0.00017696-0.00022443i,0.00024184-5.8393e-05i,0.0003168+0.00020773i,0.0004686-2.3508e-05i,0.0012882+1.227e-05i
0.0010161-0.0016576i,0.00041399-0.0018155i,-0.0014423-0.0012731i,-0.0024221-0.00087123i,-0.0027508+0.00010784i,-0.0015946+0.0010949i,-0.00055614+0.0010502i,-0.00016041+0.0013251i,0.00026398+0.0019596i,-0.00012234+0.0018219i,-0.00022704+0.0010917i,-0.00043411+0.00024753i,-0.00047194-0.00061855i,-0.00023372-0.00057935i,0.0001097+4.8934e-05i,1.5251e-06-0.0002111i,0.00018952-0.00038374i,0.00078295+0.00010731i,0.00085529+0.000102i,0.0006242-0.00011353i,0.00034936-0.00015217i,0.00025941-0.00027271i,-0.00011275-0.00050099i
0.00051043-0.00065818i,0.00014368-0.0023058i,-0.00048242-0.0027511i,-0.0017025-0.0023326i,-0.0019252-0.00067621i,-0.00048081+0.0012929i,0.00094206+0.0024323i,0.0023646+0.0026979i,0.0022323+0.0016037i,0.0008334+0.00010749i,0.00026201-0.00049733i,0.00037025-0.00081386i,3.6748e-05-0.00075652i,0.00019911-2.9873e-05i,-0.00011579+0.00043197i,-0.00089098+7.1679e-05i,-0.00046116-0.00032347i,9.0438e-05-0.00052703i,0.00050251-0.00070628i,0.00070135-0.00081733i,0.00045586-0.0014895i,0.0001705-0.0017665i,0.00021818-0.0011504i
0.0022403-0.00016557i,0.0013403+0.00069247i,-0.00012165+0.00057969i,-0.00040706+0.00051644i,0.00034876+0.00089112i,0.00024088+0.0011228i,0.00050993+0.0011152i,0.0013585+0.00034689i,0.0020157-0.0020844i,0.001979-0.0025212i,0.0013188-0.0005329i,0.0004103+0.00028658i,-0.00062346+0.00094152i,-0.0011889+0.0013774i,-0.00089345+0.00081568i,-0.00021911+0.00080947i,-0.00046937+0.00063827i,-6.4523e-05-0.00022044i,0.00088355-0.00082617i,0.00079197-0.0015007i,9.2035e-05-0.00168i,-0.00023781-0.00096431i,0.00012085-0.00048212i
-0.00070722-0.0033157i,-0.00047144-0.0042134i,-0.0010258-0.0041837i,-0.0015242-0.0015507i,-0.00077747+2.0973e-05i,-0.0002848-0.00058511i,-1.2444e-05-0.00098027i,0.00036168-0.0011738i,-0.00073034-0.0018162i,-0.0010328-0.0012371i,4.1702e-05+0.00024491i,0.0002664+0.0012932i,0.00079346+0.001183i,0.00046111+0.00014237i,0.00037611-0.00052037i,0.0008977-0.00045i,0.00077589-9.132e-05i,-0.00042944+0.0002854i,-0.00091573+8.207e-05i,-0.00048982-4.6273e-05i,-0.00021576+0.00025522i,-0.00029924-0.00046632i,-2.3507e-05-0.0006631i
0.0010281+0.0012817i,0.00083234+0.001461i,0.0018207+0.0018997i,0.0020643+0.0011264i,-0.00040728-0.00035764i,-0.0027178+8.6932e-05i,-0.0023995+0.00051695i,-0.0015389+0.00045252i,-0.0015185+0.0011523i,-0.0015956+0.0013073i,-0.00022556+0.00038756i,0.00048447+7.1162e-05i,-0.00045905+0.00042412i,-0.0015976-1.0862e-05i,-0.0021183-0.00041574i,-0.0013137-0.00022897i,-0.00011354+0.00049018i,0.00035534+0.0013631i,8.24e-06+0.0010375i,-0.00038502+0.00017439i,-0.00026649-0.00033007i,-4.4771e-05-0.00013377i,-0.00053732-0.00011958i
-0.0022302-0.0013757i,-0.0013275-0.0012049i,-0.0012367-0.00039318i,-0.00061155+0.0012111i,0.00034938+0.002483i,0.00075884+0.0025804i,0.00073168+0.0026426i,0.0001505+0.0027351i,-0.00066556+0.0026533i,-0.00030933+0.0024774i,0.00058777+0.00053864i,0.0007242-0.001251i,0.00073575-0.0014717i,0.00062954-0.0014379i,0.00039934-0.00070759i,-0.00048977-3.2551e-05i,-0.0008498+0.00033916i,-0.00073936+0.00061097i,-0.00039921+0.00065904i,0.00098182-0.00025528i,0.00094264-0.00044811i,0.00065795-4.102e-05i,0.0003469+0.00013358i
-0.00047242-0.0025006i,0.00020914-0.002218i,0.00067131-0.0025126i,0.00034407-0.0021976i,1.6161e-05-0.0011042i,0.0002323+0.00010246i,0.0018058+0.00052187i,0.0024685+0.00063777i,0.0021645+0.0010259i,0.0021037+0.00077481i,0.00051917+0.00044143i,-0.00087611-0.00021837i,-0.00093733-0.00094064i,-0.00018615-0.00067168i,0.00054521-0.00025831i,0.00044176+0.00069932i,0.00033739+0.00080434i,0.00020059-0.00053045i,0.00023662-0.0013546i,-5.4137e-05-0.0015352i,-0.00041596-0.0013665i,0.0001776-0.00077687i,0.00035545-0.00052785i
0.0032091-0.00068908i,0.0032215-0.00062495i,0.0012192-0.0009636i,-0.0015182-0.0020031i,-0.002316-0.0015652i,-0.0020115-0.00036348i,-0.00050408+0.00054545i,0.001663-0.00010255i,0.0020913-0.0022802i,0.00098492-0.0024531i,0.00031853-0.00040811i,-5.439e-05+0.00062331i,-0.0005517+0.00074344i,-0.00074428+0.00021465i,-8.0649e-05-4.3763e-05i,0.00061058+0.00033349i,0.00054486-0.0003446i,-0.00052781-0.0010864i,-0.0010703-0.00040879i,-0.00097019+0.00020858i,-0.00014835+4.9117e-05i,0.00071714-0.0001273i,-0.00019991-0.00030658i
0.001461-0.0015666i,0.0012012-0.0036429i,0.00013829-0.0037359i,-0.00047968-0.0016582i,-0.0010782-0.00040043i,-0.0015631+0.00013538i,-0.00088969+0.00052756i,-0.00029237+8.7897e-05i,-0.001209-0.001563i,-0.0013848-0.002382i,-0.00039293-0.0013028i,0.00080591+0.00018859i,0.0015491+0.00073055i,0.00095305+0.00052394i,1.1242e-06-3.3357e-05i,-0.00030763-0.000536i,6.6858e-05-0.00073437i,0.00021234-0.00053915i,0.00024358+0.00018749i,-6.1325e-05+0.00078901i,0.00025972+0.00047855i,0.0012948-7.0634e-05i,0.0010751-0.00074901i
0.00068616+0.00029209i,0.0012654-0.00051549i,0.00047802-0.0001441i,-0.00066969+0.00042265i,-0.0019557-0.00016391i,-0.0024952-0.00087204i,-0.0025987-0.00062006i,-0.0019566-2.1372e-05i,-0.0014117+8.5964e-05i,-0.00096822+0.00035303i,-0.00048443+0.00039305i,-0.00037958-0.00055448i,0.00048307-0.00022486i,0.00042446-0.00038824i,-0.00014246-0.0010752i,-0.00033849-0.00070607i,-0.00029696-0.00069493i,0.00025749-0.00054122i,0.00031533-0.00048727i,6.639e-05+7.081e-05i,2.9576e-05+0.00091373i,0.00040074+0.00063755i,0.00029625+0.00023648i
0.0012392+0.00084957i,0.0024821+1.3689e-05i,0.0032545-0.00087724i,0.0027512-0.0014099i,0.00059039-0.0010407i,-0.0018024+0.0001558i,-0.001362+0.0018542i,8.299e-05+0.002684i,0.00035749+0.0026704i,0.00065842+0.0026744i,0.00025293+0.0016617i,-0.00078219+0.00019262i,-0.0019428-0.00063048i,-0.0024161-0.00034817i,-0.0018209-0.00020714i,-0.00173-0.00046708i,-0.00074675-0.00024542i,0.00026175-0.0010096i,0.0001779-0.0011764i,0.0001978-0.00087484i,-2.3358e-05-0.00032829i,-3.6661e-05+0.00031873i,2.3859e-05+0.0005104i
0.00028307+9.2362e-05i,-0.00054576+0.00018235i,-0.0011523-0.00073731i,-0.00059617+5.0126e-05i,0.00027746+0.00082561i,0.0010118+0.0016201i,0.0013948+0.0020742i,0.0024098+0.0015303i,0.0031683+0.0010306i,0.0027219+0.00075954i,0.00086286+0.00044632i,-0.00095541+0.00056583i,-0.0016271+0.00033875i,-0.0014668+0.0009385i,-0.0010036+0.00062088i,-0.00036693-0.00040832i,-0.00016942+0.00014825i,-0.00046527+0.0008498i,0.00017391+0.00018996i,0.00050129-0.00066686i,-1.5601e-05-0.00056399i,-1.1651e-05+0.00072034i,0.00025797+0.00089793i
-0.0011194+0.001666i,0.00040813+0.0015647i,0.0016425+0.0017467i,0.0013091+0.00089304i,0.00064156-0.00087587i,-0.00010989-0.0021249i,0.00013986-0.0015088i,0.00058523-0.00090097i,0.00028632-0.0020323i,0.0008341-0.0026708i,0.0015992-0.0015098i,0.00060314-0.00013789i,-0.0015003+1.194e-05i,-0.0018101-0.00080573i,-0.0010692-0.0014735i,-0.00034111-0.0010758i,6.9971e-05-0.00028032i,-0.00094642-0.00062353i,-0.0010872-0.00097062i,-0.00052382-0.00070236i,3.1462e-06-0.00063208i,0.00015555+0.00039584i,-0.0001521+0.001088i
0.0016811-0.00037925i,0.0018894-0.00090531i,0.0012924-0.0013154i,0.00045608-0.0012823i,-0.00055671-0.00094598i,-0.0016021-0.00084851i,-0.0013705-0.0014552i,-0.00099418-0.0024068i,-0.0018434-0.0024737i,-0.0022687-0.0016166i,-0.0013639-0.00084813i,0.00025889-0.00059439i,0.00078047-0.00021066i,0.0012812+3.2821e-05i,0.0017834-7.3612e-05i,0.00051416-0.00011938i,-0.00039079-0.00091824i,-0.00016217-0.0012353i,-0.000263-0.00028547i,-0.00046624+0.0003105i,-0.00017054+0.000426i,0.00018888+0.00058821i,0.00034685+0.00082922i
0.0010164-0.00025577i,-0.00015227-0.00014714i,-0.0010608-0.00067183i,-0.0016223-0.00024279i,-0.0021037+0.00014676i,-0.0021825+0.0012391i,-0.0022831+0.0017395i,-0.0016985+0.0011895i,-0.0021901+0.0011317i,-0.0026784+0.00059273i,-0.0019333-4.1244e-05i,-0.0012864+0.00016836i,9.2516e-05-0.00022193i,0.00034382-0.0012907i,0.00010741-0.0012606i,0.00030927-0.00013223i,0.00027141+5.9717e-05i,0.0002621+7.4806e-05i,6.9908e-06+0.00075351i,0.00045121+0.0011206i,0.00045815+0.00084728i,6.9427e-05+6.5597e-05i,-0.00037724-0.00047628i
-0.0046568+0.0018831i,-0.0052345+0.0030585i,-0.0041838+0.0030309i,-0.0023853+0.0031605i,-0.00082155+0.0032482i,0.00055947+0.0031907i,0.0007832+0.0027159i,0.0010412+0.0023383i,0.0006485+0.0026217i,0.00064487+0.0029553i,3.8819e-05+0.0017423i,-0.00043187-0.00053726i,-0.00031349-0.0014869i,3.7408e-06-0.0018027i,0.00096019-0.00098038i,0.00046384-0.00021051i,-0.00064228-0.00035702i,-0.00085923-0.00032396i,-0.00013976-0.0017539i,0.00023598-0.0021754i,0.00057468-0.00036255i,0.0012427+0.0010878i,0.0013728+0.0006667i
-0.0015963+0.0010822i,-0.0013509+0.0019514i,-0.00088699+0.0025696i,0.00032246+0.0019232i,0.0017625+0.0016752i,0.002454+0.001126i,0.0026618+0.00082944i,0.0032038+0.0012529i,0.0031222+0.0011307i,0.0021389+0.00067613i,0.0006447+0.0010305i,-0.00024773+0.0010156i,-0.00076395+0.00050126i,-0.0011285-0.0001593i,-0.00082608-0.00082147i,-0.00049685-0.00020631i,-0.00054849+0.00036013i,-0.00021039-2.065e-05i,9.5094e-06-0.0005269i,-0.00040193-0.0010733i,-0.00053823-0.00081708i,-0.00057387-0.00060026i,0.00011149-0.00095418i
-0.00088725-0.0022128i,-0.00023011-0.00037187i,0.00016417+0.001891i,0.00084527+0.0020593i,0.0024262+0.001002i,0.0034249-0.0002541i,0.0035865-0.0013754i,0.0034631-0.0026981i,0.0025125-0.0033909i,0.0012606-0.0019641i,0.00066805-0.000609i,0.0011862+6.3383e-05i,0.0011572+0.00038315i,0.00059306-0.00022002i,0.00029049-0.00062268i,0.00078389+0.00035977i,-4.3518e-05+0.0011864i,-0.0011882+0.00081688i,-0.00059146+0.00058642i,-0.00017976+0.00040239i,-0.0002872+2.7429e-05i,-0.00045046+0.00063479i,-0.00058247+0.0012766i
-0.0014262-0.00032349i,-0.00059129-0.00017976i,-9.876e-06+0.00015799i,0.00017528-0.00010002i,0.00032554-0.0013283i,-0.0010463-0.0022771i,-0.0017476-0.0030968i,-0.0010911-0.0034263i,-0.0014351-0.0023045i,-0.0020407-0.0010535i,-0.0012909-0.00067964i,-0.00036084-0.00089777i,-0.00014953-0.00048267i,6.735e-05+0.00061489i,0.00064155+0.00012457i,0.00113+0.00014798i,0.00033969+0.0010715i,-0.00098618+0.00073088i,-0.00088293+0.00063852i,-0.00036114+0.00085723i,-0.00019967+0.00020146i,-4.539e-05+2.8692e-05i,0.00050597-0.00061776i
0.0010427-3.6329e-05i,0.0014138-0.0019485i,0.0018889-0.0036127i,0.00045416-0.0041907i,-0.0026985-0.002264i,-0.0051277+0.00054774i,-0.0049367+0.0022456i,-0.0036243+0.0022707i,-0.0030024+0.00087049i,-0.0019932+0.00023783i,-0.0007812+0.00036536i,-0.00071021-0.00015103i,-0.001466-0.00064159i,-0.0017462-0.0006104i,-0.0012533+0.00018124i,-0.00078986+7.8069e-05i,7.506e-05-0.00027748i,0.00088454-0.00035493i,0.0007829+0.0001761i,-4.3112e-05+0.00044973i,-0.00080204-0.00012264i,-0.00081359-0.00079083i,-0.00025522-0.0010317i
-0.001447+0.0027066i,-0.0013634+0.0022425i,-0.0016107+0.0025853i,-0.0025942+0.0030377i,-0.0029975+0.0030191i,-0.0033066+0.0032985i,-0.0027238+0.0039658i,-0.00087881+0.0038965i,0.00082746+0.0029109i,0.0012782+0.0015674i,0.00061125+0.00045242i,-0.0001024+0.00051104i,0.000203+0.00069686i,0.00043287+0.00014792i,-0.0002563-0.00087363i,-0.00037607-0.0006238i,-0.00022621-0.00028343i,-0.00031544-0.00068611i,5.9256e-05-0.00043736i,6.0993e-05-0.00014444i,-0.00021336+8.5693e-05i,2.6515e-05-0.00092512i,0.00050698-0.0012936i
0.000726+0.00035562i,0.00016623-0.00055398i,-0.0015221-8.4222e-06i,-0.0015643+0.0011616i,0.00039647+0.0021205i,0.0023691+0.0028445i,0.0032083+0.0036591i,0.0032279+0.0030516i,0.0027925+0.00070212i,0.0013909-0.00099068i,0.00062294-0.00091568i,0.00012381+6.363e-05i,0.00011492+0.00030961i,0.00033819+0.0010032i,-0.00057509+0.0016169i,-0.00041185+0.00098852i,0.00057156+0.00063175i,0.0004868+0.00029416i,0.00025541-0.00019387i,-0.00018117-0.00048968i,-0.00066867-0.00043115i,-0.00058275-1.8413e-05i,-0.00046708-0.00028702i
0.0028706+0.0012454i,0.0028755+0.0008252i,0.0035256-0.00093008i,0.0030837-0.0016277i,0.0025167-0.0021401i,0.0026547-0.0029019i,0.0033647-0.002826i,0.0036656-0.0019586i,0.0028258-0.0015002i,0.00066651-0.0014127i,-0.00028641-0.0012724i,0.00024972-0.00075794i,-6.796e-05-0.00015671i,-0.00020064+0.00050917i,-0.00097898+0.0010873i,-0.0013929+0.00065572i,-0.00071462+5.3171e-05i,-1.7943e-05+0.00018881i,0.00031607+0.00024022i,0.0001625+0.00084357i,0.00026659+0.00030966i,0.00015604-0.0010871i,-0.00022403-0.0014262i
-0.0025928-0.0015888i,-0.0024532-0.00055939i,-0.0021627+0.0011331i,-0.0010472+0.00054132i,-0.00045514-0.0017036i,-0.0013323-0.0026639i,-0.0019857-0.0033281i,-0.0016534-0.0037473i,-0.002566-0.0026094i,-0.0028741-0.00059821i,-0.0014377-7.8347e-05i,-0.00030575-0.00029688i,-0.00010094-0.00036197i,0.00032147-0.00042224i,0.00062783-0.00030025i,0.000818-0.00029986i,0.0011856+6.01e-05i,0.0010997+2.6591e-05i,0.00034167-0.00028996i,-0.00049477-0.00059647i,-0.00064087-0.00014553i,-8.5664e-05+0.0002398i,-0.00053274-0.0010412i
-0.00050236-0.00069501i,0.00098435+9.182e-05i,0.0026968-0.0011189i,0.0009491-0.0022849i,-0.0028349-0.0017679i,-0.0060822-0.0001035i,-0.0065691+0.00062881i,-0.0044747+0.00034866i,-0.0021778+0.00062353i,-0.00018418+0.0017071i,-0.00031293+0.0017758i,-0.00095946+0.0014378i,-0.0012025+0.0015156i,-0.0012506+0.00085769i,-0.00030271-0.0004486i,6.287e-05-0.00117i,-0.00028446-0.00091732i,-0.00079748-0.00057221i,-0.00060349-0.00062317i,-0.00058067-0.00014959i,-0.00016171+0.00014104i,0.00027666-0.00022133i,-0.0001308+0.00025542i
-0.00059182-0.00075457i,-0.00064613-0.0010603i,-0.0014086-0.0013784i,-0.0030244-0.0014169i,-0.0039174+0.0012758i,-0.0040057+0.0050067i,-0.002619+0.0063212i,-0.00092001+0.0053506i,0.00035094+0.0033834i,0.0010593+0.0012783i,0.00016302+0.00057778i,-0.0010642+0.00064249i,-0.00087521+0.00078605i,-0.00068924+9.3727e-05i,-0.00068055-0.00053413i,-0.00095393+0.00030929i,-0.00074752+0.00088005i,0.00031674-0.0001221i,0.00039757-0.00074005i,3.3728e-05-0.00026975i,0.00040264+0.00027403i,0.00054409+0.00016437i,0.00017139-0.00018487i
0.0014698+0.00040525i,0.0013122-0.0010965i,0.00031049-0.0013829i,-0.00079382+0.00072605i,0.00064853+0.0033235i,0.0034051+0.0049635i,0.0044213+0.0048181i,0.0038733+0.0030899i,0.0030234+0.0013763i,0.0021077+2.6396e-05i,0.0018855-0.00035269i,0.0017151+0.00011688i,0.00020952-0.00082171i,-0.0013288-0.0017723i,-0.0014806-0.0005316i,-0.00085897+0.00050782i,-0.00043748+0.00027686i,-0.00055026+0.00058646i,-0.00062742+0.0011523i,-0.00093662+0.0008452i,-0.00025803+0.0006789i,0.00092428+0.00046039i,0.00081096+0.00017612i
0.0018957+0.00035621i,0.0010371+0.00024501i,0.00072858+0.00043426i,0.0017703+0.00089893i,0.00292+0.00028839i,0.0041704-0.00087516i,0.0043353-0.0015141i,0.0035664-0.0015727i,0.0022699-0.0013467i,0.00067626-0.001354i,5.9496e-05-0.0018818i,-0.00014146-0.0012814i,-0.00086905-0.00044932i,-0.0010633+0.00027781i,-0.00075376+0.0011219i,-0.0010524+0.00096821i,-0.0013251+0.00094351i,-0.00048336+0.001313i,0.00045932+0.0011583i,0.00039652+0.00068981i,0.00081085+0.00016303i,0.0013662-0.00092388i,0.00081902-0.0010304i
0.0019326-0.0016804i,0.0023135-0.0024838i,0.0014523-0.0026712i,0.0011789-0.00138i,0.00027552-0.0012308i,-0.00073141-0.0038801i,-0.00088298-0.0058269i,-0.00044082-0.004341i,-0.00086192-0.0021056i,-0.0012289-0.00087243i,-0.00037949-0.00061302i,-0.00027536-0.00040395i,-0.001657+0.00066292i,-0.0019943+0.0004936i,-0.00088712-0.00099858i,-0.00045563-0.0012278i,-9.1174e-05-0.00057965i,0.00081007-2.5672e-05i,0.00084801-0.00032119i,0.0002299-0.00099342i,0.00012549-0.00077623i,-0.00018956-0.00041544i,-0.00075457-0.0001259i
0.00065442-0.001692i,0.0020737-0.0019903i,0.0033676-0.001319i,0.0026256-0.0013313i,-0.00084996-0.0019883i,-0.0053785-0.0014578i,-0.0068447-0.00041578i,-0.0053372+0.00025723i,-0.0029484+0.0010382i,-0.0008532+0.0016271i,-0.00048807+0.0015012i,-0.0012753+0.0010199i,-0.00063453+0.00089131i,-0.00018852+0.00010823i,-0.00031621-0.00063944i,0.00020209-0.00063962i,0.00011935-0.0011146i,-0.00018609-0.0009476i,-0.00048906-0.00058914i,-0.00095915-0.0004313i,-0.00053295-0.00044624i,0.00010316-0.00069201i,0.00015683-0.00011627i
-0.00052851-0.00066124i,-0.000264-0.002596i,-0.00086801-0.0036505i,-0.0025141-0.0027109i,-0.0040617-0.00056933i,-0.0049775+0.0029565i,-0.0042035+0.0061707i,-0.002405+0.0052205i,-0.00075611+0.0027136i,0.00053693+0.0018734i,0.0011224+0.0010768i,0.0014657+0.00024818i,0.0013668-0.0003183i,0.00094402-0.0011729i,-0.0010034-0.0012015i,-0.0017143-0.00073012i,-0.00027708-0.00049529i,0.00019141-0.00036514i,-0.00078317-0.00049466i,-0.0010981-0.00088474i,-0.00098521-0.0013875i,-0.00056169-0.00084127i,2.2688e-05-0.00037782i
0.00064373-0.0002926i,0.00090037-0.00039194i,0.00058967-0.00011717i,-0.00022899+0.00099822i,-0.00081643+0.0030232i,0.00076544+0.0052328i,0.0043091+0.0069244i,0.0050092+0.0057101i,0.003345+0.0022718i,0.0018926+0.00011952i,0.001086-0.0011944i,0.00065003-0.0017313i,-3.5999e-05-0.001003i,-0.00095652+0.0001394i,-0.001195+0.00049378i,-0.0013675+0.00026436i,-0.00012931-0.00019585i,0.00051782+0.00026908i,-3.5231e-05+0.00086963i,-0.00012604+0.00038375i,-1.9824e-05-4.0428e-05i,0.00017316-0.0001236i,0.0007173-0.00081389i
0.0024267+0.0015001i,0.0017715+0.0021942i,0.00032505+0.00046752i,-0.0006512+0.00039281i,0.00093729+0.0017837i,0.0043204+0.0016299i,0.0058424-2.6823e-06i,0.0053635-0.0011428i,0.0029956-0.0011569i,0.00090295-0.00069181i,0.00011904-0.00058097i,-0.00026772-0.00082127i,-0.00080311-0.00087516i,-0.00093302+0.00017637i,-0.0001407+0.0010904i,-0.00078397+0.0012132i,-0.0014607+0.0011951i,-0.00065408+0.00089623i,-0.00031339+0.00066765i,-0.00047845+0.00084775i,-8.9361e-05+0.0014757i,0.00032171+0.00078584i,-0.00051732+1.5169e-05i
0.0020853-0.00027264i,0.0022275-0.0011761i,0.0017793-0.0017955i,0.0017392-0.0022865i,0.0021405-0.0031492i,0.0014448-0.005024i,-0.00022929-0.0057668i,-0.00071112-0.0047064i,-3.3616e-05-0.003091i,-0.00036698-0.00062812i,-0.00084891+0.0011i,-0.0010768+0.00083442i,-0.0012775+0.00068562i,-0.0005823+0.0011451i,0.00062816+0.00072276i,0.0008103-0.00075938i,0.00051338-0.0011169i,0.0003728-0.0010141i,0.00022066-0.0010617i,-0.00019918-0.00036266i,-0.00038133-5.3249e-05i,-0.00049962+3.1839e-06i,-0.00090835+0.00011628i
-2.0181e-05-0.0027876i,-0.00039706-0.0028086i,-0.0010422-0.0017881i,-0.000722-0.0012237i,-0.0012032-0.00071353i,-0.003774-0.00087851i,-0.0054285-0.0012931i,-0.0046762-0.0011026i,-0.0022497+7.7232e-05i,-0.001238+0.0016394i,-0.001118+0.0021684i,-0.00019182+0.0017001i,-0.00018826+0.00090966i,0.00061993-0.00012231i,0.0011229-0.00025543i,6.0633e-05+3.5075e-05i,-0.00034298-0.00066821i,0.00025167-0.0016125i,0.00059474-0.0016426i,0.00031329-0.001114i,-0.00052459-0.001068i,-0.001081-0.0009719i,-0.00089466-0.00051506i
-0.00095909+0.0012129i,2.1119e-05+0.00049382i,3.1004e-05+0.0012369i,-0.0010378+0.00096652i,-0.0028499+0.00057905i,-0.0044993+0.0018485i,-0.004473+0.005304i,-0.0026825+0.0063861i,-0.00069608+0.0039322i,0.00071463+0.0019551i,0.0017982+0.00063722i,0.0021379-0.00018342i,0.0013077-0.00076851i,-0.00019876-0.0013987i,-0.0014596-0.0012635i,-0.002107-0.00078516i,-0.0020614-0.001109i,-0.00061666-0.0010495i,0.00030092-0.00040053i,0.00015807-0.00028152i,0.00074925-0.00048567i,0.00099206-0.00033488i,0.00083618+0.00040828i
0.00043353+0.0018046i,0.00018213+0.0011552i,0.00068484+0.00062239i,0.00048218+0.00070342i,7.6099e-05+0.0018651i,0.0010041+0.0049974i,0.0024593+0.0070228i,0.0034564+0.0057985i,0.00246+0.0027671i,0.0012601+0.00086023i,0.00098333+3.5043e-06i,0.00075063-0.00064175i,-0.00014788-0.0003714i,-0.0012018+0.00043477i,-0.0012841+0.00091377i,-0.0010906+0.0010376i,-0.0013886+0.001134i,-0.0017934+0.0010184i,-0.00098611+0.00038334i,-0.00025177+9.8121e-05i,9.3087e-05+2.9818e-05i,0.00018159+0.000283i,-0.00038394+0.00043568i
0.0039369+0.0019414i,0.0033241+0.0010062i,0.0035305-0.0017176i,0.0027757-0.0035919i,0.0018054-0.0028779i,0.0032119-0.0013099i,0.0061223-0.0013123i,0.0062925-0.0017954i,0.0037295-0.0017809i,0.0011826-0.0016231i,-4.7738e-06-0.0012596i,-0.0012369-0.00060399i,-0.002615+0.00054872i,-0.0022137+0.0013011i,-0.001383+0.0013678i,-0.00050819+0.0017518i,0.00038351+0.0020876i,0.00089054+0.0014747i,0.00088021+0.00070395i,0.00035193-5.6917e-05i,0.00029039-0.00078068i,-8.8572e-05-0.00077289i,-0.0012916-0.00065676i
