-0.0033344+0.0018625i,-0.0026063+0.0017931i,-0.0045223+0.0040307i,-0.0050422+0.0052549i,-0.0031529+0.0045444i,-0.0010227+0.0025797i,-0.00028268+0.0021641i,0.00034939+0.0033072i,0.00089057+0.0036705i,0.0010416+0.0026069i,0.0016064+0.0011704i,0.0021303+0.00019003i,0.0011864-0.0012464i,0.00024552-0.0017014i,3.8374e-05-0.00067506i,0.00012485+0.00025548i,-0.00021189-1.1715e-05i,-0.00010756-0.00040233i,0.00049911-0.00013505i,0.00042207+0.00019715i,0.00024764-2.3218e-05i,8.3335e-05+0.00015958i,-0.00036782+0.0002601i
-0.00057806-0.00020988i,-0.00070619+0.0005387i,-0.00030206+0.0002726i,-0.000894-0.00057659i,-0.00088449-0.00061199i,-0.00067799-0.00038057i,-0.00090001-0.00044115i,-0.000593-0.00041586i,-0.00042834-0.00023213i,-0.00076123-0.00074679i,0.00013915-0.00063244i,0.00088742-2.0112e-05i,0.00075542-4.4458e-05i,0.00079245-0.00021706i,0.00061724+0.00021868i,-2.7365e-05+0.0007599i,-0.0011866+0.00044389i,-0.0011933-0.00019991i,-0.00028915-0.00084769i,-6.963e-05-0.00090829i,3.7926e-05-3.0886e-05i,1.4411e-05+0.00014819i,-1.2489e-05+3.894e-05i
0.00024335-0.00044592i,-0.00036747-0.00030418i,-0.0018666-0.0006586i,-0.0022737-0.0019129i,-0.0015916-0.0021829i,-0.00092576-0.0017322i,-0.00046184-0.00043458i,3.1799e-05+0.00045388i,-0.00024976+0.00038513i,-0.00032995+0.00067026i,0.00076013+0.0013812i,0.0014932+0.0012472i,0.0013316+0.00063926i,0.00080461+0.00053814i,0.00044945+0.00021219i,0.00051076+0.00044908i,0.0003527+0.00060592i,-0.00019091-1.162e-05i,-0.0003283-0.00022662i,-0.00039435-0.00010264i,-0.00043588+0.0002457i,0.00024968+0.00023663i,0.00040566-0.00022073i
-0.00070495+0.00023026i,-0.00042076-0.00055225i,-0.0013149-0.00091333i,-0.002505-0.00074714i,-0.0012188-0.00034225i,-0.00017016+0.00015721i,4.7601e-05+0.00055554i,0.00025077+0.00059365i,0.00054139+0.00030026i,0.0010258+0.00032282i,0.00092733+0.00025836i,0.00094914-0.00012656i,0.0010079-0.00056333i,0.0010186-0.00037119i,0.00038534+0.0004088i,-0.00070455+0.00045826i,-0.00081061+0.00018628i,1.9849e-05-6.9327e-05i,-0.00014012-8.3071e-06i,-0.00097865-0.00020246i,-0.00069437-0.00045612i,0.00016566+6.5983e-05i,0.0006648+0.00019194i
0.0001562-6.0938e-06i,-0.00041529+0.00096347i,-0.0024309+0.0015074i,-0.0028009+0.0011671i,-0.0022228+0.00088992i,-0.0013493+0.00082035i,0.00031269+0.00034663i,0.00089968+6.0955e-05i,0.0007572+5.7328e-05i,0.00036937+0.00067175i,-2.9619e-05+0.00067521i,0.00053943-0.0002332i,0.0014325-0.00073482i,0.0011013-0.0015234i,0.00033681-0.0013081i,-0.00019773-0.00035029i,-0.00038463-0.00038505i,-0.00034775-0.00024873i,-8.0635e-05-0.00051402i,0.00034716-0.00041647i,-2.0873e-06+0.00026141i,-0.00038802+0.00059275i,0.00011019+0.0010712i
0.0014466+3.1464e-05i,0.00069409-6.782e-06i,0.00018336-0.0014697i,-0.0018341-0.0018911i,-0.0036405-0.00085934i,-0.0027993+0.00025421i,-0.00081551+0.0006148i,-5.2798e-05+0.0001363i,0.00080283-1.2119e-05i,0.00072539-6.9054e-05i,0.00050082-0.00019334i,0.0003971-0.00024432i,0.00032648-0.00019027i,0.0001219+3.0875e-05i,-0.00062803-4.9248e-05i,6.4396e-05-0.00048969i,0.00021288-0.00083561i,-0.00030536-0.00052138i,-0.00055511+0.00015089i,-0.00080787+0.00037095i,5.4764e-05+0.00077706i,0.00079241+0.00020319i,0.00064595-0.00070277i
-3.3485e-05+0.00051754i,-0.0003053-0.0001337i,-0.00092559+1.4319e-05i,-0.0022375+0.001162i,-0.0023419+0.00061149i,-0.00058145-0.00038438i,0.00016351-0.00061839i,-0.00030338-0.0004323i,-0.00034504-3.4563e-06i,0.00025643+7.0487e-05i,0.0010003-0.00014306i,0.001606-0.00019833i,0.0010104-2.1672e-05i,-0.00012397+0.00023965i,-0.00033859-8.777e-05i,-0.00042003-0.00073159i,-0.0010438-0.00076557i,-0.00065766+3.2083e-05i,-0.0010043-0.00021738i,-0.0015315-0.00036588i,-0.00089534+0.00027577i,-4.2012e-05-4.298e-05i,0.00095994-0.00040679i
0.00033591-0.0019356i,-0.00023289-0.0020681i,-0.0011103-0.001565i,-0.00099479-0.0014029i,-0.00077325-0.0002851i,-0.00087776+0.00023308i,-0.00040349-0.00048954i,4.1253e-05-0.00067882i,0.00024872-0.00055776i,0.00039497-6.1893e-05i,0.00024069+0.00043355i,0.00083344+0.00072411i,0.0012768+0.00049435i,0.00052006-1.9019e-05i,-0.00033961-0.00042237i,-0.00078104-0.0005715i,-0.00062417-0.00037738i,-0.0006993-0.00036954i,-0.00081406+0.00015588i,0.00015691+0.00012681i,0.00032581-0.00012831i,-0.00067005+9.4442e-05i,-0.00062592+0.00022048i
0.00015426+0.001357i,0.00052859+0.00090529i,-0.0003436+0.00030229i,-0.0010867+0.00018839i,-0.0015381+0.0013203i,-0.0011723+0.0018113i,-0.00023016+0.00034169i,2.7521e-05-0.0010415i,0.00074413-0.00056676i,0.00066834+0.00057312i,0.00023687+0.00030935i,0.00027697+8.6352e-05i,0.00038144+0.00034057i,0.00033997+0.00011396i,-0.00044815-0.00035296i,-0.00072942-0.00069288i,-0.00044984-0.00055676i,-0.0011474-0.00046312i,-0.0012143-0.00011024i,-0.00072643+0.00084063i,-0.00068439+0.00094683i,-0.00042847+0.00026797i,0.00023979-0.00018062i
0.00086013+0.001295i,0.0018036+0.00049323i,0.001145-8.2711e-05i,-0.00070719+0.00014798i,-0.0010605+0.0007263i,-0.00047391+0.00049495i,-0.00063533-0.00017247i,-0.00042956-0.00015253i,0.00030098+0.0005685i,0.00053978+0.00064688i,0.00073034+0.00034002i,0.00076572+0.00056362i,0.00078421+0.00011881i,0.00051173+9.7536e-05i,0.00039231-8.4147e-05i,-0.00016412-0.00030353i,-0.00034292-0.00016742i,-0.00028621-0.00027562i,-0.00057053-0.00028877i,-0.00016426+0.00027082i,0.00041774+0.0005666i,-3.6389e-05+0.00011085i,-0.00099996-0.00063169i
0.00030228+0.0010863i,0.00023697+0.00077216i,-0.00035789-0.0011786i,-0.0014396-0.0021435i,-0.0020398-0.0013775i,-0.0016786-0.00077582i,-0.0010032-0.00057386i,-0.0010885-0.00065661i,-0.00080165-0.000478i,0.00056743+0.0001069i,0.0015993+0.00073829i,0.00097917+0.001278i,-6.3285e-05+0.00068704i,2.9116e-05-4.4082e-05i,0.00052498+0.00012279i,-0.00018259+0.00042084i,-8.5916e-05-0.00019123i,0.00036056-0.0007396i,-0.00030998-0.00051127i,-0.00050201-0.0003553i,-0.00040782-0.00055376i,-0.00044645-0.00067536i,-0.0002549-0.00021573i
-0.00070284-0.00033183i,-0.0003574-0.00038809i,-0.0017275+0.00044975i,-0.0029103+0.0013785i,-0.0013521+0.0016368i,-2.1193e-05+0.0011035i,-0.00023975-0.00015992i,-0.00012686-0.00074282i,0.00044344-0.00086309i,0.00078015-0.00018715i,0.0011137+0.00018911i,0.0012855+0.0003722i,0.0014853+0.00061782i,0.00062326+0.00031752i,-0.00025742+8.7445e-06i,-0.00080403-0.00019815i,-0.00093455-0.00090785i,-0.00028031-0.0014197i,0.00032548-0.0012868i,0.00023797-0.00084138i,-0.00058246-0.00052452i,-0.00056385+2.4988e-05i,3.3668e-05+0.00014299i
0.00051221+0.00050967i,-0.00038215-6.6209e-05i,-0.00052722-0.00099212i,-0.0010178-0.00073231i,-0.0008799+8.7679e-05i,-0.00067489+0.0010837i,-0.00071249+0.00087418i,-0.00032102+0.00094554i,1.482e-05+0.0011531i,0.00034734+0.00026468i,0.00084671-0.00039967i,0.00067198-0.00055806i,0.00046309-0.00053176i,0.00048895+0.0002364i,-0.00020832+0.0003997i,-0.00079892-0.0004623i,-0.00084313-0.0005376i,-0.00054946-0.00065285i,-0.0002174-0.00037987i,-7.9001e-05+8.0476e-05i,0.00014679+0.0002778i,3.784e-05+0.00065625i,-8.5923e-05+0.00043792i
-0.001686+0.00079619i,-0.00027441+0.00028685i,0.00059442-0.00055871i,-0.00090194-3.2421e-05i,-0.0019067+0.001449i,-0.00060052+0.0013992i,-0.00016415+0.00018436i,0.00042886-5.2436e-06i,0.00036122+0.00053411i,0.00013672+0.00043431i,0.00030062+0.00026047i,0.00056242-0.00042062i,0.0013645-0.00078993i,0.0014761-0.00020751i,0.00024681-4.0213e-05i,-0.0012161-0.00061253i,-0.0012359-0.0011694i,-0.00034681-0.00044115i,-0.00012709+0.00010769i,0.00038868-0.00027204i,-8.1726e-05+0.00016815i,-0.00075779+0.00032242i,-0.00023612+0.00021223i
-9.7281e-05+0.0018983i,-3.9889e-05+0.0010934i,-9.241e-05+0.0014113i,-0.00079367+0.0016162i,-0.00094023+0.00070518i,-0.00041339-0.0006298i,-0.00039477-0.00093434i,-0.00036641-0.00056251i,-0.00017632-0.0002251i,0.00032341+0.00060174i,0.001227+0.0011765i,0.0010858+0.0015237i,0.00059319+0.00078344i,0.00048963+0.00042102i,0.00050369-0.00023627i,-5.7037e-05-0.001084i,-0.00068142-0.00054143i,-0.00034914+0.00023396i,-0.00026052+0.00046856i,1.5611e-05+0.00016269i,0.00030322+0.00041753i,1.4744e-05+0.00061805i,-0.00050502+0.00059266i
0.00030751-0.00056542i,0.00010252-0.00053859i,0.0003058-0.0011481i,-0.00067569-0.0015635i,-0.0019108-0.0008509i,-0.0015049-0.00014953i,-0.00073334-0.00041043i,0.00019833-0.00040808i,0.0011822+2.9479e-05i,0.0013212+0.00025645i,0.0010153+0.00027195i,0.00047521+0.00042627i,3.781e-05+0.00049024i,-0.00080863+0.00017603i,-0.0016583+0.00017684i,-0.0016174-0.000718i,-0.0011437-0.001028i,-0.0006771-0.00053331i,-0.00022368+0.00020024i,-2.8976e-05+0.00051256i,-1.239e-05-0.00014305i,-8.7076e-05-0.00041134i,-0.00064367+6.2831e-05i
0.0018955-0.00074671i,0.0020598-0.0017012i,0.00060409-0.003344i,-0.00043356-0.003474i,-0.0020127-0.0013083i,-0.0026034+0.00010605i,-0.0018589+0.00011414i,-0.00031067-0.00031583i,0.00055905+0.00014456i,0.00083673+0.00061346i,0.0015432+0.00035175i,0.0012991+0.00028569i,0.001283-8.111e-05i,0.0011925+0.00018499i,0.00018733+0.00080532i,-0.00030086+0.00083974i,9.2842e-05+6.3874e-05i,-0.00049613-4.7754e-05i,-0.001079+0.00039794i,-0.00051817-0.00033787i,-0.00012133-0.0007534i,0.00058578+5.4168e-05i,0.00050628+0.00051715i
0.00076356+0.00066675i,0.00082777+0.00050866i,0.00042768-0.0010247i,0.00017207-0.0012034i,0.0010686-1.9485e-05i,0.00097949+0.0004558i,0.00043071+2.7782e-05i,6.0614e-05-0.00048885i,-0.00019218-0.00015968i,-4.8804e-05+7.7763e-05i,0.00027499-1.5293e-05i,0.00040256-0.00052847i,0.00023576-0.00028889i,0.00015651+0.00043199i,-0.000151+0.00034653i,-8.138e-06+0.00019332i,0.0002777-0.00036202i,-1.9163e-05-0.00016501i,-0.00032459+0.0010784i,-0.0006452+0.00094554i,-0.00086252-0.00011611i,-0.00056887-0.00041002i,-0.00041583-0.00030903i
7.8441e-05-0.00067512i,-0.0013484-0.0011505i,-0.0035722-0.001492i,-0.0046539-0.0014311i,-0.0035814-0.0012274i,-0.0018141+0.000183i,-0.0010027+0.0003328i,-0.00029976-7.726e-05i,-0.00025218+0.00020363i,-0.00092819+0.00015403i,-0.00058032+0.00029315i,0.00075569+0.00080885i,0.00077285+2.9187e-05i,9.334e-05-0.00087552i,0.0002764-0.00085728i,3.3182e-05-0.00079264i,-9.2049e-05-0.0012322i,-0.00060876-0.0010156i,-0.00091344-0.00041824i,1.1731e-06-2.5957e-05i,0.00027099-0.00023744i,0.0005809-0.0004439i,0.00087627-0.00056354i
0.00086207+0.00084165i,0.00021671+0.00067846i,-0.00019379-0.00032339i,0.00059069-0.00036668i,0.00018481+0.00041123i,-0.0003686+0.00036781i,-0.00099447-7.6999e-05i,-0.00089662-0.0002004i,0.0001245-0.000273i,0.00061201-0.00067875i,0.00016007+9.7298e-05i,1.8972e-05+0.00045107i,0.00064014+0.00019092i,0.00088042+0.00037042i,0.00032322+2.8744e-05i,-8.8836e-05-0.00036237i,0.00055841-0.00034974i,0.00039519+1.3435e-05i,-0.00042249+0.00020944i,-0.00011571+9.6625e-05i,0.0003896+0.00026698i,0.00057498+0.00034795i,-7.5586e-05-1.4406e-05i
-0.00087231+0.00023062i,-0.00036886+0.00042677i,-0.0012869-0.00051651i,-0.0021613-0.00094213i,-0.0022146-0.00078615i,-0.00085122-0.00077559i,0.00042525-0.00081414i,0.00011663-0.00010965i,-0.00022495+0.00014504i,-0.00026698-0.00029927i,0.00022568-0.00025023i,0.00075137+0.00045293i,0.0005759+0.00031266i,0.0002567-0.00035475i,0.00035458-0.00085078i,-0.00020328-0.0002391i,-0.0011489+0.00032427i,-0.0012067-0.00043617i,-0.0010343-0.00035027i,-0.00016626+0.00020064i,0.00041608+0.00059589i,-0.00055604-6.548e-05i,-0.00047979-0.00067214i
0.00061397-0.00026854i,0.0010975-0.00091199i,0.00089017-0.00094776i,-0.0011374-0.00033763i,-0.0015586+0.00066374i,-0.00065444+0.00029119i,-0.00048878-0.00078268i,-0.00034013-0.00050286i,0.00021397+0.00074342i,0.00021871+0.0012363i,0.00037067+0.00077105i,0.00073142+0.00030169i,0.00076674+0.00019293i,0.00059284+3.4926e-05i,0.00021478-0.00040546i,-7.1414e-06-0.00090138i,-0.00011511-0.00074982i,-5.391e-07-0.00069746i,-0.0002683-0.00073712i,-0.00031081-0.00035893i,0.00015206+0.00032524i,0.00024035+0.00059996i,-0.000181+2.1842e-05i
7.493e-05-0.00061939i,0.00040749+0.0003834i,-0.00043652+0.00083567i,-0.0013478+3.0521e-05i,-0.00092259-0.00060331i,0.00026461-0.00074297i,0.00032427-0.00063601i,-0.00020153-0.00072885i,-5.9368e-05-0.00019045i,-7.8332e-05+0.00060089i,0.00027911+0.0013236i,0.00015607+0.001435i,-5.8065e-05+0.00012498i,-0.00029944-0.0012696i,-0.00091154-0.00093325i,-0.00091324-4.3119e-05i,-0.0011139+6.6917e-05i,-0.0013413-0.00011242i,-0.00057629+9.9224e-05i,0.00025629+5.2946e-05i,-0.00036633-0.0003101i,-0.0012953-0.00032318i,-0.00093788-0.00028893i
0.00014301+0.00018836i,-0.00015508-0.0013703i,-0.0012375-0.0019513i,-0.0021474-0.00145i,-0.0022019-0.00018428i,-0.0016081-2.3272e-05i,-0.00087943-4.7737e-05i,-0.00055998+0.00020148i,-0.00050804+0.00072533i,-0.00078915+0.00025606i,-0.00028202-0.0008333i,0.00072693-0.0010421i,0.0013235-0.00069934i,0.00086548-0.00092767i,-0.00054813-0.0016563i,-0.0013707-0.001631i,-0.00098283-0.0012299i,-0.00048626-0.00051139i,-0.00096006+0.000203i,-0.0013147+0.0002984i,-0.00055636+5.7572e-05i,0.00060489+0.00020904i,0.00075042+9.9014e-05i
0.0023931-0.00012792i,0.0018918-0.0010349i,0.0010145-0.0018089i,2.2467e-05-0.0014641i,-0.00062172-0.0014034i,-0.00047746-0.0011384i,-8.8624e-05-0.00082441i,1.9731e-05-0.00047846i,0.00040405+0.00018124i,0.000992+0.00034931i,0.0012409+0.00049684i,0.0016002+0.00016564i,0.0011791-0.00049614i,0.00016767+0.00012488i,-0.00038742-4.8246e-05i,-0.000101-0.00066667i,-0.00023146-0.00012053i,-0.00027689-0.00046554i,-0.00012851-0.00040847i,-6.3836e-05+0.00092826i,0.00012818+0.001302i,-8.0047e-05+0.00087644i,-0.0003023+0.00046232i
0.00029007-0.00014435i,0.00058919-0.00096385i,0.00076136-0.0018967i,-0.00097287-0.0022358i,-0.0024963-0.0015501i,-0.0024239-0.0011523i,-0.0011518-0.00085843i,-6.8383e-05-0.00020439i,0.00024221-8.9198e-05i,5.9291e-05+0.00021068i,-1.7647e-05-2.3601e-05i,0.00084058+0.00064973i,0.00086006+0.0017355i,0.00032814+0.0015668i,-0.00012256+0.00062085i,-0.00040123-0.00099422i,-0.00044538-0.00088038i,-0.00060033+2.1244e-05i,-1.6774e-05+0.00053365i,0.00082769+0.00051277i,0.00035765-0.00029147i,1.946e-05-0.00097203i,-4.3371e-05-0.00081354i
-1.1558e-05+0.00051057i,1.345e-05+0.0011275i,-0.00098635+0.00042553i,-0.0019559+0.00087841i,-0.001998+0.0015075i,-0.00089207+0.00034307i,-9.3086e-05-0.00021669i,-1.454e-05-0.00046776i,0.00019047-0.00056148i,0.00021528+7.5481e-05i,-0.00025459+0.00042292i,8.0175e-05+0.00024631i,0.00018623+0.0002602i,9.5327e-05+0.00030962i,8.5251e-05+0.00030178i,0.00038421+0.00043851i,0.00032059+0.0005109i,-0.00047718-0.0001143i,-0.00026014-0.00071462i,0.00038942-0.000438i,0.0003743-0.00010493i,0.00075425+8.7532e-05i,0.00057063+0.0005619i
0.0015399-0.00057141i,0.00043709-0.00081246i,-0.00028022-0.0019379i,-0.00069082-0.0026803i,-0.0011938-0.0012411i,-0.0010857+0.00025742i,-0.00012138-0.0003338i,-0.00018039-0.00031988i,-0.00040609+0.00060162i,0.00038253+0.00062147i,0.0011877-2.0294e-05i,0.00094622-5.5873e-05i,0.00011233+0.00027689i,0.00010693-6.8533e-05i,0.00041027-2.9324e-05i,0.00014537+0.00026786i,-0.0002091+9.8148e-05i,-0.00029545-0.00033161i,-0.00049472-0.00050483i,-0.00033354+0.00014954i,0.00030942+0.00020175i,0.00042385+2.7488e-05i,0.00046965+0.00032875i
-0.00098374+0.00019422i,-0.00048445+0.0013405i,-0.00042514+0.0010049i,-0.0013468+0.00040177i,-0.001174+0.00074382i,0.00037895+0.00075885i,0.00067594+0.0008094i,0.00062102+0.00053084i,0.00028343+5.0527e-05i,-0.00020703+0.00056711i,0.00034116+0.0011331i,0.00084736+0.00045063i,0.00032966-0.00081378i,0.00056038-0.0010797i,0.00029721-6.915e-05i,-0.00090704+0.00019027i,-0.00027976-0.00061452i,9.4763e-05-0.00093109i,-0.00071634-0.00064204i,-0.00091758-0.00082521i,-0.00038659-0.0011089i,-0.00053655-0.0012987i,-0.00087026-0.0013558i
-0.0018453+0.00019292i,-0.0014143-0.00029131i,-0.0024745-3.4073e-05i,-0.0027397+0.0011077i,-0.0012172+0.0014525i,0.00010909+0.0017586i,0.00049017+0.00093888i,-0.00032448-0.0004656i,-0.00073388-0.00087396i,-0.00038318-0.00029953i,0.00012036+0.00024506i,1.2685e-05+0.00015656i,-0.00041294-0.0004007i,-0.00028155-0.00095665i,-0.00030119-0.00025894i,-0.0005637+0.00020936i,-0.00070449-0.0012608i,-0.00068041-0.0019392i,-0.00029966-0.00070543i,0.00020668+0.00017191i,0.00064376+3.3814e-05i,0.00023421-0.00042814i,0.00033791-0.00042576i
-2.9882e-05+0.00074446i,-0.00037226+0.00078319i,-0.00035002-0.00046189i,-0.00024642-0.0013011i,-0.00061878-0.00041196i,0.00020847-0.0003645i,0.0010883-0.00072941i,0.00078005+0.00017359i,0.00050619+0.00075708i,-0.00010319+0.00074012i,-0.00029864+0.00031731i,0.00025888-0.00059024i,0.00014602-0.00071429i,-0.00089819-0.00075148i,-0.0012965-0.0008794i,-5.8245e-05-0.00053254i,0.00048288-0.0002213i,-0.00012401+0.0001589i,-0.00029459-0.00011215i,-0.00025318-0.0004311i,-0.00052648-0.00048174i,-0.00060356+3.121e-05i,-0.00011015+0.00049337i
-0.00030294-3.3364e-05i,-0.00066517-0.00025616i,-0.0016346-0.0004229i,-0.0021685-0.00016225i,-0.0012944+5.6287e-05i,-0.00061063-0.00033388i,-0.00072028-0.00025823i,-0.00027197-5.8607e-05i,0.00058064+0.00025799i,0.00085742+0.00090183i,0.00093727+0.00092644i,0.0012869+0.00050251i,0.00015091+0.00056073i,-0.00083228+0.00018934i,-0.00082826-0.00031419i,-0.0006999-6.3152e-05i,-0.00012361-0.00031588i,0.00013996-0.00076215i,0.0002392-0.0007189i,0.00018412-0.00087372i,0.00075354+0.00012006i,0.00091928+0.0010279i,0.00011521-1.7289e-05i
