-0.00023683+0.0004814i,0.00033691-0.00054225i,-0.00035526-0.0016677i,-0.00085713-0.001186i,-0.0011111+0.00056519i,-0.00081738+0.0018344i,0.00010377+0.0026362i,0.00078153+0.0012117i,0.00081307-0.0005117i,0.00088924-0.00061438i,0.00064586-0.00045037i,2.21e-05-0.00078525i,-0.00028948-0.0009621i,-0.00042875-0.0009374i,-0.00065479-0.0010656i,-0.00067565-0.00073083i,-0.00021499-0.00021256i,0.00057978+0.00017124i,0.0010321+0.00043034i,0.0006257+0.00056388i,0.00046601+0.00039091i,0.00034625-7.5649e-05i,-0.00037507-0.00051089i
0.0011003-0.00093893i,0.00065118-0.0015152i,0.00023173-0.0019134i,-0.00021636-0.0018958i,-0.00090222-0.00049935i,-0.00043764+0.00070466i,0.00055323+0.0011925i,0.00067696+0.0012394i,0.00041126+0.00034897i,-0.0002827+0.00020387i,-6.4267e-05+0.000826i,0.00080356+0.00054938i,0.0011672+0.00031681i,0.0013812-6.1891e-05i,0.0014689-9.7839e-05i,0.0008679+0.000119i,0.00023914-0.00014762i,0.00064041+0.00066403i,0.00059353+0.0014673i,-0.0002285+0.00055569i,-0.00029328-2.5276e-05i,4.4604e-05-2.1325e-05i,0.00025582-8.5696e-05i
0.0005331+0.00016447i,0.0009235-0.00068452i,0.0013425-0.00020489i,0.00040863+0.0002368i,-0.00050813+0.00061795i,-0.00038228+0.0014605i,-0.00039624+0.00096047i,-0.00022797+0.00050152i,-6.1908e-05+0.00057638i,-0.00023195+0.00014072i,-0.00058237-0.00024751i,-0.0012826-0.00042486i,-0.0010542-0.00037829i,-0.00054017-0.00064823i,0.00023285-0.0012085i,0.00016779-0.001273i,-0.00044274-0.00085719i,0.0003839-0.00031158i,0.00082501-0.00061017i,0.00042728-0.00065032i,0.00019023-0.00019955i,4.4821e-05-0.00054055i,8.3611e-05-0.00099745i
0.00084535+0.00051833i,0.00020584-0.0008979i,-0.00094642-0.0013782i,-0.0010792-0.00077964i,-0.00047249-0.00042521i,-4.4588e-05-5.5723e-05i,-1.3393e-05+0.00047674i,-8.1516e-05+0.0012433i,-0.00026425+0.0009243i,5.2331e-05+0.00039211i,-0.00028751+0.00026029i,-0.00034929-0.00029378i,-7.7669e-05-0.00021756i,-0.00039913+0.00022271i,0.00024665+0.00012186i,0.00066673-0.00075769i,0.00087295-0.0012489i,0.00090056-0.00077217i,0.00058085-0.00010495i,0.0003798+0.00015313i,1.9976e-05-0.00017411i,-0.00071942-0.00045881i,-0.0012095-9.0509e-05i
0.0014986+0.00020652i,0.00080251-0.00077223i,6.4507e-05-0.0019708i,-0.00021803-0.0019521i,-0.00063099-0.00083903i,-0.00090408+0.00048582i,-0.00072983+0.0011677i,-0.00066008+0.0010465i,-0.00034702-0.00010931i,-0.00028227-0.0010121i,-0.00032597-0.0011794i,0.00019885-0.001416i,9.8331e-05-0.0012498i,0.00030871-0.00067129i,0.00076977-0.00031653i,0.0010303-0.00031798i,0.0006212+1.4903e-05i,-5.9761e-05+0.00047076i,0.00017299+0.00037219i,0.00035107+6.1648e-05i,0.00038807-0.00011302i,0.00064312-5.1913e-06i,0.00046557+0.00060017i
0.00081741-0.00067147i,0.0021135-0.00071302i,0.0025507-0.0016686i,0.0013497-0.0019483i,0.00096473-0.00062727i,0.00059911+0.00056917i,0.00010137+0.00081936i,0.00042813+0.00064232i,0.00047973-3.1562e-05i,-0.00016401-8.9271e-05i,-0.0003642-0.00015435i,-0.00012192-0.00078085i,0.00035924-0.00082725i,0.00037162-0.00072971i,9.2989e-05-0.00052472i,0.00029618-0.00040406i,0.00032682-0.00016655i,-0.00033401+0.00023035i,-0.00075913+7.6711e-05i,-0.001053+0.00012679i,-0.00055182-8.679e-05i,0.00016745-0.00016012i,0.00017809-1.5051e-05i
0.00020597-0.0003365i,0.00017043+0.00088504i,-8.0357e-05+0.0014141i,-0.00066821+0.0017104i,0.00010323+0.0019572i,0.00088375+0.0019422i,7.2635e-05+0.0013884i,-0.00050688+0.00063996i,0.00025571+0.00050647i,0.00022247+0.00022066i,-0.00019787+0.00031932i,-0.0003093+0.00012496i,9.3075e-05+3.3515e-05i,0.00072383+0.00078749i,0.00048295+0.00065772i,0.00040097-0.00028194i,0.00044819-0.00049052i,-0.00011727-0.00012373i,-0.00025819+0.00064053i,-0.00031848+0.00089847i,-0.0010169+0.0003537i,-0.0010615-0.00039365i,0.00021562-0.00025918i
-0.0020333-0.00026868i,-0.0011434-0.00032968i,-0.0015088+0.00090852i,-0.00079181+0.00095646i,0.00048737-2.4952e-05i,0.00036338-0.00016777i,-0.00040983+0.0004893i,-0.00075306+0.00038128i,-0.0010534+0.00031961i,-0.00092714+4.5009e-05i,-7.4104e-06-0.00045354i,0.00035961-0.00036974i,0.00050788-0.00027764i,0.00095413-0.00068866i,0.0010199-0.0008883i,0.00037323-0.00070148i,-0.00010652-0.00059915i,0.00011823+0.00010078i,-0.00025678+0.00073255i,-0.00062364+0.00089588i,-0.00095615+0.00078788i,-0.0011204+0.00034441i,1.9407e-05+0.00092215i
-0.0024658-0.00049082i,-0.001571-0.0010114i,-0.0010931-0.00081476i,-0.00059138+0.00035783i,-0.00010948+0.001483i,0.00049487+0.0017575i,0.001167+0.00067184i,0.00035027-0.00016598i,-0.00028288+0.00010025i,0.00021724+0.00023981i,3.1592e-05-6.3552e-05i,-0.00028648-0.00024805i,0.00016508+0.00016352i,0.0011024+0.00041068i,0.00096825+0.00026798i,0.00015477-7.6723e-06i,0.00021942-0.00054147i,0.00016804-0.00055877i,-0.0003941-0.0010406i,-0.00011912-0.0010495i,-0.00045692-0.00029391i,-0.00059904+0.00032081i,-6.5959e-05+0.00077039i
-0.00077422-0.0017761i,-0.0006979-0.0018619i,-0.0011167-0.00072873i,-0.0010066+0.00046372i,-0.0006775+0.00087311i,-0.00057225+0.00074154i,-0.00035035+0.00083537i,0.00010191+0.00025921i,-0.00067124-0.00062757i,-0.0014952-0.00081164i,-0.00056076+3.134e-05i,0.00023408+0.00082726i,0.00054803+0.00076798i,0.00088813+0.00058076i,0.00091119+0.00031759i,0.0011116-0.00028147i,0.00085394-0.00040429i,0.00023632-0.00044359i,0.00016202+0.00024322i,-7.7461e-05+0.0003539i,-0.00044101+0.00027981i,-0.00051953+0.00041095i,-2.4633e-05+0.00029706i
-0.00057782+0.00070361i,0.00041727+0.00041488i,0.0012089+0.0011989i,0.00086241+0.0013152i,-3.3333e-05+0.00050675i,8.0448e-05+0.00029543i,0.00043012+0.0009416i,0.00032871+0.0013404i,-0.0002235+0.00077114i,-0.00094222-0.0004416i,-0.00064671-0.00055125i,-0.00032951+0.00031478i,-2.2254e-05+0.0010374i,0.00047511+0.00037706i,0.00064861-0.00079921i,-0.00014027-0.001347i,-0.00076163-0.00097666i,-0.00024387-4.797e-05i,0.00041489-0.00019324i,0.00037935-0.00067041i,-7.715e-07-0.00034478i,-0.00015569+0.00048963i,-0.00052051+0.00025281i
0.00079472-0.00047226i,0.0018899-0.0017621i,0.0024349-0.0021536i,0.0012708-0.0017997i,-6.6429e-05-0.00090125i,-0.00016212-0.00016828i,-0.00023661+0.00033988i,-0.00032182+3.295e-05i,0.00054964-0.00044366i,0.00075943-0.00024875i,-0.00037808-0.00070898i,-0.0010091-0.00073462i,-0.0011497-0.00024112i,-0.00092307-0.00028578i,-0.00062475-0.00013216i,-0.00074195+6.5212e-05i,-0.00088778-6.3237e-05i,-0.00050456+0.00030804i,-0.00054092+0.001207i,-0.00023353+0.00095729i,0.0003769+0.00017118i,0.00037336-0.00024425i,0.00041015-0.00028506i
0.00025442+7.3069e-05i,0.00032646-0.00038432i,0.0004891+0.00015235i,0.0001008+0.00060339i,-0.00035251+0.00043893i,-0.00082076+0.00020183i,-6.1342e-05-1.7676e-05i,0.0012081-0.00024501i,0.0013504-0.00035606i,0.00038933+0.00018376i,-0.00031656+0.00080232i,-0.00035432+0.00055472i,-0.00041305+3.6514e-05i,7.6323e-05-0.00035284i,0.00025813-9.9675e-05i,-9.1208e-05+0.00024768i,-0.00015979-0.00020287i,-0.000273-1.6244e-05i,-0.00018883+0.00052565i,-0.00019144+0.00021953i,-9.9142e-05-0.0002567i,0.00024273+0.00023226i,0.00028949+0.0009051i
0.0018282-0.00065183i,0.0012956-0.00096081i,0.00045499-0.001061i,0.00041575-0.00035985i,3.2899e-05+0.00057826i,-0.00041293+0.0013624i,-0.0002893+0.001982i,0.00049499+0.0014911i,0.0011422+0.00041825i,0.00054238+4.8243e-05i,-0.00013699+1.4002e-05i,-0.00061584+0.00028504i,-0.00061557+0.00085663i,0.00013442+0.0014163i,0.00010897+0.0013293i,-0.00027903+0.00087007i,8.5869e-05+0.00049377i,0.00094073+0.00043501i,0.0016234+0.00033896i,0.0011535+0.00011156i,0.00015007+3.6468e-05i,0.00027926+7.7048e-05i,0.00045336-0.00073192i
-0.00056196+0.00076328i,-5.8015e-05+0.00019822i,-0.00019247+0.00026305i,-0.00010424+0.00028682i,8.8762e-05-0.0005172i,0.00034174-0.00029448i,0.00065103+0.00033409i,0.0006525+0.00069499i,0.0011093+0.00050756i,0.00056378-7.0029e-05i,0.0003449-0.00043223i,0.00050282-0.00082875i,0.00054062-0.00056991i,0.0011136-0.00017428i,0.00094233-0.00029903i,6.0223e-05-0.00045222i,5.996e-05-0.00044546i,-0.0004474-0.000584i,-0.001189-6.6715e-05i,-0.00052289+0.00038225i,0.00033557-0.00021402i,0.00043392-0.00046378i,0.00010028-2.4702e-05i
0.00022498-2.6466e-05i,0.00081026+0.00054007i,0.00052933+0.00033073i,0.0004967+0.00031372i,0.00070172+0.0005572i,0.00039618+0.00075796i,3.7497e-05+0.0009813i,0.00026636+0.0012631i,0.00021423+0.0010928i,-0.00027819+0.00078756i,-5.7738e-05+0.00022984i,0.00019457-0.00032242i,2.9135e-05-0.00018368i,0.00091868-7.262e-05i,0.0015938-0.00032213i,0.0012157-0.00073936i,0.00069787-0.00072092i,-0.00046891-0.0010086i,-0.00086981-0.0015377i,-0.00049565-0.0006956i,-0.00049365+9.0117e-05i,0.00019775+0.00021784i,0.00041476-0.00021966i
0.00015479+0.00078115i,0.00018251+0.0013525i,0.00019142+0.0010819i,0.00069666+0.0006406i,0.00066838-1.0959e-05i,0.00060598-0.00013495i,-0.00019322+0.00022999i,-5.6073e-05-0.00011893i,0.0002441-0.00080715i,0.00036261-0.0007304i,0.00084742-0.00055314i,0.0011212-0.00075805i,0.00098427-0.00057568i,0.0004498-0.00018046i,0.00013225+9.4897e-05i,0.00042904-0.00098868i,5.8075e-06-0.0021068i,-0.00033728-0.00082044i,4.3515e-05-1.9064e-06i,5.6921e-06+7.6057e-06i,-0.00023355+0.00037174i,-4.4097e-05+0.00017362i,0.00058021-0.0004717i
0.00075494-0.00024092i,0.0011711-0.00093104i,0.00020194-0.00073171i,-0.0001724-0.00028907i,0.00013083-0.00031153i,-9.8073e-05-3.3164e-05i,0.00014778+0.00024916i,0.00030659+0.00011707i,0.00039204-0.00052335i,0.00018737-0.00049532i,0.00040593-4.5701e-05i,0.00024421+0.00032998i,-0.00015401+0.0005989i,0.00029077+0.00092538i,0.00034758+4.4435e-05i,0.00022706-0.00021786i,0.00015334+0.00073442i,0.00058564+0.00073713i,0.0011167-0.00023257i,0.00097693-0.00040198i,0.00058823+0.00014037i,7.587e-05+0.00032668i,-1.5352e-05+0.00044517i
-0.0018649-0.001084i,-0.0011991-0.00014384i,-0.00071514+0.00027606i,-0.00048162+0.00035523i,-0.00033196+0.00041506i,5.3607e-05+0.00093057i,0.00032886+0.0011779i,0.00033468+0.00037117i,-0.00018637-4.2844e-05i,-0.00029468-0.00038735i,0.00013343-0.00088494i,0.00033256-0.00072712i,4.3473e-05-0.00026584i,0.00067826-0.00016473i,0.001115-0.00056607i,0.00059027-0.00060253i,4.504e-05-0.00015856i,0.00027028+0.00076315i,0.00010465+0.00054294i,-0.00088789+0.00026372i,-0.0011824+0.00051937i,-0.0008465+0.00019593i,-0.00056007-0.0001628i
0.00019393-0.0006301i,0.00016189-0.00035456i,-0.00013709+0.00031702i,0.00013919+0.00028812i,0.00086503+0.00092834i,0.0012177+0.0014119i,0.00090663+0.00090925i,-0.00036188+0.00023373i,-0.0007678+0.00029975i,-0.00015368+0.00053443i,0.00040229+0.0001101i,0.00022271-0.00011089i,0.00059618-0.00046271i,0.00099893-0.00048148i,0.00093547-0.00083129i,-0.00012511-0.0014717i,-0.00078116-0.0011515i,-0.00057104+0.0005148i,-0.0003637+0.00085575i,0.00037603+0.00026801i,0.00055405+0.00071173i,0.00032868+0.00095905i,0.00064747+0.0010386i
0.0011061+0.00050536i,0.0013148-0.0011351i,0.0011561-0.0014377i,0.00072453-0.00071643i,0.0001415-0.00055982i,-0.0015956-0.0010161i,-0.0013754-0.00050175i,0.00036624+0.00075535i,0.0013258+0.00060147i,0.00065967+0.00019579i,-0.00026741+0.00011644i,-0.00039407+0.00078974i,-0.00049307+0.0010576i,-0.00088034+0.0005555i,-0.000798+0.00021262i,-0.00041256-0.00020629i,-0.00030402-0.00039492i,0.00025556-0.00037801i,0.00060025+0.00010574i,0.00073906+0.00064844i,0.0011132+0.0011357i,0.00084602+0.00051263i,0.00027972-0.00014567i
0.00057146-0.0015791i,0.00023146-0.0010561i,-0.0002701-0.00063899i,-0.001027-0.00074175i,-0.00090564-0.00047504i,-0.00033341+0.00090414i,7.1505e-05+0.0010954i,-5.1676e-05-9.7694e-06i,-0.00048928-0.00023081i,-0.0016328+0.00036345i,-0.0015686+0.00077061i,-0.0002364+0.0015554i,0.00082098+0.0016212i,0.0014364+0.00092216i,0.0011153+0.00064199i,0.00042764+0.00040073i,-0.00041253+7.7222e-05i,-0.00069454-0.00012795i,0.00020076-0.00056766i,0.00028101-0.0010446i,-0.00039913-0.00054332i,-0.00029961+0.00029843i,0.00038139+0.00025328i
0.0016786-0.0002969i,0.00090543-0.00040426i,-0.00024311-0.00079928i,-9.4223e-05-0.00097004i,0.00049151-0.00045426i,0.0005713+0.00062943i,0.00030854+0.00090933i,-0.00036396+0.00058986i,-0.00093593-1.8436e-05i,-0.00047145-0.00069627i,0.0002092-0.00041844i,8.1935e-05+0.00023001i,-0.00024913+0.00036079i,0.00029087-0.00016775i,0.00052519+6.7917e-05i,0.00021631+0.00012157i,0.00011831-0.00030278i,0.00031411-0.00016143i,0.00024578+0.0003922i,-0.0003539+0.00038792i,-7.3885e-05-0.00036963i,0.00050642-0.00073787i,1.8751e-05-0.00051008i
-0.0010542+0.00050267i,-0.00075338+0.00097038i,-0.00030739+0.0010616i,0.00022756+0.0012916i,-3.1553e-05+0.0017832i,-0.00043031+0.00082393i,9.2463e-05+0.00032916i,0.00060756+0.00063968i,-7.1037e-05+7.9167e-05i,0.00015759-0.00018669i,0.00023502+0.00046885i,-0.00051367+0.00082302i,-0.00022218+0.00047877i,0.00021093-0.00016805i,0.0003278-0.00082695i,0.00060185-0.00069237i,0.00042129-0.00021729i,0.00020872-0.00043267i,-0.0001797-0.00081217i,-0.00017502-0.00077738i,-0.0002119-0.00037457i,5.1752e-05+0.00055796i,5.2026e-05+0.0010507i
-0.00053959+0.00028754i,-0.00014094-0.00016776i,0.00067704+0.00016188i,0.00075562-2.8252e-05i,0.00068418-0.00019822i,0.00025634+0.00023999i,0.00030389+0.00018878i,0.00080283+0.00039456i,2.9435e-05+0.00031196i,-0.00047443-0.00018184i,0.00063159-0.00014661i,0.0012663-0.00031103i,0.00063764+5.1319e-05i,-0.00023531+0.00054952i,0.00011219+2.4032e-05i,0.00087067-0.00074473i,0.00069943-0.0012406i,0.0010032-0.001024i,0.00069473-0.00041476i,-4.2073e-05-0.00053531i,-2.364e-05-0.00026581i,0.00018856+2.0993e-05i,0.00016952+0.00019058i
-0.00059286-0.00066222i,-0.00018181-0.00070033i,0.00060766-0.00056834i,0.00098045-0.00057815i,0.00012274-0.00048456i,-0.00064825-0.0002153i,-0.0010044-0.00030711i,-0.00097889-0.00036561i,-0.00025177+9.3938e-05i,-0.00049583+0.00051008i,-0.00044738-0.00030874i,-0.0002282-0.00035752i,-0.00042609+0.00045464i,-0.00021986+0.00027994i,0.00020253-0.0013706i,0.000699-0.0012752i,0.0006703-0.00026743i,0.00026424-0.00065113i,-0.00037814-0.0009005i,-0.00062277-0.00065885i,-0.0004312-0.00017932i,-0.00010412+9.3958e-06i,0.0001537-0.0002979i
-4.1913e-06+0.0014133i,0.0002756+0.0023421i,0.00041811+0.0019486i,0.00052887+7.2713e-05i,0.0010767-0.00066065i,0.00096702+5.9164e-05i,0.0010149+0.00072126i,0.0011194+0.0008408i,0.00084801+0.00062899i,0.00087976+0.00020682i,0.00065433-0.00010013i,0.00060746-0.00069455i,0.00043262-0.00025442i,0.00026433+9.8851e-05i,0.00016686-0.00086697i,-5.7391e-05-0.00088707i,-1.1657e-05-0.00015411i,0.00063736-0.00043272i,0.00081225-7.6304e-05i,-1.8532e-05+0.00075571i,-0.0001744+0.00075235i,0.00019752+0.00051689i,0.00038236+0.00017036i
0.00066532-0.00095585i,0.00052628-0.0015583i,-0.00011107-0.0014657i,-0.00012346-0.000166i,-0.00062962+0.00032869i,-0.00059944+0.0005221i,-5.2998e-05+0.00047794i,-4.5658e-05-0.00054971i,-0.00013777-0.0002812i,0.00041945+6.9003e-05i,-0.00016494-9.3258e-05i,-0.00066015-0.00030927i,-0.00063117+3.4445e-05i,-0.0009623+0.00031618i,-0.00051969-0.00063987i,0.00080243-0.00050491i,0.0010428+0.00024891i,0.00055151-9.6917e-05i,0.00035238-0.0002871i,0.00010506-0.00027816i,3.5907e-05-0.00035663i,0.00047798+0.0001519i,0.00019806+0.00054951i
-0.0012067-0.00042766i,-0.0016483-0.00030139i,-0.0010704+0.00043866i,1.0701e-05+0.0014773i,0.00070979+0.0022453i,0.0011182+0.0021309i,0.00096303+0.0013142i,-0.00023852+0.00027928i,-0.00052046-0.00035895i,-0.00044919-0.00029802i,0.00032975+0.00028185i,0.00071413+0.00053873i,0.00095911-6.0622e-05i,0.0018822-0.00078282i,0.0017277-0.0013921i,0.00095025-0.0010121i,0.00063599-0.00010517i,0.00029073+0.00026324i,-0.00039733-0.0001965i,-0.00035274-0.0006637i,-6.7075e-05-0.00012045i,0.00033892-0.00036029i,0.00058517-0.00072807i
0.0023266-0.00075139i,0.0021575-0.0002108i,0.0011705+0.00034412i,0.00065483+0.00034616i,-0.00019301-0.00026892i,-0.00060584+0.00027559i,-0.00026684+0.00096536i,0.00040765+0.0004058i,0.00010102+0.00020443i,0.0001286+0.00063958i,0.00053371+0.0013058i,-0.00049144+0.0015069i,-0.00065553+0.00077836i,-0.00027252-6.5238e-05i,0.0003358-0.00031606i,0.00093204-0.00010452i,-0.00031664-0.00020439i,-0.00033376-0.00042267i,0.00041817-6.4082e-05i,0.00043053+0.00019184i,0.00055932+0.0001017i,0.00030645+7.9676e-05i,9.2658e-05+0.00057124i
0.00055716-0.00081658i,0.00053954-0.001677i,0.0011353-0.0010536i,0.00029426-0.00047711i,-0.0010001-0.00067937i,-0.0013165+0.00018558i,-0.0012265+0.00073374i,-0.00048914+0.00046467i,-0.0002624-0.00074223i,-0.00013837-0.0015324i,0.00030342-0.00083621i,-0.00021414+0.0004454i,-0.0002526+0.00081993i,0.00044147+0.000144i,0.00042206-0.00046633i,-5.1019e-05-0.00056876i,8.082e-05-0.00016621i,0.00067068+0.0004859i,0.0011625+0.00072978i,0.00047745-0.00023733i,0.00026436-0.00061854i,0.00086895+2.0429e-07i,0.00080053-0.0003264i
0.0020711+0.0012943i,0.0010804-0.0005152i,0.00066878-0.0007759i,0.0011395-0.00035406i,0.0013359-0.0006194i,0.001043-0.0011247i,0.00039447-0.00084244i,-0.00024391-0.00047801i,-0.00044062+0.0002366i,-0.00025275+0.00052895i,0.00020095-4.6664e-05i,-9.7331e-05-0.00045659i,-0.00096721-0.00045887i,-0.0012674+6.8089e-05i,-0.00015532-0.00049509i,0.00071709-0.0013267i,0.00097833-0.001285i,0.00070439-0.00073029i,7.53e-05+0.00044915i,-8.2463e-06+0.00066522i,0.00017652+0.00032308i,-9.8963e-07+0.00057707i,-0.00028637+5.709e-05i
0.00077724+0.0021465i,0.0015496+0.0022877i,0.0024391+0.00080992i,0.0012573+5.3198e-05i,0.00074034-0.0001172i,0.00027656+0.00027549i,-0.00061424+0.00069588i,-0.00042878+0.00053143i,0.00031049-0.00053584i,0.00081569-0.0006612i,0.00025761-0.00012993i,-0.00027362-0.00037779i,7.4e-06-0.00050635i,0.00052091-0.00039935i,0.00071723-0.0008242i,0.00095258-0.00093397i,0.001057-0.00091915i,0.0011771-0.00043682i,0.00081425+0.00034082i,-0.00016482-0.00016937i,-0.00081817-0.00048423i,-0.0006335+0.00010834i,-0.00029121+0.00029424i
