-0.001367-0.00026488i,-0.0011526-0.0011932i,-0.0012104-0.0013849i,-0.0012597-0.00087958i,-0.0020274+0.00058213i,-0.0021062+0.0010455i,-0.0018741+0.0010872i,-0.0012737+0.0015739i,3.4507e-05+0.0007633i,0.0012948-0.00011611i,0.0013638-0.00026149i,-0.00025584+0.00018159i,-0.0012591+0.00066719i,-0.00074286+0.00043841i,-0.00030164+0.0002172i,-0.00019997+0.00016143i,6.6886e-05+0.00045764i,-0.00012942+0.00067248i,6.0649e-05+0.00046171i,0.00088327-0.00037035i,0.00056866-0.0013384i,0.00024897-0.0016142i,-0.0001345-0.00084819i
-0.0006391-0.00019276i,-0.00094549+3.5454e-05i,-0.0016387-1.2608e-05i,-0.0018021-6.0375e-05i,-0.0020904+4.04e-05i,-0.00118+0.00050394i,-0.00019159+0.00056551i,-0.0001323-0.00014537i,5.0973e-05-0.00036964i,0.00034266+9.4804e-06i,0.00049789+0.00041542i,0.00011073+0.00052981i,-0.00073981+0.00079389i,-0.00084892+0.00048778i,-0.00020499+0.00065128i,0.00014775+0.00058303i,-0.0002382-0.00021538i,-0.0002092-8.0391e-07i,0.00013663+0.00037298i,-4.9705e-05+9.9411e-05i,-0.00019748-0.00013753i,-0.00022183-0.00053759i,-0.00013094-0.00052161i
-0.00018989+0.00021349i,0.00016182+0.00047872i,-0.00037073+0.00018043i,-0.00088971-0.00014496i,-0.001126+4.2394e-06i,-0.0015804+0.00018882i,-0.0013894+0.00038079i,-0.0010353+0.00026361i,-0.00028313-4.4103e-05i,0.0003965+0.0001037i,1.3295e-05+0.00011869i,-0.00058693-0.00024786i,-0.00038366-0.0002637i,-0.0001208-0.00053221i,-0.00087732+0.0001349i,-0.0011771+0.00099427i,-0.00080435+0.00096319i,-0.00074984+0.00031395i,-0.00051047-0.00030621i,-7.7201e-05-0.00060771i,0.00033001-0.00037613i,0.0012849+0.0001078i,0.00077593+0.00046151i
0.0018722-0.00033068i,0.00049089-0.0010502i,-0.00089141-0.0020261i,-0.0011183-0.0020288i,-0.00088634-0.0010687i,-0.00089992-9.2483e-05i,-0.0005503+0.00016317i,-0.0001364+0.00022242i,0.00051078+0.00057327i,0.0002314+0.00041015i,-0.00095969+0.00025381i,-0.0016553-0.00018491i,-0.0014723-0.00069265i,-0.00085576-0.00043904i,-0.00019132+5.7056e-05i,0.00026126-4.9623e-05i,0.00034492+0.00031728i,0.00063169-0.00011142i,0.00099499-0.00076277i,0.00064326-0.00046026i,-0.00049452-0.00076464i,-0.00058416-1.3131e-05i,-0.0003238+0.0010607i
-0.0014678-0.00092746i,-0.00059825-0.00014365i,-0.00071778+0.0012889i,-0.00097742+0.0018484i,-0.001154+0.0017889i,-0.0015822+0.0014698i,-0.0019276+0.00024726i,-0.0015158-5.9439e-05i,-0.00066519+0.00037806i,-0.00050179+0.00081106i,-0.00051702+0.00077681i,0.0003341+0.00031293i,0.0011878+0.00010961i,0.00086375+0.00062987i,0.0004622+0.0008679i,0.00045357+0.00015531i,0.00027314+0.00013747i,0.00041331+0.00043325i,0.0002167+0.00016864i,-0.00077022-0.00011903i,-0.0011564-0.00042263i,-0.00046234-0.00041134i,-0.00045921+0.00056799i
0.0012632+0.0016951i,0.0016532+0.00034381i,0.0010205-0.00096622i,-0.0003412-0.0013472i,-0.0014354-0.0011585i,-0.0023694-0.00066147i,-0.0016287+0.00010831i,-0.00014783+0.00022473i,0.00020351-0.00032593i,2.7878e-05-0.00033145i,-0.00016054-0.00010088i,-0.000322-0.00019468i,-0.00014329+0.00034813i,0.00035249+0.00079537i,0.00032736+0.00083012i,-7.7383e-05+8.5408e-06i,0.00079923-0.00091398i,0.0010634-0.00032382i,0.00029896+8.4469e-05i,0.00017168-6.5489e-05i,0.00035152-0.00029756i,0.00042018-0.00054154i,0.00026553-0.00061186i
-0.0013412-7.3226e-06i,-0.0021113+0.00093561i,-0.0016597+0.0010825i,-0.001439+0.00028864i,-0.0019699+0.00025271i,-0.0020719+0.0010289i,-0.0015256+0.0016821i,-0.00083966+0.001266i,-0.00093366+0.00055307i,-0.0005303+0.0012079i,0.00018093+0.0013848i,0.00075486+7.0493e-05i,0.00068172-0.0002219i,0.00037495+0.00072054i,4.5621e-05+0.00038047i,0.00045253-0.0004709i,0.00017857-0.0004224i,-0.00055603-0.00048023i,8.436e-05-0.00039488i,0.00022828-0.00011938i,0.00020198-0.0003251i,0.00030523-0.00019158i,0.0005695-9.2702e-05i
0.00058055+0.00044125i,0.00093769-0.00019124i,6.9557e-05-0.00058378i,-0.00089604-0.00029085i,-0.0014703-0.00056586i,-0.0014895-0.00056317i,-0.00090493+0.00053094i,-0.00037644+0.00066468i,0.00046289+0.00035262i,0.00049293+0.00041839i,-9.6293e-05-0.0004462i,-0.00024718-0.00022913i,-0.0006949+0.00019071i,-0.001118-0.00017718i,-0.00056916-9.9966e-05i,0.00038773+0.00043887i,0.00072726+0.0015703i,0.0004341+0.0013268i,-0.0001654+0.00089766i,-0.00046267+0.00065249i,-0.00033289-0.0002689i,0.00020928-0.00052114i,0.00086127+0.00014987i
0.0026215-0.0020192i,0.0010436-0.0014104i,-0.00074228-0.0010796i,-0.0022151-0.00037665i,-0.0019963+9.7755e-05i,-0.0010853+0.00014857i,-0.00026323+0.00024042i,0.00027231+0.0005745i,0.00024093+0.00058724i,0.00013403+0.00012483i,-0.00021323+0.00036343i,-0.00073613+0.00090012i,-0.00060186+0.00069823i,-0.00012535+0.00033807i,-0.00019639+0.00016512i,-0.00068767+0.00027364i,-0.00088348+0.00033691i,-0.00074505-0.00038734i,0.00021205-0.00083623i,0.0011718-0.00062022i,0.00079863-0.00037086i,0.00041353+0.00023776i,0.00050963+0.00055715i
0.0028793-0.00046244i,0.0004812-0.00040416i,-0.001317-0.0015596i,-0.0014592-0.0021638i,-0.0015201-0.0012573i,-0.001885+0.00095179i,-0.0019449+0.0023709i,-0.00072599+0.0019674i,0.00018279+0.00054726i,-0.00011787-9.7892e-05i,-0.0005917+5.5823e-06i,-0.00044581+0.00045769i,-5.4013e-05+0.0004756i,0.00033532+1.2912e-05i,0.00015873+0.00043914i,-0.00010971+6.5205e-06i,0.00037679-0.00099379i,0.00052503-0.00090987i,0.00048654+3.045e-06i,8.7539e-05+0.0001476i,5.4533e-05-4.2831e-05i,0.00041329-4.6079e-05i,0.00037756+2.9313e-05i
0.00019082+0.00056464i,0.00012169+0.0005121i,0.00086391+0.00084511i,0.00041938+0.00056289i,-0.0011316+0.00049975i,-0.0015479+0.001133i,-8.3782e-05+0.0012178i,0.0013087+0.00068714i,0.0008625+0.00025419i,-2.484e-05-0.00027676i,-6.6364e-05-0.00018466i,-0.00044243+0.00019036i,-0.00011756-0.00023695i,-6.0791e-05-0.00014733i,-0.00060274-0.00035551i,-0.0010845-0.00089622i,-0.0010568-0.00043445i,-0.00032469+0.00032369i,-6.4782e-05+0.00054691i,8.0428e-05+0.00013127i,4.163e-05+0.00026864i,-0.00059424+0.00091205i,-0.0009646+0.0007577i
0.0006028-0.0010585i,0.00077198-0.00083234i,7.4846e-05-0.0006003i,-0.00096636-0.00067639i,-0.0016882-0.00053746i,-0.001083-0.00034209i,-0.00073474-0.00045417i,-0.00067587-0.00012547i,-0.00031972-0.00020554i,-9.578e-05-0.00026481i,-0.00026624+0.00036902i,-0.00016967+0.00030134i,-5.8693e-05-0.00016945i,-0.00023402+0.00017762i,-0.00023198+0.00057869i,-0.00024884+5.0138e-05i,0.00039917-4.487e-05i,0.00055871-0.00027627i,6.4448e-05-0.00056927i,-0.00049652-0.00037155i,-0.00076279-1.6203e-05i,-0.00083125-0.00031951i,-0.0010419-0.00048628i
-0.00058384-0.00038505i,-0.0010554-0.00024377i,-0.0010081-0.00020221i,-0.00083683+0.00057073i,-0.0012879+0.00041035i,-0.0015394-7.7312e-05i,-0.0014018+0.00055358i,-0.00051363+0.00098924i,0.00024617+0.0009855i,0.00058962+0.00065011i,9.0143e-05+0.00040308i,-0.00076677+0.00042877i,-0.00085561+0.0010945i,-0.00050339+0.0012408i,-0.00032668+0.00071982i,0.00092412+0.00031067i,0.00070544+0.00058767i,-3.3755e-05+0.00030529i,0.00035002+4.7561e-06i,4.222e-05+0.00023531i,-0.00013758+0.00034288i,0.0001035+5.089e-05i,0.00018852-0.00038535i
0.0004693-0.00094593i,0.00069974-9.919e-05i,-1.9383e-05+0.00013761i,-0.0006256+7.1858e-05i,-0.0014535+0.00069814i,-0.0016169+0.00088317i,-0.00088329+0.00062301i,-0.00083883+6.3747e-05i,-0.00049771-0.00019079i,0.00024945-0.00036972i,-0.00049984-0.00047463i,-0.00090032-0.00032351i,3.1777e-05-0.00011884i,-5.3056e-05-0.00036892i,-0.00083165-0.00026976i,-0.00095174+0.0004903i,-0.00043671+0.0003436i,-2.5107e-05-0.00017886i,0.00025947-0.00011175i,-1.9865e-05-0.00026516i,-0.00022806-0.00035379i,-1.9908e-05+5.3e-05i,-2.6143e-06-0.00012888i
-0.00049044-0.00096125i,7.1088e-05-0.00073154i,0.00029969-0.00059145i,-0.00066093-0.0014597i,-0.0016718-0.0004724i,-0.0017795+0.00069002i,-0.001347+7.8842e-05i,-0.00078139-0.00012934i,-0.00096412+3.8934e-05i,-0.00071242-0.0001932i,-0.00017355-0.0001954i,-0.00030971-0.00052184i,-0.00023225-0.0007192i,2.8342e-06-0.00046127i,0.0003994-0.00053021i,0.00044358-0.00062636i,0.00028205-0.00048245i,0.00040195-0.00032955i,-0.00015142+0.00019452i,-0.00062008+0.00033569i,-0.00024681-0.00028966i,0.00060615-0.00041689i,0.0012186-4.9269e-05i
0.0015855+0.00088954i,-1.7962e-05+0.00063188i,-0.00059752+0.00035592i,-0.00068432-0.00020245i,-0.0013098+0.00018098i,-0.001499+0.00032715i,-0.0012093+0.00051315i,-0.0015599+0.00077951i,-0.0011757+0.00074798i,-0.00020931+0.00054306i,-0.00018648+0.00013946i,-0.00010782-0.00014374i,5.8589e-07-0.00060394i,-0.00038487-0.00012764i,-0.00089498+0.00074986i,-0.00069417+0.00010364i,-0.00028919-0.00050201i,0.00011747-0.0006448i,-0.00023399-0.0002882i,-9.8242e-05+0.00018311i,-7.1293e-05+0.00043844i,-0.00064572+0.00030004i,-0.00064059+0.0004158i
0.0001135-0.00012805i,-0.00048594-0.00098587i,-0.0002973-0.001178i,-0.0011712-0.0012029i,-0.00286-0.0010574i,-0.0024589-0.00023468i,-0.00096146+0.00032413i,-0.00021558+0.00073541i,-0.00014154+0.00052917i,-0.00018441-0.00010628i,-0.00036239-0.00078359i,-0.00072282-0.0012556i,-0.00057933-0.0007244i,-0.00031075+0.00011455i,-0.00038704+8.1712e-05i,-0.00016943+0.00023747i,-0.00038+0.0010366i,-0.00022422+0.00082485i,4.6523e-05-0.0003672i,-8.0554e-05-0.00086779i,-0.00038056+4.8246e-05i,-0.00030443+0.00064813i,0.00021589+0.00014258i
0.0013393+0.00054341i,0.0017822+0.00012348i,0.00083244-0.00085758i,-0.00093125-0.0014825i,-0.0016088-0.0011846i,-0.0021704-0.00053224i,-0.0018524-0.00013801i,-0.00012679-0.00024916i,3.7618e-05-0.00049619i,-0.00075338-0.00034736i,-0.00096663-0.00034607i,-0.00094-0.00016014i,-0.0011589+0.0001027i,-0.0015738+0.0003125i,-0.00083956+0.00050678i,-0.00034432+0.0004004i,-0.0001505+0.00061008i,-0.00051363+0.00082519i,-0.0012051+0.00057248i,-0.00030667+7.4557e-05i,0.00080097+0.00015708i,0.00084886+0.0012952i,0.00078264+0.0014276i
0.00035573+0.00022546i,-0.00023673-0.00016066i,8.218e-06-0.00021984i,-0.00026817-0.00031649i,-0.00084096-0.00083228i,-0.00054851-0.00025178i,-0.00048358+0.0007081i,-0.00033652+0.00040317i,-5.1139e-05+0.00020412i,0.00067092+0.00075688i,0.0009475+0.00052371i,0.0004884-0.00028967i,-0.00014033-0.00017265i,-0.00066352+0.0002275i,-0.0002379-0.00025718i,0.0010114-0.00032768i,0.00096687+0.00045083i,-0.0005541+0.00037423i,-0.000824+0.00012569i,-0.00030656+0.00046296i,7.7393e-05+2.1464e-05i,-1.3402e-05-0.00072959i,7.9599e-05-0.000246i
0.0014809-0.00044634i,0.0013236-0.00010171i,0.00031798-0.00038327i,-0.00037899-0.00092672i,7.3214e-06-0.00025136i,-0.00059719+0.00019595i,-0.00075906+7.3364e-06i,0.00038632+0.00014301i,0.0005249+1.0812e-05i,-1.172e-06+0.00019636i,0.00020506+0.00038084i,0.00024973-8.7511e-06i,-0.00024598-0.00044135i,0.00017969-0.00084976i,0.00031801-0.0011121i,-0.00065042-0.00093732i,-0.00043624-0.00099717i,-0.00013727-0.0016614i,-0.00041084-0.0014918i,-0.00059915-0.00071543i,-0.00076772+0.00011306i,-0.0011522+0.00029374i,-0.0010839-0.00011282i
0.00054389+0.00025168i,-0.00022963+0.00018647i,-0.00013475-0.00066647i,-0.0011579-0.00082i,-0.0021359-0.00021438i,-0.0020202+0.00022881i,-0.0014102+0.00045807i,-0.0009673+0.0010544i,-0.00016422+0.00062432i,-0.00016527-0.00023462i,-0.00042005-0.00030647i,-0.00091102+0.00029686i,-0.0012732+0.00047517i,-0.00055435-0.0002622i,-0.00025845-0.00043026i,-0.0004268-0.00033901i,-0.00018274-0.00025202i,-0.00032457-0.00026984i,-0.00065081-0.00044762i,-0.00064841-0.000711i,-0.00059986-0.00067717i,-0.0005287-0.00021411i,-0.00015903+9.0211e-05i
0.0016719+0.0004586i,0.0018334-9.3609e-05i,0.0010301-0.00073348i,-0.00059891-0.0011847i,-0.0016868-0.00093356i,-0.00047482+0.0002422i,0.00031547+0.00067794i,0.00031437+0.00086911i,0.00073947+0.00094326i,0.00055522+0.00041563i,-0.00081353-0.00048679i,-0.0010623-0.0007284i,-0.00017474-1.2863e-05i,-0.00020422-0.0002258i,-0.00029212-0.00019357i,0.00012208+0.00039618i,0.00047377+0.00021233i,-0.00037211+0.00012639i,-0.00073979+0.00018014i,-8.3686e-06+0.00015996i,-0.00019936+0.00013645i,-0.00069542+0.00034046i,-0.00010718+0.00045193i
0.00039828-0.00036534i,0.00038718-0.00012163i,0.00056633-0.00024684i,6.6383e-05-0.00028476i,-0.00064122+3.4679e-05i,-0.00045797+0.00068911i,-3.5393e-05+0.00022021i,0.00050165-0.00039858i,0.00013148-0.00038674i,4.3115e-05-0.00028815i,0.00024073-0.00018347i,-0.00049616+8.2668e-06i,-0.00045183+4.953e-05i,-8.6758e-05-0.00040642i,-0.00035566-0.00076242i,-0.0004605-0.00080797i,-0.00039865-0.00034915i,-0.00049855+0.00016543i,-0.00062375+0.00057492i,-0.0005015+0.00026714i,2.5259e-05+0.00026934i,0.00024193+0.00015841i,-9.9314e-05-0.00052351i
0.0018075-0.00046816i,0.0010639-0.0010719i,0.0002431-0.0021255i,-0.00071392-0.0012685i,-0.0016167+0.00012061i,-0.001461+0.00021111i,-0.00059472-0.00045393i,0.00047042-0.00038148i,0.0007036-0.00017426i,1.8639e-05-0.00063405i,-0.00028694+0.00012004i,-0.00056151+0.00074322i,-0.00055502+0.00070446i,-0.00016422+0.00055762i,-0.0001471+0.00023458i,2.4456e-05+0.00011293i,-0.00028+0.00010326i,-0.00078094+0.00015802i,-0.00010196-0.00050201i,0.00062271-0.00074289i,0.00096918-0.00028385i,0.00061361-0.00013534i,-0.00011742-6.7258e-05i
1.2095e-05-0.00074203i,-0.0010235+0.00038571i,-0.0012858+0.00080154i,-0.0021209+0.00065205i,-0.0024895+0.0007703i,-0.0021342+0.00085489i,-0.0013298+0.00043116i,-0.00046554-7.8164e-05i,-0.00081469+0.00058453i,-0.0012997+0.00054861i,-0.00073577-0.0005055i,-0.00015844-0.00098128i,0.00012323-0.00060943i,-7.0512e-06+5.3021e-05i,6.4172e-05+0.00039403i,0.00037711+8.0467e-05i,0.00021666-0.00045446i,0.00024062-0.0003548i,0.00039977+0.00010086i,-0.00014387+0.00061649i,-0.00066513+0.00047i,-0.00082267+7.7778e-05i,-0.00069639-0.00027181i
0.00068168+2.8342e-05i,1.7909e-05+0.00038676i,-0.0015855-0.00087702i,-0.0018948-0.0017399i,-0.0015893-0.0003886i,-0.0014478+0.00076016i,-0.0014736+0.00083089i,-0.0014851+0.0004964i,-0.001281-0.00018184i,-0.0011327-0.00069999i,-0.00091198+0.00039973i,-1.108e-05+0.001336i,0.00053584+0.00087357i,0.00030236+0.00066561i,0.00055483+0.00099974i,0.0013087+0.0010971i,0.0013486+0.00078258i,0.00028887+0.00040676i,-0.00061348+0.00089365i,-0.00070589+0.00070898i,-0.00029119-0.0003146i,-0.00011287-0.0002684i,-0.00027669+0.00019601i
0.0014208-0.00050186i,0.0014796-0.00096606i,0.00041007-0.0017765i,-0.0018443-0.0021616i,-0.0028546-0.0017521i,-0.0016522-0.0010011i,-0.00053804-0.00031885i,-0.00023027+0.0001307i,0.00035184-0.00028863i,0.00066133-0.001183i,0.00065307-0.0010392i,5.7563e-05-0.00035388i,-0.00028313-8.0435e-05i,-0.00019014+0.00027547i,-0.00087077+0.00049032i,-0.0015464+0.00029854i,-0.0013322+0.00048132i,-0.00051282+0.00022321i,6.0656e-05+0.00039887i,-0.00028561+0.00019641i,-2.3454e-05-0.0001907i,0.00082005+3.2938e-06i,0.00027555-0.0001103i
0.0018721-6.1324e-05i,0.0018329-0.00015584i,0.0015058-0.0011748i,-0.00034568-0.0011855i,-0.0012495-0.0015391i,-0.0019384-0.0011915i,-0.0024695-0.00014173i,-0.0017177+0.00012141i,-0.00051717-0.0005014i,-0.00015214-0.0010066i,0.0001451-0.00038033i,0.00017718+0.00024416i,9.5572e-05-7.1607e-05i,-0.00022819-0.00024453i,-0.00054066-0.00060721i,-0.00010237-0.0005485i,-0.00014531-7.0576e-05i,-0.00091649-0.00024728i,-0.00068456+0.00026598i,-0.00024339+0.00027251i,-0.00062375-0.00042731i,-0.00064538-6.7784e-05i,8.2339e-05+0.00038759i
-0.00032602+0.00027232i,-0.00075847+8.8497e-05i,-0.00013066-0.00065655i,-8.8804e-05-0.00075749i,-0.00050122-0.00073179i,-0.00062177-0.00043311i,-0.00059222+0.00075463i,-0.00014398+0.00094669i,-0.00016916+8.1457e-05i,-0.00066238+0.00012671i,-0.00059181+0.0001659i,-0.0002894-0.00049149i,-0.00025103-0.0010933i,-0.00012295-0.0017131i,2.9527e-06-0.0013931i,0.0001592-0.0008063i,0.00088786-0.00067106i,0.00063225-0.00042604i,-0.00013545-0.00071077i,0.00047061-0.00045824i,0.0011362+0.00035805i,0.00055185+0.00035163i,-1.2208e-05+7.2612e-05i
-0.0015427-0.00044234i,-0.0014347+0.00042402i,-0.0014725+0.0011402i,-0.00052099+0.0012152i,0.00023867+0.00091663i,0.00012622+0.0010787i,-0.00021237+0.00090463i,-0.00068696+0.00062439i,-0.00063156+0.0010638i,-0.00060813+0.00077721i,-0.00024645-0.00016461i,-0.00014222-0.00094319i,-0.00040022-0.0010545i,0.00031846-0.00067075i,0.00076314-0.00021116i,0.0004041+0.00035216i,-0.00037107+6.641e-05i,-0.00092183-0.00031266i,6.8879e-05-0.00041339i,0.00033611-0.00039302i,-0.00037149-0.00053786i,0.00045041+4.2838e-05i,0.00072688+0.00086693i
3.1507e-05+0.0021779i,0.00068672+0.00096175i,0.00056757-0.00019652i,0.0001839-0.00090191i,0.00012496-0.00099807i,-0.00024564-0.0013839i,-0.00056668-0.00077127i,-0.00024532-0.0001619i,-0.00016701-0.00017812i,-0.00024939-0.00063785i,-0.00044143-0.0012312i,-4.8701e-05-0.00097734i,0.00052277-0.00045349i,0.00063789+0.00018346i,0.00026819+0.00019711i,-0.00026148-0.00028561i,-0.00056604-0.00031951i,4.7908e-06-4.0463e-05i,-0.00011908-0.0006008i,-0.00095947-0.00057375i,-0.00076062-0.00017446i,-0.00045292-2.8394e-05i,-0.00077442+0.00014859i
0.00038285+0.00066363i,3.0794e-05+0.00045909i,-0.00053124+0.00067368i,-0.00082713+0.00059011i,-0.00053314+0.00051843i,-0.00039259+0.00027286i,-0.00019417-4.0526e-05i,0.00018134+2.2847e-05i,-0.00030383+0.00013637i,-0.00042804-0.00042764i,-0.00049867-0.00096014i,-0.0008032-0.0011636i,-0.00067825-0.001187i,-0.00071069-0.0012412i,-0.00072364-0.00093494i,-0.00035111-5.3692e-05i,-0.0005389+0.00027583i,-0.0003426-0.00026956i,-0.00014313-0.00092629i,-0.00010917-0.00083233i,0.00026424-0.00072514i,0.00052015-0.00116i,0.00026492-0.00089821i
