-0.00028027-0.0012065i,-0.00013239-0.00056151i,-0.0006459-6.8485e-05i,-0.0010057-0.00075297i,-0.0011808-0.00074584i,-0.0013993+0.00046778i,-0.00035858+0.0020015i,0.00097311+0.0020065i,0.0011911-8.8427e-05i,0.00068922-0.001203i,0.00065435-0.0006781i,0.0006662-0.00018845i,0.00035289-0.00037327i,-0.00010865-0.00024424i,-0.00039935-0.00039213i,-0.00043552-0.00052266i,-4.6169e-05-2.8682e-05i,-5.1829e-07-0.00032724i,0.00011154+9.5183e-05i,0.0002261+0.00071541i,-7.2484e-05-0.00048272i,-4.9464e-06-0.0011263i,0.00058545-0.0003292i
-5.129e-05-0.00020333i,0.00099895+0.00055246i,0.0012907+0.001674i,-0.00016598+0.00087743i,-0.0017331+0.0003872i,-0.0027195+0.00069061i,-0.0019589+0.00084688i,-0.00081461+0.0012227i,-0.00030129+0.00076572i,0.0004983-0.00061232i,0.00037161-0.00044869i,-0.00015769+0.00044032i,-0.0011476+0.00015215i,-0.0011432+5.6918e-05i,-0.00042784-0.00013303i,0.00037334-0.00061897i,0.00058484-0.00023345i,-9.068e-05-5.2634e-05i,-0.00037242-0.00034546i,-0.00042981-0.00021146i,-0.00049693-6.7041e-05i,-0.00026963+0.00061108i,0.00021344+0.00072127i
0.0014859-0.0015961i,0.00037832-0.0017366i,-0.00080431-0.0025566i,-0.0015535-0.002533i,-0.0023586-0.0009768i,-0.0023684+0.00050527i,-0.0016846+0.00046924i,-0.00023907-0.00055583i,0.00028562-0.00082586i,7.5471e-05-0.00031367i,0.0001127+5.4195e-05i,-0.00010071+0.00059386i,0.00010756+0.00088592i,0.00075833+0.0011687i,0.000447+0.0015948i,-0.0005822+0.0012787i,-0.00039421+0.00071712i,0.00012965+0.00085287i,-0.00060537+0.00046105i,-0.00081238-0.00034932i,6.9791e-05-0.00099517i,0.0004659-0.00075936i,0.00025245-0.0002074i
0.0013379+2.6891e-05i,0.00068824+0.0011916i,-0.00012282+0.001989i,-0.00054981+0.0010408i,-0.00026726+0.00059146i,-0.00014738+0.0011987i,-0.0003747+0.0013502i,-0.00068613+0.0010842i,-0.00078587+0.00081492i,-0.00021159+0.000395i,0.00062398+0.00012684i,0.0001566+0.00023467i,-0.00061888+0.00011359i,-0.00039894-0.00046666i,0.00069042-7.9255e-05i,0.00071507+5.8586e-05i,-0.00057212-6.752e-06i,-0.00092278+0.00072429i,-0.00043435+0.00021068i,0.00018862-0.00061232i,7.0431e-05-0.00049877i,0.00012456+1.0394e-05i,0.00035604-0.00028425i
0.00052469-0.00038203i,0.00022215-0.0009222i,-0.00022003-0.0012838i,-3.1782e-05-0.0014664i,-0.00021625-0.0015523i,-0.00050013-0.00061822i,-0.00042224-2.5729e-05i,-0.00052021+1.1202e-05i,-0.00033999+0.00043565i,-0.00033094+0.00027474i,-0.00040161-0.00020198i,0.00043468+6.033e-05i,0.00074061+0.00063837i,-7.4838e-05+0.00026599i,-0.00039616+0.00016743i,-0.00055359-4.7612e-05i,-0.0011243-0.00028113i,-0.00074982+0.00031509i,-0.00011175+0.00085637i,0.00036314+0.0008585i,0.00042673+0.00067094i,-0.00029862+4.0305e-05i,-0.00042469-0.00066896i
0.00085427+0.00023574i,-0.00049723+0.00028443i,-0.00056367+0.0010724i,-0.000603+0.001325i,-0.0012322+0.00079454i,-0.0014329+0.00048614i,-0.0016116+1.6877e-05i,-0.0013594-0.00029804i,-0.00024819+0.00038973i,0.00061502+0.0005665i,-1.3098e-06+3.8137e-06i,-0.00086509-0.00020759i,-0.00074398-0.00059971i,-0.00046632-0.0006352i,-0.00054443-0.00039071i,1.8153e-05+8.502e-06i,0.00012389+8.102e-06i,0.00035719-0.00092078i,0.00056149-9.024e-05i,4.0547e-05+0.0014138i,0.00029383+0.00079167i,0.0005475-0.00022024i,0.00031852-0.00026213i
0.0012732+0.00096189i,0.00077409+0.00075506i,0.00062826+0.00072472i,0.00024442+0.00021626i,-0.00017008-0.00088082i,-0.00046582-0.00027628i,-0.00091112+0.00086282i,-0.0009348+0.0012336i,-0.00068961+0.00094943i,-0.00051397+0.00038004i,-0.00056573-7.4876e-06i,-8.804e-05-3.7082e-05i,0.00025135+0.00024528i,-0.00029661+0.00012076i,-0.00066167-0.00056567i,-0.0003556-0.0014035i,0.00040554-0.00050313i,0.00072312+0.00062308i,0.0002308+0.00044648i,0.00020239+0.00054716i,0.00052003+0.00062228i,0.00058616-7.6563e-06i,0.00051338-0.00061309i
-0.0015214+0.00062848i,-0.00042294+0.0010642i,-4.2563e-05+0.0010947i,0.00057848+0.00036148i,0.0014411-0.00073966i,0.0013036-0.00068896i,0.00025011+0.0002016i,-0.00047953+3.2958e-05i,-0.00029424+0.00027616i,-0.00018885+0.00044997i,6.2265e-05-0.00036689i,0.0007151-0.0007779i,0.00088295-0.00060026i,0.0004666-0.00058275i,0.0005681+2.5047e-05i,2.252e-05+0.00021125i,-0.00051949-7.716e-05i,0.00038872-0.00012006i,0.00072967-0.00051479i,-4.7856e-05-0.0005801i,-0.00053112-0.0006195i,-0.00040958+0.0003427i,-0.00058861+0.00091298i
-0.0013817+0.0001254i,-0.00053468+0.00034107i,-0.00022278+0.0014873i,0.00016412+0.0015945i,-0.00014957+0.00025011i,-0.00051834-0.00028117i,-0.0010933-3.245e-05i,-0.0019954+2.5354e-05i,-0.0016827+0.00033589i,-0.00031905+0.0010019i,0.00090861+0.0012192i,0.00085076+0.00090273i,0.00057535+0.0011481i,0.00032526+0.0011821i,0.00034648+0.00015567i,0.00071701-0.00031165i,0.00063191-0.00021766i,0.00052825-0.00014432i,0.00036721-0.00013998i,-0.00033804-0.00043147i,3.5873e-05-0.00059295i,0.00031111-6.2463e-05i,-1.019e-06+0.00010541i
-0.00074647+0.00061749i,-0.0013719+0.0014184i,-0.001223+0.0010263i,-0.001553+0.00039974i,-0.0018158-0.00057303i,-0.0013582-0.00014209i,-0.0006556+0.00091276i,6.7516e-05+0.00066043i,0.00046954-0.00022864i,0.00071766-0.00042797i,0.00088745+0.0004055i,0.00082572+0.00053231i,0.0007532+0.00026558i,0.00031473+0.00058311i,-6.9104e-05+0.00050931i,0.00012589+0.00013207i,-9.1976e-05+0.00020686i,-0.00030517+0.00035069i,0.00011141-0.00028277i,0.00053932-0.00046494i,0.00024913+0.00024164i,-0.00064984+0.00085855i,-0.00046107+0.00020936i
-0.0011341+0.0013991i,-0.00050541+0.0020067i,0.00010671+0.0029148i,0.00068981+0.0019104i,0.00053482+0.00082796i,0.00067319+0.00013248i,0.00064912-0.00012794i,-0.00023266-0.00054219i,-0.00049603-0.00079794i,0.00016526-0.00030817i,4.0708e-05+0.00021238i,-0.00056516+0.00053458i,-0.00091629+7.0864e-05i,-0.00066761-0.00045326i,-0.0003947-0.00095009i,0.00033417-0.0013376i,0.0006936-0.00040536i,-0.00066837-0.00023707i,-0.00091495+6.4336e-05i,0.00010026+0.00029874i,-6.5124e-05-7.8791e-05i,-0.00017498-3.138e-05i,8.0961e-05-7.157e-05i
0.00072786+0.0020011i,0.00072152+0.0031133i,0.0012625+0.0020542i,0.0011913-0.00019027i,-0.00042149-0.0010576i,-0.002132-0.00089719i,-0.0014052-0.00041088i,0.00013819-1.378e-05i,3.5631e-05+0.00021697i,0.00025718-0.00015461i,2.3918e-05-0.00070464i,-0.00069-0.00068356i,-0.00037125-0.00069371i,-0.00020004-0.00025532i,-0.00040952+0.000252i,-0.00045355+0.00041609i,-0.00043045+0.00066091i,3.5309e-05+0.00025383i,0.00037996+0.00027974i,0.00011085+0.00013365i,-0.00032308-0.00028427i,-0.00069091+0.00032141i,-0.00031658+0.00091497i
-0.00064259-3.7438e-05i,-0.00062161-0.00023439i,-0.00044971-0.00076194i,-0.00067496-0.0011184i,-0.00071693-0.00090377i,-0.00096131-0.00061719i,-0.00098416-0.00061594i,-0.00072532-0.00061833i,4.4128e-05-0.0002034i,0.00096733+0.0004029i,0.0010038+0.00079984i,0.00031487+0.00095505i,7.5265e-05+0.00050613i,-0.00021302+0.00017845i,-0.0007953+7.1551e-05i,-0.00048116-0.00021694i,0.00030575-0.00043593i,0.00076747+5.133e-05i,0.00051284-0.00010557i,-0.00036314-0.00042692i,-0.00084689-6.8092e-05i,-0.00077836-1.5936e-05i,-0.0004619+0.0001473i
0.0023459+3.6098e-05i,0.001118+0.00039308i,0.00025415-0.00054094i,-0.00013354-0.001103i,-0.0010696-0.00068765i,-0.0011054+3.1096e-05i,0.00035209+0.00031957i,0.0010935+0.00030716i,0.00074194+0.00022366i,0.00053099+0.00028711i,0.00036135+8.3291e-05i,0.00011023+0.00013632i,-0.00051809+0.0009476i,-0.00045357+0.0017438i,-0.0006667+0.0018073i,-0.0010501+0.00093006i,-0.00054493+0.00031296i,0.00026138-8.0746e-05i,0.00066926-8.124e-05i,0.00042617-0.00025916i,0.00020299+1.8269e-05i,-0.00012219+4.1932e-05i,-0.00066056+9.0813e-05i
-1.2081e-07+0.00077839i,8.3814e-06+0.00045074i,0.0004058+0.00031595i,0.001002+5.4175e-05i,5.8474e-05+1.8425e-05i,-0.00095049+0.00044557i,-0.00079369+0.00079492i,-0.00055781+0.00071709i,-0.00032634+0.00035584i,7.6198e-05-3.6843e-05i,-1.5288e-05-0.0006141i,0.0001771-0.00082158i,0.00054935-0.00037383i,0.0004147+0.00031689i,-0.00027677-4.0731e-06i,-0.0010112-0.00032807i,-0.0010124-0.00032019i,-0.00080186+0.0001155i,-0.00046723-2.9636e-07i,-0.00052987-8.2833e-05i,-0.0010122+3.6202e-05i,-0.00048441-0.00027583i,-0.00012338-0.00011094i
-0.0012875+0.00068845i,-0.0020051+0.0022813i,-0.001542+0.0016827i,-0.00075936+0.0003441i,-0.00061834+0.00089047i,-0.00062574+0.0016513i,-0.00063781+0.00046564i,-0.00051184-0.00043854i,-8.7116e-05-0.00030201i,0.00012355-3.0002e-05i,-0.00019818+0.00047556i,-0.00021542+0.00091653i,-0.0002829+0.0010134i,-0.00044039+0.00019799i,0.00019497-0.00084823i,0.00064768-0.00069924i,2.9635e-05-0.00019279i,-0.000291+0.00023435i,-0.00044914+0.0002917i,-0.0009265+7.3778e-05i,-0.0011201+0.00044058i,-0.00096924+0.00012702i,-0.00064106-0.00077756i
0.00035225-0.00013994i,7.4264e-05-0.00042206i,0.00035111+0.0001776i,0.0002117+0.00030284i,-0.00029969-0.00017744i,-0.0010995+4.9603e-05i,-0.0014943+0.00084083i,-0.0013643+0.00089324i,-0.00088353+0.00047598i,-0.00043414+0.0005637i,-0.00034848+0.00052254i,-0.0002413-0.00016348i,-0.00067925-0.00012303i,-0.0017984+0.00083434i,-0.0013739+0.00060318i,-0.00050328-0.00010041i,-0.0007919-0.00032513i,-0.0010699-6.8761e-05i,-0.00083905+0.00017623i,-0.00068409+9.8336e-05i,-0.001019+0.0003155i,-0.0012701+0.0003774i,-0.00036817+0.00016855i
0.00013776+0.0018811i,0.00072481+0.0025357i,0.001318+0.0016938i,0.001336+0.000113i,0.00017916-0.00061984i,-0.0009794-0.00030729i,-0.00081165-4.5381e-05i,8.4799e-05-9.591e-05i,0.0005437-0.00035254i,0.00050649-0.00081787i,0.00013551-0.00049287i,8.3715e-05+0.00029009i,-3.4089e-05+0.00039286i,-1.0854e-05+0.00014784i,-2.6752e-05-1.494e-05i,-0.00061084-0.00023348i,-0.00043148-0.00018677i,8.7145e-05+0.00022667i,0.00037122+0.00012792i,-0.00060443+0.000435i,-0.0010003+0.00086624i,-0.00024044+0.00045765i,-0.00034818-0.00051117i
-0.00050358+0.00044397i,-0.00058886+0.00034698i,-0.00028737+0.00041811i,4.7857e-05+9.1579e-05i,-0.0011318+6.6354e-05i,-0.0020785+0.00013375i,-0.0018676+0.00025824i,-0.0019101-0.00019421i,-0.0018396-0.00091088i,0.00011652-0.001198i,0.0012507-0.00079764i,0.00036434-1.6744e-05i,-7.863e-05+0.00049453i,-0.00042648-7.6048e-05i,-0.00023787-0.00033937i,-0.00071623-0.00023461i,-0.00090016-0.00050869i,-0.00021806-0.00027627i,0.00015336-6.9511e-06i,0.00026913+0.00022479i,-0.0003384+0.0005137i,-0.00028336+0.00070814i,0.00034178+0.0003317i
2.0343e-06+0.0017958i,0.001111+0.0025184i,0.0013949+0.0024846i,0.00056144+0.00095347i,5.9455e-05+2.0536e-05i,2.4073e-05+0.00023544i,-0.00051774-0.0002267i,-0.00089409-0.00077341i,-0.00062285-0.00073102i,5.5006e-05-0.00053375i,1.5998e-05-0.00014414i,-0.0002913-0.00036129i,6.8779e-05-0.00020842i,-3.5277e-06+4.4389e-05i,-0.00026849+0.00028961i,-0.0003453+0.00037426i,-0.00010885-0.00011363i,-0.00035158-0.00052728i,-1.4463e-05-0.00090579i,0.0005339-0.00097272i,0.00053346-0.00084453i,0.00060384-0.00055572i,0.00074548-0.00047093i
-1.1524e-05+0.00079527i,0.0004326+0.00058321i,0.001413+0.00030084i,0.0011346-0.00033726i,-0.00030211-0.00048968i,-0.00076627+0.00065389i,-0.00021481+0.0013672i,0.00064207+0.00042832i,0.0011376-8.7622e-05i,0.00056844+6.9738e-05i,0.00023526+6.7207e-05i,6.8143e-05+0.00031841i,2.9721e-05+0.00075162i,-0.00038025+0.00016615i,-0.00095445-0.00056342i,-0.00049549-0.00046959i,-0.00037598+0.00019347i,-0.00028016+0.00019001i,0.00060868+0.00035116i,0.00060548+0.00051244i,-4.8139e-05+0.00010914i,0.00031676-0.00013106i,0.00062856+0.00027198i
-0.00020612+5.002e-05i,0.00043891-0.00024303i,0.00032331+4.558e-05i,0.00032159+0.00029285i,0.00051382+0.00059464i,0.00031648+0.00085669i,-0.00012274+0.00065612i,-0.00023786+0.00052404i,-0.00021548+0.00048274i,-0.00011575-9.9042e-05i,0.00051415-0.00019971i,0.00060677+0.0006529i,0.00035969+0.00089083i,0.00021144+0.00022232i,0.00034929+1.5728e-05i,0.00017922+0.00024732i,9.4181e-05-0.00029616i,0.00018072-0.00022026i,-0.00022178-0.00025621i,-0.00031268-0.00013868i,-0.00026674+0.00044317i,-0.00045662+0.00070214i,-0.00042294+0.00036358i
-3.2222e-05+0.0011979i,-0.00076201+0.0013629i,-0.001418+7.46e-05i,-0.0014081-0.0006185i,-0.00111-0.00058774i,-0.00020711+0.00019423i,0.00070078+0.00094219i,0.00049181+0.00064463i,9.6844e-05-0.00025605i,0.00065191-0.0002645i,0.00062468+3.9403e-05i,0.00043946+0.00019816i,0.00076614+0.00043681i,0.00097831+0.0007177i,0.00087682+0.0010445i,-0.00031166+0.00060608i,-0.00019698-3.0532e-05i,0.00053626-2.0188e-05i,-0.00011124-5.5095e-05i,-0.00053078+8.6429e-05i,0.0003115-0.0001567i,0.0011939-0.00035225i,0.00083579+0.0001923i
0.0012212-0.0014896i,-0.00068668-0.00042784i,-0.0017251-0.001028i,-0.0015778-0.0018412i,-0.0019778-0.00059456i,-0.001285+0.001418i,-0.00022153+0.0012667i,6.7394e-05-0.00024848i,0.00027245-0.00093501i,2.674e-05-0.00072695i,4.1808e-06+0.00017263i,0.00016926+0.00037479i,0.00016951-0.00018102i,0.00018144+0.00016745i,-8.5756e-05+0.00081153i,0.00036587+0.00090891i,0.00038943+0.00059923i,-0.00067675+0.0001599i,-0.0008398-0.00021724i,-0.00022361-0.00069259i,0.00055128-0.00070041i,0.00058092-0.00012338i,0.00013005+0.00019428i
0.0021555+0.00020157i,0.0015716+0.00046259i,0.00085515+0.00012936i,0.00049451-0.0015718i,-0.00085432-0.0017266i,-0.002-0.00081758i,-0.00091831-0.00018454i,-0.00028963+0.00059759i,-0.00048939+0.00027268i,-0.00064108-0.00093921i,-0.00094752-0.0012537i,-0.00047701-6.9933e-05i,-0.00016173+0.0010755i,-0.00062787+0.0014299i,-0.00061923+0.00095014i,-0.00053688+0.00046182i,-0.0010302+0.00039713i,-0.0011004-2.5592e-05i,-0.00070654+0.00012488i,0.00021676+0.0012778i,0.00032135+0.0013128i,-0.00070283+0.00022984i,-0.0011458-7.5021e-05i
-0.0012547+0.00056144i,-0.0012229-0.0002978i,-0.0010959+0.00021114i,-0.00077349+0.00080434i,-0.00076642+0.00028679i,-0.00087863-0.00013004i,-0.00068181+4.6633e-05i,-0.00037947+0.00017271i,-0.00056891+0.00022808i,-0.00017589+0.00035329i,0.0004851+0.00044543i,0.00067336-0.00019841i,0.00089267-0.00073006i,0.00022223-0.00073538i,-0.00033776-0.00068541i,-4.6192e-05-0.00073328i,7.9036e-05-0.00053275i,0.00025704-0.00043387i,-0.0003439-7.3039e-06i,-0.00066867+0.0004492i,0.00020701+0.00052624i,0.00065627-0.00010432i,0.00099404-0.00051052i
-0.0013568-0.00016618i,-0.0011964+0.0008417i,-0.00064253+0.00085034i,-0.00036648+0.0004527i,-0.00084787+6.3031e-05i,-0.0014889+2.5244e-06i,-0.0020217-0.00057057i,-0.0010204-0.00093868i,0.00017875-0.00070433i,0.0009306-0.00023089i,0.0013652-9.0625e-05i,0.0013807-3.6136e-05i,0.0012489+0.00046498i,0.00036034+0.00051613i,0.00048796+0.00010321i,0.001054+0.00041744i,0.00058357+0.00018473i,0.00013086-0.00083787i,-0.00012519-0.00078324i,-5.3944e-05+0.00077893i,-9.7446e-05+0.00097244i,-0.00026157-0.00035823i,-0.00051111-0.00032423i
0.00055943-0.00069047i,0.00042489-0.0003056i,7.8643e-06+0.00041765i,-0.00064448+1.3759e-06i,-0.00052807-6.4032e-05i,4.9362e-05+0.00010802i,4.4741e-05-0.00055262i,-0.0008297-0.00036336i,-0.00098168+0.00018509i,6.4666e-05+4.2888e-05i,0.0006861-0.00050128i,0.00014661-0.00014847i,-0.00056994+0.0008747i,-0.00094806+0.00058707i,-0.0011221+0.00046877i,-0.00090747+0.00068027i,-0.00019179-0.00031447i,0.00062611-0.00065355i,7.2319e-06+3.1127e-07i,-0.00070088+0.00063176i,-0.0003881+0.0011359i,-0.00022103+0.00025349i,0.0001795-0.00071221i
-2.5274e-05+0.0023356i,0.00035367+0.0030773i,0.0016072+0.0025435i,0.0018941+0.0010279i,0.00049826+0.00066565i,-0.00059071+0.00087242i,-0.00081685+0.00044874i,-0.0010306+0.00030075i,-0.00073738+0.00088457i,-0.00011165+0.00109i,-0.00032918+0.00028216i,-0.0004906-0.0004163i,-0.00018132-0.00045144i,-0.00046879-0.00034998i,-0.00069158-0.00050427i,-0.00043157-0.00028309i,-0.00055711-0.00038715i,-0.00042956-1.1351e-05i,-0.00054685+0.00044433i,-0.00067408+0.00029i,-0.0010429-0.00018289i,-0.0010781-0.00031846i,-0.00033578-0.0005388i
0.0027515+0.00098994i,0.0032065+0.00063531i,0.002439-1.8341e-05i,0.00078464-0.0010561i,-0.00021323-0.0012783i,-0.00050852-0.00026184i,-0.00070524+0.0008253i,-0.00011553+0.00086775i,0.00053024+0.00099021i,0.00013556+0.00079875i,-0.00015731-0.00013428i,-4.4293e-05-0.00042979i,0.00014144+0.00045829i,-0.0001955+0.00071707i,-0.00036906+0.00022789i,0.00020632+0.000149i,0.00075616+0.00028942i,0.00073613+0.00058686i,0.00052511+0.0002326i,-1.6976e-05+0.00025334i,-0.00049966+0.00049786i,-0.00058993+0.00038544i,-0.00047069+0.00053881i
0.00053079-0.00015851i,0.00032005-0.00031275i,0.0011643-0.00053945i,0.0020944-0.0017706i,0.00070705-0.0014294i,-0.00067579+0.00011981i,-0.0003449+0.00074658i,-5.0057e-05+0.00059398i,0.00010724+1.2548e-05i,0.00012421-0.00043277i,0.00036572-0.0003464i,0.0004265+0.00011221i,5.8581e-05+0.00044993i,-0.0005875+0.00032497i,-0.00064197+0.00029316i,0.00031453+0.0003624i,0.00078347-0.00019664i,2.1587e-05-0.00014342i,-0.00081375+0.00061675i,-0.0013064+0.0010234i,-0.00090198+0.0011i,6.3205e-05+0.00084578i,-0.00013638+0.00029194i
-0.0011027-0.00071175i,-0.00088363-0.00018561i,-0.00068147+0.00087062i,-0.0009919+0.00099479i,-0.00080302-0.00013607i,0.00048797+0.00046389i,0.00093753+0.00094275i,0.0007601+0.00030191i,0.00076623-0.00020732i,0.00057734-0.00064777i,0.00030444-0.00044216i,7.3039e-06-0.00028894i,0.00011793-0.00042122i,0.00029045-0.00074413i,-0.00026498-0.00046283i,-0.0003481-2.9808e-05i,9.2678e-05-0.00020663i,0.00051704-0.00017417i,0.00080415-0.0001628i,0.00066121-0.00023988i,0.00011917-4.567e-05i,-0.0004926+6.109e-05i,-0.00037476-0.00046069i
