-0.0023687+0.00018763i,-0.0018116+0.0010837i,-0.00021147+0.0023943i,0.00077511+0.0019713i,0.00078969+0.001041i,-0.00026834+0.0019163i,-0.00040354+0.0019788i,0.00037886+0.0013961i,0.00043471+0.0014304i,0.0013447+0.0010132i,0.0016847+0.00013252i,0.0006128-0.00026737i,-0.00024026-0.00029902i,0.00030971-0.00056461i,0.0014709-0.00098078i,0.0013129-0.00099417i,0.0004859-0.00066195i,-1.1609e-05-0.00096308i,0.00016067-0.00077807i,-7.751e-05+0.00015538i,-0.00095184+0.0010159i,-0.00086997+0.0010915i,-0.0003169+0.00060434i
0.0010471+0.0019984i,0.0024328+0.0026075i,0.002701+0.0026056i,0.0017351+0.0017179i,0.00093777+0.0005352i,0.00049063+0.00069526i,0.00084145+0.0006625i,0.0010563+0.00065983i,0.00075354+0.00016473i,0.00021555-0.00012293i,-0.00020812+0.00011203i,-0.00077408+0.00025693i,-0.00092739+0.00022953i,-0.00040484+1.6437e-05i,-0.00033749+0.00023615i,-0.00071772+0.00061355i,-0.00082911+0.00075484i,-0.00082074+0.00068854i,-0.00029665+1.3457e-05i,0.0007595-0.00012105i,0.0014166+0.00083908i,0.0006513+0.00028126i,-0.00015962-0.00027846i
-0.0021395-0.00055842i,-0.0032353+0.00025687i,-0.0034422+0.0015015i,-0.0015181+0.0016908i,7.6799e-05+0.00092195i,0.00025821+0.00019596i,-0.00017488+4.3435e-05i,-0.00030942+0.00044047i,-0.00060666+0.00054806i,-0.00052532+0.00029557i,0.00035848+0.00014899i,0.00088998+0.00012426i,0.0011973-9.8076e-05i,0.0010162-0.00011621i,3.5683e-05-0.00019502i,-0.00080502-0.00074994i,-0.00071754-0.0003471i,-0.00049646+0.00021009i,-0.00093528-0.00018162i,-0.00082972-0.00030828i,-0.00057149-7.6344e-05i,-0.00025592-8.8938e-05i,0.00028683-0.00017675i
-0.0020003-0.00159i,-0.0011519-0.0022968i,-0.00074604-0.0013144i,0.00011024-0.00088698i,0.0013044-0.0002656i,0.0012113-0.00047442i,0.00011797-0.0011612i,-0.00040079-0.0013716i,-1.3511e-05-0.0010927i,0.0004182-0.00076977i,0.00011258-0.00028996i,-0.00060532-0.00054414i,-0.00045185-0.00071885i,0.00021902-0.00054548i,0.00033284-0.00093744i,0.00023239-0.0012636i,0.00077718-0.00095603i,0.0002121-0.00049553i,-7.5703e-05-0.00085952i,-6.9969e-05-0.00067179i,-5.4286e-05+7.777e-05i,0.00014732+0.00035215i,-7.169e-05+0.00040902i
-0.0024909+0.00010103i,-0.0029594+0.0015863i,-0.0028074+0.0038671i,-0.001645+0.004778i,-0.00012227+0.0044925i,0.0013402+0.0034178i,0.00099901+0.0020419i,1.8893e-05+0.00071654i,-0.00062115-0.00020996i,-0.00089787-0.0002913i,-0.00040563-7.6406e-05i,-9.6449e-05+0.00055503i,0.00058774+0.00071124i,0.0012755+0.0004288i,0.00060677+0.00034147i,-8.4342e-05+0.0003438i,8.5727e-05+0.00050138i,-3.5864e-05+0.00030857i,-0.00038666+0.00050653i,-1.7954e-05+0.00028418i,-8.9179e-05+0.00034265i,-9.2509e-05+0.00053356i,0.00057885+0.00029357i
-0.0071205-0.0031641i,-0.0095594-0.00054996i,-0.010366+0.0039209i,-0.005038+0.0059945i,-7.1203e-07+0.0066777i,0.0030506+0.0033844i,0.0025851-0.0011724i,-6.1043e-06-0.0023764i,-0.0012386-0.001229i,-9.6257e-05+0.0015142i,0.00082756+0.0029453i,0.0013515+0.0018694i,0.0025938+0.00017936i,0.0039277-0.0013987i,0.0043073-0.0021131i,0.0024161-0.00136i,9.8115e-05-0.00048188i,-0.00068696-0.00069931i,-0.00085945-0.0018528i,-0.00051453-0.0023948i,-0.00062528-0.0013175i,-0.0009078+0.00035122i,-0.00025087+0.0014819i
-0.0008807-0.00014873i,-0.00030856-2.1326e-05i,0.00050927-0.00036249i,0.00054251-0.0011331i,0.00084438-0.00069866i,0.00027065-2.1991e-05i,-9.7748e-05+0.00033412i,4.2705e-05-0.00053758i,0.00067537-0.00084135i,0.00054182-0.00079559i,-1.0787e-05-0.0011773i,-0.00056256-0.00055095i,-0.00083482-2.8075e-05i,-0.00046379+0.00022448i,0.00024457+0.00064161i,0.00044687+0.00023138i,-2.6342e-05-0.00058821i,-0.00014389-0.0010784i,0.00054596-0.00030611i,0.0008253+0.00052008i,0.00049038+0.00012902i,0.00011946+0.00020766i,-8.1131e-05-0.00017965i
-0.00056486+0.0019358i,-0.00059442+0.0024153i,0.00057746+0.0018856i,0.00087685+0.0020976i,0.00044244+0.00222i,0.00018361+0.0011327i,0.00041213+0.0002061i,0.00078424-0.00066419i,0.00070007-0.0011023i,0.00029049-0.00097389i,-0.00036043-0.00097778i,-0.0001698-0.0012844i,1.6176e-05-0.0010923i,-0.00011571-0.00043448i,3.6907e-05-0.00011463i,-0.00039348-0.00089155i,-0.00071655-0.0010807i,-0.0012003+0.00026004i,-0.0010678+0.00075106i,-0.00033884+0.00034798i,-0.0002421-0.00036691i,4.2423e-05-0.00017153i,0.00019862+0.00030332i
2.2356e-05-0.00050022i,0.00011321+0.0023612i,0.00057151+0.0037444i,0.0020279+0.0035187i,0.0020237+0.0029497i,0.00089789+0.0018901i,0.00046224+0.00069074i,0.00048518-9.6875e-05i,0.00066318+0.00020488i,0.00010151+0.00032563i,-0.00046224+8.1595e-05i,0.00023322-0.00012787i,0.00052878-0.00047636i,-0.00034746-0.00022667i,-0.00021047+0.00021898i,0.00072674-0.00052255i,-0.00022603-0.00096935i,-0.00075891-0.00050558i,-0.00024134-0.00034354i,-2.1797e-06+0.00015941i,0.00013356-0.00038957i,-0.00015619-0.00054326i,-0.00044386-6.0017e-05i
-0.001496-0.0018764i,-0.0022486-0.0010004i,-0.0029735-0.00033052i,-0.002601-0.00010487i,-0.0014792-0.00018513i,-0.00032844-0.00043176i,0.00026972-4.2631e-05i,0.00013482+6.3699e-05i,-0.00042515-0.0001906i,-0.00076167-0.00044693i,-0.00056603-0.0012386i,-0.00026642-0.00063417i,-0.00026249+0.00038344i,-2.1139e-05+0.00063569i,-0.00029202+0.00036865i,-0.000793-0.00035241i,-0.00054676+0.00055158i,-6.5424e-05+0.0012928i,0.00054153+0.0011534i,0.00057883+0.0013466i,5.7547e-05+0.0014197i,-0.00054847+0.0010705i,-0.00098193+0.00054478i
0.00043911-0.0018697i,0.0011188-0.0014896i,0.0010514-0.0010122i,0.00062229-0.00030301i,0.0010365+0.0014573i,0.0011378+0.0018097i,0.00089917+0.00096362i,0.0012437+0.00042462i,0.00041834+1.9768e-05i,-0.00020605+6.9955e-05i,0.00010483+0.00060771i,-5.6881e-05+0.00046024i,-2.2659e-05-0.00036764i,0.0010856-0.00034876i,0.0016109+0.00035222i,0.00054593+0.00020636i,-0.000217-0.00038465i,-0.00029183-0.00011409i,0.00013594-0.00045303i,0.00043319-0.0011468i,0.00078696-0.0011643i,0.00079263+6.3023e-05i,2.2978e-05+0.0002975i
