-0.0010479+0.00219i,0.0014875+0.00036335i,0.00020802+0.00071053i,0.00037911+0.00035361i,0.0012548+0.0006096i,0.00074132+0.0014695i,0.00013279+0.0012477i,0.00012445+0.00097995i,0.00017624+0.00050792i,0.00051051+0.00031331i,0.0007929-0.00031613i,0.0004838-0.00038255i,-0.00033906-0.00018295i,-0.00047347-0.00041004i,-0.00025797-0.00075584i,8.4783e-05-0.00054752i,0.00022893+0.00022136i,0.00010436+0.00022555i,-0.00022414+0.00023727i,-0.00081588+7.3309e-05i,-0.00040961-0.00018259i,0.00049097-0.00026594i,0.00060033+5.6379e-06i
0.00034544-0.0021589i,0.00098791-0.0012943i,0.00087874-0.00085497i,0.00088422-0.00062169i,0.00056772+0.00056357i,0.00080979+0.0019258i,0.0013946+0.0010841i,0.00087905-0.0005277i,0.00040221-0.0014028i,0.00039183-0.0017294i,0.00031746-0.0011213i,-0.00022536-0.00052454i,-0.0007639-6.5069e-05i,-0.00055104-0.00039888i,1.4564e-06-0.0010495i,-4.3646e-05-0.00070206i,-0.00065324-0.00014974i,-0.00067455+0.00015862i,6.6773e-05+0.00068668i,7.9209e-05+0.0003021i,-4.7469e-05-0.00022399i,-0.00044266-0.00018527i,-0.00085901-0.00044027i
0.0017931-0.0011551i,0.0017244-0.00127i,0.0011542-0.0019564i,0.0012026-0.0007833i,0.00082393-2.894e-05i,0.00010793-6.5496e-05i,0.00055055-0.00077957i,0.00047521-0.0017797i,0.00051473-0.0013233i,0.0006214-0.0008854i,0.00082273-0.0010647i,0.0011653-0.00038802i,0.00085303+0.0003903i,0.00022978+0.00054047i,-0.00026558-8.4078e-05i,-0.00040533-0.00026968i,0.00010026-0.00045242i,0.00077259-0.00052877i,0.00045616-0.0003719i,-0.00026139-2.0112e-05i,-0.00022079+0.00046863i,5.8174e-07+0.00021543i,0.00032484+0.00016717i
0.0020704+0.0010163i,0.0020338+0.00012087i,0.0026458-3.4674e-05i,0.0023778+0.00017264i,0.001029+0.00025266i,0.00053201+0.00066827i,0.0011105+0.0011763i,0.0013122+0.00095656i,0.0020156+0.00025216i,0.001278-5.0355e-05i,-0.00026898-0.00030988i,-0.00060007-0.00084986i,5.1625e-05-0.00088018i,-0.00059058-0.001001i,-0.00094674-0.0015028i,-0.00032551-0.00093064i,-0.000838+0.00026863i,-0.00070194-0.00012899i,0.00034611-0.00027956i,0.00048367+0.00031414i,0.00014454-8.9342e-05i,2.0017e-06-0.00021148i,-0.00016308+0.0002184i
0.00068215-0.00047852i,0.0010899-3.0622e-06i,0.001417+0.00028062i,0.00088147+0.00028229i,0.00055234+0.00059501i,0.0013071+0.0009781i,0.001294+0.00029817i,-0.00016417-0.0010577i,-0.00050557-0.0013549i,-5.4545e-05-0.0011287i,-0.0002824-0.00061287i,-0.00071003+0.00026971i,-0.00060234-2.7972e-05i,0.00023857-0.0012266i,0.00071003-0.0014409i,-0.00034199-0.00045679i,-0.00098508+0.00049506i,-0.00039811+0.00050226i,-0.00011424+0.00035991i,5.3136e-05+0.00047203i,-0.00017988+6.912e-05i,-0.00044605-0.00069163i,-0.00046458-0.00095242i
-0.00087191-4.1976e-05i,5.3826e-06-0.00051996i,0.00068433-0.00082845i,0.00076888-0.00043443i,0.0013486-0.00045185i,0.0015085-0.0001927i,0.0019217-0.00032815i,0.0016161-0.00025354i,0.00050987-0.00025089i,1.1865e-05-0.00062599i,-0.0002772+0.00012864i,-0.00015108+0.0012117i,0.0006401+0.0010849i,0.00017293-5.2221e-05i,-0.00032322-0.00033723i,0.00033352+0.00025068i,0.00011657+0.00037572i,-0.00010889-0.00028249i,-8.3702e-05-1.2636e-05i,-0.00052212+0.00021113i,-0.00081511-0.0003127i,-0.00035362+0.00034387i,0.00018907+0.00027973i
-0.00018632-0.0015952i,3.139e-06-0.0011034i,-2.3879e-05-0.0014908i,-0.00030577+8.3229e-05i,-0.00019325+0.0015252i,0.00042258+0.0013614i,0.00088182+0.00090875i,0.00036546-0.00033422i,0.00029064-0.0005053i,-0.00018564+0.00026469i,-0.00037921-0.00021814i,-8.4666e-05-0.00030392i,-0.00024134-0.00025086i,-0.00047654-0.00020946i,-0.00045314+2.1029e-05i,-0.00028514+0.00011032i,-0.00078077+0.00020757i,-0.001223+0.00019825i,-0.0005187-0.0001468i,0.00066644-0.00018203i,0.0010365-0.00044864i,0.000486-0.00054243i,-0.00053694-0.0013568i
0.00025558-0.0014272i,0.001546-0.00082741i,0.001877-0.00065512i,0.0017337-0.00047577i,0.0014428+0.00045279i,0.00047541+0.0010531i,0.00029765-0.00011935i,0.00042356-0.0011836i,0.00055732-0.00089421i,0.00014094-0.00027855i,7.0751e-05-0.00058446i,0.00029358-0.00079276i,0.00058624-0.00070599i,0.00025124-0.00052191i,-0.00031503-0.00077569i,0.00031021-0.0010769i,-0.00039614-0.00066387i,-0.001655-0.00014973i,-0.0010766-0.00023542i,-0.00010693-0.00017478i,0.00020573-5.3565e-05i,0.00098961-5.7994e-06i,0.0013258+0.0004067i
0.0011575-0.00071003i,0.0013075+0.001386i,0.00033055+0.00050467i,-0.00079692-0.00043255i,4.83e-05-0.00020168i,0.0014801+0.0011599i,0.00092126+0.00096885i,0.00041316-0.00096229i,0.00059446-0.0021402i,0.00023706-0.001753i,-0.00086889-0.0016027i,-0.00099572-0.001788i,-0.00073235-0.00092389i,-0.00030582-0.00012567i,0.00042997-0.00050993i,0.00040042-0.00037543i,0.00071782-2.1783e-06i,0.0011027+0.00013119i,0.00040709+0.00035845i,-5.8516e-05-4.9647e-05i,5.679e-05-0.0002184i,-0.0002264-2.7739e-05i,-8.0738e-05-1.6203e-05i
-0.0018852+0.00052725i,-0.002361+0.0006977i,-0.0022521+0.00085574i,-0.0014024+0.0014249i,0.00017793+0.0019484i,0.0010907+0.0019206i,0.00096507+0.00068068i,0.00094297-0.00014325i,0.00076584-0.00057435i,0.00090248-0.00087645i,0.00071652-0.00021599i,-0.00010681+0.00092103i,-0.00018991+0.00077891i,0.00038739-0.0002489i,-1.8096e-05-0.00028819i,-0.00047572+0.00022624i,0.00020211+0.00028244i,0.00047375+0.00068105i,0.00026051+0.00021057i,0.00051422-0.00036321i,-0.00010961+0.00033376i,-0.0012577+0.00047574i,-0.00080254-0.0002761i
0.0021141-0.0012671i,0.00135-0.0013226i,0.0006443-0.0014998i,0.0012796-0.0016784i,0.0012278-0.00033823i,0.0013221+0.00039081i,0.0018896-0.00042055i,0.0013782-0.00090245i,0.00081756-0.0011532i,-6.9407e-05-0.00090977i,-0.00023805-0.0011712i,0.00023301-0.0013875i,0.00051008-0.00058398i,0.00068233-0.00046524i,7.6124e-05-0.0010629i,-0.0004577-0.0015432i,-9.4983e-06-0.0012267i,0.00056528-0.00024401i,0.00031589-0.00033497i,0.00025342-0.00085875i,-7.1226e-05-0.00047525i,-0.00050824+0.00046462i,-0.0006012+0.00020438i
-0.00074538+0.00038948i,-0.00055615+0.00073238i,-0.0015955+0.00060044i,-0.0014154+0.00057896i,-0.0001474+0.001376i,0.00085779+0.0012852i,0.00076876+0.00027786i,0.00019098-0.00052627i,4.0913e-05-0.00028634i,8.7526e-05+0.00039547i,0.0005556+0.00027924i,0.00071785+7.1381e-06i,0.00051599-6.2359e-05i,0.00016364-0.00044178i,0.00065054-0.00055865i,0.00057373+0.00013902i,-0.00020328+0.00019607i,-0.00014974+0.00025338i,8.8798e-05+0.00084338i,0.00069378+0.0012055i,0.00054992+0.001147i,-0.00014681+0.0010057i,-2.9972e-05+0.00015485i
0.0023311+0.0014541i,0.0018977+0.0022893i,0.0021803+0.001513i,0.0015235-0.00079316i,0.0008526-0.00045447i,0.0010224+0.0012056i,0.00072388+0.00097381i,6.7653e-06+7.704e-05i,0.00036678-1.8825e-05i,0.00070542-0.00017604i,0.00033326-0.00060197i,0.00029117+0.00036788i,0.00086396+0.0010133i,0.00053047+0.00048311i,-5.5635e-05-0.00026087i,8.1158e-05-0.00090429i,0.00020711-0.00030312i,-0.00013841+0.00013855i,-0.00058569-0.00026071i,-0.00078329-0.0001292i,-0.0004099+0.00056814i,-0.00060397+0.00032976i,-0.00053001-0.00025135i
0.0002724-0.00098392i,0.0010481+0.0001838i,0.0019814+0.0017529i,0.0015771+0.0013805i,0.0014881+0.00086615i,0.0021165+0.00068299i,0.0016898+0.00075145i,0.00059624+0.00028452i,0.00036142-0.00060253i,-0.00032368-0.00071768i,-0.0011581-0.00096296i,-0.00011719-0.00072356i,0.00065312-0.00042502i,-0.00037083-0.0013639i,-0.00054971-0.0015067i,-0.0004381-0.0010536i,-0.00079559-0.000309i,-0.00039007+0.00083457i,0.00026953+0.0004124i,0.00042504-0.00030749i,0.00065436+6.1524e-05i,0.00080826+0.00011137i,0.0001147-3.296e-06i
0.0019154-0.0020509i,0.0022073-0.0023895i,0.0026405-0.002734i,0.0018395-0.0019598i,0.00041093-8.6659e-05i,0.00040907+0.00060189i,0.00081805-0.00023124i,0.00073581-0.00091195i,0.00039296-0.001221i,0.00029502-0.0016882i,0.00028997-0.0019711i,-0.00038238-0.0019407i,-0.0004688-0.00091538i,-0.00075988-0.00064001i,-0.0011663-0.00091573i,-0.00070294-0.00064138i,0.0001172-0.00011723i,0.00059006+0.00053175i,0.00083017+0.00034456i,0.00040255-1.1611e-05i,-0.00013722+4.0091e-05i,3.6521e-06+7.3404e-05i,-0.00041873+0.00018792i
0.00039953-0.00077465i,-0.00020954+0.00028642i,0.00010339+5.8452e-05i,0.00076601+3.1828e-05i,0.00065595+0.00037869i,0.00050524+0.0011913i,0.0012015+0.0015473i,0.0014571+0.0012579i,0.0012879+0.00076309i,0.00089982+0.00035558i,0.00025504+1.3562e-05i,0.00034414-0.00049975i,-0.00033285-0.00020488i,-0.0010926+0.0006218i,-0.00085526+0.00048935i,-0.00077759-0.00027221i,0.00010315-0.00033975i,0.00095409+0.00035315i,0.00087058+0.0010992i,0.00070863+0.0011614i,0.0008687+0.00017951i,0.0008128-0.00059976i,0.00015046-0.00056571i
0.00076665+0.00039719i,0.0012888+0.00056778i,0.002367+0.0013191i,0.0021957+0.0014961i,0.0011884+0.0009103i,0.0011759+0.00068538i,0.0011479-4.5544e-05i,0.00029415-0.00069381i,-0.00012442-0.0010337i,7.1206e-06-0.0016206i,0.00024258-0.0019258i,1.9764e-05-0.0009166i,-0.00022213-0.00039779i,-7.6299e-05-0.00035205i,8.7059e-05-0.00054495i,-0.00012996-0.00030582i,-0.00054198+0.00076483i,-0.00080838+0.00092873i,-0.00073672+0.00071997i,-0.00032186+8.139e-05i,-4.2036e-05-0.00060973i,0.00022406-2.3273e-05i,0.0001395+0.00023713i
0.00022497-0.00099655i,0.0003766-0.0013056i,0.00076428-0.00093962i,-0.00011881-0.00026134i,-1.0185e-06+0.00033752i,0.00079435+0.00064458i,0.00072395-0.0002096i,-0.00019367-0.00095329i,-0.0007467-0.00035559i,-0.0010123-0.00032511i,-0.00099326-0.0003544i,-0.00074924+0.00041548i,-0.00021021+0.00025989i,-1.5925e-05-0.00020372i,-0.00059581-3.2878e-05i,-0.0011035-0.00024275i,-0.0011706+8.479e-06i,-0.00050785+9.5884e-05i,0.00015406-0.00039126i,-0.00074206-0.0002629i,-0.0015247-0.0002957i,-0.0015524-0.0001661i,-0.001124+2.1711e-05i
0.00030396-0.001149i,0.00093876-0.0014019i,0.0017337-0.0007551i,0.0011556-0.00030919i,4.1659e-05+0.00052862i,-0.0006213+0.001318i,-0.00018239+0.0011126i,0.00030366+0.00090502i,0.0011811+0.00012536i,0.0018053-0.0010312i,0.00063472-0.0013582i,6.5548e-05-0.0009649i,0.00057208-0.00090805i,-0.00030921-0.00087541i,-0.0010797-0.00014829i,-0.00098527-0.0004541i,-0.0010109-0.00043986i,-0.00070538+0.00059511i,-0.00023659+0.00043805i,-0.00057288-0.00039731i,-0.00050625-0.00012331i,0.00064862-0.0006334i,0.00058249-0.0012363i
-0.00054384+0.00032i,5.2686e-05-0.00078985i,0.00019329-0.0011282i,0.00015302-0.00079541i,0.00045892+4.094e-05i,0.0013528-9.8101e-06i,0.001906-0.0010519i,0.0011306-0.00074493i,0.00051212+0.00014829i,0.000117-2.0145e-05i,-0.0007875-0.00046157i,-0.00075111-0.00022854i,-8.8464e-05+0.00040351i,5.6526e-05+0.00020835i,3.5045e-05-0.00031673i,-0.00058213-0.00022397i,-0.00068312-0.00051881i,-0.00023282-0.00099671i,4.9992e-05-0.00017764i,0.00029758+0.00058981i,3.5295e-05+0.00021957i,-0.00016127+0.00012289i,8.2459e-05+0.00020907i
0.0014505+0.0030818i,0.0018011+0.0023557i,0.0027701+0.0014555i,0.002464+0.00023848i,0.0020576-0.00041985i,0.0016332-0.00042214i,0.00089084-0.00013654i,0.00033656+7.367e-05i,0.00076157-0.00015695i,0.0014142-0.00078947i,0.001307-0.0013605i,0.00073105-0.0010113i,-0.00024398-0.00082732i,-0.0011141-0.0013125i,-0.0013098-0.0010214i,-0.00095271-0.00067134i,-0.0009119-6.0679e-05i,-0.00091644+0.00099105i,-0.00070733+0.00036122i,-4.5315e-05+0.00038121i,5.0648e-05+0.00093354i,0.00029686-3.6093e-05i,0.00060684-0.00050502i
-0.0011388+0.00078814i,-0.0013887+0.00087i,-0.0011828+0.0014563i,-0.00072832+0.0017285i,0.00079137+0.0014904i,0.0013332+0.00096472i,0.00045821+3.9241e-05i,-8.5629e-05-0.0002828i,0.00058459-1.9574e-05i,0.0010807-0.00032907i,0.00059045-0.00021896i,0.00074507+0.00016945i,0.00069521+0.00023621i,0.0013203+7.0953e-05i,0.0018809-0.00078392i,0.0012193-0.0010505i,0.00016447-0.00054555i,-8.0041e-05-0.00032248i,-0.00036644-5.3699e-05i,-0.00045033+0.00036856i,0.00011862+0.00040504i,0.00040809-0.00025203i,0.00030345-0.00045271i
0.0030339+0.00042141i,0.003018+0.0001236i,0.0038366+0.00019237i,0.0029893-0.00013228i,0.0021244-0.00080619i,0.002084+0.00024102i,0.0014199+0.0010946i,0.00088611-0.0005233i,0.00050212-0.0012795i,0.00041068-0.0012111i,0.00025554-0.00061028i,0.00016872-0.00047332i,0.00020621-0.0008709i,-0.00061732-0.001138i,-0.00053447-0.00098321i,0.00029127-0.00045141i,0.00061587-2.1015e-05i,0.00093776+0.00045946i,0.00087925+0.00067715i,0.00071382+0.00092958i,0.00045001+0.00054693i,0.00069038+0.00012277i,0.001082+0.00019068i
0.0017184+0.00097225i,0.00062975+0.00056874i,0.0013478+0.00014161i,0.00096543+0.00068124i,0.00023709+0.0011689i,7.8696e-05+0.00061491i,8.2422e-06-0.00036307i,0.00029933-0.00077595i,0.00013166-0.00057495i,0.00030445-6.4308e-05i,0.0001449+8.9185e-05i,-0.00054937+0.00056656i,0.00026766+0.00076578i,0.0011544+0.00092803i,0.00059402+0.00061987i,-0.000559-0.00032326i,-0.00011176+0.00014102i,0.00094309+0.0013688i,0.00050746+0.0014574i,-0.00010328+0.00088219i,0.00060147+0.00044154i,0.00072452+0.00043585i,0.00028456+0.00027272i
0.0026796-0.0018331i,0.0025328-0.0018234i,0.0018684-0.002091i,0.00097735-0.0017812i,0.00095911-0.00037852i,0.0013798+0.00041189i,0.0015462+7.244e-05i,0.001594+0.00011401i,0.0012899-5.4935e-05i,0.0010019-0.00080359i,8.7243e-05-0.00056225i,-0.0012301+0.00022857i,-0.0010839+0.00047297i,-0.00081701+0.00088134i,-0.00067421+0.00087415i,6.9064e-05+0.00044494i,-0.00024857+0.00026574i,-0.00010879+0.00028283i,0.00024821+0.00014083i,0.00026988+0.00023i,0.00015674+0.000307i,-8.5142e-05-0.00019012i,0.00023254-0.00048147i
-0.00095409-0.00013796i,-0.0021201-0.00049422i,-0.0014918+0.00099506i,-0.00048587+0.0015108i,0.0003576+0.00099223i,0.00081486+0.00018364i,1.8665e-05-0.0012378i,-0.00033172-0.0013227i,-8.3761e-05-0.00091103i,-0.00027267-0.00079924i,-0.0003567-0.000684i,-0.00011059-0.00053506i,-1.7342e-05-0.00022747i,0.00037645-3.7393e-05i,0.0003548+6.0488e-05i,0.00068754-1.2458e-05i,0.0011802-0.00038948i,0.00042676-0.00078877i,0.00055736-1.9841e-05i,0.00038726+0.00081847i,-0.00085609+0.00032i,-0.00070432-0.00056493i,0.00034553-0.00034304i
0.0012939-0.00016196i,0.001575-0.00044807i,0.0012328-0.0014561i,0.0005238-0.00094303i,5.9864e-05+0.0010059i,0.00073333+0.001912i,0.0010642+0.00094344i,0.00075206-0.00027671i,0.00042839-0.00050469i,0.00047749-0.00019438i,0.00026975+0.00030453i,-0.00025978+0.00018421i,1.0998e-05-0.00054646i,-0.00022073-0.00076314i,-0.00022872-0.00081733i,0.00013305-0.00096159i,0.00040241-0.00018164i,0.00067589+0.00045132i,0.0011486+0.00023002i,0.0010249+0.00027706i,0.00050976+0.00026075i,0.00043475+9.925e-05i,-0.00029503-0.00011693i
0.00049805+0.00070286i,0.0007345+0.0010206i,0.0011659+0.00080064i,0.0010671+0.0011818i,0.00073929+0.0016862i,0.00097571+0.00085166i,0.00067792+7.6274e-05i,6.3232e-05-0.00051126i,0.00029219-0.00090638i,0.00073139-6.8562e-05i,0.00024627+0.00011202i,-0.00061104-0.00053108i,-0.00073919-0.00087954i,0.00049828-0.00072592i,0.00093632+3.2744e-05i,7.7276e-05+0.00039058i,0.00072705+0.00057301i,0.0016102+0.00040383i,0.00096797-8.3923e-05i,0.00042987+0.00019388i,-0.00013553+0.00052271i,1.0484e-06+0.00042323i,0.00036684+0.00012546i
0.00078705-0.0011111i,0.0015655+0.00019827i,0.0013692+0.00090283i,0.000551+0.00079135i,0.00088498+0.00096777i,0.0012177+0.0010943i,0.0007612+8.2089e-05i,0.00070729-0.00098586i,0.00065088-0.00076445i,0.00026636-0.00043093i,-0.00017419-0.00070805i,-1.9833e-05-0.0012794i,5.3383e-05-0.00068069i,-7.0392e-05+0.0001678i,-0.00012062-0.00036327i,-0.00036451-0.0005829i,-0.0001726+0.00021507i,0.00021058+0.00094465i,-0.0003286+0.00029896i,-0.00047912-0.00042802i,6.0721e-05+0.00010022i,0.00010207-7.2977e-05i,0.00032481+3.2021e-05i
-0.00086702+0.00036255i,-0.00011902+0.00055782i,-5.6434e-05+0.00068557i,0.00051998+0.00078278i,0.0015317+0.00056185i,0.001745+0.00037571i,0.0014769+0.00058468i,0.00074027+0.00010953i,0.00093349-0.00039425i,0.00045872-0.00017685i,-0.00048619-0.00086089i,-9.3333e-05-0.001172i,0.00018075-0.0011062i,0.00016495-0.00071322i,0.00048553+0.00039778i,0.00072618+0.0006116i,0.00036819+3.0279e-05i,-2.498e-05+0.0004518i,0.0010669+0.0010251i,0.0011918+0.00075271i,1.1311e-05+0.00034644i,8.1139e-05+0.00073225i,0.00026528+0.0015917i
0.0031603-0.0019665i,0.003139-0.0020275i,0.0025939-0.0019385i,0.00083526-0.0019898i,-0.00048563-0.0013573i,-1.8241e-05+2.4946e-05i,0.00082087+0.00092564i,0.00033664+0.00034081i,-0.0003153-0.00066549i,1.6711e-05-0.0013308i,-0.00057457-0.0012799i,-0.0014899-0.00071186i,-0.001046-0.0005511i,-0.00089668-0.00053344i,-0.00084403+6.3779e-05i,-0.00034096+0.00029698i,0.00020057-9.7028e-05i,0.00033268+0.00014987i,0.0001413+0.00040425i,-0.0001855+0.00028244i,0.00010297-6.0883e-05i,0.00031537-0.00021241i,-0.00023187-8.5325e-05i
0.001675+0.0015233i,0.0021864+0.0010717i,0.0026282+0.0014611i,0.0017332+0.00068983i,0.0012999-5.9783e-05i,0.0012844+0.0005724i,0.00077056+0.000901i,0.00052744+0.00065238i,0.0004586-6.7475e-05i,0.00018826-0.00096536i,0.00083197-0.00096847i,0.001044-0.0007062i,1.5558e-05-0.0004702i,-0.00025769-0.00034686i,0.000181-0.0011147i,8.9183e-05-0.001595i,0.00040252-0.0012952i,0.00014603-0.00055638i,-0.00033529+0.00022522i,-0.00030833+0.00041025i,5.2867e-05+0.00018093i,0.00056978+0.00021415i,0.00035374+3.4893e-05i
0.00016915-0.00047355i,-0.00098984-0.00035824i,-0.00032704-0.00064067i,-0.00031521-0.00097734i,-0.00028744+0.00028403i,0.00019423+0.0016043i,0.00079862+0.0014233i,0.00025471-2.4491e-05i,-0.0007002-0.0011187i,-0.0002926-0.00090501i,0.00049635-0.00016745i,0.00035814+0.00041089i,0.00015351+0.00032099i,-0.00052934+0.00034611i,-0.00066467+0.00045461i,-0.00046542+0.00033473i,-0.00022084-9.203e-05i,-5.0771e-05-0.00041298i,-0.00052315-0.00033282i,-0.00025606-1.6122e-05i,0.00034825-0.00029035i,0.0003949-0.0004409i,4.9505e-05+0.00028824i
