7.0385e-05+0.0011341i,0.0010488-0.00031104i,0.00030523-0.001813i,-6.5531e-07-0.0015814i,-0.00036878+5.8354e-06i,-0.00099281+0.0012507i,-0.00046692+0.0016277i,-4.8156e-06+0.0013589i,-0.00013891+0.00048841i,9.3454e-05-8.787e-05i,0.00038213-0.0001997i,0.00025018-0.000183i,0.00015567+6.0907e-06i,7.7125e-05+0.00092273i,-0.00012058+0.0015455i,-0.00039917+0.0011614i,-0.00041323+0.00070783i,-3.4893e-05-7.5729e-05i,0.00060338-0.00090835i,0.0005622-0.00034732i,0.00034782+0.00053989i,0.00056825+0.00036592i,0.00089758+0.00010026i
0.00094973-0.0011412i,0.001114-0.00010117i,0.00048131+0.00086417i,-0.00088159+0.00078645i,-0.0018723-0.00011813i,-0.00067183-0.00057221i,0.00026168-0.00043292i,0.00079442-0.00059506i,0.00092848-0.00050566i,0.00051966-0.00056229i,0.00030961+0.00014121i,0.00015841+0.00118i,0.00021489+0.0010906i,0.00023991+0.0010059i,5.3772e-05+0.00063017i,-0.00045759-0.00020562i,-0.00066035-0.00031365i,-0.00044621-0.00028909i,-0.00011865-0.00018963i,-0.0001989+5.0541e-05i,-0.00020376+0.00020223i,-0.00012469+4.5295e-05i,0.00026959-0.00032071i
0.0013176+0.00054509i,0.0010346+0.0001346i,2.408e-05+5.7e-05i,-0.00020859-0.00041112i,-0.00047529-0.00072893i,-0.00095611-0.00076791i,-0.00091393-5.4264e-06i,0.00016925+0.00054962i,0.0010112+2.7427e-05i,0.00074555+6.2728e-05i,0.0011144+0.00077391i,0.00082846+0.00070802i,0.00096717-4.1473e-06i,0.0012364+0.00034546i,0.00094974+0.00043565i,0.0011244+0.00042513i,0.0012075+0.00028907i,0.00052558-0.00015002i,-0.00041749-0.00039907i,-0.00036081-0.00048568i,0.0005646-3.29e-05i,0.0012406+0.0005995i,0.00073544+0.00033273i
0.00085369+0.00038797i,0.0015117+0.00012716i,0.0010269+0.00065464i,-0.00053713+0.0010405i,-0.0010999+0.00094431i,-0.00065636+0.00032639i,-0.00037718-0.00016124i,0.00035054+0.00017445i,9.6291e-05+0.0002769i,-0.00096757-0.00026642i,-0.00049139-0.00025056i,3.6235e-07+6.4032e-05i,0.00025947+0.00019483i,0.00027957-5.5223e-05i,0.00034853-0.00046092i,0.00019888+0.00022077i,-0.00015014+0.00095666i,-0.00016884+0.00026015i,9.5508e-05-0.00077038i,0.00030017-0.00052954i,0.00031253-0.00013834i,0.0007179-0.00076782i,-0.00024101-0.0012351i
-0.001088+0.0012324i,-0.0003541+0.00059176i,0.00037576+0.00085089i,0.00056207+0.0012799i,0.00090821+0.00069407i,0.00064314-0.00028236i,0.00014011-0.00029737i,0.00016147-0.00038992i,0.00032211-0.0012537i,0.00048305-0.00050066i,0.00060259+0.00010378i,0.0011716-0.00047928i,0.0010528-0.00059927i,9.6347e-05-0.00012747i,-0.00055636+0.00078358i,-0.0013303+0.00062071i,-0.00093104-0.00022117i,-5.9867e-05-0.00078079i,0.00046668-0.00093376i,0.00010612-0.0014531i,-0.00029434-0.001459i,0.00034398-0.0005303i,0.00088392-0.00025201i
-0.0014723-0.00097027i,-0.0010476+0.00015903i,-0.0014445+0.00042274i,-0.001456+0.00033509i,-0.00078946+0.0010315i,-0.00038953+0.00063232i,0.00023326-0.00038802i,0.00015788-0.00050763i,-0.00071227+2.1752e-05i,-0.0007533+0.0010307i,0.00031208+0.0014053i,0.00082759+0.0010871i,0.00063673+0.00087338i,0.00045078+0.00011173i,0.00048876-0.00033374i,0.00057651+0.00016052i,0.0006016+0.00039668i,0.00073998-0.00048751i,-0.00017845-0.00061673i,-0.0012107-0.00042966i,-0.00049152-6.688e-05i,0.00055066+0.00053401i,0.00029747+5.9183e-06i
6.6008e-06+0.00072112i,0.00070467+0.0011153i,0.0014595+0.00094649i,0.0014078+0.00057392i,0.00073104+0.0002774i,0.00041401+0.00033496i,0.00059405-0.00014473i,0.00058487-9.0009e-05i,-0.0002048+0.00098171i,-0.00043704+9.4905e-05i,-0.00078062-0.00095495i,-0.0012082-0.00046319i,-0.00030283+0.00020489i,0.000353+0.00056976i,0.00030751+0.00022255i,-0.00011026-0.00025217i,-0.00058148-0.00094995i,-0.00059087-0.001139i,-0.00045404-0.00062073i,5.9209e-05-0.0010143i,4.4944e-05-0.00078152i,-6.4268e-05-0.00040424i,-4.0927e-05-0.00028961i
0.00056915-0.00048499i,0.0011275-0.00055641i,0.0020309-0.00035681i,0.00087425-0.00038108i,-0.00010714-0.00061475i,-0.00013344-0.00062953i,-0.00026969-1.1593e-05i,-1.5093e-06+0.00036497i,4.7952e-05+0.00041321i,0.00020835+0.00086425i,0.00055425+0.00049535i,0.0002668-0.000173i,8.3325e-05+0.00022701i,-0.00031439+0.0011139i,-0.0010084+0.0010654i,-0.00057659+0.00021659i,0.00019902-0.00036067i,-0.00028758-0.00077849i,-0.00075166-0.001032i,0.00017616-0.00063626i,0.00051867-0.0006254i,-0.00051135-0.00064157i,-0.00078433-0.0001514i
0.00048783+0.0013945i,-0.00034699+0.0012068i,5.1503e-05+0.0012089i,0.0013619+0.00061524i,0.001947-0.00055637i,0.0010263-0.00075753i,0.00082219-0.00015601i,0.00070504+0.00026412i,0.00027705+0.00078078i,0.00035863+0.00069844i,0.00073253+0.00023271i,0.00020562-5.2331e-05i,-0.00064508+0.00019875i,-0.00099966+0.00050411i,-0.00036-1.5402e-05i,0.00060113-0.00062173i,0.00085159-0.00087429i,0.00074718-0.00073746i,-0.00025156-0.00024232i,-0.00057101+0.00055073i,-0.00048596+0.00037014i,-0.00029625+0.00015797i,0.00082645-6.5792e-05i
-0.00085493+0.00029688i,-0.00088715-0.00046262i,-0.0014555-0.00052462i,-0.00070499+0.00034732i,0.0004119+0.00084345i,0.00040112+0.00017875i,-0.00013009-0.00027356i,-6.3424e-05+0.00096661i,0.00043823+0.0015203i,0.00071433+0.00063543i,0.00029562-0.00015788i,6.7424e-06+0.00019554i,0.00016104+0.0011477i,9.4051e-05+0.00080753i,0.00023193-0.00010752i,-0.0004215+0.00024225i,-0.0015387+0.00010536i,-0.00087621-0.00073572i,0.0004924-0.00050465i,0.00098333-0.00020603i,0.00056278-0.0002524i,0.00026391-9.3389e-05i,0.00027059+0.00051233i
-6.1852e-05+0.00054247i,-0.000471+0.00052661i,0.00022782+0.00062949i,0.0013029+5.9269e-05i,-0.00016004-0.00059623i,-0.0012461-0.0014921i,-0.0012339-0.00098801i,-0.0011062+0.00058433i,-0.00039356+0.00087081i,-0.00080513+0.00024102i,-0.00056164-0.00020748i,-0.00047097-0.00054669i,-0.00093219-0.00068845i,-0.00031014-0.00040074i,-0.00015755+0.00017296i,-0.00039248-8.0833e-05i,-0.00059704-0.0009746i,-0.0011027-0.0010969i,-0.0010689-0.00087922i,-0.001042-0.00047638i,-0.00023057-0.00024048i,0.0015625-0.00045678i,0.0016633-6.963e-05i
0.0012001-0.0003758i,-9.1657e-06-0.0015775i,0.00027169-0.00059676i,0.00070987+0.00044462i,0.00065188+0.00021109i,0.00024706+0.00010216i,-0.00088255-2.9781e-05i,-0.00096241-0.00038769i,-0.00080933-0.00064173i,-0.00087256-0.00089169i,-0.00095094-0.00057592i,-0.00078075-0.00016863i,-0.0003787-5.6432e-06i,0.000359+0.0003347i,0.0010358+0.00097722i,0.00049791+0.0011764i,-0.00039674+0.00032668i,-0.00011726+3.2642e-05i,2.9343e-05+0.0010734i,-0.00031698+0.00072078i,-0.00035173-0.00047879i,-0.0008153-5.4202e-05i,-0.0010338+0.00020045i
-0.00029244-0.00036766i,-0.00048393-0.00046287i,-0.00046246-0.00053502i,-0.0013258-0.00049517i,-0.001634-2.6081e-05i,-0.0014654+3.7646e-05i,-0.00017282-0.00010562i,0.0012466-0.00010133i,0.00066406+0.00010125i,2.2782e-06+0.00065209i,-0.0003643+0.00087614i,-1.8898e-05+0.00093448i,0.0012235+0.00030589i,0.001343+0.00039598i,0.001154+0.00018729i,0.0013236-0.0005311i,0.00072924-0.00012588i,0.00029283+0.00025782i,0.00087005-0.00021661i,0.00041585-4.2658e-05i,-0.00032035+0.00041656i,-7.5184e-05-0.00077093i,-0.00033662-0.0012246i
-0.00026857+0.0015143i,0.00028991+0.00037188i,0.0011403-0.00080168i,0.0008187-0.00091329i,0.00043375-0.0008241i,0.00017019-0.00047197i,0.00075491+0.00010848i,0.0010641+0.00034435i,0.00055911+0.0001269i,0.00043889+0.000168i,-0.00019378+0.00061072i,-0.00056541+0.00046906i,-0.00028871-0.00075128i,0.00016177-0.0010374i,0.00056226-0.0005213i,0.00040906-0.00027029i,-0.00012935+5.7806e-05i,-0.00044255+0.00012101i,-0.00056392+0.00037965i,-0.00012328+0.00067198i,0.000324+0.0002199i,0.00062484-0.0003932i,0.00093981-0.00013464i
0.00012674+0.0015782i,-8.7704e-05+0.0013672i,0.00036796+0.0013923i,0.00034553+0.00090175i,0.00032716+0.00018854i,-0.00032104-0.00016286i,-0.00073693-0.00017367i,-4.881e-05-0.00037863i,-0.00010232-0.00010253i,-0.00039409+0.00075481i,0.00057485+0.00084005i,0.0007636+4.808e-05i,-0.00031697+0.00011616i,-0.00072243+0.00052658i,-0.0009338+7.92e-05i,-0.00089657-0.00031264i,-0.00057145-0.00085433i,-0.00041943-0.0015038i,-0.00059756-0.00076734i,-0.00077473-0.00010925i,-0.00023638-0.00031594i,0.00020116+5.4858e-06i,-4.7464e-05+0.00028867i
0.00029195-0.0014407i,-0.0012065-0.0012813i,-0.0015897-0.00054534i,-0.0012419-0.00021616i,-0.00051231-0.0002525i,-0.00048609+4.9791e-05i,7.5817e-05+0.00011408i,0.00069252+0.00074982i,3.0065e-05+0.0016825i,0.00036204+0.0015249i,0.0015843+0.00053187i,0.0012041+5.5868e-05i,3.3206e-05-0.00042578i,0.00035225-0.00044013i,0.0012394-0.00024453i,0.00083832-0.00033726i,-0.00017895-0.00025872i,-0.00068415-0.00052127i,8.9783e-05-9.0732e-05i,0.0010576+6.7579e-05i,0.0011458-0.00026273i,0.00051673+0.00011206i,0.00011634+0.00025827i
-0.0002326+0.0001516i,-0.00023046-1.9963e-05i,-0.00033233+7.2902e-05i,0.00070451-0.00045271i,0.001087-0.00035762i,0.00065943-7.5102e-05i,-0.00024199+0.00035984i,0.00015123+0.00028256i,0.00070802-0.00024196i,-3.9901e-05+5.645e-05i,-0.00053531+0.0007067i,-0.00030554+0.00035383i,-0.00073811+6.373e-05i,-9.6235e-05-0.00010086i,0.00052291+0.000165i,7.3191e-05+0.00029043i,-0.0005839-0.00024888i,-0.00084387-0.00029556i,-0.00044438-0.00063904i,-0.0003436-0.00079384i,-0.00035279-0.00025858i,-0.0001104+0.00045066i,0.00011852-2.9661e-05i
-0.00076892-0.0011847i,4.2656e-05+0.00015945i,-0.00022921+0.0005266i,-0.0013705+0.0005573i,-0.0017453+0.00033924i,-0.001373+0.00033175i,-0.00063346+0.00040474i,0.00033205+0.00056834i,0.0006878+0.00011093i,0.0010091+0.00040522i,0.00062417+0.0012928i,2.0295e-05+0.00096521i,0.00026843+0.00024032i,0.00025377+0.00018702i,0.00043015+0.00060661i,0.00033242+0.0010195i,-0.0007341+0.00060939i,-0.0015565-0.00044285i,-0.0011777+6.5727e-05i,-4.7538e-05+0.00075407i,0.00093184+0.00025061i,0.0004353-0.0002618i,-7.2848e-05-0.00061544i
-0.00050025-8.2983e-05i,-0.0010776+0.00094209i,-0.0016208+0.0010242i,-0.0012428+0.00034783i,-0.0013027+0.00041739i,-0.00128+0.0010809i,-0.00041906+0.00089408i,0.000113+0.00071366i,-0.00035504+0.00034727i,-0.00047398+2.1221e-05i,-0.00052125+0.00064124i,-0.00063555+0.00060423i,0.00010953+0.00049378i,0.0009484+0.00051548i,0.00068204+1.11e-06i,3.2005e-05-5.8533e-05i,6.9341e-05-0.00029833i,-8.7632e-05-0.0010047i,-0.00020868-0.00077492i,3.9674e-05-0.00034264i,0.00012826-0.00036758i,2.3583e-05+0.00047711i,-0.00046027+0.00080325i
0.0016323-1.1745e-05i,0.001233+0.0007426i,0.0011764+0.00050927i,0.0011812+9.6247e-05i,0.0012305-6.7466e-05i,0.0010174-0.00019675i,0.00051015+0.00044332i,0.00070225+0.00077189i,0.0012313+0.00058733i,0.0009189+0.0005279i,2.8862e-05+0.00076456i,-0.00033205+0.00089032i,-0.0008134+0.00057819i,-0.0010922+0.00067692i,-0.00059828+0.00032068i,0.00016901-0.00052781i,0.00095708-0.00077532i,0.0008769+6.6665e-05i,0.00042673+0.00067903i,0.00058445+0.00010953i,0.00047661-7.4697e-05i,0.00028434-0.00021149i,-8.4463e-05-0.00049203i
0.00038411-0.0011155i,-0.000484-0.00090381i,-0.00043154-0.00010147i,-8.4487e-05+0.00045309i,-0.00076677+0.00059819i,-0.00092483+0.00076506i,-0.00087594+0.00047672i,-0.00081347+2.3746e-05i,-0.00044223-0.00011589i,-0.00032084+0.0003359i,-0.0007741+0.0012554i,-0.0010171+0.0012356i,-0.00020877-0.00016503i,0.0010249+3.6669e-05i,0.00096864+0.00019974i,0.0005291-0.0009634i,0.00013921-0.00065183i,-4.6835e-05+0.00032154i,0.00058165+0.00028641i,0.00025009+0.0003487i,-0.00065717-8.0395e-05i,-0.00062838-0.00078326i,-8.724e-05-0.00019017i
0.00066924-0.00054906i,0.00079809-0.00015714i,-0.00013922-0.00013893i,-0.00093723-0.00016911i,-0.00037467-0.00036008i,0.0003279-0.00053653i,0.00015594+0.00029196i,6.8308e-05+0.0010121i,0.00014787+0.000605i,-0.00024337+0.00049023i,-0.00064719+0.00060707i,-0.00041699+0.00040342i,-0.00014136+0.00013638i,-2.8433e-06+0.00088094i,0.00070609+0.00096168i,0.0008005+0.00041275i,-8.6861e-06+0.00040377i,-1.3193e-05+0.00064816i,3.1516e-05+0.00097156i,-0.00053098+0.00063774i,-3.6262e-05+0.00029232i,0.00074786+0.00015068i,0.00038227+0.00017692i
-0.001367-9.8037e-05i,-0.00037639+6.9374e-05i,0.0004722+0.0003847i,0.00049762+0.00031282i,0.00046788+0.00033294i,-0.00054449+0.0003031i,-0.00017465+0.00047544i,0.00073629+0.00052831i,0.00074913+0.00032193i,0.00048234+0.00073413i,0.0006602+0.0011656i,0.0011804+0.00055498i,0.00045805+3.3832e-06i,-2.5921e-05-0.00017414i,0.00055451+0.00026242i,5.8993e-05+0.00012349i,-0.00032386-0.00043125i,-0.00031942-0.00050741i,-5.8474e-05-0.00035949i,0.00082931-0.00046589i,0.00067884-0.00024651i,0.00043893-0.00024263i,0.00089769-0.00049487i
-0.00098878+0.00024122i,-0.00087789+0.00094389i,-0.00067807+0.00067322i,-0.00051826+0.00032582i,-0.00069065+0.00050797i,-0.00062806-0.00041115i,1.3828e-05-0.00024542i,0.00082842+0.00015259i,0.0014883-0.00037506i,0.00072695-0.0006518i,-0.00022758-0.0004539i,-0.00071482+0.00032564i,-0.00095405+0.00077317i,-0.00064113+0.00056446i,0.00023866+0.00025368i,0.00039007+3.6839e-05i,0.0002593+6.6073e-05i,0.00076342+0.0002142i,0.0010127-0.00037877i,0.00022201-0.00073405i,-0.00070722-0.0001568i,-0.00090373-0.00019738i,-0.00043164-0.00033827i
0.00024133+0.0022763i,0.0010661+0.0016176i,0.0014859+0.0018035i,0.0012484+0.0019972i,0.0014363+0.00092841i,0.00066478-0.00066151i,-0.00053038-0.00092901i,-0.00053362-7.9454e-05i,-0.0003325+0.0010261i,-1.4255e-05+0.00074465i,0.00019871-0.00020965i,-0.0001452-0.00065642i,-9.3647e-05-0.00031833i,-7.3109e-05-0.00014874i,0.00017382-0.00020366i,-0.00018878+3.1376e-05i,-0.00021564+0.00012024i,0.00029663-0.00035326i,0.00049559-0.00022384i,0.00027263+0.0001681i,-8.3795e-05-0.00093359i,-0.00012188-0.0011504i,-0.00057819-0.00037327i
0.00013777-0.00037211i,0.00016842-0.0010939i,-0.00046728-0.0017685i,-0.00057001-0.0016783i,-0.00071042-0.00071461i,-0.0013165+0.00047417i,-0.00098912+0.0011725i,0.00033902+0.0011459i,0.0011436+0.0011914i,0.00071585+0.00084319i,-0.00015651+0.00021783i,-0.00020792+9.35e-05i,-0.00023351+0.00011097i,-0.00011487+3.263e-05i,0.00058657+0.00010178i,0.00077142-0.00016786i,-4.0444e-05-0.00060829i,-0.0010407-0.00038808i,-0.0010273-0.00072557i,-0.00014152-0.0011642i,-0.00011458-0.00048549i,-5.3603e-05+0.00071157i,0.00056373+0.0017072i
0.00090106-0.0011304i,-0.00029458-0.00098817i,-0.0012166-0.0011915i,-0.00075708-0.00057489i,-0.00051233+0.0001135i,-0.00051193+0.0011576i,-5.2041e-07+0.0011343i,0.00074997+0.00011797i,0.00070058+0.00032883i,-0.00015822+0.00056899i,-0.00060965+0.00027254i,-9.854e-05+0.00036736i,0.00070679+0.00068184i,0.00040058+0.00065351i,-0.00036986+0.00028359i,-0.00088927-0.00010291i,-0.00058067+0.00022502i,0.00027905+0.00043751i,0.00019799+0.0004141i,6.218e-05-0.0003442i,0.00038283-0.00088881i,0.00055136-0.00095117i,0.0013495-0.0014397i
0.0010607-0.0017831i,-0.00025693-0.001932i,-0.0015538-0.0011486i,-0.0031738-0.00028303i,-0.0038316-0.0001978i,-0.0021668+0.00038937i,-0.00011695+0.0010702i,0.00062761+0.00046363i,0.00011428-5.7796e-05i,-0.00019298+0.00034107i,3.4685e-05+0.0010596i,0.00022125+0.00059086i,0.00025589+0.00024338i,0.00047685+0.00056147i,0.00013076+0.00033397i,-0.00029543+0.00029224i,0.00034206+0.0006393i,0.00098125+0.0001588i,0.00065079-0.00061363i,-0.00017533-0.0014049i,-0.00097439-0.0014688i,-0.00036925-0.00082183i,0.00031208-0.00025608i
0.0001456-0.00066406i,-0.00056836-0.000439i,-0.00022391-0.00017102i,-0.00021641+0.00045753i,-0.00035952+0.0010118i,-0.00034324+0.00071102i,0.00013607+0.00083691i,0.0011941+0.0012586i,0.001191+0.0013766i,0.00047829+0.0015677i,-0.00033947+0.0010221i,-0.00075392+0.00024672i,-0.00011637+0.00013134i,0.00077463+0.00055456i,0.00091285+0.00066934i,0.0002501-0.00036977i,-5.8578e-06-0.0012866i,0.00037413-0.0011233i,0.00045647-0.0004872i,1.255e-05-9.7026e-05i,-0.00016129+6.5945e-05i,-0.00035643+0.00033757i,-0.00014656+0.00048117i
-0.0020434-0.0006516i,-0.0018572+0.00010174i,-0.0017199+0.0011355i,-0.001706+0.00126i,-0.00051176+0.0009191i,0.00076229+0.00043193i,0.00082303+0.00020793i,0.00020321+0.00028044i,-0.00051765+3.6219e-05i,-0.00015607+0.00043802i,0.00020446+0.0017052i,0.0003181+0.0016952i,0.00023926+0.00049887i,-4.5185e-05-0.00050746i,-8.3632e-05-0.00026278i,-0.0005275-0.00044599i,-0.00060201-0.00044634i,4.8129e-05-0.00027182i,6.8946e-05-0.00092413i,-0.00067377-0.00073001i,-0.001247-0.00025389i,-0.00087618-0.00063839i,-0.00011914-0.00051738i
-0.00065944-0.00082399i,-0.00082233-0.00090691i,-0.0010461-0.00080305i,-0.00054228-0.00063924i,0.00014167-0.00034409i,0.00024607+0.0001519i,0.00091619+0.00027509i,0.00087521-0.00041874i,0.00039928-0.0004218i,0.00076892+0.00034042i,0.001053+0.00051676i,0.00071566+0.00012129i,-7.7932e-05+9.4291e-05i,-0.00047626+0.00056816i,-0.00036537+0.00082651i,6.5486e-05+0.00027621i,0.00023055+0.00061031i,-0.00021919+0.00090137i,-0.00082111+0.00070648i,-0.00084198-1.364e-05i,-0.00086507-0.00090416i,-0.00053215-0.00055597i,0.0004295+0.00012386i
0.0010693-0.0018283i,0.00057055-0.00028631i,0.00036549+0.0011398i,0.00012189+0.0014494i,0.00011929+0.00065572i,-4.5185e-05+0.00024059i,-0.00027004+0.00095066i,0.00027734+0.00094256i,0.00083704+0.00054916i,0.00024346+0.00091521i,4.0775e-05+0.00076251i,0.00051117+0.00051838i,0.00064226+0.00023672i,0.0007853+0.00028159i,0.00033864+0.00073557i,-0.0012013+0.0013477i,-0.0015075+0.0011168i,-0.00089093+0.00033524i,-0.00035961-0.0003498i,-0.00027698-0.00068128i,-0.00042352-0.0001988i,0.00031512+0.00041296i,0.00046155+0.00045687i
