-0.00049192+0.0019551i,5.884e-05+0.001121i,0.00013702+0.0022983i,0.00065865+0.0012073i,0.00095607-0.00014426i,-0.00042633+0.00054279i,-0.00061857+0.0012443i,4.052e-05+0.00046583i,-0.00013058-0.00034175i,-1.1132e-05-3.3024e-05i,0.00051681-8.4849e-05i,0.00013054-0.00063i,-0.00035169-0.00050085i,-0.00044953-0.0003451i,-0.00072643-0.00044949i,-0.0002359-0.0003951i,0.00065775-0.00052031i,0.00037276+0.000184i,-0.00043891+0.00076077i,-0.00011307-6.6263e-05i,0.00038124-0.00059572i,5.4723e-05-0.00052941i,0.0001029-4.2922e-05i
0.0001076-0.00025677i,-1.8521e-05-0.00041742i,-0.00054787-0.0002895i,0.00047547-0.00053893i,0.00050673-0.00013035i,-0.0010974+0.00076549i,-0.0010001+0.0016185i,0.00023267+0.00058114i,-0.00029767-0.00091151i,0.00022417-0.0011566i,0.0012695-0.0003785i,0.00042766+0.00044344i,-0.00039742+0.00042416i,-0.00030947-0.00057421i,-0.00087098-0.0011256i,-0.0014837-0.00067592i,-0.00089171-0.00042652i,-0.0010295-8.352e-05i,-0.0017615+0.00017139i,-0.0011715+0.00012587i,-0.00037028+0.0010243i,-0.00052076+0.0011596i,-0.0004527-7.9306e-05i
-0.00071628+3.507e-05i,-0.00056322-6.9378e-05i,-0.00056161+0.00051222i,0.00011235+0.0010388i,-0.00039972-6.9269e-05i,-0.00043224-0.00024088i,0.00040126+0.00040018i,0.00082626+0.00023783i,0.0003868-9.832e-05i,-0.00020051-0.00035267i,-1.4086e-05-0.00062528i,0.00068731-0.0005572i,0.00071223-0.00024845i,0.00080793+0.00046722i,0.0012343+0.00078038i,0.00089045+1.6604e-05i,0.0004589-0.00033265i,0.00010252-0.00010333i,-0.00012584-0.00020915i,0.00068512-0.00057711i,0.00045743-4.8111e-05i,-0.00076935+0.0007381i,-0.00047072-0.00010742i
-0.00050043-0.0031165i,-0.00043275-0.00342i,-0.0024049-0.0039149i,-0.0028873-0.0019268i,-0.0018138-3.1723e-05i,-0.0012089+0.00099983i,-0.00045233+0.00090002i,-7.9617e-05-0.00041996i,-0.00072531-0.00077595i,-0.001196-0.00013356i,-0.0011298-5.3347e-05i,-0.00059187-0.0001665i,1.0896e-05+0.0002687i,0.00025682+0.00043352i,0.00028403-0.00018247i,-0.00022619-0.0008703i,-0.0003076-0.0010148i,-0.00043718-0.00089986i,-0.00028869-0.00034965i,-0.00023122+0.00076301i,-0.00020131+0.00067181i,-0.00026959-1.1714e-05i,-0.00033574+0.00027356i
0.0016291+0.0019492i,0.0032716+0.0023202i,0.0034755+0.0016317i,0.0026959-0.00053239i,0.001319-0.0014995i,0.00056572-0.00049518i,0.00099376+0.00086579i,0.0011866+0.00088192i,0.00091635+0.00050157i,0.00072883-0.0002246i,0.0011727-0.00066454i,0.00032323+9.224e-05i,-0.000605-0.00015182i,0.00046741-0.00057562i,0.0013594-0.00065304i,0.00097211-0.00070154i,0.0008987-0.00089173i,0.00033587+3.8986e-05i,-0.00051504+0.00041316i,-0.0002883-0.00054845i,-0.00034917-0.0012216i,-1.2246e-05-0.00089781i,0.00061555-0.00026651i
-0.001197+0.0020698i,-0.00034042+0.0016407i,-0.00038883+0.0016123i,6.7684e-05+0.0021911i,-0.0006749+0.0022121i,-0.0015608+8.3953e-05i,-0.00062265-0.00048648i,0.00043163+0.00060441i,0.00064095+0.0003434i,0.00030477+4.8445e-05i,-0.0001814+0.00030262i,-2.2594e-06+0.00020083i,0.00040194+0.00055718i,0.0002954+0.00053605i,0.0003869+0.00026391i,-0.00016347-0.00013249i,-0.00087646-0.0004962i,-0.0011743-7.1295e-05i,-0.00066359+0.00043211i,-0.00058166+7.4977e-05i,-0.00067113-1.1797e-05i,-0.00024524+0.00025778i,-2.4257e-06+0.00078751i
0.00090291-0.0022325i,0.0011542-0.0020135i,-0.0001579-0.0023746i,-0.001325-0.0019762i,-0.0023632-0.00010948i,-0.0020725+0.0012703i,-0.00057717+0.0011497i,8.9888e-05+0.00036189i,-0.0011038-0.00022105i,-0.00094488-0.0004687i,1.4868e-05-0.00051523i,0.00036786-0.00038943i,0.00053535-0.00060732i,-0.0004622-0.00089298i,-0.00090448-0.00047242i,-0.00034407-0.00024475i,0.00024877-0.00096443i,0.00018312-0.00068484i,-0.00036856-2.5136e-05i,-0.00026923-0.00015968i,-3.8949e-05-0.00055829i,3.1554e-05-0.00057237i,2.4264e-05-0.00014485i
-0.00050653+0.00014888i,-0.00092902-0.00054794i,-0.00027605-0.00057807i,0.00026754-0.0007803i,-0.00018919-0.0009437i,-0.0012484+0.00035805i,-0.00027668+0.0011445i,0.00097979+0.00017435i,0.00093413-0.00069797i,-0.00023884-0.00059989i,-0.00025519-0.00048218i,0.00060336-0.00013798i,0.00040335-0.00020041i,0.00026581-0.00045778i,-6.5311e-05+9.5475e-06i,-3.1591e-05+2.9695e-05i,-0.00035652-0.0001158i,-0.00065146-8.535e-05i,-0.00010624+8.236e-05i,0.00017277-5.3879e-05i,-0.00056665+0.00036113i,-0.0012718+0.00075969i,-0.0007679-0.00016523i
0.0014519-0.00026408i,0.001229-0.00067629i,0.0012607-0.00052474i,0.00090096-0.00017135i,0.0002179-6.8153e-05i,0.00030073-6.2956e-05i,0.00082578+9.3416e-05i,0.0011756+2.6463e-05i,0.00044644-0.00017025i,-0.00047567-0.00031804i,-0.0002354-0.00063101i,0.00020083-0.0012935i,0.00034315-0.00086426i,-4.3757e-06-0.00084548i,-0.00011611-0.0011671i,-9.056e-05-0.0015234i,-0.00048046-0.0016678i,-0.0007974-0.00074446i,-0.00074554+0.00061247i,-0.00064864+0.00075971i,-0.00045795-1.9144e-05i,-0.00064385-0.00052932i,-0.00061137-0.00061489i
0.0012489+0.0014054i,0.0021901+0.002184i,0.0021634+0.0027566i,0.00087334+0.0018187i,-0.00044364+0.0014108i,-0.00085736+0.00053005i,-0.00056205-0.00012143i,0.00012156+0.00033619i,0.00015117+0.001042i,0.00018202+0.0011102i,0.00029307-0.0001111i,0.00078729-0.00044064i,0.00080474-0.00018591i,0.00099916-0.00049064i,0.001154-0.00061209i,0.00068386-0.00046278i,0.00020786+3.7752e-05i,1.5829e-05-0.00045508i,0.00027289-0.00040269i,0.00052772+8.1899e-06i,0.00016548+0.00034207i,-0.00055228+0.00054728i,-0.00074321+0.00042498i
