-0.002635+0.0012123i,-0.00095264+0.0012073i,-0.0018223+0.0026938i,-0.002067+0.0036535i,-0.0011081+0.0040361i,0.00011292+0.0032537i,-0.00025382+0.0021824i,-0.00058904+0.0016014i,0.00020506+0.0015995i,0.00092944+0.0013949i,0.001513-0.0006088i,0.0014536-0.0019579i,-6.1699e-05-0.0013048i,-0.0012994-0.0010162i,-0.0013215-0.0010237i,-0.00058143-0.00029332i,0.00029292+0.00030867i,0.00064523+0.00019303i,0.0006215+0.00020098i,0.00018651+0.00025866i,-0.00026941-0.00069611i,-5.3602e-05-0.00075099i,-0.000307+0.00012977i
-0.00059165-0.0011505i,0.00062444+9.4994e-05i,0.00044552+0.0017786i,-0.00011971+0.0015274i,0.00017235+0.00067743i,0.00081942+0.00021485i,0.00092208-0.00018228i,0.00068802-0.0010605i,-0.00036013-0.0010433i,-0.0010481-0.00010096i,4.3753e-05+0.00028766i,0.00087518+0.00038962i,0.00054711+0.0004128i,-7.5908e-05-9.4893e-05i,0.00022343-0.00018951i,5.3704e-05-0.00072354i,0.00031968-0.0011781i,0.00088947-0.00054871i,0.00052869+0.00067643i,0.00082892+0.00094424i,0.0012572+0.00024476i,0.00018442-7.7144e-05i,-0.00069129-0.00053111i
7.1358e-06-0.0010864i,0.0021121-0.0026777i,0.0032084-0.0034114i,0.0014908-0.0020545i,-0.00056947+0.00018815i,-0.0016008+0.001421i,-0.00028734+0.001319i,0.00033079+0.00069869i,-0.0010402+0.00062252i,-0.0014713+0.00040184i,-0.0010455-0.00028087i,-0.00092354-0.0002256i,-0.00078319+0.00033289i,-0.00056601-0.00014859i,-0.00046517-8.5053e-06i,-0.00032518+0.00036895i,-0.00012599-1.4102e-05i,0.00017516-0.00068406i,0.0006048-0.0013372i,0.00054149-0.0011538i,0.00067129-0.0011948i,0.00078161-0.00079243i,0.00045406-0.00020224i
-0.00054871-0.0010056i,-0.00040757-0.0022391i,-0.0016803-0.0032097i,-0.0014867-0.0024681i,-0.0005502-0.0010439i,0.00042667-0.00044928i,0.00023573-0.00027922i,-0.00015917-0.00053384i,-1.5578e-05-0.00016466i,-0.00033658-0.00011479i,0.0001229-0.00055081i,0.00086582-0.00010055i,0.0006054+0.00033479i,-0.00028651+0.00019183i,-0.0011647+0.00016097i,-0.00044123+0.00032953i,0.0007944+0.00070171i,0.00039176+0.00065832i,-0.00010508+0.00024369i,-7.6456e-05+0.00047473i,-0.00014647-0.00012652i,0.00022686-0.00087342i,0.00038403-0.00094448i
0.0010953-0.00072853i,0.0020583-0.00060877i,0.0022284+0.00069068i,0.0012632+0.0012141i,0.00053774+0.00070252i,0.00052129+0.00054095i,0.00026764-0.0006071i,-0.00011793-0.0016523i,-0.00022663-0.0011357i,0.0003895-0.00079482i,0.00043246-0.0011669i,0.00052066-0.00098032i,0.00010582-0.0012255i,-0.00040717-0.000522i,-0.00047746+0.00066606i,-0.00084055+0.00076857i,-0.0010094+0.00047142i,-0.0009796+3.3753e-05i,-0.00081313-8.5062e-05i,-4.494e-05-0.0004492i,0.00084632+0.00036844i,0.00060948+0.0011309i,0.00040594+0.00038088i
0.0009473-0.00073187i,0.00070301-0.0012934i,0.00076971-0.0012405i,0.0011046-0.0012173i,0.0011733-0.0011057i,0.0010492+8.3318e-05i,0.0002019+0.00046573i,0.00011587+1.9625e-05i,0.00076795-0.0005796i,0.00060004-0.00117i,0.00018648-0.00074389i,0.00061452-0.00027545i,0.0012897-0.00017924i,0.0012287+0.00035636i,0.00058528+0.00014448i,-0.00016011-0.00020462i,9.124e-05+0.00012416i,-0.00040542-0.00015766i,-0.00083205-0.0007899i,-0.0002157-0.00029783i,0.00027409+0.00014863i,0.00052731+8.6691e-05i,0.00084468-0.00029214i
0.00077281-0.00024213i,5.3401e-05+0.00034707i,-0.00010242-0.00063201i,-0.00018004-0.0011817i,-0.00078419+9.3637e-05i,-0.0006867+0.00024464i,0.00030022+0.00012288i,0.00081428-3.3615e-05i,0.0011582-0.00034649i,0.0010091+0.00035358i,0.00091193+0.00053999i,0.00092661-0.00030801i,0.00070289-0.00018426i,0.00069599+0.00042409i,0.00051096+0.00096886i,0.00050757+0.00095144i,0.00057047+0.00024094i,0.00024723-0.00036006i,-4.2941e-05-0.0012017i,-0.00025351-0.00098118i,8.0705e-05-0.00046298i,0.000262+0.00059203i,-0.00026255+0.00098565i
0.00061221-0.00057182i,0.0014979-0.00043894i,0.0024204-0.0005829i,0.002372-0.00088436i,0.0017189-0.0013722i,0.00031057-0.0011907i,-0.00045367-0.00010031i,0.00019764-7.0481e-05i,0.0010852-0.0007482i,0.0012348-0.0015142i,0.0011148-0.0011373i,0.00057538-0.00061596i,0.00053443-0.0012093i,0.00087734-0.0017602i,0.00067611-0.0016186i,0.00050999-0.00067525i,0.00042878+0.00017615i,0.00020078+0.00025671i,-2.0027e-05-0.00023332i,0.00049727+0.00025984i,0.00044003+0.00054769i,0.00026383-0.00010078i,0.0001351-0.00048062i
0.0010031-0.0020008i,0.0018317-0.002157i,0.0010817-0.0027321i,7.5004e-05-0.002665i,-0.00027282-0.00058241i,-0.00059509+0.0012073i,-0.00041184+0.0014138i,-9.5239e-06+0.00080766i,-0.00014036+0.00014604i,-0.000109-0.00063268i,-0.00082548-0.0008893i,-0.0010325-0.00055008i,-0.00017749-0.0002915i,0.0003837-0.00017504i,0.00028052-1.4315e-05i,0.00030577+0.00014324i,3.8259e-05+0.00017439i,-0.00031676-0.00031933i,-0.00030206+9.4422e-05i,0.00024423+9.6406e-05i,0.001223-0.00060847i,0.0012782-0.00075678i,0.00031539-0.00025117i
0.00029743+0.0012891i,0.0015917+0.00083719i,0.0026995+0.00051991i,0.0024113+0.00024076i,0.0015822+0.0009324i,0.00056776+0.0009536i,-2.9204e-05+7.1383e-05i,-5.7359e-05-0.0003783i,0.00066323-0.00040758i,0.0010631-0.00040758i,0.00041329-0.00081073i,-0.00049682-0.0013295i,-0.00033547-0.00061281i,2.6442e-06+0.00093264i,-0.0003798+0.0013718i,-0.00067422+0.0011957i,-0.00047539+0.0013424i,-0.00063616+0.0012983i,-0.00064573+0.00078179i,-0.00029685+0.00034335i,-0.00065547+0.00074888i,-0.00039708+0.00093508i,-0.00035463-0.00052138i
0.0012297-0.00040538i,0.0016136-0.0010969i,0.0016102-0.0023562i,5.3058e-05-0.0025729i,-0.00099676-0.0013733i,-0.00034227+0.00012271i,0.00074659+0.00096729i,0.00017689+0.0010849i,-0.00047758+0.00034144i,-0.00013929-0.00048441i,-0.00029275-0.00067842i,-0.00025987-0.00024079i,-0.00039713+0.00044681i,-0.00097866+0.00098378i,-0.0012399+0.00046527i,-0.00067391-0.00041191i,-0.00051893-0.00069115i,-0.00054746-0.00036286i,-0.00018177+0.0002347i,0.00012573+0.00040625i,-0.00021237+0.00017166i,-0.00061749-3.7019e-05i,-0.00028455-0.00017126i
-1.6162e-05+0.00081255i,0.00054999-9.8673e-05i,0.001942+0.00036995i,0.0029206+0.00049225i,0.0018782+0.00042514i,0.00043607+0.0011256i,2.6401e-05+0.0010224i,-8.0784e-05+4.4882e-05i,5.4953e-05-0.00023414i,-0.00018824-0.001135i,-0.00081194-0.0017668i,-0.0010814-0.00084178i,-0.00046006+2.9687e-05i,-2.4084e-06+0.00038671i,0.00012177+0.00059355i,0.00040102+0.0010095i,0.00071549+0.00066727i,0.0002938-0.00018763i,-0.00015172-0.0003724i,-0.00010723+0.0002282i,8.8624e-05+0.0010298i,0.00077896+0.0009993i,0.00069129-0.00020079i
-0.00046748+0.0003391i,0.00011088+0.00027648i,0.00070452+0.00030552i,0.00032446+0.00038647i,-0.00062487+0.001033i,-0.0011307+0.0013142i,-0.00058688+0.00028082i,-0.00015234-0.00032922i,-7.284e-05-5.1114e-05i,0.00010193+4.0387e-06i,0.00061534-0.00051869i,0.00090238+0.00038442i,0.00039987+0.00079687i,-0.00043716-2.2304e-05i,-0.00073473-0.00046087i,-0.00010042-0.00058145i,0.00022985-0.00032453i,-0.0004577-1.0429e-05i,-0.00050266+0.00054254i,1.2971e-05+0.00035386i,0.00056125-0.0001968i,0.0012451-0.00073628i,0.0011961-0.00069925i
0.0007888-0.00059873i,0.00058993-0.00052779i,-0.0002643-0.001557i,-0.00085242-0.0014714i,-0.0006299+8.8312e-05i,-0.00089029+0.00034283i,-7.3374e-05-0.00037105i,0.00080161-0.00018899i,0.00040861-0.00053318i,-1.3651e-05-0.00059499i,0.00037555-0.00081995i,0.0004081-0.0012431i,0.00013546-0.00023103i,-0.00026133+0.00040511i,-0.00038623+0.00061316i,-0.00011564+0.00086005i,-0.00029766+0.00020133i,-0.00085199+5.6386e-05i,-0.00036828+0.00071795i,-8.1616e-05+0.00064957i,-0.00022789+0.00029566i,0.00022533+0.00023304i,0.00048633-0.00037038i
-0.00069745+0.00095864i,-0.00026687+0.00012478i,0.0010464+0.00026199i,0.0015908+0.00090023i,0.0011719+0.00077563i,-0.00013698+0.00087374i,-0.001275+0.00027876i,-0.0010587-0.00037039i,-0.00036903-0.0003911i,-6.8587e-05-0.0002801i,0.00044642-0.0003799i,0.00030824+5.9914e-05i,-0.00053186-0.00020737i,-0.00037029+0.00017126i,0.00015751+0.0015024i,0.00036924+0.0016367i,9.0804e-05+0.00067173i,-0.0003689-0.00052593i,0.00068709-0.00091538i,0.0011933-0.00016513i,0.00068896+0.0006208i,0.00073777+0.00050116i,0.00046446-0.00049399i
0.0010868-0.00045692i,0.0018177-0.0011573i,0.00030549-0.0011735i,-0.0010477-0.00054913i,-0.0012886+0.00037051i,-0.00076186+0.0011198i,-6.5054e-06+0.00071104i,0.00042151+0.00013349i,0.00022656-0.00026347i,-3.0435e-05-0.00064409i,-0.00036293-0.00035619i,-0.0004933+0.0002778i,6.6721e-05+0.00045066i,0.00059281+0.00027344i,0.001275-0.00019782i,0.0017103+0.00014814i,0.0010306+0.00055123i,0.0003692+0.00062069i,0.00014724+0.00087815i,0.00014896+0.00054107i,-0.00051935-0.0003729i,-0.00028496-0.00061714i,-0.00043351-7.9523e-05i
0.00060588-0.00020785i,0.0010578-0.00079871i,0.0020844-0.0011464i,0.00096827-0.00072996i,0.00036799-0.00018396i,0.00057365+0.00032147i,0.00038256+5.2388e-05i,0.00027667-0.00073145i,0.00025111-0.0017112i,0.00018678-0.0016341i,0.0002787-0.00065547i,0.00058337+9.8908e-05i,0.00022709+0.0011608i,-0.0011538+0.0012198i,-0.0012445+0.00061697i,8.5145e-05+0.00063151i,0.0006626+0.00056228i,0.0003595+9.026e-05i,1.7516e-05-0.00039442i,-0.00031008-0.00033575i,0.00011651-0.000491i,0.00056491+1.5641e-05i,0.0002272-1.6121e-05i
0.0011929+0.00098284i,0.00060524-0.00039412i,0.00010792-0.0020537i,0.00066779-0.003106i,0.0013579-0.0023423i,0.00090612-2.7972e-05i,0.00043247+0.0015585i,0.00015085+0.00087081i,5.9722e-05-0.00068061i,0.00021347-0.0011763i,-0.00038609-0.0011521i,-0.001281-0.00042279i,-0.00091968-0.00019558i,-0.00015019-7.1161e-06i,0.00021141+0.000565i,9.8867e-05+0.00088613i,-0.0003447+0.00080462i,-0.00035421+0.00012654i,0.00052626-0.00056721i,0.00042548-0.00049145i,0.00028982-0.00071277i,0.00058721-0.00082917i,0.00069862-0.0011595i
8.737e-05+0.00084952i,0.0013875+0.00018215i,0.002804+4.0206e-06i,0.0023798-7.301e-05i,0.00052014+0.0013694i,-0.00069011+0.0012745i,-0.00041538+0.00035724i,-0.00063657-5.6219e-05i,-0.00048725-3.5327e-05i,4.6593e-05+4.5164e-05i,-0.00042923-0.00056669i,-0.00038395-0.00047372i,-3.7632e-05-6.5038e-05i,-0.00017292+0.00016796i,-0.00073776+0.0010593i,-0.0010007+0.00069353i,-0.00038725-0.00020045i,-6.3758e-05-0.00047165i,0.00063202-0.00018178i,0.0011649+0.00047601i,0.001118+0.0002498i,0.0010386-0.00077323i,-3.3903e-05-0.00015946i
0.0015478-0.00053209i,0.00048832-0.0014868i,0.00030183-0.0023655i,0.00074562-0.0021491i,0.00023298-0.001189i,-0.0011037-0.00033695i,-0.00077939+0.00035704i,0.00041742+0.00046718i,0.0004963-0.00028962i,9.1311e-05-0.0013595i,-0.00022065-0.0015164i,-0.0006848-0.00098656i,-0.00026853-2.2046e-06i,0.00030581+0.0002439i,0.00037426-0.00059252i,0.00074393-0.00085544i,0.00086124-0.00029786i,0.00020477-0.00026238i,-0.00028669+8.9995e-05i,-5.4105e-05-0.00010395i,-0.00035963-0.00068633i,-0.00083724-0.00025137i,-0.00038169-2.5563e-05i
0.00043345+7.2473e-05i,0.0008697-4.1194e-05i,0.001311+0.00041738i,0.0020198+0.00092694i,0.0005499+0.00084151i,-0.00094764+0.0001099i,-0.00024348-3.8749e-05i,0.00040428-0.00050812i,0.00071873-0.00062167i,0.00092737-0.00041905i,0.00050631-0.00045517i,-0.00072706-0.00054i,-0.00058109-0.0009681i,-0.00048288-0.00020372i,-0.00028781+0.0010465i,0.00038532+0.00052106i,0.00016709-0.00015009i,-0.00060704+0.00018627i,-0.00067583-0.00036079i,4.0717e-06-0.00033775i,-0.00023175+0.0004194i,-9.702e-05+0.00038906i,-5.3256e-05+0.00065665i
-0.00040806+0.00061013i,4.3572e-05+0.00012905i,-0.00059536+0.00018324i,0.00040324+0.0012592i,0.0012172+0.0026417i,0.0004934+0.002158i,-0.00042672+0.00091627i,-0.0009467-8.7312e-05i,-0.00074051-0.00080374i,-0.00038557-0.00068516i,-0.0003091-0.00040731i,-0.00012645-0.00020754i,-4.1732e-05-0.00039465i,0.00011709-0.00043652i,0.00052594+0.00074311i,0.00044434+0.0015931i,0.00080798+0.0011272i,0.0010592-5.3632e-05i,0.0010023+5.7269e-05i,0.00093803-0.0001862i,0.00056001-0.00067081i,0.00026313-0.00057923i,-0.00044621-0.00023811i
-0.00073169-0.00036808i,-0.00032649-0.00091225i,4.5945e-05-0.0016069i,-7.5455e-05-0.0015292i,-0.0014263+6.129e-05i,-0.0018232+0.0014994i,-0.00024805+0.00085666i,0.00050648-0.00017293i,-0.0005374-8.8342e-05i,-0.00065785-0.00079236i,-0.00014542-0.0013679i,0.00018402-0.0013481i,0.00038678-0.0012449i,4.0483e-05-0.00086036i,0.00050583-0.00042106i,0.00083471+0.00036578i,0.00057669+0.00045109i,0.0006991-0.00049707i,5.5617e-05-0.0004279i,9.6215e-05+0.00040147i,0.000667+0.00029602i,0.00045717+0.00053177i,0.00015549+0.00068248i
0.001165-0.0012339i,0.0020092-0.00062766i,0.0023633-0.00059091i,0.00092023-0.00076173i,-0.00067402+5.4724e-05i,-0.00060765+0.00049461i,-0.00061937-0.00030161i,-0.0002339-0.00059289i,-0.00023807-0.00072487i,-0.00017821-0.00069877i,-0.00031602-0.00031906i,-0.00040242+0.00018927i,-0.0003086+0.00020362i,9.9814e-05-0.00049866i,-9.5066e-05-0.00077759i,-0.0011674-0.00037013i,-0.0010107-4.3407e-05i,1.002e-05-4.0675e-05i,0.0010958+0.00021118i,0.0015225+0.00033318i,0.0012734-0.00035478i,0.0013281-4.4364e-06i,0.0012819+6.2729e-05i
0.0018958+0.00012266i,0.0023561-0.00086242i,0.0024941-0.0012753i,0.0016723-0.001798i,0.00084689-0.0010509i,0.0002336+0.0002759i,7.5204e-05+0.00060429i,-0.00044939+0.0008296i,-0.00020874-9.4713e-05i,-4.1302e-05-0.0015565i,-0.00029818-0.0012613i,-0.00023471-0.00068301i,-4.6077e-05+0.00018859i,0.00028886+0.0012456i,0.00059467+0.00066683i,0.00029588-0.00045994i,-0.0004303-0.00096664i,-0.000513-0.00079623i,2.4486e-05-0.001092i,-0.0001111-0.00045715i,-0.00050808+0.00060577i,0.00015805+0.00088658i,0.00031191+0.00081228i
0.0015102-0.0018579i,0.00092063-0.0023859i,0.0013861-0.0029101i,0.001671-0.0026063i,7.2773e-05-0.000924i,-0.0004525+0.00098406i,0.00014562+0.0009778i,0.00043753+0.00086995i,0.00070646+0.0011569i,-0.00021758+0.0008879i,-0.0011876+0.00052703i,-0.00079991-0.00048433i,0.00084733-0.0002852i,0.0013938+0.00056424i,0.00035897+0.0012396i,-0.00028826+0.00074628i,3.668e-06-0.00049815i,0.00020242-0.00046513i,-0.00011266-6.3957e-05i,0.00015816-0.00048477i,0.00034585-0.0003974i,-0.00018193+0.00032186i,-0.00024001+4.8165e-05i
0.00091525-0.00080057i,0.0016866-0.0025337i,0.0011068-0.0034771i,0.00012938-0.0023764i,0.00026241-0.00062304i,0.00021001+0.00031128i,-0.00034049+0.00061715i,-0.00038003+3.2976e-05i,-0.00010508-0.00032369i,-0.00045724-0.0004041i,0.0003682-0.00070511i,0.0011123-0.00019322i,0.00010871+0.00012642i,2.3363e-06-0.00053734i,0.00065371-0.0006258i,0.00087641-4.5826e-05i,0.00036962+0.00014908i,0.00037679+0.00023964i,0.00064937+0.00056546i,-0.00025007+0.00086086i,-0.00065836+7.1866e-05i,0.00070952-0.00056283i,0.0022702+0.00079031i
0.0015429-0.00047863i,0.001761-0.0013196i,0.001024-0.0017116i,-0.00053931-0.0015562i,-0.0015112-0.00053853i,-0.00073741+0.001299i,0.00032205+0.0024913i,0.001137+0.0010249i,0.0014461-0.0007036i,0.0010987-0.001771i,0.00057478-0.0014891i,0.00040506+0.00022972i,0.00036356+0.00084125i,0.00067375+0.00011983i,0.00098652-0.00042413i,0.00039354-0.00026148i,-4.3966e-05-0.00027286i,0.00025291-0.00067072i,0.00067209-0.00078947i,-1.6998e-05-0.00075947i,-7.0457e-05-0.00020839i,0.00070853+0.00031471i,0.00075255+0.00067987i
0.00029427-0.0004629i,0.00034743-0.0014067i,-0.00043077-0.0019063i,-0.00041601-0.0013923i,-0.00016667-0.00098793i,-0.00050341-9.0275e-05i,-0.00065058+0.00082137i,-0.00070493+0.00021126i,-0.00065997-0.00054518i,-0.00057162-0.00070695i,-0.00018247-0.0011278i,0.00037681-0.00075266i,-0.00012835-6.8276e-05i,-7.0848e-05+0.00012343i,-0.00028967+0.00064517i,-0.00041119+0.00086603i,0.00024752+0.00035501i,0.00042434+0.00030602i,0.00054473+0.00054729i,0.00073056+5.5493e-05i,0.00066434+6.7792e-07i,0.00071048+7.948e-05i,0.00099045+6.2894e-05i
0.0012392-0.0016042i,0.0020594-0.0017757i,0.0016723-0.0025464i,-4.7353e-05-0.0022954i,-0.00097364-0.0012323i,-0.00037667+0.00079009i,0.00064505+0.0019259i,0.0012773+0.00049377i,0.0010411-0.00076712i,-0.00011646-0.00093836i,-0.00060068-0.00079002i,-0.00026376+5.4931e-05i,0.00014702+0.0002254i,0.00098312+0.00037135i,0.00084176+5.9437e-05i,0.00043407-0.00095362i,0.00034345-0.0018226i,0.00035396-0.001843i,5.1926e-05-0.00088333i,-6.0192e-06-0.0001407i,0.00025736-2.3294e-05i,0.00023558-7.0718e-05i,0.00022263-0.0001869i
2.3192e-05+0.00042128i,0.0013455+0.00031751i,0.0017595+0.00029264i,0.0017352+0.00030671i,0.0019584+0.00085832i,0.001046+0.0010593i,-0.00030514+0.00018792i,-0.00084181-0.00078535i,-0.00082647-0.00090271i,-0.00068599-0.000703i,-0.00025142-0.0011904i,0.00022524-0.0013939i,7.4515e-05-0.00069266i,-0.00022651-0.00017186i,-0.00028737-0.0003739i,-0.00014247-0.0002533i,0.00042814+0.00027389i,0.00058896+0.00028486i,0.00078698+2.1226e-05i,0.00057754+2.0022e-05i,0.00095255+0.00047963i,0.00066881+0.00054267i,4.4823e-05-0.00062773i
0.00016956-0.00084587i,-0.00019334-0.0012531i,-0.00092038-0.0020923i,-0.0016447-0.0023883i,-0.0019359-0.0010521i,-0.0012543+0.00075472i,-0.00022932+0.00083803i,1.503e-07+2.8065e-05i,-8.5131e-05-0.00049823i,0.00034016-0.00054105i,0.00028869+0.00017367i,0.00055455+0.00012086i,0.00063979-0.00050473i,0.00044181-0.00016201i,0.00068296+0.00088458i,0.00059601+0.00084074i,8.4739e-05+0.00028778i,7.4196e-05-0.00014682i,-0.00038496-0.00017494i,0.00011978+0.00030113i,0.00029671+0.00072631i,-0.00030093+0.0011178i,0.00012374+0.0010926i
0.0013826-0.00027402i,0.0018324-0.001518i,0.0029029-0.0021617i,0.0020441-0.0024182i,0.0010824-0.0021821i,0.0013027-0.0014106i,0.00091663-0.00078471i,-5.2276e-05-0.00070864i,-0.00018241-0.0014657i,0.00014158-0.0013759i,0.00032161-0.0013799i,0.00013189-0.0015354i,0.00030164-0.00068806i,0.00070192-9.7271e-05i,0.00062493-8.6125e-05i,0.00032733-0.00015665i,-0.00010147-0.00046288i,-0.00029566-0.00040696i,-0.00050345+0.00031815i,-0.00010507+0.00095578i,0.00026698+0.0011254i,0.00051978+0.00075346i,0.00039502+0.00052254i
