0.0017102+0.00010096i,0.001002-0.0012875i,0.0012652-0.002388i,-0.00026588-0.0018233i,-0.0026798-0.00034547i,-0.0029302+0.0012042i,-0.0014523+0.0019475i,-0.00026052+0.0019905i,0.00013743+0.00049946i,-0.00016194-0.000633i,-0.00074847-0.0011755i,-0.0014966-0.00089452i,-0.0012294+0.00040658i,-0.00077217+0.0010349i,-0.00053444+0.0006348i,0.00039088+0.00030897i,0.00086929-0.00047166i,0.00052272-0.00064367i,0.0009334-1.915e-06i,0.0014201+0.00032196i,0.0010231-0.00040432i,0.00056251-0.0010101i,0.00016799-0.00070177i
0.00054083-0.00027508i,0.00045064-0.0011052i,-0.00021549-0.0014331i,-0.0011755-0.0012921i,-0.0015346-0.0015467i,-0.00075381-0.00012662i,-0.0004538+0.00054576i,-0.00011885+2.9389e-05i,0.00027133+0.00047418i,0.00061512+0.0011423i,0.00027403+0.0013095i,0.00016354+0.00044254i,0.0007111-0.00011986i,0.00061309-0.00056672i,0.00034394-0.00020418i,0.0001248-0.00038911i,-3.7205e-05-0.0011555i,0.00071403-0.00087558i,0.00036404-0.00034411i,-9.9315e-05-0.00024785i,-0.0001471-0.00054625i,-0.00052873-0.00092472i,-0.00023041-0.00034373i
-5.2228e-05-0.00086909i,0.00010861-0.00067087i,-0.00098098-0.00059185i,-0.0021653-0.00054897i,-0.0022515-0.00097448i,-0.00065072-0.001372i,0.00045607-0.00072511i,0.00051439-0.00078923i,0.00013647-0.0010867i,-8.4971e-05-0.00020518i,6.7409e-05+9.5218e-06i,0.0003401-1.2109e-05i,0.00053087-0.00019522i,0.00014032-0.00088144i,-5.7548e-05-0.00035934i,5.9953e-05+0.00011113i,-2.6971e-05+0.00010458i,-0.00010515-1.8137e-05i,0.0002745-0.000721i,0.00014651-0.0010491i,0.00010955-0.0011438i,0.00038545-0.00099519i,0.00021661-6.8117e-06i
-0.00054758-0.0019162i,-0.0015818-0.002448i,-0.002742-0.0025502i,-0.0024777-0.0015456i,-0.0015251-0.0014599i,-0.00022996-0.0011316i,0.0010769+2.1566e-05i,0.0015452+0.00050805i,0.00077716-8.8567e-05i,-1.8533e-05-0.00071983i,-0.00026144-0.00078677i,-0.00013083-6.4829e-05i,0.0004112+0.0008632i,0.0011819+0.00055736i,0.0013036-0.00076252i,0.00056229-0.00087092i,-0.00014181-0.00046385i,-0.00041571-0.00062123i,5.9222e-05-0.00016036i,-5.3803e-05+3.4583e-05i,-0.00076185+0.00013758i,-0.00095984+0.00017675i,-0.0009795-0.00030834i
-0.0010426-0.00023711i,-0.0007892+0.00044937i,-0.000273+0.00082325i,-0.00015168+4.9921e-05i,-0.0006414-0.00073755i,-0.00074943-0.00089523i,-0.000581-6.2042e-05i,-0.00051562+0.00053927i,7.6938e-05+3.9743e-05i,0.00050532-0.00057732i,0.00019498-0.00048645i,0.00011185-8.8479e-05i,0.00014337-0.0001812i,0.00016909-0.00046111i,0.00082976-0.00049568i,0.00092451-0.00040216i,0.00089925-0.00040392i,0.00052925+0.00036595i,-0.00028544+0.00020894i,0.00012487+1.4112e-05i,0.00033983+0.00034099i,0.00025197+5.8291e-06i,0.00075314-0.0002005i
-0.0011774+0.00043277i,-0.0009159-0.00017173i,-0.001116-0.0012011i,-0.0012318-0.0020398i,-0.00076889-0.001555i,-0.00050006-0.00044908i,-0.00038635+0.00057709i,-2.6617e-05+0.00065646i,1.4824e-05+0.00066325i,0.0003179+0.00066502i,-0.00023136+0.00044658i,-0.00053432+8.8693e-05i,-0.0012183-0.00031646i,-0.0013524+0.0002298i,-0.00028258+0.0012575i,-0.0002056+0.0010752i,0.0001166+0.00085925i,0.0007143+0.00069118i,0.00016405+0.0001607i,3.8662e-05-9.4251e-05i,0.00023221-0.00037033i,0.00058449-0.00075379i,0.00050539-0.00029011i
0.00065714-0.00067268i,0.00050091-0.0011138i,-0.00064242-0.0014092i,-0.001797-0.0014347i,-0.0020341-0.0015727i,-0.00058018-0.0010771i,0.00063355-0.00070428i,0.0010802-0.0005357i,0.00063593-0.00059913i,-0.00022168-0.00037397i,-0.00073568-6.6769e-05i,-0.00055444-0.00029046i,-0.00040133-0.00022769i,-0.00047182+0.0005363i,0.0001815+0.00098485i,0.00092644+0.00087622i,0.00078194+0.00076845i,0.00027463-1.65e-05i,0.00013147-0.0002049i,0.00053005+0.00073112i,0.00097292+0.00059742i,0.00093847-0.00030875i,6.8737e-05-0.00045997i
-5.164e-05-0.0014426i,-0.00047874-0.0020978i,-0.00021993-0.0026304i,0.00010426-0.0021089i,0.00032669-0.0017989i,-0.00017931-0.0012764i,-0.00086448-0.00097556i,0.00015838-0.0001507i,0.00038445+0.00014052i,-3.437e-05+0.00028477i,5.7895e-05+0.00051783i,0.00029393+0.00034873i,0.00026342+0.000396i,-6.6369e-05+0.00044505i,0.00010515-0.00020423i,0.00046119-0.00067218i,0.00031043-0.00042168i,0.00017784-0.00048983i,2.3077e-05-0.00055233i,7.8544e-05-0.00014235i,6.4616e-05+0.00032073i,-0.00022148+0.00025031i,0.00025171-9.3974e-05i
0.0017189+0.00050063i,0.0016143-0.0014977i,0.0013667-0.0014251i,0.0011229-0.0014203i,0.00086364-0.002563i,0.0007877-0.0021478i,0.00069748-0.0002534i,0.00033334-0.00031569i,0.00028872-0.00069294i,0.00017359+0.00087419i,2.6376e-05+0.00094745i,0.00027339-0.00011706i,-0.00029109-0.00038528i,-0.0007719+0.00013153i,-0.00057718+0.00010822i,0.00029991+7.955e-05i,0.00056564+0.00048039i,7.1604e-05-0.00023524i,-9.7596e-05-0.00064472i,-6.0139e-05+0.00015958i,1.0926e-05+3.2457e-05i,-5.8327e-05-0.00036915i,0.0002247-0.0002894i
-0.0013335-0.00047163i,-0.0019815-0.00096559i,-0.002123-0.0010415i,-0.0014483-0.0015893i,-0.00060209-0.002321i,-0.00074476-0.0017012i,-0.0012375-0.00085439i,-0.0013082-0.00030259i,-0.00081252-0.00013208i,-0.0004363-0.00046295i,-0.0003829-0.00083385i,-8.7289e-05-0.00038176i,7.9725e-05+1.3553e-05i,0.00024137-0.00067346i,0.00049236-0.00057293i,0.00077596-0.00027681i,0.00093541-0.00031817i,0.00091417-0.00014433i,0.00046153+2.297e-05i,5.6868e-05+0.00025578i,7.9615e-05+0.00068888i,-0.00051998+0.00055348i,-0.00079821+9.3029e-05i
-0.00068532+0.00029607i,-0.0011151+0.00040509i,-0.0012031+0.00052436i,-0.0010063-3.7687e-06i,-0.000473-0.0011835i,-3.4036e-05-0.0016188i,-0.00015456-0.0018951i,-0.00024635-0.0013159i,-0.00042159-5.6066e-05i,-0.00020116+0.00075909i,0.00063622+0.00033135i,0.00071271-0.0002573i,0.00041568-0.00051112i,0.00052241-0.00091955i,7.7969e-05-0.00092477i,-7.7958e-05-0.00064999i,7.7149e-05-0.00083963i,0.00039338-0.00069818i,0.00036986-0.00027412i,-0.00032438-0.00075006i,-0.00085969-0.00030779i,-0.00030562+0.00044874i,0.00066041+0.00057839i
-0.00081838+0.00099605i,-0.00023973+0.00049131i,0.00063122-0.00017384i,-0.00029543-0.0012578i,-0.00058929-0.0018768i,-3.5343e-05-0.0013462i,-0.00042032-0.00088066i,-0.00025948-0.00030101i,0.00041406+6.7813e-05i,0.00078134-6.305e-05i,0.00041185+2.8366e-05i,-0.00046198-9.084e-05i,-0.00016593-0.00048414i,0.00012696-0.00061209i,-0.00034457-0.0010271i,-0.00035418-0.00058405i,-0.00028879-0.00029518i,0.00021722-0.00092219i,0.00014295-0.00075626i,0.0002059-0.00024103i,0.00025522+0.00071265i,0.00077997+0.00043659i,0.001119-0.00011445i
0.00099553-0.00095489i,0.0013334-0.0010528i,0.0016824-0.0017481i,0.0008591-0.0019195i,0.00042132-0.0019555i,0.00011737-0.0017005i,-0.00013122-0.00081941i,0.00055102+1.9561e-05i,0.00070201+0.00030775i,0.00027414+0.00047124i,-0.00069807+0.00095639i,-0.00091972+0.00096635i,0.00042907+0.00059965i,0.00071966+1.2887e-05i,-7.6701e-05-0.00063453i,-0.00078414-0.00046096i,-0.0014104-0.0009055i,-0.0013114-0.00092955i,-0.00082195+5.4774e-05i,-0.00074276-0.00011976i,-0.00059343-0.00093637i,-0.00027488-0.0010845i,0.00015199-0.00094301i
-8.9842e-05-0.00084404i,-0.00045846-0.00091344i,-0.0012165-0.0020968i,-0.0013346-0.0028183i,-0.0016264-0.0025019i,-0.0013913-0.0016448i,0.00028913-0.00041323i,0.00035459-0.00023886i,-0.00014082-0.000681i,-0.00019755-0.0005577i,-0.00012429-0.00017873i,1.7769e-05+0.00035042i,0.00072618+0.00017409i,0.00089028+0.00014494i,-5.7309e-05+0.00040582i,0.00052846+0.00014436i,0.0010559-0.00051968i,0.00062896-0.00064656i,0.00054623+8.9265e-05i,0.00018845+0.00026042i,0.00020499+0.00029654i,0.00020669+0.00046708i,-0.00012272+0.00045449i
-0.00088449+0.0021458i,0.00074588+0.0017499i,0.0013995+0.001408i,-0.00015476+3.3389e-05i,-0.00099231-0.0013809i,-0.0004816-0.00074341i,-0.00045158-0.0002757i,-0.00012951-0.00063264i,0.00073675-0.00091557i,0.00088489-0.00027026i,0.00089845+0.00073973i,0.0010142+0.00085707i,0.00058202+0.00036692i,1.6196e-05-0.00010754i,-0.00029712-0.00071864i,0.00068635-0.00076904i,0.00067632-0.00021898i,-0.000233-0.00011388i,0.00037544-0.00018992i,0.00058335-0.00011713i,0.00039613-0.00028635i,-1.7093e-05-0.00059154i,-0.00054326+0.00017046i
0.00079667-0.0013307i,0.0012441-0.0016112i,0.0010652-0.0029721i,-0.00047381-0.0032291i,-0.0015607-0.001493i,-0.00072755-7.6021e-05i,0.00051507+0.00022163i,0.0010984+0.0006401i,0.00076837+0.0005538i,0.00034636+0.00025649i,0.00044911+0.0004769i,0.00047168+0.00068008i,0.00016574+0.00033139i,-0.00025784-0.00019966i,-3.8389e-05+0.00022565i,0.00019989+0.00061169i,-0.00052799+0.00044309i,-0.00087365+0.00034609i,-0.00059987+0.00088434i,-5.8117e-05+0.0013586i,0.00047819+0.00078113i,0.00028926+0.00087365i,-0.00045455+0.0013166i
0.00081008+0.0018158i,0.0010497+0.00070198i,0.0014749-0.0010712i,0.0013067-0.0023479i,0.00041142-0.0016463i,-0.00049134-0.00091511i,-0.00032478-0.00059775i,9.2591e-05+0.00026865i,0.0006351+0.0004374i,0.00060577+0.00040686i,0.00030094+0.00094453i,8.6441e-05+0.00062924i,-8.4257e-05-0.00087785i,-0.00037923-0.001124i,-0.0006345+0.00012271i,4.6694e-05+0.00026821i,0.00065899-0.00023439i,0.00055387-0.00051263i,0.00082138-0.00032629i,0.00085463+0.00026117i,0.00051524-3.213e-05i,0.001037-0.00018318i,0.0005629+0.00029803i
-0.0014559-0.00060458i,-0.0015874-0.0010484i,-0.0005127-0.00030756i,-0.0009672-0.00092727i,-0.0017052-0.0024046i,-0.0014636-0.0018577i,-0.00061952-0.00087549i,1.9339e-05-0.0011364i,0.00058811-0.00063949i,0.0011936-0.00043073i,0.0010224-0.00029732i,1.126e-05-0.00022676i,-0.00024309-0.00054317i,-0.00013392-0.000362i,-0.00019136-0.00019622i,0.00023814+0.00010636i,-0.0003721+0.00044248i,-0.0012355-4.7699e-05i,-0.0014429-0.00060657i,-0.0010266+0.00014411i,-0.00056226+0.00056938i,-0.00066134+0.00023726i,-0.00057771+1.4203e-05i
-0.00044344-9.8334e-05i,0.00023344+0.00066678i,-0.00087332+0.00010555i,-0.001224-0.0012495i,-0.00060556-0.0018944i,-0.0001998-0.001739i,0.00038649-0.0010165i,0.00059483-0.00010749i,0.00046837-0.00018398i,0.00044078-0.00015037i,-6.7397e-05+0.00060091i,-0.00053901+0.00042466i,-0.00038611-0.00028931i,0.00056672-0.00074225i,0.0010541-0.00038119i,0.00044981+0.00044242i,-0.00021806+0.00012053i,-0.00047865-0.0005647i,-0.00028148-0.00054354i,-0.00029956-0.00047125i,-0.00021836-0.00078477i,0.00011432-0.00066095i,-7.1402e-05-6.3442e-05i
-0.0016789+4.3054e-05i,-0.00042357+0.00016889i,0.00084728+0.00022174i,0.00065913-0.0013682i,0.00050747-0.0022633i,0.00087483-0.0015928i,0.00021649-0.00087806i,-0.0010941-0.00060488i,-0.0010549+1.815e-05i,2.219e-05+0.0005856i,0.000347+0.00034665i,0.00011847-0.00072185i,6.7753e-05-0.0011464i,0.00022168-0.00081724i,-0.0004313+0.00028738i,-0.00081696+0.0013423i,-0.00033323+0.000821i,-4.5844e-06+0.00078914i,0.00012316+0.00055827i,0.00044218-0.0001481i,6.3153e-06-0.00022528i,-0.00040178-0.00044163i,7.2122e-06-0.00080467i
-0.00014671+0.0008416i,0.0012372+0.00078403i,0.00059094+0.00087708i,-0.00013936-0.00025486i,0.00057879-0.00099947i,6.8723e-05-0.0008615i,-0.00055077-0.00030863i,-0.00070692+8.0748e-05i,-0.00042177-0.00012023i,0.00015106-0.00032726i,0.00029926-3.4071e-05i,0.00050485+0.00033287i,0.00023194-0.00033049i,2.9493e-05-0.0014671i,3.713e-06-0.0014333i,6.3489e-06-0.0012334i,0.00017888-0.00030632i,-0.0006446+0.00039826i,-0.00069104+0.00049522i,-5.2825e-05+0.00016568i,-0.00033568-0.00041132i,-0.00077116+7.3422e-06i,-0.0011531+0.00057006i
-0.0018662-0.00050203i,-0.0018536+0.00011695i,-0.0011268+0.00010236i,-0.0015018-0.00090131i,-0.0010211-0.0015479i,0.00079143-0.0014134i,0.00096947-0.0010772i,4.6714e-05-2.9747e-06i,9.4913e-05+0.00092972i,-3.8571e-06+0.00088511i,-0.00021179+0.0004295i,-0.0003422-0.00017655i,-0.00095263-0.00089893i,-0.0010447-0.0016494i,-0.00084561-0.0014916i,-0.0012933-0.00094736i,-0.0012646-0.00015965i,-0.00019334-0.00064864i,0.00086995-0.00098771i,0.00046035+0.00040671i,-0.00065613+0.00084179i,-0.00071531+0.00058815i,-0.00035403+0.00035997i
4.981e-05-0.000327i,-0.00034401-0.00074963i,-0.00069932-0.0013816i,-0.00069555-0.0018815i,-0.00025246-0.0024863i,0.00025799-0.0024306i,-0.00015466-0.00084954i,-0.00078823+3.4827e-05i,8.6363e-05-0.00022975i,0.00069355-0.0004983i,0.00080027-0.00078019i,0.00091039-0.0010519i,0.00013086-0.00024441i,-0.00041864+0.00086273i,-0.00018279+0.00084161i,-3.7429e-05+0.00059176i,0.00067039+0.00077345i,0.00078149+0.0006658i,-0.00012768+0.00077795i,-0.00044865+0.001351i,-0.0003369+0.00072788i,5.6624e-06-0.00033124i,-0.00025777-0.00058115i
0.00052378+6.093e-05i,0.00011574-0.00048399i,-0.00042205-0.0023931i,-0.00083675-0.003458i,-0.0010507-0.0028252i,-0.0010162-0.0011708i,-0.00045538-0.0006106i,0.00031292-0.00069836i,0.00059303-0.00067356i,0.00020823-0.00037409i,-0.00070093+0.00017484i,-0.0011709+0.00019199i,-0.00019609+0.00051125i,0.00054249+0.0013916i,-0.00017201+0.00168i,-0.00048694+0.0014425i,-0.00047433+0.00093018i,-0.00027532+0.00024965i,6.0309e-05+0.00019554i,-0.00023667-8.8358e-05i,3.9665e-05+3.0911e-05i,0.00024431+0.00040283i,1.42e-05+0.00041489i
-5.0354e-05+0.0009505i,0.00075963+0.0011325i,0.0011692+0.00026349i,0.00048207-0.0010004i,0.00016991-0.002041i,-0.00041218-0.0020667i,-0.00075572-0.00048635i,-0.00037488-6.6138e-05i,0.00028317+4.0786e-05i,0.00081668+0.00063395i,0.00095362-7.3228e-05i,0.00037148-0.00082193i,-0.000494-0.00049922i,-0.00072755-0.00058015i,-0.0010272-0.00063743i,-0.0011411-0.00030688i,-0.00093621-0.00043227i,-0.00098332-0.00033083i,-0.00022433-0.00085591i,0.00070583-0.0012029i,0.00061904-0.00032684i,0.00027985+0.00020939i,-1.6724e-05+0.00017935i
0.0013679-0.00055205i,0.000665-0.0011971i,-0.0005288-0.0015816i,-0.0021741-0.0013484i,-0.0028371-0.0010456i,-0.00097261-9.3606e-05i,0.00041561+0.0010429i,0.00037861+0.0014227i,0.00030375+0.00097724i,0.00017149+0.00031082i,-9.7304e-05-0.00014814i,-9.1814e-05-0.000175i,-0.00016398+0.00038081i,-0.00026551+0.00026834i,0.0001849+0.00039789i,0.00025224+0.00062759i,-0.00029905+0.00044777i,-0.00041856+0.00060629i,-0.00019262+0.0014797i,0.00010418+0.0017043i,5.2273e-05+0.00097227i,4.1138e-05+0.00064104i,-0.00013867+0.00035885i
-0.00069303-0.00078489i,-0.00023949-0.0019239i,-0.00042345-0.0021427i,-0.00047611-0.0018379i,-0.00068933-0.00082018i,-0.00097849+0.001214i,-0.00063199+0.0017606i,-0.001312+0.00031794i,-0.0011015-0.00061285i,-5.6978e-06-9.4657e-05i,0.00050286-0.00057466i,0.00067169-0.00093998i,0.00047334-0.00037419i,-0.00038312-0.00045323i,-0.00046136+4.6355e-05i,0.00012103+0.00042201i,0.00068381-0.00012962i,0.00089767-0.00019096i,-0.0003671+0.00019164i,-0.001248-0.00019464i,-0.00068218+0.00020223i,-0.00012988+0.00080291i,-0.00029394+0.00060184i
-0.00093612-0.0013161i,-0.0010038-0.0016499i,-0.0010166-0.0017545i,-0.00079734-0.0016867i,-0.00015972-0.0013125i,-0.00015516-0.00094158i,-0.00020581-0.00018934i,0.00024109+0.00032191i,0.00069588+0.00028686i,0.00078117-0.00014418i,0.00050881+3.1604e-05i,8.6131e-05-0.00065158i,-0.00025406-0.0013847i,-0.00090488-0.0010251i,-0.00039071-0.00075387i,0.00073646-0.00010656i,0.0010584+0.00064054i,0.00030631+0.0010328i,7.6879e-06+0.00027416i,-4.1766e-05-0.00015904i,-0.00057131-0.0001522i,-0.00055989-0.00043632i,0.00055225+0.00016531i
-0.00061476+0.001169i,-0.00055293+0.0017055i,-0.00042818+0.0015722i,-0.00033255+0.0001954i,0.00053163-0.0010279i,-7.0252e-05-0.001387i,-0.0014601-0.00085981i,-0.0011937-0.00054583i,-0.00066904-0.001032i,-0.00034337-0.001073i,0.00052329+0.00023623i,0.00057397+0.0012069i,-0.00074875+0.00092834i,-0.0014293+0.00074687i,-0.00079054+0.0002554i,-9.5216e-06-0.00059069i,0.00016986-0.00067872i,-7.1743e-05+3.6424e-05i,0.00013551+0.00017627i,0.00043881+0.00058555i,0.00023549+0.00083898i,0.00013265+0.00049329i,3.6124e-05+0.00048408i
0.00028384+0.0025401i,0.0022656+0.00078019i,0.0030309+7.554e-05i,0.0022719+0.000244i,0.00046183-0.00055391i,-0.00041347-0.0014926i,-0.00053826-0.001273i,-0.00059122-3.7671e-05i,-1.1279e-05+0.00044045i,0.00097924-0.00051378i,0.00071875-0.00088288i,-9.0968e-05-0.0013122i,-0.00045466-0.00095414i,-0.0011313-0.00099005i,-0.0011642-0.0010417i,-0.00092714-0.00059973i,-0.00050463-0.00065798i,9.8884e-05-0.0003581i,0.00040166-2.979e-05i,8.4165e-05+0.00038638i,-0.00015336+0.00065321i,0.00028463-2.9529e-05i,0.00034533-0.00097848i
