-0.00051432+0.00071713i,-0.00020986+0.00035285i,-0.00046615+7.1819e-07i,-0.00096465-0.00023542i,-0.0015368+0.00023789i,-0.0020118+0.00043877i,-0.0010923+0.0010339i,0.00030034+0.0020171i,0.001663+0.0013971i,0.0019025+0.0001032i,0.0015119-3.6861e-05i,0.00089807-6.6485e-06i,0.00011989-0.00029558i,0.00019277-0.00015561i,0.00054329+0.00046806i,0.00081794+0.001431i,0.00051224+0.0011957i,0.00010399-0.00035737i,0.00046452-0.001179i,0.00034601-0.00098729i,0.0001943+2.0984e-05i,-0.00042835+0.0010659i,-0.00097768+0.00093534i
0.00014687+0.00060122i,-0.00088816-0.00016946i,-0.0014299-0.00012983i,-0.00060771-0.00025113i,4.2152e-05+0.00069205i,9.812e-05+0.00068483i,8.0328e-05-0.00031983i,0.00025937-0.00044086i,0.00083291-0.00023376i,0.001316-0.00050998i,0.00081441-0.0010823i,0.00051767-0.0010849i,0.00069754-0.00076696i,-7.7145e-05-0.00052382i,-0.00013342-0.00021393i,0.00080264-5.259e-05i,0.001072+0.000156i,0.00062475-0.00052674i,0.00079059-0.00078582i,0.00060724-0.00024261i,0.00039925-0.00025356i,0.0006499-0.00021626i,0.00055795-0.00011058i
0.00029703-0.00097202i,0.0014695-0.0014138i,0.0020528-0.0024001i,0.00090094-0.0030613i,6.6412e-05-0.0021101i,-0.00022974-0.000459i,-0.00047508+0.00036104i,-1.1759e-05-6.0119e-05i,-0.00030273-0.00053636i,-0.0015954-5.2714e-05i,-0.0016469+0.00036233i,-2.7421e-05-4.0721e-05i,0.00095785+4.6172e-05i,0.00077427+0.00058322i,0.00083691+0.00028966i,0.00047313-0.00028379i,-0.00017212-0.00042948i,-0.00042284-0.00026491i,-0.00048288+0.00035213i,-0.00026331+0.00052636i,0.00011989+0.0003256i,0.00062344-4.0584e-05i,0.00067105+0.00014238i
0.00099866-0.00098158i,0.0001707-0.0010728i,-0.0017414-0.00076449i,-0.0017026-0.0011026i,-0.00043643-0.0009754i,-5.6805e-05-0.00048916i,-0.00043171-0.00019951i,-0.00088456+9.139e-05i,-0.00076148-9.3815e-05i,-0.0003561-0.00029379i,0.00039698+4.5899e-05i,0.00027438-7.0514e-05i,-0.00014879-0.00027311i,0.00014842+0.00020347i,8.8949e-05+0.00080298i,0.00019733+0.00043158i,0.00034099+0.00019605i,0.0001032+0.00037421i,-0.00013716+0.0001542i,-0.00038187+0.00025223i,-9.1195e-05+0.00023822i,0.0011199+0.00020065i,0.0011521+0.00049526i
-0.00038735-0.0019729i,0.00016107-0.0017354i,-0.00017624-0.0018855i,-0.0010429-0.0012126i,-0.0018542-0.00063829i,-0.001096+0.00013187i,-0.00038447+0.00097426i,-0.00039499+0.0011071i,-0.00042168+0.00024182i,6.1159e-08-0.0011775i,0.00096905-0.0010334i,0.0011569+0.00035795i,0.0010578+4.5613e-05i,0.0013719-0.00089484i,0.00080679-0.00087089i,0.00026305-0.00057533i,-0.00026055-0.00028031i,-0.00041405-0.00014747i,-0.0002925-0.00070657i,-0.00017265-0.00027414i,9.1911e-05-0.00013262i,6.4271e-05-0.00036636i,-0.00024312-0.00021145i
-0.00020597-0.00073229i,-0.0010698-0.0013592i,-0.0012458-0.0015307i,-0.00037633-0.00029726i,0.00014005+0.00058214i,-0.00034278+0.00043796i,0.00018879-3.3988e-05i,0.00062144-0.00019145i,-0.00017979-0.00025693i,-0.00081928-0.0002131i,-0.00024415-4.2055e-05i,0.00022975-0.00045952i,0.00057382-0.0011196i,0.0010541-0.00073015i,0.00039214-0.0008969i,-0.0008399-0.0012025i,-0.0011464-0.0012353i,-0.00094519-0.0011544i,-0.00089294-0.00034742i,-0.00023313-6.4681e-06i,0.00017483-5.1746e-05i,-0.00021782-0.00016402i,-0.00040369+8.4325e-05i
-0.00033336-0.00024995i,0.00052516-0.0011831i,0.0010504-0.0019132i,0.00033468-0.0019971i,-0.00036937-0.00098911i,-0.00052679+0.00014786i,0.00045698-0.00013085i,0.0011207-0.0010972i,0.00087994-0.0018366i,0.00054162-0.0017312i,0.0006966-0.0006118i,0.00054609+4.0455e-05i,2.6396e-05+0.00041925i,-7.8664e-05+0.00016452i,0.00051105-5.076e-06i,0.0012423-0.00010226i,0.00081698-0.00038037i,0.00044216+0.00026318i,0.00039462+0.00078746i,8.9222e-06+0.00047111i,-3.4206e-05-9.6446e-05i,-8.0617e-05+0.00014992i,7.8601e-05+4.7763e-05i
0.0014803+0.00038432i,0.0011081+0.0006689i,0.00076391+0.00069259i,6.3163e-05-0.00023468i,0.00036747-0.0019577i,0.00063291-0.0012441i,-0.00017189+0.00044683i,-0.00041317+0.00036482i,0.00041774-0.00058955i,0.00066223-0.0011609i,0.00017524-0.00046709i,0.00010444+0.00037044i,0.0008779+0.00025245i,0.0010546+0.00028235i,0.00049778+0.00052311i,-6.8782e-05+0.00048482i,-0.00023838+0.0010887i,-0.00013419+0.00094162i,0.0001663+9.8917e-05i,0.00057001+7.8429e-05i,0.00076261+0.00040679i,0.00061822+0.00027473i,0.00054031-0.00027536i
0.0005283+9.4392e-05i,0.00049546-0.00015161i,0.00065005-0.0010275i,0.00062203-0.0021932i,0.00062259-0.0017003i,0.00062942-0.000714i,0.00048302-0.00042558i,0.00021736+0.00017954i,-0.00034198+0.00056754i,-0.00045233+5.1917e-05i,0.00015609+9.6893e-06i,0.00023283+9.6061e-05i,0.00019317-9.8839e-05i,-0.00014851-0.00013334i,-0.00083424+0.00033173i,-0.00095018-0.0001354i,-0.00044614-0.0013199i,0.00024381-0.001535i,0.0001908-0.00081703i,0.00035078+0.00026657i,0.00090513+0.00010195i,0.0012704-0.0001083i,0.00055732+6.6254e-05i
-0.0026352+0.00021853i,-0.001711+0.00085667i,-0.0010834+0.0025305i,-0.00045238+0.0029457i,0.00072976+0.0014614i,0.0017499-0.0004604i,0.00066423-0.00092623i,-0.00063926-7.033e-05i,-0.00034893+0.00027896i,0.00035201+0.00036527i,0.00041857-7.6225e-06i,0.00064559-0.00024895i,0.00111+3.3649e-06i,0.00090784+0.00018712i,0.00035089+0.00032295i,-9.2719e-05+0.00018537i,0.00026641-0.00044844i,0.00030798-0.00075738i,-0.00028294-0.00062118i,-0.00016175-0.00028742i,-0.00018085-0.00019847i,-0.00013558-0.00036483i,0.00052182-0.00047647i
0.00070636-9.2481e-05i,0.0017819+0.00016392i,0.0022471-0.00037362i,0.0021109-0.0011487i,0.001803-0.00096648i,0.0014727-0.00063425i,0.0010724-0.00034752i,0.00048027+4.7026e-05i,0.00047905-0.00049663i,0.0012516-0.0010663i,0.0012411-0.00075701i,0.001165-0.00067899i,0.0010454-0.0013047i,0.00094807-0.0013855i,0.0008393-0.00090632i,0.0010744-0.00012007i,0.00085001+0.00051102i,0.00044158+0.00068422i,0.00068136+0.00062561i,0.0010406+0.00033281i,0.00078266+7.1912e-06i,0.00045577+0.00073122i,-0.0001043+0.0017871i
-0.0011804+0.0015063i,1.5628e-05+0.0011781i,0.00027468+0.0012732i,-0.00018023+0.00079618i,-0.00015528+0.00032012i,0.00045753+7.6208e-05i,0.00054227+0.00025629i,1.8506e-05-9.1078e-05i,-0.00010735-0.00021597i,-0.00011548+9.8078e-05i,6.8519e-06-0.00073366i,0.00067779-0.00080497i,0.00065425-0.00039215i,0.00056617-0.00055516i,0.00051792-0.00021195i,-8.4366e-05+0.0006876i,-0.00059645+0.00049517i,-0.00045037-0.00014276i,0.00054576-6.1224e-05i,0.00064405+0.00069089i,0.00034985+0.00086719i,0.0013101+0.0002909i,0.00091658-0.00027384i
0.00023947-0.0016182i,-0.00098573-0.00025441i,-0.0021581+0.00059906i,-0.0017903+0.00041416i,-1.3088e-05+0.00049609i,0.0014781+0.0004091i,0.00084948+0.00047611i,-3.803e-05+0.00047179i,0.0010844+0.00036629i,0.0016617+0.00048514i,0.00031603+9.8441e-06i,-0.00039771+3.0493e-05i,-0.00036991-0.00038997i,-0.00055864-0.0010523i,-0.00031415-7.8408e-05i,0.00027873+9.2893e-05i,0.00082371-0.0004365i,0.00064421-0.0010407i,-0.00029208-0.0008874i,0.00027298-0.00065856i,0.0012531-0.00077259i,0.0012045+9.7906e-05i,0.0012404+0.00052661i
0.00084327+0.00083966i,0.0010754+0.00051755i,0.0018547+0.00036209i,0.0025948+0.00045912i,0.0021278-0.00066886i,0.00096625-0.0012595i,0.00031062-0.00049585i,7.8421e-05+0.00043362i,4.1135e-05+0.00011816i,0.00049564-0.00023696i,0.00092217+0.00050378i,0.00082307+0.0012169i,0.00062967+0.00074261i,-4.6936e-05+8.6582e-05i,-0.00043228+0.00025889i,-0.00030439-0.00016012i,2.4968e-05-0.00031895i,0.00011135+4.8093e-05i,0.00021941+1.517e-05i,0.00025485-0.00046514i,0.00052817-0.0011216i,0.00032358-0.00059021i,-0.00016124+0.00019136i
0.00059983-0.00035207i,0.0012288+0.00020317i,0.0011706-0.00035965i,0.00083338-0.00066164i,0.00065029-0.00015046i,0.00031529-0.0011789i,-0.00029551-0.0017103i,-0.00061651-0.00073104i,-0.00029204-0.00015321i,-6.4503e-05+0.00047682i,-0.00046265+0.00063052i,-0.0013184+0.00045506i,-0.00084376+0.00040622i,8.8038e-05+0.00036316i,1.4496e-05+0.00040844i,0.00028787+0.00042566i,0.00015636+0.00022541i,-0.00072304+4.7319e-05i,-0.00055175-0.00028587i,-0.00039839+0.00054636i,-0.00038922+0.00076003i,0.0005615+0.00015336i,0.00019192-0.00021106i
-0.00093237+0.00090695i,-0.00073453+0.001187i,-0.0012963+0.0011913i,-0.00064378+0.0010671i,0.00023586+0.0010713i,0.00024094+0.0001783i,0.00042365-0.00034227i,0.0010772-3.7335e-05i,0.00083389-0.00014305i,0.00043995-0.00035655i,0.00084963-0.00075647i,0.00052123-0.00034412i,0.0002408+0.00043832i,0.0011585+0.00040353i,0.0010265+4.0696e-05i,-5.4601e-05+8.4358e-05i,-0.00034093+0.00025434i,-0.00014435+0.00074303i,-1.9482e-05+0.00055195i,2.5228e-05-0.00016548i,0.00095917-0.00023473i,0.0013513+0.00033296i,0.00058752+0.00020672i
0.00069844+0.00049217i,0.0010165+0.00048699i,0.0010792-0.00024806i,0.0012657-5.8481e-05i,0.0011249+0.00073408i,0.00057879+0.00050871i,-0.00018732+0.00061904i,-0.00028131+0.00058391i,6.5199e-05-9.8677e-05i,0.00045769-0.00043524i,0.0014583+5.6149e-05i,0.0015339+0.00024743i,0.00084314+1.2436e-06i,0.00041722+7.112e-07i,-0.00033673+0.00045266i,-0.00016214+0.00051405i,0.00060719+0.00050167i,0.00022765+0.00045471i,-0.00029919+1.754e-06i,0.00012009-1.1745e-05i,0.0002755+0.00030676i,0.00060247-0.00021848i,0.00082548-0.00027599i
-0.00021456-0.00010364i,-0.00097371-0.00036607i,-0.0010716+0.00013942i,-0.00013349+0.00020927i,0.00078511-0.00050108i,0.00056157-0.00092958i,0.00028199-0.0012531i,8.8114e-05-0.0010485i,2.524e-06-0.0011631i,7.3202e-05-0.0012009i,0.00026527-0.00071883i,0.0004708-0.00010117i,0.00070823-0.00027997i,0.0006979-0.00052763i,0.00048876-0.00046087i,0.0002573-0.00053484i,0.00014011-0.00038692i,0.00088997+0.0002916i,0.00089572+0.00036555i,-0.00024901-0.00022094i,-0.0003069-0.00028405i,0.00011446-0.0002359i,0.0011763-0.00053755i
0.0021996+0.00064749i,0.001497+0.00044017i,0.00085258-0.00040725i,0.00054677-0.0016481i,0.00043905-0.0015986i,0.00076144-0.0013971i,0.00059845-0.0016027i,-0.00032556-0.0012664i,-0.00081069-0.00089555i,-0.00036944-0.0010182i,0.00046284-0.0012522i,0.0011047-0.00019836i,0.0013024+0.00070294i,0.0011823+0.00015323i,0.00083944-0.00077378i,0.00036825-0.0013307i,0.00052571-0.0014633i,0.00071732-0.0011326i,0.0005923-0.00117i,0.00051683-0.0016685i,0.00063349-0.0013786i,0.0010413-0.00032806i,0.00050465-0.00017201i
-0.0018203+0.0016119i,-0.0016549+0.0024362i,-0.00067591+0.0025104i,0.00081866+0.0024846i,0.0018503+0.0016645i,0.0020756+0.00037851i,0.0011325+0.00061886i,-0.00011273+0.00071363i,-0.00031582-0.00022256i,-0.00012057-0.00025792i,6.466e-05+0.00043798i,0.00043002+0.00056703i,1.7972e-05-0.0001075i,-0.00077556-0.00075147i,-0.00045947-0.0011703i,-0.00091758-0.0011256i,-0.0011609-0.00050501i,-0.000547-0.00034859i,-0.00023321-0.0004487i,5.5584e-05-0.00028297i,0.00018751-0.00039198i,0.00028314-0.0010481i,0.00049647-0.0011555i
-0.0007569-0.00081714i,-0.00042842+9.8523e-05i,-7.2498e-05+0.00064995i,-0.00060206-6.5214e-05i,-0.00064654-0.0004682i,0.00028248+1.2602e-05i,0.00029193+0.00050869i,0.00032282+0.0006251i,0.00093523+0.0006538i,0.0011151+0.00031197i,0.00082744-0.00019227i,0.00072435-2.9062e-05i,0.00041318+9.8476e-05i,-0.00046194-0.00049714i,-0.00067091-0.0005376i,-0.00035385-0.00030361i,0.00042366-0.00041709i,0.00098314-4.8141e-05i,0.00053279+0.00023892i,-0.0004035+0.00051958i,-0.00086533+0.000492i,-0.0012599+0.00012144i,-0.00048177+0.00015828i
7.7753e-05-0.0019471i,-0.001246-0.0019223i,-0.0015966-0.0022497i,-0.00058695-0.0022992i,-0.00052981-0.0015073i,-0.00068539-0.00029873i,-0.00029764+0.00049696i,0.00011+0.00081823i,-0.00017417+0.00084966i,-0.00018469+0.00024958i,0.00070889+0.00017683i,0.00048683+0.00063259i,2.9579e-05+0.000484i,0.00043414+0.00051766i,0.00063117+0.0002935i,0.00062519-0.00036963i,0.00086027+0.00050775i,0.00061677+0.00098485i,0.0008709+0.00062536i,0.00071046+0.00054051i,0.00034285+0.00093156i,-5.5432e-05+0.00072003i,-0.00018106+0.00094089i
-0.00067834+0.00025093i,-0.00059097+0.00035335i,-0.0011687+0.00061604i,-0.0005408+0.00088042i,0.00058541+0.00035518i,0.00082488+0.00029613i,-0.00022094+0.00031106i,-0.00053437+3.3734e-05i,-0.00051977+0.00021397i,-0.00039559+0.00071123i,9.6835e-05+0.00029778i,0.00013808+5.3271e-06i,0.00053819+0.00019628i,0.00088205+4.0296e-05i,0.00068435+7.5728e-05i,0.00061339+0.00049001i,0.00027154+0.0007958i,-0.00017895+0.00039498i,-0.00058976+1.2533e-05i,-0.00048609+0.00052073i,-0.00010941+0.00041844i,0.00044092-9.8338e-05i,0.00068798-0.00020244i
-0.00033537-0.0005181i,-0.00076037-0.00013768i,-0.0013682-0.00037715i,-0.0010911-0.00095552i,0.00057457+4.0629e-05i,0.00072761+0.0010922i,0.00086344+0.00051728i,0.00075202-0.00038516i,0.00017785-0.00072785i,0.00010815-0.0012803i,-0.00023792-0.00045342i,-0.00067989+0.00065154i,-9.5298e-05+0.00061161i,0.00062858+0.00081813i,0.00011642+0.0010991i,-0.00054137+0.00069506i,-0.00053853+0.00017957i,4.7658e-05+0.00027162i,-0.00037576+0.00031792i,-0.00099845-0.00015265i,-8.81e-05+1.6662e-05i,0.00042681+0.00088911i,-2.0352e-05+0.00075766i
-0.0015294+0.0010077i,-0.00094341+0.00062127i,-0.00015027+0.000806i,0.0004679+0.0011901i,0.00072349+0.00042123i,0.00047097-0.00094903i,0.00043996-0.00051298i,-0.00014308+0.00025419i,-0.00046774-0.00040774i,0.00023886-0.00076884i,0.0013092-0.00039606i,0.0011259+0.00011816i,0.00051641-7.5262e-05i,7.9501e-05-0.00053019i,0.00019049+0.00018641i,0.0004912+0.00070208i,7.585e-05+0.00047996i,0.00010084+0.0002303i,0.00038888-2.5218e-06i,-0.00017689+0.00028586i,-0.00051914+0.00024177i,0.00010498+0.0001792i,0.00079426+0.00065996i
0.000418+0.00011671i,0.00070438-0.00021481i,0.00056289-0.00078233i,-3.1581e-05-0.00048635i,-0.00043581-0.00025415i,-0.00028092-0.0013851i,-0.00016909-0.0013645i,0.00052349-0.00027154i,0.00040139-7.6591e-05i,6.1131e-05-5.0346e-05i,0.00043252+0.00036326i,0.0007941+2.3032e-06i,0.00088699-0.00077674i,0.00039979-0.00066024i,-0.00010665-0.00075724i,-0.00040047-0.00064691i,-0.00019144+7.93e-05i,0.00030949+0.0007343i,-5.3957e-05+1.7365e-06i,-0.00015626-0.00093536i,0.000412-0.00060597i,0.00048345-0.00028812i,-0.0004212-3.0408e-05i
0.0013425+0.00021511i,0.0012497-0.0012698i,0.00079259-0.0024306i,0.0016472-0.0029687i,0.0020231-0.002463i,0.0011694-0.0019399i,0.0003832-0.00125i,5.8099e-05-0.00084926i,0.0005698-0.000371i,0.0011782-0.0004609i,0.00075939-0.0003909i,-3.8008e-05-2.8905e-05i,-4.7849e-05-0.0003905i,8.4985e-05+0.00022909i,-4.6708e-06+0.0007072i,7.53e-05+0.00064954i,-5.9208e-05+0.00068687i,-0.00062973-0.00013758i,-0.00047443-0.0012368i,-0.00021094-0.0012054i,-0.0005827-0.00052134i,-0.00065517-0.00049416i,-0.00067-0.00047028i
0.00078642-0.00012388i,0.00050859-0.00039123i,0.00012421+0.00064648i,-0.00031442+0.0013218i,-0.00042628+0.00040638i,-0.00074034-0.00011653i,-0.00035116+0.000311i,0.0001871+0.00077058i,-2.0975e-06+0.00082299i,9.2651e-05-6.7594e-05i,0.000176-0.00078147i,-7.3814e-05-0.00070524i,0.0005786-0.00049559i,0.0014842-0.00056072i,0.0015149-0.00023441i,0.0006318+0.00067975i,-0.00017893+0.00076017i,-0.00043708+0.00058175i,-0.00011003+1.9603e-05i,-6.9342e-05+0.00018781i,-0.00061667+0.00047425i,-0.00072952+0.00033561i,-0.00063679+0.00050439i
-0.0015992-0.00083596i,-0.00046234+0.00047563i,-0.00040515+0.0011171i,-0.00060963+0.00090325i,0.00025407+0.00090569i,0.0014943+0.00055199i,0.0010518+0.0001303i,0.00022731+0.00027508i,0.00010153+0.00017058i,0.00041015-8.8789e-05i,0.00073446+0.0001465i,0.0011411+0.00084475i,0.001246+8.4665e-05i,0.00088159-0.0011052i,-0.00032903-0.00077492i,-0.00099845-0.00061973i,-0.00099987-0.00069531i,-0.00094095-0.00025947i,-0.00020125-2.9298e-05i,1.3815e-05-0.00026886i,0.00022424+0.00026312i,0.0011673+0.00096797i,0.0012014+0.00083468i
0.00071141-0.00081036i,-0.00087867-0.0010566i,-0.0015937-0.00046785i,-0.0012179-0.00036681i,-0.0011656-0.00071146i,-0.0011665-0.00023422i,-0.00092215+5.9953e-06i,-0.00039908+0.00013037i,-0.0002915+0.00035583i,-0.00028727-0.00029339i,0.00023903-0.0008611i,0.0016024-2.7666e-05i,0.0017119+4.8392e-05i,0.0002695-0.00037597i,0.00046628-0.00032861i,0.0010348-0.00026472i,0.0006323-0.00038661i,0.00084628-0.00051249i,0.00074609-0.00010745i,-0.00027009-0.00031796i,-0.00061107-0.00056964i,-0.00049316-0.00027034i,0.00013792-5.9543e-06i
-0.0016016-0.00042932i,-0.00076744-0.0009741i,-0.0001996-0.0014919i,-0.00059714-0.0012226i,-0.0005971-0.00055229i,-0.00032636-0.00053619i,-0.00057302-0.0009725i,-0.00073249-0.00062687i,-0.00040395+0.0003718i,0.00028247+0.0001347i,0.00075711-2.865e-05i,0.0012855+1.1881e-05i,0.0015664-0.00022306i,0.00037093-3.3531e-07i,-0.00054517-0.00027646i,-0.00022482+0.00017997i,-0.00034605+0.00065865i,-0.00027041+0.00036101i,5.6113e-05+0.00045149i,-2.9189e-05+0.0005425i,-0.00019554+0.00069328i,-0.00039253+0.00031888i,0.00010182-0.00017442i
-0.00085704-0.00046616i,-0.0017282+0.00064753i,-0.0019675+0.00096969i,-0.00097795+0.0018058i,-0.00031352+0.0017486i,-2.5912e-06+0.00068692i,-4.0294e-05+0.00029264i,-0.00016868-0.00034044i,-0.00032994-0.00019234i,0.00022217+7.7143e-05i,0.00085893-0.00013403i,0.000791+0.00068725i,0.00057342+0.001146i,0.00034271+0.0010803i,0.00024643+0.0010853i,-0.00011122+0.00083685i,-0.0002854+0.00063967i,-0.00055261+0.00094906i,-0.00049313+0.0014013i,0.00039673+0.0011563i,0.00057235+0.00076175i,0.00020878+1.5328e-05i,-8.1921e-05-0.00040696i
0.00079329-0.00071455i,0.00055161-0.0011355i,0.00060823-0.0011577i,0.00020771-0.00087895i,-0.00054491-0.0012138i,-0.00044084-0.0013278i,-0.00034914-0.00057069i,-0.00027755-7.9388e-06i,0.00039171-1.142e-05i,0.00056409-0.00016827i,8.0967e-05+0.00015319i,0.00015745-4.7238e-05i,0.00065444-0.00039749i,0.00085758-0.00013613i,0.00052165-7.6531e-05i,0.00048466-0.00049349i,0.00021423-0.00088772i,-0.00038166-0.0003557i,-0.00034449-1.8902e-06i,-0.00026561-1.0817e-05i,0.00026322-0.00072333i,0.00072996-0.0011376i,0.00094071-0.0008492i
