9.1251e-05-0.00151i,0.00037517-0.0026566i,6.0096e-05-0.0035516i,-0.0010518-0.0029631i,-0.0030689-0.0020885i,-0.0036886-0.00034712i,-0.0018558+0.0011254i,0.00037326+0.00071729i,0.0015568-0.00012723i,0.0011265-0.00062625i,-0.00020433-0.00012244i,-0.00091594-0.00013771i,-0.00098211-0.00010267i,-0.00052533+0.00010792i,-0.00031748-0.00049195i,-0.00075279+2.5984e-05i,-0.00050223+0.00050647i,0.00059681-2.6356e-05i,0.00013936+5.3269e-05i,-0.00082396+0.00037872i,-0.00022796-0.00030147i,-0.00040314-0.0014128i,-0.0010364-0.0014638i
-0.0008084-0.00028777i,-0.00022355+0.00010589i,-0.001014-0.00044805i,-0.0013687+8.2024e-05i,-0.0013764+0.0014237i,-0.00084579+0.00082796i,-2.199e-05-0.0005655i,0.00022639-3.0416e-05i,0.00033656+0.00090801i,0.00029503+0.00085963i,0.00094378+0.00030469i,0.0014629+0.00028503i,0.00068434-0.00041231i,-0.00011777-0.00076553i,-0.00079686-0.00039557i,-0.0006332+0.00011492i,0.00022841+0.00038727i,-4.1961e-05-3.0479e-05i,-0.00028001-0.0011553i,0.00042916-0.00077414i,0.00067989+0.00023423i,0.00020268+0.00025131i,4.5454e-05-0.00028667i
0.00060401+8.6132e-05i,0.00064481+0.00081637i,0.0013696+0.0005558i,0.0010341-0.0007444i,-0.00012359-0.0014675i,7.5623e-05-0.00084279i,0.00073038-0.000362i,0.00060547-0.00073242i,0.00032705-0.00086763i,0.00019532-0.00052884i,0.00038837-0.00046115i,0.00040221-0.00035287i,0.00082992+7.7985e-05i,0.00038738+0.00067805i,-0.00074481+0.00062347i,-0.00074927+0.00051832i,-0.0003041-0.00024973i,0.00026319-0.00086124i,0.00072632-0.00050608i,0.0005055+6.3735e-05i,-0.00014907+0.00018685i,-0.00044774-8.4156e-05i,-0.00030873-0.00071343i
-0.001134+0.00045779i,-0.0013216+0.0001778i,-0.00047316-0.00087566i,0.0004675-0.0010707i,0.00033864+1.4094e-05i,-0.00041925+0.00022384i,-0.00060474-0.00043575i,0.00031062-3.2088e-05i,0.00086318+0.00035011i,0.0002884+3.1829e-05i,0.00012027-0.0005161i,-3.7054e-05-1.8847e-05i,-0.00022196+0.00042791i,0.00010126-0.00027145i,0.000566-0.00068135i,0.0011893-0.00026379i,0.0013762-0.0003269i,0.0012478-0.00037465i,0.00063962-0.00029723i,-3.1892e-05-6.8701e-05i,-0.00043105-0.00088152i,-0.00042297-0.0016378i,-0.00015806-0.00057573i
0.0022541+0.0018725i,0.0020246+0.00081081i,0.00185-0.0011828i,0.0017964-0.0024229i,0.00073104-0.0024038i,-0.00090796-0.0019322i,-0.0005341-0.0015385i,0.00060432-0.0016588i,0.00049537-0.00079308i,-0.00060469-1.9204e-05i,-0.00067772-0.00026448i,-0.0004503-0.00019226i,-0.00030244-0.00071981i,-0.00013547-0.0011585i,0.00034631-0.00065555i,0.00077682+5.4603e-05i,0.00097894+0.00049148i,0.0011004+0.00027113i,0.00056384-7.2518e-05i,-0.00044846-0.00023659i,-3.1455e-05-0.00086795i,0.00060324-0.0010807i,0.00050205-0.00055635i
-0.0010689-0.00087356i,-0.00072646-0.00097488i,-0.00058793-2.5383e-05i,8.6391e-05+0.0001121i,0.00026345-0.00013133i,0.00026445-0.00078641i,0.00018265-0.0013899i,0.00058379-0.00090877i,0.00054882-0.00067952i,0.00016191-0.00069859i,0.00051494-0.00065458i,0.00015925-0.00039905i,-0.00020044-0.00058186i,0.00094285-0.00046533i,0.0011932-0.00036379i,0.00072616-0.00030205i,0.0011086-1.2621e-05i,0.0013964+0.00023268i,0.00048545+0.00062607i,-0.00040953+0.00093989i,-0.00043392+0.00068055i,-0.00081099+0.00056745i,-0.00063064+0.00014896i
-0.00048811-0.00070064i,-0.00012657+0.00014833i,0.00017889-0.00013757i,-8.3696e-05-0.00062998i,-0.00065779+0.00027162i,-0.0007572+0.001577i,0.00014562+0.00057047i,0.00092103+5.5243e-05i,0.00012023+0.00045518i,-0.00017243+6.3911e-05i,0.001056-0.00048669i,0.0014775-6.1148e-05i,0.00025536+8.3084e-05i,-0.00059122-0.00040989i,0.00065655-0.00019407i,0.0010797-7.3636e-05i,0.00037323+5.9214e-05i,0.0002441+0.00092219i,2.8893e-05+0.00097068i,-0.00039684+0.00037347i,-0.0001192-9.2574e-05i,0.00075861-0.00086001i,0.00066511-0.00084359i
-0.00045659-0.00040417i,-0.00014109-0.00076164i,2.2515e-05-0.00054462i,-0.00020958-0.00012222i,-0.00059895+0.00037433i,4.4391e-06-5.9304e-05i,0.0010117-0.00039925i,0.00054889-0.00025116i,-4.1106e-05-0.00024815i,0.00013048-0.00012986i,0.0003546-0.00067295i,0.00026351-0.00062589i,-0.00010199-0.00019269i,0.00014005+3.8979e-06i,0.00041805-0.00024994i,0.00058649-0.0001772i,0.00096634+0.00035989i,0.0011777+0.00042064i,0.00071159-0.00010236i,0.00054024-3.2843e-05i,0.00033932+0.00055606i,-0.0006171+0.00038099i,-0.00092702-9.7952e-05i
-0.00031515+4.7974e-05i,-0.00082638+0.00078617i,-0.0015888+0.00070529i,-0.00090946+0.00025318i,-0.00038303-0.00013269i,-8.9033e-05-0.0010589i,9.8328e-05-0.0014372i,-2.1989e-05-0.00029188i,-4.5631e-05+0.00031136i,-2.2077e-05+0.00023347i,0.00027562+0.00045145i,0.00083001+0.00049973i,0.00033225+0.00038835i,-0.00034532+0.00023409i,7.7252e-05-0.00024649i,0.00052709-0.0010497i,0.00037172-0.00052978i,-0.00069032+0.00020156i,-0.0008198+0.00034387i,-0.00023661+0.00021505i,-0.00021663-0.0006904i,-0.00030855-0.0018349i,-0.00030585-0.0017837i
-0.00030489-0.00076725i,-0.00072107-0.00081743i,-0.00039938-0.0010964i,0.00029034-0.0007726i,-0.00018175+0.00092166i,-0.00060269+0.0017448i,-0.00075084+0.0011326i,-0.0005647+9.1671e-05i,-8.1784e-05-0.00019801i,0.00026625+0.00036863i,0.00030828+0.00084873i,9.7321e-05+0.0006084i,0.00012877+0.0003126i,0.00026958+0.00017057i,0.0003909-0.00010188i,0.00064327-0.00022104i,0.00048911-0.00052718i,-0.00045243-0.0007161i,-0.00084071-0.00078341i,-0.00042022-0.001057i,1.2585e-05-0.0010063i,9.9165e-05-0.00048149i,7.9848e-05+0.00037856i
0.00041197-0.0007002i,0.00051421+8.0542e-05i,-0.00067083-0.00021945i,-0.002004-0.00056464i,-0.0018167-0.00013054i,-0.0013115-1.0009e-05i,-0.00087828-0.00055721i,-0.00075078-0.0006569i,-4.9975e-05-0.00018999i,0.00056862+0.00022395i,0.00021554+0.00049007i,-0.00014323-9.7438e-05i,0.00028552+4.8338e-05i,0.00074372-7.6201e-05i,0.00088973-0.00046892i,0.00025107-0.00010274i,-0.00060861-0.00060549i,0.00062624-0.00055106i,0.001121+0.00038073i,0.00095938-0.00019812i,0.0004443-0.00075578i,-0.00083528+0.0001041i,-0.00078068-0.00011524i
0.00040644+0.0001269i,0.00025427+0.0010697i,-0.0001206+0.00050407i,-0.00074914-0.0010331i,-0.0011562-0.0012212i,-0.00055531-0.0009711i,-0.00066719-0.0004452i,-0.001075+0.0001359i,-0.00073051+0.00015109i,-0.00020313+0.00050853i,-0.00018927+0.0011645i,-0.00037284+0.00037439i,-0.00010873-0.00070456i,-0.00038365-0.0010987i,0.00017806-0.0010248i,0.00013502-0.00063565i,-0.0001172-0.00097337i,0.00050151-0.0010027i,0.00053367-0.00015175i,3.5726e-05+0.00073288i,-0.00033224+0.00092581i,-8.5131e-06+0.00015573i,0.000415+0.0003718i
-0.00015212-0.00030837i,-0.00038812-0.001094i,-0.00072089-0.0010601i,-0.0011075-0.00087992i,-0.00049962-0.0010658i,-0.00043515-0.0013358i,-0.00047464-0.001137i,-0.00039403-0.00080631i,-0.00058115-0.00073361i,-0.00020247-0.00032194i,0.00016422+0.00022492i,0.00091055+0.00013398i,0.0012165+0.00064839i,0.00087201+0.00022908i,0.00048477-0.0003948i,-2.085e-05+0.00031232i,-0.00073301+0.00079985i,-0.00091083+0.00021817i,-0.00051373-0.00039827i,3.729e-05-1.8468e-05i,-0.00027191+0.00053486i,-0.0012386+0.00070308i,-0.0010542+0.0004848i
-0.00018406-0.0024805i,0.0002454-0.00048166i,-0.00042205-0.00049054i,-0.001226-0.00083612i,-0.0012931-0.00031281i,-0.00095682+0.00062492i,-0.00065221+0.00066627i,-0.00059231-0.00011311i,-0.00090746-0.0005907i,-0.00059217-0.00061616i,0.00014495+0.00010636i,0.0006235+0.00069453i,0.00029921+0.0011147i,0.00014869+0.00079352i,0.00042543-3.2297e-05i,8.4896e-05+0.00035529i,-0.00025437+0.0012307i,-0.00016566+0.00074161i,-0.00060048-0.00032477i,-0.001037+1.0069e-05i,-0.00053041+0.00010053i,-0.00058623-0.00012628i,-0.00073297+8.3532e-05i
0.0020834-0.00088341i,0.0017272-0.00084043i,0.0013939-0.0011318i,0.00083332-0.0010688i,0.00015443-0.0012841i,0.00021319-0.0015974i,0.00062324-0.00048527i,0.00094837+0.001322i,0.00095866+0.00088057i,9.5702e-05-0.0003493i,-0.00075709-0.0010972i,-0.00046036-0.0013951i,-0.00039782-0.00025666i,-0.0007745+0.00014842i,-0.00057771-0.00031457i,-0.00012997-5.252e-05i,0.0002494-0.00043125i,0.00058489-0.00025349i,0.00038071+0.0005933i,-1.4986e-05-0.00010544i,-0.00063192-0.00098774i,-0.00065821-0.00090035i,0.00074139-0.00044721i
2.3147e-05-0.0001806i,0.00010205+0.00031064i,0.00070778-0.00044157i,0.00012986-0.0012509i,-0.0015164-0.0016012i,-0.0019529-0.00059964i,-0.00094029+0.00031696i,0.00032473-0.00014358i,0.00040626-0.00080972i,-8.1661e-05-0.00059867i,-1.1639e-05-0.00078784i,0.00032053-0.000579i,0.00065661+0.00044253i,-0.00038189+0.00031872i,-0.00083584+8.3198e-05i,0.00056154-0.00029623i,0.0016426-0.00015275i,0.00074492+0.00061409i,0.00021039+0.00046417i,0.00075933-0.00030182i,0.00048019-0.00023175i,-0.00048089-3.5753e-05i,-0.0003278-6.1592e-05i
-0.00031731-0.00020944i,-0.00029393-0.00090574i,-0.0003769-0.00091668i,0.00016032-0.00067183i,0.0011377-0.00028552i,0.00032144+0.00044367i,-0.00028298+0.00056512i,-0.00026166+0.00021514i,-0.00034762+0.00044603i,3.6446e-05+0.00075347i,0.0002451+0.00055695i,0.00017934+0.00013969i,0.00035966+0.00033979i,0.00017178+0.00059253i,0.00029165+0.00060294i,0.0003559+0.00058869i,-0.00036891+0.00042402i,-0.00094862+0.00066422i,-0.00041109+0.00022764i,0.00030703-0.0001453i,0.00044146-0.0003845i,-2.2238e-05-0.0011633i,-0.00010484-0.0012467i
-0.00022826-0.00072224i,-8.7978e-05+0.00013803i,0.00010875-4.7607e-05i,-0.00032159-0.0007903i,0.00019993-0.00064237i,0.00025232-0.00051512i,-0.00097713-0.00080309i,-0.00072765-0.00078947i,0.00037304-0.001275i,0.00056104-0.0016498i,0.00030663-0.00097086i,0.00057979-0.00037311i,0.00023117-6.5427e-05i,-0.00052053-9.8909e-06i,-0.0010447+0.00027845i,-0.00090887+0.00014556i,-6.0853e-06-0.00041348i,0.00023464-0.00061285i,5.068e-05+1.2198e-05i,0.00022621+0.00030676i,0.00041185-0.00056363i,0.00038779-0.00054177i,0.00092011+0.00044614i
-0.00018232+0.00066703i,0.00015301+0.0012191i,0.00056614+0.001016i,0.0014705+4.7052e-05i,0.00076845-0.0014068i,-0.0003711-0.0018769i,-0.00077225-0.00090875i,-0.00081844-0.00022569i,-0.00085044+0.00022046i,-0.00070333+0.00041396i,0.0007449-0.0003062i,0.0018974-0.0010097i,0.00062118-0.0010516i,-0.000197-0.00024388i,0.0005293+0.00067405i,0.00089802+0.00072148i,0.00062247-8.8208e-06i,0.00058694-0.00054453i,0.00079677-0.0006954i,0.0005627-0.00034677i,-1.8703e-05-0.00025906i,-0.00069489-0.0004563i,-0.0010114-5.2378e-05i
-0.0014689+0.0012605i,-0.00039439+0.00030995i,-0.00043981-0.00052279i,-0.00069905-0.0011413i,-0.00019374-0.00091663i,0.00056427-0.00085177i,0.0010903-0.0011588i,0.00088587-0.0013446i,2.4507e-05-0.0015323i,-0.00097439-0.00060498i,-0.00072196+0.00023312i,0.00065942-0.00031805i,0.0012133-0.00065911i,0.00070534-0.00010602i,0.00045265+0.00048322i,0.00065709+0.0012966i,0.00074724+0.0011568i,0.00062743+0.00042804i,-8.4004e-06+2.9771e-05i,-0.00014048+4.3784e-06i,0.00036223+5.3979e-05i,0.0001755+0.00064972i,6.4695e-05+0.00069705i
-0.00061166-0.0010795i,-0.0015751-0.00071258i,-0.00079183-0.00067536i,0.00036341-0.00064794i,0.00033596-0.00078593i,-4.6268e-05-0.00039735i,-0.00055707+0.00025311i,-0.0010952-0.00010431i,-0.00086764+8.3176e-06i,-0.00094511+0.00020194i,-0.00021404+0.0004522i,0.00028665+0.0010526i,-0.0003224+0.00078909i,-0.00026815+3.6721e-05i,0.0001874+1.968e-05i,-0.00046038+0.00047653i,-0.00028761+0.00028047i,0.00037576+0.00016825i,0.00025503+0.0002562i,0.0003448-1.9733e-05i,-0.00038428-2.897e-05i,-0.0012445+9.5214e-05i,-0.0012625-0.0001822i
0.0016616+0.00051417i,0.0023778+0.00055447i,0.0025126-0.00014332i,0.00080787-0.001474i,-0.00094612-0.0019871i,-0.0013451-0.0014756i,-0.00077604-0.00079946i,-0.00053345+8.2068e-05i,-0.00078594-1.2658e-05i,-0.00061242-0.00040755i,-0.00026787-0.00023244i,9.8201e-05+0.00037335i,8.8201e-05+0.00094523i,9.3447e-05+0.00017333i,0.00038013-0.00066342i,0.0001649-0.00023947i,-3.9511e-05-5.7882e-05i,-0.00018866-9.5291e-05i,-0.00017523+0.00013152i,-4.2918e-05+5.613e-05i,-0.00011607-0.00059289i,-0.00079415-0.000804i,-0.00076625-0.00062644i
0.00068866-0.0011362i,-0.00018326-0.0011438i,0.0002884-0.0018275i,-4.4314e-05-0.0026178i,-0.001005-0.0024629i,-0.0011123-0.0013821i,0.00012992-0.00053273i,0.00052339-0.00053249i,0.00021969-0.00067945i,0.00078405-0.00033864i,0.00052144+0.00025252i,-7.5984e-05+0.00029487i,0.00014235+0.00025451i,0.0001938+0.00048992i,-0.00042244+0.00070579i,-0.00027627+0.00071325i,-0.00018786-0.0002504i,-0.00041885-0.0013049i,-0.00019462-0.0011546i,-9.8808e-05-0.00086193i,-6.612e-05-0.00068887i,0.00040998-9.9074e-05i,0.0008666-9.5982e-05i
0.0006751+0.00062696i,0.0023114-0.00081486i,0.0023191-2.1612e-05i,0.00081195+0.00038616i,-0.00010194-0.00065729i,-0.00052104-0.0012555i,-3.2895e-05-0.0011657i,0.00021035-0.0015382i,-0.00029873-0.0017272i,-0.00053449-0.00062048i,-0.00041863+0.00018388i,0.00042976+0.00039586i,0.00034183-0.00017726i,-0.00032815-0.0011132i,1.8156e-05-0.0011651i,5.8694e-05-0.00047959i,-0.0008268+2.5634e-05i,-0.00078389+0.00042434i,-0.00055475+0.0010112i,-0.00057015+0.00094773i,-0.000393+0.0010027i,-0.00069005+0.00047454i,-0.0001451-0.00013098i
0.00059359-0.0010025i,0.0011792-0.0009153i,0.0013252-0.001068i,0.00022032-0.0011443i,-0.0014891-0.0011496i,-0.0012215-0.0010057i,-0.00068979-0.0004295i,-0.0006092-0.0005223i,0.00017705-0.0010007i,0.00075946-0.00069972i,0.0010539-0.00063222i,0.00092912-0.00029235i,0.00026172+7.8526e-05i,-9.7365e-05-0.00046157i,-0.0001697-0.00023536i,-0.00066065-8.666e-05i,-0.00060472-0.00096697i,0.00010375-0.0013766i,0.0004206-0.00090668i,0.00061974-0.00057723i,-9.6375e-05-0.00044186i,-0.00079459+1.0732e-05i,-0.0011734+0.00038028i
-0.0016121+0.0018947i,-0.0012102+0.00049629i,-0.00027006-0.00035294i,0.00032883-0.00039289i,-0.00025516-0.00053776i,-0.00027683-0.0010978i,0.00037237-0.0017949i,-4.679e-05-0.001958i,-0.00053831-0.00064409i,-0.00022847-1.4504e-05i,-0.00012241-5.3358e-05i,-0.00022109+0.00019603i,-0.00023291-0.00041783i,0.00017088-0.00032463i,0.0010091+0.00041955i,0.0013083+0.00012238i,0.00079708+0.00015346i,0.00048046+0.00041787i,8.5472e-05+0.00027673i,1.1259e-06+0.00044435i,0.00015587+0.00040286i,6.1431e-05+0.0003334i,-0.00013295+0.00025897i
-0.0010874-0.0009624i,-0.0015165-0.00012548i,-0.001774+0.00048779i,-0.0010064+0.00047201i,-0.0002539-0.00025841i,-0.00076718-0.00063599i,-0.00062485-0.00071966i,-0.00012904-0.00065392i,-1.2273e-05-0.00034316i,-9.6969e-05-2.6241e-05i,-0.0003108+0.00056295i,0.00024462+0.00097877i,0.0006097+0.0010004i,0.00089951+0.00053058i,0.0012949+8.5238e-07i,0.00064722-0.00016491i,-9.3849e-05+9.7532e-05i,7.0505e-05-5.1865e-06i,0.00051194-0.00016219i,0.00096089-0.00045129i,0.0010015-0.0006967i,0.0011141-0.00092883i,0.00098372-0.00069052i
0.00076317-0.00089502i,0.0011698-0.00099459i,0.0004141-0.0018302i,-0.00058187-0.0020738i,-0.0013223-0.00057065i,-0.0016401-0.00060026i,-0.00044272-0.0014443i,0.00072935-0.0011158i,0.0010187-0.0007251i,0.00032683-0.00060976i,-0.00035687-9.4553e-05i,-0.00018164+3.8181e-06i,0.00013248+0.00034014i,-0.00028813+0.0003683i,-0.0008293-0.00013358i,-0.00044735-0.00059224i,-0.00029089-0.00052205i,-0.00078604-0.00028827i,-0.00056934-0.00046299i,9.1388e-06-0.00022625i,-0.00021492+1.6394e-05i,-0.00055605+0.00017802i,-4.7411e-05+0.00034296i
0.0013284+0.0010795i,0.00097354-0.00038698i,0.0012105-0.00095576i,0.00029402-0.00083511i,-0.00089448-0.0010074i,-0.0015195-0.00036347i,-0.00096494+1.2993e-05i,-0.00039792-0.00059686i,-0.00078458-0.00036638i,-0.0010539-0.00011557i,-0.0011039-0.00049899i,-0.00061457+0.0003046i,-0.00037525+0.00052225i,-0.00045547-0.00032993i,-0.00067407-0.00041543i,-0.00075968+0.00030455i,-0.00015581+0.00025455i,0.00043022-3.5461e-05i,0.00011016+0.00026909i,0.00049276+2.0418e-05i,0.00061097-0.00020233i,-0.00022532-1.3736e-05i,-0.00013164+2.2868e-05i
0.0012413+0.0016268i,0.00080351+0.0013836i,0.00063654+0.00020497i,0.00093696-0.0015187i,0.0010768-0.0012147i,0.0002228-0.00030505i,0.00090022-0.00034579i,0.0015545-0.0011603i,0.00068028-0.0011209i,-0.00060692-0.0003796i,-0.00070473+5.78e-05i,0.00023541-0.00043716i,0.00034365-0.00070112i,-0.00014484-7.0327e-05i,-0.00010147+6.3444e-05i,0.00038711+0.00011328i,0.00032155+0.0008791i,0.00041906+0.00048052i,-2.6629e-05-0.00051242i,-0.00062068-6.4598e-05i,-0.00038389-2.9671e-05i,-7.6797e-05-0.00018556i,-0.0005697+0.00033399i
0.0012589+0.0005523i,0.001014-7.0273e-05i,0.00085436-0.00081671i,0.00039979-0.0025102i,0.00021758-0.0018038i,-4.0517e-05-0.00063101i,-0.00030746-0.00033144i,6.0501e-05+5.672e-05i,0.00058554+6.394e-05i,0.00042433-0.0002793i,-0.00015046-0.00016627i,-0.00049336+0.0003637i,-0.00044752+0.00074324i,-0.00014539+0.00072201i,-0.00030073+2.407e-05i,-0.00061761-0.00068858i,-0.00077178-0.00066336i,-0.00048948-0.00078004i,2.9643e-06-0.00092298i,0.00022896-3.3093e-05i,-0.00019665+0.00023728i,-0.00044542+5.1597e-05i,-0.00053543-0.00016245i
