-0.00091819+0.00010433i,-0.0013524-0.00056322i,-0.0015608-0.0014611i,-0.0019954-0.0013147i,-0.0029962+0.00020345i,-0.0033928+0.0018471i,-0.0012351+0.0026226i,0.0010142+0.0016103i,0.00091454+0.00025366i,0.0001884-0.00024688i,-7.0222e-05-0.00039629i,-4.2857e-05-0.0009933i,-3.3709e-05-0.0011276i,-0.00041574-0.00052424i,-0.00061664+0.00023993i,-0.00033904-5.0105e-05i,-0.00021574-0.00019007i,-0.00041177+0.00013618i,-0.00058781+0.00027446i,-0.00035685+0.00031342i,-6.2126e-05+0.00014215i,0.00024743+0.00028383i,0.00066136+0.00043828i
-0.000821+0.00051137i,-0.00067724+0.00066714i,-0.00037271+0.0010608i,5.0001e-05+0.0012042i,0.00029312+0.00088207i,0.00070513+0.00085856i,0.0004014+0.001253i,-7.9198e-05+4.5395e-05i,-1.5551e-05-0.0015821i,-0.00015898-0.0018177i,-0.0004756-0.00061647i,-0.00031356+0.00018612i,0.00013053+0.00045505i,-0.00051166+0.00021216i,-0.00068612+8.0085e-05i,-0.000179+0.00040896i,-0.00017538+0.0010211i,-0.00013738+0.0013085i,-0.00036758+0.0014863i,-0.00030505+0.0015623i,0.00048317+0.00065003i,0.00044911-0.0003264i,0.00022255-0.00022512i
-6.7496e-05+0.00089483i,-0.00093268+0.0018388i,-0.00094191+0.0020635i,-9.4639e-05+0.0019784i,0.00058098+0.0012871i,0.00065335+0.0002413i,0.00058018+0.00011203i,-6.5607e-05+0.00016917i,-0.0012694-0.00050383i,-0.0014359-0.0007338i,-0.0010571-0.00024861i,-0.00066342-0.00032112i,-0.00014891-0.00096836i,0.00039824-0.00086058i,0.00030652+9.4546e-07i,2.9054e-05+0.00051539i,-0.00021412+0.00077879i,-0.0012811+0.00098369i,-0.0016117+0.00061068i,-0.00057891+0.00088251i,-1.2922e-05+0.0013766i,-0.00040352+0.00070219i,-4.2235e-06+0.00026602i
-3.4436e-05-0.00037006i,0.00092939-0.00026616i,-0.00010188-0.00047554i,-0.00045632-0.00024353i,3.8247e-05+0.00038619i,-3.144e-05+0.00014003i,-0.00054715-9.5323e-05i,-0.00083776-0.00018536i,-0.00078153-0.00068052i,-0.001272-0.0012956i,-0.0011496-0.00053909i,-0.00032993+0.00031332i,3.9063e-05-3.6086e-05i,-6.2594e-05+0.00092995i,-8.2331e-05+0.001476i,-0.00030733+0.0011361i,-0.00068534+0.0007553i,-0.00089277+0.00022321i,-0.00075506-9.5707e-05i,-0.00038026-0.00030112i,-0.00024264-0.00025751i,-0.00058178+0.00017723i,-0.0010449+0.00035672i
0.0039136+0.00031335i,0.0034137+0.00042803i,0.0035514-0.00039274i,0.0017303-0.0008086i,-0.00018517-0.0010138i,-0.00072428-0.00052679i,-0.00048998+1.9145e-05i,-0.00046399-0.00051479i,-0.00065882-0.0014859i,-0.0007953-0.0020183i,-0.00091687-0.0019536i,-0.00096162-0.0012418i,-0.00042776-0.00068935i,0.00034372-0.00035284i,0.00030026-4.825e-05i,-0.00022513+0.00037548i,-0.00082141+0.00069088i,-0.00083717+0.00090546i,-0.00083973+0.00062667i,-0.00088536+0.00065797i,-0.00019298+0.00014583i,0.0013674-0.00055581i,0.0016029-0.00054091i
0.00040362-0.0027356i,0.00033384-0.0023018i,0.00050832-0.0022762i,0.00016672-0.0023321i,0.00037243-0.0013327i,-0.00016933+0.00025713i,-0.00029917+0.00054887i,-9.0973e-05-0.00071975i,-0.00056622-0.0016006i,-0.0012003-0.0013959i,-0.0019364-0.00068566i,-0.0017589-0.00045792i,-0.0011486+7.3272e-05i,7.2115e-05+0.00080163i,0.0010839+0.00076567i,0.00021549+0.00047463i,-0.00089651+1.7967e-05i,-0.0010607+0.00028107i,-0.00056073+0.00097375i,0.00042739+0.00063994i,0.0008791+0.00031993i,0.00051827+0.00088512i,0.0012204+0.00079919i
0.001561+0.00015945i,0.0012023+0.0001858i,0.00031065-0.00082014i,-0.00032022-0.0010487i,-0.00043717-2.473e-05i,-0.00041256+0.00096223i,-0.00031699+0.00080178i,-0.00081341-0.00019976i,-0.00088062-0.0011193i,-0.00051255-0.0018581i,-0.0011693-0.001263i,-0.0019032-0.00056551i,-0.0013838+4.0519e-05i,-0.00072422+0.00061742i,-1.334e-05+0.00049551i,9.3821e-05+0.00076541i,-0.00065921+0.00096698i,-0.00070355+0.0012663i,-0.00056235+0.0012004i,-0.00062362+0.00047213i,2.73e-05-0.0004699i,0.00095852-0.0004261i,0.00046174-0.00011521i
-0.0033058+0.00055217i,-0.0023531+0.0012667i,-0.0022516+0.002006i,-0.0010035+0.0022127i,0.00010232+0.0024275i,0.00084923+0.0013628i,0.0010162+8.4064e-05i,-2.5066e-05-0.00039802i,-0.0011039-4.2152e-05i,-0.0012472-0.00037397i,-0.00099165-0.00097742i,-0.00075464-0.00098963i,-0.00022339-0.0012515i,0.00024428-0.00077897i,0.00035206-0.00027489i,0.00013909-5.2215e-05i,-0.00014924+0.00056354i,-0.00076782+0.0009151i,-0.0010438+0.00038639i,-0.00039175+0.00056789i,5.0573e-05+0.00042287i,0.00019416-0.00032476i,0.00079213+0.00010345i
0.0010099+0.00034103i,-1.691e-05+0.0004554i,5.6257e-05+0.00026422i,0.00080663-2.686e-05i,0.00088007-4.4306e-05i,0.0011109+0.00015995i,0.0020325+7.5548e-05i,0.0013869-0.00010741i,0.00044776-0.0006878i,-0.00021346-0.0015601i,-0.0010049-0.0017717i,-0.0010168-0.0011121i,-0.00045536-6.1919e-05i,-0.0005724+0.00058984i,-0.00032721+0.0010744i,-2.2194e-05+0.0015031i,-0.00038641+0.00090909i,-0.00054966+0.00064493i,-0.00059349+0.0015582i,-8.2821e-05+0.001002i,-0.00026586+5.4595e-05i,-3.0372e-05-0.00015936i,0.0011067+0.00021778i
-8.4404e-05-0.00029429i,-0.00014371-0.00025341i,0.00060835-0.00057564i,0.00090494-0.00047712i,0.00030986-0.00071888i,-0.00013601-9.8635e-05i,0.00015939+8.301e-05i,0.00018009-0.00037446i,-0.00091687-0.00072657i,-0.0014466-0.0010353i,-0.0013011-1.5124e-05i,-0.0010657+0.00065683i,6.1017e-05+0.00040948i,0.00071525+0.00046891i,0.00036446+0.00082688i,0.00041032+0.00084068i,5.7741e-05+0.00038119i,-0.00061969+0.0005662i,-0.0004009+0.00034783i,-0.00029913+9.9891e-05i,-0.00031106+0.00034531i,0.00011256-2.5822e-06i,0.0001829-0.00017202i
-0.00021803-0.00066386i,-0.0003056+0.00011709i,-0.00026723-0.0005888i,-0.00017214-0.00017831i,-0.0011004+0.00066542i,-0.0013807+0.001213i,-0.00071618+0.00067429i,-0.00030137-0.00016939i,-0.00050339-0.00072359i,-0.00057774-0.00098527i,-0.0010993-0.0012205i,-0.00065059-0.0011051i,6.0514e-05-0.00039053i,-0.000632+0.00051636i,-0.0010398+0.00052201i,-0.00010263+0.00014709i,0.00020559-2.0936e-05i,-0.0006543-0.00032577i,-0.00066201+0.00025662i,0.00021643+6.6008e-05i,0.00058497-0.00023267i,0.00041549-0.00032484i,0.00091442-0.0010927i
0.00013435+0.001575i,0.00093574+0.0017356i,0.0018459+0.00092862i,0.0020748+0.00057498i,0.0019296+0.00034552i,0.00097788-8.2324e-05i,0.00031043-0.0005844i,-0.0002357-0.0011382i,-0.00017757-0.0015333i,-0.00019166-0.001617i,-0.00022716-0.0011026i,-0.00018488-0.00026903i,-0.00035053+0.00015643i,-0.0005169+0.00040122i,-7.0185e-05+0.00074249i,-0.00012191+0.00064685i,-0.00080453+0.00091478i,-0.00050401+0.0010874i,-0.00048345+0.00039252i,-0.00027657-0.00021706i,0.00021394-0.00012517i,9.6711e-05-0.00011324i,0.00026333+0.00015752i
0.002452-0.00014809i,0.001737-0.00028789i,0.00023806-0.00060968i,-0.00084193-0.00062425i,-0.00073244-0.00082749i,-0.0007939-0.00040005i,-0.00047966+7.8074e-05i,-5.3806e-05+0.00035843i,-0.00024128-5.0458e-05i,-0.00025604-0.0011808i,-0.00021401-0.00055816i,-0.00063106+0.00055272i,-0.00081861+0.00056122i,-6.4173e-05+0.00079704i,0.00094949+0.00066523i,0.00099178+0.00070933i,0.00021524+0.00089138i,-0.00028835+0.00061401i,0.00013698+0.00092052i,0.0006452+0.00075955i,0.00089449+1.9308e-05i,0.00048243-0.00027493i,-0.00076096+0.00021436i
-9.2433e-05-0.00017358i,-0.00018607-0.00065073i,-0.00065927-0.0012959i,-8.1294e-05-0.001367i,0.00042105-3.0686e-05i,-0.00034653+0.0010732i,-0.00039199+0.00069197i,-0.00060795-4.2423e-05i,-0.0018717-0.0013742i,-0.0023912-0.0017461i,-0.0012307-0.0010584i,-0.00049735-0.0007704i,-0.00078114-0.00054801i,-0.00049053-0.00040662i,0.00035415+0.00051779i,0.00041798+0.00079956i,-0.00068509+0.00076349i,-0.0010581+0.0013163i,-0.0010333+0.001103i,-0.000504+0.00068052i,-0.00023797+0.00034338i,-0.0011071-0.00059741i,-0.0011069-0.0010911i
