0.00029174-0.0013055i,0.00048395-0.0013905i,-0.00043651-0.00021419i,-0.00053448+0.00027111i,7.9341e-05+0.00015996i,-0.00027262-0.00070924i,-0.00079411-0.0014751i,-0.0006454-0.00081691i,0.00068685+0.00027528i,0.0015986-0.00019761i,0.00064891-0.0008164i,-0.00057368-0.00039943i,-0.00036035-0.00027143i,-0.00039129-4.3854e-05i,-0.0010237+0.00050689i,-0.001121+0.00040113i,-0.00050928+0.00065264i,-0.0002902+0.00049603i,-0.00055534-0.0002066i,-0.00040898+4.4134e-05i,0.00010807+2.0664e-05i,-0.00028817-0.00016526i,-0.0008627+0.00013117i
-0.0012632-0.0004553i,0.00015289+0.00017855i,0.0019485+0.00090249i,0.0027427+0.0015417i,0.0023787+0.0010731i,0.0015535-0.00065409i,0.00010555-0.0011839i,-0.00085468-0.0007927i,-0.00087565-5.6662e-05i,-0.00042599+0.00037944i,-0.00014513-0.00014284i,-0.00041407-0.00011758i,-0.00064628-0.00018639i,-0.00076358-0.00086424i,-0.00055349-0.0010346i,0.0008789-0.00062178i,0.0013983+5.9396e-05i,0.00045418+6.7376e-05i,0.00037195-0.00050371i,0.00038193-0.00043622i,-0.00017319-5.3414e-05i,0.00011289+3.3036e-05i,0.00064059-0.000151i
-0.0010089+0.0016027i,-0.00023478+0.0018016i,0.0011433+0.0024932i,0.0014887+0.00086086i,0.0012155-0.0012774i,0.0006084-0.0019693i,-0.0011223-0.0015047i,-0.0025181-1.4974e-05i,-0.0014402+0.0015806i,0.00014597+0.0012891i,0.00063368+0.00028822i,0.00095532+0.00023048i,0.00074941-9.1365e-05i,0.00011479+0.00019727i,-0.0003555+0.00087029i,-0.00063818+0.00049456i,-0.00071084-0.00020205i,-8.9968e-05-0.00032638i,0.00047201-0.00051914i,9.0345e-05-0.00034145i,-0.00034975+0.00017361i,-0.00068235+0.0005028i,-0.0013142+0.00027397i
0.00040618+0.00018794i,2.4444e-05+0.0012093i,0.00058659+0.0012923i,0.00088175+0.00071404i,0.00056043+0.00080913i,6.5275e-05+0.00035363i,-0.00041756-0.0011035i,-0.0010474-0.00063734i,-0.0010969+0.0012211i,-6.3773e-05+0.0018075i,0.00025097+0.001193i,-0.0002271+0.00015328i,-0.00012713+0.00027529i,9.8627e-06+0.00040668i,-0.00089276+0.00059724i,-0.00078561+0.0012522i,0.00019472+0.00050599i,0.00036552+4.0135e-05i,0.00046911+0.00034106i,0.00076582-2.4467e-05i,0.00085376-0.0004185i,0.00076075-7.5943e-05i,0.00023943+0.00055919i
0.00096062-0.00040153i,0.0012369+0.00070054i,0.00080207+0.0013891i,1.7294e-06+0.0015989i,-0.00060324+0.0013759i,-0.00043473+0.00026426i,0.00010689-0.00066342i,0.00011309-0.0010349i,-8.4446e-05+0.00010389i,-8.7035e-05+0.00068511i,-0.00020241-3.9686e-05i,-0.00033222-6.664e-06i,-0.00044617+0.00018413i,-0.00047297+0.00024614i,-0.00045007+9.3222e-05i,-0.00060057-0.00030454i,-0.00059549+0.0001816i,-0.00060655+0.00047541i,-0.00061016+0.00040845i,-0.00045531+0.0002126i,0.00032354-0.00013952i,0.00032569+0.00039064i,9.114e-06+0.00067002i
-0.00072093+0.0020505i,1.1532e-05+0.0016844i,0.0011436+0.0019652i,0.0014561+0.001598i,0.00076691+0.00086751i,-0.0004861-0.00095117i,-0.0019066-0.0020469i,-0.0031308-0.0013014i,-0.0024188+4.3112e-05i,-0.00043226-0.00021572i,0.00036369-0.00067418i,1.5471e-05+0.00011968i,-0.00041108+0.00063592i,-0.00079513+0.00051564i,-0.00057203-0.00012733i,0.00023294-2.976e-05i,0.00076265+0.00091394i,0.00082078+0.00088689i,0.00086626+0.00018608i,0.00052045-0.00022475i,7.3569e-06-0.00044777i,2.8198e-06-0.00071048i,-6.3302e-05-0.00022171i
0.00053489-0.0015732i,0.00038343-0.0002328i,0.00022468+0.00054635i,0.00024128+0.0015082i,0.00036643+0.0018099i,-0.00024105+0.001126i,-0.00093997+0.00044314i,-0.001557+0.00062622i,-0.0016443+0.00062092i,-0.0015391+0.00039946i,-0.0013114-0.00018676i,-0.00058407-0.00050359i,-0.0001427+8.3619e-05i,0.00024035-7.4322e-05i,0.00015844-0.000904i,-0.00082031-0.00057332i,-0.0012117+0.00036425i,-0.00067399+0.00042118i,0.00041072-0.00042195i,0.0009497-0.00064267i,6.9972e-05+6.1324e-05i,-0.000888+0.00033215i,-0.00095026+0.00011895i
-0.001004+0.0018034i,7.7734e-06+0.0018504i,0.00020971+0.0024468i,0.00059851+0.0012656i,0.001343+0.00037219i,0.0016704-0.00072683i,0.00031011-0.0020142i,-0.0014293-0.0017906i,-0.001589-0.000715i,-0.00021211-0.00057268i,0.00052856-0.00010822i,0.000527+0.0010981i,-0.00015291+0.0010028i,-0.0012842+0.00022111i,-0.00068095+0.00019835i,0.00016239+0.00044464i,0.00011613+0.00022095i,-0.00034+0.00022336i,-0.00014935+0.00067912i,0.00041244+0.00049697i,0.000334+0.00020728i,-0.00023045+0.00013294i,-0.00016767+0.00018718i
0.0004265-1.9601e-05i,0.00027113+0.00024885i,0.00086496+0.00076653i,0.00051489+0.00018241i,-0.00044051-0.00099887i,-0.0010434-0.0014633i,-0.0013229-0.0010988i,-0.0019243-0.00064733i,-0.0023513+0.00029187i,-0.0013402+0.00077986i,-0.00044805+0.00098043i,-0.00078214+0.00098144i,-0.00045261+0.0004821i,0.00029188+0.00056524i,9.0386e-05+0.0012995i,-7.0989e-05+0.00039917i,0.00071223-0.0010728i,0.0012304-0.00054987i,0.00061283+5.3144e-05i,0.00011013+0.00015973i,7.2094e-05+0.00038684i,-0.0004939-5.0179e-05i,-0.00038025-0.00047045i
-0.0003204+0.00041877i,-4.8278e-05+0.001398i,0.00078331+0.0023628i,0.0010696+0.0026738i,0.001443+0.001863i,0.00062077+0.00070214i,-0.00095053-0.00021077i,-0.001519-0.00024112i,-0.00085818+0.00040506i,0.0002918+0.00096854i,0.00041099+0.00016987i,-0.00015063-0.00057236i,-0.00025815-0.00044527i,0.0005251-0.00039848i,0.00093856-0.00015214i,0.00067883-0.00034694i,0.00035618-0.00039023i,4.1117e-05-1.7614e-05i,0.00036756+0.00013264i,0.00052834+0.00036612i,-0.00035584+0.00038853i,-0.0011909-0.00020149i,-0.0011883-0.00061491i
3.0976e-05+0.0016204i,-0.00014279+0.0020543i,0.0002869+0.0014543i,9.2297e-05+4.2496e-05i,-1.1731e-05-0.00056107i,-0.00066703-0.00048769i,-0.0015106-0.00026434i,-0.001598-0.00026899i,-0.0013682+0.00036533i,-0.00049307+0.00097799i,0.00027677+0.00056234i,-0.00022685+0.00052628i,-0.00032954+0.0006822i,-0.00026839+0.00082844i,-0.0001651+0.0010237i,0.00019823+0.0008592i,-4.7149e-05+0.0015082i,-0.0007102+0.0015057i,-0.00057263+0.00020737i,-6.9129e-06-0.00064702i,-0.00060416-0.00031191i,-0.00099132-0.00039079i,-0.00056743-0.00033059i
0.00014136+0.00019894i,0.00057934-1.4433e-05i,0.0012695+0.00014259i,0.0015048-0.00022898i,0.0014623-0.001028i,0.00082464-0.0015158i,-0.0010696-0.0017227i,-0.0022353-0.00086591i,-0.0021939+0.00036652i,-0.0015587+0.00073165i,-0.00077873-9.6578e-06i,-0.00050928-0.00054513i,-0.00021031-0.00011393i,-0.00025148+0.00054248i,-0.00046005+0.00020843i,-0.00011779-0.00021634i,5.0337e-05-0.0002607i,-0.00017786-9.5005e-05i,-0.0004138+0.00052842i,-0.00071139+0.0010699i,-0.00031706+0.0010216i,0.00037358+0.0005052i,0.00034636-0.0003271i
-0.00040149+0.0028234i,-0.00010112+0.0022315i,0.0011643+0.0018857i,0.0019086+0.00063628i,0.0020311-0.00064001i,0.00079114-0.001535i,-0.00022914-0.0011914i,-0.00066533-0.00040747i,-0.00054115+0.00056352i,0.0010384+0.0005067i,0.0022463+2.7932e-05i,0.0011581+0.00031202i,0.00037304+0.00012759i,0.00024526+0.00022376i,-0.00020728+0.00069754i,6.6037e-05+0.00083158i,0.0003671+0.00054883i,0.00088186+0.00025805i,0.00048355-0.00044279i,0.0002987-0.00040386i,0.00076111+0.00031015i,0.0011679+0.00055203i,0.00040624+0.00050848i
0.00081836+0.00051368i,0.00061033+0.0016761i,0.00086996+0.0023206i,0.00064277+0.0016223i,0.00034654-0.0003272i,4.9865e-05-0.0011587i,-0.00072347-0.0010044i,-0.0016248-0.00030475i,-0.001494+0.00052698i,3.5116e-05+0.00064435i,0.001099+0.00035929i,0.00040172+0.00014476i,-0.00053756-1.1623e-05i,-0.00019687-0.00016693i,0.00039604-0.00038374i,0.00034137-0.00031115i,-0.00033607+6.3644e-05i,-8.0945e-05+0.00023146i,0.00026718-4.7623e-05i,-6.0279e-05-0.00011868i,-0.00042085-0.00040609i,-0.00064509-0.00079823i,-0.0010867-0.00085176i
0.0015653-0.00018702i,0.0012816-0.00041548i,0.0010626-0.00017575i,0.0010916-0.00034999i,0.0011546-0.0012711i,0.00031281-0.0013053i,-0.0011572-0.00060488i,-0.0016654-0.00014813i,-0.0014886+0.00019282i,-0.00044272+0.00025417i,0.00064173+4.4915e-05i,0.00096552-0.00012501i,0.0013113-0.00022182i,0.0014375-3.2999e-05i,0.0013148+0.00021283i,0.00070251+0.0002091i,-0.00022159+0.00016426i,-0.00022194+0.00059117i,-0.00027953+0.00036205i,-7.7498e-05-0.00038082i,-0.00015431-0.00054862i,-0.00081112-0.00032531i,-9.466e-05-0.00026974i
7.555e-05+0.00043825i,0.00085753+0.00030811i,0.0011514+0.00076411i,0.00060561+0.00088875i,6.4323e-05-0.00015336i,-0.00078532-0.00077639i,-0.001137-0.00050746i,-0.002135+0.00013759i,-0.0025998+0.00024916i,-0.0011295-9.4606e-05i,-0.00108-0.00028106i,-0.0015734-0.0007835i,-0.00064558-0.0012574i,0.00026141-0.00080297i,0.0004988-0.00042147i,0.00045162-0.00014345i,0.00052735-0.00018826i,0.00024005-0.00091573i,-0.0004552-0.000962i,-0.00035925-0.00033675i,0.00029356-0.00015958i,0.00086748-0.00040758i,0.00034527-0.0010933i
-0.00038771+0.000107i,0.00026361+0.00056559i,0.0011683+0.00076602i,0.0014643-0.0006677i,0.0016887-0.0011083i,0.0015937-0.0011644i,0.0001704-0.0014204i,-0.00077802-0.00032367i,-0.00049753+0.00050983i,0.00014724+0.00057793i,0.00064643+0.00054135i,0.00063068+0.00011082i,0.00025755-0.00025198i,7.4512e-05-0.00028425i,0.00072695-5.1113e-05i,0.0016123+0.00054636i,0.00098756+0.0010723i,-0.00010364+0.00065962i,0.00026681-7.826e-05i,-1.4756e-05+2.6543e-05i,-0.0010783+0.00029381i,-0.00091966+0.00026318i,-0.00049895-0.00011742i
