4.4138e-05-0.00039149i,0.00056049-0.0013424i,0.0001959-0.00062541i,-0.00032493-0.0010676i,-0.0011921-0.0014006i,-0.0015718-0.00091816i,-0.001344-0.0009502i,-0.00029955+1.8223e-05i,2.008e-05+0.0008685i,2.9582e-06+0.00029137i,0.00031772-0.00024667i,0.00067758-0.00073473i,0.00026542-0.00081081i,0.00028678-0.00045124i,0.0011677-0.00022355i,0.0010442+0.0002346i,0.00053607+0.00023622i,0.0005353+0.00012246i,0.00098234+0.00033692i,0.00057613+0.00033583i,0.00029616+0.00045915i,0.001188+0.00069143i,0.0014449+0.00056446i
-0.0010568+0.0018221i,-0.0010792+0.0019451i,-0.0009941+0.0017959i,-0.00066692+0.0015087i,-0.00037912+0.0014711i,0.00010019+0.0017835i,0.00018223+0.0010801i,-0.00040401+0.0010123i,9.5155e-06+0.00056094i,0.0009617-0.00043654i,0.001115-0.00031348i,0.00060502-0.00043123i,0.00058935-0.0006361i,0.00065396-0.00048034i,-0.00018745-0.00028235i,-0.00073805-0.00016152i,-0.00019672-0.00031081i,0.00059643-0.00086391i,0.00030316-0.00040421i,0.0002048+0.00065822i,0.00070572+0.00097083i,0.00070404+0.00031556i,0.000984-0.00021753i
-0.0017563+0.00019333i,-0.0012601+0.00037612i,-0.000823+0.0012794i,-0.00069838+0.001504i,-0.00057231+0.00058984i,-2.946e-06-0.00072137i,0.00035488-0.00058352i,-0.00045004+0.00058641i,-0.0010961+0.00029994i,-7.3824e-05-0.00031389i,0.00079757-0.00032646i,0.0003178-0.00012277i,0.00045627+6.611e-05i,0.0006271-0.00026507i,0.00040938-0.00091808i,0.00058553-0.0016613i,0.00081535-0.0013991i,0.00093521-0.00039085i,0.00018073-0.00038002i,-0.00026485-0.00071655i,-4.6894e-05-0.00018191i,-0.00019922-0.00032046i,-0.000414-0.00065403i
0.00054157-0.0014945i,2.4107e-05-0.0010451i,-0.00030544-0.00051644i,-0.00029732-0.00051981i,-0.00061303+0.00015962i,-0.0002415+0.00042157i,0.00025632-0.00010794i,0.0003289-0.0003445i,0.00049779-0.0005242i,0.00066661-0.00082127i,0.00014533-0.00084049i,-0.00010624-0.00072318i,-4.8625e-05-0.00032454i,0.00018958-0.0001956i,0.0003695-0.00027338i,0.00073508+3.3102e-05i,0.0010289+0.00018044i,0.00069665+0.00037042i,0.00060466+0.00051893i,0.00082829+2.9748e-05i,0.00086172-0.00016425i,0.0003183+5.655e-05i,0.00019675-0.000187i
0.0021878-0.00034749i,0.001396-0.00066064i,0.0020053-0.0014165i,0.0017307-0.0025799i,-4.786e-05-0.002696i,-0.0015939-0.0014253i,-0.0018862-0.00044726i,-0.0013692-0.00026732i,-0.00039461-0.00049756i,-3.6386e-05-0.0011344i,-0.00037225-0.00137i,-0.0004296-0.00049873i,-0.00010084-0.00064848i,0.00036995-0.00063394i,0.00047047-0.00024164i,0.00032176-0.00011674i,0.00079186-0.00031918i,0.001055-0.00051801i,0.00078354-0.00010472i,0.00014387-0.00035635i,-0.00043181-0.00072722i,-0.00051555-0.00035015i,-0.00011193+0.000138i
0.00020426-0.0002656i,-0.0011806-0.00050353i,-0.001909-0.00013745i,-0.0016461+0.00029056i,-0.0013822+0.00029041i,-0.0011514+0.00014573i,-0.00072478-0.0001156i,0.0002415+0.00011176i,0.00085523+5.9667e-05i,0.00056673+0.00020701i,-0.00022139+0.0001453i,-3.6237e-05-0.00069409i,0.0008697-0.00065486i,0.0010199-0.00043126i,0.0004412+0.00014055i,-0.0001175+0.00055443i,-2.1977e-05+0.00024113i,0.00045822+0.00037987i,0.00046277+0.00023659i,-0.00023946-0.00048627i,-0.0010282-0.00059583i,-0.00046685-0.0004913i,-8.4103e-06+7.7149e-05i
-0.0011191-0.0010134i,-0.0015741-0.00050959i,-0.0012954+0.00011653i,0.00013467+1.725e-05i,0.00079759-0.00061128i,0.00059438-0.00077255i,0.0010072-0.00052405i,0.0012164-0.00057489i,0.00031369-0.00079829i,-5.1732e-05-0.00082383i,9.6199e-05-0.00030606i,-1.4893e-05+0.00041954i,-0.0002708+0.00050222i,-0.00018604-0.00017841i,0.00050174-7.3616e-05i,0.00055461-0.00040757i,0.00062547-0.00074023i,0.00079052-0.00046667i,0.00022665-0.00059553i,-0.00031981-8.6175e-05i,-0.00027381+9.3421e-05i,0.0002126-0.00010084i,0.0004869-4.4427e-05i
-0.00054317-0.00066i,-0.00049734+0.00070688i,-0.0011878+0.001738i,-0.0025984+0.00067905i,-0.0022076-0.0010324i,-0.00143-0.00113i,-0.0012536-6.3824e-05i,-0.00070277+0.00065364i,-0.00046827+0.00096585i,-0.0001691+0.00054036i,0.00043023-0.00022619i,0.00050736-0.00063691i,0.00046652-0.00051021i,0.00031829-0.00062153i,6.4215e-05-0.00055653i,-0.00019245-0.0010397i,0.00033178-0.0018248i,0.0012469-0.0015152i,0.00088196-0.00084981i,3.126e-05-0.00040885i,-0.0002379+0.00010803i,-0.00080715+0.00077822i,-0.0013886+0.00092867i
0.00098-0.00013765i,0.00042219+0.0001161i,0.0012941+0.00052812i,0.0012031+0.00092025i,-0.00080758+0.00085509i,-0.0014571+0.00065646i,-0.00032587+0.00047785i,0.00062594+6.6199e-05i,0.0012472+0.00014683i,0.0014154+0.00019893i,0.00098216-0.00053106i,0.00058707-0.00041935i,0.00077619+0.00035192i,0.0010743+0.00050512i,0.0005744-0.00011928i,0.0006838-0.00022633i,0.0010006+0.00010691i,0.00050819+3.8632e-05i,-0.00012821-5.6245e-05i,-0.00075341+9.4477e-05i,-0.00021234+0.00027732i,0.00078483+0.0011371i,7.3785e-05+0.0014379i
-0.0028165-9.2229e-06i,-0.0015585+0.00031941i,-0.0010403-0.00022864i,-0.0013346+6.8899e-05i,-0.00089912+0.00044958i,-0.00066686+0.00011314i,-0.00064179-0.00029626i,-0.000669-0.00028009i,-0.00042031-0.00050686i,0.00015996-0.00041178i,0.00039926-0.00054304i,0.00030425-0.00090037i,0.00047322-0.00027851i,0.00085285+3.888e-05i,0.00044002-0.0010029i,0.00022154-0.001561i,0.0010193-0.00068782i,0.0011977-2.7791e-05i,0.0008188-0.00010772i,0.00044234-0.00063831i,0.00040087-0.00093406i,0.00049438-0.0002796i,0.00059809+0.00040555i
-0.00071113-0.00031566i,-0.0015425-6.4933e-06i,-0.0018515+0.00056246i,-0.0017557+0.0004935i,-0.001365-0.00039908i,-0.00028143-0.0010957i,3.4818e-05-0.0005804i,-5.4879e-05-0.00014942i,0.00095916-0.00054588i,0.0013044-0.0013228i,0.00079866-0.00095097i,0.00072556-0.00053649i,0.001324-0.00084969i,0.0012312-0.0012813i,0.0011711-0.0012979i,0.00087033-0.00062043i,0.00051947+0.00010197i,0.00095863-0.00023196i,0.0014023-0.00034985i,0.0010123-0.00015695i,0.00033094+0.00022154i,-0.00036425+0.00081322i,-0.00062683+0.0007304i
-0.001281-0.00054909i,-0.0015356-0.00042427i,-0.0007069-7.0651e-05i,-0.00017114+0.0002935i,-0.00014946-0.00019324i,-0.00027159-0.00036148i,0.00025508-0.00027153i,0.00088956-0.00014315i,0.001014-0.00010049i,0.00036901-0.00038987i,-0.00023241-0.00066805i,-0.00045704-0.00065232i,-0.00020703+9.316e-05i,0.00025233+0.00019363i,-0.00041918-0.00039396i,-0.00059387+0.00026158i,0.00044103+0.00072754i,0.00091543+0.00050255i,0.0003665+6.5941e-05i,0.00017484+0.00092182i,-0.00018674+0.0022183i,-0.00071785+0.001156i,-3.0851e-06+0.00031865i
-0.0022412+0.001112i,-0.0020811+0.0010749i,-0.0014472+0.0002318i,-0.0005553+0.00042147i,0.00023568+0.00067704i,-0.00028171+7.3663e-05i,-0.00068803+0.00077105i,-0.00022037+0.00091232i,6.2408e-05-0.00016673i,0.00026643-0.00069867i,0.00048286-0.0011238i,0.00084204-0.0012323i,0.00064665-0.00092699i,-0.00012903-0.0011993i,0.00010697-0.0016454i,0.00066107-0.0010305i,0.00063963-5.9646e-05i,0.00048648+0.00041397i,0.00056093-0.00015648i,0.00035216-0.00052651i,0.00052097-3.9762e-05i,0.00095057-6.5378e-05i,0.00066091-0.00011247i
