-0.00012768+0.00023251i,0.00058061-0.00031892i,-0.0010593-0.00055529i,-0.001246-4.0922e-05i,-0.0010099+0.0012318i,-0.0016989+0.0018386i,-0.0014804+0.0022883i,-0.00059932+0.0024312i,0.00082272+0.0014664i,0.0010498+0.00048415i,-2.5294e-05-0.0002827i,-0.00035239-0.00063394i,-0.00070886-0.00040001i,-0.00063185+0.0001344i,0.00039976+0.00050512i,0.0013647+0.0007262i,0.0016994+0.00036713i,0.0011205+0.00041832i,0.00079432-0.00037586i,0.00087534-0.00126i,0.00052485-0.0011295i,0.00031169-0.00036497i,-0.00024883-6.9145e-06i
0.00032487+0.00052079i,0.00081957-0.0005905i,0.0010381-0.0004436i,0.00075227+0.00055225i,-0.00023121-0.00012739i,-0.000821-0.00073213i,-0.00039969-7.3284e-05i,-2.2153e-05+0.0012043i,-0.00044333+0.0018469i,-0.00093705+0.00063127i,-0.00080152-0.001606i,-0.00047644-0.0021551i,-0.0006338-0.00078209i,-0.00016917+0.00066875i,0.00080057+0.0013105i,0.00032344+0.00032643i,-0.00052982-0.00010143i,-0.00036832+0.00080877i,0.00021355+0.0006824i,0.00044355-0.00022242i,-5.9942e-05-0.00071277i,0.00012589-0.00039721i,0.00028259-0.00029527i
0.00018692+0.00015753i,-1.7044e-05-0.00038457i,0.00063108+0.0001186i,0.00051974+0.00065845i,-0.00045555+0.00030373i,-0.00080683+0.00025219i,-0.00030845+0.00094214i,1.1312e-08+0.00093043i,-0.00065084+0.00037535i,-0.00076406+0.00047108i,-0.00042269+0.00036618i,-0.0003618-6.4325e-05i,-0.0001542-0.00084028i,-0.00011079-0.0012686i,0.00026753-0.00031402i,0.00045667+0.00014799i,0.00037858-0.00016165i,2.4073e-05-0.00040763i,-0.00068079-1.0227e-05i,-0.00036204+0.00024305i,0.00079715+0.00016578i,0.0009536-6.9417e-05i,-0.00037466-8.5902e-05i
0.0015237+0.0012383i,0.0024194+0.00058517i,0.0031478-6.1687e-05i,0.0027596-0.00087827i,0.0016344-0.0013598i,0.00044624-0.00062441i,-0.00030837+0.00031487i,0.00027673+0.0016087i,0.00044216+0.0011801i,0.00021082-0.00051832i,3.1918e-05-0.00057973i,-0.0010402-0.0008051i,-0.0016763+3.0383e-06i,-0.00087762+0.0011486i,0.00057355+0.0006888i,0.0010769-0.00059716i,0.00089951-0.0014546i,0.00081149-0.0014498i,0.00014157-0.00075144i,-0.00022604-0.00023139i,0.00031573-4.0058e-05i,0.00043999-7.177e-06i,-0.00011077-2.7948e-05i
-0.00025224-0.0013831i,-0.0019987+0.00070925i,-0.0020751+0.0013042i,-0.0022021+0.0024923i,-0.0019068+0.0031576i,-0.00038886+0.0027242i,0.00077157+0.0018407i,0.0011544+0.0011943i,0.00043714+0.00058918i,-0.00026115-0.00010226i,-0.00036448-0.00079838i,-0.00045628-0.0010067i,-0.00026254-0.00051324i,0.00034069-0.00029554i,0.00053479-0.0001585i,-0.00013179-0.00013526i,-0.00033166+0.00016484i,-8.3213e-05+0.00048766i,0.00084792+0.00059176i,0.001268-8.8031e-05i,0.00075878-0.00061572i,0.00062968-0.00054952i,0.00038689-0.000413i
0.00043805-0.0010297i,0.00084351-0.001066i,0.0012258-0.0007205i,0.00060025-0.00092219i,-0.00020467-0.00074616i,-0.0011919+0.00054793i,-0.00035385+0.00092122i,0.00079235+0.00074408i,0.00032298+0.000104i,-0.00023818-0.0002951i,-0.00036452-0.00080611i,-0.00017647-0.0012163i,-0.00018267-0.0010996i,-0.00021783-0.0008439i,0.00032112+0.00011214i,0.0008337+0.00061481i,0.00078689+0.00049888i,0.0006074+0.00031021i,0.0009156+0.00066369i,0.00054845+0.00063134i,0.00018843-0.00017567i,0.00065002-0.00071559i,7.2168e-05-0.0001634i
0.00010087+0.0010556i,-0.0012055+0.00089284i,-0.00072192+0.0014655i,0.00063106+0.0011988i,0.00042875+7.7005e-05i,-0.0011701-0.00061091i,-0.0014539-0.00034313i,-0.00085181+0.00061183i,-0.00053132+0.0011356i,0.00026932+0.00050531i,0.00011089-0.00059327i,-0.00044693-0.00077351i,-0.00065573-0.00028029i,-0.0006289+0.00028437i,-0.00038902+0.0011298i,-0.000734+0.0015067i,-0.0001752+0.0007771i,0.00061963-0.00035646i,0.00032604-0.00039798i,0.00041874-0.00024733i,0.00050275-0.0004317i,0.00038018+9.2514e-06i,0.00024215+0.00034024i
-0.00022937+0.00033076i,0.00046532-0.00014641i,0.00041549-9.3744e-05i,0.00055559-0.00015275i,-0.00019272-0.00020395i,-0.00091586-3.628e-05i,-0.00078083+0.00027748i,-0.0010755+0.00088026i,-0.001185+0.0010018i,-0.00065262+0.001173i,-0.00063397+0.0008925i,-0.00093993-0.00046873i,-0.0014616-0.00056386i,-0.0017175+7.8585e-05i,-0.00080018+0.00035806i,0.0003353+0.00027209i,0.00056237+0.00021695i,0.00085499+3.9829e-05i,0.0010196-0.00040253i,0.00026996-0.00045081i,0.00028689-0.00064208i,0.00066491-0.0007313i,0.00013974-0.00082351i
0.0013947-0.0012074i,0.00027381-0.00089129i,-0.00058039-0.0013769i,-0.0003734-0.0015773i,-0.00075887+3.5712e-05i,-0.00080407+0.00082323i,-0.00014152+0.00085704i,-2.4129e-06+0.0011698i,0.00039973+0.0010859i,0.00030632+0.000491i,-0.0010897-0.00032496i,-0.00093015-0.00067879i,-0.00022473-9.6215e-05i,-0.00029969+0.00027709i,-0.00012733+0.00024434i,0.00023251+0.00055952i,-4.6692e-05+0.0008288i,0.00013818+0.00027551i,0.00059706-0.00046266i,-8.5416e-05-0.0002177i,8.9857e-05+0.00011677i,0.00073157-0.00024218i,6.7802e-05-0.00095454i
0.0010113-0.00036441i,0.00042258-0.00064075i,0.00035943+0.00069168i,-0.0005685+0.0010245i,-0.0011709+0.000444i,-0.00097902+0.00045131i,-0.00096046+0.00031243i,-0.00086442+0.00060997i,0.00022884+0.00058379i,0.0007387+0.00010139i,0.00029828-0.00032174i,-6.9206e-05-0.001084i,0.00029694-0.00065406i,0.00040925+0.00024329i,0.00038354-0.00015783i,0.00037484-0.00058421i,0.0011967-0.00052887i,0.0012433-0.00054398i,0.0002229-0.00025638i,-0.00024774-0.00032741i,-0.0006349+8.9129e-05i,-0.00095408+0.00037479i,-0.00029312-0.0001279i
0.00027597+0.00085432i,5.5114e-05+0.0012273i,-0.00011718-0.00067464i,-4.734e-05-0.0016275i,-0.00024902-0.00062493i,-6.7871e-05-9.5046e-05i,-0.00016809+0.00041253i,-0.00034949+7.1454e-05i,0.00031283-0.00082369i,0.00065723-0.001147i,0.00051194-0.001195i,0.00024575-0.0012202i,0.00014595-0.00085663i,9.0442e-05+0.00017198i,0.00022304+0.00095283i,0.00085102+0.00051896i,0.0011154+0.00044003i,0.0012074+0.0010607i,0.0010959+0.00060576i,0.00064248-0.00024794i,0.00033584-0.00077198i,6.3881e-05-0.0007594i,-8.0983e-05-0.000369i
-0.00053309+0.00081516i,-0.00051065+0.0013696i,-0.0010702+0.0026502i,5.0284e-05+0.0014137i,0.0014503-5.8641e-05i,0.00067136+0.00021489i,0.0004162+0.0011452i,0.00042704+0.0015028i,-0.00023047+0.00064798i,7.2623e-05-0.00014225i,-0.00018155-0.00028956i,-0.00094779-0.00042284i,-0.00077179-9.0631e-05i,-0.00093411+0.00026847i,-0.0009163+0.00030075i,-0.00059614+7.7725e-06i,-9.4216e-05-0.00021208i,0.00043682-0.00033242i,0.00086287-0.0002318i,0.00073148-0.00028096i,-1.9971e-05-0.0001855i,-0.0003184-0.00029054i,-0.00032863-0.00066607i
0.00023833-0.000304i,-0.0006711-0.00013611i,-0.00016646-0.00029326i,0.00017219-0.00077427i,6.2607e-05-0.00069648i,-0.00038819-0.00043263i,-0.00055254+0.00017172i,-0.00033626+0.0008201i,-6.2013e-05+0.00070713i,0.00053833-0.0001495i,0.00086816-0.0012033i,3.304e-05-0.0013308i,-0.00071749-0.00023014i,-0.00043761+0.00019393i,0.0003908-0.00088459i,0.00055848-0.00054902i,0.0001544+0.0010079i,-0.00051265+0.00054623i,-0.0003356-0.00024766i,-0.00016374+0.00094424i,-0.00012764+0.0011956i,0.0007976+0.0001034i,0.00092472-4.7514e-05i
-0.0011605-0.0007115i,-0.00062697+0.00013099i,-0.0010194+0.00079774i,-0.0014383+0.0013691i,-0.00054788+0.0018268i,-0.00021523+0.00257i,-0.00019968+0.0025292i,-0.00011139+0.0021232i,0.00071176+0.0021754i,0.00080286+0.0012048i,0.00047257+0.00068459i,0.00026232+0.00034254i,-0.00062347+6.9999e-05i,-0.001013-0.0003108i,-0.0005635-0.0003611i,-0.00043432+0.00072431i,-0.00064363+0.00058635i,-0.00016183-0.00032625i,-0.00029821+0.00013041i,-0.00085165-0.00022571i,-0.00019572-0.00093278i,0.00052183-0.00029733i,0.00031302-0.00054563i
0.00025004-0.001607i,-0.00050233-0.0010292i,-0.0014497-0.00010473i,-0.001276+0.0007979i,-0.00071461+0.00090982i,-0.00048605+0.00054334i,0.00024351-0.00045802i,0.00075245-0.0006556i,0.00015773+4.8792e-05i,-7.2761e-05-0.00030107i,-0.00038432-0.0011379i,-0.00029555-0.00091397i,0.00048464+0.00014752i,0.00045688+0.001082i,-3.3136e-05+0.0010755i,-0.00017409+0.00062991i,6.7913e-05+0.00039272i,0.00033609+0.00048721i,0.00057476+0.00024277i,0.00069943+0.00059783i,0.0010679+0.00057086i,0.00099161+3.3943e-05i,0.00027113+0.00023664i
-0.00047911+0.00084336i,-0.00069147+0.0014464i,0.00040184+0.002174i,0.0013739+0.0018595i,0.0020382+7.1144e-05i,0.0014894-0.00099234i,-0.00043634+4.851e-05i,-0.0012626+0.0012334i,-0.00088056+0.0015098i,-2.0269e-05+0.0011732i,0.00052689+0.00013482i,-0.00011656-0.00065376i,-0.00087484-0.00095933i,-0.0011148-0.00085321i,-0.00054255-0.00017963i,0.00018659+0.00068547i,-0.00050595+0.00072445i,-0.00096029-0.00019144i,-0.00089615-0.00054884i,-0.0003779-6.2721e-05i,0.00098052-7.0021e-05i,0.00086622-0.00061567i,-0.00026588-0.00065718i
0.0009155+0.0013399i,0.00044155+0.0019563i,0.00020464+0.001989i,0.0010786+0.0013091i,0.001715+0.0012407i,0.0001481+0.00042322i,-0.00084654+0.00023069i,-0.00042655+0.0013835i,3.8057e-05+0.0017333i,0.00016303+0.00087978i,-0.00017602-0.0011245i,4.8754e-05-0.0019923i,0.00036274-0.00049422i,0.0002389+0.00035556i,0.00015208+0.00086006i,0.00088292+0.001084i,0.0013808+0.00046331i,0.00096331-0.00018399i,0.00056935-0.00090546i,0.00083224-0.00025552i,0.0011661+0.0006844i,0.00017792+0.00047237i,-0.00067118+0.00025674i
0.00052914-0.0017355i,-4.7022e-05-0.00072999i,-0.00037666+0.00035764i,-0.00093924+0.00029488i,-0.0011501-0.00023608i,-0.00077601+0.00067775i,-0.0010734+0.001004i,-0.0013762+0.00082522i,-0.00083713+0.0008552i,-0.00042867+0.00026002i,0.00011707-0.00037214i,0.00055639-0.00027371i,0.00036853-0.00019974i,0.00057484+0.00027587i,0.0012281+0.00034028i,0.0011057-9.5792e-05i,0.00035378+0.00022038i,6.8428e-05+3.8498e-05i,0.00056454-0.00032928i,0.00096665-0.00010921i,0.00080269+0.00037939i,0.00074325+0.00051536i,0.00026667+0.0004297i
-0.00018928+0.00054373i,-0.00039641+0.0007422i,0.00022677+0.00033368i,0.00069735-0.000373i,0.0010031-5.6272e-05i,0.0001361+0.00097877i,-0.001369+0.00095656i,-0.00025379+0.00096711i,0.00095871+0.0013086i,0.00041757+0.00060645i,2.2296e-05-0.00031852i,-6.6738e-05-0.0011426i,-0.00040697-0.00085978i,-3.5036e-05+0.00010392i,0.00045371+0.00034011i,0.00042866+0.00043055i,0.00044174+0.00035242i,-5.2909e-05+0.00025303i,-0.00074037+0.00010087i,-0.00038913+0.00029876i,0.0003251+0.00057573i,0.00039205+0.00052618i,0.00055643+0.00019688i
0.0004173-0.0002741i,-7.1355e-05-2.8284e-05i,-0.00057439+0.00019102i,0.00031812+0.00057047i,0.00029603+0.0012593i,-0.00086638+0.0016396i,-0.00038351+0.0016557i,0.0005429+0.0014486i,0.00012773+0.00018401i,-0.00015653-0.00021478i,-0.00084523-0.00019868i,-0.0010665-0.00060088i,-0.0010678-0.00050752i,-0.00096982-0.00091954i,-0.00014879-0.00017636i,0.00084471+0.00039359i,0.0017136-6.8243e-05i,0.0012717-0.0001644i,2.9425e-05-3.5897e-05i,0.00033188-9.9675e-07i,0.00079405+5.8524e-05i,0.00041855-0.00025017i,0.00022364-8.9301e-05i
-0.0012031+0.00060724i,-0.0017407+0.00017952i,-0.00050582-0.0006453i,0.00035058-0.00066123i,6.3749e-05-0.00030548i,-0.00053716-0.00082708i,-0.00089136-6.7508e-05i,-6.0395e-05+0.00067472i,0.0004574+0.00014679i,0.00013747+8.8303e-05i,0.00018118-0.00034297i,0.00043527-0.00092647i,0.00015774-0.00055925i,0.00012434-0.0003006i,6.565e-05-0.00012829i,-0.00025855+0.00036794i,-0.00053403+0.00032251i,-0.00073739+9.6114e-05i,-0.00039375-0.00027501i,-7.0287e-05-0.00058894i,-0.00018032-0.00052916i,-0.00018502-0.00019558i,-0.00034891-0.00014044i
-0.0016719-0.00040073i,0.0002061+0.00022241i,0.00061987+0.0011884i,8.5454e-05+0.0017572i,5.1715e-05+0.0018249i,0.0007353+0.0013515i,0.00031221+0.00088508i,7.6396e-05+0.00096628i,0.0012306+0.0012602i,0.0015695+0.0012999i,0.00054333+0.00048024i,-5.1019e-05-0.00018462i,-9.0027e-05-0.00024553i,0.0001236+0.00024771i,0.00046166+0.00035732i,0.00033306-8.2216e-05i,0.00053321+0.00060178i,5.7108e-05+0.000566i,-0.0010892+0.00020704i,-0.00089496+0.00017426i,-6.0215e-06-0.00057452i,-5.2609e-05-0.0010541i,-0.00025378-0.00032508i
-0.0010651-0.00043632i,-0.00036131+0.00046762i,0.00028757+0.0023847i,7.227e-05+0.0027829i,0.00045366+0.0014605i,0.00027067+0.00086502i,-0.00043957+0.001064i,-0.00030935+0.00095944i,0.00016187+0.0010944i,0.00075734+0.00086913i,0.00097466-5.4001e-05i,0.00046985-0.00031403i,-0.00021321-0.00048514i,-0.00017595-0.0003548i,8.0975e-05+7.4857e-06i,-0.00036678-0.00048556i,8.6264e-05-0.00057355i,0.0013193+7.1831e-05i,0.00098529+0.00096691i,0.00055113+0.00086467i,0.00067028+0.00029533i,-9.8821e-06+5.3807e-05i,-8.5145e-05-0.00030152i
-0.0007613-0.00021744i,-0.00086583+0.00010279i,-0.0011452+0.00050612i,-0.00030792+0.00051293i,0.00080982+0.00056791i,0.00060023+0.0013379i,7.7193e-05+0.0012846i,-0.00042675+0.00080251i,-0.0010177+0.0013018i,-0.00044169+0.001859i,-0.00031282+0.001029i,-0.00087925-0.00026242i,-0.00043742-0.00076105i,-0.0002595-6.7667e-05i,-0.00040933+0.00064379i,3.1631e-05+0.00037069i,-0.0001234-0.00046374i,0.00046969-0.0010295i,0.00086991-0.00099409i,6.7341e-05-0.00066842i,-0.0001962-0.00036151i,0.00029343-0.0003771i,-0.00018506-0.00069131i
0.00037153-0.00025626i,0.00028745+0.00010195i,-0.00033944+0.0001585i,-0.00089324+8.4192e-05i,-0.00042426-3.2281e-05i,2.6486e-05+0.00031965i,8.7593e-05+0.0013312i,0.00037075+0.0014028i,0.00090665+0.0010861i,0.00024379+0.0005215i,-0.00032009-0.0006174i,-0.00038837-0.0006889i,-0.00053389-0.00065456i,-0.0004549-0.00057253i,-0.00032757+6.7826e-05i,5.0044e-05+0.00056069i,0.00082411+0.00073829i,0.00046167+0.00019129i,-0.00028399-0.0009513i,0.00048837-0.00063659i,0.00056468-3.6342e-05i,6.4174e-05-0.00035774i,0.00010593-0.00039296i
0.0017769+0.00033233i,0.0011135-0.00069669i,0.0012459-0.0014208i,0.0016849-0.0009453i,0.0014638-0.00095714i,-1.3366e-05-0.0016673i,-0.00048227-0.00081553i,0.00018048+0.00061774i,0.00025794+0.00017147i,0.00021758-0.0005997i,0.00018319-0.00078958i,0.00037373-0.00058757i,0.00032392-0.00054193i,-2.7479e-05+8.1147e-05i,0.00032876+0.00028069i,0.0010119+0.00043369i,0.000767+0.00059209i,0.00041335+5.3205e-05i,0.00043532-0.00034477i,-0.00030103-0.00033764i,-0.00030246+0.00022253i,1.3596e-05+0.00078008i,-0.00013383+0.00094263i
0.00066575-0.0007719i,-0.00035951-0.00028178i,-0.0010532-0.00040974i,-0.0011434-0.00036559i,-0.0014786-8.4103e-05i,-0.0016802+0.0004361i,-0.0010375+0.00026787i,0.00045865+0.00035343i,0.0011373+0.00049555i,0.00081639+0.00014883i,0.00057014-0.0007785i,-9.5008e-05-0.0012593i,-0.00039828-0.00046952i,-0.00052613+0.0010821i,-0.00023646+0.00090365i,1.3698e-05-0.00071505i,-4.8596e-05-0.0013837i,0.00025109-0.0012803i,0.00081846-0.00096726i,0.00084564-0.00023485i,9.3104e-05-1.2371e-05i,-3.4302e-05+6.3336e-05i,-4.2321e-05+0.00019897i
0.0007822+0.00020559i,0.00060191+0.00054324i,0.0014855+4.8071e-05i,0.0014477-0.00079988i,0.00047144-0.0015324i,0.00013121-0.00064034i,-0.00066998+0.00047525i,0.00033346+0.00081347i,0.0012863+0.0014044i,0.00054781+0.00031811i,4.7322e-05-0.00084838i,-0.00081744-0.00071015i,-0.0013585-0.00035725i,-0.00077917-7.3015e-05i,-0.00058564+0.00079875i,-0.00095777+0.0015887i,-0.00053737+0.0014128i,-0.00060343+0.00087911i,-0.00089944-1.8346e-05i,-6.5447e-05-0.00090168i,0.00076331-0.00037146i,0.00010151+0.0010364i,-0.00062628+0.0012725i
0.00063796+0.0010274i,-0.00043691-0.00018051i,-0.0015448-0.0014722i,-0.00099202-0.0011954i,-0.0011462+0.00041195i,-0.0015539+0.00080018i,-0.00022979+5.6901e-05i,-6.3289e-05-0.00024197i,-0.0011232+0.0006195i,-0.0013406+0.0004962i,-0.00060255-0.00064118i,0.00033166-0.0010002i,0.0003637-0.00049782i,-0.00045914-7.017e-05i,-0.00024185-0.00010609i,0.00099553+0.00018308i,0.00096613+0.00069617i,0.00035381+0.00037088i,-1.6833e-05-0.00022407i,0.00028607-0.00013608i,0.00072813+0.00042606i,0.0002801+0.000324i,-0.00080202+9.572e-05i
-0.0007834-0.00067454i,1.6548e-05-0.00116i,0.0010187-0.0007321i,0.00056055+0.0006846i,0.00036428+0.0011831i,0.00083311+0.00072397i,0.00095459+0.0010449i,-0.0002419+0.0019415i,-0.0009938+0.0022453i,-0.00045666+0.0015003i,-0.00041845-0.00019734i,-0.00039359-0.0012258i,-0.00018981-0.00086528i,0.0001763-6.0909e-06i,0.0004717+0.00067768i,0.00038279+0.00078125i,-0.00010584+0.00090866i,-0.00042014+0.00029321i,-0.00061074+0.00021041i,-0.00053922+0.00032465i,-3.1159e-05-5.3849e-05i,-0.00022034-6.7738e-05i,-0.00036368-0.00031236i
-0.0011604-0.0007662i,-0.00071761-6.8852e-05i,-0.0015854+0.0018318i,-0.0012178+0.0020239i,0.00010116+0.0022155i,0.00014435+0.0021138i,-0.00024085+0.0011571i,-0.00034398+0.0006257i,-0.0001604+0.00057336i,0.00017979+0.00020197i,0.00025357-0.00039495i,-0.00011251-0.0010603i,-0.00036016-0.00058862i,-0.00035445+0.00057949i,-4.1858e-05+0.00034439i,-9.4319e-05-0.0004655i,0.00048854-0.0002603i,0.00018459-0.00053551i,-0.00088597-0.0011512i,-0.00097345-0.00051592i,-0.0009897-9.7708e-06i,-0.00063177-0.00030957i,0.00031757-0.00043869i
-7.3673e-06+0.00032888i,0.0014284+0.0011335i,0.001306+0.0003139i,0.0012795-5.485e-05i,0.0015427+0.00024976i,0.0003476+0.00079506i,-3.23e-07+0.00045658i,0.00014518+0.00061291i,-0.0011017+0.0011665i,-0.0013339+0.00055727i,-5.4832e-05-0.00049471i,0.00048647-0.00048512i,0.00029568+0.00026956i,-0.00027954+0.00063594i,0.00033598+0.00010415i,0.00070331+0.00036943i,8.7368e-06+0.00089009i,-0.000291+0.00038949i,-0.00052767+0.00049665i,-0.00030679-0.00010714i,0.0009716-0.001131i,0.0014192-0.00089808i,0.00075669-0.00015939i
