0.0010836+0.0036047i,0.0013048+0.0022808i,0.00073343+0.00059861i,0.00092935-0.0010165i,-0.00030143-0.0017205i,-0.0026876-0.0011959i,-0.0028529+0.0002081i,-0.0012769+0.00092263i,0.00064169+0.00045683i,0.0016366-0.00017003i,0.0009701+0.00024244i,-0.00052381+0.00026507i,-0.00054882-0.0005622i,-7.3377e-05-0.0010822i,-0.00010518-0.0010241i,-0.00029257-0.00043506i,0.00032483+0.00037149i,0.00084713+0.00080919i,0.00056365+0.00079794i,8.2604e-05+0.00030742i,0.00026051-0.00074186i,0.00043428-0.00068697i,0.00085141+6.9505e-05i
-0.00025109+0.0031441i,0.0012636+0.0021665i,0.0011657+0.00066981i,0.000278-0.00053241i,-0.00010546-0.001371i,-0.00081785-0.0017676i,-0.0013614-0.0010966i,-0.0011012-0.00017579i,-0.00051218+0.00043878i,5.7554e-05+0.00066781i,0.00044589-0.00015926i,-0.00040176-0.00020026i,-0.00049059-0.00017539i,-0.00013041-0.00030934i,-0.00038444+1.9224e-05i,-0.00044596+0.00023794i,0.00017484+0.00049029i,0.00056252+0.00050833i,0.00078135+0.00015694i,0.0011212+0.00022396i,0.00073656+0.00022922i,0.0002715-8.297e-05i,0.00014009-0.00042235i
-0.0012949+0.0012402i,-0.0014783+0.0028004i,-0.00064236+0.001597i,-9.4869e-05-0.00021318i,0.0003513-0.0012421i,0.00046604-0.0023957i,-0.00037936-0.0024749i,-0.0015278-0.0016051i,-0.0011982-0.001337i,-0.00078738-0.00061933i,-0.0004759+0.00025837i,0.00032143+0.00078984i,0.00080757+0.00059316i,0.00028042+0.00042191i,0.00017898+0.00045631i,0.00066538-1.5586e-05i,0.00039327-0.00057911i,0.00013693-0.00088422i,-0.00020657-0.000548i,-0.00041508-0.00011546i,-0.00017735-5.4206e-05i,-7.3736e-05+0.00020118i,-0.00031258+0.00032497i
-0.00063773+0.0020684i,0.00063+0.00076977i,0.0029092+0.00017132i,0.0027183+4.2853e-05i,0.0011513-0.00048481i,0.00066955-0.001455i,0.00067727-0.0017067i,-4.4026e-05-0.001014i,8.3212e-05-6.7519e-06i,0.00013956-0.00011446i,4.8974e-05-0.00059097i,0.0013716-0.00053836i,0.0012381-2.6507e-05i,-0.0003684-0.00025087i,-0.00040577-0.0004816i,-0.00016087-0.00015645i,0.00050372+0.0004036i,0.00045803+0.00033716i,9.5199e-05+0.00052625i,0.00055519+0.00068088i,0.00047752+0.00073093i,0.00019812+0.0010963i,-3.1776e-05+0.00043712i
-0.00059992-0.00041851i,-0.00063448+0.00066343i,-0.00018441+0.0012999i,0.000497+0.0016122i,6.994e-05+0.00099152i,-0.00024457-0.00064393i,-0.00041512-0.0010199i,-0.00026656+1.6798e-05i,0.00013168-0.00010991i,-0.0001221-0.00056021i,-0.00020417-0.00011183i,0.00015148+0.00016166i,2.9434e-05-0.00038302i,-0.00035719-0.00031451i,-0.00043304+3.9293e-05i,-0.00057506+0.00037089i,-0.00021322+0.00039131i,0.000342+0.00025697i,0.00034649-0.00013636i,0.00023937-0.00026863i,2.1567e-05-4.7467e-05i,-0.0010508-0.00020807i,-0.0012462-0.00072855i
0.001422+0.00077137i,0.0013638+0.00017341i,0.00064977-0.00066189i,0.00050843-0.00086185i,0.00018072-0.00020997i,-0.00029918-0.00025258i,-0.00091898-0.0009335i,-0.0013456-0.00025477i,-0.0006952+0.0004607i,-0.00069084-7.4116e-05i,-0.0011123-9.5759e-05i,-0.00088512+0.00086961i,0.00014025+0.0013017i,0.00088383+0.0014029i,0.00078381+0.0011641i,0.00065612+0.00038784i,0.00032746-0.00018921i,4.8247e-05+5.457e-05i,0.00045237+0.00019976i,0.00032237-0.00012514i,0.00017995-8.0586e-05i,0.0003905+9.0432e-05i,0.00070773-0.00029179i
-0.00050175+0.00034711i,-0.00084435+0.00094743i,-0.0013313+0.0010463i,-0.0016027-6.5806e-05i,-0.00073935-0.001141i,-0.00092333-0.0011922i,-0.0012507-0.00099351i,-0.001138-0.00081635i,-0.0016308-0.00090577i,-0.0021303-0.00013074i,-0.0019817+0.00031355i,-0.00015694-0.00011691i,0.00076301+8.6871e-05i,0.00029652+0.00010146i,0.00084625+0.00034122i,0.0011726+0.0016133i,0.00019152+0.00080689i,-2.3281e-05-0.00083068i,0.00058481-0.00039984i,0.00092269-0.00033787i,0.00065717-0.00095865i,-0.00017665-0.00079658i,-0.00075778+1.7967e-05i
-0.0017588+0.00022711i,-0.0014577+0.0012209i,-0.00079398+0.0012219i,4.8806e-05+0.00055851i,-0.00040676+0.00054797i,-0.0011895-0.00047808i,-0.0018172-0.0018839i,-0.0010897-0.0016497i,-7.0698e-05-6.4695e-05i,-0.00072576+0.0004011i,-0.0012231+0.00029323i,-0.00099969+0.00030167i,-0.0005968+0.00023135i,5.0057e-05+0.00058711i,-0.00028781+0.00075039i,-0.00084274-0.00033229i,-0.00063537-0.00057062i,-0.00041145+0.00023624i,-0.00081697+0.00029153i,-0.00045248+0.00057989i,0.00032354+0.00066749i,0.00040949+0.00026792i,-6.3359e-06+0.00042497i
0.00037353+0.00037433i,-0.0001353+0.00073518i,0.0002794+0.00045262i,0.00098108-0.00094031i,0.00089823-0.0029888i,0.00018194-0.0032841i,-0.00085399-0.0024516i,-0.001135-0.0011112i,-0.00072383-0.00042184i,-0.00069741-0.00042086i,-0.0010965-0.00045749i,-0.00098216+0.00016263i,-0.0006321+0.00055393i,-0.00078772+0.0004018i,-0.00060385+7.3632e-05i,-0.00079296+0.00034195i,-0.00051556+0.0014982i,0.00060362+0.0018977i,0.0010222+0.0016864i,0.0011658+0.0010571i,0.00083495+0.00055478i,0.00036993+0.00054823i,0.00066324-0.00027041i
0.00048839+0.00022392i,-0.00020817+0.00020127i,-0.0002302+8.8246e-06i,-0.00024044-0.00031068i,-0.00012581-0.0011576i,0.00022796-0.0020804i,-0.00033581-0.0025362i,-0.0013952-0.0019896i,-0.00049419-0.00075963i,-5.5167e-05-6.2136e-05i,-0.00062551+0.0005513i,1.3164e-05+0.00081856i,0.00065656+0.00020284i,0.0012138-0.00040531i,0.00061677+0.00018074i,-0.00022719+5.4859e-05i,-0.00029061-0.00012623i,-0.0002344+0.00020882i,-9.0726e-05-1.022e-05i,-0.00011875-0.00013165i,0.00017181+0.00029692i,0.00087218-0.00017901i,0.00093779-0.00026618i
-0.0027934+0.0022168i,-0.0021345+0.0032116i,-0.00098951+0.0031123i,-0.00039286+0.0014786i,0.0005652-0.0010342i,0.00074148-0.0021418i,-0.00041731-0.0017036i,-0.00074259-0.00078487i,-0.00042433-3.0332e-05i,-0.00047826-4.5216e-05i,0.00032759+0.00075554i,0.00044167+0.0018712i,-2.1e-05+0.0012226i,0.00059929+0.00019308i,0.0010487+0.00077014i,0.0012207+0.0011892i,0.00076619+0.00060425i,-6.2265e-05+8.2889e-05i,-0.00051854+6.1142e-05i,-0.00023068-0.00020606i,0.00021378+9.9877e-05i,-0.00044203+0.00056398i,-0.00027925+4.0949e-05i
-0.0017224+0.0017825i,-0.0015131+0.0016154i,-0.00097897+0.0017461i,8.9185e-05+0.000748i,9.0398e-05-0.00034978i,-0.00030271-0.0012583i,-0.00073431-0.0016471i,-0.0016644-0.0011733i,-0.0010054-0.00083559i,5.1811e-05+0.00016899i,0.00025322+0.0009108i,-0.0001799+0.00073229i,-9.7508e-05+0.00037034i,0.00018036+0.00020202i,0.00018006-0.00053339i,0.00026922-0.00041086i,0.00012267-0.00044873i,-0.00058829-0.00033918i,-0.00057886+0.00017508i,-0.00026456-0.00021856i,-0.00073614+0.00037024i,-0.00072271+0.0012795i,-0.00010227+0.00080768i
0.00069304+0.0014567i,0.00085961+0.00086692i,0.0010264-0.00035974i,0.00071998-0.00067674i,7.6138e-05-0.0011817i,-0.00036764-0.0016194i,-0.00065052-0.0013499i,-0.00080332-0.00076095i,-6.7029e-05+0.00016511i,-2.1267e-06-3.61e-05i,-0.00059234+0.00034244i,-0.00043587+0.0012165i,-0.00017286+0.00094109i,-0.00015862+2.0542e-05i,-0.00039177-0.00050658i,-2.1311e-05-0.00034946i,0.00036879-0.0001242i,5.4308e-05+6.2133e-05i,0.00013518+0.00011592i,0.00044591+0.00016776i,-2.0323e-05-3.2161e-05i,-2.6106e-05+4.906e-05i,0.00050453+0.00038232i
9.5334e-05-1.6381e-05i,0.00038352+0.00092535i,0.00074754+0.00087464i,8.3156e-05+0.00033587i,-0.00052303-0.00052281i,-0.0012199-0.0014184i,-0.001068-0.0016683i,-0.00088103-0.00090838i,-0.00074564-0.00022434i,6.6124e-05+0.00034607i,-3.287e-05+0.00079829i,-0.00078156+0.00043915i,-0.0011303-0.00020391i,-0.00014761-2.0976e-05i,-0.00023084+0.0011327i,-0.0009246+0.00077695i,-0.00025748-9.5595e-05i,0.0001902-0.0005752i,0.00035448-0.0010157i,0.00046723-0.00021293i,8.4328e-05+0.00013504i,0.00012404-1.1508e-06i,0.00065874+7.5598e-05i
0.0015702+0.0003389i,0.0010348-0.00059066i,0.00061308-0.0025603i,-0.00019954-0.0026333i,-0.0014785-0.0017059i,-0.0015233-0.0011966i,-0.00053409-0.00070494i,0.00060131+2.0595e-05i,0.00076018+0.0001963i,-0.000362+0.00039875i,-0.0012168+0.00096749i,-0.00094624+0.0011578i,-0.00074159+0.00094635i,-0.0007607+0.0002055i,6.49e-05-0.00034118i,0.00067101-0.00055396i,0.00069647-0.00038947i,0.0009484-0.00044085i,0.0012073-0.00070387i,0.001018-0.00053852i,0.00020696-0.00020782i,-0.00011454+3.6122e-05i,-0.00048178-0.00024039i
-0.0018583+0.0017519i,-0.00053741+0.0021302i,-2.9312e-05+0.0023559i,0.0010044+0.0019936i,0.0016368+0.00045649i,0.0012792-0.001436i,-0.00029611-0.0014482i,-0.0012148-0.00079924i,-0.00028824-0.0003907i,0.00023417-0.00016103i,-3.7792e-06+0.00018166i,-0.00013711+0.00040303i,0.0004964+3.314e-05i,0.00040082-5.5044e-05i,-0.00014578-9.9665e-05i,-4.3351e-05-0.00037125i,-0.00033927-0.00065i,-0.00072068-0.0010355i,-0.00041474-0.00055192i,-0.0010567-0.00020006i,-0.001332-1.5538e-05i,-0.00083911+0.0010229i,0.00044147+0.00096715i
0.0002304+0.001587i,0.0017514+0.002015i,0.0023693+0.0014749i,0.0017968+2.5037e-07i,0.0011396-0.0012477i,0.00024941-0.0017956i,-0.00032649-0.0016172i,0.00015128-0.00071762i,4.5174e-05+1.5786e-05i,-0.00060982+3.2708e-05i,-3.0294e-05+8.4721e-05i,-2.3844e-05+0.00037258i,-0.00089405+0.0003534i,-0.0010229+0.00061428i,-0.00096849+0.00072347i,-1.3732e-05+4.4539e-06i,0.00060279-0.00043275i,-0.00030481+0.0002243i,-0.00035775+0.00034473i,-5.2201e-05-1.4742e-05i,-0.00030962-0.00052886i,0.00011884-0.00024014i,-0.00017067+0.0003584i
7.612e-05+0.0013439i,-0.00077667+0.00072841i,-0.0013945+0.00083428i,-0.0012149+0.00044169i,-0.00083073-0.0010255i,-0.00048902-0.0020839i,-0.00029545-0.0017153i,-0.00056346-0.00072927i,-0.00046242-0.00046572i,-0.00065036-0.00034261i,-0.0013265+0.00015894i,-0.0011082+0.00042292i,-0.00053186+0.00086955i,-0.00022818+0.00060391i,0.00021984+0.00026404i,-4.9217e-05+0.00016416i,-0.00078461-0.00031598i,-0.00029768-0.00063125i,0.00085117-7.911e-05i,0.00095926+0.00058492i,0.00032988+0.00039751i,-0.00022797-0.00012202i,-0.00024681+0.00030152i
0.00085204+0.0011288i,0.00085469-0.00010247i,0.0010364-0.0014863i,0.00086987-0.0017991i,0.00042602-0.0022064i,-0.0004531-0.0026701i,-0.0011061-0.0021982i,-0.00038421-0.00086028i,0.0002566+3.0159e-05i,0.0003594-6.5344e-05i,9.5085e-05+0.00017254i,-0.00016902+0.00040734i,-0.00022931-5.1591e-05i,8.9094e-05-0.00032878i,-0.00017013-0.00023308i,-3.6264e-06-0.00018735i,0.00088104-0.00045474i,0.00053936-0.00014626i,-0.00080406+0.00061018i,-0.0017887+0.00061813i,-0.0013565+7.8963e-05i,-0.00043559-3.0603e-06i,-0.00043415-0.00027595i
-0.00091021+0.0034379i,0.00093431+0.0034455i,0.002387+0.003525i,0.0026723+0.0020253i,0.0020549+0.00085465i,0.00054981-0.00010085i,-0.00067517-0.0010174i,-0.00050029-0.0010114i,8.0864e-05-0.00050731i,0.00028047-0.00031347i,8.238e-06-0.00015582i,7.3171e-05+0.00021003i,0.00018598-0.00015019i,-0.00022951-0.0011971i,-0.00018336-0.0012042i,0.00032272-0.00041765i,3.2233e-05+0.00019802i,-0.00026018+0.00053136i,-0.00015+8.7482e-05i,0.00036874-0.00051642i,0.00052534+8.9546e-05i,0.00071684+0.00022839i,0.00079595+0.00015348i
-0.0011654+0.00089429i,-0.0016689+0.0013269i,-0.0014159+0.00037531i,-0.00088493+0.00066831i,-0.00086977+0.00046818i,-0.0011493-0.00089689i,-0.00079518-0.0016724i,0.0001077-0.00071063i,-0.00010625+0.00034848i,-0.0007162+0.0005761i,-0.00062687+0.00050275i,0.00031124-0.00010956i,0.00072333-0.00021179i,0.00062816+0.0003082i,0.00045345+0.00096747i,0.00027055+0.00094929i,-0.00017264+0.0011096i,-0.00025941+0.0014629i,0.00010065+0.00048757i,-0.00016626+0.00026542i,-0.00078851+0.00045366i,-0.00087055+0.00045417i,-0.00037155+0.00090642i
0.00032375-3.4449e-05i,0.00013666+0.00031433i,7.5022e-05+0.0016381i,3.0998e-05+0.00091505i,-0.00011751-0.00037146i,-0.00044508-0.00045517i,-0.00090495-0.00093861i,-0.0006589-0.00088828i,-0.00022185+0.00034633i,-0.00097645+0.00096866i,-9.6877e-05+0.00064121i,0.0010636+0.00096237i,0.00013778+0.00040305i,8.6016e-05-0.00050298i,0.00050517-0.00046142i,0.00010675-0.00024375i,-0.00017783+0.00028257i,-0.00029384+0.00022178i,2.5308e-05+0.00028291i,-3.1819e-05+0.00048268i,-0.0001154+0.00033167i,0.00040573-1.7205e-05i,5.114e-05-0.0001118i
-0.00050784+0.0016976i,0.00026145+0.00073175i,0.00083211-0.00058599i,0.00046926-0.0014257i,0.00057164-0.002594i,0.00016013-0.0029516i,-0.00011978-0.0018469i,0.00016309-0.00085837i,0.00013228-0.00048378i,-0.00048251+0.00033792i,-0.00091645+0.0010748i,-0.00052803+0.00040264i,3.5475e-05-0.00027563i,0.00023914-0.00025217i,0.00029076-0.00011226i,0.00037095+0.0005158i,-1.7047e-05+0.0010232i,-0.00053443+0.00090385i,-0.00036383+0.00035383i,-8.4752e-05+0.0005935i,-0.00024068+0.00054896i,-0.00010065-0.00065059i,0.00061534-0.0010266i
-0.0001907+0.0011086i,6.7636e-05+0.0015354i,0.0015544+0.0012698i,0.0027017+0.00062659i,0.0018741-7.2832e-05i,0.00051769-0.0007323i,-0.00045271-0.0010267i,-0.00097287-0.00069692i,-0.00061344-0.00068759i,0.00042376-0.00037463i,0.0012346+0.00051888i,0.00085088+0.00035611i,0.00021106-0.00048896i,-0.00036221-6.5149e-05i,-0.00075685+0.00046521i,2.5898e-05+0.00066857i,0.00052939+0.00048829i,0.00049876+8.9581e-05i,0.00087548+7.0096e-05i,0.001389-6.3433e-06i,0.00076528-0.0001004i,-0.00023014-0.00036449i,-0.00082114-0.00024624i
-0.00076521-0.00022004i,-0.0010478+0.0014903i,-0.0012981+0.0023135i,-0.00092658+0.0014326i,-0.00058671-4.5552e-06i,-0.00024198-0.00094417i,-0.00031562-0.0018327i,-0.00014777-0.0014048i,6.1329e-05-0.00045532i,0.0001663-7.7768e-05i,-0.00023906+0.00041939i,-0.00070956+0.00028737i,-8.7939e-05+0.00016061i,-0.00024634+0.0010539i,-0.00012429+0.0010079i,0.00034777+0.00059316i,6.0376e-06-2.8493e-05i,-0.00031893-0.00017494i,-8.7629e-05+0.00032329i,0.00074734+0.00025465i,0.00036263+0.00048245i,-0.00073719+0.0010869i,-0.0013532+0.00051061i
-0.00077957+0.00078309i,-0.00078414+0.0013091i,0.00027554+0.0012945i,0.0011111+0.00054415i,0.00090414-0.00011466i,-6.3897e-06-0.0013726i,-0.00075681-0.0011703i,-0.0014186-0.00063529i,-0.00054485-9.4914e-05i,0.00043889+0.00050801i,4.448e-05+0.00046056i,-0.00036146+0.00012383i,0.00035492-0.00020471i,0.00087369+0.00034736i,0.00056432+0.00096556i,0.00077894+0.00057209i,0.0013575+0.0001852i,0.0010089+0.00031641i,0.0001598+4.2439e-05i,0.00017365+0.0003227i,0.00023317+0.00029697i,-0.00038943-8.9527e-05i,-0.00047694-0.00033227i
-0.00064448+0.00028118i,-0.0013132+0.00026576i,-0.00060643-0.00082487i,-0.000527-0.0008555i,-0.00095947-0.0006741i,-0.00042416-0.0017151i,0.00010821-0.0020378i,-0.0002695-0.0011482i,-5.7355e-05-0.00084192i,-2.1564e-05-0.00027319i,-0.00051927-0.00017506i,0.00013022-0.00060849i,0.00088916-0.00080121i,0.00085881-0.00046451i,0.00050657+0.00023503i,-0.00010614+0.00057981i,2.3787e-05+0.00077018i,0.00068441+0.0005233i,0.00038346+0.00059753i,0.00018724+0.00091571i,0.00011344+0.00062507i,-0.00050151+0.00016201i,-0.00019425-0.0003351i
0.00082379+0.0012379i,0.0011374+0.0012353i,0.0020879+0.00094089i,0.0021622+0.00074403i,0.00097147+0.00025937i,-1.2006e-05-0.00082717i,-0.00031476-0.0011598i,-0.00094677-0.0007992i,-0.0012518-7.3087e-05i,-0.0011782-1.7027e-05i,-0.00051812+7.5948e-05i,0.00069696+0.00065137i,0.00078316+0.00068174i,0.00023755+0.00044212i,0.000214+0.001142i,-8.4826e-05+0.00091112i,-0.00042421+0.00037533i,-0.00097297+0.00019499i,-0.00098434+0.0002229i,-0.00052354+0.00044903i,-0.00058705+0.00056414i,-0.00063427+0.00087201i,-0.0010623+0.00054772i
-0.00011637+0.00054356i,-0.00096185+0.0012223i,-0.0013021+0.00044318i,-0.001861+0.00010288i,-0.0015192-0.0006908i,-0.00063587-0.0017511i,-0.00011882-0.001827i,-0.00017742-0.001272i,-0.00042232-0.0010647i,-0.00023143-0.00072335i,-0.00012631-2.4605e-05i,-0.0002309-0.00015117i,-0.00045594-0.00018273i,-0.00022408+0.00052763i,0.0002842+0.00085125i,0.00049024+0.00010416i,0.00086359+2.6574e-05i,0.00093304+0.00075429i,0.0010036+0.00039854i,0.00089378+1.8791e-05i,0.00052763+0.00087478i,0.00041875+0.0010573i,0.00011356+0.0001278i
0.00057826+0.0012716i,0.00047102+0.00094686i,0.0012759+0.00099339i,0.0008152+9.1677e-05i,7.255e-05-0.0016048i,-3.7765e-05-0.0024827i,-0.00071635-0.0024309i,-0.0013551-0.0017361i,-0.00080538-0.00072286i,8.8514e-05-0.00030464i,-0.00047233+3.429e-05i,-0.00088273+0.00017213i,-0.00060978+0.00014i,-0.0003041+0.00019445i,-0.00038728+5.8474e-05i,-0.00046014-0.0004957i,-0.00099692-0.00024215i,-0.00092133+0.00074201i,1.5447e-05+0.0010859i,0.00035152+0.00061572i,0.0004171+0.00036092i,0.00065082-0.00025184i,-7.6672e-06-0.00045448i
0.00082712+0.0016945i,0.0014251+0.001304i,0.00098242+0.0012176i,0.00011375+0.00099515i,-0.00032887-0.00029496i,-0.0003239-0.0009269i,-0.00054721-0.0003389i,-1.6901e-05+8.1276e-05i,0.00044056-0.00049349i,-0.00043184+3.1577e-05i,-0.00026659+0.0011661i,0.0011583+0.0010258i,0.0010683-0.00033212i,0.00032102-0.00040683i,0.00034432-5.3903e-05i,0.00067037-0.0003907i,0.00045178-0.0001982i,-6.9467e-05-0.00034277i,-0.00052899-0.00083581i,0.00034081-0.00083922i,0.0004245+0.00011202i,-0.00044651+0.00028139i,-6.209e-05-1.3613e-05i
-0.0010794+0.00086144i,-0.00051217+0.00099784i,0.00055524+7.6927e-05i,0.0011099-0.00046327i,0.00010103-0.00076632i,-0.00078571-0.0014889i,-0.0015053-0.0019504i,-0.0017506-0.0016492i,-0.0010405-0.00082069i,-0.00013661-0.00074267i,-3.5112e-05-0.00045845i,-0.00013111+0.00016801i,-0.0005287-5.2432e-05i,-0.00078889-0.00058285i,6.4338e-05-0.00027374i,0.0004799+0.00014408i,0.00074044+0.00024562i,0.00022355-0.00018475i,-0.00076592-0.00074452i,-0.00035458-0.00073567i,-0.00017379-0.00063593i,-0.00019736-0.00010696i,0.00013575-6.109e-05i
