-0.006809+0.00075237i,-0.0061676+0.00088556i,-0.0073318+0.00354i,-0.0060987+0.0044374i,-0.0032541+0.0046309i,-0.0011035+0.0032136i,0.00017194+0.0023117i,0.00012091+0.0028377i,0.00055894+0.0020124i,0.0016562+0.0019449i,0.0016239+0.0019542i,0.0016684+0.00022873i,0.00049521-0.0012535i,-0.00055368-0.0017946i,-0.00097879-0.00098237i,-0.0020369-0.00075571i,-0.0020644-0.00085327i,-0.0012276+1.3883e-05i,-0.00084796+0.00088171i,-0.00075165+0.00087075i,-0.0011242+0.00048341i,-0.001657+0.00042327i,-0.0011433+0.00041219i
0.00052383+0.0020668i,0.0018298+0.0021343i,0.0023276+0.0010289i,0.0017371-0.0004043i,0.0014891-0.0010739i,0.00072445-0.00072891i,-0.00030121+0.0004216i,-0.00068586+0.00096143i,-0.00086529+0.00050168i,-0.0013874-9.4239e-05i,-0.0019482-7.7809e-07i,-0.0016406-0.00048092i,-0.0014321-0.00082961i,-0.0014643-0.00066215i,-0.0010511-0.00068187i,-0.00051622-0.00066397i,-0.00025824-0.00040739i,-0.00074791-0.00085735i,-0.0015184-0.0012029i,-0.0011031-0.00045758i,-0.00092013-0.00036009i,-0.0009957-0.00095049i,2.3427e-05-0.00047904i
0.00081189+0.00022096i,2.9398e-05+0.0010755i,0.0011603+0.00036345i,0.0014752+7.1311e-05i,0.00023813-0.00011984i,-0.00049039-0.00067046i,-0.00034911+2.477e-05i,-0.00042345+0.0011673i,-0.00065689+0.0013516i,-0.0011821+0.00066619i,-0.0012025+0.00052926i,-0.0009358+0.00023231i,-0.0011926-0.00053501i,-0.0013981-9.5096e-05i,-0.0017482+0.00018042i,-0.0015312-2.9975e-05i,-0.00089616+8.7965e-05i,-0.00076315+0.0003335i,-0.0013588+0.00045257i,-0.0015199-0.00015044i,-0.00028264-0.0003503i,0.00066508+0.00014543i,0.00049003+0.00010459i
-0.00010041+0.00093351i,-0.00010743+0.0010333i,0.00056795+0.00082022i,0.0010976-8.2819e-08i,0.00053819-0.00064854i,0.00017834-7.2575e-05i,5.4748e-05+0.00051244i,-0.00036986-6.5002e-05i,-0.0014872-0.00081064i,-0.0014825-0.00031852i,-0.00063109+0.00035224i,-0.0006954+0.0007353i,-0.00073358+0.00051989i,-0.00078171+0.00019113i,-0.00079426-0.00027691i,6.125e-07-0.00059273i,5.4946e-05-0.00082962i,-0.00027855-0.00094409i,-0.00024409-0.0008416i,-0.00016648-0.00011977i,0.00032343+0.00039143i,0.00024258+0.00036649i,-0.00022167-0.00038633i
2.4073e-05-0.00089049i,0.00044057+0.00034778i,-0.00027328-0.00023955i,-0.0012767-0.00017639i,-0.0013096+0.00097903i,-0.00070317+0.0013615i,-0.00069321+0.0010616i,-0.0010759+0.000642i,-0.0010579+0.00053391i,-0.00051849+0.00052735i,-0.00085911+0.001303i,-0.00070597+0.0017574i,0.00046476+0.0016639i,0.00074166+0.0012384i,0.00024987+0.00067335i,0.00019303-6.6328e-05i,0.0001994-7.8152e-05i,2.4986e-06+0.00017046i,-2.4297e-05-0.00023655i,-0.00016026-0.00025407i,-0.00037719+0.00047302i,-0.00050341+0.00041811i,-0.00016234-0.00051803i
-0.00053925+0.00049667i,-0.0016672+0.00058017i,-0.0013593+0.00020388i,-0.00053246+0.0010942i,3.7561e-05+0.0012877i,0.0003318+0.00083425i,-0.00034168+0.00056803i,-0.00076431+6.0913e-05i,-0.00074971-0.00015868i,-0.00060204-8.3228e-05i,-7.6169e-05-4.1574e-05i,0.00083102+0.0003365i,0.00046417-1.981e-05i,-0.00026824-0.0010931i,-0.00032195-0.001409i,-0.00073371-0.0007078i,-0.0011051-2.8511e-06i,-0.0003087+0.00048106i,-3.4483e-05+0.00071186i,-0.00071706+0.00055394i,-0.00031954+0.00028817i,-0.00011314+0.00042653i,-0.00036806+0.00047903i
-0.00058934+0.00074797i,-0.00052987+0.00024441i,-0.00089678-0.00060435i,-0.0010408+0.00041913i,-0.00084002+0.0010527i,-0.00039749+0.00085i,-0.00050327+0.00060878i,-0.0008938+0.00083189i,-0.0011968+0.00060803i,-0.0013818-0.00034771i,-0.0012094-0.00094561i,-0.00076044-0.0011655i,-0.00040888-0.0011623i,-0.00062967-0.00091585i,-0.00062199-0.00094577i,-0.00028804-0.00082924i,7.1106e-05-0.00017689i,-8.0906e-05+1.134e-05i,-0.00061122+0.00010176i,-0.00075428+0.0004271i,-0.0007017+0.000365i,-0.00052967-9.5867e-05i,-0.00044441+9.3322e-05i
-0.0012019+0.0022983i,-0.00082528+0.0014446i,-0.0010818+0.001314i,0.00010888+0.00085719i,0.001079+0.00083293i,0.00016255+0.00038634i,-0.00081735+9.0949e-05i,-0.00069369+0.00051823i,-0.0009121+0.00058072i,-0.0013642+0.00031106i,-0.0015137-0.0003579i,-0.00041753-0.0014219i,0.00030093-0.0017654i,1.0295e-05-0.00075548i,-7.3998e-05+0.00060621i,-0.00049616+0.00092885i,-0.0006676+0.00048482i,-0.00028216+7.3495e-06i,-0.00013396-0.00065256i,-0.00046489-0.000991i,-0.00062376-0.00079375i,-0.0004008+1.0694e-05i,-0.00014936+0.00026913i
-0.0011589+1.7358e-05i,-0.0016443-0.00083651i,-0.0014991+0.00020052i,-0.00077334+0.00066482i,-0.00067239+0.00042469i,-0.00093303+0.00041793i,-0.00048237+0.00083335i,-0.00048188+0.0013226i,-0.0009244+0.00077396i,-0.00059996+0.00078384i,-4.9015e-05+0.00067548i,0.00033958+7.6471e-05i,-0.00022193-0.00012926i,-0.0011065+8.3774e-06i,-0.00091071+0.00012027i,-0.00057447+0.00020415i,-0.00035545+0.00017461i,0.00024616-0.00010495i,0.00041032+0.00052227i,-0.00048885+0.00091862i,-0.00076705-0.00063672i,-0.00026151-0.00086031i,0.00071607-0.00049298i
-0.00097223-0.00066698i,-0.00064263+7.9995e-05i,-0.0014903-0.00052746i,-0.0011522+0.00038693i,-0.00085387+0.0019889i,-0.0012426+0.0016522i,-0.0012395+0.00084061i,-0.00073839+0.0011893i,-0.00059467+0.0012863i,-0.00043048+0.00096444i,-0.00053477+0.00084808i,-0.00086034+0.00084366i,-0.00057745+0.00049442i,-0.0006248+0.0002156i,-0.00014464-0.00029176i,0.00061282-8.3066e-05i,-7.2397e-05+0.0001934i,-0.00082029-0.00046105i,-0.0011722-0.00024874i,-0.0012078+5.8251e-05i,-0.0009209-0.00011926i,-0.00051934-6.355e-05i,-0.0010589-0.00010894i
-0.0012002-0.0023003i,-0.00094998-0.00050364i,-0.0015124+0.0010137i,-0.00085257+0.00076688i,0.00030459+0.00035299i,0.00032261+0.00037062i,-0.00016702+0.0004374i,0.00027852+0.00035042i,0.00013379+0.0011611i,-0.00076411+0.0020888i,-0.00034202+0.0016573i,-0.000241+0.00072914i,-0.00060072-0.00035084i,-0.00051671-0.0007171i,-0.00098894-0.00056419i,-0.0014916-0.00071276i,-0.0013173-0.00088049i,-0.0013518-0.00052348i,-0.0013457+0.00039419i,-0.0012229+0.00078031i,-0.0015126+0.00035369i,-0.0017346+7.1869e-05i,-0.00087059+0.00010619i
-0.00082498-0.0004043i,0.00010827+0.00067577i,-0.00065914+0.0016228i,-0.0019154+0.0018912i,-0.0017613+0.001406i,-0.0015482+0.00014354i,-0.0012765-0.00073132i,-0.00068841-0.0007622i,-0.00046303+0.0001127i,-0.00073313+0.00065956i,-0.00082892-0.00029656i,-0.00027356-0.00023739i,-0.00051266-0.00070854i,-0.000717-0.0016379i,-0.00054867-0.00095621i,-3.7403e-05-0.00015235i,-0.00047083-8.483e-05i,-0.0015136+0.00023672i,-0.0016032+0.00072348i,-0.001616+0.000595i,-0.00033906+0.00059322i,0.00042611+0.0010216i,-0.00017088+0.0010694i
-0.00049134-0.0009592i,-0.00097113-0.00072729i,-0.0023008+9.7477e-06i,-0.0026261+0.00023163i,-0.0020152+0.00066782i,-0.0015934+0.0012688i,-0.001837+0.0013576i,-0.0015764+0.00097256i,-0.00079786+0.00019431i,-0.00066862+0.00039396i,-0.00080843+0.0005956i,-0.00079579+0.00057234i,-0.00061943-3.9464e-05i,-0.00046537-0.00041201i,-0.00029469-0.00036852i,-7.1092e-06-0.0001144i,-4.5058e-05+0.00050627i,0.00015654+7.0235e-06i,-0.00016807-0.00037713i,-0.0010762-0.00012323i,-0.001501-0.00049537i,-0.0011664-0.00021834i,-0.00054365+0.00031878i
0.0014272-0.0012491i,0.0010969-0.00077633i,0.00027056-0.00043577i,-0.00093857-0.00021081i,-0.0017131+0.00012389i,-0.001435-0.00017477i,-0.00064425-0.00051483i,-0.00048652+7.3735e-05i,-0.00049013+0.00062346i,-0.00082267+0.00090008i,-0.0014951+0.00080569i,-0.0018363+8.6835e-05i,-0.00095565-0.00011022i,-0.0010576+0.00017983i,-0.0014229-0.0003785i,-0.0004728-0.00088084i,0.00035481-0.00038096i,-6.0728e-05+0.00067075i,-0.00054112+8.7251e-05i,0.00021824-0.00046863i,0.00065958-6.9041e-05i,0.00027761-9.3424e-05i,0.00018251+4.7693e-05i
0.0022769-0.0023181i,0.0016486-0.0023885i,0.0014585-0.0029894i,0.0013384-0.0032646i,0.00045069-0.0022858i,-0.00053163-0.00058435i,-0.001469+0.00010398i,-0.0018381-0.00023577i,-0.00061744-0.00022989i,-0.00022497+0.00010918i,-7.7958e-05+0.00039222i,-6.0743e-05+0.00080753i,-0.00087309+0.00072348i,-0.00052605+0.00017568i,0.0007498+0.00011994i,0.00058798-0.00016951i,-7.4535e-05-0.00086568i,-6.9658e-05-0.0016106i,-0.00025355-0.0016142i,-0.00036808-0.00096977i,-0.00025836-5.5148e-05i,6.1375e-05+0.00030619i,0.00064008-0.00063008i
-0.0010632+0.00044742i,-0.0014813+0.0005802i,-0.00047899+0.0003783i,-0.00028399-0.0003578i,-0.00097397+0.00011793i,-0.00017283+0.00038455i,1.5591e-05-0.00019598i,-0.00081697+0.00026274i,-0.0010629+0.00056935i,-0.00087298+0.00039787i,-0.00097827+6.737e-05i,-0.0006777-0.00029202i,-1.7106e-05-0.00025003i,-0.00059235+0.00025126i,-0.0015611-4.3356e-05i,-0.0010967-0.001146i,-0.00034246-0.0015662i,-0.00028719-0.0010691i,-0.00021105-0.00013072i,-0.00032318+0.00038515i,-0.0010152+0.00059083i,-0.0010446-3.0297e-05i,-0.00016156-0.00042655i
-0.00019813-0.0010547i,0.00038101+0.00012977i,-0.00014409+0.00077261i,6.1799e-05+0.00085683i,0.00028141+0.00048027i,1.6099e-05+0.00026201i,-0.00036033+0.0003113i,-0.00080222+0.0008007i,-0.00089163+0.00086084i,-0.00049637-7.1225e-05i,-0.00034128+7.9913e-05i,-0.00034748+0.00030018i,-0.00032193+0.00041615i,-0.00026221+0.00043787i,-0.00048421-0.00032038i,-0.00089786-0.00068035i,-0.00099028-0.0010028i,-0.00084767-0.00067638i,-0.0006997+0.00053026i,4.0616e-05+0.00055799i,0.00043708+0.00072803i,1.3578e-06+0.0011502i,-8.3081e-06+0.00066338i
-0.00041411+0.0016387i,-4.4161e-05+0.0016816i,0.00052217+0.0025301i,0.00087844+0.0016734i,0.0009032+5.5135e-06i,0.00071542-0.00036601i,-1.6949e-05-8.3316e-05i,-0.00066425-0.00024806i,-0.00074082+0.000109i,-0.00041086+0.00052075i,0.00035022+0.0004766i,0.00045726+0.00051906i,-0.00051983+0.00041976i,-0.0011445-0.00020075i,-0.0013371-0.00075727i,-0.0012273-0.00092306i,-0.00070535-0.00052022i,-0.0010115-0.0001475i,-0.0015577+2.4898e-05i,-0.0013093+5.9095e-06i,-0.00062967-5.9429e-05i,-0.00068129+0.00026601i,-0.00043154+0.00040649i
0.0027682+0.0014889i,0.0019674+0.0015662i,0.0029363+0.0015092i,0.0031741+0.00027633i,0.0014174+0.00039994i,-0.0011459+0.00066867i,-0.001654+0.00051244i,-0.0010509+0.00065287i,-0.0010234+0.00056041i,-0.0006605+0.0011208i,0.00030624+0.0010671i,-0.00030156+0.00045589i,-0.0017506+6.3818e-05i,-0.0013947-0.00056223i,-0.00086679-0.00073864i,-0.00037659-0.0011809i,0.00031036-0.00088538i,0.00044419+0.0001505i,0.00035441+0.00022875i,-9.8552e-05+0.00049813i,-0.00049321+0.001153i,-0.00021579+0.001628i,3.3258e-06+0.00084881i
-0.0025831+0.00013681i,-0.0029342+0.0017889i,-0.0024044+0.0028571i,-0.00069519+0.0019255i,0.00075734+0.00083271i,0.0011571+0.00043899i,0.00073884+0.00055197i,-0.00061343+0.00055646i,-0.0011313+0.00062278i,-0.00072549+0.00053962i,1.0846e-05+1.2315e-06i,0.00077029-0.00095584i,0.00099731-0.0015752i,0.00044897-0.00065611i,-0.0007737-0.00067271i,-0.00064697-0.0008695i,-0.00015433-0.00030437i,0.00021168+3.3268e-05i,-0.00020082+0.0005057i,-0.0011554+0.00050577i,-0.00088058+0.00032719i,-0.00070408+0.00031357i,-0.0001201-0.00024893i
0.00011508-0.00054963i,0.00045927+0.00071931i,4.705e-05+0.00066806i,-0.00039955+0.00050853i,-0.00033057+6.0709e-05i,-0.00045803-0.00021171i,-0.0010111+0.00041275i,-0.00093974+0.00094423i,-0.0012981+0.00066538i,-0.0015788+0.00023741i,-0.001547+0.0005112i,-0.00084117+0.00031201i,0.00011477-0.00080757i,0.0001896-0.00085067i,-0.00078625-0.00029608i,-0.0011327-0.00069332i,-0.00041604-0.00098058i,7.5726e-05-0.00028018i,-0.0002524+0.00097765i,-0.00075061+0.00090806i,-0.0010048+0.0002316i,-0.0013951+1.8091e-05i,-0.0010495-0.00028871i
-0.00055476+0.00028938i,-0.0012695+0.00094393i,-0.0014601+0.0012791i,0.00023199-3.9956e-05i,0.001355-0.00099772i,0.00051651-0.0012018i,-0.00042353-0.00036494i,-0.00050289+0.00074763i,0.00025921+0.0012522i,0.00056151+0.0003186i,0.00042025-2.8458e-05i,0.00061021-0.00011885i,0.0002776-0.0010358i,-0.00050206-0.00034181i,-0.00080918+0.00010437i,-0.00030767-0.00072488i,0.00048329-0.00099018i,0.0006721-0.00074325i,0.00023413+5.9764e-05i,-0.00033047+0.00016495i,-0.00047432-0.0005912i,-0.00067263-0.00054681i,-0.00022085+9.3111e-05i
-0.0022937-0.00072852i,-0.0016238-0.000253i,-0.0020577+0.00073185i,-0.0017893+0.0019263i,-0.00035684+0.0019863i,-0.00034605+0.00058333i,-0.0012245+4.6666e-05i,-0.0013265+0.00042766i,-0.0014349+0.00049257i,-0.0016323+0.00038726i,-0.00077874+0.0011917i,0.0002092+0.00094552i,0.00019741-0.000481i,-0.00034494-0.0013403i,-0.0010187-0.0012808i,-0.0011944-0.00057883i,-0.00063144-0.00077844i,-0.00046967-0.0011906i,-0.00079887-0.0012222i,-0.00049171-0.00070173i,-0.00019337+0.0002493i,9.6729e-06+0.00088835i,-2.1987e-05+0.0007227i
0.0010301+0.00089512i,0.00060317+0.00069653i,0.00044504+0.0010334i,0.00078774+0.00053828i,0.0007212-0.0006744i,-0.00049033-0.00098765i,-0.0012943-0.00010884i,-0.00071371+0.00095205i,-0.00079725+0.0011374i,-0.0006454+0.00058646i,0.00018365+1.3605e-05i,-0.00047852-0.00011362i,-0.0018513-0.00020796i,-0.0015073-0.00064751i,-0.00025845-0.00067934i,-9.7597e-05-0.00061489i,-0.00082723-0.0010248i,-0.0010885-0.00037104i,-0.00086141+0.00069133i,-0.00058613+0.00065678i,-0.00085727+9.8799e-05i,-0.00097904+0.00042619i,-0.00014558+0.0010702i
-7.4341e-05-0.00072038i,0.00022809+6.4016e-05i,-0.00026274-4.3868e-05i,-0.0011855-0.00031021i,-0.0010897-0.00076334i,-0.00084687-0.00050965i,-0.0011847+0.00051283i,-0.00093365+0.00051643i,-0.00097264+0.00010778i,-0.0012481+0.00011615i,-0.00051988+0.0005668i,2.0198e-05+0.00057096i,0.00042351-0.00022267i,0.00034816-0.00059035i,-0.00038858-0.00052069i,-0.0010398-0.00065084i,-0.00091607-0.001038i,-0.00040893-0.00063328i,-0.00046209-0.00021081i,-0.00068934-0.00026768i,-0.00072469-3.7005e-05i,-0.00048746+0.0004217i,-0.00059228+4.2467e-05i
0.00037116+0.0026956i,0.00075331+0.0022656i,0.0016264+0.0014409i,0.0026343-0.00053252i,0.0019679-0.0015292i,0.00059305-0.0016284i,7.5103e-05-0.00043092i,-0.00036441+0.0003755i,-0.00025071+0.00056196i,-0.00073795+0.00021195i,-0.0013649-7.3863e-05i,-0.0014965-8.4559e-05i,-0.0015463-0.00011955i,-0.00086383+7.6017e-05i,-0.00039976-0.00018874i,-0.00037651+0.00017857i,-0.00083464+0.00090416i,-0.00088127+0.00057187i,-0.00045638+0.00039196i,-0.0004646+0.00065721i,0.00018167+0.0007489i,0.0012847+0.00019628i,0.00077172-0.00041398i
0.00031312-0.0011829i,-4.7918e-06-0.00063058i,-0.00017003-0.0010358i,-0.0007932-0.001845i,-0.0011738-0.0012303i,-0.00015921-0.00028101i,0.00028337+0.00054853i,-0.00021529+0.00057256i,-0.00084549-0.00077865i,-0.0012582-0.00062307i,-0.00076806-0.00067859i,0.00026583-0.00056387i,0.00031753+0.00037523i,-1.1823e-05-0.00013452i,-0.00021078-0.00020884i,-0.00043331-3.0692e-05i,-5.3493e-05-0.00053268i,-0.0001693-0.0010455i,-0.00080826-0.00058207i,-0.001183-0.00010073i,-0.00033916-0.0001735i,0.00011708-0.00035055i,0.00018202-0.00023458i
0.0002764+0.0019587i,0.00091163+0.0014837i,0.002258+0.0011869i,0.0026042+0.000957i,0.001225-0.00023931i,-0.00033257-0.0017512i,-0.0010095-0.0011692i,-0.0010945+0.00015961i,-0.00083087+0.00032156i,-0.00081997-0.00046564i,-0.0008512-0.00075437i,-0.00044439+1.4762e-05i,-0.00019468+0.00066429i,-0.00099864+0.00077246i,-0.00083151+0.00067277i,3.6938e-05+0.00065252i,6.9171e-05+0.00061167i,0.00019788+6.3357e-05i,8.5392e-05-0.00028215i,-0.0002769-0.00044455i,-0.00012028-0.00040214i,-0.0002587+0.00024105i,-0.00061477-0.00041194i
-0.00071599-0.0014714i,-0.0011615-0.0021611i,-0.00082927-0.0016719i,-3.646e-05-0.00023783i,0.00018708+0.0008865i,0.00032865+0.00062627i,0.0002152+0.00011069i,-0.00041469+0.00049924i,-0.00083364+0.0013233i,-0.0010116+0.00092197i,-0.0007365-0.0001315i,-1.8801e-05-0.00029174i,0.00015233-0.00015621i,0.0004497-0.00049917i,0.00050523-0.0012259i,1.2957e-05-0.0015184i,-3.9147e-05-0.001575i,9.3573e-05-0.0015861i,-0.00017646-0.0012978i,-0.00026821-5.1491e-05i,3.1178e-05+0.00093486i,0.00028708+0.00077883i,0.00025194+0.00013802i
-0.00097832-0.00013163i,-0.0013151-0.00011847i,-0.0012832-0.00033393i,-0.0014653-0.00087428i,-0.0015527-0.00099128i,-0.0011875-0.00014815i,-0.00064645-4.2889e-05i,-0.00052106-0.00052284i,-0.00060369-0.00080823i,-0.00074874-0.00014075i,-0.00015802+0.0008015i,0.0011134+0.00083434i,0.0015001+0.00010868i,0.0014248-0.00028517i,0.0003883-0.00094516i,-0.0012068-0.0013941i,-0.0013789-0.001812i,-0.0010272-0.0018565i,-0.00091168-0.00090847i,-0.00075442-0.00047522i,-0.00084505-0.00085366i,-0.00051655-0.000235i,-0.00052316+0.00066378i
0.00024148-0.0008007i,0.00022759-0.00016567i,-0.00057562+0.00079844i,-0.00019101+0.001432i,4.2981e-05+0.00073959i,-0.00014537-0.000654i,-0.00056716-0.0013863i,-0.0008312-0.00034991i,-0.0016633+0.00104i,-0.0022192+0.0013022i,-0.0011333+0.0012657i,-0.00074634+0.00038137i,-0.00048225-0.00049602i,-4.8739e-05-0.0006694i,-0.00013027-0.00089894i,-0.00060175-0.00042524i,-0.00076657-0.00064268i,-0.0011768-0.00099706i,-0.0018206-0.00043863i,-0.0015882+0.00018985i,-0.0013167+6.2303e-05i,-0.00063064+1.2882e-05i,-0.00051129+0.00021391i
0.00098948-0.00082296i,0.00069503-0.001381i,2.3485e-05-0.002291i,-0.0018681-0.0022956i,-0.0032971-0.0010177i,-0.0029699+3.1284e-05i,-0.0020864+0.00011979i,-0.0011531-4.4968e-05i,-0.0001713-0.00021793i,0.00012004+0.00011781i,0.00016076+0.00071971i,0.00076163+0.00056291i,0.0003223+0.00013693i,-0.00028897-0.00029465i,-3.1371e-05-0.00060697i,8.7723e-05-0.00092235i,-0.00046585-0.00098929i,-0.001193-0.0001945i,-0.001206-2.2671e-05i,-0.00075677-0.00078963i,-0.00013587-0.00083268i,0.00045072-0.00021434i,0.00023075+0.00049121i
-0.0020628-0.0010634i,-0.0025641+0.00030255i,-0.0023157+0.0014268i,-0.0013895+0.002163i,-0.00045934+0.0024877i,-0.0002694+0.0019704i,-0.00055187+0.0014291i,-0.00089779+0.0018873i,-0.0011071+0.0018185i,-6.4304e-05+0.0015973i,0.00097809+0.00098834i,0.0011455-0.00037473i,0.00049474-0.0013364i,3.7088e-05-0.0011709i,-7.5302e-05-0.00083939i,-0.00020348-0.00068897i,-0.00041314-0.00026193i,-0.00074989-0.00012435i,-0.0011059+0.00011017i,-0.00075143+0.00068686i,-0.00064635+0.00069267i,-0.0013357+0.00014516i,-0.00094743-7.9466e-05i
0.00099543-0.00024899i,0.0017881-0.00045686i,0.0021624-0.00095163i,0.0015842-0.0019359i,0.00027686-0.00205i,0.00025867-0.00071158i,0.00062412+0.00041776i,0.00042726+0.0011417i,-3.1452e-05+0.0012402i,-0.00032767+0.00089578i,-0.00064436+0.00046756i,-0.00054765-0.0005673i,-0.00066832-0.00052091i,-0.0003304-0.00024134i,4.9235e-05-1.7566e-05i,-0.0002679+9.9079e-05i,-0.00027911+0.00015423i,-0.00059369-0.00057225i,-0.00080512-0.0011626i,2.9181e-05-0.00068848i,0.00047876-0.00049258i,0.00012148-0.00089782i,5.6981e-05-0.0013256i
0.00045439-0.0007783i,-0.00048205-0.00063165i,-0.0014576-0.00035676i,-0.0017619+0.00011551i,-0.0015915+0.0007048i,-0.0010681+0.00042051i,-0.00046744-0.00046989i,-0.00074187-2.7364e-05i,-0.0012036+0.00070517i,-0.0018753+0.00061859i,-0.0020686+0.00051856i,-0.0011052+0.00052233i,-0.0006851+0.001083i,-0.00087479+0.00076807i,-0.00048988-0.00084852i,-0.00045933-0.0011891i,-0.0011016-0.0009753i,-0.00060835-0.00071658i,-0.00078174-0.00069076i,-0.0016641-0.00084797i,-0.00068294-0.00077828i,0.00014651-0.00058596i,7.5462e-05-1.0611e-05i
-0.0011979+0.0010485i,-0.0012174+0.0011286i,0.0005998+0.00054244i,0.0019919+0.00010405i,0.0010051+0.00024291i,-0.00056722-0.00023574i,-0.00081415-7.9614e-05i,-0.00073137+0.00095175i,-0.00096209+0.00054296i,-0.00067132-0.00019962i,-0.00063203+0.00029546i,-0.00076868+0.00047665i,-0.00039041+7.3488e-05i,-0.00077533+3.7853e-05i,-0.00096132+0.00019424i,-0.00033074+6.371e-05i,-0.00011249-0.00043856i,-0.00035582-0.0010119i,-0.00052175-0.00078132i,-0.0010891-2.976e-06i,-0.0013567+2.5445e-05i,-0.00081664-2.5354e-05i,2.4107e-05+8.2055e-05i
0.00035892-0.0011004i,0.00034293-0.0011053i,0.00024481-0.0017597i,-0.00037684-0.00089188i,-0.0011076+0.00023724i,-0.0013879-8.2205e-06i,-0.0011082-0.00056942i,-0.00063185-0.00030387i,-0.00048617-0.00034319i,-0.00075644-0.00016605i,-0.0011137+0.00096828i,-0.0016489+0.0010756i,-0.0011664+0.00021367i,-0.00010736+0.00017495i,8.4475e-05+7.8712e-05i,-0.00036007-0.00036348i,-0.0003838-0.0003569i,-0.00054003-0.00062768i,-0.00075362-0.00054353i,-0.00021183+6.2146e-05i,1.5426e-05-0.00068979i,-0.00012647-0.00077454i,0.00046156+3.609e-05i
-0.0003539-0.00092948i,-0.00074133+5.3041e-05i,-0.00017519-0.00044027i,-9.939e-05-0.00040316i,-0.0007014+7.7294e-05i,-0.00093601-6.7286e-05i,-0.00084119-0.00027285i,-0.0016921-0.00030332i,-0.0016908+4.82e-05i,-0.0010126+0.0006711i,-0.00075526+0.0014046i,-0.0003721+0.0013929i,-0.00038743+0.00028529i,0.00013054-0.0014737i,0.00047673-0.0015697i,-2.9437e-07-0.00054374i,-0.00086018+6.2753e-05i,-0.0016-0.00061327i,-0.0011763-0.0010643i,3.2047e-05-0.00037185i,1.1611e-05+0.00041223i,-0.00089878+0.00015626i,-0.0010633+0.00026682i
-0.0011756+0.00097196i,-0.0002178+0.00058076i,-0.00087295+0.00076272i,-0.0007491+0.00033596i,0.00019001-5.056e-06i,-0.00025083+6.5483e-05i,-0.001017+0.00059453i,-0.00098601+0.00078162i,-0.0010991+0.00094222i,-0.0010231+0.0012396i,-0.00016885+0.00088879i,7.6858e-05+0.00032662i,-0.0013008-0.0010011i,-0.0016655-0.0013911i,-0.00089202-0.0010294i,-0.00053071-0.0007502i,-0.00048756-0.00038844i,-9.8018e-06-0.00064898i,0.00033193-0.00060063i,0.00051118-0.00048422i,0.00061635-0.00068652i,0.00015187-0.0012109i,-0.00018838-0.0011938i
-5.9367e-05+0.00015584i,-0.00033835+0.0003645i,0.0006096+0.0014591i,0.0011243+0.0018921i,0.00082842+0.00055143i,0.00064348-0.00083989i,0.00049919-0.00077348i,-0.00016783-2.2033e-05i,-0.00062129+0.00026152i,-0.0009698-3.3407e-05i,-0.0010707-0.00017173i,-0.0006061-0.00020018i,-0.00027641-0.00092456i,9.9589e-05-0.00063975i,5.4905e-05+0.00029371i,-0.00082476-8.7126e-05i,-0.0015741-0.0002706i,-0.00078332+0.00017941i,-0.00034839+0.00077308i,1.1362e-05+0.0013549i,0.00017543+0.00073816i,-0.00012113+0.00054722i,0.00033314+0.00043343i
0.0010089+0.00035645i,0.00062107+0.00050136i,0.00021454-0.0011723i,-2.7314e-05-0.0019432i,-0.00072952-0.0010533i,-0.0014238-0.00064251i,-0.00090128+0.00014724i,-0.00048294+0.0004142i,-0.0011557+0.00045032i,-0.0015379+8.9543e-05i,-0.0014698-0.00068881i,-0.0012619-0.00059022i,-0.0010835-5.7745e-05i,-0.00083128+1.0207e-05i,8.1208e-05-0.00053553i,0.00046319-0.00077351i,-4.3742e-05-0.00067532i,-0.00027943-0.0010098i,-0.00031193-0.0012139i,0.00015734-0.00059324i,-8.8662e-05-0.00019921i,-0.00032933-7.2127e-05i,0.00040985-6.8349e-05i
-0.001864-0.0031226i,-0.0024344-0.0020191i,-0.0034863-0.00086957i,-0.0037755+0.00065229i,-0.00295+0.0012565i,-0.0015121+0.00072013i,-0.00097329+0.00092809i,-0.0010412+0.0017257i,-0.0011058+0.0015882i,-0.00099589+0.0013709i,-0.00042087+0.0014021i,-0.00012076+0.00092439i,5.825e-05-0.00025229i,0.00050723-0.00097903i,0.00094806-0.00024504i,0.00046965+0.00015593i,-0.00033745-0.00066265i,-0.00060885-0.0010891i,-0.0012314-0.00091185i,-0.0018506-5.8416e-05i,-0.0011999+0.00059187i,-0.00069672+0.00044719i,-0.00085281-0.00026299i
-0.00041378-0.00055856i,0.00066353-0.00045734i,0.001023+0.00068802i,0.0008599+0.0015015i,0.00017627+0.0020943i,-0.00056315+0.0012929i,-0.00014277-0.00043576i,8.8587e-05-0.000326i,-0.00039842+0.00030242i,-0.00046951+0.00076911i,-0.00029866+0.0010432i,-6.2697e-05+0.00052365i,4.8118e-06-6.5969e-06i,-7.5416e-05-0.00031637i,7.2485e-05-0.00022754i,0.00034193-5.3695e-05i,0.00026457-0.00070879i,-0.00027166-0.001167i,-0.00041346-0.00058117i,-0.0009697+0.00031842i,-0.0014852+0.0007218i,-0.00069368+0.0009259i,0.00035088+0.0002055i
