-0.0032967+0.0009075i,-0.0021857+4.502e-05i,-0.0025073+0.00064835i,-0.002159+0.0014466i,-0.0012053+0.0017893i,-0.00054376+0.0011149i,-0.00058279+0.00072523i,-0.00085468+0.0017337i,0.00036475+0.0016935i,0.0024187+0.00019965i,0.0018923-0.0013062i,6.2392e-05-0.0018017i,0.00035707-0.0018236i,0.0010897-0.0018167i,0.00057194-0.0011142i,0.00015304-0.00069761i,0.00018269-0.00040169i,0.00044561+0.00027084i,0.00069112+0.00059354i,0.00056107+4.2685e-05i,0.00074607-0.00021354i,0.00042573-1.0411e-05i,-0.00045592-0.00016446i
0.0015978+0.00093553i,0.0011165+0.00089972i,0.0022967-0.00051108i,0.0021579-0.0012167i,0.0015427-0.0010957i,0.00093256-0.0014469i,0.0010084-0.0018427i,0.00095449-0.00077499i,0.00071795-0.00022157i,0.00068707-0.0013706i,-0.00039525-0.0018981i,-0.0010375-0.0012013i,-0.00019997-0.0004773i,0.0004658-0.00022065i,0.0006103+0.00039544i,0.0010127+0.00053391i,0.00057262+0.00044924i,0.00023529+7.4061e-05i,0.0013446-0.0001057i,0.0019557+0.00045328i,0.0013087+0.00016423i,0.00084916-0.00040576i,-3.7677e-05-3.5177e-05i
0.0017165+0.0007332i,0.0011186+0.00026009i,0.0012653-0.00077625i,0.0017385-0.0021641i,0.001278-0.0023646i,0.00052175-0.0023247i,-0.00021663-0.0028167i,-0.0002831-0.0024564i,0.00061599-0.0013022i,0.0013638-0.00019294i,0.00099685-0.0002176i,-2.1308e-05-0.00093225i,5.5854e-05-0.00060976i,0.00065319-0.00034729i,0.00061757-0.00058211i,0.00060523-0.00027535i,1.1755e-05+0.00052159i,-0.0001573+0.00079801i,0.00075014+0.00031696i,0.00094299-0.00050067i,0.00066207-0.00049407i,8.8584e-05+4.27e-05i,0.00032838+0.00010772i
-5.5523e-05+4.1878e-05i,-0.0007952-0.00064433i,-0.00059168-0.0012727i,-0.00037324-0.0013319i,-0.00075877-0.0018912i,-0.00047166-0.0022601i,0.00096539-0.0013478i,0.00098054-0.00033821i,-0.00028775+0.00011006i,-0.0001108-0.00024947i,0.00050777-0.0010423i,0.00036306-0.00051828i,0.000664+2.4419e-05i,0.0010532+0.00026333i,0.00090907+0.00060973i,0.0001146-0.00028224i,-0.0001786-0.00082397i,0.0004026-0.00019181i,0.00080529+0.00032978i,0.0010826+0.00034707i,0.0013644+0.00021404i,0.00088044-0.00014297i,-0.00011329-0.00021606i
-0.00089287-0.00015001i,-0.0005662-0.0013151i,-0.00047087-0.0014272i,2.587e-05-0.00025689i,0.00073178+0.00067283i,0.00028901+0.00042645i,-0.00012289-0.00026092i,-1.6236e-05-3.4088e-05i,2.7163e-05+0.00045359i,0.00037969-0.00019365i,0.0014246-0.00066997i,0.0013041-7.9629e-05i,0.00052041+0.00078886i,0.00070086+0.00028947i,0.0010717-0.0004777i,0.00041174-0.00028998i,-0.00015873-0.00038654i,2.1858e-05+9.5399e-05i,0.00044676+0.0002858i,0.00078022+0.00034478i,0.00057096+0.00035254i,0.00038139-4.8954e-05i,-2.8567e-05-0.00024295i
0.0006365+0.00012081i,0.0014652-0.00027338i,0.00094751-0.00064309i,0.0001813-0.00078615i,0.00036772-0.0012604i,-0.00019218-0.0022033i,-0.0012676-0.0018032i,-0.0014352-0.0010709i,-0.00087045-0.00080548i,-0.00035434-0.0011757i,-0.00046085-0.0012554i,-0.00048147-0.0010711i,0.00040751-0.00028913i,0.00091665-0.00016345i,0.00058618-0.00019096i,0.00027807-0.00017252i,0.00055969-0.00051343i,0.000683-0.00024224i,0.00023688+0.00079331i,-0.00077901+0.00084687i,-0.0010028+0.00048652i,-0.00015999+0.00027894i,-0.00010919+0.00071263i
-0.00011813+0.0011708i,-0.00044515+0.0015881i,0.00036233+0.0009272i,0.0018147-9.8219e-05i,0.0027509-0.0014651i,0.0012905-0.0012515i,-0.00020763-0.00058023i,0.00028488+0.00023424i,0.0015334+0.00087467i,0.0021314+0.00015194i,0.001745-0.00071694i,0.00053404-0.00064221i,-0.00072204-2.4176e-05i,-0.00098202+0.00013026i,-0.00035464-0.00035119i,-8.6969e-05-0.00035289i,8.731e-05+0.00047066i,0.00030285+0.00095919i,0.00045954+0.00074319i,0.00049473+0.00088249i,0.00056507+0.0010357i,-4.2061e-05-0.00055418i,-0.00054092-0.001447i
0.0012181-0.00041155i,0.001698-0.00098147i,0.0014059-0.0012876i,0.00039947-0.0011175i,-0.00051921-0.0010074i,-0.00048896-0.001537i,2.104e-05-0.001308i,0.00054191-0.00051369i,0.00071214-0.00027129i,0.00079878-0.00035696i,0.0011547-0.0010195i,0.00046911-0.00043294i,-0.00016684+0.0007303i,0.00040547+0.00030214i,0.0014052-0.00020564i,0.00090476-0.00021659i,0.00071723-2.3673e-05i,0.0013456+0.000367i,0.0012913+0.00043849i,0.00078943+0.00053239i,0.0007064+0.00030312i,0.00015692-0.00035261i,-0.00026267+0.00056853i
-7.2488e-05+0.00092691i,-0.00026124+0.00096846i,-0.0003366+0.0012088i,-0.00018834+0.00098452i,-0.00032957+8.2417e-05i,0.00022029-0.0019824i,0.0007644-0.0019196i,0.00052763-0.000198i,0.00059307+0.0008868i,0.00091399+0.00044758i,9.3177e-05-8.1069e-05i,-0.0011619-0.00025386i,-0.0011184-0.00075037i,-0.00022965-0.00081689i,0.00055261-0.00068233i,0.0004202-0.00059569i,-0.00029866-0.00029704i,0.00019503+0.00038539i,0.00051891+0.00031371i,0.00062194+9.5169e-05i,0.00028148+0.00048779i,-0.00016886+0.00047669i,-0.00041805+0.00057347i
-0.00074489+0.00044723i,-0.00011545-0.00021638i,0.00031006-0.00057705i,-0.00010608+8.9697e-05i,0.0001691+0.00031186i,0.0010557-0.00049795i,0.00074111-0.0013546i,0.00017726-0.0012085i,3.6258e-05-0.00033053i,0.00055737+0.00032206i,0.00019472+0.00036812i,0.00023243+0.00027296i,0.00076231-0.00011775i,0.00093261-0.00060489i,0.00033309-0.00052926i,3.596e-05-0.00050352i,0.00037572-0.00038595i,0.00084967-0.00015628i,0.00066273-0.00046574i,4.7945e-06-0.00023525i,0.00019078-0.00031357i,0.00032541-0.0010712i,0.00053125-0.0015366i
-4.3343e-05-0.0012296i,1.8845e-05-0.0010482i,-0.0011997-0.0010838i,-0.0010703-0.001014i,-0.00047502-0.00019078i,0.00016052+0.0007775i,0.00065137+0.00043212i,0.0010836-0.00043139i,0.0013844-0.00082068i,0.00090694-0.0010028i,0.00033879-0.0014923i,2.0049e-05-0.0011213i,-0.00032444+0.00023133i,-2.3987e-05+9.6588e-05i,8.6618e-06-0.00089393i,-0.0001828-0.001353i,-0.0001711-0.00020267i,4.6684e-05+0.00055756i,0.00016905-0.00015424i,-0.00018079+9.342e-05i,-0.00051988+0.00036694i,-0.00091677+0.00023221i,-0.0016254+7.2177e-05i
0.0024636-0.0026493i,0.0019415-0.0020704i,0.0014435-0.0018855i,-0.00079649-0.001858i,-0.0014104-0.0017046i,-0.00033591-0.0010359i,-3.9791e-05-0.0002143i,-0.00015767+0.00013024i,0.00015369+2.3928e-05i,0.00026934+0.00011136i,3.2268e-05-0.00034524i,0.00027884-0.00098798i,0.00045912-0.00026526i,0.00022382-0.00016109i,0.00015398-0.00065962i,-1.4957e-05-0.00035308i,0.00067625+0.00014891i,0.0012417+0.00047352i,0.00065214+0.00016988i,0.00030483-0.00054011i,-0.00013471-0.0010836i,-0.00082333-0.0012895i,-0.00063079-0.00069615i
0.00059573+4.0026e-05i,-8.4724e-05-6.4041e-05i,0.00016162+0.00014124i,0.00045776-0.00060632i,0.00069956-0.0017225i,0.00064859-0.0026407i,8.3871e-05-0.0021228i,-0.00081272-0.00093975i,-0.00017293-0.0001176i,0.0011769-0.00018682i,0.00081913-0.00078688i,-0.00019137-0.00076696i,-0.00019633-0.00017942i,0.00010473+0.00013586i,5.9384e-05-0.00036626i,-0.00027352-0.00035939i,-0.00041775+0.0002922i,-0.0005905+0.00029385i,-0.00042408+0.00039335i,0.00057834+0.00037532i,0.00086433+0.00030387i,0.00035603-0.00015553i,-0.00024546-0.00041823i
0.0020782-4.762e-05i,0.0017518-4.9226e-05i,0.0019708-0.00083545i,0.0016946-0.0020363i,0.00096994-0.0031005i,-0.00011844-0.0027408i,-0.00071246-0.0014485i,-0.00013612-0.00088857i,0.00114-0.0010579i,0.0012253-0.0012095i,0.00058177-0.0011978i,0.00054905-0.0010178i,0.00099278-0.00058495i,0.0014624-0.00021257i,0.001364-0.00016867i,0.00089953-0.00034306i,0.0011792-0.0004145i,0.00099966-0.00018673i,0.00090047-0.00031119i,0.0010949+0.00024763i,0.0012729+0.00071075i,0.00088378-0.00025678i,0.00031411-0.00098148i
-0.00065677+0.0027837i,-0.00042695+0.0027702i,-0.00013288+0.002002i,0.00056891+0.00098079i,0.0011775+0.00043919i,0.00025257-0.00072221i,-0.00059703-0.0010029i,-0.00095996+7.3357e-05i,-3.5923e-05+0.00053269i,0.0011287+2.4185e-05i,0.00034313-0.0010736i,-0.00058637-0.0012752i,-0.0004481-0.00047634i,-9.3269e-05-0.00015071i,0.00040753-0.00035414i,0.0010697-0.00071006i,0.00070964-0.00095082i,9.3177e-05-0.00085637i,0.00047086-0.00055255i,0.00014938+9.266e-05i,-0.00036299+0.00051074i,-1.8958e-07+5.2341e-05i,0.00013+4.6716e-05i
-0.0007987-0.0007553i,-0.00065939-0.00077024i,-0.00061801+0.00028841i,-0.00022825+0.00022709i,0.00064333-0.00040801i,0.00041053-0.0010383i,-1.0553e-05-0.0016566i,0.00024928-0.001497i,0.0010554-0.00076642i,0.0017848-0.00012024i,0.0010101-0.00071799i,0.00022198-0.0014371i,-2.5247e-05-0.00096043i,0.00013685-0.00071022i,0.00054723-0.00072347i,0.00026019-0.00027744i,-4.9024e-05-0.00022607i,2.9211e-05-8.6821e-05i,0.00078242+0.00073302i,0.0012158+0.001147i,0.00074357+0.00046043i,0.00035665-0.00013597i,-0.00039967-0.00040979i
-0.0017208+0.0011651i,-0.0016387+0.001374i,-0.0013457+0.0012595i,-0.00095673+0.00028049i,-0.00051962-0.00086257i,7.0387e-05-0.0014261i,0.00039911-0.0018948i,0.00040341-0.0011284i,0.00041676+0.00050224i,-9.1769e-05-0.00011657i,-0.00038946-0.0013932i,-0.00028294-0.00059399i,6.8642e-05-0.00030723i,0.00082714-0.0006797i,0.00098576-0.0011692i,0.0011639-0.0013596i,0.001505-0.00049033i,0.0011145+0.00073861i,0.00027276+0.00089831i,-0.00035459+0.00029657i,-0.00040376+3.8041e-05i,0.00012066-0.00050181i,0.0007506-0.00079467i
0.00070182-0.00079184i,0.00067702-0.0019226i,0.0016695-0.0020707i,0.001073-0.0017861i,0.00059171-0.0017104i,0.00034955-0.002007i,0.0003204-0.0018177i,0.00052529-0.00049542i,0.00084996+0.00087641i,0.0014316+0.0012957i,0.0008899+0.00013005i,-0.00024168-0.00045408i,-0.00029943+0.00012845i,0.00020904+0.00039657i,0.00072453-0.00023946i,0.00066475-0.00041843i,0.00060104+0.00017701i,0.00072171+0.00021121i,0.00076097+0.00017807i,0.00092458-0.000197i,0.00095985+1.2336e-05i,0.0002072+0.00037606i,-4.8522e-05+3.1272e-05i
0.00090212+0.00025466i,0.0001496+0.00039107i,0.00047069-0.0010304i,0.0011014-0.0013159i,0.00091767-0.0016237i,0.00042976-0.0018762i,-0.00050922-0.0013813i,-0.00022339-0.0012464i,0.00047858-0.00058662i,0.00061639-0.00039962i,0.00050164-0.0012747i,0.00027301-0.00097308i,0.00016387-0.00014523i,-0.00017608-6.1545e-05i,0.00027512-0.00029867i,0.0014411-0.0010719i,0.001368-0.0010698i,0.00069309-0.00024687i,0.0009547+0.00055908i,0.00057145+0.00095449i,-0.00042438+0.00046091i,-0.00071685-0.00013143i,-0.0003805-0.00012023i
-0.002109+0.00043032i,-0.00083099-0.00052252i,0.00022052+0.00046242i,-0.00014129+0.0014752i,-0.00065635+0.0005473i,0.00014372-0.001217i,0.0014243-0.0012791i,0.00094042+0.00010521i,0.00062655+0.0005694i,0.00054517+0.00046712i,9.4627e-05-0.00023726i,-0.00048303-0.00027068i,-0.00058584-0.0002356i,-0.00011482-0.00053004i,-9.0833e-05-0.00051589i,-2.3246e-05+2.4267e-05i,0.00055691-0.00022174i,0.00060101-0.00046769i,0.00061931+6.5498e-05i,0.00050759+0.00069022i,-0.00026705+0.001029i,-0.00075735+0.00061913i,-4.6364e-05+0.00015538i
0.0024606+0.00016348i,0.0020887+0.00048315i,0.0021469-0.0008778i,0.0013911-0.0023i,-2.8561e-05-0.0022354i,-0.00051777-0.0014176i,-0.00073187-0.00054172i,-0.00052777+0.0001997i,2.5243e-05-0.00025363i,0.0012401-0.00098216i,0.0011261-0.0010995i,-0.00023323-0.00043965i,-0.0005587+7.9174e-05i,1.8236e-06-0.00063612i,-0.00010952-0.0012936i,-0.00071564-0.00094981i,-0.0011278-0.00073938i,-0.00084498-0.00089091i,-0.000527+0.00045498i,-0.00028922+0.0014756i,-5.0751e-05+0.00039931i,0.0002822-0.00011225i,0.00025041-0.0002356i
-0.0022037+0.00095562i,-0.0024302+0.00043818i,-0.0012457+0.0012532i,0.00029601+0.0016697i,0.0013688+0.00081338i,0.0015383-0.00062219i,0.00013384-0.00071984i,2.058e-06-0.00010042i,0.00056372+0.00034063i,0.00091518+0.000105i,0.00080865-0.00017631i,0.00032921-0.00025677i,0.0011176-0.00096655i,0.0012367-0.0011442i,0.00016396-0.00049992i,-0.00035677+5.4887e-06i,0.00050664-0.00028093i,0.0016164-0.00060574i,0.0015593-0.00045851i,0.00083001-0.00049856i,-0.00022388+0.00013978i,-0.0002429+0.00049941i,-0.00012722+0.00026317i
-0.00069908+0.0014392i,-0.00050656+0.00027205i,0.00019904+0.00033628i,0.00059088+0.00012317i,0.0013072-0.0014966i,0.0010066-0.0026591i,-0.00035298-0.0028917i,-0.00079223-0.0016248i,-0.00039719-0.00042816i,-0.00012141-0.00074084i,0.0002896-0.0012157i,0.0001488-0.0017246i,6.2914e-06-0.001711i,-0.00069949-0.00056739i,-0.0012282-9.5282e-05i,-0.00037541-0.00031393i,0.00024321-0.00012023i,0.00064829+0.00035738i,0.0011567+8.2688e-05i,0.00069507-0.00032611i,0.00011546-0.00017046i,0.00022812-0.00038643i,8.0982e-05-0.00037427i
