-0.0016672+0.0007312i,-0.00021738+0.0012014i,-0.00024516+0.0027031i,-0.00051092+0.0018867i,0.00042756-4.0614e-05i,6.4742e-05-0.00046044i,-0.00090361-5.6016e-05i,-0.00064861+0.00054206i,-0.00029565+0.00023813i,-0.00027357+0.00023333i,0.00016604+0.0011865i,0.00051025+0.0011123i,-0.000211-2.1677e-05i,-0.0002876-0.00080715i,0.00012386-0.00057532i,0.00028355-0.00044755i,8.5036e-05-0.0011115i,-0.00046365-0.0015762i,-0.00027707-0.00084925i,-0.00024003+0.00021939i,-0.00046801-0.00020629i,-0.00044817-0.00072811i,-0.00039379-0.00015809i
-0.0010197-0.0011677i,-0.0023269-0.001603i,-0.001821-0.00040929i,-0.00047479+0.0006319i,-0.0002872+0.00041123i,-0.00074141+0.00031189i,-0.00073673-8.495e-05i,-0.00036096-0.00018196i,-4.5218e-05+1.6308e-05i,0.00010042+0.00018279i,0.00017894+0.0001892i,0.00063498+0.00021659i,0.0010263+0.00058104i,0.0013604+0.00028031i,0.0018771+0.0001436i,0.0012763+0.0001236i,0.00010956+0.00036789i,0.00057087+0.00053831i,0.00087244-0.00042272i,0.00060719-0.00053729i,0.00048795+3.6911e-06i,0.00022727-0.00056519i,0.00060313-0.0010475i
-4.6553e-05-0.00047959i,-0.00089646-0.00090529i,-0.00050842-0.00026263i,-0.00031411+0.00081106i,-0.00079294+0.00063308i,-0.00084893-6.1532e-05i,-0.00018833-2.0499e-05i,0.00074593+3.9186e-05i,0.00054162-0.00016242i,-2.8399e-05+0.00043714i,0.00035126+0.0010889i,0.001367+0.0011993i,0.0012758+0.0009495i,0.00040196+0.00078876i,0.00039879+0.0010989i,0.00041946+0.00091072i,7.6276e-05+0.0010126i,-9.3549e-06+0.00086664i,9.2917e-05+0.00034025i,-0.00059193+0.00037769i,-0.00068072+0.00019745i,-0.00064723-0.00071045i,-0.0010862-0.0011885i
0.00078123+0.0012333i,-1.0351e-05+0.00093086i,-0.0011952+0.0006613i,-0.0016585+0.00010198i,-0.0018376-3.5382e-05i,-0.0020266+0.0003302i,-0.0019109-7.094e-05i,-0.0014933-0.00038536i,-0.00065087-0.00014041i,-0.00060252+0.0001662i,-0.00047175+0.00055554i,-5.5459e-05+0.00028662i,2.574e-05-0.00029009i,7.2989e-05-0.0002055i,0.00022166+0.00037427i,0.00033773+0.00024261i,0.00029894+0.00011091i,0.00020402-0.0001011i,0.00042827-0.00059686i,0.00036388-0.00012042i,-0.00011881+1.4106e-05i,-0.00046047-7.5127e-05i,-0.00021087+0.00044782i
-0.001253-0.00041856i,-0.0012592+7.1197e-05i,-0.00067907-5.4854e-06i,0.0001793+0.00021236i,0.00090904+6.3e-05i,0.0010071-8.1278e-05i,0.00025698+0.00015516i,-4.2614e-05+0.00036576i,1.4392e-05+0.00066383i,0.00018094+0.00019078i,0.00072494+0.00025893i,0.0010993+0.00023276i,0.0017539-0.00081149i,0.0016336-0.00085906i,0.0011066-0.00013677i,0.0013074-7.9527e-05i,0.0006634-0.00028116i,-0.0001703-0.0004526i,-0.0002397-0.00033794i,-0.0003082+0.00016088i,0.00020745-7.624e-05i,0.00077162-0.00030771i,0.00027295-7.5361e-05i
0.0013589-0.0015397i,0.00045964-0.0010479i,0.0006074-0.0009372i,0.00011812-0.00048567i,-1.1232e-05-0.00016591i,-6.8599e-05+0.00022799i,-0.00087629+0.00092435i,-0.00071619+0.00099323i,0.0001219+0.00044388i,0.00027813+0.00021494i,8.0194e-05+2.7923e-05i,-0.0001508-0.0001561i,-0.00041388-0.00022609i,-6.8241e-05-0.00014558i,0.00020946-4.6196e-06i,0.00010862+5.0887e-05i,1.5736e-05-3.016e-05i,-0.00059652-4.716e-05i,-0.00028935+0.00028234i,0.00050658+0.00046639i,0.00064544+8.3979e-05i,8.6331e-05+0.00013009i,-0.00030005+0.00069818i
0.00068226-0.00049347i,0.00011403-0.00033362i,-0.0010052+7.7135e-05i,-0.0015567+0.0005057i,-0.001518+0.00061083i,-0.0014763+0.00081292i,-0.00074935+0.0011036i,0.00019457+0.0011843i,0.00080065+0.000949i,0.00010007+0.00043469i,-0.00044135+0.00079097i,0.00033174+0.0012664i,0.0012437+0.00043986i,0.00034252-0.00021609i,-0.00041293-0.00061715i,0.00012675-0.000186i,0.00015281+0.00013171i,6.0427e-05-0.00041672i,0.00050457+0.00026616i,4.1322e-05+0.00087732i,-0.00012366+0.00021632i,0.00036966+3.3871e-06i,0.00037707-0.000284i
0.00077974+0.0017497i,0.0015687+0.00084867i,0.0023186-0.0019107i,0.0018467-0.0031617i,0.00080705-0.0019617i,-0.00043675-0.00057539i,-0.0014831-0.00015649i,-0.0014017-0.00056531i,0.00016993-0.0006679i,0.0010255+6.8394e-05i,0.00052645-0.00034419i,-0.00028698-0.00031835i,-0.00023087+0.00027607i,-0.00044946+4.0333e-05i,-0.00111+0.0002328i,-0.00028547+0.00012034i,0.00040706-3.6041e-05i,-3.2588e-05+1.7926e-05i,-0.00022411-0.00045016i,-0.00037397-0.00010503i,-7.3266e-06+0.00018836i,0.00081727-8.9635e-05i,0.00050944-3.6025e-05i
-0.0014855+0.0011151i,-0.00085473+0.0004634i,0.000239+0.00083308i,0.00032282+0.00083255i,-1.6588e-05+0.00011212i,5.3014e-05-0.00053251i,-0.00039722-0.0007074i,0.00017466+0.00027176i,0.0005138+0.0014545i,-0.00010642+0.00064972i,-0.00038822+0.00026191i,-0.00070393+0.0005541i,-0.00047399+0.00015355i,0.00041855-7.3445e-06i,0.0005761-0.00040792i,0.00037675-9.4524e-07i,0.00077387-0.00021466i,0.00058452-0.0016342i,0.00010476-0.001447i,0.00013693-0.00054202i,-1.5259e-05-0.0002816i,0.00019824-0.00023693i,0.00020626-0.00041119i
-0.0010447-0.0011697i,-0.0015183-0.00045905i,-0.0013045-7.869e-05i,-0.0013383+0.00081397i,-0.0014024+0.00060058i,-0.00079107-0.00015735i,-0.00097456-0.00027059i,-0.00030148-0.00010276i,0.00067664-0.0001355i,-0.00017733+0.00010958i,-0.00036489+0.00064811i,0.00052219+0.00057325i,0.00099144+0.0009768i,0.00086999+0.0012476i,0.0005661+0.00081646i,0.00036388+0.00087513i,0.00017899+0.0010128i,0.00031289+0.00010742i,0.00016414-0.0010029i,-0.0003799-0.00081617i,-9.0018e-05-0.00051094i,0.00018207-0.00056181i,-0.00010953-0.00041027i
-4.1376e-05+0.00095906i,-0.0003996+0.0011973i,-0.00095238+0.001211i,-0.0011074+0.0013093i,-0.00064849+0.0011426i,-0.0010218+0.00039104i,-0.001318-2.8832e-05i,-0.00095713+0.00034292i,-0.00087903+0.000714i,-0.00054244+0.00025409i,-0.00050128+0.00016978i,-0.0011912+0.00059954i,-0.00058774+0.00087143i,0.00031025+0.00043202i,3.7515e-05-0.0010113i,-7.9064e-05-0.0016069i,0.00056172-0.001448i,0.00097527-0.0012901i,0.00061379-0.00085443i,0.00035261-0.00072052i,0.0005234-0.00016275i,0.00058952+0.00061485i,2.8477e-05+0.00016846i
