-0.001702-0.00014878i,-0.0015351-0.00044137i,-0.0025741+0.00051363i,-0.0021379+0.0017511i,-0.0020535+0.0025298i,-0.0015081+0.0023329i,-0.0009318+0.0010485i,-0.001195+0.0002432i,-0.00075529-4.9574e-05i,-0.00032307+0.00045751i,-0.00055319+0.0012514i,-0.00018692+0.0012823i,0.00060959+0.0006416i,0.00047445+6.1728e-05i,-0.0002313+5.4094e-05i,-5.9079e-05+0.0011396i,0.00030577+0.0018117i,0.00030354+0.00062822i,-0.00034604-0.00045494i,-0.00027177-4.6328e-05i,0.0001228+0.00011251i,0.00045225-6.6248e-05i,0.00013308+0.00030269i
-0.0011752+0.00092593i,-0.0014352+0.0012425i,-0.00038597+0.001755i,-0.00016514+0.0023823i,0.00030811+0.0020742i,0.0010039+0.0014333i,0.0014548+0.00038682i,0.00093636-0.00065314i,-0.00026809-0.00073643i,-0.0003472+0.00011263i,0.00023101+0.0010056i,0.00038636+0.00087772i,-0.00027339+0.000962i,-1.3038e-05+0.0014895i,0.0010819+0.0011048i,0.0018168+0.00032696i,0.0014738-0.00013494i,0.00073174+0.00047432i,0.00060695+0.00080568i,0.0011777-0.00042875i,0.0013957-0.00094567i,0.00069096-0.0007264i,0.00025096-0.00030637i
0.00031673-0.0016037i,-0.0012949-0.0018102i,-0.0024151-0.0012713i,-0.002335+0.00072778i,-0.0016276+0.0014064i,-0.00042498+0.0011351i,0.00048545+0.00040611i,7.8055e-05-0.0005825i,-0.00049975-0.0009436i,-0.0012724-0.00071073i,-0.0015719-0.00022438i,-0.0012627+0.00053447i,-0.0014439+0.00061928i,-0.0013021+0.00089973i,-0.0017967+0.0016389i,-0.0015547+0.0014146i,-0.00064899+0.00067197i,-0.00035389+0.00030845i,0.00016229-4.4759e-05i,0.00095144-9.9548e-06i,0.00070418-0.00045768i,0.00041251-0.00057831i,0.00042208-7.7688e-06i
-0.0012105-0.00043738i,-0.00090777+0.00045015i,-0.0013717+0.00039767i,-0.0020042+0.00050955i,-0.00069477+0.0014344i,0.00077801+0.0021612i,0.00071887+0.0015934i,0.00036929+0.00083564i,9.499e-06-9.524e-05i,-0.00079406-0.00083799i,-0.001-0.00030136i,-0.00041334+0.00058899i,-0.00067315+0.00047105i,-0.00030971+0.00081327i,0.00025034+0.001091i,-1.13e-05+0.00094879i,0.00041444+0.0009562i,0.00039027+0.0011619i,-0.00030576+0.00048019i,-0.00028706-0.00021324i,0.00031273-1.9058e-05i,0.00091689+0.00025755i,0.00032796-0.00014434i
-0.00011225+0.00069797i,-0.00043808+0.00063575i,-0.00071071+0.0020371i,3.514e-05+0.0025584i,0.00051238+0.0026561i,-0.000226+0.0012919i,-0.00025087+0.00020418i,-0.00012044-0.00038i,-9.4907e-06-0.00068997i,-0.00026174-0.00037954i,-0.00062079+0.00018861i,-0.00049581+0.00039799i,-0.00027577+0.00013404i,0.00055968+0.00020403i,0.00055775+0.00072514i,3.599e-05+0.00060328i,0.00027464+0.00039223i,-1.4678e-05+0.0006053i,-0.00037355+0.000628i,5.572e-05+0.00056671i,-0.00012004-2.5476e-05i,-0.00024031-0.00042998i,0.00016665-0.00021202i
-0.00072776+0.00051683i,-0.0013067+0.0010223i,-0.0013582+0.0010996i,-0.00082964+0.0011544i,0.00010453+0.0022729i,0.0012269+0.0026532i,0.0016529+0.00096259i,0.0014295-0.00080436i,0.00035846-0.0019381i,-0.00073419-0.0023037i,-0.0010794-0.0015534i,-0.00062859-0.00033324i,-0.00010466-0.00059568i,4.1186e-05-0.00094473i,-0.00015819-0.00036235i,0.00034901+0.00036081i,0.00081339+0.00080837i,0.00080582+0.0010363i,0.00039633+0.00041792i,-0.00055725-0.00020095i,-0.00086141+0.00038013i,-0.00046829+0.00010711i,-0.00025497-0.00023183i
0.00035574+0.0013845i,0.00069664+0.0007515i,0.00052127+0.0011555i,0.00035695+0.0018547i,0.00021562+0.0014974i,-0.00031459+0.00037761i,0.00022549-0.00061677i,0.00060569-0.0011953i,-1.8392e-05-0.00075589i,-0.00061552-0.00027804i,-0.0007018+8.6922e-06i,-0.0011432+0.00033909i,-0.0012902+0.00034303i,-0.0011469+0.00068571i,-0.00063603+0.00028628i,0.00023942+0.00030137i,0.00093142+0.0004089i,0.0015538-0.0001894i,0.0013308-0.00066186i,-0.00021256-0.0010322i,-0.00031258-0.0006532i,0.00021241-3.2993e-06i,0.00023589+2.6587e-05i
-0.0013969-0.0013006i,-0.0016602-0.0014585i,-0.0012728-0.00066971i,-0.00091947+0.00081575i,-0.00049869+0.0028793i,-6.3553e-05+0.0030487i,-0.00044838+0.0013256i,-6.978e-05+0.00034989i,0.00051761-0.00054152i,-0.00031549+1.7223e-05i,-0.0015443+0.0012287i,-0.0011796+0.0015042i,-0.00063008+0.0014027i,-0.0011018+0.0014048i,-0.0011202+0.00089948i,-0.00042373+0.00023721i,0.00019917+0.00042715i,0.00024435+0.00049017i,0.00034721+7.5724e-05i,9.7871e-05+9.8065e-06i,6.251e-05+0.0001232i,0.00053344+8.0903e-06i,0.00039153-0.00091362i
-0.00056831-0.0019017i,-0.0012183-0.0010494i,-0.0024698-0.00078629i,-0.0028138+4.9798e-05i,-0.0026732+0.0026223i,-0.0010631+0.0033975i,0.0012902+0.0011374i,0.0015702-0.00085395i,0.00032081-0.00084869i,-0.00073773-0.00042532i,-0.00069197-0.00044971i,-0.0010179-0.00046839i,-0.0018408-0.00024392i,-0.0011866+0.00027495i,0.00015255+0.0010942i,0.0011242+0.0012511i,0.0014881+0.0013436i,0.0014729+0.00089731i,0.00075222-0.00018009i,0.0002386-0.00026356i,0.00012243-0.00030182i,-0.00012615-0.00035974i,5.214e-05+0.00012725i
0.0012714+0.00060687i,0.002503-0.00043723i,0.0026563-0.0016225i,0.0015156-0.00042152i,-0.00021412+0.0012525i,-0.0013305+0.0015156i,-0.00055011-6.0266e-05i,-0.0001198-0.0023454i,-0.0006136-0.002075i,-0.0009586-0.00055353i,-0.00081534+0.00059126i,-0.00050167+0.00028606i,-0.00088611+0.00017693i,-0.0010667+0.00047331i,-0.00023905+0.00066675i,0.0002484+0.00044004i,0.00060383+0.000475i,0.00058908+0.00051361i,0.00051731+0.00024596i,0.0011494+0.00010791i,0.0014507-0.00016792i,0.00023324-0.00069529i,-0.00071615-0.0012671i
-7.4799e-05+0.00041032i,-6.0227e-05+0.00098053i,-0.00032522+0.0021583i,5.5108e-05+0.0031465i,0.00020208+0.0037959i,0.00072944+0.003105i,0.0010372+0.0012038i,0.00031341+1.7949e-05i,-0.00056199+7.6346e-05i,-0.0011025+0.00010778i,-0.0013215+0.00024833i,-0.00076089+0.00055783i,-0.00012142+0.0007978i,-0.00011865+0.00093295i,-0.00013402+0.0012394i,3.2432e-05+0.0013652i,0.00066824+0.001243i,0.0011416+0.0010548i,0.0011852+0.00082247i,0.0011232+0.00065782i,0.00037135+0.00046634i,-0.00055299-0.00011865i,-0.00030425-0.00022517i
-0.0016963+0.00017414i,-0.00074068+7.3751e-05i,0.00046461+0.0015928i,0.00019198+0.0023762i,0.00020883+0.0020438i,0.00050243+0.002078i,0.00073678+0.00085285i,-0.00010254-0.00059712i,-0.00071546-0.00087206i,-0.00091342-0.00068728i,-0.0013222-7.0432e-05i,-0.0015796+0.00042435i,-0.00086653+0.00052394i,-2.1038e-05+0.00060656i,0.00034811+0.00017532i,0.00086995-0.0001215i,0.00098206-7.3842e-05i,0.0014124+1.0574e-05i,0.00077949+7.2651e-06i,0.00019218+0.00014231i,-5.8817e-05+0.00035526i,-0.00040082-1.4006e-05i,-4.134e-05-0.00025048i
9.7792e-05+0.00068684i,-0.00035406-6.4041e-05i,-9.7134e-05+0.0014185i,-0.00018036+0.0030271i,-0.00025957+0.003282i,-0.00021691+0.0022311i,0.0002436+0.00071639i,0.00076617-0.00040298i,-0.00014912-0.00080495i,-0.00053806-0.00044676i,-0.00024455-0.00026738i,-0.00034164+0.00057945i,2.3433e-05+0.0007305i,-6.143e-05+0.00053603i,-0.0005887+0.00068354i,-0.00060516+0.00061385i,0.00010144+0.00094038i,0.00094213+0.00054965i,0.0010225+0.00042641i,0.00061483+0.0006374i,0.00043655+0.00078449i,0.00024966+0.00079907i,-0.00044663+0.0009884i
0.00094806-0.0002089i,0.0018166+0.00016961i,0.00050293-0.00022707i,-0.0013391+0.001329i,-0.0019805+0.0029502i,-0.0010898+0.0022326i,0.00051206+0.00035578i,0.00055742-0.00080502i,-0.00055858-0.0008581i,-0.00080917-0.00026606i,-0.0006374+0.00036785i,-0.00088824+0.00032261i,-0.0010084-7.6031e-05i,-0.00056037+0.00016961i,0.00025116+0.00063974i,0.00068887+0.00037556i,0.00044978-0.00050606i,0.00059476-0.0010572i,0.00063602-0.00057349i,0.0006748-6.2182e-05i,0.00050246+0.00037302i,0.00034455+0.00039484i,0.00044995+0.00029994i
0.00019855+0.0016294i,0.00019902+0.0010572i,0.00067318+0.0014915i,0.00073769+0.0024283i,0.00095194+0.0030142i,0.0013273+0.0017717i,0.0010966+0.00013314i,0.00069567-0.00082891i,0.00011226-0.0011243i,-0.00038815-6.9754e-05i,-0.0004832-3.8285e-05i,-0.00065342-0.00066156i,-0.0004573+0.00051099i,-0.00050591+0.00091903i,-0.00065613+4.0649e-05i,-0.00021427-0.00036178i,0.00037764-0.00046032i,0.00018374-0.00036743i,-7.8003e-05+9.1977e-06i,2.7896e-05-0.00036246i,6.673e-05-0.001704i,-0.0001194-0.001648i,-0.00016591-0.00044121i
-0.00050537+0.0023594i,0.00025045+0.0020744i,0.0010344+0.0012202i,0.00048545+0.0018707i,0.00033405+0.0028377i,0.00020274+0.0017668i,0.00010246+7.1753e-05i,0.00012376-0.0013816i,0.00052981-0.0016363i,0.00091735-0.00093012i,0.00018687+0.00027164i,-0.000648+0.00062168i,-0.00078819+0.00050499i,-0.00026361+0.00068992i,0.00014355+0.00082842i,-4.3945e-05+0.00073372i,0.00048695+0.00041352i,0.00051189+4.5794e-06i,0.00023554-0.00044103i,5.853e-05-0.00090786i,0.00010706-0.0001758i,-1.1348e-05+0.00069165i,-0.00025745+0.00010368i
0.00047408+0.00082159i,0.00047915+0.00075714i,0.0002272+0.001792i,0.00039779+0.0027434i,0.00029127+0.0030706i,0.00044154+0.00088005i,0.00085028-0.00055582i,0.0010046-0.00053702i,0.00073863-0.0011119i,0.00042016-0.0012628i,-0.00022696-0.00022175i,-0.00081461+0.00025841i,-0.00041925-0.00026988i,-8.5462e-06+4.1025e-05i,0.00031888+0.00045482i,0.00037337+0.00080136i,7.9744e-05+0.0013638i,0.00034355+0.00099604i,0.00030085-0.00070561i,3.9869e-06-0.0011975i,-6.7187e-05-0.00063953i,9.4749e-05-0.00041637i,-0.00026896-0.00010234i
-0.00096028+0.00084662i,-0.00081559+0.00026294i,0.00012849+0.0012777i,-0.00015355+0.0019303i,-0.00086785+0.0016647i,-0.0011522+0.0015848i,-0.0007292+0.00059822i,-0.0010532-0.00018262i,-0.00156-2.4331e-05i,-0.0012727-0.00021842i,-0.0013599-3.7417e-05i,-0.0010743+0.00052408i,-0.0017646-8.5304e-05i,-0.0018658-0.00063539i,-0.00014639+0.00049324i,0.00073317+0.0010005i,0.00055899-9.8858e-05i,0.00060582-0.0006079i,0.0010711-0.00048799i,0.0011257-0.00064082i,0.00098283-0.00076605i,0.00056773-0.00048258i,-0.00024374+2.5139e-05i
0.0013596-0.0006109i,0.0011102-0.00088117i,0.0012554-0.0010325i,-7.7937e-05-0.00010534i,-0.00105+0.0014742i,-0.00024489+0.0019852i,0.00031085+0.00071993i,0.00012176-0.0002752i,0.00052383-0.00035088i,0.0002577+6.2189e-05i,-0.00070081-1.7925e-05i,-0.00041005-0.00049747i,0.00022586-0.00026167i,0.000773+0.00034313i,0.00073548+0.00087223i,0.00075017+0.00054287i,0.00058073-0.0004462i,-0.00020692-0.00013109i,-0.00015105-8.1399e-05i,-0.00038163-0.00014399i,-0.000605-0.0003344i,0.0001359+5.4401e-05i,0.00035402+0.00052463i
-0.0011281+0.0021362i,-0.00093872+0.0016681i,-0.001202+0.0014311i,-0.0019669+0.0017176i,-0.00047506+0.0018542i,0.001228+0.0013521i,0.0015202+8.1511e-05i,0.0011114-0.0015618i,0.00090461-0.0012996i,0.00099787-0.00025289i,4.6624e-05-0.00028005i,-0.00078794-0.00016072i,-0.00054308-0.0001229i,-0.00055662+8.3134e-07i,-0.00012085+0.0012678i,-0.00017798+0.0017827i,-0.00054256+0.00086988i,-0.0002982-0.0002408i,-0.00031157-6.6327e-05i,-0.00025467-0.0005053i,-0.00034987-0.00095776i,-0.00079265-0.00064974i,-0.00056468-0.00088045i
-0.0012152-0.00040594i,-0.0013549-0.00020915i,-0.0026785+0.0013524i,-0.002728+0.0027719i,-0.0010364+0.0028329i,-0.00034627+0.0019715i,-0.00024643+0.00044766i,-0.00047204-0.00059353i,-0.00057331-0.0011272i,7.3396e-05-0.0010829i,0.00052985-0.00010657i,9.2213e-05+0.00048246i,-0.00087476+0.00086915i,-0.00087371+0.00102i,-0.00056413+0.00089255i,5.5595e-05+0.00035252i,0.0012476+0.00017505i,0.00082413+0.00041268i,0.0002682+0.00061371i,3.1932e-05+0.0003464i,0.00011272-0.00062695i,0.00094232-0.00052281i,0.00061233+8.0928e-05i
-0.0011776-0.00015543i,-0.0020682-0.00049356i,-0.002897+0.00050491i,-0.0018952+0.0012704i,-0.00048692+0.0016209i,0.00080904+0.0013562i,0.0012374-0.00024962i,-0.00018894-0.00077761i,-0.00090676-0.00052929i,-0.000635-0.00061432i,-0.0012767-0.00050366i,-0.001725+0.0005478i,-0.00086273+0.0012631i,0.0006064+0.00059049i,0.0014731+0.0011931i,0.00074272+0.0018737i,3.0796e-05+0.0011194i,8.5043e-05+0.00034737i,2.3948e-05-0.0002198i,-0.00030141-0.00038183i,-0.00026412-0.0003108i,-3.6532e-05-0.00023071i,0.00067865-0.00016294i
-0.0008073+0.0015999i,-0.00087105+0.0013572i,-0.0010733+0.0017856i,-0.00094213+0.0024101i,-0.00090626+0.0019592i,0.0001492+0.001462i,0.0013203+0.00076714i,0.00078716-0.00032235i,-0.00048038-0.0005899i,-0.00053011-0.00082047i,0.00032041-0.00053896i,0.00025348-0.00019334i,-0.0005621-0.00041414i,-0.0010175-0.00041645i,-0.00070634-1.7011e-05i,-0.00015977+0.00032769i,0.00092679+0.00043979i,0.0013276+8.1275e-05i,0.00079444-0.00036484i,0.00092636-0.00053607i,0.00055419-0.00099863i,0.00036819-0.0013625i,0.00077475-0.0014336i
-0.00033204-7.4428e-06i,-0.00075268+0.00049596i,-0.0012854+0.001335i,-0.0012707+0.0014369i,-0.00066781+0.0022504i,0.00053558+0.0017995i,0.0014946+0.00051398i,0.00057567-0.00025198i,-0.00067587-0.00099208i,-0.0011306-0.00053847i,-0.00093065+0.00057406i,5.204e-05+0.00058827i,0.00037218+0.00048063i,-0.00014246+0.00088506i,0.00031495+0.00033403i,0.0010493+0.00067325i,0.00073427+0.001546i,0.00025573+0.00067011i,0.00095891-0.00061923i,0.00089788-0.00050217i,0.00012088-8.5657e-05i,0.0003944-0.00041263i,0.00080243-0.00039772i
0.0026862+0.0013781i,0.0018907+0.0004028i,0.0012051+0.00018657i,-0.00016587+0.0010465i,-0.00072337+0.0017055i,0.00048597+0.0015996i,0.0016156+0.0002715i,0.0011588-0.0010757i,0.00044143-0.00095862i,0.00013652-0.00024513i,0.00011962+0.00056521i,0.0003168+0.00051083i,-0.00029293-1.5976e-05i,-0.0010501-0.00029927i,-0.00063442+0.00031534i,0.00030367+0.00092084i,0.00016215+0.00045677i,-0.00021448-1.3545e-06i,0.00019857+3.5391e-05i,0.0003475+1.6432e-05i,0.00048802+0.00020161i,0.00041042+0.00031461i,0.00031111+0.00049947i
-0.001313+0.00063517i,-0.0013733+0.0014891i,-0.00054047+0.0026692i,-8.0184e-05+0.0035474i,0.00020584+0.0033264i,0.00093037+0.0020453i,0.0009732+0.00085547i,0.00058951-0.00030493i,-7.0236e-05-0.00088845i,-0.00092421-0.00067371i,-0.0010596-0.00029077i,-0.00047096+0.000215i,-0.00019944+0.00061804i,-0.00036237+0.00060974i,0.00027711+0.00020962i,0.00036642-0.00026608i,0.00045356+0.0003453i,0.00015025+0.00071509i,0.00013699-0.00012118i,0.00098649-0.00034718i,0.00070457+0.00029077i,-0.00031201-4.8883e-05i,-0.00036031-0.00034869i
0.0010601+0.00060584i,0.0003635+0.00049073i,-0.00050277+0.0010956i,-0.0012544+0.0015903i,-0.0016717+0.0018763i,-0.00053379+0.0013656i,0.00037172-0.0004361i,-0.00044121-0.0016866i,-0.00037906-0.0013977i,-7.1787e-05-0.00018944i,-0.00068031+0.00041557i,-0.0012291+0.00036598i,-0.00048629+0.00057893i,1.9803e-05+0.00039067i,-9.9327e-05+6.2211e-05i,4.9646e-05-0.00012663i,0.00056894+0.00020396i,0.00040071-0.00036209i,-0.00019565-0.00074058i,-2.4926e-05+0.00013944i,0.00016316+0.00041199i,1.0643e-05+0.00025956i,-0.00061141-0.00013313i
-0.00046471-0.00056588i,0.00046471+0.00041179i,0.00028877+0.0010216i,8.4793e-05+0.0017977i,-4.8095e-05+0.0023546i,0.00010617+0.0016108i,0.0013149+0.0010445i,0.0011751+0.00080791i,0.00051371+0.00035551i,0.00034198-3.8659e-05i,-0.00031225-0.00012298i,-0.00099698+9.6898e-06i,-0.0012695-8.3089e-05i,-0.00096557+6.2844e-05i,-0.00037677+0.00049232i,0.00080571+0.00081061i,0.0017088+0.00042549i,0.00077442-0.00054374i,-0.00014795-0.0014522i,-0.00032388-0.0012238i,5.2403e-05-0.00060439i,0.00033244+0.00038186i,-0.00055807+0.00085558i
-9.1881e-05+5.0792e-05i,0.0002204+7.2452e-05i,-8.302e-05+0.0013871i,-0.00066287+0.0028094i,-0.0012654+0.0029996i,-0.0010517+0.0020516i,0.00036961+0.00086507i,0.00072312-0.00066344i,-0.00011231-0.0011782i,-0.00071939-0.00082146i,-0.0005479-0.00028368i,-0.0008124+0.00030423i,-0.0010229+0.00045256i,-8.4979e-05+0.0011326i,4.9394e-06+0.0012124i,-0.00021044+0.0012942i,0.000446+0.00087237i,0.00033926+6.2724e-05i,0.00015807-0.00024796i,0.00047396-0.00037699i,0.00029851-0.00022505i,-0.00052992+8.4784e-05i,-0.00080639-0.00010109i
0.00084167+0.003494i,0.0015442+0.0028932i,0.0011643+0.0036548i,0.00034165+0.0025095i,-1.3879e-05+0.00099643i,0.00024926+0.00064426i,-0.00016785+0.00046273i,0.00033446-0.00081437i,0.00080264-0.0012642i,0.00083245-0.0001305i,0.00043321+0.00010196i,-0.00018489-6.3497e-05i,-0.00045232+0.00039353i,-0.00027839+0.00056603i,-0.00044001+0.0009525i,-0.00057296+0.00069918i,0.00024573+0.00036683i,0.00089766+0.00019072i,0.0011735+0.00032475i,0.00079226-0.0001315i,-3.3389e-05-0.00056803i,-0.0002432-0.00032768i,-0.00018063-0.00015397i
-0.0002363+0.00031005i,-0.00059272+0.00071759i,-0.00095173+0.0011523i,-0.0012424+0.0017326i,-0.00117+0.0024918i,-0.00053944+0.0020266i,0.00010377+0.00073825i,-0.00015654-0.00071855i,-0.00073618-0.001244i,-0.00075676-0.0008022i,-0.00033192-0.00013574i,-1.1156e-05-0.00026128i,-0.00013416-0.00012033i,-0.001183+0.00072016i,-0.0014421+0.0011593i,-0.00031609+0.0018895i,0.00021421+0.0016602i,3.6044e-05+0.00031353i,0.00058668-0.00020984i,0.00071226-0.00052278i,0.00052878-0.00056647i,0.00023264+0.00016489i,0.00012956+0.00013089i
-0.0018136+0.00022285i,-0.00088462+0.00023037i,-0.00071434+0.0022i,-0.0013983+0.0032066i,-0.0013777+0.0031379i,-9.276e-05+0.001757i,0.00055133+0.00016253i,-0.00015523-0.00068256i,-0.00024377-0.001186i,-0.00042787-0.00077133i,-0.00052726+0.00059766i,-6.1121e-06+0.00097717i,0.00030423+0.00075331i,-0.00045467+0.00031916i,-0.00073129-0.00050716i,0.0002119-0.00022405i,0.00087288+0.00014984i,0.00076625-0.00022386i,0.00032161-0.00011317i,-0.00031797+0.00014888i,-0.00057788-0.00036099i,-0.00054883-0.00037934i,-8.4428e-05-7.1717e-05i
-0.00037477+0.00084287i,-0.0001553+0.00040544i,0.00087484-0.0001129i,0.0011262+0.0013024i,0.00092677+0.0023869i,0.00066676+0.0018687i,0.00089128+0.0011781i,0.00024251+0.00010664i,-0.00028182+7.622e-05i,-8.5028e-05+0.00082564i,-0.00092823+0.001118i,-0.00087833+0.001102i,-0.00025545+0.00039647i,-0.00025182+0.00013187i,-8.9827e-05+0.00083701i,0.00045749+0.0011556i,0.0010286+0.00071697i,0.0010097+0.00045696i,0.0003516-9.2366e-05i,2.225e-05-0.00049679i,0.00051261-0.00049785i,0.00041998-0.0010933i,-9.0603e-05-0.0010663i
