-0.0010143+0.0016182i,0.00063768+0.00053647i,-5.8046e-05-0.00072845i,-0.0008932-0.00097199i,-0.00031181-0.0002956i,0.00027812+0.00026605i,0.00026741+0.0006678i,-0.00060414+0.00021123i,-0.00043467-0.00046139i,7.8014e-05-0.0001593i,-5.4905e-05-6.4519e-05i,-0.00027661+0.00011188i,-0.00092146-5.8563e-05i,-0.00075041-0.0006917i,0.00040076-0.00069315i,0.0011101-0.00010731i,0.0013212-0.00045024i,0.00082553-0.00056561i,-0.00030131+0.00010192i,-0.0003392+0.00091099i,-4.2579e-05+0.0013917i,-0.00029442+0.00074363i,-0.00050445-7.2963e-05i
0.00067972+0.0015725i,0.0004613+0.00057199i,0.0003384-0.00030247i,0.00038702-0.00042364i,0.0012484-0.00034197i,0.0016177-0.0011735i,0.00085401-0.0011185i,-0.00031096-1.8194e-05i,-0.00091659+0.00041031i,-0.00038825+0.00023611i,0.00022834-9.7983e-06i,8.8121e-05-0.00037676i,0.00054456-0.0001399i,0.00026967-0.00012695i,-0.00027774-0.00048916i,-0.00031623-0.00072952i,-0.00059515-0.00073857i,-0.00068857-0.00025306i,8.1102e-05+0.00059468i,0.0001631+0.0012181i,-0.00068211+0.00079569i,-0.0010271+0.00053381i,-0.0010815-5.8753e-06i
-0.001647+0.0015916i,-0.00052059+0.0013249i,0.00075756+0.0014155i,0.0019263+0.00055985i,0.0024848-0.001106i,0.0020381-0.0023793i,0.0010221-0.0023214i,0.00069298-0.0013452i,0.0003226+3.3686e-05i,-0.0003777+0.00039328i,-0.00010027+0.00044608i,2.259e-06+0.00035491i,-0.00043496-5.4216e-05i,-0.0009875-0.00054399i,-0.0013135-0.00030635i,-0.00094369+0.00016918i,-0.00076259+1.2027e-06i,-0.00056828-0.00064581i,0.0002488-0.00020922i,0.00094928+0.00065037i,0.00089937+0.00036389i,-6.0056e-05-0.00016222i,-0.00063896-0.00010531i
-0.0013694-0.00095879i,-0.0015851-0.0003384i,-0.0021664-0.00012294i,-0.0016347+0.0003479i,0.00028398+0.00041337i,0.0018164+0.00032984i,0.001828-0.00022222i,0.00021964-0.00099033i,-0.00053296-0.0013042i,-0.00049366-0.0010384i,-0.00045204-3.7132e-05i,-0.00081901+0.00046512i,0.00035112+0.00017418i,0.00099752-5.9115e-05i,0.00066408-0.00056043i,0.00090877-3.2366e-05i,0.0003152+0.00031078i,-0.00054451+5.9985e-05i,-0.00074787+5.0768e-05i,-0.00029779+0.00025398i,-0.00032193+0.00027985i,-4.8298e-05+0.00035652i,0.00023202-0.0001964i
-0.001664+0.00073323i,-0.000955+0.0010831i,-0.00051873+0.0015119i,-0.00012152+0.00051129i,0.00010017-0.00092344i,-0.00051307-0.0011498i,-0.0011154-0.0013355i,-0.0007204-0.00080878i,-0.00062183+0.0004247i,-0.00075106+0.00024358i,-1.9962e-05-0.00050935i,0.00039405-0.00041342i,-0.00025535-0.00023285i,-0.00056478-0.00043852i,-0.00049731-0.00043497i,-9.6674e-05-0.00034153i,0.00044702-1.5866e-06i,0.00067346+0.00037842i,0.00094586+0.001045i,0.0011382+0.0010248i,0.0011791+0.00031511i,0.00068282-0.00022143i,0.00067145-0.00013154i
0.00031594-0.00038001i,3.6155e-05-0.0014539i,-0.00039179-0.0021207i,-0.0003451-0.0018163i,0.00040249-0.0012019i,0.00028963-0.00086999i,-0.00014728-0.00078753i,-0.001313-0.00052027i,-0.0012343-0.00015495i,-0.00022051+0.00037091i,-0.00011326+0.00023848i,0.00020903-6.3765e-05i,0.00045993+0.00050153i,0.00052629+0.00093906i,0.0009119+0.00018899i,-0.00024569-0.00048028i,-0.001089-0.00061733i,-0.00099866-0.00034556i,-0.00066349-0.00012178i,0.00013624-0.00025427i,-2.0559e-05-0.00054524i,-0.00035998-0.00073441i,-0.00010567-0.00053396i
-0.001348+0.0019413i,-0.00046585+0.0015842i,0.00056118+0.00096788i,0.0011859+0.0012362i,0.00099021+0.00082183i,0.00077581-0.00093678i,0.00085837-0.00070013i,0.00058681-0.00039253i,-0.00050175-0.00090791i,-0.00086572-0.00043392i,-0.00077333+9.0747e-05i,-0.00036323+0.00018964i,-0.0001443+0.00059412i,-0.00023496+0.00031682i,-0.00025875+0.00025127i,-0.00010882-0.0003191i,0.00015665-0.0011706i,-0.00015226-0.00025288i,0.0003485+0.00053684i,0.00059022+0.00021406i,0.00033438-0.00074448i,0.00014023-0.00079614i,2.3099e-05-2.5066e-05i
0.0011229+0.00041943i,-0.00022155+0.00018399i,-0.0019329-0.00073941i,-0.0015673-0.00052175i,-0.00050856-0.00056271i,0.0010189-0.0012523i,0.0012753-0.0023126i,0.00040018-0.0024005i,-0.00056606-0.0014249i,-0.00082732-0.0012083i,-0.00042448-0.00069149i,0.0001594-0.00020395i,-0.00023269-0.00035636i,-0.0009802-0.00039997i,-0.00052113-0.00042518i,0.00021024-0.00039954i,0.00039114-0.00014655i,-3.9972e-05-0.00041693i,-1.9329e-05-0.00081875i,0.00021817-0.00057766i,0.00010116-0.00015892i,-0.00027216-2.5453e-05i,-0.00024082-6.0622e-05i
0.00014062-0.0007134i,2.704e-05-0.0010042i,-0.00051316-0.0011978i,-0.0013687-0.00084161i,-0.00070002-0.00042362i,0.0014376-0.00062722i,0.0016722-0.0010865i,0.00033565-0.00062849i,-0.0011135+0.00021604i,-0.0013863+0.0001737i,-0.00085005-0.00036502i,-0.00041647-0.00086465i,-0.00010855-0.00086067i,0.00021929-0.00072116i,0.0002409-0.0005455i,-0.00036627+0.00034014i,-0.00012721+0.00035985i,-0.000146-0.00014531i,-0.00065055+0.0003446i,-5.0557e-05+0.00081355i,0.00023687+0.00085505i,0.0002088+0.00091224i,-0.00054971+0.00056361i
0.0014008+0.0021913i,0.0019354+0.0013714i,0.0025873+0.0016434i,0.0026052+0.0016839i,0.0016778-0.00024084i,0.0010979-0.0014772i,0.0015127-0.0012432i,0.00079607-0.0012008i,0.00047954-0.0014967i,0.00085564-0.00072615i,0.00049743-0.00048048i,-0.000344-0.00037791i,-0.0015969-0.00043646i,-0.00091469-0.00015257i,0.00094567+0.00011514i,0.00059612+0.00045489i,-0.00026753+0.00063804i,-4.0476e-05+0.00058629i,0.0004635+5.7736e-05i,0.00066533-0.00029712i,0.00030179+0.00015772i,0.00031319-0.00012146i,0.00058105-0.00057446i
-0.001151+0.00048483i,-0.00056444-0.00038389i,2.2121e-05+0.0002244i,0.0013548-0.00024286i,0.0021139-0.00032642i,0.001572-0.00088135i,0.00077448-0.0017151i,-0.00041683-0.0012308i,-0.0011119-0.00063497i,-0.00025814-0.00049114i,0.00035298-0.00036281i,0.00019433-0.00057317i,-0.00013923-0.00075352i,-0.00027496+2.6885e-05i,-0.00054765+6.0248e-05i,-0.00077703-0.00056879i,-0.00074687-0.0011291i,-0.00085087-0.0013098i,-0.00048513-0.00046637i,0.00018856+0.00014997i,0.0003376-0.0002124i,-0.00054973-0.00019177i,-0.00054124+0.00016322i
4.0448e-05+0.00010817i,5.0553e-05-9.0703e-07i,-0.00019131+0.00016214i,2.1644e-05+0.00076057i,0.0006965+0.0010803i,0.00087708-0.00062707i,0.00022014-0.0020138i,-0.0010696-0.0013616i,-0.0018707-0.00038281i,-0.0017146-0.00018049i,-0.00094479-0.0013147i,-0.00026105-0.0014061i,0.00066234-0.00013403i,0.00085572+5.127e-05i,-0.00023736-0.0010319i,-0.00024142-0.0010372i,0.0004933+0.00066048i,0.00047179+0.00080234i,-0.00021309+0.00057535i,-0.00031356+0.00091952i,0.00035586+0.000437i,0.00033688-0.00035318i,-0.00014226+1.874e-05i
0.00091926-0.00037567i,0.0001282-0.00018876i,-0.0013121+5.7448e-05i,-0.0012975+0.00023034i,-0.00028113-0.00047405i,0.00058138-0.00020965i,-0.00021604+0.00024373i,-0.001279+0.00012465i,-0.00089819-0.00014013i,-0.00023639-0.00025889i,-0.0003791+0.00011711i,-0.0001378+0.00036625i,-0.00028306+0.00049859i,0.00026789+0.00039124i,0.00097831+0.00019467i,0.00017827-0.00050024i,-1.2979e-05-0.00077139i,-6.9607e-05+0.00036019i,0.00019707+0.00050044i,0.00059673+0.0001683i,0.00031485+0.00023204i,-0.00013304+0.00016915i,-0.00015329+0.00080049i
-0.00053043-0.00060667i,-0.00024437-0.00041494i,-0.00082172-0.001303i,-0.00073838-0.0015171i,0.00030952-0.00039443i,0.0014864+0.00052012i,0.0014277+4.7276e-05i,0.00061582-0.00046039i,0.00027883+0.00029349i,-0.00075588+0.00021034i,-0.00074755-1.7681e-05i,0.00030397-0.00021761i,0.00040734-0.00057371i,-0.00031223-0.00020961i,5.0354e-05-0.00072216i,0.00080274-0.001059i,0.0013005+0.00028363i,0.00135+0.00079693i,0.00082314+9.311e-05i,0.0010287+0.00040219i,0.0011429+9.4525e-05i,0.00046375-0.00044388i,-0.00014689-0.0001983i
0.00010863+0.00040013i,0.00057033-0.00022713i,0.00061142-0.0013089i,-5.583e-05-0.0014737i,-0.00021811-0.0017354i,0.00029846-0.0015001i,0.00048834-0.0012577i,-0.00013734-0.00083902i,-0.00029638-0.00082143i,8.1799e-05-0.0011236i,0.00049426-8.745e-05i,0.00041392+0.00063618i,-4.9338e-05-0.00043996i,-0.00022815-0.0012228i,2.3979e-05-0.001038i,0.00040279-0.00061216i,0.00064403-0.00032845i,0.00041462-0.00049651i,-0.00025883-0.00040722i,-0.00031398-9.5455e-05i,6.5807e-05+0.00014638i,0.00011176+2.5033e-05i,4.3478e-05-5.5276e-05i
0.00030723-0.0021941i,-0.00046873-0.001493i,-0.00076457-0.0010697i,-0.0019257-0.00039143i,-0.0026451+0.00014766i,-0.0012878-0.00012994i,-0.000535-0.00099142i,-6.8313e-05-0.00060033i,-0.00018498+0.00064794i,-0.00052047+0.00033331i,0.0006772-0.00064767i,0.0004762-0.00066342i,-0.00032185+7.9101e-05i,-0.00027645+9.9091e-05i,-3.2814e-06+0.00015357i,0.00017514+0.00032923i,-0.00010927+0.00029953i,-0.00061848+0.00020244i,-0.00060537-0.00020149i,-0.00032956+6.7803e-06i,-0.00042116+0.00065367i,-0.00049262+0.00059549i,1.0243e-05+0.00049418i
-0.0010708-8.9679e-05i,0.0011299-0.00018888i,0.0018127+0.00022298i,0.0016569-7.8229e-05i,0.0019617-0.00034284i,0.0017433-0.00030172i,0.0010426-0.00058334i,0.0001019-0.0011609i,-0.0005548-0.00074874i,-0.00032153+0.00014422i,0.00056713+0.00059424i,0.00084338+0.00039263i,0.00034011-3.0544e-05i,-0.00017671+7.2086e-05i,-0.00093843+0.00058916i,-0.00041472+0.00067982i,0.00031931+0.00037573i,4.1181e-05-0.0002822i,-9.0209e-05-0.00063794i,-6.6635e-05-0.0009421i,0.00022477-0.00095204i,0.00029643-0.00083772i,-0.00074854-4.7563e-05i
0.0026948-7.715e-05i,0.00085174-0.00031936i,0.00026533-0.0013852i,0.00033117-0.0016868i,0.00025653-0.0013126i,0.00078437-0.0010864i,0.00051454-0.00096717i,-0.00054031-0.0011802i,-0.00046102-0.0008887i,-0.00058381-0.00031669i,-0.0007516+0.00012218i,-3.9415e-05+0.0006059i,0.00018032+0.00095583i,-0.00021102+0.0006476i,-0.0004893+0.00010659i,3.3928e-05-7.8044e-05i,4.7729e-05+0.00026687i,-0.00041697+0.00068059i,-0.00010678+0.0005899i,2.1314e-05+0.00064822i,-0.00042181+0.00035593i,-0.00053472-0.00044803i,0.00046703-0.00024025i
0.00074115+0.0018612i,-0.00011951+0.0010099i,-0.00041999+0.00016935i,0.00080956+2.2749e-05i,0.0014701-4.8897e-05i,0.0013669-0.00023612i,0.0014317-0.00015275i,0.00090392+0.00077139i,6.8262e-05+0.0011526i,0.00016325+0.0006893i,6.0101e-06-4.6849e-05i,-9.1e-05+0.0002307i,-0.00012697+0.0003685i,-9.9824e-06-0.00031902i,-0.00012224-1.4075e-05i,-0.00025601+0.00022555i,0.00012424+0.00026342i,0.0002147+0.00099746i,0.00018832+0.00080407i,-0.00036058+3.7576e-05i,-0.00055527-0.00031859i,-0.00053909-0.00054279i,-0.00027142+7.4465e-05i
0.002133+0.0010766i,0.0017341+0.00070772i,0.00085407+0.00036773i,6.5852e-05+0.00014085i,-0.0007169-0.00088472i,-0.00060184-0.0020658i,0.00013533-0.0022807i,0.00016179-0.0014124i,-0.00085953-0.00025687i,-0.0010697-0.00040296i,-0.00048092-0.00085305i,-0.00010793-0.00023359i,3.8281e-05-1.1548e-05i,-0.00014258-9.8318e-05i,-0.00013898+0.00025521i,-0.00016079+0.00033459i,7.8221e-05+1.827e-05i,0.00034483-0.00012587i,0.0008378-0.0002276i,0.0010588-0.0003611i,0.00050728-0.0001003i,5.1398e-05-8.4252e-05i,-0.0003105-1.9048e-05i
-0.00089623+0.001368i,5.452e-05+0.0012373i,0.001313+0.00030183i,0.0021935-0.000885i,0.0023124-0.0015811i,0.0011938-0.0011234i,-4.107e-05-0.0007833i,-0.00080669-0.0005475i,-0.00068045+9.8163e-05i,-2.7407e-05+0.00029655i,0.00048695-3.4138e-05i,-0.00029313+6.776e-05i,-0.00045158+5.0104e-05i,-0.00013129-0.00061615i,-0.00047588+1.0671e-05i,-0.0011976+0.00064603i,-0.0010732+0.00043069i,-0.00027758+0.00063274i,0.00026333+0.00013209i,0.00019095+3.688e-05i,0.00012466+0.00018995i,4.2541e-05+0.00028213i,-0.00047751+0.00055028i
0.0022358+0.00045002i,0.0029573+0.0010144i,0.0028392+0.00037805i,0.0011418-0.00099285i,-0.00052102-0.0018128i,-0.00071651-0.0016809i,0.00021555-0.00064991i,0.00013107+0.00020141i,-0.00060296+0.00058887i,-0.0012912+3.001e-05i,-0.0009592-0.00059106i,-0.00059687-0.00022465i,-0.00061237+4.0808e-05i,-0.00034529+0.0001756i,-0.00011032+0.00053858i,0.00029455+6.9995e-05i,0.00021164-0.00066884i,-0.00060975-0.0012637i,-0.00069808-0.0007503i,4.545e-05+0.0004954i,0.00045115+0.00070737i,0.0004965+0.00046919i,0.00092935+0.00095983i
-4.4888e-05+0.00011677i,0.00053276-0.00073003i,0.00035586-0.00015512i,1.1865e-05+0.00031905i,0.00029192-0.00057949i,0.0013691-0.0007541i,0.00091886-0.00093212i,-0.00040162-0.00097457i,-0.0009502-0.00038194i,-0.0001428-0.00034822i,0.00067218+0.0001977i,-0.00012184+3.4777e-05i,7.9681e-05-0.00050658i,0.00082513+0.00017295i,0.00040168+0.00038176i,5.0251e-06+7.774e-05i,-0.00015467+0.00014892i,7.9953e-05+0.00060254i,0.00075036+0.00089398i,0.0006504+9.0233e-05i,0.00058968-0.00058659i,3.1674e-05-0.00034498i,-0.0001611+0.00015857i
-0.0011796+0.0012724i,-0.00063797+0.0021551i,-0.0010587+0.0019323i,-0.00031863+0.0015386i,-0.00028675+0.0013023i,3.2374e-05-0.00018951i,2.4089e-05-0.0006677i,-0.00085449-0.00068458i,-0.00076736-0.00054653i,-0.00035376-0.00051171i,-6.2896e-05-0.00089916i,7.5524e-05-0.0013948i,0.00024823-0.0011274i,0.00022371-0.00082586i,0.00017287-0.0003726i,0.00047396+0.0003479i,0.00036219+0.00022349i,6.1266e-05-0.00079812i,0.0001779-0.00089898i,0.00055217-0.00043713i,0.00078021-0.00026921i,0.00082342+0.00011687i,5.7554e-05-0.00024834i
0.00027113+0.00057907i,0.0010038+0.0006466i,0.0010947+0.0016738i,0.00047456+0.0013293i,0.00059558+0.00018176i,0.00068427-0.00084532i,-0.00010162-0.0012235i,-0.00069729-0.00053688i,-0.00096636+0.00012266i,-0.00051542+0.00080265i,-5.5153e-05+0.00054765i,-0.00069418-2.4709e-05i,-0.00090926-2.2721e-05i,-0.00015007+0.00021277i,8.3091e-05+0.0002451i,-0.00027374-0.00019232i,0.00026195-0.00035187i,0.0010638+0.00020457i,0.00094787+0.00082188i,0.00064822+0.0011122i,0.0008746+0.00070784i,0.00036061+0.00021146i,-0.00079505+5.887e-05i
-3.6943e-05+0.0002739i,0.00013386+0.00022289i,-1.3769e-05-0.00073874i,0.0012563-0.00081187i,0.001899-0.00035883i,0.00093326-0.0005706i,9.8631e-06-0.001447i,-1.5171e-05-0.0014266i,-0.00016339-0.00012714i,-0.00058532-0.00049088i,0.00018557-0.0013849i,0.0013321-0.00087865i,0.0011429-0.00011883i,0.00026857+9.2689e-05i,-0.00027914-9.0781e-05i,7.5663e-05+0.00067416i,0.00053624+0.0012414i,3.3987e-05+0.00021234i,-0.00024199-0.00037901i,-4.9779e-05-0.00012331i,0.00015308+6.838e-05i,-0.00021576+2.7353e-05i,0.00014509+0.0005747i
-0.00031254-0.0017844i,-0.0012087-0.0020977i,-0.0019211-0.0027132i,-0.0018619-0.0016194i,-0.0017051-0.00060452i,-0.00022739-0.00016729i,0.001287-0.00017067i,0.0015229+0.00019495i,0.00041318+0.0005156i,-0.00025558+0.00047334i,-3.3924e-05+5.6185e-05i,4.3888e-05-0.00043197i,-0.00018078-0.00041617i,1.5411e-05-0.00061062i,0.00014821-0.00066222i,-0.0003277-0.00038182i,-0.00046099-0.00033085i,-6.0652e-05-0.00014649i,0.00091749-0.00016505i,0.00062457-0.00061765i,1.483e-05-0.00071928i,0.00025603-0.00060389i,-0.00020003-0.00023873i
0.0001883+0.00070543i,0.0005041+0.00060768i,-8.3186e-05-0.00038155i,0.00019522-0.00038698i,0.0014862+0.00021534i,0.0020224-0.00016533i,0.0018104-0.00085511i,0.00048063-0.0013434i,-0.00044479-0.00078655i,-0.00084189-0.00043356i,-0.00093492-0.00063313i,-0.00080285-1.5567e-05i,-0.00029177+0.00037457i,3.4845e-05+0.00043389i,-0.0003825+0.00037815i,-0.00073598-0.00035812i,-6.5811e-05-0.00045999i,0.00039035-0.00050404i,0.00035822-0.00092124i,-0.00020833-0.00061334i,-0.00012351+0.00033881i,-0.000275+0.00094676i,-0.0003941+0.00035324i
-0.00029535-0.0012696i,-0.0013612-0.0011044i,-0.0011695-0.00069668i,-0.0010678-0.00036105i,-0.00065362-2.8742e-05i,0.00060039+0.00015579i,0.00052938+4.639e-05i,-0.00054705-0.0004516i,-0.00062663-0.00043956i,-0.00028408-0.00031397i,-0.00086545-0.00067471i,-0.00054722-0.00034528i,1.8756e-05+0.00038381i,0.00027446+0.00030946i,0.00045483+3.06e-05i,-7.7849e-07-0.00073556i,9.5728e-05-0.00035129i,-0.00038762+0.00038761i,-0.0009776+0.00020238i,-0.00040504+0.00011005i,-2.7605e-05-0.00030005i,-0.00015433-0.00062174i,-0.00039181+1.6414e-05i
-1.0736e-05-0.00043454i,5.2479e-05+0.0001732i,-0.0003992-0.0013249i,-0.000541-0.0020976i,-0.0009883-0.0010841i,-0.00043752-0.000884i,0.00071577-0.0004927i,0.00081549-0.0005714i,0.00052108-0.0004321i,0.0001051-0.00015552i,-0.00045116+1.6016e-05i,-0.00020931+0.00060641i,0.00059547+0.00084125i,0.0015119+2.1586e-05i,0.00094159-0.00070752i,-0.00058342-0.00054415i,-0.0003391-0.00072513i,0.00043464-0.00061235i,0.00045802+0.00032001i,0.00061329+0.00019537i,0.00048557-0.00017645i,0.00031591+0.00025416i,0.00025095+0.00020929i
-0.00076789-9.9393e-05i,-0.0011063-0.00015269i,-0.001201+0.00067334i,-0.00023821+0.00023018i,0.00010981+0.00011179i,-0.00030013+0.00029156i,1.8841e-05-0.00071244i,0.00029782-0.00087454i,0.00033162+0.00043957i,0.00036645+0.0010101i,-0.00059846-4.9415e-05i,-0.00073064-0.00084876i,-0.00050551-0.00042001i,-0.00025312-1.9191e-05i,0.0004938-0.00043111i,0.00035374-0.00040144i,-0.00061214+2.4056e-05i,-0.00071522+0.00017911i,-0.0003241+0.00021209i,6.5994e-05+0.00026192i,0.00029874-0.00013517i,0.00013877-0.00021308i,-0.00011672-2.0986e-05i
-7.4466e-05-0.0014972i,-5.6678e-05-0.00049176i,-0.00055996+0.00033972i,-0.00136+0.00018908i,-0.00086959+0.00055774i,8.485e-05+0.00047389i,0.00051423-0.00046869i,0.0005194-0.00058581i,0.00039184-0.00014089i,-0.00060674-0.00024858i,-0.0013354-0.00078439i,-0.00012873-0.00082118i,0.00068941+0.0001079i,0.00034188-0.0001916i,9.203e-05-0.0011034i,0.00020858-0.00033392i,-0.00021286+0.00050615i,-0.0010308+0.00039483i,-0.00052274+8.5369e-06i,0.00038086-0.00027285i,0.00071764+0.00015906i,0.00032826+0.0010219i,0.00043571+0.0010356i
