-0.0018771+0.00081752i,-7.4442e-05+0.00070496i,-0.00048025-0.00030825i,-0.00085057-0.0017197i,-0.0010957-0.0022926i,-0.00082112-0.0019549i,0.00063678-0.00049421i,0.0021402+0.00029603i,0.0028244-0.00033426i,0.0029307-0.00081639i,0.0017354-0.0010935i,0.00059187-0.0011523i,0.00016144-0.00044589i,-0.00015694-0.00063661i,-0.00039503-0.0011838i,-0.00056862-0.00094311i,-0.00072139-0.00089774i,-0.00071099-0.00045439i,-0.00022063-0.00034313i,0.0006228-0.00043552i,0.00024297+0.00021789i,-0.0005548+0.00028818i,-0.00061421-0.00040596i
-0.00029086+0.00013845i,-5.8329e-06-0.00056078i,0.00072782-0.00075569i,0.0013166-0.0017647i,0.0015589-0.0026555i,0.0014339-0.0020338i,0.0015194-0.00056055i,0.001806+0.00020606i,0.0020311-0.00042969i,0.0017729-0.00033735i,0.00084429-0.00019302i,0.00067246-0.00018257i,0.00059999-9.4849e-06i,0.00026655+4.6169e-06i,0.00029006+5.954e-05i,0.00047008-0.00058749i,0.00021367-0.00092078i,0.00029048-0.00091384i,0.00061386-0.00071642i,0.00046953+0.00016906i,0.00010233+0.00068538i,-4.199e-05+0.00057602i,-0.00027013+0.00059472i
0.0013566+1.2777e-05i,0.0015523-0.00025511i,0.0015602-0.0023556i,0.00037071-0.0031989i,-0.00066374-0.0028005i,-0.00022563-0.001526i,0.0015783-0.00012142i,0.0030441-8.533e-05i,0.0024367-0.00040038i,0.0012495-0.00048591i,0.00086443+0.00016909i,0.00091099+0.00066819i,0.00057738+0.00073852i,-0.00012541+0.00015209i,-0.00065508-0.00080428i,-0.00043262-0.00073681i,-0.00035474+0.00028232i,-0.00079679+0.00065579i,-0.00068326+0.00029531i,-0.00044245-1.4961e-05i,-5.537e-05-0.00013945i,0.0005862+0.0007043i,0.00056085+0.00051319i
-0.00017923+0.0016582i,0.0010244+0.000805i,0.0025302+0.00018523i,0.0039776-3.9937e-05i,0.0038736-0.0015815i,0.0023617-0.0017714i,0.0012563-0.00021645i,0.0016941+0.00083249i,0.0022991+0.00097174i,0.0013198+0.00058571i,-0.00013568-9.5737e-05i,-1.714e-05-0.00078802i,0.00043897-0.00053989i,0.00022441-0.00015059i,9.2075e-05-0.00069809i,0.00065429-0.00091837i,0.0011127-0.00077448i,0.00055432-0.00033345i,-0.00015423+0.00046759i,-0.00045746+0.00048919i,-0.00074039+0.00038652i,9.9114e-05-3.0422e-05i,0.00028108-0.00044028i
0.00051907+0.00098671i,0.00095844+0.00061435i,0.002429-0.00043265i,0.0023083-0.0026576i,0.0024018-0.0040843i,0.0015155-0.0028709i,0.00037782-0.00095484i,0.0013065+0.00030898i,0.0027943+0.0002549i,0.0025862-0.00011215i,0.0015697+0.0010006i,0.00095387+0.0017655i,0.00036113+0.00073458i,7.33e-05+5.5961e-05i,0.00055941+0.00033699i,0.00048995+0.0010043i,-0.00037337+0.00040057i,-0.00028029+9.5551e-05i,-0.00028719+7.6129e-05i,-0.00028518-0.00034354i,-0.00069304-6.1939e-05i,-0.0012321+0.00039383i,-0.00060041+0.00016782i
-0.00029998-0.0014109i,-0.00089143-0.0016077i,-0.00040042-0.0016461i,0.00050099-0.00089142i,9.1572e-05+0.00015953i,-0.00014161+0.00096736i,0.00085919+0.00077821i,0.0020891+0.00063947i,0.0023649+6.5278e-05i,0.001706-0.00026138i,0.0010979+0.00076432i,0.00071124+0.00084631i,0.00033875+1.3466e-05i,0.00028371-0.00089814i,0.00018765-0.00061087i,-0.00014485-3.3958e-05i,-0.00032479-0.00059869i,-0.00053316-0.00070835i,-0.00061876+0.00045856i,-0.00064746+0.00099432i,-0.00061827+0.001141i,-0.00055225+0.00089292i,-0.00020253+6.2717e-05i
0.00044216+0.0011167i,0.00086099-0.0001528i,0.002309-0.00056244i,0.0035939-0.00067234i,0.0028383-0.0011269i,0.00077544-0.00085393i,2.8286e-05-8.3805e-05i,0.00054224-0.00023969i,0.00066239-0.00051846i,0.00033299-0.00037774i,8.1519e-05-0.00023221i,0.00028763-0.00066126i,4.0042e-05-0.0011423i,-2.0841e-05-0.00052596i,-0.00025753+0.00034341i,-0.00046148-0.0002212i,0.00022261-1.9698e-05i,0.00062434-0.00021304i,-6.3502e-05-0.00069445i,-0.00038043-0.00037267i,-0.00072722-0.00062017i,-0.00058869-0.00080398i,0.0001465+5.8201e-05i
0.0026243+0.0013203i,0.0031426+0.00020546i,0.0031-0.0020231i,0.0028485-0.003488i,0.0018423-0.0034534i,6.7538e-05-0.0023874i,-0.00012342-0.00066512i,0.00084667+0.00055756i,0.0018656+0.00047782i,0.0023396+0.00053749i,0.0018321+0.0010691i,0.0011804+0.00083651i,0.00062131+0.00034227i,0.0006283+0.00068676i,0.00032229-9.0297e-05i,-0.00047653-0.0010973i,-0.00084679-0.00088127i,-0.00062224-0.00032752i,-0.00021317-1.2314e-05i,7.9419e-05-0.00040655i,0.00012147-0.00055301i,0.00012714-4.4851e-05i,-0.00020066-0.00011604i
-0.00034653+0.001242i,0.00075994+0.00047888i,0.0019546-0.00088694i,0.0022382-0.0017641i,0.0011544-0.0019133i,0.00034187-0.0018566i,-0.00052078-0.0008011i,2.0703e-05+0.0003854i,0.00095385+0.0010856i,0.00064853+0.00076869i,0.00054053+0.00057769i,0.00048363+0.00034946i,3.7621e-05-4.1496e-05i,-0.00052508-0.00037173i,-0.0004185-0.0006945i,0.0003373-0.0011916i,-0.00010966-0.00091106i,-0.00080446-0.00036306i,-0.0003165+7.6554e-05i,0.00032335+0.00019922i,0.00036098-0.0002258i,5.7607e-06+4.9973e-05i,-0.00013147+0.00032194i
0.00053959+0.00077923i,0.00063225-0.00012458i,0.0001877-0.00087998i,0.00049297-0.0021975i,0.00090322-0.0025724i,0.00057226-0.00099937i,0.00029011-0.00027497i,0.0011381-0.00043466i,0.0018963-0.00018316i,0.0012567-9.9784e-05i,0.00035577-0.00018635i,0.00055553+0.00015112i,0.0006371-7.7193e-05i,0.00049526-0.00075088i,0.00072279-0.0012626i,0.00029869-0.0009576i,-0.00058396-0.00027478i,-0.00062759-0.00016391i,-0.00015818+0.00025759i,9.7993e-05+0.00059664i,0.00046889+0.00067696i,0.00098364+0.00061377i,0.00070474+0.0010387i
-0.00058651+7.0305e-05i,-0.001058-0.00028204i,-0.00052893+0.00074006i,0.0004936+0.00051813i,0.0010871-8.5931e-05i,0.00069098-0.00038714i,0.0011009-0.00088855i,0.0018902-0.00085505i,0.0022345-0.0012054i,0.0016577-0.00082405i,0.00039229+0.00011678i,-3.331e-05+0.00024499i,-0.00022775+0.00021215i,-0.00044287+0.00055211i,-0.00018374-0.0002759i,0.0003328-0.0011116i,0.00070119-0.00081044i,0.00018507-0.00069262i,-0.00098409-0.00084636i,-0.001123-0.00062085i,-0.00035389+0.00036078i,-0.00029853+0.00090428i,-0.0010029+0.00052603i
-0.00016256-0.0016413i,-0.00059984-0.0012815i,-0.00077982-0.00072703i,-0.00015416-0.00040658i,-0.00018085-0.0013212i,-0.0007098-0.0011462i,0.00067758+0.00023464i,0.0027303+0.00018331i,0.0025194-0.00011592i,0.00065455-0.0001696i,0.0003498+3.5196e-05i,0.00049111+0.000903i,3.8622e-05+0.00098941i,0.0001476-0.00026144i,-0.00024574-0.00093256i,2.7119e-05-0.00057557i,0.00031282+0.00010614i,-0.0003208+0.00066437i,-0.00013399+0.00069023i,0.00022583+0.00011974i,0.0010384-0.00011172i,0.00070165+0.00034865i,6.8211e-05+0.00048651i
-0.00055085+0.00018823i,-0.00074848-2.9994e-05i,0.00015717-0.00030088i,0.0015328-0.001234i,0.0014758-0.0018211i,0.0010793-0.0014352i,0.0013771-0.00048637i,0.0016584+0.00057784i,0.0018897+1.9508e-05i,0.0012852-0.00058216i,0.00063042-0.00016867i,5.5543e-05+0.00022287i,-0.00013938-0.0002203i,-0.00019895-0.00068097i,-0.00043464-0.00060924i,-0.00064014-6.1519e-05i,-0.00046559-0.00016126i,0.00028596-0.00025301i,0.00038868-0.00039128i,0.0001508-4.8765e-05i,-8.929e-05+0.00041262i,-0.0008174+0.00036934i,-0.00094222+0.00040545i
-0.0011647+0.00016489i,0.00027808+0.0014303i,0.00070568+0.0016557i,0.00064219+0.00067623i,-0.00026703-0.0009434i,-0.0010945-0.0015012i,-0.00075631-0.00095519i,5.7972e-05-0.00032961i,0.00046687+0.00025856i,0.00044651+0.00024396i,-3.6962e-05-0.00018223i,0.00022535-0.00054266i,0.00088748-0.00070459i,0.00063117-0.00090245i,-0.00010918-0.0010582i,0.00010352-0.0011903i,0.00039182-0.0012298i,6.4152e-05-0.00067717i,-3.8359e-05+0.00016926i,0.00028711+0.00081876i,0.00077981+0.00063973i,0.00058829+0.00050867i,2.1787e-05+0.00089813i
-0.00052516-0.0024017i,-0.0012155-0.002261i,-0.0017793-0.0023677i,-0.00019327-0.002385i,0.00054727-0.002063i,0.0011096-0.0016311i,0.0017508-0.0012873i,0.0011063-0.0016024i,0.00069426-0.0019868i,0.00054877-0.0015215i,9.0385e-06-0.0004591i,0.00063877+0.00014468i,0.0014649+0.00017413i,0.0013222-2.2006e-05i,0.0012248-0.00034519i,0.00096326-0.00073622i,0.00048072-0.00044321i,0.00061587+4.3663e-05i,0.00049157-0.00022207i,0.00029326+0.00033945i,0.00072523+0.00089887i,0.00049399+0.00046044i,5.8705e-05+4.1583e-05i
0.00072137+0.0025366i,0.0020455+0.0027424i,0.0034855+0.0022117i,0.0035755-0.00023334i,0.0034707-0.0021435i,0.0028341-0.0013709i,0.0019001-5.5596e-05i,0.0016814+0.0004782i,0.0024054+5.6757e-06i,0.002605-0.00061967i,0.0018455-0.00019179i,0.0014759+0.00058162i,0.0010381+0.00037442i,8.5232e-05-0.0001483i,-0.00010123-3.2441e-05i,8.7716e-05-0.0006285i,-4.6487e-05-0.00059969i,5.2578e-05+0.00013008i,0.00015091-0.00043852i,-8.6601e-05-0.00076501i,-0.00051707-8.6088e-05i,-0.00038667+0.00058073i,0.0002169+6.309e-05i
-0.0018705-0.00061712i,-0.0013361-0.00025183i,-0.001076-0.0016336i,0.00030415-0.0025178i,0.0012908-0.0022278i,0.00086813-0.0018018i,0.00027596-0.00058309i,0.00083343+2.9823e-06i,0.0010155-2.0949e-05i,0.0012649-1.8304e-05i,0.001646+0.00072242i,0.00076829+0.0014202i,-1.8665e-05+0.0007882i,8.9729e-05-0.00074009i,0.00045432-0.00068487i,0.00053106-0.00042762i,0.00020024-0.00068503i,0.00017943-0.00052249i,-6.9566e-05-0.00024232i,0.00034782+2.6107e-05i,0.00087582+0.00035107i,0.00085966-0.0001136i,0.0011657-0.0008069i
-0.00031941-0.0016646i,-0.0018254-0.0011264i,-0.0020549-0.0012356i,0.00059875-0.001914i,0.0016531-0.0010096i,0.00088239-0.00033619i,0.000614-0.0001066i,0.00086697-1.2055e-05i,0.0015658+0.00010493i,0.0015081+0.0008832i,0.0010082+0.0015647i,0.0014222+0.001353i,0.0015975+0.00054078i,0.0015247-0.00029526i,0.0012217-0.00030847i,0.00072622-0.0009954i,0.00043256-0.0015319i,-0.00012167-0.00095715i,-0.00016697-0.00029549i,0.00031842+0.00012665i,-1.6518e-06+0.00080321i,-0.00084813+0.00036836i,-0.001019-0.00018924i
0.0035933-0.00030315i,0.0038755-0.0011764i,0.0041264-0.002504i,0.0032996-0.004062i,0.0011917-0.0050065i,-0.0010096-0.0031221i,-0.00063756-0.00024005i,0.0011226+0.00026344i,0.0010703-0.0001186i,0.00054581-0.00035333i,0.00045662-8.2309e-05i,-5.4808e-05+0.00048399i,0.0003023+0.00042182i,0.0012901+0.00023465i,0.0017155-0.00017088i,0.00096788-4.6846e-05i,0.00012711+0.00074745i,0.00012984+0.0005418i,0.00022676+0.00055439i,-8.577e-05+7.2556e-05i,-0.00087892-8.024e-05i,-0.00066074+0.00028356i,-0.00018288+4.4385e-05i
0.00049955+6.9604e-06i,0.00088284-1.2093e-06i,0.0019818-0.00083808i,0.0032024-0.0020581i,0.0031345-0.0020118i,0.0015933-0.0018798i,0.0014871-0.0010262i,0.0023974+8.6604e-05i,0.0018419+0.00080918i,0.0020692+0.0003365i,0.0014805-0.0012887i,0.00010958-0.00099186i,-1.2729e-05-6.6031e-05i,0.00031691-3.1947e-05i,0.00014722+0.00022687i,-0.00085122-4.2997e-05i,-0.00099329-0.0014676i,-0.00021358-0.0020756i,-9.2245e-05-0.0017418i,-0.00032479-0.00070306i,5.8392e-05-8.2967e-06i,0.00033595-0.00057932i,0.00033272-0.00054007i
0.00031551-0.00018906i,0.00038853-0.00027719i,0.0014801-0.00064001i,0.0027038-0.002129i,0.0032895-0.0023043i,0.0021414-0.0016472i,0.00095663-0.00097577i,0.0010184-0.00032266i,0.00052792+0.00033776i,0.00064262+0.00098154i,0.0010217+0.0012266i,0.00064551+0.00076837i,0.0003553+5.3537e-05i,-0.0003407+5.4073e-05i,-0.00084219-0.00010047i,-0.000623+4.3425e-05i,-0.00051395+1.9634e-05i,-3.5488e-05-0.00037605i,0.00067097-0.001415i,0.0012687-0.0013798i,0.0012331-0.00028587i,0.0005054+0.00020971i,9.1533e-05-6.2015e-05i
-0.0011997+0.000363i,0.00074313+0.0010512i,0.0012738+0.00087915i,0.0014661+0.00067902i,0.00049329-0.00077355i,-0.00020408-0.0019496i,0.00042707-0.0010522i,0.0013367-0.0015646i,0.0011665-0.0018937i,0.00033614-0.0010906i,6.506e-05-0.00087919i,5.475e-05-4.402e-05i,-0.00041102-0.00019193i,-0.00079145-0.00019695i,-0.00082663+0.00089745i,-0.00059384+0.00035283i,-4.7593e-05-0.00034127i,0.00015979+5.2994e-05i,-0.00094716-1.2123e-06i,-0.0014782+0.0001372i,-0.00064961+0.00040087i,0.00024839+0.00040069i,0.0010928+0.00053599i
-0.0019945+0.00099102i,-0.00020728+0.0012869i,0.0005438+0.0022451i,0.0011747+0.002024i,0.0011926-0.00018049i,0.00064735-0.0025041i,0.00013832-0.0022607i,0.00070835-0.0011194i,0.0019288-5.5813e-05i,0.0017278+0.00066431i,0.0010031-0.00023597i,0.00089244-0.0012668i,0.0010493-0.0013175i,0.00099958-0.00086458i,5.194e-05-0.00013829i,-0.0004035-0.00029495i,0.00063378-0.00084319i,0.00060898-0.00047101i,-0.00015471-2.0198e-05i,0.00030095+0.0002433i,5.959e-05+0.000205i,-0.00013191-0.00016329i,0.00021668+6.5755e-05i
-0.0012415+0.00075489i,-0.00057848-6.0229e-05i,0.0010872-0.00036083i,0.0027722-0.001216i,0.0030885-0.0021764i,0.0023118-0.0018443i,0.0019298-0.001162i,0.0018633-0.00043173i,0.0019775+0.00020397i,0.0015611+0.00021979i,0.00019964-1.3541e-06i,-0.00015944-0.00061146i,0.00029456-0.00088519i,0.00085648-0.00078558i,0.0013604-0.00057616i,5.0743e-05-0.00045618i,-0.00059657-0.00076621i,-0.00019129-0.00056277i,-0.0005423+2.54e-05i,-0.00063371+0.0001898i,-0.000443+7.0792e-05i,0.00053184+0.00070818i,0.0011271+0.0014333i
-0.0010777+0.0011403i,-0.00067736-0.00014715i,8.9871e-05-0.00010135i,0.0010814-0.00093004i,0.000566-0.0023505i,0.00016523-0.0023839i,0.0014435-0.00084159i,0.0028609+4.7189e-05i,0.0020813+0.00043679i,0.0014275+0.00093654i,0.0017351+0.00034252i,0.0008759-3.4066e-06i,1.2726e-05-6.9764e-05i,-0.00014648-0.00095702i,1.615e-05-0.0010871i,0.00026848-0.00076252i,0.00069156-0.00036839i,0.0011607+0.00048828i,0.0010848+0.00028474i,0.00024066-0.00016802i,-8.9073e-05-0.00016755i,0.00035695-0.00014009i,0.00031612-7.4075e-05i
0.0019317-0.00093836i,0.0014715-0.00057669i,0.001733-0.001407i,0.0019131-0.0023037i,0.0014283-0.0029867i,3.8105e-05-0.0019188i,-0.0001648-0.00059854i,0.0013931+5.4577e-05i,0.0018817+0.00053727i,0.0011549+0.00039956i,0.00084735+0.00053559i,0.0011174+0.0010777i,0.00045731+0.0011479i,-0.0001543+0.00048161i,0.00016436-1.8337e-05i,0.00044644+0.00012746i,-8.4998e-05+0.00079306i,-0.00039601+0.00081266i,-0.00024892+0.00042235i,0.00040466+0.00076609i,0.00063245+0.0010589i,5.2469e-05+0.00038325i,0.00027351-0.00018625i
0.00071679-0.00094709i,0.00092916-0.00032829i,0.0010141-0.001147i,0.00032932-0.0026895i,-0.00025061-0.0032184i,-0.00048677-0.0024777i,0.00077662-0.0013524i,0.0020092-0.0006748i,0.0022694-0.00046309i,0.0022671+0.00011964i,0.0016542+0.00082321i,0.0004222+0.0012955i,-0.00025031+0.00035778i,5.7086e-05-0.00024358i,0.00054478-0.00077619i,0.001096-0.0016869i,0.00080034-0.0014874i,0.00019432-0.00052708i,-2.7043e-05+0.00036491i,-0.00013171+0.00099755i,-0.00015364+8.6318e-05i,-0.00047271-0.00076532i,-0.00052452-0.00079907i
0.0020819+1.5223e-05i,0.0014924-0.00036159i,0.0013442-0.0015642i,0.0012558-0.0036917i,0.0013739-0.0036837i,0.0013208-0.0023719i,0.0017398-0.00066034i,0.0023049+0.00041575i,0.0024828+0.00018033i,0.0017235-0.00047041i,0.0011393-0.0005503i,0.0012542-0.00018699i,0.0010688-0.00044956i,0.00098199-0.00031594i,0.00094531+0.0005233i,0.00053267+0.00020421i,-0.00061747-0.00037999i,-0.00082158-0.00043425i,-0.00032417-0.00062277i,-0.00031166+7.6091e-05i,0.00024931+0.00046483i,0.0010241+0.00026499i,0.00095504+0.00036046i
0.0017606+0.00084695i,0.0028156+0.00097171i,0.0029771+0.00025621i,0.0039627-0.0020897i,0.0039628-0.0031303i,0.0013057-0.0023048i,0.00082055-0.0015769i,0.0023301-0.0010162i,0.0032684+8.7285e-07i,0.0030479+0.00036438i,0.0018734+0.00066955i,0.0010631+0.00081919i,0.00038719+0.00061888i,0.00010097+0.00060731i,0.00019957+0.00073164i,0.00044451+0.00020035i,0.00020143-0.00048819i,1.3498e-05-0.0003405i,6.9747e-05+0.00022642i,0.00042054+0.00057246i,0.0006654+0.00068523i,0.0010718+0.00030407i,0.0012155-7.9332e-05i
0.0017215-0.0026032i,0.0014545-0.0017047i,0.0012269-0.0022219i,0.00083446-0.0031277i,0.00016041-0.0039308i,0.0002171-0.0021128i,0.00037155+0.0001029i,0.0013167+0.00018682i,0.0023503-0.00032603i,0.0015021-0.00017217i,0.00057413+0.0004647i,0.0009374+0.0010346i,0.00052604+0.0012658i,-0.00045686+0.00055453i,0.00041306-0.00016207i,0.00031953-0.00085472i,-0.00065396-0.0013647i,8.4687e-05-0.00080347i,0.00091777+0.0004204i,0.00081132+0.00071353i,0.00097788+0.00029502i,0.00097622+0.00076213i,0.00026587+0.00064394i
0.0015852-0.0015761i,0.0014564-0.0020575i,0.0010023-0.0033054i,0.00081666-0.0038012i,0.0006828-0.0029268i,-0.00032918-0.0017295i,-0.0003289-0.00049254i,0.0012189+0.00033635i,0.0012036+0.0004501i,0.00034694-0.00032901i,0.00066857-0.00077805i,0.00091483+8.4198e-05i,0.00026259+0.00095996i,-0.00044957+0.00064714i,-0.00012001+0.00072695i,0.00027142+0.00069168i,0.00061506-0.00030938i,0.00057728-5.3779e-05i,0.00024215+0.00070709i,-0.00052064+0.001127i,-0.00073525+0.00069386i,-0.00040471+0.00016575i,-0.00022028+0.00033792i
