-8.4717e-05+0.00089297i,-0.00081636-0.00054797i,-0.00011659-0.0021875i,-0.00098118-0.0023839i,-0.0022113-0.00095161i,-0.0027663+0.0012913i,-0.0018438+0.0022352i,0.00014307+0.0016849i,0.00098682+0.0010234i,0.00096828+7.5237e-05i,0.00034488-9.2244e-05i,-4.1369e-05+0.00021484i,0.00055376+0.00025133i,-0.00021021+0.0001525i,-0.00049594-0.00021962i,0.00017804-0.00068378i,0.00055472-0.00091857i,0.0006158-0.0002505i,0.00014289+0.00044627i,6.2658e-05+0.000697i,0.00040681+0.00025945i,0.00059043-8.892e-05i,0.00041435-0.00041827i
-0.0018566+0.002717i,-0.0012215+0.002654i,-0.00080058+0.002002i,-3.3818e-06+0.00085061i,-0.00017012-7.4292e-05i,-0.00081816-0.00054399i,-0.00073438-0.0010084i,-0.00079038-0.0010216i,-0.0011462+0.0010273i,-0.00041161+0.0027292i,0.00084994+0.0017358i,0.0014123+0.00061921i,0.00097887+0.00077395i,-7.6983e-05+0.00063607i,-0.00016781+5.1544e-05i,-6.4531e-05-0.00059224i,-8.066e-05-0.0014722i,-0.00082008-0.0013366i,-0.0016081-0.00036721i,-0.00097847+0.00091509i,-0.00052552+0.0019576i,-0.00079046+0.0015814i,-0.0006702-0.00019507i
-0.0014116-0.00023252i,-0.0013364-7.288e-05i,-0.0016317+0.00016405i,-0.0021091+0.00058703i,-0.0029864+0.0012456i,-0.0026632+0.0013687i,-0.00048356+0.0013025i,0.00085479+0.0010245i,0.00052689+0.0010292i,-0.00059884+0.0015585i,-0.00066429+0.0022937i,0.00017818+0.0019378i,0.00022428+0.00067323i,-0.00063083+0.00018951i,-0.0014732+0.00016835i,-0.0012078-0.00075806i,-0.00019538-0.00031124i,0.00086883+0.0013896i,0.0015509+0.0023186i,0.0014032+0.0019147i,0.00088786-1.5107e-05i,-0.00010817-0.00088949i,-0.00043855-0.00087359i
0.0022655-0.0012029i,0.0012269-0.00013991i,0.0014634-0.0011676i,0.0007759-0.0022286i,-0.00043747-0.0014294i,-0.00077052+0.00042304i,-0.00032786+0.0010318i,0.00023751+0.00070466i,-6.4521e-05+0.00088051i,-0.00035529+0.0013327i,0.0001771+0.0011739i,-0.00020565+0.0020906i,-0.0010637+0.0023447i,-0.00055149+0.0011204i,-0.00045205+0.00055623i,-0.00093768+0.00034856i,-0.0011862+1.2219e-05i,-0.00059005-0.00022576i,-0.00040488-0.00045256i,-0.0011112-0.00024936i,-0.0010679+0.00046128i,-0.0013338+0.0010104i,-0.0016157+0.001215i
-0.0020142+0.00049425i,-0.0012129+0.0010779i,-0.0013219+0.00049151i,-0.0013024+9.8449e-05i,-0.0013893+0.00031236i,-0.0013557+0.00079693i,4.3147e-05+0.00067372i,0.00024384+0.0011031i,-0.0012461+0.0018129i,-0.0011596+0.0016511i,4.8892e-05+0.00097761i,0.00046338+2.0888e-05i,0.0002265-0.00024503i,-6.5191e-05-9.6066e-05i,-0.00035521-0.00019214i,-2.9336e-05-0.00078303i,0.001041-0.0006638i,0.0019314+0.00059525i,0.002291+0.0014202i,0.0018226+0.0012852i,0.0011667+0.00069632i,0.0011622+0.0003221i,0.0012837+3.8419e-05i
0.00080216-0.00068287i,0.00082059-0.00066699i,0.00028232-0.0013894i,-0.00044124-0.0026264i,-0.0016168-0.0028382i,-0.0014403-0.0018746i,-0.001043-0.0014969i,-0.0011263-0.0015748i,-0.00047367-0.0011195i,-1.9763e-05-0.00017145i,-0.0002247-0.00014723i,-0.00017065+0.00011148i,0.00027017+0.0009914i,0.00050138+0.00085169i,0.0010995+0.00088579i,0.0011935+0.00083111i,0.0012649+0.00034803i,0.00027545-0.00011157i,-0.0012901-0.00068013i,-0.0014799-0.00086125i,-0.0011543+9.9055e-05i,-0.0012812+0.0010666i,-0.0015313+0.0013033i
0.0025375-0.00011488i,0.0024374-7.9141e-05i,0.0018011-0.0017669i,0.00087281-0.0032735i,-0.00064813-0.0021612i,-0.0022694-0.00045917i,-0.0021609+8.4926e-05i,-0.0011731+0.00047626i,-0.00083097+0.0010465i,-0.00085993+0.00095101i,-0.00087283+0.00089644i,-0.00039202+0.0011479i,-0.00034385+0.001355i,-0.0001639+0.00095844i,0.00051245+0.00011067i,0.00016731-0.00011437i,-0.00020992+0.00015528i,0.00022052+0.0012457i,0.0017069+0.0016536i,0.0019915+0.00085502i,0.00099452+0.0001258i,0.00069954-0.00013246i,0.00038136+3.8224e-05i
0.0018841-0.00011458i,0.0014918-0.0011947i,0.0016472-0.0033834i,0.0011033-0.0040695i,0.00028459-0.003461i,-0.0011219-0.0014741i,-0.0018406+0.00094406i,-0.0016049+0.0016457i,-0.0010093+0.0013235i,-0.00039244+0.00068216i,-0.00037342+0.0003274i,-0.0004332+0.00089071i,-3.3941e-05+0.00090658i,4.6226e-05+0.00025987i,-0.00015578-0.00039106i,-5.5341e-06-0.0010546i,0.00010443-0.0012372i,6.1623e-05-0.0013077i,-0.0004135-0.0015248i,-0.0015081-0.00096909i,-0.0019034+4.6318e-05i,-0.00099086+0.0011191i,-0.00020586+0.00093478i
0.00067639+0.0012262i,-0.00020828+0.001274i,-0.00089393+0.0011135i,-0.0016463-8.3321e-05i,-0.0031021-0.00022821i,-0.0025569-0.00087629i,-0.00082692-0.0014222i,-0.00027804-0.00034182i,-0.0007025+0.0012748i,-0.00074888+0.0014272i,0.00012281+0.00051309i,5.4456e-05-0.00078018i,-0.00045491-0.00088993i,-0.0014697-4.2047e-05i,-0.0019118+3.2545e-05i,-0.0012686-0.00027188i,-0.0012493-1.6855e-05i,-0.0003956+0.00043341i,0.0013456+0.00095849i,0.002315+0.0015779i,0.0018275+0.0018993i,0.00038375+0.0010851i,-0.00067825+0.00044166i
0.0033578+0.00016715i,0.0032539+0.00077757i,0.0039249-0.00077267i,0.0030383-0.0021339i,0.001087-0.0018627i,-0.00047579-0.0008716i,-0.00084068-0.00032376i,-0.00066091-1.8228e-05i,-0.001222-0.00023413i,-0.00095519-0.00011159i,-0.00059906+0.00040941i,-0.001124+0.00075689i,-0.0017836+0.0013786i,-0.0020288+0.0013118i,-0.0011352+0.0010602i,-0.00056454+0.0014134i,-0.0010942+0.00047914i,-0.00081297-0.0012403i,-4.4119e-07-0.0013197i,-0.00041809-0.0014743i,-0.0010241-0.0014033i,-0.00074022-6.244e-05i,-0.00027811+0.00081717i
3.8717e-05-0.0028582i,-0.00042626-0.0031007i,-0.0010481-0.0033011i,-0.0024421-0.0036337i,-0.0031335-0.0040416i,-0.0028406-0.0025901i,-0.0013474-0.0009766i,0.00019501-0.00072813i,-1.404e-05+0.00073244i,-0.00077281+0.0013302i,-0.0013346+0.00094632i,-0.0012188+0.0011574i,-0.00038467+0.00087078i,0.00012188+0.0007288i,8.9958e-06+0.00070153i,9.0248e-05+0.00031209i,0.00034074-0.00034899i,0.00080662-0.00063804i,0.0014178+0.00074174i,0.00056126+0.0021108i,0.00039968+0.0012373i,0.00069935-0.00010487i,-2.9211e-05-0.00041641i
0.0021134+0.0020781i,0.0031291+0.0012721i,0.0041625+0.0008203i,0.0031187-0.00078739i,0.00033284-0.0020267i,-0.0011751-0.001575i,-0.00092808-0.00015752i,-0.0012209+0.00055225i,-0.0014482+0.00074475i,-0.0013013+0.0010925i,-0.00083212+0.00064399i,-0.00063976-4.9535e-05i,-0.0011635-0.00039335i,-0.0006925-0.00060751i,-0.00045028-0.00025194i,-0.00040023+0.0004031i,0.00031849+9.7307e-06i,0.00076503-0.00045747i,0.0010897-0.00022994i,0.00076664-0.0002726i,0.00029028-0.0005918i,-5.8099e-05-0.00039766i,-6.0175e-05+0.00040953i
-0.0015044-0.00096704i,-0.00091676-0.00033631i,-0.002382-0.0004807i,-0.0026415-0.0014579i,-0.002324-0.0011294i,-0.0019949+2.5129e-06i,-1.7383e-06+9.8164e-05i,0.0013666+0.00060498i,0.00024383+0.0013612i,-0.00086187+0.0011874i,-0.00055048+0.0010325i,0.00021243+0.0010731i,0.00037267+0.0011074i,-3.9174e-05+0.00070571i,8.6939e-05+0.00050301i,0.00020345+0.00079993i,0.00021347+0.00061994i,0.00020765+6.2753e-05i,0.00029487+0.00052509i,0.00066701+0.0015461i,0.00085634+0.0017122i,0.00037078+0.0010088i,-0.00054529+0.00029612i
-0.00060928+3.5049e-06i,-0.00088978-0.00025521i,-0.0010757+0.00089391i,-0.0013813+0.0016156i,-0.0023059+0.00092177i,-0.0020234+2.5117e-05i,-0.0010716+0.0013276i,-0.0015831+0.0011523i,-0.0021342+0.00042374i,-0.0012042+0.0011272i,3.9308e-05+0.00098472i,0.00044612+0.00028625i,1.8208e-05+0.00044195i,-0.00021133+0.00088636i,0.00026444-7.7105e-05i,0.00082566-0.00011889i,0.0009412+0.00057626i,0.00074073+0.00085562i,0.0010127+0.00029368i,0.0014199-0.00094713i,0.0010841-0.0014897i,0.00041339-0.00086848i,0.00043889+0.0001842i
