-0.0035126+0.0012978i,-0.0021509+0.00065372i,-0.0016543+0.00074233i,-0.0016571+0.0005539i,-0.0010687+0.00086737i,-0.00071968+0.0017477i,-0.00092969+0.001869i,-0.00097959+0.00074532i,0.00070782-2.1728e-05i,0.0025277+0.00095398i,0.002258+0.0010503i,0.0010852-0.00035734i,0.00050465-0.00054998i,0.00052936-0.00021468i,0.00096595-0.00021941i,0.0012807-0.00013708i,0.0007192-0.00062745i,0.0003956-0.00068502i,-2.2312e-05-0.00027191i,-0.00039449-0.00021455i,0.00042542-0.00042991i,0.00057941-0.00029964i,-0.00018634+9.7936e-05i
0.0018508-5.4014e-05i,0.00020947-0.0009585i,-0.0012982-0.0013691i,-0.00090404-0.0010837i,0.00010811-0.0001686i,0.00028291-6.9285e-05i,7.81e-05-0.00045191i,0.0001525-0.00070904i,0.00025189-0.00016026i,2.7164e-05+0.0005603i,-0.00015547+0.00099978i,0.00011858+0.00072882i,0.00047045+0.00061293i,0.0004291+0.0002947i,0.00028159-0.00037542i,1.5386e-05-0.00034437i,-0.00028326-0.00052924i,-1.7143e-05-0.00026425i,0.00023424+0.00016349i,0.00017388-0.0001471i,7.6459e-05+0.00034343i,0.00019581+0.0010195i,0.00020753+0.00081773i
-0.002276+0.00014936i,-0.0013759+0.00073049i,0.00010579+0.00062348i,0.0006757-0.00012031i,0.00048003-0.00061251i,0.00028658+0.00019001i,0.00031388+0.001078i,-0.00031379+0.0004204i,-0.00049834+0.00016601i,0.00032469+0.00052765i,0.00020997+0.00019751i,-0.00032602-0.00036441i,-0.00020971+0.00015193i,0.00019241+0.00017046i,-0.00011818-0.000117i,-0.00016651+1.8607e-05i,0.00013747-0.00042284i,0.00017392-0.00068588i,4.3511e-05-0.00090956i,-5.7859e-05-0.00048722i,-5.9258e-05+0.00069904i,5.2416e-05+0.00074241i,-0.00018061-0.00053456i
1.6799e-05-0.00069025i,-0.00025341-0.00065536i,-0.0004803-0.0008119i,0.00016777-0.0010613i,0.0010424-0.00032537i,0.0014923+0.00044428i,0.0010968+0.00024456i,0.00044125-0.00030136i,0.00058542-9.5782e-05i,0.00072639-0.00029975i,8.6132e-05-0.00077185i,-0.00013787-0.00016896i,-0.00015127-2.5137e-05i,0.00015921+0.0002274i,0.00049041+0.00059831i,0.00026874+0.00023129i,0.00022616+0.00045131i,6.9224e-05+0.0015068i,-0.00019969+0.0016184i,-0.00053289+0.00071511i,-0.001023+5.6385e-05i,-0.0011699-0.00034404i,-0.00041875-0.00027444i
-0.00034447+0.0014278i,6.8267e-05+0.0013987i,-0.00081575+2.3129e-05i,-7.2225e-05-0.00046687i,0.0005568-0.00089821i,-8.3119e-05-0.00042011i,-0.00092972+0.00018826i,-0.00092361-0.00017848i,0.00059538+0.00018196i,0.001278+0.00068694i,4.8793e-05+3.1459e-05i,-0.00024317-0.00059692i,0.00045434-0.0002207i,0.00074696-0.00033135i,0.00064285-0.00077928i,0.00086705-0.00014683i,0.00035813+0.00037607i,-0.00031065+9.6797e-05i,-0.00010897+0.00059875i,0.00014814-0.0001188i,-2.1479e-07-0.00058142i,-0.00051674+0.00072808i,-0.00028477+0.0012002i
-0.00079543-0.0012331i,-0.0024535-0.00046688i,-0.0021249-3.113e-05i,-0.0012694-0.00033455i,-0.0010403-0.00020058i,-0.00087955+4.4213e-05i,-0.00019832+6.5394e-05i,4.981e-06-2.7773e-05i,-0.00050145-8.4991e-05i,-0.00017295+0.00022897i,0.00041585+0.00014178i,0.00050679+1.9724e-05i,0.0008414+0.00094447i,0.00069409+0.0016814i,0.00014911+0.0012808i,-0.00012161+0.00094369i,-0.00057022+0.0010327i,-0.00048897+0.00055211i,0.00018695+0.00016075i,0.00012199+0.00021947i,0.00011958+0.00012479i,0.00042283-0.00026769i,0.00091611+8.9862e-05i
-0.00060987+0.0012549i,-0.00013478+0.0009588i,0.00014113-2.9512e-05i,0.00052957-0.00093392i,0.00014493-0.0013035i,-0.0001111-0.0006794i,0.00064905-0.00054131i,0.00034805-0.00050932i,-6.7708e-05-8.5213e-05i,5.1042e-05-0.00069531i,8.9746e-05-0.0006211i,0.00034022-0.00012571i,0.00056007+7.2966e-05i,0.00082069+0.00042696i,0.00085105-0.00034545i,0.00081493-0.00089842i,1.5294e-05-0.00065816i,-0.00068009-6.4288e-06i,-0.00057421+0.00019184i,-0.00016419-0.00021521i,0.00026922-0.00030498i,-0.00024749+0.00021626i,-0.00056943+0.0007561i
-0.00087266+0.0003608i,-0.00061886+0.00094522i,-0.00057129+0.00044149i,-0.00012596-7.6796e-05i,0.00017703+6.2032e-05i,-0.00027348+0.0004116i,-0.00079394+5.6644e-05i,-0.00075519-0.00020496i,-0.00012566-7.9757e-05i,-4.1978e-05-0.00029731i,-0.00016496-0.00038984i,0.00046483-0.00025336i,0.0010272-0.0012154i,0.00088712-0.0016924i,0.00012911-0.00097436i,-3.7359e-05-0.0011267i,0.00040702-0.0010556i,0.00056069-0.00039497i,0.00078366+0.00026978i,0.00078984+0.00051857i,0.00051063-5.7817e-05i,0.00034892-0.00034191i,0.00049828+1.9711e-05i
0.0011537-0.00025345i,0.00078658-0.0011022i,0.00096411-0.0013589i,0.0007629-0.0012593i,0.00064024-0.0012362i,0.0006899-0.00097776i,0.00068585-0.00066203i,0.00055852-0.00076638i,1.2262e-05-0.0012053i,-0.00025644-0.00080739i,0.0001971-0.00031268i,0.00065231-0.00035239i,0.0015168+0.00049731i,0.0016995+0.0006423i,0.0010797-7.7217e-05i,0.00093626-0.00028626i,0.00062225-0.00069446i,0.00021755-0.00022553i,0.00027018+0.00023799i,0.00018463-0.00020743i,0.00046046-0.00020592i,0.0010182-0.00031463i,0.00047484-0.00019086i
-0.00052213-0.00070554i,-0.00050062-0.0010222i,-0.00026717-0.0015518i,-2.5835e-05-0.0012492i,-0.00071491-0.0013139i,-0.0010628-0.00093163i,-0.00022216-0.00076734i,0.00048449-0.0005808i,0.0013141+0.00015855i,0.00026806+0.00015165i,-0.00024261-0.00045459i,0.00033354-0.00064022i,0.0004846-0.00066567i,0.00058747-0.00023487i,-0.00024144+0.00064832i,-0.0010134+0.00071193i,-0.00082599-0.00020106i,-0.00030132-2.928e-06i,8.623e-05+0.00076177i,0.00096953+0.00066709i,0.00037096+0.00056657i,-0.00056759-2.5427e-05i,-7.827e-05-0.00061172i
-0.00060377+0.0012525i,-0.00079511+0.0013128i,-0.00092474+0.00046477i,-0.00039563+0.00045652i,0.00098858+0.00067923i,0.0012825+0.00036373i,0.00029384+0.00015047i,8.9036e-05-7.8695e-05i,-3.8681e-06-0.00020233i,0.00014135-2.74e-05i,0.00022184-0.00026834i,4.4077e-05-0.00036599i,0.00046748-0.00030752i,0.00059692-3.742e-05i,0.00034321-3.5478e-05i,0.00028361-0.0003712i,0.00025797-0.00029554i,0.00057073-0.00023497i,0.00029926+0.0002001i,5.8261e-05+0.00018276i,0.00043264+0.00018888i,0.00055145+0.00049994i,0.00019261+0.0004938i
-0.0015242-0.0012074i,-0.0020957-0.00044011i,-0.0018267+0.00013321i,-0.00049987+9.759e-05i,0.000227-0.00067793i,0.00019018-0.0011502i,0.00097346-0.00098381i,0.00088734-0.00073763i,0.00063614-0.00025491i,0.00096177+0.00056803i,0.00055029+0.0001918i,0.00098899-0.00051608i,0.0014276-0.00034158i,0.00094018-0.00044174i,0.00088427-0.00010484i,0.00088011-2.8494e-05i,0.00073709+3.2961e-05i,0.00073554-0.00015902i,0.00087373-0.00045007i,0.00021989-0.00020054i,-0.00039083+0.00041394i,-0.00062223+0.0006264i,-0.00082553-0.00017279i
0.0013154+9.7938e-05i,0.00070399-0.00043869i,-0.0001672-0.0014302i,-0.00010766-0.0011534i,0.00067377-0.00018786i,0.00046325-0.00024012i,-0.00056405-0.00047219i,-0.00073706-0.00049453i,-0.00027223+9.6464e-05i,-0.00043134+0.00016196i,-5.1665e-05-1.4186e-05i,5.3457e-05+0.000256i,-0.00036746+0.00051637i,5.9313e-05+0.00081618i,5.6774e-05+0.00071549i,-0.00020537-0.00017564i,0.00010757-0.00051867i,0.00023631-2.7591e-06i,-0.00023703+0.00059726i,-0.00069969+0.00065118i,-0.00080552-9.7938e-05i,-0.0005877-0.00028076i,-0.00058582-0.0004585i
-0.0025348+0.00016466i,-0.0024305-0.0002584i,-0.00071328-0.0012246i,-0.00043028-0.0009414i,-0.0018421-0.00015904i,-0.0017075+0.00012478i,-0.00045683+0.00036128i,0.00035195+0.00020205i,0.00050301-0.00050534i,-0.0001099-0.0011222i,-0.00085033-0.0010633i,-0.0004354-0.00013119i,-2.4656e-05+0.00029019i,7.2329e-05+0.00034276i,-0.00015942+0.00046173i,0.00059934+0.00046808i,0.00076757-0.00016331i,-0.00010359-0.00027985i,-3.6292e-05+0.00023479i,0.00025571+0.00049297i,0.00048383+0.00018671i,0.00030981-0.00035824i,0.00013568-0.00062652i
-0.00091801-0.0018724i,-0.0022086-0.0014295i,-0.0027525-0.00040879i,-0.0010783-0.00037444i,0.00056619-0.00063161i,0.0010341-0.00037721i,0.00074843-0.00042344i,0.00052892-0.00057287i,0.00052473-0.00059066i,0.00072598-0.00027086i,0.00072676-0.00065745i,0.00071399-0.00052921i,0.0010846+0.00024016i,0.00040116+0.00016613i,-0.00025275-0.00031306i,0.00010729-0.00054548i,0.00077577-0.00026305i,0.00070544-0.00023398i,-9.7663e-05-0.00041447i,4.5972e-05-0.00049955i,0.00042455-0.00011385i,-0.00025669+0.00039218i,-0.00018248+0.00052782i
-0.00039236+0.0026885i,0.0010184+0.00077553i,0.0005036+0.00049821i,-0.00029462+0.00094522i,0.00016266+0.00043661i,8.607e-05-0.0003004i,-4.4366e-05+0.00023983i,0.00043428+0.00032191i,0.00079467-5.5161e-05i,0.00071921-0.00044001i,0.00035339-0.00048404i,0.00040494-0.00012364i,0.00066015-4.1153e-06i,0.00050558-0.00073259i,0.00022246-0.00051673i,-0.00025779-6.1371e-05i,9.1482e-05+9.4451e-05i,0.00059761+0.00014465i,-1.017e-05-6.4801e-05i,-0.00037136-0.00051994i,-0.00061907-0.00075947i,-0.00062713-0.00050327i,0.00037218-0.00031821i
-0.00094738+0.00060795i,-0.00013472+0.0012841i,-0.0006822-0.00020888i,7.4847e-05-0.0011112i,0.00096725-0.0006314i,0.0010436-0.0005466i,0.00097741-0.00044764i,4.5053e-05+5.0116e-05i,-0.00037915+0.00069217i,0.00015841+0.00067762i,-0.00020089+0.00010602i,-0.00053719-0.00042816i,0.00022123-0.0004438i,0.00058512-0.00052579i,0.00044943-0.00057512i,-0.00015393-0.00010057i,-0.00036699-0.00030033i,0.00018894-0.00070214i,0.0008302-0.00032297i,0.00065978-0.00037704i,-0.00015654-0.00075859i,-0.00093591-0.00051979i,-0.0009018-4.7136e-05i
-0.00071707+0.00059383i,-0.0014676-0.00010329i,-0.0020505+0.00065651i,-0.0011782+0.00046952i,-0.00038548-0.00033906i,-0.00093764-0.00032355i,-0.00077268+0.00019431i,-0.00028688-5.3326e-05i,-0.00022522-0.00044448i,0.00023415-0.00051064i,0.00026516-0.00046315i,-3.83e-05+0.00039963i,0.00030884+0.00067467i,0.00028815+0.00012137i,-0.00014134-0.00014811i,-0.00045927-0.00086346i,-5.7604e-05-0.00069892i,-8.2431e-05-0.00023464i,-0.00025721-2.4961e-05i,2.7836e-05+0.00021627i,0.00045997-0.00015907i,0.00060809+0.00047374i,0.00051276+0.00064589i
-0.00021703-0.0017454i,0.00037558-0.0011992i,0.00011691-0.00026273i,-0.00017021-0.00045126i,0.0009287-0.0010391i,0.0017898-0.00084513i,0.0014509-3.6041e-05i,0.0010269-1.3638e-05i,0.00019746+0.00020665i,-0.00071557+0.00069324i,-0.0014575+0.00055364i,-0.0010934-0.00019115i,0.00013962-0.00040328i,0.00072499+4.1795e-05i,0.0014057+2.6689e-06i,0.0016224-0.00031666i,0.0005277-0.00014358i,4.9556e-05-0.00049999i,0.00067977-0.00059215i,0.00088606+6.0341e-05i,0.00053775+0.00032952i,-0.00020159+0.00026287i,-0.00090126-0.00018075i
-0.0013758-0.00037073i,-0.00099583-0.00090293i,-0.00098182-9.797e-05i,-0.00095529+0.0011647i,-0.00010301+0.0020128i,-0.00051891+0.0016229i,-0.0010083+0.00042181i,-0.00037958+8.7352e-05i,-0.00043499-6.6814e-05i,-0.00054232-0.00017638i,-0.00037063+0.00048063i,-0.00080135+0.00084468i,-0.00065092+0.00030188i,0.000668-0.00014491i,0.0014101-0.00013309i,0.0007134-0.00032471i,-0.00050943+0.00010047i,-0.00087227+0.00079181i,-0.00036336+0.00051297i,6.0301e-05-5.5462e-05i,0.00016207-0.00036178i,0.00024136-0.00010688i,0.00011086-4.9538e-05i
-0.00030076-0.0020941i,-0.0014713-0.0016234i,-0.0023596-0.0018092i,-0.0018787-0.00081627i,-0.0016641+0.00062567i,-0.00088434+0.00060667i,0.00038441+7.1836e-06i,0.00032825-0.00071402i,0.0001798-0.00058952i,0.00015435+0.00017237i,0.00027662+0.00044798i,0.00072656+0.00091901i,0.00030778+0.0011234i,0.00019348+0.0012664i,0.000918+0.0018804i,0.00143+0.0016643i,0.000672+0.00071303i,-0.00033162+0.00024349i,0.0001741+0.00024443i,0.00077073+0.00010291i,0.00089877-0.0002691i,0.00061079-0.00012747i,-0.00018704+0.00031119i
-0.00023794+0.00010339i,-0.00037933-0.0012288i,-0.00095772-0.0014682i,-0.0012599-0.00073488i,-0.0004159-8.5014e-05i,0.00061897-0.00014694i,0.00059426-0.00061259i,4.8888e-05-0.0007756i,2.0625e-05-0.00082352i,0.00031859-0.00059941i,1.2185e-06-0.00078263i,1.7036e-05-0.00059637i,0.00075085-5.3819e-05i,0.0014883-0.00037187i,0.0016385-0.00049197i,0.00095794+0.00016094i,0.00039977-0.00021219i,0.00018542-0.00092131i,0.0002488-0.0015218i,0.00065357-0.0015013i,-0.00024305-0.0003105i,-0.0010716+0.00017811i,-0.00094178-0.00011193i
-0.00012392+0.0019568i,-0.00035479+0.0024367i,-0.0006213+0.0014399i,0.00018911-0.00031718i,0.00039409-0.00086177i,-0.00061485-0.00013928i,-0.00047467-0.00026404i,0.00013793-0.0013416i,9.7329e-05-0.0013595i,0.00019789-0.00059008i,0.00051496+0.00010077i,0.00032971-0.00013386i,-0.00042407-0.00053999i,-0.00050842+0.00035999i,-0.00016226+0.00080669i,-0.00045754-0.00020368i,-0.00029165-0.00028i,0.00021081+0.00046204i,0.0004077+0.0010267i,-0.00080891+0.0014047i,-0.00096544+0.0011565i,0.00012624+8.7638e-05i,0.00032246-0.00099291i
-0.0013051-0.00048315i,-0.0017835-0.0011659i,-0.001409-0.0015354i,-0.00049475-0.0010223i,-0.00016714-0.0004653i,0.00013836+0.00034129i,0.00093355-0.00021281i,0.00035234-0.00096179i,-0.0011291-0.00069839i,-0.0012526-0.00033934i,-0.00057207+6.2469e-05i,-0.00015382+0.00022971i,-8.7038e-07+0.00039863i,0.00024343+0.00016622i,0.00044644+0.00021665i,-0.00020354+1.5114e-05i,-0.001111-0.00032514i,-0.00079733+0.00014263i,4.0177e-05-2.5941e-05i,0.00060927+0.0003767i,0.00048392+0.00073694i,0.00026083+0.00012349i,0.00014717-0.00056632i
0.00015981-0.0021824i,-0.00083151-0.00094778i,-0.0012604-0.00017303i,-0.00035313-0.00094102i,0.00057794-0.00089858i,0.00050242+0.00037329i,0.00054916+0.00044749i,4.6296e-05+0.00068361i,-0.00072913+0.00031691i,-0.00046047+0.00025222i,-0.00022518+4.8683e-05i,-7.9781e-05-0.0007657i,0.00019557-0.0010993i,0.00080761-0.00057861i,0.0013619+0.00037844i,0.00077892+0.00085313i,-0.00028646+0.00023445i,-3.2073e-05-0.0003565i,0.00055882+0.00030315i,0.00056703+0.00070137i,0.00024845+0.00012566i,5.8125e-06-4.9277e-05i,-0.00034234-4.2092e-06i
0.0010906+0.0017914i,0.00027712+0.0010952i,-0.0005819-0.00012972i,-0.00073982-0.0003563i,-0.00063118+0.00017991i,-0.0007489+0.00023882i,0.00017765+0.00078634i,0.00048718+0.0002683i,-0.00059583-0.00040904i,-0.00061427-0.00043812i,0.00088203-0.00055445i,0.00093795+0.00026087i,0.00062305+0.00038206i,0.00063058-6.8021e-05i,-0.00022215-0.0003977i,-0.0011852-0.0010489i,-0.00022304-0.00080823i,0.00055357+0.00047607i,0.0004302+0.00069237i,0.00062514+1.0197e-05i,0.00067516+2.6443e-05i,0.00033844+0.000625i,0.00024684+6.1355e-05i
-0.0028135-0.001459i,-0.0039964-0.0021414i,-0.0029279-0.0021191i,-0.0013472-0.001469i,-0.00047866-0.0015617i,1.1855e-05-0.0015377i,0.00037532-0.00096129i,0.00041624-0.00065168i,0.00054639-0.00012575i,0.00015169+0.00038132i,-0.00060899+0.00010461i,-0.00061634+0.00014683i,0.00019964+0.00062347i,0.0008551+0.00068596i,0.00045245+0.00017019i,-0.00016332-0.00036135i,-0.00023368-0.0002683i,-0.00016914+0.00011237i,0.00038906-0.00037784i,0.0004008-0.00073618i,-1.9279e-05-0.00027517i,-0.00053526-0.00053664i,-0.00096089-0.0012013i
5.7322e-05-0.0014063i,-0.00012246-0.00028448i,-0.00023855+0.00050537i,-0.00021661+0.0009346i,-3.5015e-05+0.00096602i,0.00010156+0.00031174i,-0.00035097-2.4006e-05i,-0.00051047+0.00022626i,-0.00047265-0.00042485i,0.00080788+6.73e-05i,0.0016117+0.0012274i,0.0010689+0.0012957i,0.00053541+0.00031715i,0.00096622-0.0001674i,0.0013593+7.0046e-05i,0.0012084-0.00017875i,0.00095182-0.00035866i,0.00063019+7.4232e-06i,-0.00012719+0.00050928i,-0.00068925+0.00037874i,-0.00053845-0.00013671i,-0.00016353+0.00011524i,-0.00043126+5.3649e-06i
-0.00041966+0.00072967i,0.00097968+0.00021841i,0.0012294-0.00023479i,-3.7556e-05-0.00017753i,-0.0010938+0.00058148i,-0.00072824+0.001099i,0.00086478+0.00072784i,0.00090075-8.691e-05i,1.1462e-05-0.00056329i,-0.00012869+3.5911e-06i,-0.00061832+0.00047892i,-0.00072849+3.6452e-05i,-0.00043528+0.00015123i,0.00030223+0.00031749i,0.0015096-0.00079755i,0.00058497-0.0013009i,-0.0004829-0.00058938i,0.00027911-0.00055306i,0.00071362-0.00043195i,0.00020719-0.00041177i,-0.00040772-0.00080596i,-0.001079-9.7393e-05i,-0.00035427+0.0011938i
-0.0015374-0.0026394i,-0.0026174-0.0023367i,-0.0027435-0.0020133i,-0.002955-0.0014617i,-0.0025474-0.00017971i,-0.00097869+0.00058069i,-6.2915e-05-0.00022124i,-0.00013183-0.00080439i,0.00045359-0.00050218i,0.00093847-6.1504e-05i,0.00058704+0.00016797i,0.0008053+0.00066489i,0.0012245+0.00072846i,0.0020216+0.00031231i,0.0018782+0.00086084i,0.00045061+0.0008687i,-0.00016716-0.00050692i,-0.00045969-0.0012761i,-0.00043404-0.00064494i,-0.00010232+0.00015397i,-0.00023118+0.0005319i,-0.00061529+0.0003827i,-0.00065807-0.00019808i
-0.00052845-8.2988e-05i,-0.00090577-0.00034185i,-0.00095884-0.00069222i,-0.00077591-0.001509i,-0.00021784-0.0012485i,0.00059594-0.00017057i,5.7973e-05+0.00011732i,-0.00099545-0.00032935i,-0.00030593-0.0007163i,0.00042719-0.00088204i,0.00034238-0.00019783i,0.00011616+0.00049865i,0.00013803+0.00057847i,7.4212e-05+0.00034347i,0.00059491-0.00012439i,0.001219-0.00034397i,0.00053239-0.00019277i,-0.00011379-0.00028167i,-0.00019794-0.00015102i,-0.00043533-0.00017852i,-0.0003388-0.00033223i,-0.00031762-2.4969e-05i,-0.00093958-6.5516e-05i
0.00083512+0.00033973i,0.0017518+5.5123e-05i,0.0020439-0.00039444i,0.00090773-0.00080564i,0.00012982-0.00087176i,7.8218e-05-0.00088031i,0.00051873-0.00093575i,3.8836e-05-0.00067352i,0.00013659-0.00092852i,0.001458-0.00050703i,0.00098582+8.2511e-05i,-0.00026979-5.5633e-05i,-0.0002699-0.00020982i,0.00040938-8.4681e-05i,0.00034461-0.00011868i,0.0002691-0.00037938i,0.00041292-0.00017868i,-0.00017566+0.00057266i,-0.00060398+0.00057306i,-0.00034785-0.00022413i,-0.00032228-0.00043927i,-0.00026055-0.00059244i,0.000689-0.0005793i
