-0.0013559-0.0013926i,0.00023614-0.00074728i,-0.0011063-0.001907i,-0.0033089-0.0015033i,-0.0036679+0.00080533i,-0.0026583+0.0027577i,-0.001987+0.0026312i,-0.00070315+0.0013065i,0.00051125+0.00062955i,0.00075775+0.00032309i,0.001213+0.00056974i,0.0011332+0.00048639i,0.00075834+0.00045481i,0.00046183+0.00032396i,-0.00039967+0.00026828i,-0.0010983+0.0010612i,-0.00071567+0.00087227i,-1.5133e-05+0.00020663i,-9.9611e-05+0.00035543i,6.0822e-05+0.00066859i,0.0003811+0.00066494i,7.4891e-05+0.00017345i,0.0004162+4.9307e-05i
0.0013434+0.0021874i,0.0022254+0.0022856i,0.0027187+0.0014236i,0.0014403+0.00061781i,-0.00081753+0.00022161i,-0.0015301+0.0013179i,-0.0012397+0.002264i,-0.00022816+0.0014157i,0.00085703+0.00074409i,0.0010432+0.00015236i,0.00066448+7.0614e-05i,0.00055193+0.00070278i,0.00083385+0.00056166i,7.9188e-05-0.00050582i,-0.00021815-0.001146i,0.00031468-0.00046762i,-0.00044449-0.00032622i,-0.00036376-0.00037803i,0.00021511-0.00063715i,0.0001589-0.00052391i,-0.00028779+0.0001713i,-0.00058299-8.6693e-05i,-0.00017178+5.9843e-05i
0.00026029+0.0012183i,0.00062694+0.00089946i,-5.5033e-05+0.00020722i,-0.0011635-0.00017602i,-0.0027383+0.00099056i,-0.003366+0.0017781i,-0.0014963+0.0016839i,-0.00024294+0.0012425i,-0.00049465+0.00119i,-0.00079028+0.0010318i,-0.00099036+1.6443e-05i,-0.00027986-0.00022631i,-5.0559e-05+0.00016624i,-0.00061465+0.00057243i,2.4178e-05+0.00042118i,0.00037113+0.00044896i,-0.00067792+0.00088401i,-0.00095302+0.00039534i,-0.00051245-0.00010964i,-0.00014635-0.00045546i,0.0002541-0.00066977i,0.00054278+0.00045587i,0.00017168+0.0012006i
-0.00030211+0.0027065i,0.00062112+0.0031694i,0.0014249+0.0023028i,0.0018496+0.00016441i,0.00061098-0.00062392i,-0.00089356+0.00034002i,-0.00094578+0.0016735i,-0.00018744+0.0017002i,0.00060251+0.0011476i,0.0013128+0.00094063i,0.0010522+0.00068732i,0.00010185+0.00020703i,-0.00072359+0.00048421i,-0.00030613+9.6374e-05i,0.0007854-0.0007359i,0.0010237-0.00048305i,0.0007445-0.00032396i,0.00042095-0.00018296i,5.2311e-05+0.00019271i,-7.8763e-05+0.00016435i,-0.00026156+0.00021462i,-0.00078855-0.00010912i,-0.00073326-8.7223e-05i
0.000993-0.00056262i,0.0023933+0.0005267i,0.0019779+0.00049875i,-0.00041074-0.00064986i,-0.002071-3.9689e-05i,-0.0019285+0.0019309i,-0.00038831+0.0021762i,0.00063545+0.001511i,0.00042742+0.0015274i,-0.00050032+0.0010374i,-0.00011462+0.00050864i,0.00064161+0.00056281i,1.7796e-05+0.0011386i,-0.00038035+0.0010819i,-0.00052259+0.0004222i,-0.00059584-6.0256e-05i,-0.00071172-0.00055753i,-0.00045265-0.00029799i,-0.00062934+0.00012254i,-0.00071525+0.00056881i,-3.2581e-05+0.0010454i,0.00024529+0.00084336i,0.00035234+0.00046122i
0.00052878+0.0025861i,0.0017842+0.0021499i,0.0015807+0.0013453i,-0.00087686+0.0015694i,-0.0024205+0.002072i,-0.0026766+0.0018084i,-0.0023318+0.0016308i,-0.00045115+0.00060336i,0.00082782-0.00044866i,-0.00014387-0.00012981i,-0.00052862+0.00037732i,0.00079059+0.00057785i,0.0003576+7.2965e-06i,-0.00038541-0.00086768i,-0.00014081-0.0017619i,-0.00016174-0.0017106i,-0.00037014-0.00015645i,-0.0004468+0.00088291i,-4.3927e-05+0.00035628i,0.00044659-0.0002962i,0.00077456-0.00029157i,0.00080404-5.1645e-05i,0.0008397-0.00015847i
0.0012891+0.002245i,0.0023479+0.0018176i,0.0018996+0.0010493i,-0.00044169-0.00020159i,-0.002007+0.00049397i,-0.0019848+0.0015709i,-0.0010246+0.0013283i,-0.00031365+0.0010922i,-5.7375e-05+0.00075773i,0.00048255+1.1677e-05i,0.00042407+0.00012668i,0.00028655+0.00057787i,0.00049188+0.00093631i,0.00068938+0.00084115i,0.0001694+0.0010968i,-0.00012274+0.00073333i,9.4777e-05+0.00064555i,-0.000413+0.00030994i,-0.00061996-0.00058433i,-0.00071126-0.00069701i,-0.00098473+0.00013432i,-0.00088543+0.00053836i,-0.00045846+0.00021384i
0.00013643+0.00020113i,0.00090018+0.0015574i,0.00071499+0.0015905i,-0.00048884+0.00037849i,-0.0026234+0.00081743i,-0.0027503+0.0028656i,-0.00085253+0.0025076i,0.00023304+0.0010999i,-0.00014454+0.00054003i,-0.00014107-0.00015588i,-0.00024459-0.00047597i,0.00013081-8.9414e-05i,0.00048277-0.00018075i,5.2246e-05-0.00062058i,-0.00022548-6.1001e-05i,-6.9722e-05+0.00054368i,0.0005017+0.0004333i,0.00018811+0.00024699i,-3.507e-05+0.00026017i,0.00013576-0.00048903i,-0.00023658-0.00044309i,-0.00067728+0.00080405i,-0.00074866+0.00051731i
0.0011596-0.00021458i,0.0018194-0.0011383i,0.0018616-0.0015476i,-0.00051719-0.00089035i,-0.0026443+0.00054317i,-0.0020538+0.0017221i,-0.00067339+0.0021461i,-0.00052316+0.00073714i,0.00034937-0.00043398i,0.0010368-0.00089978i,0.00038488-0.00088941i,-0.00012745-0.0003126i,-0.00039026+0.0002954i,-0.00056186+0.00053616i,6.4096e-05+0.00079902i,0.00096939+0.00062865i,0.00047341-0.00039926i,-0.00031614-0.00038811i,-0.00013883-0.00031452i,-0.00024777-0.000179i,-0.00054972+0.0002257i,-0.00049977+0.00053893i,-9.8862e-05+0.00059215i
0.0018825+0.0013598i,0.0015122+0.0014897i,0.0010131+5.0449e-06i,-0.00034143-0.0011156i,-0.0021489-3.4923e-05i,-0.0028589+0.00098309i,-0.001005+0.00080762i,0.00056572+0.00049109i,0.00084214+7.9652e-05i,0.00018932-0.00021807i,-0.00077302-0.00056953i,-0.00062602-0.00074686i,-0.00053455-0.00049557i,-0.00090044-0.00026305i,-0.00076549-0.00089315i,-0.00061057-0.00076362i,-0.00083281-0.00023061i,-0.00055196-0.00053424i,9.1145e-05-0.00053543i,0.00026693-0.00026989i,-0.00034064+0.00015259i,-0.00048253-0.00018335i,0.00056008-0.00059417i
0.0016503+0.0018449i,0.0025755+0.0013783i,0.0022305+0.0003314i,-0.00098361-0.00026811i,-0.0036224+0.00089989i,-0.0035596+0.0022671i,-0.0024305+0.0019409i,-0.001146+0.00044309i,-0.00046105+1.2618e-05i,0.00013274+0.00093565i,0.00062075+0.00074803i,0.001107+4.3078e-05i,0.00049764-0.00055827i,-0.00036454-0.00058331i,-0.0001296+0.00036231i,6.4963e-05+0.00084023i,-0.00025131+0.00028012i,-0.00052308-0.00044045i,-0.00036697-0.00030063i,0.00011433+6.2993e-06i,0.00017948-0.00013367i,-0.00042082+0.00040693i,3.4722e-05+0.00061526i
-6.4765e-05+0.0025216i,0.0013751+0.0034314i,0.0011348+0.0019104i,-0.00031911-0.00056921i,-0.0024214-0.00065554i,-0.003485+0.001288i,-0.0030155+0.0018275i,-0.0015548+0.0011219i,-0.0002416+0.00056059i,0.00017866+0.00085911i,-0.00016876+0.00058835i,-8.4977e-05-0.00065887i,0.0003806-0.00027419i,0.00054094+5.347e-05i,7.7845e-09-0.0005459i,0.00023526-0.00012191i,0.00033611+0.00021305i,-9.5874e-05-0.00034971i,0.00021463-9.4149e-05i,5.5963e-05+0.00039368i,-0.00063449+0.00036036i,-0.00080002+0.00016558i,-0.001006+0.00019797i
0.0031294+0.00082729i,0.003183+0.0008594i,0.0024424+0.00056829i,0.00080743-0.00035509i,-0.0013234+0.0006949i,-0.0019516+0.0016381i,-0.00054921+0.0015169i,0.0003171+0.0009445i,0.00010266+0.00054838i,0.00043043+0.00014167i,0.00083802-0.00010725i,0.0005276+8.9564e-05i,0.00025499-0.00021436i,-2.2505e-05-0.00033588i,-0.00018084+0.00012187i,-0.00028437-0.00011426i,-0.00061746-0.00014897i,-0.000172-0.0001707i,0.00023262-3.5646e-06i,-0.00032043+0.00070735i,-0.00048756+0.00096063i,5.3057e-05+0.00051833i,3.3622e-05+8.3484e-05i
-0.00099454-5.0751e-05i,-0.00060719-0.0001445i,-0.00013024-0.00021144i,-0.00065003+0.00021216i,-0.0011208+0.0015427i,-0.0015678+0.0026876i,-0.00064668+0.0025901i,-0.00023373+0.0019523i,-0.00090309+0.00054889i,-0.00025256-0.00059015i,0.00014075-0.00041123i,-2.4455e-05-0.00030242i,-0.00037219-3.7675e-05i,-0.00018113+0.00018477i,1.4832e-06+0.0002284i,-0.00032717+0.00049775i,-0.0014003+0.0003057i,-0.0016557-7.0593e-05i,-0.0002535+0.00016789i,0.00043058+0.0004581i,-0.00021409+7.5788e-05i,-0.0002938-0.00017543i,0.00016313-0.000367i
0.0010355+0.001906i,0.0018869+0.002883i,0.001448+0.0015783i,-0.00073039-0.00014449i,-0.0026125-0.00045223i,-0.0023877+0.00062256i,-0.0013423+0.0018215i,-0.00013363+0.0017031i,0.00031536+7.0524e-05i,0.00040555-0.00090868i,8.0536e-05-0.0008503i,-0.00028664-0.00028986i,-0.00032665+9.1968e-05i,-0.00095724+0.00016737i,-0.0014381-0.00013782i,-0.00036817-0.00061646i,-0.00013309-0.00025731i,-4.6447e-05+8.9303e-05i,0.00062836-0.00084485i,0.00089767-0.00099104i,0.00028247-0.00012692i,8.9822e-05+0.00037946i,-1.3862e-05+0.00050346i
0.0010523-0.0012465i,0.00053199+0.00040368i,0.0001105-0.00032808i,-0.00084999-0.0013244i,-0.0023479-0.00022436i,-0.0031429+0.0010658i,-0.0017706+0.0015804i,0.00010335+0.001531i,0.00041085+0.0011639i,-0.00022888+0.00077317i,-0.00086871+0.00014842i,-0.00098747+0.00042109i,-0.00077184+0.0011803i,-0.00024987+0.0013298i,0.00028482+0.00065404i,0.00091401+0.0001996i,0.00087844-0.00038835i,-0.0003062-0.00012726i,-0.0012326+0.00041399i,-0.00098989-0.00011165i,-0.00032356-0.00023172i,-0.0004789+7.5435e-05i,-0.0005299-0.00025278i
0.0011108-0.00016579i,0.001833-8.4243e-05i,0.00086291-2.0311e-05i,-0.00094888-0.00043623i,-0.0019885+9.7113e-05i,-0.002415+0.0012582i,-0.002094+0.00085238i,-0.0007777-0.00010703i,6.8388e-05-9.5115e-05i,0.00031473+7.3113e-05i,0.00032543+2.8781e-05i,0.00048797-0.00017256i,0.00082133-2.2989e-05i,0.00063651-5.8492e-05i,0.00037243-0.00032603i,0.00020806-0.00034317i,0.00043648-0.00026253i,0.00041968-0.00073561i,-0.00019223-0.00098431i,-0.00062502-0.00070622i,-0.00021667-0.00043277i,0.00055396-0.0001275i,0.0010932+0.00027205i
0.00224+0.0011905i,0.002321+0.0023339i,0.0011993+0.0017958i,-0.00066878+0.00076488i,-0.0023177+0.0011253i,-0.0025015+0.0018136i,-0.0017645+0.0017512i,-0.00036357+0.0013838i,0.00016926+0.00071658i,-0.00033727-0.0003333i,-3.4266e-05-0.00046688i,0.0008427+0.0002862i,0.00068696+0.00095452i,0.00060043+0.00037733i,0.00051047-0.00030225i,0.00057126-0.00044681i,0.00094664-1.2224e-05i,0.00020959-0.00012178i,-0.00082433-0.00042011i,-0.00071903-0.00041621i,-0.00048358-3.9218e-05i,-0.00054382-4.373e-05i,-6.2866e-05-0.00017533i
-0.0018422+0.00065592i,-4.5474e-05+0.0016333i,-0.00021821+0.00096965i,-0.00068105+0.00040017i,-0.0014473+0.0018022i,-0.0019525+0.0021933i,-0.00096043+0.0010706i,-0.0001277-0.00019673i,-1.0602e-05+0.00029827i,0.0010094+0.0015894i,0.0011216+0.0012755i,4.4934e-05+0.00012581i,-5.2785e-05-0.00054676i,0.0004598-0.00050524i,0.00036744-0.00038169i,-0.00042843-0.00069862i,-0.00064453+2.2392e-05i,-0.0010444+0.00091623i,-0.00038292+0.00023563i,0.00062466-0.00024722i,0.00103+0.00020325i,0.0010685+0.00057848i,0.00055485+0.0004872i
0.0013664+0.0029291i,0.0022397+0.0026659i,0.0024537+0.0016842i,0.000312+0.00055128i,-0.0018812-0.00012571i,-0.0020807-0.00024332i,-0.0011177+0.00017511i,-0.00016813+0.00033263i,0.00030403+0.00014071i,7.9909e-05-0.00028533i,-0.00058124-0.00056968i,-0.00019542-0.00018993i,0.00038989-0.00068974i,-0.00024649-0.00071974i,-0.00045873+8.6451e-05i,0.00014761-0.00010443i,-5.6649e-05-0.00084138i,-0.00075904-0.00027012i,-0.00075814+0.00021953i,-0.00077262+0.00027561i,-0.0011+0.00010648i,-0.00089077-0.00019988i,-0.00057908-3.6217e-05i
0.00087575+0.001581i,0.0021605+0.0015443i,0.0031934-0.001315i,0.00063918-0.0030632i,-0.0021671-0.0017138i,-0.0026408+0.0003993i,-0.00165+0.00098711i,-8.028e-05+0.00087071i,0.00085553+0.00013271i,0.00085566-0.00069569i,0.00018681+2.1862e-05i,-0.00049782+7.4363e-05i,-0.0011255+2.013e-05i,-0.0017186+0.00023232i,-0.00081874+8.1825e-05i,0.0006641+0.00027359i,0.00076749+5.3114e-05i,0.00017269-0.00095565i,-0.00050393-0.0012966i,-0.00071518-0.00098712i,0.00074019-0.00065545i,0.0013128+0.00012029i,6.8643e-06+0.00040822i
-0.00048845+0.0012436i,0.00075116+0.0021403i,0.0012983+0.0022272i,9.4227e-05+0.00088013i,-0.0014497+0.00066327i,-0.0021703+0.002063i,-0.0018087+0.0014736i,-0.0011404+8.6978e-05i,-0.00048334-0.00015703i,-0.00017328-0.00039238i,-0.00058115-0.00039014i,0.00021277+4.4185e-05i,0.00092661+0.00027581i,0.0001667+0.00058208i,-0.00064576+0.00086531i,-0.00037766+0.00029479i,-0.00024949-5.8483e-05i,-0.00040907+0.00041344i,-0.00014375+0.00075361i,-0.00033923+0.00026965i,-0.00085598-0.00045208i,-0.00098182-0.0005939i,7.9685e-05-0.00062693i
0.0012127+0.00026874i,0.0021106-0.00026126i,0.0021285-0.00087511i,3.4128e-05-0.00025883i,-0.0025842+0.00045199i,-0.0028679+0.0013758i,-0.0020706+0.001888i,-0.00091274+0.001721i,-7.9163e-05+0.0015051i,0.00010086+0.0010238i,0.00024423-0.00017474i,0.00062459-0.00071661i,0.00046047-0.00049529i,0.00025516+2.3631e-05i,8.3204e-05+0.00020743i,-4.6461e-05-6.2972e-05i,0.0001979-5.438e-05i,0.0010121-0.00029023i,0.0011925-0.00016237i,0.00038678-0.00022506i,0.00019292+0.0001447i,0.00034449+0.00054415i,-0.00017612-0.00012489i
-2.1938e-05+0.0033769i,0.00062894+0.0036583i,0.001879+0.0013563i,0.00023548-0.00012783i,-0.0030128+0.00048613i,-0.002885+0.00055081i,-0.0014483+0.00062697i,-0.00065933+0.00095978i,-3.8752e-05+0.0012972i,0.00060063+0.00081289i,0.0010939+6.8876e-05i,0.0003533-0.00032687i,-0.00052516-0.00011405i,0.0002577-0.00019218i,0.0005358-0.00035129i,-0.00052877+0.0002782i,-0.00068561-0.00017323i,-1.9337e-05-0.00048705i,-0.00015112-0.00021658i,-0.00028252-0.00060979i,-0.00027989-0.00056392i,-0.00045992-3.1851e-05i,-0.00013637-0.00024893i
0.00047948+0.00049237i,0.0022033+0.001157i,0.0025936+0.00077995i,0.00083186-0.00031264i,-0.0011811-0.00066465i,-0.0016698+0.0009146i,-0.00088808+0.0019509i,-0.00019145+0.0011728i,-0.00079225-4.6351e-05i,-0.00021884-0.00086354i,0.0008607-0.00066907i,0.00066692-3.6067e-06i,-9.9631e-05+0.00041424i,5.8352e-05+0.00069809i,0.00081228+0.0010419i,0.001042+0.00025036i,0.00090221-0.0001504i,0.0003948-0.00012652i,-0.00013224-0.00031062i,-0.00090552-0.0002041i,-0.0012242+0.00014725i,-0.0008477+0.00066856i,-0.00045351+0.0003537i
0.00078785+0.0010826i,0.00022206+0.0014251i,0.00022413+0.00042311i,-0.0010453+0.00028763i,-0.0032165+0.0010856i,-0.0027654+0.001399i,-0.0004939+0.0012225i,0.00091269+0.00057051i,0.00060376-0.00050477i,0.0001586-0.00033956i,0.00031757+2.2427e-05i,0.00028005-0.00059184i,0.00052522-0.00095441i,0.00010968-0.00050864i,-0.00066718-0.0001693i,-0.00052725-0.00022068i,-0.00032255+7.6979e-05i,-0.00012292+0.00041576i,-0.00057454+0.00094235i,-0.00058534+0.00057419i,-0.00054717+0.00022028i,-0.0005139+0.00016196i,-0.00026137+0.00022103i
0.0023924+0.00038126i,0.0032088+0.0023119i,0.0032129+0.0016294i,0.001228+0.00054659i,-0.0010562+0.0004303i,-0.0024143+0.0014261i,-0.0020121+0.0015024i,-0.00070391-0.00020227i,-0.00042273-0.00090256i,-0.00056247-0.00015087i,-0.00054729-0.00044824i,-0.00072625+2.9242e-05i,-0.00078671+0.00064395i,-0.00037802-0.00013022i,6.3958e-05-0.00056069i,-1.9849e-05-0.00016459i,0.00056108+0.00041416i,0.0013555+0.00044624i,0.00085303+0.00032047i,-0.00061857-0.00066284i,-0.0013811-0.0015288i,-0.00070206-0.0011358i,0.00046256-0.00016841i
0.00019662+0.00075504i,0.00052155+0.00044738i,0.001146+0.00042767i,-0.00025412+0.00022913i,-0.0025448+0.00070972i,-0.0024144+0.0021511i,-0.00066357+0.0020487i,0.00066675+0.0008695i,0.00089309+0.0008323i,0.00054513+0.0010211i,0.00039429+0.00064028i,7.6996e-05+0.00048171i,0.00013088-0.00020017i,0.00038096-0.0010286i,0.00023042-0.00050776i,-0.00052296-8.2006e-05i,-0.00055796-0.00037322i,0.00015962-0.0001718i,1.6266e-05+0.00024134i,-1.4437e-05-0.00020582i,0.00078352-0.00074976i,0.00090664-0.00055259i,0.00041652+5.7597e-05i
0.0010286+0.0017968i,0.0023494+0.0028007i,0.0030268+0.00031379i,0.00088179-0.00099173i,-0.0020115-0.00014614i,-0.0026905+0.0014426i,-0.0020868+0.0023301i,-0.00067793+0.001845i,0.00073196+0.00018518i,0.00078027-0.00051631i,0.00016474-0.00036321i,0.00046659-0.00066031i,0.00077518-0.00031983i,0.00045448-0.00011916i,0.00014973+0.00056136i,-0.00059087+0.00092202i,-0.00086438+7.6183e-05i,-0.00025653-0.00034924i,-0.00026842-4.3346e-05i,-0.00048808-0.00049875i,-0.00019195-0.00039215i,6.7353e-05-5.3145e-05i,0.00080365-0.00049535i
-9.4194e-05-0.00050991i,0.00097662-0.00048539i,0.0003452-6.5026e-06i,-0.00094611+0.00047947i,-0.0018485+0.0011216i,-0.0014518+0.0013758i,-6.9304e-06+0.0011781i,0.00037283+0.00095594i,-0.0001866+0.00067203i,-0.00075816+0.00050326i,-0.00086616+0.00080255i,-0.00025681+0.00075737i,0.00023519+0.00039782i,-0.00032758+0.00046712i,-0.00039505+0.0002776i,-0.00049798-0.00031283i,-0.0006295-0.00051816i,-0.00039445-0.00012411i,-0.00067356+0.00032324i,-0.00064512-0.00016081i,-0.00067442-0.00081583i,-0.00069808-0.00087189i,-0.00053195-0.00054975i
-0.00020949+0.0037182i,-0.00025016+0.0040678i,0.00055114+0.0035308i,0.00028575+0.001734i,-0.0011474+0.00044571i,-0.0021268+3.4149e-05i,-0.0021871+0.00010143i,-0.0010845+0.00038785i,6.049e-05+0.001126i,0.0003901+0.0010881i,0.00026337+5.6358e-05i,4.9316e-05-0.00041793i,-0.00026075+0.00032319i,-0.00052851+0.00048717i,0.00012211-0.00048295i,0.00061506-0.00081204i,0.00088372-0.00030121i,0.0012158-0.00012453i,0.00073135+0.00034962i,-0.0001001+0.0004675i,-0.00022041+0.00054848i,0.0004053+0.00051275i,0.00095344+0.00049917i
0.00050399+0.00082236i,0.0017011+0.0017871i,0.0012084+0.00026749i,-0.0007115-0.0016159i,-0.0027143-0.0013796i,-0.0030809+0.00010867i,-0.0015859+0.0007202i,-0.0003911+0.00058765i,-0.00044218+0.00032429i,-0.00045643+0.00039978i,0.00019823+0.00047695i,0.0003409+8.1244e-05i,0.001112+0.00012191i,0.0012294+0.00059006i,0.00058237-0.00030704i,0.00024186-0.00074256i,0.00041724+0.0002681i,-0.00010969-0.00011294i,-0.00010121-0.00042368i,0.00011395+0.00058849i,-0.0003514+0.0010864i,-0.00062456+0.00080467i,-0.0007648-2.8317e-05i
