-0.00087133-0.0002102i,0.0011691-0.0019664i,-0.00060471-0.0035207i,-0.0015677-0.003082i,-0.0011467-0.0020865i,-0.0012834-0.0014421i,-0.00049774-0.0001831i,0.00073416+0.00026092i,0.0012445-0.00050288i,0.0010711-0.0014253i,0.00091255-0.001121i,-0.00011291-0.00032564i,-0.00094367+2.3128e-06i,-0.00067588+0.0007104i,-0.00012417+0.00095477i,0.0011741+0.00045202i,0.0013697+0.00022861i,0.00024503+3.3656e-05i,-0.00057584-4.2086e-05i,-0.0003789-0.00060252i,0.00065058-0.0013844i,0.00039782-0.0009059i,-7.1913e-05-5.9107e-05i
0.00082588-0.00037302i,0.00075694+0.00017582i,0.0016033+0.00015074i,0.0028181-0.0013617i,0.0031475-0.0024236i,0.0020419-0.0025307i,0.00078533-0.001608i,0.00081096-0.00061715i,0.00065189-0.00064383i,8.5816e-05-0.00090523i,0.00019816-0.00049477i,0.00044888+0.00028382i,0.00061488+0.00020467i,0.00049581-0.00025232i,-3.498e-05-3.2715e-05i,-0.00035441+0.00022982i,-0.00021799+0.00026089i,-0.00016638+0.00024568i,-0.00039048+0.00028881i,-0.0001436+0.00029622i,-0.00049878+0.00019248i,-0.00038375+5.4044e-05i,9.3743e-05-0.00036991i
-0.0015829-0.00052133i,-0.0024578-0.00059006i,-0.0016982-2.1407e-05i,0.00063251+0.00059283i,0.0018383-0.00034701i,0.0018906-0.0013194i,0.0017461-0.0014023i,0.0011611-0.00097002i,0.00065928-0.00070082i,0.00044154-0.00014697i,0.00053433-0.00012982i,0.00078262-0.00011364i,0.00044041-0.00043007i,0.00018065-0.00051119i,0.00021599+0.00023411i,-0.00025042+0.00056878i,-0.00064963-9.1101e-05i,-0.00011007-0.00057473i,0.00016184-0.00052253i,0.00037404-0.00042427i,0.00043047-0.00034612i,0.00039033-0.00094482i,0.0002355-0.0013766i
0.00011883+0.00048937i,0.00037359-0.00043707i,0.0022049-0.0017703i,0.0020958-0.0026137i,0.00091511-0.003486i,0.00017224-0.0041706i,0.0005692-0.0027517i,0.00125-0.0015239i,0.0014473-0.0016205i,0.0011307-0.0015063i,0.0005327-0.0012594i,0.0008445-0.00039414i,0.00097098+0.0001118i,0.00063875-0.00087788i,0.00084233-0.001289i,0.00057641-0.000958i,0.00033446-0.00079378i,3.6427e-05-0.0006764i,-0.00012565-0.0008279i,-6.0853e-05-0.00089939i,0.00014202-0.00080979i,0.00016041-0.00017194i,0.00021758+0.00040276i
0.0013479-0.001429i,0.0015563-0.0014138i,0.0015946-0.0023044i,0.0012953-0.0030036i,0.00058999-0.0033907i,0.00062193-0.0024896i,0.00093285-0.00059082i,0.00078266-0.00027817i,0.00040914-0.0013165i,0.00060005-0.0015266i,0.001149-0.0009859i,0.0012232+0.00011329i,0.00021094+0.001198i,-0.00036203+0.0010263i,0.00015312+0.00013899i,0.00099118-0.00013028i,0.0017475-3.838e-05i,0.0016595+8.2901e-05i,0.00087151+2.4212e-05i,4.1082e-05+0.00053582i,-0.00063175+0.00012734i,8.5982e-06-0.00061544i,5.6154e-05-7.6411e-05i
0.00023344-0.0012585i,0.0008924-0.00051533i,0.00098138+0.00016134i,0.00099327-0.00086466i,0.00057769-0.002298i,-0.00021027-0.0022749i,0.00057577-0.001598i,0.0017286-0.0010065i,0.0015121-0.00094565i,0.0011935-0.0015118i,0.00076671-0.00079718i,0.00036528-0.00025257i,0.0010894+0.00012409i,0.0014854+0.00022265i,0.00033061-3.1321e-05i,-0.00070879-0.00015216i,-0.0010021-0.00039947i,-0.00012722+3.828e-05i,0.0004281+0.00028628i,-0.00020998-0.00014901i,-0.00032181-0.00033259i,0.00011605+0.00019924i,1.0377e-05-0.00022023i
0.00029288+0.0010264i,-0.0010167+0.0006856i,-0.00038769-0.00043092i,0.0017753-0.0020528i,0.0021201-0.0031773i,0.00032074-0.0037803i,-0.00045469-0.0027628i,0.00054358-0.00082744i,0.0010312-0.00036921i,0.00062819-0.001202i,0.00056756-0.0014492i,0.00082706-0.00052223i,0.00029164+0.00016778i,-7.004e-05-0.0002275i,-5.3421e-05-7.3976e-05i,8.8412e-05+0.00069634i,0.00036333+0.0004073i,0.00044071-6.3501e-05i,0.00016113-0.00022211i,-0.00035586-0.00043204i,-0.00011012-0.00030413i,5.4503e-05+0.00020986i,0.00047425+0.00052079i
-0.0010337-0.0023829i,-0.0015683-0.0019621i,-0.001877-0.00098244i,-0.0014201-0.00014498i,-0.00017721-0.00048159i,0.0010615-0.0014803i,0.0012124-0.001558i,0.00058479-0.00060914i,-0.0006832+5.9521e-05i,-0.0011136+0.00034572i,-0.00024156-0.00015953i,-0.00010828-0.0004308i,-0.00047382-0.00042223i,0.000181-0.00086928i,0.00083412-0.00087774i,0.0011771-0.00046373i,0.00090165-1.0524e-05i,0.00035862-0.00039942i,-6.9415e-06-0.00037556i,-0.00022653+0.00013528i,-0.00056346+0.00043972i,-0.00051391+0.00058585i,0.00032801-0.00010357i
0.0010965-0.0025262i,0.0002526-0.0025267i,-0.00075006-0.0038957i,-0.0015239-0.0039256i,-0.0017285-0.0036674i,-0.00093853-0.0032131i,-0.00026066-0.0016005i,0.00055393+2.9374e-05i,0.00065189-0.00013393i,-2.9296e-05-0.00063832i,0.00052334+0.00040086i,0.000927+0.0012069i,0.00030471+0.00075505i,0.00069365+0.00011588i,0.0011874+0.00047687i,0.00089389+0.0010922i,0.00077526+0.00070362i,0.00050605-0.00010114i,-0.00029861-0.00030144i,-0.00058871-0.00039789i,-0.0004949-0.00042281i,-0.00067018-0.00017627i,-0.00077879-0.00019261i
0.00025437-0.0010193i,-0.0021699-0.00075766i,-0.00314-0.00076066i,-0.0012611-0.00091108i,0.00068128-0.0015062i,0.0012735-0.0022935i,0.0015578-0.0024518i,0.0011393-0.0020659i,0.0010242-0.0013221i,0.00080042-0.00054574i,0.00037229+5.8288e-05i,0.00054722+0.00028407i,0.00082513+0.00012282i,0.00048412+0.00047945i,0.00021223+0.00065637i,0.00026595-0.00037209i,0.00023302-0.0012942i,0.00067413-0.0010809i,0.0008318-0.0005226i,0.00024718-0.00042695i,0.00068052-0.00028389i,0.00095084+1.6852e-05i,0.00021771+0.00012768i
0.00089544-0.0012026i,3.6399e-05-0.002297i,9.1509e-05-0.0035125i,0.0015037-0.0034536i,0.0011651-0.0024116i,6.9891e-05-0.00082675i,-0.00045946+0.00012678i,-0.00038026-7.0751e-05i,0.00046982-0.00061723i,0.00090399-0.00051657i,0.00076744-0.00028158i,0.00082203+0.00018261i,0.0011012-0.00010805i,0.0013206-1.5763e-05i,0.0011308+0.00047073i,0.0005478+0.00067199i,0.00033451+0.000821i,0.00067942+0.00050869i,0.00014363+1.9479e-06i,0.00014606+6.6388e-05i,0.00034072+0.000466i,7.9066e-05+0.00055531i,-0.00026379+0.00045391i
0.0013775+0.00037671i,0.0017405+0.00037478i,0.0013951+0.0002842i,0.00089925-0.0020633i,0.0011352-0.0045132i,0.0014394-0.0040314i,0.0013722-0.0022456i,0.0013216-0.00079118i,0.0013019-0.00083856i,0.0012145-0.00088129i,0.00069429-0.00018741i,0.00083615-0.00029096i,0.00049009-0.00017013i,0.00010631+0.00024542i,0.00018918+0.00030539i,6.0796e-05+0.00020214i,-2.6279e-05+0.00017165i,-0.00017146+0.00015277i,-0.00046178-0.00011158i,4.4566e-05-0.00064172i,0.00021029-0.0004514i,-0.00016712-0.00015663i,0.00032413-2.4244e-05i
0.00020444-0.00016637i,-0.00063311-0.00036831i,-0.00047409-0.0020092i,0.0016803-0.0027483i,0.0028462-0.0028084i,0.0022892-0.002047i,0.0018257-0.00055726i,0.0011001+0.00037152i,0.00088905-1.4794e-05i,0.0013104-0.00053592i,0.00067512-0.00016207i,0.00029403+6.5597e-05i,-7.5568e-05+0.00011145i,0.00025319+0.00054633i,0.00078158+0.00044936i,0.00031493+0.00038424i,4.3101e-05+0.00051042i,-0.00056079+0.00058618i,-0.00061357+0.00020502i,2.4546e-05-0.00025522i,0.00020191-0.00036111i,0.00088783-0.00050052i,0.00090674-0.00018074i
-0.00091085-0.00036572i,-0.0013621-0.00038772i,-0.0019151+0.00045436i,-0.00095811+0.00055473i,0.0011453-0.0012718i,0.0016058-0.0027417i,0.0015075-0.0027556i,0.0017353-0.0018029i,0.0011566-0.00022829i,0.00079505+1.4754e-06i,0.00037528+4.9263e-05i,-0.00022629+0.00072811i,7.5833e-05+0.00028521i,0.00061195-0.00014518i,0.00079499+0.00013944i,0.00028766+0.00042628i,-0.00020877+0.00060584i,0.00018793+0.00033462i,-1.0062e-05+0.00022634i,-6.0127e-05+0.00030519i,0.00035809+0.00017564i,-4.2671e-06+0.00026353i,0.00012858+0.00011369i
-0.0013413-0.00075323i,-0.00043792+0.00011577i,0.00055994+0.00060493i,0.0018095-0.00099597i,0.0030162-0.0033351i,0.0028678-0.0035655i,0.0019388-0.0016129i,0.0012779-0.00016998i,0.00097251+0.00033976i,0.00096833-0.00054518i,0.00085615-0.00044479i,0.0012749-5.7181e-06i,0.0005022-0.00024919i,-0.00073684+0.000297i,-0.00042146+0.0009802i,0.00019866+0.00059411i,-0.00012737-0.00015792i,-8.905e-05+7.9192e-05i,0.00025379-0.00014336i,0.00034512-0.00041856i,3.0606e-05+4.5205e-05i,-0.00068352+0.00035846i,-0.0014533-0.00010189i
0.0013231+0.0007992i,0.001253-9.2112e-05i,0.002-0.00084861i,0.0023039-0.0020438i,0.0025701-0.0033659i,0.0017306-0.0023197i,0.0004419-0.00097837i,0.00071214-0.00094206i,0.0015885-0.00073165i,0.0017698-0.00041028i,0.00096628-0.00019544i,-0.00011763+0.00011343i,-0.00015417+0.00085272i,0.00044232+0.00067312i,0.00020328+0.00016628i,0.00037011+0.00038849i,0.00072654+0.0003696i,0.00053146+0.00011955i,0.00040346-0.00020086i,-0.00049507-3.3733e-05i,-0.0011803+0.00010344i,-0.00073385+0.0001515i,-0.00042696-4.3462e-05i
0.0022076-0.0014895i,0.0009986-0.0014683i,0.0011361-0.002132i,0.0017343-0.0024629i,0.0013683-0.0031455i,0.0016319-0.0033291i,0.0024559-0.0024273i,0.0023664-0.001531i,0.0016739-0.0012773i,0.00081128-0.0011297i,4.5264e-05-0.00062542i,0.0003208-0.00033362i,0.0013505+0.00081433i,0.001427+0.0020202i,0.0011058+0.0010687i,0.0010794+0.00032338i,0.0011781+0.00056013i,0.0012297+0.00013817i,0.0002298-0.00091569i,-0.0010288-0.00092435i,-0.0012341-0.00074449i,-0.00012951-0.00016479i,0.00080457+0.00034931i
0.0019196+0.0018947i,0.0013214+0.0012172i,0.001997-0.00041095i,0.0032411-0.0032538i,0.003089-0.0050132i,0.0015713-0.0038741i,0.0013618-0.0015432i,0.0017867-0.00036021i,0.0015408-0.00049316i,0.0016718-0.0015958i,0.002027-0.0015917i,0.0011761-0.00092877i,-8.9699e-05-0.00057701i,-0.0002848-0.00025337i,-0.0002796-8.0435e-05i,-0.00029125+0.00015934i,-0.0002498+0.00075745i,-8.0603e-06+0.00072609i,0.00010437-1.7501e-06i,-0.00073477+0.00013895i,-0.0009921+0.00042989i,-0.00061475+0.0005843i,-9.5879e-05-2.5913e-05i
-0.0014539+0.00013552i,-0.00083062+0.0010563i,0.00017571+0.0011706i,0.00099345+8.1693e-05i,0.0018097-0.0017365i,0.0013908-0.0028591i,0.00053515-0.0020563i,0.00070726-0.0011775i,0.00085602-0.0014133i,0.00018533-0.0014296i,-0.00042484-0.00041489i,-0.00042845+0.00018213i,0.00018698+0.00031004i,0.00018174+0.00041853i,-0.00061769+0.00018524i,-0.0011053-0.00010122i,-0.00063606-0.00046076i,-0.00054386-0.00091345i,-0.00057498-0.0013185i,0.00021817-0.00061868i,0.00088086+9.511e-05i,0.00059074+9.0303e-06i,0.00072059+0.00024412i
-0.00058608+0.00074485i,3.9405e-05+0.00048372i,0.00083474-0.00015295i,0.0019701-0.0020834i,0.0023636-0.0034641i,0.0023123-0.0031397i,0.002109-0.0020366i,0.0015073-0.0012968i,0.0012549-0.0015071i,0.00096213-0.0014016i,0.00073725-0.0010767i,0.0010254-0.0006855i,0.0010617-0.00065417i,0.00055378-0.00045956i,-0.00025294+0.00013776i,-8.3292e-05+0.00032057i,0.00033389+0.00064491i,2.4894e-05+0.00031612i,0.00042595-0.00072554i,0.00096191-0.00076976i,0.0006218-0.00076435i,0.00011974-0.00058437i,-0.00044392-5.7166e-05i
-0.00059973+0.0010692i,-0.00040331+0.0011435i,-0.00044559+0.00023849i,-0.00063689-0.001222i,0.00089077-0.0022339i,0.0016274-0.0022267i,0.00059313-0.0018596i,0.00027851-0.0012599i,0.0010829-0.0014743i,0.0013589-0.0012158i,0.00090781-0.00032862i,0.00075436+7.1477e-05i,0.00051631-8.4635e-05i,0.00018107-0.00041537i,7.2302e-05-0.00014356i,5.1075e-05-0.00013943i,-0.00011325-2.3714e-05i,-5.9208e-05-0.00018461i,0.00019088-0.00049907i,0.0001352-0.00026376i,-0.00047935+0.00080174i,-0.00068489+0.0006995i,0.00010534-8.6633e-05i
-0.00034015-0.0006413i,-0.00176-0.00049909i,-0.0020258-0.00049977i,-0.0001722-0.0020511i,0.0017257-0.0029048i,0.0017434-0.0031207i,0.0011185-0.0024737i,0.0011524-0.00089157i,0.0013372-0.00016869i,0.0010216-0.00036112i,0.0012575-1.9617e-05i,0.0016484+0.0004235i,0.0012006+0.00028307i,0.00088415+0.00067861i,0.00065423+0.00071594i,0.00080961+0.00020777i,0.0006122+9.7239e-05i,0.00038193+0.00022981i,0.00018335+0.0001316i,0.00017633-0.00014241i,0.0001423-0.00024657i,0.00015956-0.00025481i,0.00043448-0.00014908i
-0.00080647-0.00027563i,-0.0015178-0.00074225i,-0.001864-0.0006356i,0.00016004-0.00080521i,0.0010517-0.0014389i,0.00052826-0.0014386i,0.00095405-0.0013965i,0.0012712-0.001232i,0.00043467-0.0012572i,-0.00040561-0.0011209i,-0.00033385-0.00011307i,0.00067598+0.00060955i,0.0010398+0.00053557i,7.9446e-05+0.00030592i,0.00020668+6.2772e-05i,0.00077567-0.00019594i,0.00048611-0.00037295i,-0.00045783-2.6542e-05i,-0.0013611+0.00027042i,-0.001322+0.00021833i,-0.00077776-0.00023528i,0.00026511-0.00051665i,0.00094353-6.3279e-06i
0.0010529+0.0009736i,0.0015837-1.5955e-05i,0.0020829-0.0013756i,0.0018784-0.0015416i,0.0023376-0.0023233i,0.0023735-0.0034257i,0.0020066-0.0022633i,0.0019447-0.00054188i,0.0014589+0.00014172i,0.0012033+0.00016205i,0.0012638-0.00027989i,0.0011029-0.00075265i,0.0010714-0.00032705i,0.0014872+0.00073558i,0.0017016+0.00060183i,0.00068337-0.00032808i,0.00019722-0.00024224i,0.00012032-0.00013523i,0.00026708-0.00050237i,0.00052236-0.00067078i,0.00018695-0.000393i,0.00082369+0.00057892i,0.00067845+0.00073758i
0.00013498+0.0018876i,0.00078031+0.0017793i,0.0016251+0.00011719i,0.0031475-0.0023423i,0.0034496-0.0039324i,0.0022351-0.0038318i,0.00099328-0.0010924i,0.0003892+0.00054067i,0.00089444+0.00020908i,0.00085442-0.0001347i,0.00044465-0.00024099i,0.0010588-1.6229e-06i,0.00068895+0.00047034i,0.0001099+0.00063541i,0.00083563+0.0010148i,0.0014432+0.0013447i,0.0014837+0.00096264i,0.00090019+0.00019091i,0.00083788-5.2171e-05i,0.00090334+0.00064318i,-0.00028292+0.00058102i,-0.0011831-0.00030132i,-0.0010005-0.00032477i
0.00098498-0.00076214i,0.00056258-0.00076738i,0.00040933-7.8028e-05i,0.0010793-0.00066089i,0.0017538-0.0023534i,0.0011638-0.0025214i,0.0011755-0.0017067i,0.0012253-0.00062987i,0.0012578+0.00039797i,0.0012267+0.00019365i,0.00061324-0.00033733i,3.7061e-05-9.0615e-05i,-0.00017286-0.00028163i,-8.6307e-05-0.00038267i,0.00018313-0.00034433i,0.0016289-0.00053757i,0.0017143-0.00024792i,0.00079717-6.931e-05i,0.00079852-0.00027041i,0.00040733-4.7581e-05i,4.9635e-05-5.5439e-05i,0.00021309-0.00036345i,-0.00039182-0.00018265i
-0.0002061+0.00049716i,-0.00016907-0.00094035i,-0.00031186-0.0017632i,0.00042101-0.0026402i,0.0013617-0.0034242i,0.0010659-0.0034285i,0.00079624-0.0025081i,0.00098856-0.0013419i,0.00045223-0.0011939i,0.00023136-0.00076898i,-7.0083e-05+0.00014329i,5.5644e-05+0.00080202i,0.0006411+0.00018774i,0.00058258-0.00058388i,0.00057722+4.3213e-05i,0.00024698+0.00079048i,-6.8433e-05-7.2268e-06i,5.5222e-05-0.00049295i,0.00016291+0.00020756i,-0.00014433+0.00019856i,-0.00025595+0.00010961i,-0.00015294-0.00056057i,-0.00018001-0.00095503i
-0.0029272-0.00086824i,-0.0014567-0.0005706i,-0.00039223+0.00031473i,0.0010614+0.0004349i,0.0019648-0.00069321i,0.0022429-0.0018966i,0.001572-0.0017999i,0.0010486-0.0008423i,0.0010277-0.0010275i,0.00051832-0.0004642i,0.00022225+0.001187i,0.00062675+0.0014144i,0.0014758+0.00045585i,0.001894-4.1389e-05i,0.0010391+6.3334e-05i,3.458e-05+0.0001767i,0.00010408+0.00031241i,0.00039878+0.00061111i,-0.00028034+0.00072676i,-0.0010412+0.0008107i,-0.0011496+0.00016192i,-0.0014388-0.00021524i,-0.0013426+0.00027417i
-0.00036423-0.0021249i,-0.00076293-0.0018946i,-0.0014831-0.0027087i,-0.0010319-0.0024649i,-7.5133e-05-0.001342i,0.0010869-0.00062655i,0.00074651-0.00047962i,0.00014444-0.00039684i,3.078e-06-0.00052506i,-3.0244e-05-0.00057341i,0.00026541-0.0008757i,0.00058848-0.00079425i,0.0014129+0.00012325i,0.0020093+0.00086952i,0.0010346+0.00054109i,0.0001279+0.0004187i,0.00034641+0.00070836i,0.00044213+0.00047107i,-0.00012071+0.00030497i,-0.00037351+0.00025167i,-0.00038861+0.00035482i,-0.00027401+0.00081401i,6.9166e-05+0.00080353i
-0.00017326-0.00046742i,0.0013534-0.00090318i,0.0019096-0.00060664i,0.0019775-0.00086222i,0.0017002-0.0017506i,0.00086614-0.0015004i,0.00074518-0.00058852i,0.0010709+0.00038383i,0.00072836+0.00042819i,9.6954e-05+0.00043135i,4.4789e-05+0.00084518i,0.00024457+0.00052162i,0.00065824+0.00047328i,0.0005205+0.00071565i,0.00034607+0.00030513i,0.00029481-0.00019614i,0.00040722-0.0001235i,0.00052787-0.00014939i,0.0004841+0.00025281i,9.3681e-05+7.7669e-05i,-0.00055952-0.00033354i,-0.0011437-5.1922e-05i,-0.0013575-8.1221e-05i
-0.0019526+0.00070968i,-0.0018127+0.0014464i,-0.0012989+0.00085315i,-0.0002957+0.00016061i,0.00094355-0.00044931i,0.0015513-0.00089117i,0.0012311-0.00073709i,0.00086301-0.00031417i,0.00060552-6.5827e-05i,0.0007758+0.00029563i,0.00044267+0.00050241i,0.00045946+0.0003802i,0.00088162+0.00056519i,0.00024744+3.6517e-05i,-0.00054329-0.00060555i,-7.4183e-05+0.00030778i,0.0002928+0.00051238i,0.0001872+0.0003919i,-9.7356e-05+0.00032635i,-8.4181e-05-0.00034687i,-0.00011215-0.00067377i,-0.00011958+6.2792e-07i,0.00068007+0.00013617i
0.00050826-0.001721i,-0.00029377-0.0020393i,-0.00014477-0.0014337i,0.00032246-0.0022217i,0.00083673-0.0037483i,0.0017782-0.0031413i,0.0019861-0.0018643i,0.0015841-0.0012294i,0.0014535-0.00059143i,0.0014783+0.00019797i,0.0011999+0.00022157i,0.0008464-3.0232e-05i,0.00022814-0.00034801i,-0.00066048-0.00082187i,-0.00080925+2.112e-06i,-0.0003471+0.00019473i,-0.00037535-2.9347e-05i,0.00044901+0.00057147i,0.00059016+0.0005057i,0.00013584+5.1174e-05i,0.00082368+0.0004088i,0.00062267+0.0005843i,0.00052113+0.00051914i
-0.0013413+0.00018617i,-0.00032659+8.2108e-05i,0.0012973+0.00026619i,0.0018261-0.00061857i,0.0015121-0.0021211i,0.0012621-0.0020109i,0.00020158-0.0013517i,0.00034303-0.00098405i,0.0018582+7.2963e-05i,0.0019558+0.00014856i,0.0012247-9.7653e-05i,0.0004231-8.2253e-05i,-1.8397e-07-0.0004854i,0.00021841-0.00076336i,0.00022514-0.00057929i,0.00023288+0.00025235i,-0.00010769+0.00093577i,-0.00064606+0.00067107i,-0.00038058-2.4311e-05i,-0.00021429-0.00044044i,-9.6842e-05-0.00019848i,0.00057035+0.0003051i,0.00051954+0.00074518i
