-0.00031885+0.00024551i,-0.00098549+0.00018973i,-0.0019145+0.00012259i,-0.0025199-0.00024432i,-0.0036203+0.00083838i,-0.0028658+0.0020663i,-0.0015476+0.0014248i,-0.00081171+0.00041818i,-0.00078295-0.00029075i,-0.00054526-0.00073803i,0.00028648-0.00023615i,0.00030867-0.00032373i,0.00036484-0.00071968i,0.00018454-0.00040782i,-0.00025705-0.00017852i,0.00011277-0.0005557i,-7.3468e-05-4.2698e-05i,-0.00014506+0.00056723i,0.00071615+0.00058731i,0.00085994-0.00011351i,0.00041536-0.00083727i,0.00020519-0.00078604i,0.00029196-0.00079604i
0.00027744+0.00068405i,-0.00067909-0.00031262i,0.00028435-0.0011202i,0.0014584-0.00072168i,0.00074301-0.00035264i,-0.00060994-0.0002977i,-0.00072623-0.00080713i,7.3648e-05-0.0009102i,9.4172e-05-0.00023472i,-0.00012298+5.1275e-05i,-0.00020224+0.00015406i,-0.0005568-0.00052578i,-0.00095066-0.00082916i,-0.0004252-6.6592e-05i,0.00022251+0.00034853i,0.00015901+0.00026919i,0.00015315+2.458e-05i,0.00015696+0.00035307i,0.00031049-0.00052825i,0.00058245-0.0012973i,0.00050293-0.0004758i,-9.1249e-05+0.0004221i,-0.00090211+8.1879e-05i
-0.0005656-0.00028847i,-0.00018569+0.0004426i,-0.0006939-0.00015639i,-0.0011365-0.0008559i,-0.0009647-0.00057353i,-0.00038308-0.00056193i,-0.00066618-0.00053929i,-0.0016005-0.00026175i,-0.0016729+0.00048055i,-0.0011798+0.00029506i,-0.00013316-0.0004428i,-5.7025e-05-0.00049531i,-0.00067951+0.0001142i,-0.00099676+0.0004209i,-0.00057164+0.0007035i,-0.00012741+0.00052374i,-0.00015694+3.5028e-05i,0.00013291-0.00025129i,0.0008322-0.00065248i,0.0008086-0.00083923i,-0.00015407-0.0012306i,-0.0005146-0.0012459i,-0.00012797-0.00069098i
0.001126+0.0010364i,0.0012638+0.00044896i,0.0020734-0.00037893i,0.0019295-0.00070901i,0.0017258-0.0013313i,0.0017219-0.001691i,0.0008823-0.0013599i,0.00054769-0.00034793i,0.00086383-5.3977e-05i,0.0004635-0.00063188i,-5.3682e-05-0.00026722i,-0.00052382+7.7478e-05i,-5.1341e-05-9.0316e-05i,-0.00028912-0.00025553i,-0.00061498-0.00041539i,-0.00023948-0.00048988i,0.00044285-0.00010301i,0.0007689+0.00093053i,-0.00019107+0.00053419i,-0.00063798-0.00013056i,-0.00064508-0.00029903i,-0.00041727-0.00058594i,-0.00021839-0.00050477i
0.0017052-0.00040177i,0.0010161+0.00014405i,-0.00015899-0.0012858i,-0.00071815-0.0015259i,-0.0006911-0.00021807i,-0.00052349+7.8038e-05i,6.0297e-05-0.00049438i,0.00021295-0.00093208i,-0.00011665-0.00027044i,-0.00072646+0.00028358i,-0.00099403-9.2646e-05i,-0.00084721-0.00075193i,-0.00043419-0.00032256i,0.00013756+7.9156e-05i,0.0003894+0.000369i,0.00030499+0.00026448i,0.0001079+0.00030808i,0.00014678-9.7928e-05i,9.1706e-05-0.0005487i,-0.00064477-0.0004477i,-0.00035291-0.0010149i,-0.00032301-0.0013634i,-0.00039643-0.000682i
-0.0017977+0.00069746i,-0.0015013-0.00053742i,-0.0014642+0.00091612i,-0.0016364+0.0015116i,-0.00078644-5.2979e-05i,0.00045517-0.00077519i,0.00062272-0.0013727i,-0.00075226-0.0014894i,-0.00088188-0.00075446i,0.00013571+3.3391e-05i,0.00012937+0.00033436i,-0.00067758+0.00044356i,-0.00049395+0.00068878i,0.0005742+0.00037247i,0.00055603+5.3439e-05i,8.0235e-05+0.0007573i,0.00028581+0.00074439i,0.00045759+1.0818e-05i,0.00013365-3.9075e-05i,0.0003379+0.00067902i,0.00040827+0.00070338i,0.00031882+0.00014618i,7.6243e-05-0.00028038i
-0.00073467+0.0012613i,-0.00093447+0.00066844i,-0.0014658-0.0007681i,-0.00071779-0.0014533i,9.6895e-05-0.00082402i,9.3686e-05+2.0941e-05i,-0.00039013+0.00045013i,-0.0012853+0.0011054i,-0.0019164+0.0011543i,-0.0017966+0.00031571i,-0.0010899-0.00040555i,-0.00092564-7.5259e-05i,-0.00096992+0.0010609i,-0.00073933+0.00089199i,-0.00017687+0.00031885i,6.2294e-05-0.00030575i,-0.00046796-0.00067444i,-0.00030586+0.00046583i,-0.00015433+0.0010678i,-0.0009508+0.00015637i,-0.0011051-0.00073347i,-1.5141e-05-0.00062603i,0.00063133-0.00077859i
0.00028333-9.4381e-05i,-0.00023976-0.0018164i,0.00018533-0.0023537i,0.00038901-0.0031418i,0.00028509-0.0025451i,0.00011205-0.00066144i,0.00020187-6.5616e-05i,-0.00013115-6.5091e-05i,-0.00047303-8.078e-05i,-0.00037006+2.1578e-05i,-0.00016754+0.00011109i,-0.00019728-0.00019035i,-0.00013074-7.8673e-05i,0.00012822+0.00023386i,0.00078531+0.00030067i,0.00063457+0.00022597i,-0.00036702+0.00024178i,-0.00033042+0.00049266i,0.00011539+4.4819e-05i,2.8777e-06-6.2017e-05i,-6.1158e-05-0.00027433i,0.00029579-0.0010528i,0.00012331-0.00059355i
0.0019128+8.0985e-05i,0.0014673+0.00014856i,0.00022287-0.00065105i,-0.00048493-0.0012214i,-0.00015786-0.0015131i,0.00069542-0.00098621i,0.00064961-0.00044811i,-0.00011073-0.00055351i,-0.00092028-0.00038777i,-0.0015194+6.3034e-05i,-0.00074226-0.00027829i,-3.0737e-06-0.00011812i,-0.0002196-4.6025e-05i,-0.00018673-0.00026399i,-0.00022768+0.00033146i,6.8804e-05+0.00094933i,0.00071491+0.00074412i,0.00044364-9.064e-05i,0.00011381-0.00059135i,0.00068594+0.00011612i,0.0011019-0.00020033i,0.0012096-0.00077836i,0.00069736-0.00090087i
-0.00055946-0.00041825i,-0.00091072-0.001051i,-0.001112-0.00074689i,-0.00081034-4.0989e-06i,-0.00045293-4.2752e-05i,-0.00035251-0.00046151i,-0.00081336-0.00042265i,-0.0018199-0.00054182i,-0.0013634-0.00085212i,-6.2197e-05-0.0004642i,0.00064058+0.00036224i,0.00014507+0.00049542i,-0.00058524+1.1173e-05i,-0.00032953-2.5964e-05i,0.0002428+0.00020386i,0.0008761+0.00015877i,0.0013806-0.00019703i,0.0006711+0.00030623i,-0.00045514+0.00080368i,-0.00070367+0.00044192i,-0.00026531-0.000225i,2.0387e-05-0.00072426i,0.00025254-0.00055374i
0.00019564+0.00047722i,0.00066536-0.00041344i,0.00044443-0.0016029i,0.00080655-0.0017717i,0.00051591-0.00068819i,0.00011448+0.00028097i,0.00018402+0.00053154i,0.0003605+0.00056073i,-0.0010319+0.00035954i,-0.0020372+8.7225e-05i,-0.0011737-0.00023261i,-0.0004368-0.00033977i,-0.00020661-0.00010798i,2.4081e-05+0.00053574i,0.00082798+0.00036299i,0.00053111+0.00023536i,-0.00027117+0.00049609i,-7.7581e-05+0.00023148i,-0.00034571-3.3609e-05i,-0.00034439-0.00081795i,0.00013317-0.0013616i,-0.0002947-0.00098505i,-0.00036356-0.00035092i
