-0.00031885+0.00024551i,-0.00098549+0.00018973i,-0.0019145+0.00012259i,-0.0025199-0.00024432i,-0.0036203+0.00083838i,-0.0028658+0.0020663i,-0.0015476+0.0014248i,-0.00081171+0.00041818i,-0.00078295-0.00029075i,-0.00054526-0.00073803i,0.00028648-0.00023615i,0.00030867-0.00032373i,0.00036484-0.00071968i,0.00018454-0.00040782i,-0.00025705-0.00017852i,0.00011277-0.0005557i,-7.3468e-05-4.2698e-05i,-0.00014506+0.00056723i,0.00071615+0.00058731i,0.00085994-0.00011351i,0.00041536-0.00083727i,0.00020519-0.00078604i,0.00029196-0.00079604i
0.0027443-0.018497i,0.001948-0.019359i,0.00087305-0.019636i,-0.0013419-0.01897i,-0.0023584-0.012828i,-0.00079693-0.0051006i,-6.4376e-05-0.0010161i,-0.00075898+0.0005545i,-0.00025766+0.0013746i,0.00085146+0.0015469i,0.00059375+0.00098255i,-0.00047583-4.5405e-05i,-0.00075118-0.00016677i,0.00024689-6.6062e-05i,0.0017736-0.0012332i,0.0012112-0.0017006i,-0.0010893-0.0010631i,-0.001993-0.00097873i,-0.0026019-0.0012837i,-0.0026621-0.0013006i,-0.0016567-0.0011368i,-0.00058257-0.00034248i,-0.0001479+0.00065268i
-0.017598-0.0036816i,-0.018875-0.0022562i,-0.017962-0.0025308i,-0.016378-0.0021814i,-0.010408-0.0010282i,-0.0032-0.0005163i,-0.0003581+0.00021861i,0.00036896+0.00075573i,0.00081783-0.00017248i,0.00061155-0.0012913i,0.00022107-0.00091723i,-0.00014358+7.8071e-05i,0.00041672+0.00077651i,0.00055035+0.0010619i,-0.00033972+0.00082489i,-0.0014025+0.000601i,-0.0014121+0.0011903i,-0.0011974+0.0031748i,-0.0014082+0.0045263i,-0.001514+0.0035838i,-0.0010854+0.0022792i,8.7906e-05+0.001469i,0.0015592+0.00099205i
-0.0080266+0.013425i,-0.0071762+0.016799i,-0.0070788+0.017972i,-0.0040133+0.017229i,-0.00040474+0.0138i,0.0011526+0.0069775i,0.0021387+0.00068441i,0.0020086-0.0021334i,0.00092982-0.0033563i,0.00023463-0.0028243i,0.0003525-0.001471i,0.00017299-0.0011276i,-0.00029474-0.00064109i,-0.00080418+0.00027957i,-0.0011308+0.00086045i,-0.00094146+0.00070181i,-6.7855e-05+0.00097969i,0.0011701+0.0019478i,0.0026308+0.0018813i,0.0027909+0.0011752i,0.0019472+0.0012024i,0.0019994+0.00074836i,0.0021359-0.00093011i
0.013854+0.0097102i,0.016587+0.0079549i,0.017223+0.0059147i,0.016082+0.0026318i,0.010899-7.0059e-06i,0.0049144-6.9953e-05i,0.0017279-0.00060021i,-0.00011819-0.0015986i,-0.0017354-0.0010396i,-0.0018534-0.00026619i,-0.0013028-0.00052028i,-0.00056261-0.00093427i,-3.9768e-05-3.6396e-05i,0.00031094+0.0021423i,0.0014259+0.0029914i,0.0021102+0.0011577i,0.0018835-0.00139i,0.0016886-0.0031731i,0.002667-0.003997i,0.0034035-0.0035553i,0.0021661-0.0020396i,0.0003168-0.001064i,-0.0016127-0.0005132i
0.010727-0.011398i,0.0096056-0.016039i,0.0084613-0.017537i,0.0064424-0.016815i,0.0041212-0.012144i,0.0024738-0.0053066i,0.00089736-0.0017158i,-0.0010243-0.0011792i,-0.0014991-0.00056273i,-0.0010157+0.00083326i,-0.0012251+0.0007188i,-0.001572-0.00014385i,-0.0012772+0.00015568i,-0.00042373-3.6699e-05i,-0.00019494-0.00043834i,-0.00060249-0.00056213i,-0.00029426-0.0013574i,-7.2409e-05-0.0014939i,-0.0014148-0.0011656i,-0.0024333-0.001311i,-0.0023429-0.0010651i,-0.001942-0.0011735i,-0.0015745-0.00064127i
-0.012418-0.010533i,-0.017308-0.009726i,-0.018736-0.0073369i,-0.017247-0.004399i,-0.012083-0.0030908i,-0.005068-0.0032949i,0.00035245-0.0018378i,0.0020899-0.00022958i,0.0019788-2.0327e-05i,0.00087614+0.00018437i,0.00045141+0.00034002i,0.0007244+1.1228e-05i,0.00067162-0.0009991i,0.00034313-0.0012989i,0.00015491-0.000447i,-0.00013533+0.00043657i,-0.00046611+0.00047712i,-0.00088766+0.00091543i,-0.0012857+0.0023138i,-0.0017637+0.0027166i,-0.001459+0.0017777i,0.00010545+0.0018704i,0.0014986+0.0022827i
-0.014398+0.0074773i,-0.011668+0.015874i,-0.0094238+0.017554i,-0.0071451+0.015722i,-0.0050414+0.012144i,-0.0034264+0.0061321i,-0.0015302+0.00053357i,-0.00049848-0.0022524i,-0.00052677-0.0027504i,-0.00022684-0.0014195i,0.00060631+0.00025888i,0.00036797+0.0011197i,-0.0011919+0.00087142i,-0.0020606+0.00075526i,-0.0028005+0.0013766i,-0.0020962+0.0011941i,-0.00019096+0.001227i,0.0016596+0.0015751i,0.0033081+0.001998i,0.0029436+0.0021894i,0.0020098+0.0019771i,0.0013683+0.00066798i,0.0012622-0.0015415i
0.0062508+0.011997i,0.012789+0.0109i,0.014264+0.0073897i,0.012327+0.0050431i,0.0088905+0.0050095i,0.0041889+0.004668i,0.00051309+0.0022962i,-0.00094859-0.0007936i,-0.0012106-0.0025292i,-0.00025559-0.0024303i,0.00099192-0.0018011i,0.0012391-0.0012452i,0.00090627-6.6669e-05i,0.00029517+0.0011322i,0.00048895+0.0018696i,0.00065394+0.0014123i,0.0011228-0.00011918i,0.0023958-0.0015318i,0.0035721-0.00307i,0.0039815-0.0039345i,0.0034546-0.0030193i,0.0018316-0.0018386i,-0.0010937-0.0012958i
0.011082-0.0058994i,0.011099-0.011919i,0.0084846-0.014586i,0.0061242-0.013176i,0.0051368-0.0081795i,0.0047175-0.002863i,0.0022767+5.2199e-06i,-0.00068469+0.0014456i,-0.0020186+0.0014816i,-0.0019048+0.0012432i,-0.00099115+0.00039601i,-9.3495e-05-0.00042983i,0.00047859+0.00044107i,0.0017997+0.0010855i,0.0020989+0.0012107i,0.0012002+0.00079387i,0.00045727-0.00026697i,-0.00070799-0.001531i,-0.0013605-0.0025786i,-0.0013894-0.0030514i,-0.00097379-0.002069i,-0.0010453-0.00043642i,-0.0022729+0.0013319i
-0.0074494-0.0097974i,-0.013431-0.010266i,-0.015493-0.0072607i,-0.013238-0.0054212i,-0.0076619-0.0053127i,-0.0028372-0.0044806i,0.0003101-0.0019025i,0.0023152+0.000286i,0.0019509+0.00066521i,0.0001032+0.00099364i,-0.0023911+0.0012281i,-0.0032098-0.00048308i,-0.0021689-0.0023632i,-0.0013991-0.0028837i,-0.00040858-0.0028257i,-0.00059552-0.0023972i,-0.0019965-0.00087704i,-0.0023835+0.0018974i,-0.0026725+0.0033749i,-0.0025782+0.0022056i,-0.0013063+0.0012754i,-0.0001927+0.0018526i,0.001009+0.0027615i
-0.015573+0.0082867i,-0.013287+0.015701i,-0.0075175+0.018896i,-0.0037018+0.017297i,-0.0026444+0.011113i,-0.0027583+0.0031477i,-0.0013519-0.0017099i,0.00095951-0.003001i,0.0014635-0.0029642i,0.0015116-0.0012716i,0.0020719+0.0012956i,0.0019878+0.0024081i,0.00046383+0.0019376i,-0.00094316+0.0010949i,-0.0010405+0.0013113i,-0.00093004+0.0020114i,-0.00054458+0.0026994i,0.00038942+0.0031706i,0.001279+0.0037148i,0.001425+0.0035861i,0.0015064+0.0024154i,0.0017622+0.00087558i,0.0024787-0.00099227i
0.0020811+0.01225i,0.010574+0.012782i,0.013784+0.008652i,0.012454+0.006752i,0.0094228+0.0080235i,0.0045545+0.0073696i,-0.0001689+0.0027982i,-0.0023093-0.0015097i,-0.0027703-0.0026028i,-0.0014558-0.0016702i,0.00085818-0.00069889i,0.0017052-0.00042288i,0.00054475+0.0006013i,-0.0010348+0.0020616i,-0.00091003+0.0022552i,8.5365e-05+0.0020822i,0.001191+0.0014246i,0.002238+4.6023e-05i,0.0032811-0.00049235i,0.0031548-0.0011452i,0.0015862-0.0023891i,-0.00011315-0.0033363i,-0.0015495-0.0034136i
0.013128+0.00016605i,0.012269-0.0075732i,0.0086455-0.014574i,0.0068362-0.016407i,0.0071769-0.011751i,0.0068511-0.0056775i,0.002701-0.00090633i,-0.0014162+0.0019342i,-0.0023011+0.0015328i,-0.00069049-0.00044809i,0.0005289-0.0023638i,0.0004581-0.0033991i,0.00048312-0.0034168i,0.0013605-0.0017825i,0.0023505-0.00067699i,0.0032202-0.00077722i,0.0023746-0.00087219i,0.00085253-0.0021715i,0.00041163-0.0036644i,5.6074e-05-0.0041843i,-0.00010411-0.0030253i,-0.00020382-0.00047845i,-0.0016316+0.0015985i
-0.00018683-0.011577i,-0.0058454-0.012491i,-0.011973-0.009163i,-0.013586-0.0071015i,-0.0083914-0.0067485i,-0.0020264-0.0055556i,0.0024596-0.0015919i,0.0042399+0.001206i,0.0033371+0.0010789i,0.00047844+0.00030964i,-0.0020151-0.00032069i,-0.0033913-0.00072536i,-0.0030939-9.9459e-05i,-0.0023634+0.00037154i,-0.0021525+0.00028054i,-0.001969-0.00032775i,-0.0023708-0.0010606i,-0.0024249-0.0014502i,-0.0023073-0.00075257i,-0.0027008+0.0010511i,-0.0023654+0.0025159i,-0.00078193+0.0030662i,0.0011267+0.0023225i
-0.010607-0.00019255i,-0.011748+0.0055402i,-0.0060169+0.012649i,-0.0039003+0.013977i,-0.0053823+0.0085403i,-0.0043418+0.0028985i,-0.0010934-0.0007523i,0.0008067-0.0030243i,0.00040535-0.0036031i,-0.00037285-0.0022455i,-0.00029262-0.00038945i,-0.00031095+0.0013751i,-0.0014519+0.0016198i,-0.0019404+0.00066521i,-0.001964-0.00015611i,-0.0019375-0.00055104i,-0.0017578+0.0009162i,-0.00088306+0.0025397i,0.00035526+0.0033539i,0.00034414+0.0029323i,0.00067681+0.0010662i,0.0023978-0.001068i,0.0036232-0.0025207i
-0.0012307+0.011114i,0.0055331+0.0094923i,0.014281+0.0028404i,0.016481+0.00115i,0.010523+0.0042229i,0.0039065+0.0048586i,-0.00050158+0.00051217i,-0.0021647-0.0030234i,-0.0025986-0.002816i,-0.0020299-0.00037009i,-0.00035568+0.0016172i,0.0011452+0.0016435i,0.0024124+0.0012522i,0.0025133+0.001408i,0.0018595+0.0021153i,0.001551+0.0025967i,0.0015875+0.0022789i,0.0020323+0.00064852i,0.0036699-0.00039205i,0.0051962-0.00064704i,0.0032701-0.0014528i,9.0474e-05-0.0016265i,-0.0009398-0.0016725i
0.008223+0.004393i,0.0074362-0.001998i,0.00073764-0.012608i,-0.00045142-0.016449i,0.0038301-0.010378i,0.0060602-0.0033266i,0.002389+0.00064964i,-0.0023131+0.0017684i,-0.0030888+0.0012219i,-0.0016479+0.00056045i,0.00027719-0.0012787i,0.0010975-0.0038112i,0.00072426-0.0045159i,-0.00012981-0.0031764i,-5.8293e-05-0.0016521i,0.0018063-0.0010147i,0.002266-0.0007113i,0.0019808-0.0006996i,0.0016411-0.0019971i,3.0907e-05-0.0038665i,-0.0014054-0.0031748i,-0.0021694-0.00076571i,-0.0024152+0.00066695i
0.0031306-0.011114i,-0.0014615-0.0086482i,-0.013081-0.001935i,-0.017734-0.0012349i,-0.012351-0.0048172i,-0.0065366-0.0049995i,-0.0016188-0.0012429i,0.0016451+0.0016641i,0.0020584+0.0013972i,0.00086522+0.00065705i,-0.0012458-0.00046063i,-0.0030299-0.0010544i,-0.0031441-0.00080663i,-0.0015354-0.0016249i,0.00030957-0.0020834i,0.00083544-0.0020924i,0.00022791-0.0018103i,-0.00079944-0.0019273i,-0.002171-0.0022565i,-0.0030122-0.0010417i,-0.0018399+0.00055869i,8.2328e-05+0.0019609i,0.0010093+0.0026365i
-0.0094391-0.0043096i,-0.0064794+0.0026565i,0.00051376+0.014601i,0.00043604+0.018946i,-0.0046671+0.01178i,-0.0054752+0.0054703i,-0.0013676+0.0011684i,0.0011109-0.0027661i,0.00067844-0.0037695i,-0.0010583-0.0025733i,-0.0021442-0.000377i,-0.0015549+0.0020865i,-0.0004781+0.0032066i,-0.00071476+0.0030266i,-0.0019667+0.0025483i,-0.0029698+0.0019359i,-0.0025307+0.0016621i,-0.00086009+0.0019566i,-8.1212e-06+0.0032399i,-0.00041852+0.0043328i,-4.2486e-06+0.0030294i,0.0013693+0.0010425i,0.001516-0.00077174i
-0.004078+0.0061423i,0.002267+0.0020667i,0.015461-0.006109i,0.020435-0.0056246i,0.013319+0.0016777i,0.0057281+0.00455i,0.0023875+0.00081089i,1.1699e-05-0.0024812i,-0.0022088-0.0019761i,-0.0021591-0.00042161i,0.00083314+0.00042041i,0.0034697+0.00043457i,0.0029988-0.00024588i,0.0013726-0.00064648i,0.0015023+0.00037745i,0.0023981+0.0013144i,0.002755+0.0013135i,0.00238+0.0013501i,0.0027714+0.0010176i,0.0039356-0.000139i,0.0037344-0.0011646i,0.0024542-0.0017247i,0.0011548-0.0029718i
0.0079217+0.010095i,0.0050497+0.00079132i,-0.0028425-0.014598i,-0.0028517-0.02079i,0.0045672-0.014187i,0.0078167-0.0070166i,0.0043605-0.003474i,0.0006253-0.00076291i,-0.0011341-0.00013593i,-0.00067649-0.00077761i,0.00077194-0.0018468i,0.0015047-0.0038025i,0.00080602-0.0039315i,0.0003027-0.001767i,0.0010001+4.0698e-05i,0.0018245+0.00047799i,0.0016092-0.00053711i,0.0021282-0.0016312i,0.0027719-0.0021874i,0.0017524-0.0025138i,-0.00022779-0.0014267i,-0.0011635+0.0002615i,-0.0014778+0.001163i
0.0083962-0.0045791i,0.0013387-0.0010872i,-0.012376+0.005361i,-0.019151+0.0033546i,-0.012946-0.0036006i,-0.0052199-0.0062917i,-0.0022082-0.0039637i,-0.00020617-0.0016022i,0.0005521-0.0012954i,7.7438e-07-0.0019041i,-0.0011492-0.0022484i,-0.0035106-0.0012639i,-0.004881-0.0002149i,-0.0046429-0.00080801i,-0.0033782-0.0015329i,-0.0020619-0.0017185i,-0.0010535-0.00097958i,-0.0012457-0.0003802i,-0.0026563-0.0010925i,-0.0036938-0.001742i,-0.0025633-0.00077614i,-5.7605e-05+2.8742e-05i,0.001777+7.2249e-05i
-0.00012575-0.0080292i,0.0031659-0.0014849i,0.008163+0.012159i,0.0044619+0.019401i,-0.0038157+0.014064i,-0.006879+0.0076657i,-0.0037586+0.0032774i,-0.0011873-0.00083421i,-0.0017895-0.0014407i,-0.0029887+0.00052787i,-0.0030537+0.0015239i,-0.0015164+0.0026937i,0.00041331+0.003733i,0.0014589+0.0031968i,0.00056006+0.0033118i,-0.00095784+0.0034963i,-0.0011987+0.0029837i,-0.0012552+0.0022832i,-0.0018879+0.0014933i,-0.0011518+0.0019231i,0.00066536+0.0022689i,0.0018452+0.0013922i,0.0020123+0.00021825i
-0.010274-0.0013883i,-0.0032209-0.0022975i,0.010366-0.010032i,0.018723-0.0092318i,0.013136+0.00024766i,0.0074885+0.005571i,0.0051496+0.0035955i,0.0020246+0.00098332i,0.00015302+0.0011161i,-8.1574e-05+0.0013221i,0.00085428+0.00084681i,0.0022782-0.00019703i,0.0027217-0.00083767i,0.0016066-0.00090097i,0.00038581-0.00054925i,0.00052318+0.00058353i,0.0018884+0.0018437i,0.0028398+0.0027244i,0.0030691+0.0037163i,0.0027359+0.0028469i,0.0016256+0.00035316i,-0.00022222-0.0017483i,-0.001444-0.0027771i
-0.0011279+0.0088106i,-0.0028283+0.0014804i,-0.010549-0.011861i,-0.0085786-0.019204i,0.0018525-0.013827i,0.0067284-0.0074294i,0.0048305-0.0046944i,0.0028098-0.0023517i,0.0026668-0.0010161i,0.0029278-0.00067163i,0.0018731-0.0010214i,-6.8148e-05-0.0021118i,-0.00073311-0.0028411i,-0.00047709-0.0027982i,0.00011215-0.0015016i,0.00072369-0.00036273i,0.00043172-0.0012213i,0.00018952-0.001851i,0.0019426-0.0019272i,0.0039328-0.0022866i,0.0030912-0.0012552i,0.0014757+0.0002674i,0.00076788+0.00081884i
0.0068195+0.0076553i,0.0033212+0.0079872i,-0.0069726+0.014718i,-0.014586+0.011514i,-0.011088+0.001214i,-0.0059813-0.005234i,-0.0039118-0.0048919i,-0.0020154-0.0036962i,-0.0011471-0.0048383i,-0.0022508-0.0050712i,-0.0027205-0.0033392i,-0.001972-0.00067148i,-0.0010488+0.0017091i,-0.00060129+0.0032253i,-0.0011483+0.0029124i,-0.0018844+0.0008813i,-0.0017392-0.00044691i,-0.0006035-0.0010455i,3.9258e-05-0.0016296i,-0.00028617-0.0014519i,-0.00067521-2.2657e-05i,-0.00088217+0.0012426i,-9.5414e-05+0.00046382i
0.010889-0.0071279i,0.0095532-0.0084358i,0.016362-0.00016214i,0.013911+0.010496i,0.00079001+0.0091404i,-0.0083942+0.0049191i,-0.0076911+0.0028867i,-0.0052406-0.00043495i,-0.005276-0.0011135i,-0.0053424+0.001157i,-0.0028631+0.0023823i,-0.00096284+0.0024952i,-0.00076215+0.0015555i,0.00048141-0.00024795i,0.0012626-0.0013021i,0.00090467-0.00044126i,0.00020853+0.00085444i,-0.002064+0.0014288i,-0.0037322+0.00085831i,-0.0023976+3.4199e-05i,-0.00014067-0.00079676i,0.001024-0.0019315i,0.00075851-0.0025886i
-0.0049376-0.0077451i,-0.0068577-0.0055404i,7.6354e-05-0.015077i,0.0089595-0.014923i,0.0088241-0.0019325i,0.0062947+0.0073006i,0.003537+0.0073867i,0.00027205+0.0047368i,-0.00095419+0.0038072i,-4.0686e-05+0.0034475i,0.001545+0.00097863i,0.0018957-0.0017202i,0.0017612-0.0018577i,0.001987-0.00084348i,0.0017242-0.00031957i,0.0015084-0.00018653i,0.001338+0.00036886i,0.0014131+0.0016043i,0.0018483+0.0029643i,0.0022892+0.002989i,0.0012586+0.0021213i,-0.0012767+0.0018055i,-0.0033386+0.0013039i
-0.013003+0.0003238i,-0.0087407+0.0074462i,-0.019587+0.004045i,-0.019501-0.0036534i,-0.0042416-0.0043824i,0.0068796-0.0040224i,0.0081501-0.0033218i,0.0059707-0.0013106i,0.0049449-0.00094813i,0.0049162-0.0024496i,0.0036101-0.0037783i,-0.00011718-0.0031041i,-0.0035233-0.0010042i,-0.0044047+0.00029642i,-0.0036658-0.00072932i,-0.0010554-0.0018023i,0.0013109-0.00097318i,0.0028069+0.00027782i,0.0039546+0.0002479i,0.0036541-0.00088973i,0.0027253-0.0008728i,0.0019382+2.0708e-05i,0.0014954+0.00064048i
-0.0056047+0.013569i,0.0078071+0.010977i,0.0087757+0.022905i,0.0021077+0.022171i,0.00089447+0.0060538i,0.001067-0.0062186i,0.0011092-0.0082182i,0.0024539-0.0076464i,0.0015092-0.0079933i,-0.001345-0.0063145i,-0.0025757-0.0031441i,-0.0016795-7.2263e-06i,-0.00041681+0.002425i,0.00081048+0.0035476i,0.0012307+0.0036554i,0.0010358+0.0028482i,0.00066712+0.00054759i,0.0010726-0.0030226i,0.0022994-0.0049936i,0.0032198-0.0039152i,0.0037696-0.00092901i,0.0044436-0.00012736i,0.0040169-0.00084065i
0.010595+0.0084152i,0.0089116-0.011151i,0.023383-0.015645i,0.024961-0.008208i,0.0087464-0.0043243i,-0.0050374-0.0029707i,-0.0080023-0.0027813i,-0.0070563-0.0040828i,-0.0064968-0.0031696i,-0.0047202+0.00030181i,-0.00054699+0.002109i,0.0018104+0.0021825i,0.0013733+0.0013103i,0.00025562+0.00046116i,0.00021187+0.00038764i,0.0010447-2.0725e-05i,0.00084315-0.00075897i,-0.00096159-0.0018407i,-0.0032683-0.0025852i,-0.004148-0.0020408i,-0.0040053-0.0019623i,-0.0036118-0.0025808i,-0.0030886-0.0032217i
0.015815-0.0074132i,-0.0098971-0.0085127i,-0.0194-0.029598i,-0.014578-0.033817i,-0.0095342-0.013869i,-0.0049124+0.0034912i,-0.0027399+0.0069092i,-0.0033766+0.0054109i,-0.0025876+0.0053465i,-2.1818e-05+0.0045254i,0.002073+0.0018379i,0.0014953-0.00082836i,-0.00082758-0.0025561i,-0.0019727-0.0039669i,-0.0015285-0.0039224i,-0.00074591-0.0016976i,-7.7518e-05+0.00033529i,-0.00066401+0.0018133i,-0.0014608+0.0027822i,-0.00059635+0.0024005i,0.00042855+0.0012259i,0.00049618+0.00046685i,7.5099e-05+0.00099641i
-0.0027428-0.022959i,-0.0062233+0.007669i,-0.029969+0.021541i,-0.036559+0.018605i,-0.017017+0.014557i,0.001243+0.010574i,0.0061214+0.0070579i,0.0061934+0.0048528i,0.005733+0.0022814i,0.0035809-0.00075322i,0.00060696-0.0031709i,-0.0016579-0.0036087i,-0.0027524-0.0016987i,-0.0039375+0.00080889i,-0.0043973+0.0018691i,-0.003141+0.0011643i,-0.00054352+0.00060934i,0.002705+0.0018402i,0.0042835+0.0031581i,0.0034778+0.0041257i,0.0014589+0.004721i,0.00073929+0.0041664i,0.001177+0.0031219i
-0.027095-0.0031086i,0.008797+0.0055221i,0.025174+0.032306i,0.023683+0.040318i,0.018112+0.019982i,0.011129+0.0013538i,0.0067085-0.0037356i,0.0050284-0.0054391i,0.0021509-0.0068116i,-0.0010329-0.0044237i,-0.0032376+6.7674e-05i,-0.0037896+0.0024265i,-0.002368+0.0024972i,-0.00093683+0.0021583i,-0.00017467+0.0020318i,0.00073238+0.001786i,0.00095208+0.0010374i,0.0012722-0.00092178i,0.0031726-0.0025159i,0.0051925-0.0038545i,0.0062684-0.0045048i,0.0051056-0.004722i,0.0033186-0.0048324i
-0.015334+0.030291i,-0.0014264-0.012067i,0.031823-0.031083i,0.044175-0.029294i,0.02475-0.023432i,0.0037552-0.015998i,-0.0028649-0.010486i,-0.0038001-0.0087532i,-0.0053467-0.0071398i,-0.0043456-0.0027792i,-0.00073659+0.00081817i,0.0016797+0.00082128i,0.0026273-0.00047887i,0.0038457-0.0010564i,0.0041011+1.4482e-05i,0.0023012+0.00044284i,-0.00019681-0.00083528i,-0.0018735-0.0017069i,-0.002701-0.0024928i,-0.0022089-0.0028662i,-0.0013073-0.0025417i,-0.0013912-0.0016483i,-0.0024077-0.00061842i
0.031252+0.025039i,-0.01508+0.008285i,-0.038918-0.03012i,-0.037723-0.046994i,-0.02892-0.027538i,-0.018855-0.0054732i,-0.011067+0.0010303i,-0.0078336+0.00081687i,-0.0044845+0.0016081i,-0.00019945+0.0016776i,0.0024025-3.0361e-05i,0.0024085-0.0010568i,0.0011692-0.0013565i,-9.8044e-05-0.0020867i,-0.00072394-0.0029451i,-0.00031477-0.0022913i,-0.00017829-0.00071813i,-0.0011538+0.00056279i,-0.002723+0.00091786i,-0.0041592+0.0007868i,-0.0043889+0.001146i,-0.0048645+0.00072623i,-0.0052584+0.00026337i
0.037164-0.031936i,0.014601+0.016129i,-0.025365+0.040702i,-0.045378+0.039664i,-0.029454+0.031274i,-0.0065592+0.021292i,0.0014474+0.012954i,0.0025769+0.0085977i,0.0028566+0.003652i,0.0012513-0.00096393i,-0.0013632-0.0028171i,-0.0037238-0.0034007i,-0.0044702-0.0032971i,-0.0040045-0.0018677i,-0.0025346+0.00042065i,-0.0013396+0.002097i,-0.00080161+0.0024532i,-0.00056368+0.0028842i,0.00073833+0.0047948i,0.0027155+0.0058961i,0.0042935+0.0060777i,0.004983+0.0058662i,0.0047844+0.0038036i
-0.028968-0.049648i,0.019139-0.021676i,0.043086+0.021412i,0.042253+0.045401i,0.034068+0.032204i,0.023564+0.010387i,0.015047+0.0019448i,0.010078-0.0008195i,0.0052798-0.0024448i,0.001414-3.1824e-05i,-0.00038887+0.0024995i,-0.0011209+0.0039258i,-0.0011634+0.0045513i,-0.00071504+0.0046745i,1.7524e-05+0.0043784i,0.0012773+0.0020935i,0.002095-2.8211e-05i,0.002579-0.0015139i,0.0028463-0.0023579i,0.0024174-0.0030433i,0.0027106-0.003549i,0.0025064-0.0037467i,0.0014309-0.003607i
-0.066808+0.024549i,-0.031775-0.023312i,0.017791-0.048286i,0.046525-0.047439i,0.036293-0.037395i,0.014478-0.024589i,0.0043886-0.014066i,0.0017397-0.0089368i,-0.0010847-0.0054055i,-0.0010068-0.00098956i,0.0013614+0.0015734i,0.0025954+0.0017363i,0.0022325+0.00038627i,0.0022889-0.0010715i,0.0027384-0.0013949i,0.0022297-0.0011349i,0.00073481-0.00045317i,0.00015308-0.0002108i,0.002005-0.0011403i,0.0028429-0.0031672i,0.0018676-0.0050362i,0.0010446-0.0050315i,0.00032029-0.0031198i
0.016409+0.077376i,-0.028785+0.039203i,-0.055411-0.01072i,-0.053378-0.040619i,-0.04035-0.033203i,-0.025224-0.013611i,-0.013944-0.0045658i,-0.0092271-0.0024438i,-0.0053284-0.00072016i,-0.0015323-0.0010648i,0.00046375-0.0027104i,0.0017311-0.0033897i,0.0023894-0.0029412i,0.0013846-0.002095i,-0.00035896-0.0024743i,-0.0021177-0.0018645i,-0.002015-0.00044386i,-0.0013134-0.0005484i,-0.0033685-0.00083902i,-0.0065963-0.00062097i,-0.0075993+0.0012332i,-0.0058979+0.0033368i,-0.0041349+0.0042i
0.088392-0.0060179i,0.048414+0.035668i,-0.0018168+0.05939i,-0.037469+0.05467i,-0.034171+0.040023i,-0.014529+0.024896i,-0.0044446+0.012448i,-0.0023169+0.0059005i,-0.0013219+0.0022028i,-0.0022315-0.00046811i,-0.0032008-0.0011537i,-0.0027959-0.0013245i,-0.0037022-0.00034942i,-0.0047983+0.00073997i,-0.0042085+0.00086437i,-0.0022977+0.0019058i,-3.3684e-06+0.0020024i,0.0015856+0.0010649i,0.0020699+9.2301e-05i,0.0029228+0.0010573i,0.003526+0.0031248i,0.0038231+0.0025332i,0.0040039+0.00099898i
0.0088234-0.10233i,0.044406-0.05943i,0.065959-0.0087819i,0.058914+0.027631i,0.040518+0.029312i,0.024605+0.014227i,0.013901+0.0052675i,0.0083023+0.0013627i,0.0036816-0.00085155i,-8.2563e-05+0.0011056i,-0.00085774+0.0037089i,-0.00049105+0.0034512i,0.00034717+0.0014386i,0.00143+0.00058636i,0.001721+0.001497i,0.0015581+0.0021127i,0.00044354+0.001236i,-0.0010523+0.0015906i,-0.00076159+0.0032773i,0.001902+0.0036494i,0.0049962+0.0025001i,0.0050321+0.00055854i,0.0028471-0.00050254i
-0.11012-0.023071i,-0.069184-0.050926i,-0.020723-0.071637i,0.016725-0.063642i,0.022788-0.042609i,0.011013-0.024901i,0.0043755-0.013435i,0.0013289-0.0085836i,-0.0010566-0.0051493i,-0.00011591-0.0019129i,0.0014617-0.00028944i,0.0021045+0.0010709i,0.0022012+0.0011229i,0.0018359+0.00074751i,0.0022964+0.00029136i,0.0033429-0.0011302i,0.0026122-0.0011525i,0.0022531-0.001313i,0.0028921-0.0026998i,0.0018547-0.0050674i,-0.00086776-0.0073543i,-0.0031378-0.0072881i,-0.0037141-0.0043082i
-0.040017+0.11428i,-0.059136+0.076091i,-0.075426+0.032165i,-0.064866-0.0042785i,-0.041039-0.015057i,-0.021771-0.0082193i,-0.011433-0.0029503i,-0.0071662-0.0023311i,-0.0038085-0.0019558i,-0.0012379-0.0023486i,-0.00041542-0.0027382i,-0.0010554-0.0024268i,-0.0025607-0.002821i,-0.0022391-0.0029972i,-0.001306-0.0023105i,-0.0011551-0.0014219i,-0.00093183+8.1816e-05i,0.00038858+0.0025915i,0.0010795+0.0032653i,-0.00050373+0.0030361i,-0.0027514+0.003878i,-0.0022885+0.0044052i,-0.00037426+0.0039186i
0.10879+0.062154i,0.076267+0.075206i,0.037253+0.088343i,0.0043639+0.07373i,-0.0077119+0.044456i,-0.0046673+0.021902i,-0.0010965+0.0097408i,-0.0011724+0.0051231i,-0.0018156+0.0022943i,-0.0027164-0.00025548i,-0.0021616-0.00095635i,-0.00038381-0.00023547i,5.4032e-06+0.001487i,-0.00066367+0.0029727i,-0.0016367+0.0026682i,-0.001847+0.0014132i,-0.00077253-0.0007322i,-0.00081555-0.0035148i,-0.0020024-0.0035581i,-0.00099635-0.00078467i,0.0017018+0.0024577i,0.0024173+0.0029682i,0.0021362+0.0014848i
