0.00091518-0.00020627i,0.0012917-0.002479i,0.0017546-0.0046922i,0.0016693-0.0029616i,-6.9205e-05+0.00031726i,-0.0015515+0.0016698i,-0.00077396+0.001825i,0.00074223+0.00088988i,0.0012226+2.5714e-05i,0.0012961-0.00048932i,0.0013023-0.00093626i,0.00049556-0.00099277i,-0.00053626-0.0010543i,-0.001066-0.00078235i,-0.00033055-0.00042633i,0.00044042+5.2352e-05i,0.00015244-0.00058292i,0.00012803-0.00065741i,0.00039488-0.00042909i,0.00096111-0.0010382i,0.0012493-0.00069668i,0.0012007+0.00034285i,0.0011587+3.8642e-05i
0.00039902+0.0014448i,4.3434e-05+8.3727e-05i,0.0017348-0.00056484i,0.0032522-0.00036155i,0.0018797-0.00013232i,0.00031983-0.00060749i,0.00074558-0.0013978i,0.00071358-0.0013969i,0.00071098-0.00085573i,0.00088765-0.00092012i,0.00064722-0.0011927i,0.00021993-0.001454i,3.0033e-05-0.00076892i,-0.000465+0.00044474i,-0.00063352+0.00072661i,-0.00043842+0.00030703i,-0.0008305+0.00018383i,0.00010049+0.0001951i,0.00076327+0.00022343i,-0.00024862-7.9327e-05i,-0.00076986+0.00020082i,0.00010314+0.00024713i,0.0011631+0.00054064i
0.00025973+0.00050353i,0.00052372+0.00021605i,0.0014469+0.00018218i,0.0024082+0.00049543i,0.0019644+0.0012811i,0.0010689+0.0013351i,0.0009242+0.00074395i,0.00079746+0.00073763i,5.0045e-05+0.00037313i,-0.00019097+0.0001463i,-0.00010603+0.00050024i,0.00064835-0.00012091i,0.0011431-0.00072149i,-0.00012923-0.00028479i,-0.00034518-0.00040974i,0.00065196-0.00042565i,0.0010346-0.00064866i,0.0011494-0.00064711i,0.00013699+0.00039622i,-0.00039885+0.00072339i,0.00047233+0.00040013i,0.00064883-0.00037534i,0.00027854-0.00077155i
-0.00031099-0.0015186i,0.00015037-0.00099515i,0.0006167-0.00051138i,6.2607e-05-0.00024884i,-0.001003+0.00022552i,-0.00036955+0.00036719i,0.00013602-0.00067389i,0.00048999-0.0014547i,0.00042229-0.0010541i,0.0007104-8.2793e-05i,0.00028277+8.9953e-05i,-0.00041851-0.00072496i,0.00011469-0.0010158i,0.0010272-0.0008911i,0.0012121-0.00074167i,0.00037696-0.00028448i,-6.0277e-05-1.0714e-05i,-6.3706e-05-0.00020405i,0.00014342+0.00018404i,0.00025754+0.0004884i,0.00032392-8.5988e-05i,-0.00022766-0.00069487i,-0.00072096-0.00074517i
-0.00088601+0.00026427i,-0.00086308+0.00040309i,0.0002798+0.0017704i,0.0020653+0.0019739i,0.0029715+0.0011105i,0.001896+0.00028036i,0.0011396+0.00010065i,0.00056745-0.000129i,-0.00021653-0.00043074i,0.00050711-0.00027967i,0.00050407-0.00043018i,2.5067e-05-0.00099379i,0.00062307-0.00083282i,0.00016203+0.00015496i,-0.00062288-4.7629e-05i,-0.00087645-0.0008398i,-0.00096739-0.00056777i,-0.00058323-0.00049736i,-0.00042127-0.0005933i,-0.00050641+0.0001234i,-0.00072362-0.00038278i,-0.00069937-0.001077i,-0.00057087-0.00038976i
-0.0011845-4.6571e-05i,-0.00011325+0.00026387i,0.00097234+0.0013225i,0.00094127+0.0011617i,0.001431+0.00080154i,0.0017617+0.00063926i,0.0010192-0.00022491i,0.00053814-0.00082993i,0.0005973-0.00091123i,0.0011595-0.00090392i,0.00099923-0.00081966i,-9.1966e-05-0.0011456i,-0.0008979-0.0012178i,-0.00048481-0.00059224i,-0.00032287+0.00018895i,-0.00080806+0.00080222i,-0.00011903+0.00072399i,0.00057925+0.00056037i,0.0003491+0.00040772i,-5.5411e-06+8.4735e-05i,-0.0001596-0.00026224i,0.00033503-0.00047889i,0.00027944-0.00049312i
0.00014863-6.9494e-07i,-0.00056297+0.00058467i,-0.0001828+0.00075432i,0.0016554+0.00045591i,0.0016621+0.00017855i,0.00046531-2.4293e-05i,0.00039174-0.0007554i,0.0013813-0.0010092i,0.0016744-0.00065247i,0.0015689-0.00040829i,0.0012505-0.00041277i,0.00061199-0.00089953i,0.00022996-0.0017777i,-6.3383e-06-0.001406i,2.9471e-05-0.00018926i,0.00012517+0.00030263i,-0.00036116+0.00056524i,-0.00038075+0.00019893i,-0.00035109-0.00019686i,0.0001477-0.00064193i,0.00011869-0.00069339i,-0.00023752+0.00017474i,-8.0458e-05+0.00046609i
0.0012114+0.00041528i,0.0024434-0.00023167i,0.0033309-0.001011i,0.0033769-0.00021799i,0.0019027+0.00040969i,0.00085574-0.00039821i,0.0015598-0.00025414i,0.0010914+0.00043787i,0.00058785-0.00035663i,0.00043191-0.00064568i,-0.00026954-8.6288e-05i,-1.602e-05+6.441e-05i,0.00035856-0.00014327i,0.00066962+3.1944e-06i,0.00025736+0.0007839i,0.00013332+0.00083537i,0.00060594+0.00020673i,0.0003544-0.00044457i,-0.00027671-0.00052125i,-0.00011037+0.00039956i,0.00019558+0.0013568i,0.00011427+0.0018283i,9.4311e-05+0.001357i
-4.9137e-05-0.00093308i,-2.2742e-05-0.0010596i,-0.0002049-0.00034169i,-0.00053808+0.00067175i,-0.00057704+0.0015825i,-1.7821e-05+0.0024087i,0.00010084+0.00083135i,-3.7401e-05-0.00083865i,-0.00021871-0.00081589i,-9.3112e-05+7.0522e-05i,0.00013721+0.00053587i,0.00025311+0.00034943i,0.00026068+9.9115e-06i,0.0011866-0.00042876i,0.0012261-2.4086e-05i,-0.00014153+0.00017371i,-0.00057615-8.5811e-05i,-0.00058947-3.0224e-05i,-0.00090319-3.8224e-05i,-0.00072076-0.000405i,-0.00025425-0.00040603i,0.00067772+0.00021552i,0.0010081+0.00016865i
-0.0014234-8.088e-05i,-0.00014005-0.00020027i,0.000252+0.00034228i,0.00058099+0.00047614i,0.0015695+0.00073019i,0.001792+0.00017587i,0.0017709-1.5943e-05i,0.0013285+1.3757e-06i,0.00070905-3.752e-05i,-0.00040382+0.00037661i,-0.00085853+0.00056309i,-0.00018467-0.0002317i,-2.9309e-06-0.00074696i,-0.0010803-0.00031524i,-0.0012779-0.0001611i,-0.00066767-3.6208e-05i,0.00024511+0.00042592i,0.00057428+0.00061316i,0.00015697+0.00042629i,-7.6391e-05+0.00016013i,1.7459e-05+0.00067013i,0.00032039+0.0013526i,0.00020187+0.00082489i
0.0016372+0.00095074i,0.0011759-0.00013867i,0.0017425-0.00087658i,0.003036-0.0015532i,0.0028978-0.0015555i,0.001881-0.00076128i,0.0012625+0.00032497i,0.0015846+0.00078938i,0.0019033+0.00060603i,0.0017355+0.0001743i,0.0011174-9.3672e-05i,0.00015925-0.00010777i,-0.00067945-0.00018359i,-0.00036458+0.00033008i,0.00033759+0.00045471i,0.00022333-0.00030886i,3.5668e-05+0.00025943i,0.00014717+0.00046302i,-0.00011833-0.00016706i,-0.00038996-0.00051521i,-0.00028506-0.00017511i,5.3547e-05-0.00029812i,-0.00012827-0.00025832i
6.4233e-05+0.00050367i,0.00034521+0.00060266i,0.00098903+0.00097843i,0.0015099+0.0014834i,0.00055825+0.0014433i,-0.00022017+0.00060935i,0.0008384-0.00013202i,0.0012935-0.0012148i,0.00056375-0.001357i,0.00063457+5.3432e-05i,0.0009803+0.00066151i,0.0012465+0.00056754i,0.0010717+0.00037133i,-0.00012517-0.0005002i,-0.00078049-0.0014339i,-0.00039684-0.00059617i,-0.00097727-0.00015261i,-0.00052883-0.0003494i,0.00037019+4.5212e-05i,0.00091988+0.00068135i,0.0013439+0.00035811i,0.00068499-0.00034476i,0.00032439-0.00029301i
-0.0007953+0.00021019i,-0.00049049-0.00043655i,0.0011595-4.7832e-05i,0.002737+0.00016798i,0.0036048-7.1589e-05i,0.0029507-0.0010843i,0.001771-0.0020047i,0.0015696-0.0016953i,0.0016473-0.0011195i,0.0011801-0.00035629i,0.00063878-0.00030171i,0.00053361-0.0011457i,0.00097241-0.0014321i,0.00015008-0.00073975i,-0.00084369+0.00027548i,-0.00076688-8.3645e-05i,-0.00094694-0.00070915i,-0.0005405+0.00068732i,9.5826e-05+0.00082734i,-7.9585e-05-0.00037162i,-0.00082852-0.00017425i,-0.0010428-0.00011457i,-0.00088244-0.00071229i
-0.00012466-0.00051619i,0.00061117-3.2529e-05i,0.001165+0.00051524i,0.0012212+0.00088473i,0.00093948+0.0011457i,0.00099733+0.0012371i,0.0022008+0.00043297i,0.0023641+3.9034e-06i,0.0016741+0.00038882i,0.0013139+0.00070509i,0.00099614+0.00044051i,0.00057595-9.7731e-05i,-0.00049242+7.586e-06i,-0.00092861+5.8568e-05i,0.0001415-0.00011677i,0.0011157+0.00024041i,0.0011058+0.00064921i,-2.1033e-05+0.0007734i,-0.00062037+0.00056107i,-0.00045219+0.00046021i,2.184e-05+0.00037682i,1.1838e-05+5.4902e-05i,-0.00052899-0.0002724i
0.00040382-0.0019373i,-0.00082199-0.0010286i,-0.00061729-0.00096545i,-0.00024539-0.00025412i,-0.00076863+0.00054359i,1.4944e-05+0.0013673i,0.00102+0.0013391i,0.00087606-3.1676e-05i,0.00027724+7.0352e-05i,0.00040343+0.00012937i,0.00069063-0.00020763i,0.00045545+0.00012659i,0.00038632+1.9465e-05i,0.00064965-0.00018269i,0.00057826-0.00040913i,0.00074558-5.6664e-05i,0.0007752+0.00029585i,-0.00045007+0.00048931i,-0.0012264+0.00057451i,-0.0011304+0.00083447i,-0.0012274+0.0005564i,-0.00010041+0.00037029i,0.0010375+0.00065149i
-0.0013193+0.0012017i,-0.0018171+0.0021293i,-0.00030467+0.0032389i,0.0016498+0.0026512i,0.0016526+0.0015295i,0.00062574+0.00056393i,0.0007493-0.00011438i,0.00096066-0.00034467i,0.00025716-4.9516e-05i,0.00068305-0.00020915i,0.0011171+0.0001324i,0.00047986-0.00035987i,-0.00059128-0.0013335i,-0.0011131-0.001497i,-0.0001867-0.00077143i,0.00022041+0.00030873i,1.9115e-06+0.00076497i,-0.00011015+0.00051333i,0.00017825+0.00030339i,0.00025554-5.0159e-05i,0.00021231-0.00013382i,0.00076875+0.00081828i,0.00082062+0.00073362i
0.0014529+0.001679i,0.0011415+0.00038099i,0.0016871-0.0013759i,0.0025253-0.0021483i,0.0019542-0.0025583i,2.6943e-05-0.002133i,-0.0005381-0.00083969i,0.00050498-0.00055705i,0.00013184-0.00036598i,-0.00033461-4.5514e-05i,0.00053051-0.00011359i,0.00048574-0.00044915i,-0.00011694-0.00065674i,-0.00034727-0.0009676i,-0.00036688-0.0010183i,0.00023894-0.00088634i,0.0003852-0.00037166i,0.00020232+0.00057471i,0.00022415+0.00046697i,9.2099e-05+2.3124e-05i,0.00074273+2.71e-05i,0.00074867-0.0004784i,0.00048339-0.00072998i
0.00033578+0.00086221i,0.00045424-0.00037092i,0.00035154+0.00048525i,0.0009217+0.00089856i,0.0018936+0.0014432i,0.00092997+0.00092309i,0.00029116-0.00043284i,0.00071529-0.00039675i,0.0013263-0.00035614i,0.0011053-0.00044439i,0.00053355-0.00053188i,3.855e-05-0.00066157i,0.00016817-0.00062935i,0.00040874-0.00044484i,0.00081809-0.0003387i,0.0007322-0.00079879i,0.00035888-9.9197e-05i,0.00098592+0.00096076i,0.0010131+0.0013016i,0.00068807+0.00095228i,0.00074154+0.00023939i,0.00080862-0.00082448i,0.0006001-0.00085041i
-0.0012041-0.00097976i,-0.00084689-0.0002178i,-0.00042069-0.00020054i,-0.0002439+0.001068i,-0.00093978+0.0017282i,-0.00011494+0.00054517i,0.00079054-0.00081551i,0.00032601-0.0011156i,-9.0153e-05-0.001172i,0.00012518-0.00029311i,0.00084297+0.00056342i,0.0010735+0.00010516i,0.00032066-0.00031951i,-0.00059162+0.00022357i,-0.0003266+0.00036916i,-0.00040868-0.00012555i,-0.00082609-0.0007234i,-0.00054375-0.00023482i,-7.0344e-05+0.00050839i,-8.9272e-05+0.00022956i,2.9668e-05-0.0002852i,0.00029951-0.00020583i,-0.00036968+4.8106e-05i
0.0018051+0.00042503i,0.0022659+0.00035591i,0.0033095+0.00045413i,0.0030424-8.0846e-05i,0.0014184-0.00084279i,0.00037076-0.00081001i,-7.1219e-05-0.00070356i,0.00062032-0.00074425i,0.0011467-0.00061725i,0.00095182-0.00043304i,0.0010034-0.00098715i,0.00032299-0.0012997i,-0.00038669-0.0014628i,-0.00097302-0.0012507i,-0.001195-0.00028355i,-0.0007484+0.00048674i,-0.00058105+0.0002292i,-0.00067624+5.2313e-05i,-0.00026778+0.0003708i,-0.00025165+0.00066288i,0.00014844+0.00039698i,0.00014282-3.5898e-05i,-9.6281e-05+0.00017337i
0.0016522+0.00028656i,0.0012191-5.1358e-05i,0.0022367-1.8055e-05i,0.003219-0.00021939i,0.0030478-0.00088765i,0.0018254-0.0011778i,0.0011337-0.00084962i,0.001229-0.00073446i,0.0011962-0.00036202i,0.0006154-2.3193e-05i,-4.9871e-05-0.00035772i,6.3211e-05-0.00046158i,0.00019116-0.00026048i,1.9439e-05+1.4584e-05i,-0.00042713+0.00028867i,-0.00022948+0.00026412i,-6.4502e-05-0.00011028i,-0.00047745-0.00082715i,0.00012721-0.0010716i,0.00052871-0.00036463i,0.00075533+0.00040085i,0.00055443-0.00038613i,-0.00062965-0.00070147i
-0.0009659+0.0013834i,-0.00095245+0.00093175i,0.00031883+0.00081809i,0.0017318+0.000711i,0.0016724-0.00054703i,0.0013738-0.0012471i,0.00095302-0.0011279i,0.00098765-0.0010318i,0.0012672-0.00032641i,0.00079128+0.00037442i,0.00080553+0.0001297i,0.0004942-0.00070807i,-0.00057871-0.0013332i,-0.00039063-0.00090377i,-0.00043902-0.00061769i,-0.0008271-0.0001684i,-0.00024125+0.00060325i,0.00010288+0.00041019i,-0.00044424+4.8328e-05i,-0.00059365+0.00034899i,-0.00027087+0.0002639i,0.00024839-0.00040088i,0.0005539-7.4059e-05i
0.0010486+0.00085508i,0.00093383-0.00043438i,0.001723-0.00096007i,0.0022577-0.0016198i,0.00084273-0.0014775i,9.2992e-05-0.00045282i,0.00089819-7.9529e-06i,0.00097122-5.5157e-05i,0.00051034-4.208e-05i,0.00053107-0.00044658i,0.00034962-0.00075409i,-0.00070892-0.00094583i,-0.00063026-0.001234i,-2.959e-05-0.00091111i,-0.00014537-0.00048693i,-8.7464e-05-0.00026509i,-0.00015348-0.00029417i,-0.00035202+0.00065902i,-0.00015451+0.0010657i,-0.00015999+0.00047813i,-8.407e-05+0.00048014i,-4.1212e-05-0.00028939i,1.0948e-05-0.00091511i
-0.0015065-0.00058554i,-0.00031799+0.0011007i,-6.4108e-05+0.0028232i,5.9949e-05+0.0026969i,0.0013791+0.0022131i,0.0022615+0.0018501i,0.001437+0.0001739i,0.0010383-0.0012578i,0.00022677-0.0011092i,0.00020461-0.00086876i,0.0010594-0.001229i,0.0011144-0.0008994i,0.00075794-0.00054891i,4.2852e-05-0.00083635i,-0.00086427-0.00053226i,-0.0016421-0.00081571i,-0.00122-0.00079861i,-0.0002607-5.6864e-05i,-0.00057425-0.00010015i,-0.00023792-0.00049601i,0.00059546+0.00027008i,0.0002081+0.00071059i,0.00063102+0.00016039i
0.00048857-0.00076474i,-0.00010926-0.00013695i,-0.0010291+0.0004735i,-0.00048197+0.0011298i,0.00019843+0.0016339i,0.0005969+0.0018821i,0.0005475+0.00074306i,0.00089201-0.0006323i,0.0018069-0.000681i,0.0016566-3.8708e-05i,0.00086271+0.00010773i,0.00047799+0.00018197i,0.00049347-0.0002484i,0.00024919-0.00075524i,-0.00082889-0.00042145i,-0.0013455-0.00037117i,-0.0010887-0.00096567i,-0.00050843-0.00086962i,0.00026339+0.00028474i,0.00048429+0.0011388i,0.0003311+0.00038448i,-8.2932e-05-0.00043149i,-0.0002542-0.00013379i
0.0019635-0.00054754i,0.0012617-0.0017415i,0.0014934-0.0027861i,0.0009915-0.0023018i,0.00019025-0.0009433i,-0.00026873-9.8235e-05i,0.00024823-0.00053022i,0.00099302-0.00070695i,0.0011064-0.00067221i,0.00069257-0.00012798i,0.00083344+0.0011001i,-3.0729e-05+0.0012909i,-0.001081-0.00031923i,-0.00048286-0.00068138i,7.2904e-05+0.00075464i,-0.00011414+0.0010668i,-0.00017857+0.00063944i,-0.00015192+0.00035615i,-0.00044313+0.00027543i,-0.00034208+0.00036482i,1.96e-05+0.00031508i,-6.7798e-07-4.3131e-05i,0.00011658+5.4345e-05i
-0.00041904-0.00024531i,-0.00044394-0.00042878i,-0.00037381-0.00060501i,0.00013682+0.00063728i,2.8972e-05+0.0017363i,0.00062114+0.0015648i,0.0014961+0.00068268i,0.001754-1.1393e-05i,0.0016596-0.0004431i,0.00074177-0.00059982i,-0.00010569-0.00064834i,5.6279e-05-0.00058918i,0.00039287-0.00032447i,0.00078823-5.3062e-05i,0.00042887+6.5121e-05i,-0.00021708+0.00035874i,-0.00016908+0.00050644i,-0.0003579-5.2048e-05i,-0.00031199-0.00019037i,-7.9736e-05+1.2695e-05i,-0.00016425+8.1824e-05i,0.00041966+0.00058232i,0.00088665+0.00067411i
-0.00054294+0.00032451i,-0.0017243+0.00010491i,-0.00082434-0.00083764i,0.00033434-1.215e-06i,0.00028801+0.00051596i,0.00076908+0.00098372i,0.0013888+0.00096709i,0.0014046+0.00029934i,0.00081942-0.00013849i,0.00084374-0.00024857i,0.0008013-0.00024804i,9.7777e-05-0.000483i,0.0002788-0.00017561i,0.00035224-0.00041769i,-0.00023623-0.00082367i,-0.00064089-0.00093741i,-0.00025361-0.00072614i,0.00044275-0.00010805i,0.00064502+0.00079546i,0.00048801+0.0011168i,0.00010331+0.0006723i,-0.00052419+0.00014282i,-0.00021177-0.00010239i
-0.00074585+0.0013544i,0.00013446+0.00038617i,0.0014233+0.00054392i,0.002816+0.00038605i,0.0034546+0.00025286i,0.0035161-5.0228e-05i,0.0024845+0.00015887i,0.00052254+0.00046818i,0.0001533-7.288e-05i,0.00051728-0.00052159i,0.00049516-0.00020913i,0.00050447+0.00033125i,0.00047777+0.0006103i,8.3444e-05+0.00019676i,0.00034115-0.00080894i,0.00056434-0.00096456i,0.00049242-0.00027371i,0.00014038-0.0004624i,-0.00038981-0.00059156i,-0.00060125+0.00028739i,5.4317e-05+0.00029903i,0.00010354+0.00014302i,0.00021263-0.00046446i
0.00024883-0.00011293i,-0.00025003-0.00059166i,-0.00067897-0.00012022i,-0.00076222+0.00029535i,-0.0011663-5.9818e-05i,-0.00076444-0.00028897i,5.8689e-05+0.00023975i,0.00042619+0.00056284i,0.00041109-0.00016191i,0.00012877-0.00056839i,0.0007664+6.9186e-05i,0.00093832-1.356e-05i,0.00052697-0.00068011i,0.00039232-0.00067363i,-4.8841e-05+0.0010007i,0.00017604+0.0015744i,0.00020566+0.00066384i,-0.00066158+0.0003593i,-0.00081062+0.00022099i,-0.00024994-0.00022427i,0.00036702-0.00090559i,0.00094551-0.00057693i,0.0009168-0.00040485i
0.00086343+0.0013206i,0.0020562+0.00046324i,0.0033625-0.00051697i,0.0034282-0.0002613i,0.0025261-0.00018901i,0.001602-0.00019761i,0.001394-0.0003408i,0.0011786-0.00078814i,0.00090496-0.00051688i,0.00041943-0.00013369i,0.00065969-0.00072723i,0.0010102-0.00098533i,0.00060679-0.0005739i,0.0001198-0.0001399i,-7.9384e-05+0.00017542i,3.0623e-05+0.00022837i,0.00023675+0.0007073i,0.00020559+0.00064584i,0.00020399-0.0003577i,0.00061074-0.00046551i,-0.0001693+0.00044289i,-0.0006596+0.00025717i,-8.8551e-05-0.0006357i
-0.0016988-0.0010807i,-0.0014137+0.00010967i,-0.00090039+0.0012307i,-0.000856+0.0010575i,-0.00037295+0.00036011i,-0.00029992+0.001308i,0.00053881+0.0014701i,0.0016075+0.00032042i,0.00060903-0.00032666i,1.0317e-05+0.00020781i,-0.00054298+0.00020761i,-0.00083887+6.5951e-05i,-0.00014961-0.00031131i,0.00038708-0.00048854i,0.0002567-0.00060437i,0.00020621-0.0010799i,-2.9368e-05-0.00062098i,-0.00029349-0.00025999i,0.00022439+4.216e-05i,0.00094914+0.00051453i,0.0012552-0.00017714i,0.00070514-0.0010632i,0.00047685-0.00091385i
-0.0011012-0.00047388i,0.00011439-0.00034673i,0.0014463+0.00068836i,0.0015058+0.0013172i,0.0012069+0.0020657i,-2.642e-05+0.001546i,3.8399e-05+0.00040929i,0.00078939-4.3136e-05i,0.0007833-0.00034748i,0.00078231+0.00026437i,0.00032042+0.00082365i,-0.00039252+8.0308e-05i,-0.00027267-0.0012123i,3.1217e-05-0.0015849i,-0.00028025-0.0018839i,-0.00070061-0.0012552i,-0.00065267-7.7503e-05i,-4.7195e-05+0.00010766i,0.00022617-4.9265e-06i,-0.00031311-0.00010741i,-0.00055454+0.00019282i,-0.00063632+0.00057252i,-0.00019554-2.7598e-05i
