-0.00074492+0.00035023i,-0.00073863-0.00092391i,-0.00017644-0.0016574i,0.00042484-0.0021708i,-7.514e-05-0.0031806i,-0.0012026-0.0022661i,-0.001965-0.00043295i,-0.0016023+0.001082i,-0.0001503+0.0011505i,0.00096042+6.0039e-05i,0.00077247+0.0002281i,-0.00022449-1.6981e-05i,-0.00013032-5.0277e-05i,0.00024297+0.00014718i,0.00010845-0.00026551i,-0.00014908-0.00062187i,-0.00010186-0.00098187i,-0.00030302-0.00044201i,-0.00087774+8.267e-05i,-0.0012099-0.00035133i,-0.0007898-0.00060711i,2.7486e-05-0.00038081i,0.00047936-6.8136e-05i
0.00037898-0.0014974i,0.0011945-0.00088828i,0.001036-0.00020757i,0.00041263-0.0012916i,-0.0012931-0.00134i,-0.0028035-7.3937e-05i,-0.0015259-0.00023119i,-0.00042291-0.00038983i,-0.00098118+0.00023971i,-0.00090793+0.00025123i,-0.00050345-8.8248e-05i,-0.00030878+0.00010124i,-0.0003487-0.00026863i,0.00026232-0.00067839i,0.00044722+0.00027999i,-0.00063955+0.00080804i,-0.0011586+0.00042049i,-0.00086004+9.6283e-05i,-0.00083554-0.00054285i,-0.00041412-0.0010506i,-0.00023445-0.00055079i,-0.00028603+0.00026503i,3.8211e-05+0.0002068i
0.00056099-0.0012497i,0.0003761-0.0010209i,0.00060169-0.0011405i,0.0014829-0.0014425i,0.0012874-0.0016345i,0.00027568-0.00061735i,-0.0002992-0.00024157i,-9.7068e-05-0.00078471i,-8.0558e-05-0.00063497i,-0.00033486-0.00012841i,-0.00054864+0.00010544i,-0.00056412+0.00018154i,-1.7256e-05+0.0002805i,0.00028038+9.2417e-05i,0.00028894-0.00057206i,0.00015924-0.00052192i,-0.00030096+0.00016449i,-0.00029048+0.0004285i,-0.00044103+0.00050211i,-0.0015168+0.00013013i,-0.00091393+4.3372e-05i,-0.00012062-3.3843e-05i,-0.00027213-0.00054742i
0.00059553+0.0010821i,0.00065896+0.00169i,0.00058484+0.00073755i,0.00091806-0.0010778i,0.00055187-0.0010264i,-0.000474-0.00014231i,-0.0014856-0.00066788i,-0.0016549-0.00073519i,-0.0014974-0.00016576i,-0.00088223+0.000649i,-0.00071556+0.0010244i,-0.00070846-0.000209i,-9.1434e-05-0.00071879i,-0.00017029-0.00019119i,-0.00037908+9.9567e-05i,0.00038688-0.00018539i,0.00012729+0.00014571i,-7.4781e-05+4.5344e-05i,-1.2455e-05+0.00010699i,-0.0004783+0.00069873i,-0.0002207+0.0013195i,-0.00017992+0.0010025i,-0.00048675+0.00041596i
0.0013218-5.1361e-05i,0.0011364-0.00043657i,0.00043626-0.001242i,0.00041278-0.0018946i,0.00028885-0.0017254i,-0.00046521-0.0018007i,-0.00045165-0.0016377i,-0.00042394-0.001195i,-0.00053644-0.0012535i,-7.9554e-05-0.00090985i,-0.00047256+0.00012456i,-0.00070973+0.00037732i,2.8327e-05-7.5447e-07i,4.0388e-05-1.7323e-06i,-0.00028602+0.00032189i,-0.00070587+0.00019095i,-0.00066937-0.00023329i,-0.00038224-0.00015492i,-0.00037816-0.00037414i,0.00011007-0.00042823i,0.00022568+0.00011989i,0.00010415+0.00037524i,-7.7884e-06+0.00043049i
0.0011413-0.00055627i,0.00021317-0.00015934i,-0.0010186-0.00080488i,-0.0016023-0.0019253i,-0.0018503-0.0023111i,-0.0017332-0.00046672i,-0.0013658+0.00052837i,-0.00075435-0.00014511i,-0.00020792-0.00024074i,0.00012747-0.00036868i,0.00012169-3.2298e-05i,6.804e-05+4.9271e-05i,-0.00039571-0.00022259i,-0.00037825-0.00079964i,2.3411e-05-0.0012552i,0.0005907-0.001443i,0.00059916-0.0010014i,-0.00016105-0.00023439i,-0.00048238+0.00044494i,-0.00049658+0.00033298i,-0.00064744-9.9151e-05i,-0.00033576-0.00066777i,-0.00028674-0.0010422i
0.00020668-0.00076228i,0.001273-0.0012992i,0.0010485-0.0017631i,-8.9969e-05-0.0016425i,-0.0011237-0.0016072i,-0.0014786-0.0013672i,-0.001048-0.00066069i,-9.8436e-05-0.00057794i,0.00040495-0.00084297i,0.0010752-0.0003827i,0.00076829+0.00016832i,-0.00045568+0.00029617i,-0.0010644+0.00016425i,-0.00050986-0.00026355i,-0.00032276-0.00082648i,-0.00014039-0.0011855i,-9.8177e-05-0.00098985i,-0.00027849-0.00033007i,9.6746e-05+0.00036615i,0.00030368+0.00086439i,-0.00013631+0.00073614i,0.00064556-3.5518e-06i,0.0011205-0.00056757i
-0.0006816-0.00025942i,5.5105e-05-0.00052436i,8.5867e-05-0.0012423i,0.00020723-0.0020002i,3.7295e-05-0.0026093i,-0.00048487-0.0027158i,-0.00091692-0.0020546i,-0.00091263-0.0010909i,-0.00057566-0.0003543i,-0.00062914+0.00013864i,4.9213e-05-0.0005943i,0.00078602-0.0012231i,0.00097389-0.00020695i,0.00067013+0.00050227i,0.00059336-3.6332e-05i,0.00079115+0.00012856i,0.00024687+0.00046306i,-0.00036884-0.00047486i,-0.00019084-0.00052049i,0.0005314+0.00025271i,0.00072973-0.00024017i,0.00026502-0.00013727i,0.00027967+0.0003788i
-0.00080976-0.00064087i,-0.001033-0.00092696i,-0.00044678-0.0024949i,9.0827e-05-0.0029685i,-0.0013879-0.0016196i,-0.0014332+0.000401i,-7.5862e-05+0.0012514i,-0.00016101+0.00062231i,-0.00029176-0.00020423i,-0.00011068-3.9113e-06i,-0.00073481+0.00051908i,-0.001087+0.00072689i,-0.00097395+0.00054643i,-0.00040365-0.00025854i,2.9043e-05-0.00063879i,0.00042838-0.00032574i,0.00033981+0.00058241i,-2.9093e-05+0.00074382i,0.00059034+0.00017768i,0.00041237+0.00013902i,-0.0001495+5.8704e-05i,2.3481e-05-9.2872e-05i,-0.00035128+1.0713e-05i
-0.00033254+0.00047974i,0.0003802+0.00059698i,0.00043555-0.00017917i,-0.00021954-0.0021047i,3.2636e-05-0.0019149i,-0.0001349-0.00045831i,-0.00092429-0.0005357i,-0.00051771-0.0013778i,-9.899e-05-0.0010424i,-0.00055493+0.00033102i,-0.00074965+0.00043568i,0.00039981-0.0002125i,0.00066617-0.00010866i,0.00029761-6.0003e-05i,0.00041528-0.00044831i,8.6275e-05-0.00051193i,-0.00052727-0.00022223i,-0.00062165+0.00019747i,-0.00045102+0.00057989i,-0.0011828+0.00033725i,-0.00112+0.00017122i,-0.00030161-0.00011782i,-0.00036257-0.00021913i
-0.00055818-0.00019584i,-0.00054354+0.00035421i,-0.00037573+0.00060784i,0.0004572+0.0004927i,0.00018079-0.0001559i,-0.00060526-0.00066419i,-0.00036219-0.00099639i,-0.00046829-0.00071908i,-0.00077331+0.00059251i,-0.00028274+0.00050346i,-0.00018365-0.00012026i,-0.00078558-0.00021864i,-0.00033207-0.00028659i,-4.5534e-05-9.8654e-05i,-0.00021703-0.00035337i,6.8398e-05-0.00055551i,0.00031302-0.00036152i,0.0004241+6.1618e-05i,-0.00010094+0.00056592i,-5.1637e-05+0.0004228i,-9.4802e-05-8.4636e-05i,-0.00021933-0.00083841i,0.00055554-0.001334i
0.0014556-0.00067889i,0.0011154-0.0019291i,-0.00050848-0.0033619i,-0.0006801-0.003532i,-0.00018406-0.0024754i,-0.0012144-0.0012606i,-0.0010329-0.00047435i,1.4535e-06-0.00043594i,-0.00038768-0.00080714i,-0.00056902-0.00060719i,-0.00067074+0.00010179i,-0.00048335-8.2948e-05i,-0.00046951-0.00027106i,-0.00029099-0.00024956i,-1.3284e-07-0.00035871i,0.00016842-0.00036628i,-0.00034908-0.00032539i,-0.00074488-0.00029823i,-0.00061287-0.00031493i,-0.00025762-0.00020894i,0.00010985-0.00012395i,-0.00067663-0.00014596i,-0.0011247+0.00037815i
2.4266e-05-9.5967e-05i,0.00078828-0.00026778i,0.00041914-0.00032522i,-0.00040923-0.00075413i,-0.000523-0.0011203i,-0.00062412-0.0010803i,-0.00036787-0.0009825i,-0.00014854+7.2233e-05i,0.00011022+0.0011005i,0.00010595+0.00056317i,-0.00014974-0.00034939i,-0.00050099-0.00056489i,-0.00031747+0.00022064i,0.00011099+0.00055774i,0.00066106+0.00020444i,0.00054455+0.00026541i,-4.0111e-05-0.00023975i,-0.00067272-0.00086777i,-0.00054225-0.00079894i,0.00044945-0.00030767i,0.00016947+0.00034472i,-0.00045101+0.00028221i,-4.4538e-05-0.00050994i
0.0012057-0.0013529i,0.00062165-0.0015482i,0.0002747-0.0022045i,6.2856e-05-0.002537i,-0.00070242-0.0018791i,-0.00083253-0.0015628i,-0.0011287-0.0019197i,-0.0010906-0.0017141i,-0.00040241-0.00085562i,-0.00025458-0.00023805i,-0.00074352-0.00054674i,-0.00061816-8.1398e-05i,-0.00029022+0.0012484i,-0.00016121+0.0010773i,0.0005408+0.00015875i,0.0010974+0.0002454i,0.0011165+0.00023607i,0.00038927+0.00037897i,-0.00025383+0.00029814i,-6.1721e-05+0.00020379i,-4.1206e-05+0.00013053i,-0.00032763+6.5125e-05i,-0.00015879+0.00044378i
-0.00025096-0.0004957i,-0.00014634-0.00067521i,-0.0008772-0.00038743i,-0.00056997+0.00071995i,-0.00048694+0.00092117i,-6.8608e-05+0.00092571i,0.00031071+0.00031416i,0.00016239-0.00078501i,-0.00020886-0.0007866i,-0.00048598-0.00042391i,-0.0012714-0.00053801i,-0.00095739-0.00035827i,0.0001295+3.1275e-05i,0.00055934+0.00031143i,0.00022331+0.00018147i,-0.0010059-0.00045822i,-0.0014402-0.00051141i,-0.00055434-0.00051885i,-8.2992e-05-0.00048571i,-0.0003188+0.00038099i,4.363e-05+0.0012205i,0.00041202+0.0010765i,9.8391e-05+0.00061425i
-0.00040602+0.00030493i,-0.00027821+6.8737e-05i,0.00045461-0.00066125i,0.00075462-0.0011505i,0.00053501-0.0015091i,0.00028409-0.00089297i,-0.00016441-0.00026185i,6.0522e-05-0.00048857i,0.0010991-0.00052537i,0.0012735-0.00040808i,-0.00029167-0.0007919i,-0.0011565-0.0005529i,-0.0010478-4.7813e-05i,-0.00060571-0.00058766i,0.00034655-0.0012107i,0.00083706-0.0017733i,-0.00010616-0.0017711i,-0.00063288-0.00045661i,-0.00044046+0.00042965i,-0.00014732+0.00037769i,-0.00045967+0.00011256i,-0.00048287+6.0737e-05i,-0.00027884+0.0004532i
-0.00019372+0.00070731i,-0.00023168-3.1896e-05i,0.00070729-0.00094068i,0.00083604-0.0019591i,0.00026755-0.0020566i,5.5877e-06-0.0011859i,-0.00091317-0.00039656i,-0.0014267-0.0003266i,-0.00082367+0.00038336i,0.00072077+0.0011481i,0.0012538+0.0002961i,-0.00014512-0.00040256i,-0.0012417+0.00039591i,-0.00076343+0.0009571i,5.9858e-05-6.2994e-05i,0.00013392-0.0010997i,-0.00022628-0.00085002i,-0.00031093-0.00029638i,-0.00039781+0.00025475i,-0.00040847+0.00025748i,0.00016023-7.8784e-05i,0.00058404+8.0434e-05i,0.00034315+0.00015493i
0.00073762+0.00033436i,0.0005244+0.00050121i,0.0011825-0.00050163i,0.0014776-0.0015913i,0.0012611-0.0018062i,0.00042536-0.0011931i,-8.342e-05-0.0011654i,-0.00066721-0.0017023i,-0.00086723-0.0010843i,-0.00013885-0.00030465i,-0.00016087+3.5757e-05i,-0.0011994+0.00046201i,-0.0014225+0.00041061i,-0.00052517-0.00016237i,0.00023852-0.00027432i,0.000423-0.00048862i,1.995e-05-0.00042563i,-0.00081001+0.00012046i,-0.0011919+0.00022907i,-0.00086504-0.0005415i,-0.00071283-0.00065647i,-0.00036168+8.2645e-05i,-0.00032623-0.00017601i
-0.0002299-0.0008232i,-0.0003055-0.00067134i,-0.00037225-0.0012365i,-0.00074214-0.0019276i,-0.00016175-0.0016916i,0.00031065-0.00085453i,6.6556e-05-0.0003228i,-0.00028876-0.00060558i,-0.00094492-0.00066134i,-0.0010602-5.4109e-05i,-0.00023799+0.00055527i,0.00012111+0.00010051i,-0.00034284-0.00058051i,-0.00056958-0.0005885i,-0.00012693-0.00020936i,-8.9507e-05+0.00069286i,-0.00020994+0.00071645i,-0.00029782+1.2282e-05i,-0.00023937-0.00026157i,-0.00040418-0.00016815i,1.8347e-05+0.00060284i,3.1183e-05+0.0011163i,-0.0006248+0.00085271i
0.00074173-0.0011513i,0.00060301-0.0014253i,0.00055633-0.0014825i,0.00026064-0.001358i,-0.00031503-0.0012392i,-0.0014613-0.0011776i,-0.0014973-0.00095344i,-0.00043391-0.00087804i,-0.0003948-0.00056293i,-0.0008344-0.00047057i,-0.00030326-0.00040013i,0.00040577-7.2708e-05i,0.00082726+0.00024209i,0.00098296+0.00016241i,0.00087954+0.00032747i,0.00045861+0.00046854i,0.00065057-0.00036025i,0.00031144-0.00043251i,-0.00059238+0.00083602i,-0.00025533+0.0011782i,-8.4697e-05+0.00074964i,-0.00050174+0.00016123i,-0.0005949+1.8265e-05i
0.00040701+0.00035847i,0.00099312-0.00063066i,0.0021392-0.0009902i,0.0015949-0.0022217i,0.00042953-0.0031158i,-0.00040745-0.0024476i,-0.00043115-0.0017778i,-6.0364e-05-0.0019451i,0.00025036-0.0016135i,0.00039726-0.00062354i,-0.00075043+0.00021633i,-0.001532+0.00093089i,-0.0010005+0.00066582i,-0.00011955-0.00012615i,-4.6735e-05+0.00022024i,-0.00041439+0.00043978i,-0.00026252-2.0694e-05i,-0.00094298-0.00016618i,-0.0015744+0.00049866i,-0.00077921+0.00097818i,0.00045824+0.00079882i,0.00099024+0.00061688i,0.00063715+0.0011837i
-0.00084639+0.00046529i,-0.00052183+0.00087425i,-0.00013573+0.0012385i,0.00072118+1.0924e-06i,0.0014784-0.0011974i,0.001264-0.00060522i,0.0004173-0.00025955i,-0.00086543-0.0002249i,-0.0020415-0.00059373i,-0.0013683-0.00079138i,-0.00052783-6.9801e-05i,-0.00074156+0.00040336i,-0.00075064-7.0555e-05i,-0.00036859-3.5347e-05i,0.0004936-0.00031009i,0.00031316-0.00093097i,-0.00022605-0.00078155i,0.00030505-0.00020771i,-0.00060521+0.00013263i,-0.0013071+2.2724e-05i,-0.0010218+0.00033379i,-0.00080149-0.00023976i,-0.00087308-0.00044709i
0.00023548+0.0003928i,0.0013584+0.00063558i,0.0019036-0.00016409i,0.00021651-0.0018534i,-0.00091311-0.0032706i,-0.00082983-0.0020926i,-0.0012071-0.00059809i,-0.0015831-0.00078554i,-0.00072869-0.00096408i,0.00088977-0.00042561i,0.00046982-0.00011427i,-0.00060482-0.00020938i,-0.00063372-0.00022505i,-0.00060533+3.9393e-05i,-0.00034476+5.0164e-05i,-0.00089672+0.00044835i,-0.0012851+0.0003166i,-0.00036153-4.1013e-05i,-4.7198e-05-4.2486e-05i,-0.000211+0.00081503i,-0.00057512+0.0013596i,-0.00066714+0.00068628i,2.3869e-05+0.00032576i
-0.0010589+7.6668e-05i,-0.00032389-0.001068i,0.00099275-0.0012784i,0.0010244-0.0010776i,-4.2106e-05-0.0017602i,-0.00019666-0.0017766i,0.00084079-0.00080106i,0.00091464-0.00082079i,8.2841e-05-0.00083145i,4.8068e-05-0.00032285i,-9.8116e-05-0.00029801i,-0.00040779-0.00049175i,0.00027605-0.00044002i,0.00092233+0.00013013i,0.0006038+0.00021358i,-0.00069352+0.00022309i,-0.00081699+0.00028101i,-0.00025013+0.00025258i,-0.00060588+0.0003812i,-0.00049412+0.00019145i,9.2735e-06+6.2094e-05i,0.00015952+0.00018116i,0.00046458+0.001205i
0.00073099+0.0001156i,0.0018972-0.00064638i,0.0020599-0.0018453i,0.0017179-0.0032857i,0.0011092-0.0032339i,0.00031848-0.0015001i,5.8606e-05-0.00062227i,0.00029816-0.00058337i,0.00080516-0.0004386i,0.00035962-0.00058342i,-0.00064677-0.00096815i,-0.00082065-0.001122i,-0.0010422-0.0011059i,-0.00061844-0.00056371i,2.8393e-06+4.5991e-05i,0.00035127+0.00039964i,-3.5437e-05+0.0010702i,-0.00042896+0.0011795i,7.1998e-05+0.00052711i,-1.1808e-05+0.00018165i,-0.0003049+0.00029269i,-0.00015124+0.00057792i,-0.00017204-0.00026692i
-0.00032936+0.0013463i,0.00031595+0.00089581i,5.7743e-05-0.00047579i,-0.00026872-0.0012428i,-0.00020579-0.00098765i,-0.00016565-0.00057482i,4.4723e-05-0.0015174i,0.00030544-0.0018151i,-0.00026333-0.0010509i,-0.00013929-0.00064386i,7.2479e-05-0.00034059i,-0.00051513+0.000159i,-0.00088722-0.0002883i,-0.0013096-0.00068053i,-0.00044128-0.00033745i,0.00025036-2.7192e-05i,-0.00053667-0.0001529i,-0.00059254+0.00010213i,-0.00012615+0.00020438i,-0.00014358-0.00029289i,-0.00018371-0.00072882i,9.7395e-05-0.00056058i,0.00038776-0.00041856i
0.0016122-0.0022838i,0.001147-0.0019488i,0.00060018-0.0015402i,-0.00061533-0.0021547i,-0.00071465-0.0017092i,4.3969e-05+6.7657e-05i,-0.00032954+0.00043057i,-0.00061659+0.00012481i,-0.00040051+0.00010712i,-0.0010947-9.3045e-05i,-0.001309-0.00031336i,-0.00078139-0.00018647i,0.00010216+0.00097078i,0.00036761+0.00070266i,0.0001989-0.00073324i,0.00035438-0.0010782i,0.00021932-0.00065876i,-6.7261e-05-3.8827e-05i,-0.00018609+0.00035434i,4.0106e-05+0.00053956i,0.00055239-0.00010052i,0.00053948-0.00047066i,0.00032649+0.00013901i
0.00084489+0.00038765i,0.00071952-0.00027669i,0.0013503-0.0014605i,0.0019703-0.0018746i,0.001304-0.0020444i,-0.00022029-0.00252i,-0.0010135-0.0019836i,-0.00076444-0.001413i,-0.000174-0.00086385i,-0.00030847-2.2934e-05i,-0.00092174-0.0004625i,-0.0010339-0.00081545i,-0.00074278-0.00028202i,9.4786e-05+0.00031148i,0.00085055+0.00067882i,0.0015002+0.0007539i,0.00068447+0.00031055i,-0.00052366-0.00014395i,1.9106e-05+0.00031416i,0.00012997+0.00081278i,-0.0001105+0.00077044i,0.00025613+0.00029719i,0.0003486-0.00021533i
-0.0015175-0.00075942i,-0.0016624-1.2755e-05i,-0.0011604+0.00052905i,-0.00060122-0.00029292i,-0.00053211-0.00098175i,-0.00060064-0.0010147i,-0.00024696-0.00044364i,7.6321e-05+0.00024603i,-0.00054216+0.00055956i,-0.00043172+0.00068162i,0.0004817+6.2403e-05i,0.0003739-0.00068246i,-7.5551e-05-0.0010547i,6.3665e-05-0.0010206i,0.00060491-0.00039898i,0.00069564+0.00051165i,0.00019603+0.0014514i,-0.00063571+0.0012352i,-0.00062554+0.00084503i,-0.00021733+0.00035057i,-6.4783e-05-0.00087614i,-0.00031285-0.00092266i,-0.00057934-0.00013543i
0.0014044+0.00039465i,0.0011108-3.9437e-06i,0.001438-0.0015272i,0.0013957-0.0019866i,-2.6056e-05-0.0017095i,-0.0013055-0.00090544i,-0.0012977-0.00059965i,-0.0010129-0.00055306i,0.00040287-0.00030947i,0.0012491-0.00040263i,0.00030171-0.00020246i,-0.00036037-0.00036269i,0.00049576-0.0011341i,0.00092-0.00053811i,-9.2174e-07-0.00012489i,-0.00066557-0.0004342i,-0.00070481-0.00074079i,-0.0003561-0.00071549i,-0.00018648-9.5956e-05i,3.8864e-05-5.7485e-05i,0.0002826+1.7117e-05i,7.9083e-05+0.00047332i,0.00017799+0.00039506i
-0.00071574-0.00069462i,-0.0001934-0.00016943i,0.00029128+0.00050681i,0.00056556-0.00022193i,0.0010628-0.0017279i,0.00048857-0.0018647i,-0.00041904-0.00092356i,-0.00016922-0.00039415i,-7.067e-06-0.00034481i,-0.00048265-0.00046313i,-0.00088562-0.00028813i,-0.00014156-0.00041651i,0.00085313+0.00019038i,0.00060899+5.1605e-05i,-0.00013494-0.00063854i,-0.00061868-0.00010063i,-0.0004765+0.00041931i,-0.00039456+0.00019053i,-0.00028229+1.7924e-05i,-0.00032107+0.00011873i,-0.00050683-0.00040578i,-0.00041595-0.00032713i,0.00042623-1.2865e-05i
0.0009984-0.0015777i,-7.9207e-05-0.0019334i,0.00029835-0.0017917i,0.00098844-0.0019326i,0.00027774-0.0019655i,-0.00089424-0.0010929i,-0.00086968-0.00043039i,-0.00032616-0.00060704i,0.00023813-0.0009621i,0.00022377-0.0010106i,0.00033307-0.00077348i,0.00083575-0.00017111i,0.00077131+0.00011862i,7.8179e-05-6.5821e-05i,-0.00038415-0.0005424i,-0.00013522-0.0006313i,-7.0738e-05-0.00020549i,-0.00032731-0.00040698i,-5.5548e-05-0.00030195i,-0.00032823+0.00049354i,0.00010493+0.00023436i,0.00032228+1.1799e-05i,-0.00012722+0.00032568i
