0.00029915-0.00022973i,0.0007882-0.0011733i,0.00059351-0.0012145i,0.00038048-0.0013015i,-0.00037027-0.0022438i,-0.00065764-0.0015286i,-0.00024437-5.1514e-05i,-4.9772e-05+0.00097206i,0.0012081+0.00091962i,0.0020442-0.00012575i,0.0012896-0.00049763i,8.364e-05-0.00065018i,-0.00082275-0.00063616i,-0.00073505-0.00082207i,-1.1382e-05-0.00038348i,0.00019123+0.00052361i,-0.00025579+0.00019751i,-0.00076424-0.00042984i,-0.00057393+0.00029753i,7.779e-05+0.00057856i,0.001156-0.00018636i,0.0013117-0.00047291i,0.00025951-3.2299e-05i
-0.0018454-0.0004787i,-0.0021132-0.00056136i,-0.0019107+0.00056797i,-0.00068783+0.00097848i,0.00085387+0.0012022i,0.0010398+0.0010392i,-2.213e-05-0.00022397i,-0.00075424-0.00067577i,-0.00083298-0.0004971i,-0.00098331+0.00024077i,-0.00098016-0.00012528i,-0.00013321-0.00095363i,-0.00014858-0.0010071i,-0.00075169-0.00076425i,-0.00051752-0.0011102i,0.00011053-0.0013346i,-0.00019181-0.00081732i,-0.00076485-0.00029765i,-0.00043809+7.197e-05i,0.00022178-0.00011451i,-1.294e-06-0.00060845i,0.00017391-0.00074772i,-4.8824e-05-0.00073786i
0.00064026+1.0604e-05i,-0.00036442+0.00047223i,-0.00063627-0.00041521i,9.4458e-05-0.00086925i,0.00065272-0.00055865i,0.00060712-0.00087448i,-0.00062009-0.00082701i,-0.0012589-0.00028829i,7.7718e-05+0.00028724i,0.00028999+0.00015855i,-0.00032018-0.00053859i,-0.00065534-0.0006818i,-0.00078375-0.00017525i,-0.00070361+0.00040125i,-8.2355e-05-0.00028533i,0.00018427-0.001251i,0.00027601-0.00083952i,5.6189e-05+4.5032e-05i,-0.00035716+0.00017975i,0.00016596+0.00021227i,0.00047809+0.00025349i,-0.00012651+6.735e-05i,-0.00077772+0.0005493i
-0.0013229-0.00021238i,-0.001733-0.00028306i,-0.0022469+0.00095712i,-0.0013885+0.0022119i,0.00052344+0.0023493i,0.0012257+0.00088428i,0.00060679-0.00090131i,-4.5482e-05-0.0013377i,-0.00042211-0.00068123i,-1.4337e-05+2.5766e-05i,0.0001269-5.6547e-05i,-1.8152e-05+0.00014874i,-0.00032677+0.00034572i,-0.00050077-0.00031512i,-8.603e-05-0.00067147i,-0.0006686-0.00069873i,-0.00081001-0.0010245i,6.1691e-07-0.00075794i,6.2834e-05-6.5056e-05i,0.00017319-0.00029553i,0.00029474-0.00080836i,-3.2646e-05-0.00084474i,0.00019794+4.2741e-05i
-0.00018707+0.00083253i,-0.00054611-2.6942e-05i,0.00070027-0.00018357i,0.0022037+0.00063557i,0.0027513+0.00093569i,0.0017986-0.00045297i,-2.3376e-06-0.00099825i,-0.00082571-7.4918e-05i,-0.00024337+0.00011776i,-7.3633e-05+6.3758e-05i,-0.00010455+0.00015196i,0.00042333+4.3653e-05i,0.00035096-0.00049989i,0.00019013-0.00098604i,0.00086461-0.00054412i,0.00080284+2.4507e-05i,0.00053712-0.00019277i,0.00061299-0.00043694i,0.00034631-0.00044687i,-1.0947e-05-0.00012232i,-0.00045039-0.00058544i,-0.00060862-0.0011687i,-0.00039909-0.00070867i
-0.00031578-0.00092938i,5.797e-05-0.00027113i,-0.0011957+2.928e-05i,-0.00060942-0.00060882i,0.0019573-0.00051565i,0.0022044-0.00032716i,0.0002209-0.0010442i,-0.00054005-0.0011193i,-0.00040582-0.0011002i,-0.00032228-0.0007007i,5.8264e-05+0.00042852i,0.00061566+0.0002457i,0.00010882-0.00052i,-0.00035464-0.00039157i,0.00016383-0.00029183i,0.00016276-0.000525i,-1.436e-05-0.00029244i,-0.0006204+0.00015009i,-0.0015403+8.762e-05i,-0.0017467-0.00012948i,-0.00078498-0.00021788i,0.00059615-0.00031532i,0.00062853-0.00021506i
0.0010378-0.0011938i,0.0011345-0.0015933i,4.727e-05-0.0015493i,-0.0006723-0.00094334i,-0.0010939-0.00088884i,-0.00050913-0.0002923i,0.00032942+0.00024532i,-1.0747e-05+0.00073793i,-0.00031975+0.00080128i,-0.0001366+0.00050165i,-0.00025777+0.00013492i,-0.00043764-5.074e-05i,-0.00012945+0.00043766i,0.0001638+0.00063995i,0.0001816+0.00010625i,-0.00041131-0.00065177i,-0.00088907-0.00039296i,-0.0011417+0.00045075i,-0.0007184+0.00064936i,0.00010305+0.00070457i,8.1624e-05+0.00052197i,-0.00017159-1.6722e-05i,4.1959e-05-0.00070849i
0.0010981-0.00041833i,0.00032863-0.0011972i,-0.00035728-0.00085455i,0.00049407-1.7065e-05i,0.0019916+0.00022003i,0.0021689+0.00037416i,0.00096943+2.5221e-05i,7.2812e-05-0.00074419i,-0.00037298-0.00040219i,1.9085e-05-0.00023814i,-8.249e-05+0.00015785i,-0.00090919+0.00012218i,-0.0010448+7.0747e-05i,-0.00088483+0.00050491i,-0.00041122+0.00074806i,-0.00016807+0.00031889i,-0.00036231-0.00069009i,-0.00031346-0.00058231i,8.1814e-06-0.00023073i,-0.00048069-0.00011314i,-0.00095743-3.629e-05i,-0.00024592+0.00016445i,0.00013814+0.00026842i
0.00047744+0.00087536i,0.00054112+0.0013734i,0.00047685+0.0016957i,0.0012655+0.0011775i,0.002132+0.00023941i,0.0019514-0.00018908i,0.00051708-6.2824e-05i,-0.00083935+0.00014513i,-0.00089947+0.00040537i,-2.4028e-05+0.00067891i,0.00072055+0.00033735i,0.00036854-0.00097897i,-0.00045898-0.0014008i,-0.00056275-0.0011192i,-0.00034751-0.00074612i,0.00027884+0.0001689i,0.00043268+0.00075864i,1.9995e-05+0.00030583i,0.0002605-0.00019227i,0.00011005+9.6906e-05i,-0.00020501+0.00016646i,0.00040602+9.881e-05i,0.00071851+0.00046512i
0.00097303-0.0019365i,0.00016015-0.0017135i,-0.0010072-0.0025302i,-0.0016105-0.0011554i,-0.0014003+0.0014091i,-0.00022713+0.0013391i,0.00020384-0.00020422i,-0.00028762-0.0005019i,-0.00076096-0.00086192i,-0.0005635-0.00075437i,-0.00026136+0.00015329i,-6.1452e-06+0.00028633i,0.00052378+0.00025191i,0.00054326-2.4623e-05i,0.00011975-0.00046856i,-0.00042096-0.0012057i,-0.0001789-0.00094796i,3.3885e-05-0.00038196i,-0.00030732-0.00075551i,-0.00020231-0.00018328i,2.0515e-05+0.0010562i,-0.00028378+0.00087447i,-0.00027785+0.000573i
-0.00070295+0.00067841i,-0.00048776+0.0010871i,-0.00056571+0.0012846i,0.0003824+0.0017587i,0.0010661+0.0018363i,0.00081964+0.00092577i,0.00031226+0.00060416i,-0.00088809+0.00054702i,-0.0012361-0.00063066i,-0.00047452-0.001097i,0.00029278-0.00080586i,0.00044073-0.00057394i,2.5291e-05-0.00078153i,3.4233e-05-0.001093i,0.00039159-0.00071576i,0.00090171-0.00057989i,0.0010111-0.00057264i,1.6513e-05-3.778e-05i,-0.00036432+5.0718e-05i,0.00016517-0.00056865i,-0.00017648-0.00094443i,0.00010345-0.0013251i,0.00035644-0.00087832i
0.0014429-0.00051865i,0.0011715-0.00059457i,0.00055571-0.00057031i,-0.00012237-0.00031663i,-0.0010748-0.00019629i,-0.0011117-0.00081511i,-0.00020149-0.001488i,0.00045348-0.0013332i,0.00064351+0.00011371i,0.00029666+0.00064396i,0.00013591+0.0007883i,0.00047524+0.0016752i,0.00056544+0.0012665i,0.0007565+0.00047025i,0.00072398+0.00016723i,0.00037544-3.3023e-05i,-8.5715e-05-4.4841e-05i,-0.00040403+0.00010588i,-1.7012e-05-3.8924e-05i,0.00033145-0.00066797i,-7.8745e-05-0.00068638i,-0.00092458-0.00084476i,-0.00041776-0.0014302i
-0.00094016-0.00059355i,-0.0011292-0.00045398i,-0.0013997+0.00095525i,-0.00052452+0.0020399i,0.0010194+0.0011781i,0.0012614-0.00047304i,0.00077233-0.0011917i,0.00070701-0.00084272i,0.00073853-0.00057172i,0.00035843-0.00062582i,0.00041663+1.1744e-05i,6.3047e-05+0.00066593i,-0.00044722+0.00019638i,9.7163e-05-0.0003179i,0.00041364+0.00025531i,-2.0782e-05+0.00033974i,-3.9252e-05-4.7008e-06i,-0.00043186-0.00016122i,-0.00060497-0.00019835i,0.00010297-0.00037232i,0.00023319-0.0012321i,-0.00027889-0.0014193i,-0.00079583+2.3467e-06i
-0.00074526-0.00097702i,-0.00070501-0.00027128i,-0.0015607+0.001706i,-0.00068428+0.0026943i,0.00082505+0.0023946i,0.0012781+0.0012547i,0.00067085-0.00017012i,-0.00067287-0.00025612i,-0.0011172+0.00062799i,6.1507e-06+0.00026692i,0.00089537-0.00010384i,0.00053971+0.00039359i,0.0003572+0.00058454i,0.00011763+0.000365i,0.0002775+0.00013486i,2.9991e-05-0.00026134i,-6.9869e-06-9.8001e-05i,-3.2546e-05-7.2275e-05i,-0.0003568-0.0003138i,8.1253e-05-0.00010958i,0.00042362-0.00016443i,-0.00034677-0.00062647i,-0.00087051-0.00080258i
-0.00095234-0.00095844i,-0.0016454-0.001555i,-0.0013031-0.00074317i,-0.00061248+0.00062858i,-8.4459e-05+0.00049194i,-7.0511e-05-0.00020656i,-0.00049763-0.001049i,-0.00018807-0.0011592i,0.00011193-0.00076188i,0.00018446-0.00058418i,-0.00014449-0.00037217i,0.00012595-0.00036558i,0.00041256-0.00040582i,0.00018129-0.00042251i,0.00038461-0.00053603i,5.3329e-05-0.00019054i,-0.00098065+0.00014059i,-0.00065613+9.4327e-05i,-0.00012392+1.5587e-05i,-0.00039337+0.00016813i,-0.00058049+0.00044538i,-0.00048033+0.0002752i,-3.9372e-05+0.00019478i
0.00074257-0.00099154i,0.0010252-0.00027596i,0.00035194-0.00044627i,0.00024922+0.00041023i,0.0011267+0.00040124i,0.0017014-0.00064417i,0.0011824-0.00071166i,0.00058923-0.00060256i,7.1103e-05-0.00076135i,0.00035198-0.0011422i,0.00095046-0.00044055i,0.00053975+7.8895e-05i,-2.3316e-05-7.7444e-05i,-0.00046316-0.00067988i,-0.00016361-0.0013434i,7.1701e-05-0.0010978i,-0.0004576-7.9268e-06i,-0.00044265+0.0002775i,0.00019654-6.7839e-05i,0.00024034+0.00021872i,-0.00025261+0.00023154i,-0.00041284-0.00035941i,-6.7176e-05+8.6657e-05i
0.00011844-0.00014528i,-0.00017253-0.00058731i,0.00011821-0.0010065i,0.00030926-0.00087766i,0.00027987-0.00053515i,0.00019385-0.000464i,-0.00015026-0.00026934i,-0.0010246+9.6886e-05i,-0.0014393+5.4327e-05i,-0.00067328-0.00089642i,9.4433e-05-0.00081306i,-0.00012217+8.9988e-05i,-0.00070235+0.00026729i,-0.00040827-0.00024065i,-0.00057978-0.00099163i,-0.0011975-0.00043358i,-0.00091243+0.00058473i,-0.00043281+0.00055849i,-0.0001656+0.00026001i,-0.00013396+0.00053632i,-3.5877e-05+0.00037106i,0.00023863+0.00033674i,0.00011426+0.000642i
0.0012965+0.00070059i,0.0012974+0.0011824i,0.0022352+0.001513i,0.0027587+0.00088909i,0.0024943-0.0003959i,0.001562-0.00064083i,0.00047306-0.00030988i,0.00032219-0.00028797i,0.00023152-0.00043296i,-0.00031111-0.0004318i,-0.00020346-0.00058582i,0.00010331-0.0011252i,-0.00083556-0.0012695i,-0.00071083-0.00053539i,0.00049906+0.00014232i,0.00037476+0.00012794i,-0.00014354-0.00049427i,-0.0001818-0.00050668i,-0.00020447-0.00022993i,0.00012284+9.5821e-05i,0.00072316+0.0004246i,0.00053113+0.00028293i,0.00012928+6.4961e-05i
0.00088977-0.00018551i,0.00063283-0.00031339i,8.5867e-05-9.316e-05i,0.00039864+0.00056047i,0.0010287+0.00060669i,0.0010034+0.0005499i,0.00096921-0.00021577i,0.00062473-0.00060456i,-2.5432e-05-2.3604e-05i,-9.2324e-05-3.718e-05i,6.2161e-05+0.00059073i,0.00017794+0.00053338i,-9.971e-05-0.00095222i,-0.0003531-0.00072998i,0.00023575+0.00011987i,-0.00044521-0.00012123i,-0.00095908-0.00075792i,-0.00058407-0.0006109i,-0.00064868+0.00027684i,-0.00050282+0.00019129i,-3.1568e-05-0.00060375i,0.0006199-0.00078874i,0.00072976+0.00053659i
0.00099182-0.00037342i,0.00010549+4.2348e-05i,-0.00051645-2.4272e-05i,-0.00025142-0.00052134i,-0.00018399-0.00086174i,-0.00028429-0.0012297i,-1.1564e-05-0.00052261i,0.0003979+0.0004201i,0.00026301+6.6327e-05i,-0.00058449+2.0191e-05i,-0.0010172-4.1527e-05i,-0.00097222+4.8313e-05i,-7.9563e-05+0.00041741i,0.00025878+0.00095317i,0.00019692+0.00074704i,0.00042456+2.2323e-05i,0.00022144-0.00041778i,-0.00024001-0.00065362i,-5.1788e-05-0.00066257i,-0.00012498-0.00017604i,-6.3862e-05+0.00014156i,0.00024389+0.00018372i,7.7873e-05-3.1188e-05i
0.00050701-0.0013417i,0.00021242-0.0013823i,0.00010504-0.0010724i,0.00015286-0.00017739i,2.4215e-05+0.0008751i,0.00042475+0.00072205i,0.00087246-0.00023i,0.0013963-0.00085321i,0.001126-0.00091646i,-0.00032686-0.0003242i,-0.00025065+0.00079762i,1.0619e-05+0.00087638i,0.00020022+0.000125i,0.00082945-0.00066775i,0.0013279-0.00049778i,0.00071231-0.00053999i,0.00038621+3.0729e-05i,0.00025898+0.001207i,-0.00014683+0.00076187i,6.6552e-05+0.00013615i,0.00042786+0.00011741i,0.00014586-0.00063575i,-0.00019661-0.00042978i
-0.00046288+0.0015285i,-0.00054389+0.00098546i,-0.0014644+0.0013052i,-0.0005253+0.0027909i,0.00085185+0.0019923i,0.0019824-0.00011617i,0.001726-0.00085464i,0.00055955-0.0004248i,0.0001692+0.00037617i,0.00020026+0.00032567i,0.0003277-0.00011031i,0.00033289-0.00033788i,2.7779e-05-0.0008696i,-5.6788e-05-0.00040884i,-0.00037048+0.00025591i,-0.00081294+5.6534e-05i,0.00010244+0.00017817i,0.00065687+0.00032098i,3.4866e-05-0.00053923i,-1.545e-05-0.00073219i,-4.7026e-05+0.00021081i,-0.0010435+0.00049406i,-0.00079551+0.00017459i
9.7547e-05+1.8588e-05i,0.00076506-0.00013852i,0.0020274+9.8581e-05i,0.0021807+0.0010131i,0.0010476+0.0013798i,2.5002e-05+6.7021e-05i,-0.00010622-0.0014437i,-0.00047744-0.0014353i,-0.00039528-0.0012752i,0.00031424-0.001339i,-9.9291e-05-0.00075676i,-0.00041245-0.0009255i,-0.00049324-0.0014493i,0.00053317-0.001196i,0.0014611-0.0012918i,0.0008111-0.0010898i,4.748e-05-0.0003985i,-0.00019-0.00058617i,-0.00033636-0.00075435i,-0.00059498+0.00019876i,-0.00020372+0.00080586i,0.00031848-8.4471e-05i,0.00028539-0.00093791i
-0.001572-0.0011067i,-0.00096107-0.00043613i,-0.0011439+0.00067688i,-0.0010564+0.0027828i,0.00026497+0.003314i,0.0016925+0.0013571i,0.0014769+0.00010669i,-0.00018732-0.00029447i,-0.00068943-0.00049357i,2.1822e-05-0.00022054i,0.00021525-0.00036266i,0.00072077-0.00077224i,0.001076-0.00060251i,0.0013378-0.00022043i,0.0014529-4.9379e-05i,0.00016319+0.00016648i,-0.00078324-0.00049453i,-0.00010823-0.00049927i,0.00031757+5.8604e-05i,0.00015169+2.4626e-05i,-0.00024151-0.00077515i,0.00017365-0.0011361i,0.00067761-0.00098216i
-0.0011522+0.00034879i,-0.00044404+0.0014446i,-0.0011345+0.0014375i,-0.00047196+0.0014965i,0.00076409+0.001316i,0.0011767+0.00021195i,0.0012144-0.00036924i,0.00073474-0.0006243i,8.3983e-05-0.0010201i,9.0958e-05-0.0011653i,0.0008818-0.00068741i,0.00074211+0.00071248i,0.00030578+0.00042773i,0.00035853-0.00051578i,-0.00071022+0.00013892i,-0.0015386+0.00066624i,-0.0012076+0.00028395i,-0.00046045+0.00012388i,0.00049397-0.00067336i,0.00087398-0.0011593i,0.00048366-0.00040512i,0.00049955+7.3392e-06i,0.00097401-0.00033178i
0.0011849+0.0006746i,0.0014586-0.00027343i,0.0012024-0.0005002i,0.00089634-0.00037993i,0.00083316-0.00026171i,0.001362+0.00055452i,0.0008358+0.00093837i,-0.00010399+0.00080085i,0.00017025+0.00014641i,0.00059014-0.00043388i,0.00064663-0.00018843i,-0.00012633+6.0987e-06i,-0.000856+0.00011482i,-0.00086337-0.00018604i,-0.00088132-0.00028901i,-0.00019707+0.0001993i,0.000198+0.00035186i,5.6899e-07-7.2992e-05i,6.5723e-06-0.00056115i,0.00036871-0.00041147i,0.00022084+2.8283e-05i,2.3398e-05-0.00063229i,-0.00014181-0.0006458i
-0.00057203+0.00088654i,-0.00066088+0.0015198i,-0.00057315+0.0019407i,0.00038723+0.0020903i,0.001777+0.0019617i,0.0018642+0.0011741i,0.0006996+0.00055639i,-0.00044698+0.00034567i,-0.00074378+0.00079498i,-4.6773e-05+0.0012851i,-8.7636e-05+0.0015335i,-0.00024061+0.00091779i,-0.00020053-6.5606e-05i,0.0001248-0.00034197i,0.00046815-0.00018166i,2.3257e-05-0.00036943i,-0.00024795-0.0001453i,-9.1776e-05+1.0822e-05i,-0.00019325-0.00019661i,-0.0004324+0.00046671i,-0.00010639+0.00086618i,0.00029906+0.00092554i,-0.00046414+0.001153i
-0.0004462-0.0008332i,0.00093906-0.0010603i,0.0014331-0.0014703i,0.0011839+0.00015145i,0.0016059+0.001697i,0.0018386+0.00066901i,0.0015443-0.00058921i,0.00025933-0.0005427i,-0.0010352-0.00037279i,-0.0014977-0.00027556i,-0.00034168-0.00017463i,0.0010467-0.00016305i,0.00082897-0.00029642i,0.0004157-0.00034677i,0.00083074-0.00094701i,0.00098629-0.0012477i,0.0004224-0.00048324i,3.9795e-06+0.00014294i,5.9331e-05-4.0628e-06i,0.00063201+0.00045574i,7.5737e-05+0.00056946i,-0.00056898+0.00047928i,-0.00014846+0.0010322i
0.0002794-0.00019455i,-0.000355+0.0012737i,-5.4979e-05+0.0018405i,-0.00040057+0.001285i,-0.00011479-0.00025095i,-5.6583e-05-0.0010542i,-0.00079651-0.00051522i,-0.0012507+0.00044572i,-0.00040393+6.3504e-05i,-7.0756e-05-0.00044867i,-0.00011391+0.00017775i,2.9989e-05+0.0001461i,-0.00071283-0.0005949i,-0.00091102-0.00041429i,-0.00036104+0.00017005i,-0.00029828-0.00024465i,-3.0312e-05-0.00040106i,0.00041804-0.00062095i,2.4005e-06-0.00073026i,3.9121e-05+0.00015048i,0.00012281+6.6494e-05i,-0.00038404-0.00062265i,0.00010784+8.6069e-05i
-0.0011967-0.00023547i,-0.0010463+0.00021519i,-0.00091464+0.00095575i,-0.0011078+0.00082993i,0.00068147+0.0015842i,0.0018801+0.001447i,0.0011528-0.00011202i,0.00012416-0.00041219i,-0.00044729-0.00018944i,-0.00019678-0.0001916i,-0.00031007-0.00024332i,-0.00011825-0.00043827i,0.00012146-3.5981e-05i,-7.6445e-05-0.00019459i,-1.6542e-05-0.00059604i,-0.00043352-0.00032284i,-0.00015874-0.00019579i,0.00016297-0.00022234i,0.00020596-0.00018912i,0.00046246-8.9086e-05i,0.00050806-0.00016307i,0.00016156-4.2189e-05i,-0.00015576+0.00020933i
-0.00018148-0.00089845i,-0.00063535-0.00098358i,-0.0011911-0.0010079i,-0.00073804-6.9073e-06i,0.0006825+0.00037913i,0.0014751-6.72e-05i,0.0013723-0.00029867i,0.00035965-1.6644e-05i,-0.00017005-0.00017614i,0.00053893-0.00033344i,0.0011987-0.00062091i,0.00085719-0.0011032i,-0.00035896-0.00081874i,-0.00067767-5.7562e-05i,0.00016304+0.00071035i,0.00061069+0.00032438i,0.00038011-0.00034624i,-0.00043217-0.00030661i,-0.00022586-0.00029956i,0.00046784-0.00028213i,0.00044869-0.00049696i,0.00026252-0.00062873i,-0.00028829-0.00038154i
-0.0011204-0.00014887i,-0.00050372+0.00013933i,0.00065317+0.00051814i,0.00088769+0.0014531i,0.00085471+0.0022074i,0.0011624+0.0018552i,0.0010238+0.00017947i,0.00018727-0.00041302i,-0.0010378+0.00032933i,-0.0014581+0.00050024i,-0.00068207+0.00059627i,-0.0002245+0.00050849i,2.0674e-05-0.00025274i,0.00040904-0.0012118i,0.00037872-0.00051503i,0.00023484+0.00018725i,0.00041483+0.00024573i,0.00039731+0.00044929i,-0.00043431+0.00013677i,-0.00054048+0.00040522i,0.00014983+0.0010703i,-3.0518e-05+0.00047457i,4.6193e-05-3.9641e-05i
