-0.0023137+0.00041588i,-0.0013006-0.0002653i,-0.00092321-6.6501e-05i,-0.0011056+0.00065122i,-0.0012671+0.0013086i,-0.0016661+0.0012047i,-0.00106+0.0009612i,-0.00041484+0.00065556i,0.00020697+0.0011016i,0.0011466+0.0012998i,0.0014659+0.00095563i,0.0005893+0.00039916i,0.00069401-0.00047172i,0.0016878-0.00056163i,0.0012766-0.00027548i,0.00031491-0.00012137i,-0.00023309-0.001309i,-0.00044646-0.0020769i,-0.00053816-0.001223i,-0.00014313+0.0001061i,5.2857e-05+0.00038794i,0.00035307+3.5943e-05i,0.00038418-0.00039077i
0.0034998-0.00094622i,0.0027756-0.001057i,0.0014492-0.0017837i,0.00039529-0.0020265i,0.00025915-0.0022772i,0.00095626-0.0010639i,0.0010918-0.00017119i,0.00051934-0.00055897i,0.00038241-0.00071397i,0.00077677-0.00019928i,0.00063357-0.00041288i,-6.355e-05-0.00033551i,-0.00034589+0.00041865i,0.00027254+0.00010076i,0.00033596-0.00023408i,-0.0003488+0.00038706i,-3.9768e-05-0.00019678i,0.00094235-0.00069009i,0.00090143-0.00071053i,-8.2287e-05-0.001338i,-0.00057737-0.0015916i,-8.6334e-05-0.00079274i,-0.00036495-0.00034836i
-0.0018963+0.0010788i,-0.0014932+0.0019491i,-0.0010473+0.0017103i,-0.00025701+0.0015329i,-0.00054749+0.0011032i,-0.0012986+0.00033611i,-0.001134-0.00016997i,-0.00038223+0.00011303i,-0.00013809+0.00014399i,0.00040642+0.00055478i,0.0014342+0.0011706i,0.0016014+0.00071585i,0.0010128+0.00013937i,0.00084849+8.0646e-05i,0.00095148+9.1613e-05i,0.00048731-0.0010218i,-0.00042185-0.0010611i,-0.00028502+3.2804e-05i,-2.2744e-05-0.00051222i,-0.00044751-0.0012378i,-0.00021076-0.00059266i,-7.2146e-05+0.00031736i,-0.00024012+0.00021611i
-0.0016348+0.00019106i,-0.00081491+0.0011825i,-0.00058019+0.0014487i,2.0598e-05+0.0010743i,0.00077896+0.00094131i,0.00078247+0.00075955i,0.00040132-7.2903e-05i,0.00016939-0.00084451i,-0.00010686-0.00042233i,-0.00029002+0.00092113i,0.00020469+0.00081531i,0.0011311-0.00044174i,0.00071561-0.00080246i,-0.00011471-0.00032844i,0.00011803+2.251e-05i,0.00053473-0.00082332i,0.00076278-0.00096501i,0.0006783-0.00064255i,-0.00012036-0.0010758i,-0.00057402-0.0014603i,-0.0001378-0.00051242i,0.00059745+0.00056442i,0.00068605+0.00048655i
0.0010109-0.00030455i,0.00091647-0.0004275i,0.00069737+0.0004467i,-0.00018337+0.00084181i,-0.0010834+0.00020645i,-0.00043267-0.00042653i,-0.00028497-0.00040431i,-0.00032275-0.00057368i,-0.0011378-0.00054888i,-0.0016575+8.5435e-05i,-0.00072192+0.0011021i,-0.00039756+0.0015483i,-0.00039817+0.00081148i,-0.00032737-0.00012384i,0.00055355-0.00035501i,0.00082744-0.00029657i,0.00059025-0.00049012i,0.00028857-0.00019899i,-0.00022307+0.0004196i,-0.000844+8.6028e-05i,-0.0010881-0.00055415i,-0.00025169+7.3546e-06i,0.00032191-0.00027197i
0.0014165-8.3585e-05i,0.00095854+0.00044627i,0.0014702-0.0002541i,0.0014386-0.0007151i,4.2272e-05-0.0014371i,-0.00080649-0.0011543i,-0.00062588-0.00056924i,-0.00038079-0.00051717i,-6.7937e-05-0.0008646i,0.0002847-0.00049722i,0.00016783+0.00052312i,-8.0671e-05+0.00062173i,5.666e-05+0.00027951i,0.000155-0.00093669i,0.00034639-0.0014148i,8.8316e-05-0.0008771i,0.00048553-0.00071298i,0.00063863-6.7478e-05i,-0.00040103+0.00014547i,-0.00070365-1.5545e-05i,-0.00047724+5.8077e-05i,-0.00010733+0.00018817i,0.00086027+0.00027997i
-0.0011627+0.00025433i,-1.2312e-05-0.00041996i,0.00016745-0.00036593i,-0.00013586+0.0011521i,-0.00060653+0.0017501i,-6.901e-05+0.0012944i,0.00080634+0.00024995i,0.00070479-0.00053894i,0.00047982-0.00036241i,-8.0749e-05-4.0195e-05i,-0.00053083-5.8551e-05i,0.00020263-0.00015761i,0.0013666-0.00031365i,0.0015146-0.00012166i,0.0015681-0.00048579i,0.00095433-0.0013788i,0.00050824-0.0016994i,0.00063099-0.0008626i,-0.00042239-0.00051287i,-0.0012863-0.00046065i,-0.00098767-0.00037891i,-0.00094842-0.00015731i,-0.00073358+0.00033709i
-0.00046453+0.0017926i,-0.00016946+0.0016534i,7.0541e-05+0.0024751i,0.00031792+0.0015424i,0.0010339-0.00010163i,0.0002049+3.7357e-05i,-0.0006618+0.00075921i,-0.00039436+0.00056121i,-0.00079099+0.00037916i,-0.00030168+0.00021265i,0.0010007-0.00015224i,0.0014797-0.00091913i,0.0012907-0.0009534i,0.00080426-0.00044712i,0.00024639-0.00039522i,9.0552e-05-0.0005431i,0.00043807-0.00084105i,0.00045211-0.00099846i,0.00060164-0.0010659i,0.00105-0.0004913i,0.00083409-0.00037109i,-0.00017192-0.0011546i,-0.00086466-0.0009481i
-0.0017915+0.0026776i,-0.00050453+0.0020269i,0.00056929+0.003157i,0.0020427+0.0021156i,0.0020781+0.0008086i,0.00083882-1.5469e-05i,-0.00062705-0.00034348i,-0.00081486-0.00042418i,0.0005601-0.00078011i,0.0013276-0.00030135i,0.00014261+0.00017129i,-8.5476e-05-0.00065751i,0.00052807-0.00083318i,-0.00010978-0.00061954i,-0.00022547-0.0010769i,0.00045683-0.0012948i,0.0011188-0.001364i,0.00082818-0.0011007i,0.00070808-0.00056876i,-1.0094e-05-0.00055509i,-0.00073084-0.0004852i,-0.00048452-0.00048788i,8.822e-05-0.00036647i
-0.00031089+7.6159e-06i,-0.00012124-0.00022657i,-0.000109-0.00039261i,-0.0013359-0.00078825i,-0.0011285-0.00074615i,-0.00077541-0.00026502i,-0.0008067-0.00015974i,-0.00046195-0.00043499i,-0.00027464-0.00037213i,-0.00050905+0.00050783i,-0.00016778+0.00071842i,0.0009627+0.00063313i,0.0010921+0.00083827i,5.1259e-05+0.00049123i,7.269e-05+0.00013302i,0.00078308-0.00042962i,0.0013528-0.001404i,0.00069374-0.0013672i,-0.000701-0.00059505i,-0.0016359-0.0001546i,-0.0011417+0.00010043i,-0.00036229+0.00024272i,-8.1695e-05-0.00012069i
0.0016478+0.0018456i,0.0015941+0.0018672i,0.0018436+0.0024283i,0.0011165+0.0019565i,0.00016749+0.0018026i,-0.00058596+0.00095268i,-0.00049512+0.00010786i,0.00062313+0.00036668i,0.000335-0.0001317i,-0.00028566-7.6191e-05i,2.1374e-05+0.00029382i,0.00029598+0.00024607i,0.00041089+0.00010308i,0.00039914+1.9691e-05i,-0.00018673-0.00025447i,4.0313e-05-0.00065116i,0.00084651-0.00087712i,0.00096554-0.0010316i,0.00056643-0.00082564i,0.00011831-0.00059732i,-0.00029084-0.00080316i,1.842e-05-0.000657i,0.00061264-0.00089664i
