-0.0021657-0.0011082i,-0.00091208-0.0018091i,-0.0017384-0.0018095i,-0.0029469-0.0011192i,-0.0026929+0.0013121i,-0.0012478+0.0024407i,-0.00053384+0.0017938i,-0.000633+0.0021685i,-0.00033686+0.0027429i,0.00022556+0.0017889i,0.00013434+0.00079987i,-0.00028268+0.00049686i,-0.00031834-4.1794e-05i,-0.00029407+0.00054897i,0.00027973+0.0008797i,0.00075242+0.00020878i,-0.00041371+0.00054216i,-0.0012473+0.00099685i,-0.00056014+0.001012i,-0.00014436+0.00064232i,-4.9493e-05-0.00035101i,0.00012114-0.00094593i,-0.00023333-0.00068163i
-9.7584e-05+0.0016862i,0.0013016+0.00053915i,0.0022288-0.00092562i,0.0022894-0.0014916i,0.0017381-0.0010115i,0.000522-0.00038773i,-0.00050548-0.00032935i,-0.00086375+0.00030937i,-0.0010924+0.0010837i,-0.00031029+0.00068782i,0.00082613-9.6028e-05i,0.00035225-0.00041421i,-0.00041028-0.00055418i,-5.6591e-05-0.00026887i,1.8767e-05+0.00021646i,-0.00031648-1.5578e-05i,0.00026869+0.00040423i,0.00071141+0.001046i,0.00034575+0.00061732i,-3.3286e-05-0.00028438i,0.00020905-0.00023334i,0.00026992-0.00046761i,0.00017253-0.0004297i
0.00047258-0.0011926i,0.0004372-0.0020816i,-4.5416e-05-0.0037207i,2.3179e-06-0.0034798i,-0.00067457-0.0012501i,-0.00050075-0.00011876i,0.00033869+0.00047971i,-0.00048825+0.0010888i,-0.00091933+0.0010162i,-0.00021101-0.00018778i,0.00044612-0.0016615i,0.00034765-0.0011188i,0.00035647+0.00024764i,0.00047677+0.00053047i,0.00022532+0.00043454i,9.1785e-05+0.00037944i,-0.00053678+0.00026704i,-0.0005532+0.00018953i,0.00047645-0.00046415i,0.00075767-0.00061489i,-7.7242e-05-0.00034138i,-0.00032352-0.00059388i,7.2793e-05-0.00037095i
-0.00012497-0.00014232i,-0.00045965-0.00055458i,0.00021727-0.00097304i,6.8353e-05-0.001017i,-0.00099538-0.0011686i,-0.0011431-0.0009089i,-0.00082429-8.6093e-05i,-0.00037096+0.00036231i,0.00028671+0.00025513i,0.00092341+0.00026241i,0.00026909+0.00032963i,-0.0010129-0.00030696i,-0.00091502-0.00050278i,-0.00041353-0.00067461i,-0.00032175-0.00051957i,-0.0010794+0.00051715i,-0.0016549+0.00015722i,-0.0010057-0.00032351i,-0.00036518-0.00034765i,0.00040424-0.00046613i,0.00042209-0.00078426i,0.00011665-0.0005995i,-0.00031485+5.8719e-06i
-0.00013063+0.00034261i,0.00010885-0.00066417i,0.0003124-0.0023284i,0.00094937-0.0027506i,0.0019541-0.0017272i,0.0018781-0.00094458i,0.00059889-0.0002388i,-0.00047447+0.00012303i,-0.0006081+0.0005026i,-0.0002596+0.00079502i,-0.00019306+6.1728e-05i,7.9014e-05-0.00047964i,0.00038356+0.00022118i,-5.1644e-05+0.00059784i,0.00077693+0.00015767i,0.0015728+0.00047461i,0.0010319+0.00037533i,0.00088784-7.3481e-05i,0.00069924+0.00025383i,0.00022434+0.00057388i,-0.00025433+3.0157e-05i,-0.00014467-0.00059818i,-0.00025198-0.0010806i
-0.00018955-0.0009i,0.00058403-0.0012295i,0.00099063-0.0019173i,0.0010375-0.0014541i,0.00074278-0.00090669i,0.00053286-9.9326e-05i,0.00020774+0.00086652i,-8.0202e-05+0.0011325i,-0.0007866+0.001373i,-0.00043939+0.00087231i,0.00018926+2.0423e-05i,-2.7015e-05-0.00059926i,-0.0003066-0.00060456i,-0.00061794-7.9142e-05i,-0.00050004-0.00013969i,3.1901e-05-0.00046869i,0.00028999-0.00039834i,-0.00023936+1.1685e-05i,-0.00073008+0.00031873i,-0.00013823-0.0001055i,0.00041825-0.00057253i,-3.3525e-05+0.00016482i,-0.00058872+0.00072072i
-1.8573e-05-0.0016246i,0.00047008-0.0022233i,0.00020574-0.0032784i,-0.00081987-0.0035722i,-0.00072046-0.0025797i,0.00078857-0.0010058i,0.00078133-0.00033302i,-8.873e-05-0.00023577i,-0.00031294+0.00054179i,8.7508e-05+0.00092149i,0.00035622-0.00028439i,-0.00038321-3.0806e-05i,-0.00055109+0.00042066i,-1.1677e-07-0.00014038i,0.00017836-0.00010136i,0.00048233-0.00016381i,0.00028939+3.5357e-05i,-0.00048325+0.00020557i,-0.0002993+0.00092881i,-0.00011396+0.0012929i,-0.00031824+0.00080243i,-9.338e-05+0.00019752i,0.00033037-0.00016772i
0.000147+0.00062208i,8.6208e-06-0.0013975i,0.00018843-0.0030277i,0.00086371-0.0030063i,0.0014429-0.0010361i,0.00062535+0.00081873i,-8.9397e-05+0.00046464i,0.00012534+0.0002687i,-0.00023476+0.00082526i,-0.00060064+0.00091737i,-0.00039166+0.00035377i,0.00013444+2.4201e-05i,0.00039222+0.00019184i,0.00012003+0.00030751i,-8.0765e-05+0.00072615i,-0.00085482+0.00064969i,-0.001226-0.00052625i,-0.001005-0.0012959i,-0.00065347-0.00058385i,-0.00033242-5.4106e-05i,-0.00052754-0.00038905i,-0.00060135-0.00042191i,-3.5762e-05-0.00019111i
0.00086906-0.0013845i,0.0016303-0.0024738i,0.0014932-0.0038347i,0.0002313-0.0034921i,-0.00071761-0.0017284i,-0.00096544-0.00033196i,-0.00036652+0.00034644i,-0.00025796+0.00030329i,-0.00044067+1.3447e-05i,0.00011512+0.00026449i,0.00033662+0.00015385i,-5.9415e-06-0.00016227i,-0.00054031-1.0851e-05i,-0.00077187+3.6911e-05i,-0.00024715-0.0003952i,0.00029177-0.0004318i,-0.00010831-6.0515e-05i,8.55e-05+0.0002994i,0.00034141+0.0004981i,-0.00023802+0.00045436i,-0.00064798+0.00023174i,-0.00058418-0.00040101i,-0.00050607-0.00023858i
4.1495e-05+0.0012233i,-0.00011732-0.0004147i,0.00021126-0.0017731i,0.0004127-0.0029312i,0.00064058-0.0035276i,0.0010292-0.0024065i,9.0081e-05-0.0013905i,-0.001146-0.0010577i,-0.0010214-2.4836e-05i,-0.00024896+0.00063101i,0.00029681+0.0010252i,7.7989e-05+0.0003044i,-0.00029867-0.0012051i,-0.00095043-0.0013156i,-0.0010014+0.00035865i,-0.00028477+0.0010448i,-0.00082546+0.00046111i,-0.00088133+6.245e-05i,0.00076385+0.00021301i,0.00086111+0.00029735i,-5.2235e-05-0.00046051i,-0.00061442-0.001387i,-0.00027799-0.0013245i
0.00050354+0.00015545i,0.00055569-0.0009059i,0.00057419-0.0012109i,0.00090489-0.0014466i,0.00088037-0.00041329i,0.0005092+0.00068837i,0.00025609-9.2688e-05i,-0.00028617-0.00037239i,-0.00036486+0.0009314i,0.0002205+0.0016587i,-0.00026273+0.00082483i,-0.00091313+0.00014307i,-0.00055111-0.00013231i,-0.00066221-0.00020379i,-0.00072357+0.00018665i,-0.00040078+5.2134e-05i,-0.00061943-0.00024439i,-0.00030747-0.00011182i,0.0008366-0.00010053i,0.00047574-0.00068578i,-0.00019572-0.00088211i,-0.00037927-0.00037184i,-0.00039796-0.0002451i
-0.0017201-0.00090741i,-0.0013241-0.0015535i,-0.0010306-0.002282i,-0.00043679-0.0014644i,0.00062405-7.4336e-05i,0.0015463+0.00018581i,0.00080285-0.0007945i,-0.00017937-0.00026468i,-0.0010554+0.0015448i,-0.0011185+0.0013388i,-0.00067245+0.0008076i,-0.00085927+0.00010552i,-0.00055259-0.00040467i,0.0004112-0.0006059i,0.00066934+2.2583e-05i,-0.00043124+0.00054063i,-0.00058403+0.00057861i,-0.00056637+0.00065862i,-0.00067423+0.00054956i,-0.00047252+0.00082761i,-0.0012381+7.5586e-05i,-0.0010748-0.0003381i,-0.00053429+0.00024976i
0.00013431+0.0010716i,0.00068349+0.0001845i,0.0011511-0.00088151i,0.00014234-0.0011272i,-0.00037837-0.00068683i,-0.0006153+0.00019176i,-0.0002393+0.00075252i,-7.2117e-05+0.00051563i,-0.00058431+0.00044684i,-0.00017908+0.00022864i,-0.00033735-0.0006461i,-0.00052291-0.0010263i,-0.00056206-0.0010419i,-0.0011795-0.00049507i,-0.0011923-0.00016523i,-0.00041627-0.00074483i,-0.00024224-0.0012574i,-0.00013923-0.00071554i,-0.00025008+0.00016702i,-0.00087892+0.00019603i,-0.0002433-0.00041427i,0.00052184-0.00058901i,8.4912e-06-0.00035484i
0.00051251+0.00048247i,0.00028739-0.00050793i,0.001216-0.0029i,0.0016356-0.0034613i,0.0015289-0.0019082i,0.0010575-0.00055876i,-5.8314e-05-0.00060041i,-0.0010251-0.00020795i,-0.0015424+0.0019112i,-0.00084194+0.0024318i,0.00041975+0.00064108i,0.001106-0.00095627i,0.0012907-0.00077241i,0.00062361-6.069e-05i,-8.6645e-05-1.8953e-05i,-0.00021528-4.9866e-05i,4.8477e-05-0.00020285i,0.00036713-0.00021514i,0.00060643-0.00033667i,0.00072359-0.00052016i,0.00060279-0.00066718i,0.00029441-0.00086888i,-0.0003547-0.00076396i
-0.001544-0.00092746i,-0.001621-0.00072957i,-0.002225-0.00016384i,-0.0019921+0.00010092i,-0.0013569-0.00030269i,0.00012379-0.00050077i,0.00099035-0.00047057i,-0.00012178-0.00047898i,-0.0011456-0.00042614i,-0.0011108+6.5435e-05i,-0.0002746+0.00026569i,0.0004246+0.0014189i,-0.00055337+0.0022545i,-0.0010208+0.0012104i,-0.00022963-1.6358e-05i,8.1728e-05-0.00021886i,-0.00023242-0.00010973i,-0.00018379-0.00033249i,-0.00020827-5.932e-06i,0.0001053-0.00051318i,0.0006058-0.00079827i,0.00023171-0.00079438i,0.00056707-0.00011676i
0.00036479-8.6734e-06i,0.0015596-0.00044103i,0.0025828-0.0017922i,0.0020315-0.00309i,0.0013656-0.0025225i,0.00028472-0.00049551i,-0.00071288+0.0004026i,-0.00098152+0.00047903i,-0.00081604+0.00076424i,-1.3153e-05+0.0008044i,0.00094712+0.00055167i,0.00095665+0.00016301i,7.0376e-05-0.00021917i,-0.00028093-0.00027922i,-0.00020744-0.00037114i,0.00014975-7.6284e-05i,-0.00020992+0.00038268i,-0.00053032+0.00056849i,-0.00059571+0.0003896i,-1.8365e-05-0.00059421i,0.00032459-0.0011951i,-0.00032293-0.0013877i,-0.00062388-0.0017615i
0.00090195-0.00024486i,0.00061386-0.00098591i,0.00067133-0.00099613i,0.00044127-0.0018332i,-0.00014555-0.001142i,-0.00012673+0.00029788i,0.00021815+0.00067458i,0.00013427+0.00036416i,-0.00051044+1.3785e-05i,-0.0012028+2.2719e-05i,-0.00081356-0.00037151i,-0.0005705-0.00019555i,-0.00085196+2.9007e-05i,-0.00050772+0.00018236i,0.00015991+0.00084244i,0.00063277+0.00047813i,0.00028576-0.00050066i,8.4688e-05-4.3294e-05i,-0.00026969+0.00052006i,-0.00088659+8.7631e-05i,-0.00038772+5.7352e-05i,0.00043561-0.00061979i,0.00016208-0.001197i
0.00029777-0.001203i,0.0014034-0.0021024i,0.003019-0.0029185i,0.0020504-0.0031933i,-0.00046983-0.0020202i,-0.0011356-0.00088745i,-0.00039252-0.0011221i,-0.00020477-0.00066631i,-0.00023356+1.1065e-05i,-0.00049621-0.0001812i,-0.00088056-0.0011753i,-0.00016589-0.0015236i,0.00034542-0.0007958i,-0.00056901+0.00010095i,-0.0007676-0.00010965i,-9.4563e-05-0.00073259i,0.00029238-0.00051776i,0.00031405+2.4168e-06i,0.00055199+0.00024915i,0.00045192+0.00048271i,0.00018839+0.00056109i,0.0009219+0.00068902i,0.00077844+0.00071618i
0.00064766-0.00086934i,0.00079267-0.0020582i,-0.00088705-0.0019614i,-0.001225-0.0011352i,-0.0001893-0.00081833i,0.00074166-0.00044034i,0.0007595-0.00024651i,0.00011389+0.00010641i,-0.00045992+0.00090935i,-0.0004799+0.00076063i,-5.3614e-05-0.0001767i,9.7002e-05-0.00018536i,0.0011543+5.3488e-05i,0.0010461-1.1265e-05i,0.00014765-0.00014142i,0.00028958+0.00017804i,0.00028704+0.000161i,0.000352+8.3379e-05i,0.00020745+0.00048524i,-0.00056361+9.7738e-05i,-0.0010775-0.00079022i,-0.00082719-0.00088814i,-0.00039229-0.001021i
0.00076587+0.0001412i,0.0014157-0.001286i,0.0006671-0.0029976i,-0.00023482-0.0023038i,-0.00060938-0.00062181i,0.00014893-0.0003208i,0.0009928-0.00017438i,0.00040106-9.4271e-06i,-0.00071313-0.00033187i,-0.0009261+0.0002673i,-0.0004839+0.00061043i,-0.00057313-0.00019177i,-0.0015481-0.00060363i,-0.00063404+2.2407e-05i,0.00035936+0.00030411i,-0.00054741+0.00018226i,-0.0014861+0.00020258i,-0.0010952+0.00032568i,-0.00031007+0.00057952i,0.00045646+0.00017688i,0.00067858-0.00053182i,0.00049532-0.00060224i,0.00083042-0.00026382i
-0.0010675-0.00031503i,-0.0008463-0.00084801i,-0.00042307-0.001578i,0.00013821-0.0010125i,0.00063732+0.00055589i,0.0011826+0.00029923i,0.00061157-0.001065i,-0.00023632-0.0003892i,0.0001175+0.0013624i,0.00043013+0.001177i,0.00040807+0.0003203i,0.00036817+0.00034389i,-0.00012583+0.00060891i,-0.0010849+0.00051277i,-0.001139+0.00044521i,-0.00071174+0.00081029i,-0.00062524+0.00052446i,-0.00047567+0.00052733i,-0.00037945+0.00047778i,-0.00020106+0.00010542i,-0.00034105+8.4341e-06i,6.0117e-05-5.4686e-05i,0.00057624-2.8366e-05i
-0.001451-0.0014994i,-0.00068963-0.0015582i,-0.00079339-0.0010294i,0.00028951-0.00017999i,0.00099234+0.00093933i,0.00095318+0.0011118i,0.00137+0.00035401i,0.00024988+3.1108e-05i,-0.00083083+0.00019925i,-0.00010056+0.00078284i,8.4884e-05+0.00098991i,-0.00019749+0.00089469i,0.00061381+0.00037179i,0.00099498+0.0005474i,8.3235e-05+0.00076125i,-6.9473e-05+0.0004494i,-7.5793e-05+0.0004312i,-0.00020132+0.00011176i,0.00035174-8.0864e-05i,0.00014287-8.967e-05i,0.00011596+0.00011068i,0.00034698+0.00095175i,3.4101e-06+0.001426i
0.0010307-0.0018435i,0.0009392-0.0023531i,9.3341e-05-0.0037965i,-0.0011819-0.0040001i,-0.0011058-0.0021162i,-0.00028159+0.00020716i,0.00039855+0.00050782i,-0.00012584+0.00019044i,-0.00080654+0.0008322i,-0.00034622+0.0012303i,-5.6105e-05+0.0011004i,0.00064064+0.00023543i,0.00099322-0.00039866i,0.00022887+0.00043603i,0.00026176+0.00054173i,0.00076571+0.00035462i,5.7601e-05+0.00066277i,-4.0117e-05+0.00047426i,0.00023022-0.00029745i,7.2766e-05-0.00020329i,0.00030824+0.00029037i,-0.00029023+0.00040709i,-0.00073801-0.00013582i
-0.00011113-0.0011693i,0.00062324-0.0018054i,0.00096716-0.001938i,1.241e-05-0.0025928i,-0.00099173-0.0029306i,-0.0012826-0.0014316i,-0.0015817+0.00027263i,-0.001558+0.00085942i,-0.0011736+0.00073054i,-0.00043894+0.00040527i,-0.00032231+3.1247e-05i,-0.0010909-0.00042004i,-0.0015768-0.00052917i,-0.0015437-0.00018259i,-0.0012255-0.00040723i,-0.0012406-0.00069173i,-0.0012221-0.00067975i,-0.0010107-0.00054007i,-0.00068014+5.015e-05i,-0.00018831+1.0371e-05i,-0.00026114-8.3678e-05i,-0.00081614-0.00024319i,-0.00063032-0.00015129i
0.0011348-0.00056844i,0.00122-0.0022464i,0.0020788-0.0039181i,0.0022488-0.0042801i,0.0016697-0.0033608i,0.0011683-0.0018528i,0.00017393-0.00046021i,-0.00070395+0.00048137i,-0.00067828+0.0008083i,-0.00030295+0.00013637i,8.0782e-05-0.0010098i,3.6624e-05-0.00083604i,0.00023342-0.00034406i,0.00073978-0.00052328i,0.00030292-0.00052072i,-0.00012585+0.00055018i,-0.00034011+0.0011245i,-0.00042501+0.00043939i,-0.00047098-0.00053327i,-0.00057669-0.0011062i,-0.00022094-0.0013981i,-0.00021333-0.00093821i,-0.00051894+0.00023683i
0.001432+2.2422e-05i,0.00049741-0.0014876i,-0.00025085-0.0027085i,-0.00080674-0.0014205i,-0.0014505+0.0006708i,-0.00076677+0.0021002i,-0.00019144+0.0013224i,-0.00077046-4.888e-05i,-0.0013669-0.00012i,-0.0010453+0.00061526i,-0.00059595+0.00078426i,-0.00031398+0.00059316i,0.000139+0.00020352i,0.00047302+0.00047162i,0.00046896+0.00079137i,-0.00024812+0.00039583i,-0.00077887+1.1517e-05i,-0.00027116+0.00017045i,-9.9608e-05+0.00014923i,-4.1763e-05+0.00010957i,0.00061405+0.00025347i,0.00065334+0.00014674i,-0.00038268-0.00031229i
0.0010004-0.00085383i,0.0014267-0.0029724i,0.00088413-0.0048718i,-5.0755e-05-0.0049389i,-0.0011169-0.0031656i,-0.00088634-0.0013455i,-0.00068404-0.00048191i,-0.00017886-0.00021686i,0.00077276+0.00043498i,0.00040439+0.0010142i,-0.00021039+0.00035155i,1.8274e-05-0.00071226i,0.00024242-0.00044563i,0.0001288+0.00039228i,0.00023454+0.00028237i,0.00030057-0.00049778i,0.00010991-0.00074314i,0.00015115-0.00038031i,0.00062129-0.00026133i,0.00039886+0.00088519i,-8.3947e-05+0.00079347i,-0.00039573-0.00082385i,-0.00011893-0.00085613i
-0.00052254+0.0012581i,0.00091891-0.00061751i,0.00023604-0.0018946i,-0.00043225-0.0016i,0.00032459-0.00015645i,0.00044469+0.00044092i,0.00097136-0.00016163i,0.00081537+6.7236e-05i,-0.00020357+0.00047954i,-0.0002825+0.0010705i,0.00053229+0.0009714i,0.0014747+0.00052192i,0.0011548+0.0010986i,0.00018114+0.000945i,0.00046004-0.00020354i,0.0001892+0.00043025i,-6.4445e-05+0.001482i,0.00040395+0.0007958i,0.00011306-4.7392e-05i,0.00033455+0.00014472i,0.0011282+7.6132e-05i,0.00079506+0.00039325i,0.00023332+0.00046138i
-0.00037176-0.0011053i,-0.00077957-0.0021516i,-0.0005425-0.0021945i,-6.7218e-05-0.0014193i,0.0001152-0.00081166i,0.00097137-0.00035267i,0.00090486-7.5612e-05i,-0.00058219-1.5575e-05i,-0.0016742-1.0724e-05i,-0.00096718+0.00016676i,0.00015877+0.00039254i,-0.00026239+0.0003926i,-0.00047689-0.00041373i,0.0002015-0.00041256i,0.00028676-0.00028917i,6.6958e-05-0.00065813i,0.00056862-0.00037852i,0.0012547-0.00041124i,0.0012607-0.00050234i,0.00025663+4.9478e-06i,-0.00094741+0.00077271i,-0.00035529+0.00012385i,0.0002495-0.00041697i
5.0098e-05-0.00080703i,0.00033739-0.00089961i,0.00042229-0.0020634i,-2.9766e-05-0.0026282i,-0.00047241-0.0014533i,-0.00034107-0.00033383i,-5.4108e-05-0.0008729i,0.00020396-0.00050264i,0.0001224+0.00092399i,0.00034738+0.00095136i,0.00022112+0.00020327i,-0.00072326-0.00065791i,-0.00065666-0.0010519i,2.95e-05-0.00061073i,9.1944e-05-4.5759e-05i,0.00019897-0.00011808i,0.00024472-0.0001433i,0.00029622-9.9403e-05i,0.0002998-0.00017761i,-0.00017052-0.0004813i,9.6881e-05-0.00014324i,0.00027706+5.4328e-05i,0.00020288+4.3949e-05i
2.5627e-05-0.0011925i,-0.00010411-0.002058i,-0.00043042-0.002708i,-0.00016517-0.0028299i,0.00013577-0.00067655i,-6.4618e-05+0.0011444i,0.0004284+0.00078635i,0.00051106+0.0004322i,7.7662e-05+0.00096909i,0.00026162+0.0017905i,0.00037762+0.0015758i,-0.00019991+0.00060155i,-5.3626e-05+0.00022879i,0.00035006+0.00053035i,-5.7864e-05+0.00066286i,0.00039248+0.00068674i,0.00043003+0.0002726i,6.8393e-05-0.00016806i,0.00035519+8.8046e-05i,0.0007476+9.2111e-05i,0.00052987-0.00021675i,-7.5551e-05-0.00026458i,-0.00029147-0.00060214i
0.00052318-0.0018914i,0.00096812-0.002181i,0.0012251-0.0026578i,0.0013914-0.0024183i,0.001506-0.00177i,0.0011051-0.00097673i,5.9142e-05-0.00043496i,-0.00084163-0.00036612i,-0.0013768+0.00086806i,-0.0013583+0.0011334i,-0.00096343+0.00033736i,-0.0010114+0.0001074i,-0.00082235-0.00057999i,-0.00033182-0.00030776i,1.0842e-05+0.00039203i,0.00025898+0.00018702i,0.00010156+0.00012648i,-5.4205e-05+0.00024828i,0.00029728+0.00038016i,0.00017488+0.00090438i,-5.3228e-05+0.0012823i,-0.00011611+0.00045304i,-0.00090135-0.00048542i
