-0.0017925+0.00094392i,-0.00083319-0.00021638i,-0.0017631-0.00038621i,-0.0016866+0.00096428i,-0.00093188+0.0025884i,2.0184e-05+0.0028873i,0.00058583+0.0017632i,0.00096263+0.00063459i,0.001132-0.00044701i,0.00098056-0.0002674i,0.0011889-0.00022295i,0.0011023-0.00094122i,0.00067631-0.00010481i,8.7495e-05+0.00062495i,-3.2818e-05+0.00036455i,-0.00021357+0.00027878i,-9.8747e-05+0.00034081i,9.1739e-05+0.0001817i,0.00041428-0.00015497i,0.00058888-0.00052606i,-0.00015821-0.00097815i,-0.00052763-0.00099925i,-7.1727e-05-0.00025329i
0.0021724+0.0016789i,0.0027615+0.0011273i,0.0021814+0.00022832i,0.00068558-0.00074671i,-2.9786e-05-0.0012215i,-0.00095871-0.00089312i,-0.00094743+0.00023898i,-0.0004554+0.00093882i,-0.00036322+4.9208e-05i,-0.00015445-0.00080882i,0.00043087-0.00050848i,-0.00020389-0.00036005i,-0.00090006+3.0356e-05i,-0.00071482+0.00012602i,-0.00014264-0.00029266i,0.00038927-0.00023675i,0.00055045-0.00017359i,0.00083835-0.00018459i,0.00016448+0.00037718i,-0.00051487+0.00039695i,0.0001033+0.00044267i,0.00065228+0.00061027i,0.00047517+0.00043806i
-0.00056157-0.00018556i,-0.00071756-0.00050167i,-0.00045873-0.00099464i,-0.00077979-0.0012225i,-0.0010381-0.00044707i,-0.001302+0.00077265i,-0.00085311+0.0017949i,3.1856e-05+0.0015577i,0.00084812-0.00023478i,0.00063729-0.00084352i,0.00037869-0.0001719i,5.5349e-05+0.00024019i,-0.00031175+0.00015205i,5.9692e-05+0.00035859i,-5.1706e-05+0.00061666i,5.582e-05+0.0008441i,0.00086474+0.00016233i,0.0011038-0.00051818i,0.0010271-0.00035306i,0.00085667+0.00041089i,0.0005514+0.0010215i,5.9688e-05+0.00064535i,-0.00016841-5.5174e-05i
0.0010793+0.00059215i,0.0019999+0.00044768i,0.0018926+0.00074746i,0.0013732+0.00073269i,0.0010363+7.6769e-05i,-0.00051983-6.8324e-05i,-0.00074943+0.0005151i,0.0004551+0.00094794i,0.00016396+0.00068912i,0.00031206+0.00015679i,0.0004967+3.752e-06i,-6.8041e-05-5.5055e-05i,-2.1428e-05-0.00063596i,-5.3923e-05-0.00095044i,0.00066187-0.00071254i,0.00079562-0.00036523i,0.00039971-5.0977e-05i,7.3983e-05+0.00028317i,-8.194e-05-0.00016117i,4.5901e-05-0.00031962i,0.00054141+9.7074e-05i,0.00030784+0.00069992i,-0.0010215+0.00029992i
-0.00063118+0.000584i,-0.00069346+0.00025691i,-0.00033166-0.00022071i,-5.8137e-05-0.00049854i,-0.0005892-0.00011581i,-0.0013131+0.00023313i,-4.217e-05-0.00017743i,0.0015359+0.00020805i,0.0016814+0.00059883i,0.00057752+0.00051323i,7.0495e-05+0.00036446i,0.00033963+0.00035621i,0.00064692+0.00051598i,0.00037629+0.0007823i,-0.00010652+0.00072179i,-7.9082e-05+0.00059384i,-7.2186e-06+0.00042055i,4.7909e-06-0.00026952i,-0.00065018-0.00078973i,-0.00049786-0.00033659i,0.00029807+0.00018226i,0.00049916-7.6974e-05i,0.00048667-0.0001118i
0.00084005+0.00036636i,0.0014526+0.00012181i,0.0014975-0.00090196i,0.00085814-0.00067875i,-0.00060239+0.00024768i,-0.0010386+0.00052977i,0.00041204+0.00088948i,0.0012267+0.00057241i,0.00083834-0.00012836i,0.00010773-0.00087087i,-0.000126-0.00066812i,0.0004022+0.00069724i,0.00045777+0.00087552i,0.00017279+0.00072056i,4.9431e-05+0.0011456i,-0.00045131+0.00071463i,-0.0011803-0.00015197i,-0.00068618+0.00017525i,-4.9558e-05+0.00061859i,-0.00016605+0.00084293i,-5.4279e-05+0.00021468i,-1.1453e-05-0.00062757i,-0.00052012-0.00037624i
0.0005617+0.0019625i,0.001698+0.0017459i,0.0015515+0.00050556i,0.00042605+3.6341e-05i,-0.00012052-0.00018061i,-0.00069984+2.2118e-05i,-0.00081443+0.00096595i,-0.00015777+0.00016308i,0.00076378-0.00036657i,0.00081319+0.00027976i,0.00028976+0.00017121i,0.00033689-0.00030124i,-5.5612e-05-0.00029653i,-7.0238e-05-0.00026234i,0.00015502-0.00035469i,-0.00054261-7.7227e-05i,-0.00093498+1.4711e-05i,-0.001059-0.00075186i,-0.00051293-0.0009091i,-0.00024952-0.00039353i,-0.00017329-0.00067603i,-0.00027534-0.00035024i,-1.5349e-06+0.00039745i
0.00061693+1.299e-05i,0.0014368-0.001746i,0.00014984-0.0018678i,-0.0012217-0.0010781i,-0.0011317+2.104e-05i,-0.00037014+0.0002413i,-0.00039225+0.00034846i,-0.00072936+0.00048757i,-0.00052343+0.00039586i,0.00070941-0.00011228i,0.00064475-0.00042801i,1.2225e-05-0.00015783i,0.00023654-0.00010618i,0.0002933-0.0003231i,0.00028794-0.00053605i,-0.0001858-0.00056675i,-0.00059143-0.00021176i,-0.0014825+0.00014315i,-0.0016129+0.00040236i,-0.00061574-0.00028481i,-0.00019375-0.00079227i,-0.00014866+8.551e-05i,0.00042822+0.0003722i
-0.0015768+0.0010021i,-0.00068972+0.0020542i,-0.0006308+0.0010476i,-3.3243e-05+5.0305e-05i,0.00016831+0.00012745i,0.00027009+0.00070633i,0.00042745+0.00141i,0.00099432+0.0010195i,0.0014654+0.00011509i,0.00042327+0.00021943i,-0.00024672+0.00027959i,0.00011486+0.00038462i,0.00048564-5.1859e-05i,0.00054218-0.0004522i,-3.4934e-05-0.0001972i,-0.00083626-0.0005627i,-0.00035406-0.00064484i,0.00015985-7.9192e-05i,0.00063729-0.00030682i,0.00099552-0.00071937i,0.00013808-0.00093907i,-0.00054594-0.0007746i,-0.00072633-9.5619e-05i
0.00026684+0.0013471i,0.00014996+0.00064552i,4.6526e-05+0.00020045i,2.8795e-06+0.00024146i,-0.00028609+0.00055009i,-0.0008526+0.00068928i,-0.0011185+0.00069618i,6.9683e-05+0.0014242i,0.00078818+0.00083726i,0.00046122-0.00013552i,0.0002391+0.00041901i,0.00035285+8.1765e-05i,2.4834e-05-0.00065739i,-0.000449+0.0002911i,-0.00018103+0.00095567i,-1.1807e-05+0.00065274i,9.1735e-05+0.0001759i,0.00018404-6.684e-05i,4.4397e-05+0.00016163i,-0.00041967+0.00010946i,-0.00066131+0.00012209i,-7.5575e-05+0.00054393i,0.00071147+0.00011166i
0.00092516-0.0009127i,0.0013367-0.0014322i,0.0015228-0.0010883i,0.00073491-0.00071213i,-0.00070301-0.0017455i,-0.0009412-0.0015605i,-0.00048898+0.00019215i,-0.00016774+0.0011625i,0.00037408+0.00095051i,0.00032122+0.00036628i,-0.00063443+0.00036838i,-0.00059458+0.00055249i,-0.00011716+0.00096463i,-0.00042853+0.0014046i,-0.00030525+0.0015518i,-0.000404+0.0005617i,-0.00087297-2.3798e-05i,-0.0011159+0.00043317i,-0.00048885+0.00045356i,0.00039819-0.00017116i,0.00076447-0.00022267i,0.00029196+4.6407e-06i,0.00013421-0.00011354i
0.0011216+0.0016129i,0.0016055+0.0017259i,0.00095505+0.0008055i,0.00105+0.00023862i,8.4006e-05-0.0005185i,-0.0014028-0.00056815i,-0.0013436+0.00071671i,-0.00050884+0.00118i,-0.00069408+0.0007018i,-0.00092077+0.00026601i,-0.00050903+0.00015488i,0.00037369+7.911e-05i,0.0010458-0.00029435i,-3.976e-05-5.0498e-05i,-0.00024249+0.00041002i,4.2587e-05+0.00034052i,-0.00066279-0.00039885i,-0.00090029-0.00037153i,-0.00082281-0.00035399i,-0.00013501-0.00039626i,0.00085523+1.8408e-05i,0.00026967+0.0001185i,-0.00089759+0.00021867i
0.0010207+0.00048592i,0.001405+0.00074478i,0.0007797+0.00099317i,-0.00059252+0.00063396i,-0.00080677-0.00015584i,-7.1441e-05+0.00017763i,-0.00012842+0.001126i,0.00010207+0.00061556i,0.0005436-4.3372e-05i,0.00064816-0.00043258i,0.00078072-0.00062339i,0.00034976-0.00015744i,-0.00048022+0.00064371i,0.00011833+0.001009i,0.00053596+0.00091021i,0.00014828+0.00034333i,0.00024152+0.0001706i,0.0004908+0.00053292i,0.00010908+0.00052925i,-0.00059515+0.00029887i,-0.0001293-0.0001841i,0.00024239-0.00015867i,0.00025232+0.00029256i
0.0011261+0.0014175i,0.0019162+0.0016313i,0.0017047+0.00098101i,0.0014676+5.0345e-05i,0.001333-8.3628e-05i,0.00016337-0.00028648i,-0.00095318-0.00082739i,-0.0005164-0.00084181i,0.00022205-5.6129e-05i,0.00017711+0.00058346i,0.00018459+0.00033792i,3.7994e-05-0.00017744i,-0.00050352+0.0002097i,-0.00061916+0.00011079i,-0.00072683-0.001169i,-0.00081279-0.0013526i,0.00033035-0.00080664i,0.00078934-0.00036068i,0.00028672+9.5012e-05i,0.00016193+0.00018141i,0.00037869+0.00016219i,-1.8953e-05+0.00015738i,-0.00038659+0.00063164i
0.00030177+0.0011312i,0.00082423+0.001586i,0.0013172+0.0011238i,0.00090503+0.00039316i,-0.00044619+0.000289i,-0.00092799-0.0002525i,-0.00077863-0.00011461i,-0.00064423+0.00032616i,-4.4211e-05+0.00098968i,4.5172e-05+0.00076562i,0.00034055-0.00039604i,0.00024307-0.00089194i,-0.00039062-0.00062942i,-0.00098174+8.1896e-05i,-0.00064106+0.00010512i,-0.00068078+0.00013724i,-0.00062339+5.6224e-05i,-0.00036025+4.4069e-05i,-0.00036001-0.00017439i,-0.00021816-0.00031782i,-0.00011465+0.00037169i,-0.00048306+0.00056015i,-0.00082112+9.4271e-06i
-0.0011854+0.00094754i,-0.00047175+0.0014944i,-0.00040198+0.0016167i,-0.00022997+0.0015108i,-0.00062057+0.0008207i,-0.001373+0.00062504i,-0.0010398+0.00052198i,-0.00035692+0.00068118i,-0.00030807+0.00091607i,-0.00030603+0.00091044i,4.2007e-05+0.00084523i,0.00072151+0.0003261i,0.00046724+0.00020033i,0.00021629-7.1906e-05i,-0.0004-0.00096087i,-0.00049137-0.0012752i,-0.00027358-0.00073396i,-0.0010754-0.00051888i,-0.00052364-0.00067734i,0.00062028-9.3714e-05i,0.00032289-2.7148e-05i,-0.0003584-0.00027662i,-0.00020093+0.00051167i
0.0021771+0.00067551i,0.0011909+0.00062035i,0.0011699-0.00072921i,0.00053872+0.00026037i,-0.0010585+0.00076436i,-0.0017343+0.0004818i,-0.0013883+0.00045878i,-0.00087712-7.8642e-05i,-7.899e-05+0.00011669i,0.00038261+0.00017839i,0.00028171-0.00056314i,2.7924e-05-0.00064529i,-0.00012195-0.00043283i,-0.00027871-9.9147e-06i,0.0002296+0.00011516i,0.00092823-0.00015999i,0.00032477+8.5913e-05i,-0.00012349+0.00038725i,-0.00021491+0.00042563i,-0.000329-2.1381e-05i,-0.00035884-0.00048558i,-0.00047973-0.00083973i,-0.00063603-0.0015617i
0.0021512+0.0015791i,0.0019262+0.0010148i,0.0017591-0.00082393i,0.00094927-0.0017664i,-0.00056594-0.0010459i,-0.0010358+2.0772e-05i,-0.00031489+0.00074042i,0.00022771+0.0015274i,0.00044452+0.0015016i,0.00040189+0.00015333i,0.00031611+4.7381e-05i,0.00016596+0.0006267i,-0.00076763+0.00062092i,-0.0012565-0.00010401i,-0.0009973-0.00033545i,-0.00077911-0.00034332i,3.4916e-05-0.00040023i,0.00037347-0.00038747i,0.00046396+0.00044673i,0.00080532+0.00099408i,0.00058146-0.00015208i,0.00012817-0.00075953i,4.4844e-06-0.00031546i
0.0010309+0.0009596i,0.0014193+0.0006792i,0.0018874+0.00090401i,0.001837+0.00065992i,0.0011125-0.00034164i,0.00018119-0.00015868i,0.00029827+0.0011196i,0.00015004+0.0012515i,0.00071846+0.00053132i,0.00088347+0.00035851i,0.00022238+0.00023937i,-0.00054263-0.00034861i,-0.0008225-0.0003586i,-0.0011467-1.9846e-05i,-0.0014386-0.00063498i,-0.0007553-0.00026681i,-0.0002269+0.00096599i,-1.0049e-06+0.00048785i,-0.00029236-0.00020617i,-0.00093372+0.00034143i,-0.00054238+0.0014549i,0.00030178+0.0012377i,0.00041757+0.0011658i
-0.00029288+0.0028717i,-0.00026257+0.0022255i,-0.00064913+0.0014267i,-0.0017338+0.0019238i,-0.0015127+0.0018211i,-4.6944e-05+0.0013547i,0.00083073+0.0010432i,0.00056597+0.00037285i,-0.00024715-0.00036039i,-4.8379e-05-0.00017833i,0.00047116-2.3465e-06i,0.00037189-9.8114e-05i,0.00013653-0.00012155i,0.00021215+0.00058239i,0.00051603+0.00091208i,0.00073656+0.00038127i,0.00033258+0.00016785i,0.00048266-0.00027013i,0.00044245-0.00093678i,-7.036e-05-0.001255i,-0.00053241-0.00027402i,-0.00082337+0.00029375i,-0.00031826+0.00055525i
8.2435e-05+1.9654e-06i,0.00038539-8.3916e-06i,-2.2776e-05+0.00012578i,-0.0011629-0.00021086i,-0.00077181-0.0010981i,8.487e-05+0.00034953i,0.00052361+0.0012854i,0.00043341+0.00011227i,-0.00026201-0.00095586i,-0.00093611-0.0009243i,-0.00090116-0.00081041i,-0.00023699-0.00036984i,3.3285e-06+6.7295e-05i,-0.00041632-0.00024829i,-0.00088906-0.00023223i,-0.0013473+0.00042099i,-0.0010541+0.00076099i,-0.00063186+0.0002514i,0.00031492-0.0010078i,0.0010163-0.0013767i,0.0010724-2.1554e-05i,0.00078409+1.3281e-05i,0.00077967-0.00039448i
0.0019742+0.0022465i,0.0018492+0.0022577i,0.0018082+0.0012752i,0.0011221+0.00098548i,-9.2332e-05+0.0003764i,-0.0012087-0.00025924i,-0.0010029+7.086e-05i,-0.00019001+0.00081355i,0.00012967+0.00053658i,-0.00015375-3.8966e-06i,-0.00060193-0.0003687i,0.00033776-0.00072945i,0.001607-0.00065178i,0.0019161-0.00039684i,0.0010328-0.0006722i,0.00053737-0.00072833i,0.00081526+0.00027553i,0.00072011+0.00053525i,0.00035903+0.0006877i,0.00043704+0.00061651i,0.00033858-0.00033962i,0.00034699-0.00033752i,0.00027961-0.00036118i
-0.0001406+0.0002134i,-0.0011023+0.001026i,-0.0015127+0.00061977i,-0.0012398-0.00028i,-0.001099+0.00089069i,-0.0011083+0.0013545i,0.00025617+0.0014477i,0.00061774+0.0010908i,0.00037691+1.4259e-05i,0.00080536-6.9101e-05i,0.00062225+0.00014858i,0.00018932+0.00020781i,0.00013653+0.00037006i,-0.00069532-0.00027368i,-0.00092762-0.00055909i,-8.7359e-05-7.9963e-05i,-4.5489e-05-0.00011972i,0.00014157-0.00050702i,0.0006555-0.00032084i,0.00019253+0.00051646i,-2.8573e-05+0.00099737i,0.00086603+0.00041657i,0.0010202-0.00035017i
0.0011139+0.0020361i,0.0016382+0.0002334i,0.00042194-0.00047035i,0.00036587+0.0003363i,0.00023598+0.00053866i,-0.00060344-0.00044837i,-0.00092236-0.0010623i,-0.0012546+0.00016037i,-0.00064315+0.00079665i,0.0004408+0.00024712i,1.8014e-05-0.00031862i,-0.00041238-0.0007564i,9.3129e-05-0.00071586i,-0.00010546-0.00010491i,-0.00085305-0.00032951i,-0.0009851-0.00048758i,-0.00096877-0.00024502i,-0.00061978-0.00013576i,-7.8216e-05-0.00030486i,-0.00036176-0.00082684i,-0.00037428-0.00084068i,1.3528e-05-0.00042676i,-0.00011171-0.00026713i
2.5893e-05+0.0016649i,0.00021039+0.0028867i,0.00042942+0.0012462i,0.00051101-9.6853e-05i,0.00020993-0.00016291i,-0.00058435+0.00021907i,0.00019216+0.00032989i,0.0015084+0.00039557i,0.0012166+0.00045853i,0.00036155+0.00048138i,0.00018387+9.7459e-05i,-0.0005451-0.00047555i,-0.00065009-8.9963e-05i,0.00024969+1.8746e-06i,0.00020454-0.00018564i,0.0002927+0.00013916i,0.00027481+0.00049596i,-0.00012057+0.0006523i,0.00023987+0.00052959i,0.0010861-0.00032371i,0.001294-0.0012209i,0.00095968-0.00094244i,0.00037896+0.00021798i
0.0013334+0.00093599i,0.0020025+0.00032067i,0.0020496-0.00052769i,0.0016118-0.00031547i,0.0005275-0.0014609i,-0.00022981-0.0020063i,-0.00028745-0.00072464i,-0.0006282-0.00055164i,-0.0003792-0.00099001i,-0.00032443-0.00068203i,-0.00042251-0.00014641i,-0.00011214-0.00019118i,-0.00056328-0.00079757i,-0.0010725-0.0010092i,-0.0002935-0.0007422i,5.7816e-05-0.00051788i,-7.1566e-05-0.00016587i,-6.1923e-05-0.00065506i,-0.00052199-0.0007145i,-0.00026705-8.0666e-05i,0.00092449+0.00015731i,0.0006349-0.00014797i,0.00013856-0.000659i
0.00032359-0.00014177i,0.0011239+0.0012583i,0.0012767+0.0025776i,0.00079186+0.0022546i,0.00012856+0.001095i,-0.00061858+0.00085432i,-0.00051498+0.0014095i,0.00014456+0.0010052i,0.00073271-0.00014805i,0.0005912-0.00073296i,0.00046196-0.00079839i,0.00083094-0.00043529i,0.0013317+0.00023932i,0.00095614+0.00054732i,0.0006403-1.9908e-05i,0.00019943-0.00023377i,-0.00021986+0.00018388i,7.4731e-05+0.00030704i,0.00016054+0.00017249i,0.00040891+0.00052753i,0.00027232+0.00092909i,-0.00051102-8.4794e-05i,-0.00037666-0.00081465i
-0.001066+0.0010785i,-0.0014324+0.0016737i,-0.0011625+0.001646i,-0.00050342+0.0017219i,0.00012304+0.0008424i,9.9746e-05-0.00025002i,-0.00066968-0.00066964i,0.00018041-0.00026836i,0.00055469+0.00028136i,0.00045552+0.00012887i,0.00086101-5.706e-05i,0.00080473-0.00029844i,0.00025856-0.00014294i,-0.00015278-0.0001613i,-0.00034278-0.00066039i,-0.00033595-0.00031478i,-0.00043292-0.00014996i,-0.00045724-0.00031895i,-2.1392e-05-0.00086012i,0.00016509-0.00084029i,0.00027738+1.3765e-05i,0.0004672-0.00019823i,0.00064373-0.00027384i
-0.0019392+0.0022012i,-0.00068209+0.0016481i,0.00010134+0.0010624i,0.00011267+4.8879e-06i,0.00063893-0.0005715i,0.00091051-0.0010107i,-0.00011146-0.00074439i,0.00036578+0.00022388i,0.00099174+0.00017602i,0.00040375-0.0010889i,-0.00029107-0.00095032i,-0.0010284-0.00021536i,-0.00055621-0.00054677i,0.00070439-0.00073974i,0.00081362-0.00052779i,0.00052576-0.00011606i,0.00016953+0.00066249i,-0.00047635+0.00026435i,-0.0006289-0.00024739i,-0.0007406-0.00027286i,-0.00012012-0.00041641i,0.00045723-0.00065492i,0.00026771-0.00096466i
0.00062517-0.00017249i,0.00095911-1.8847e-05i,0.0011755-0.00034035i,0.0006484-0.00030074i,-0.00057493-0.00067131i,-0.00088262-0.00023184i,-0.00049623+0.00058901i,-0.00033025+0.00099341i,-0.00029471+0.00033916i,-0.00065508-0.00061891i,-0.00070837-0.00042633i,0.00012319-0.00060215i,0.00054123-0.00087011i,0.00066971-0.00094957i,0.00056776-0.0012374i,0.00013647-0.00086483i,-9.5814e-05+0.00010235i,6.7306e-05+0.00065469i,0.00054443+0.00034422i,0.00060337+0.00031544i,0.00034694+0.0008593i,0.0002707+0.0011929i,6.7997e-06+0.00011442i
0.0016252-0.00078443i,0.0025555-0.00048727i,0.0012472-0.00039372i,0.00015051-0.00012443i,-0.00084357+0.00030284i,-0.0015925+0.0010236i,-0.00037772+0.0017421i,0.00018479+0.0011923i,-0.00049929+0.00028494i,-0.00047848-6.61e-05i,-0.00055198-0.00018529i,-0.00073042+0.00011389i,-6.661e-05+0.00074292i,0.00095282+0.0010396i,0.00099479+0.00097331i,0.00096365+0.0002419i,0.00090223-9.3531e-06i,0.00076632+0.00056859i,0.00077778+0.00054857i,0.00044382-0.00076672i,2.6602e-05-0.00094161i,0.00013933+0.0003402i,0.00045007+0.00077837i
-0.00086272+0.0021569i,-0.00095209+0.0026057i,0.00018931+0.00162i,0.00026643+0.00045725i,-0.00021576+0.00021342i,-0.00039013+7.5085e-05i,0.00030615+0.00023606i,-3.4581e-05+0.00039846i,-0.00035233-0.0007173i,-0.00030623-0.0012158i,-7.9854e-05-0.0011272i,-0.0002781-0.00047574i,-0.00068206-0.00023675i,-0.00054331-0.00042718i,-0.00025449-0.00025051i,3.4699e-05-0.00014591i,0.00056394-0.00037631i,0.00080782-0.00049766i,0.00021364-0.00045423i,0.00037458+0.00014084i,0.00030093+0.00038069i,-5.3282e-05+0.0001219i,-9.7777e-05+0.00012113i
