-0.0018976-0.00050922i,-0.0016282+0.00042938i,-0.0019875+0.00099265i,-0.0019794+0.0013764i,-0.0020621+0.0021465i,-0.0017475+0.0021981i,-0.00054493+0.0017092i,0.00048268+0.0013121i,0.00073595+0.0012005i,0.00079971+0.0010483i,0.00022469+6.5692e-06i,-0.00012179-0.00087488i,-0.00011982-0.0010626i,-0.000429-0.00073283i,6.9971e-05-0.000257i,0.00079449+0.00017665i,0.0001415+8.2032e-05i,-0.00045427-0.00058115i,-0.00042126-0.0003i,-0.00039188-0.00045319i,5.5317e-05-0.00045322i,-0.00032315+0.00086348i,-0.00049417+0.00079529i
6.087e-05-0.00091826i,-0.00043717-0.0008609i,-0.00081091-0.00034785i,-0.0003514-1.3241e-05i,-9.9306e-06+0.00067985i,-0.00063617+0.0004886i,-0.0008281+7.3305e-05i,-0.00029023+0.00060431i,-0.00029123+0.00080577i,1.5872e-05+0.00036523i,0.00024985+7.9483e-05i,-0.00053063-4.0824e-05i,-0.000558-0.00031987i,-0.00037557-0.0011222i,-0.00035946-0.00083132i,0.00021218-0.00011121i,0.00021297-0.00035388i,0.00053445-0.00097328i,0.00068219-0.0007078i,0.00065513-0.00014897i,0.00040175+0.00056523i,-0.00057089+0.00081647i,-0.00028572+0.0003955i
0.00045795+0.001639i,0.00066859+0.0010375i,4.6528e-05+0.00059408i,5.2715e-05+0.0010883i,9.7222e-05+0.00019307i,0.00029271-0.00033607i,0.00084914+0.00093134i,-0.00026925+0.001444i,-0.00082433+0.00095255i,0.00042479+0.00051792i,0.00080229+0.00034138i,0.00042744+0.00044479i,-0.0001324+0.00022841i,-0.0006437-0.0006328i,-0.00015662-0.00063001i,0.00042169+1.9334e-05i,0.00026569+0.00034934i,-7.3104e-05+0.00015825i,-0.00085787-0.00024172i,-0.00074738-0.00066202i,0.00050956-0.00027868i,0.00084054+0.00061264i,0.00077156+0.00082521i
-0.00012503+0.0012415i,-0.0005564+0.001021i,0.00010769+0.0021053i,0.00032151+0.0026855i,0.00082001+0.0012525i,0.00095261-0.00013054i,0.00033849+0.00032065i,-0.00046244+0.00085701i,-0.00079837+0.00091907i,9.2944e-05+0.00068682i,0.001087+0.00060436i,0.0014926+0.00018266i,0.0011908-0.00044196i,0.00037895-0.0009176i,-0.00011377-0.00070683i,0.00014013-0.00010162i,6.3858e-05+0.00056204i,2.3641e-05-0.00046229i,-4.521e-05-0.00094437i,0.00015843-0.0002188i,0.00099171+0.00022608i,0.00052834+0.00027958i,6.4539e-06+4.1966e-05i
0.0016565-0.0012624i,0.000423-0.0013787i,-5.9922e-05+0.00019495i,-0.00015398+0.00071045i,-0.00044839+0.00043202i,-0.00043412+0.00084495i,6.109e-05+0.0014649i,0.00011327+0.001689i,0.00044923+0.0012934i,0.00055688+0.00084645i,0.00056945+0.00026877i,0.00069388+0.0004104i,0.00016632+0.00077676i,-0.00018433+0.00034456i,-5.6123e-06-0.00021218i,-0.00022922-0.00043936i,-0.00016024-0.00087938i,-0.0001948-0.0010052i,-0.00059166-0.00047051i,-0.00056831-3.8763e-05i,-0.00037269-0.00043746i,-0.00039515-2.3922e-05i,-0.00051649+0.00067685i
-0.0018214-0.00065661i,-0.002389-0.00035241i,-0.0022662+0.001651i,-0.00059214+0.0024i,0.00070139+0.0011827i,0.00015037+0.00040234i,-0.00098202+0.00047871i,-0.00080685+0.00056989i,-0.00031111-6.0731e-05i,0.00025938-0.00034647i,0.00095302+0.00026534i,1.4817e-05+0.00075629i,-8.7212e-05+0.00065934i,0.00013688+8.0596e-05i,0.00023116+0.00044683i,0.00061398+0.0014068i,0.00030148+0.0015191i,-0.00029957+0.0010277i,-0.00012722+0.00031493i,0.00022784+8.0364e-05i,-0.00051274+0.00040268i,-0.0006541+0.00072021i,0.00050697+0.00054578i
0.0010876+0.0022936i,0.00063713+0.002482i,0.0003894+0.0023443i,0.00050143+0.0014233i,0.00024231-0.00014267i,-0.00081655-0.00086568i,-0.00064011-0.00031663i,0.00062961+0.0011273i,0.0008728+0.0022155i,0.00044208+0.001292i,0.00021369+0.00072736i,-2.6837e-05+0.00085133i,-0.00045617+0.00017534i,2.6798e-05-0.00077687i,0.0011806-0.00014358i,0.0017221+0.00015411i,0.0016696+0.00014109i,0.00028677+0.00032472i,-0.00070076-0.00060692i,-0.00064227-0.0012364i,-0.00061229-0.00093932i,-0.0011338-0.0012347i,-0.00041143-0.001857i
-0.00041298+0.0005018i,-0.00064367+0.0013131i,-0.00096613+0.0013774i,-0.00030457+0.00076584i,-0.00040003+0.00061915i,-0.0015013+0.00058618i,-0.00097916+0.0012404i,-0.00028984+0.0016871i,0.000147+0.0013529i,0.00070886+0.00073241i,0.00034826+0.00038294i,-0.0003303+0.00016242i,-0.00030877-0.0001397i,-0.00018873+0.00016625i,-0.00028048+0.00061374i,-0.00026882+2.3991e-05i,0.000482+0.00032914i,0.001056+0.00037524i,0.00068963+0.00019147i,0.00035782+8.4947e-05i,-0.00067772-0.00020659i,-0.00123+0.00014457i,5.9366e-05+0.00085504i
-0.0002035+0.0024976i,0.00051458+0.0025935i,0.00077442+0.0024681i,0.00086998+0.0018896i,0.0015824+0.00068856i,0.0013911+0.00021354i,0.00023356+0.00099956i,0.00011465+0.001251i,3.7896e-05+0.0011853i,-2.1949e-05+0.00081924i,0.00053392+4.8533e-06i,-0.00018978-0.00027194i,-0.0011649-0.00039387i,-0.0010871+0.00025652i,0.00012645+0.00024978i,0.00061963-0.00083896i,0.00022366-0.0013312i,-0.00029789-0.001037i,-0.00080257+4.5797e-05i,-0.00070115-2.2495e-05i,-0.00034707-0.0001168i,0.00013413+0.00066008i,0.00068416+0.00062302i
-0.0012061-0.00014306i,-0.00056411+0.00012898i,-7.9569e-05+0.00070584i,-7.6507e-05+0.002047i,-0.00038446+0.0024735i,-0.00014245+0.001907i,-0.00065782+0.0018481i,-0.0011043+0.0017413i,-0.00048473+0.00070036i,-3.0987e-05+0.00018216i,-1.3035e-05+0.00027528i,-0.00017482+0.00031315i,0.0003734-7.4976e-05i,0.00038129-0.00037775i,-0.00012944-0.00039784i,2.5561e-05+0.00028895i,-4.0277e-05+0.00051801i,5.1681e-05+5.922e-05i,-0.00021194+0.00030468i,-0.00020627-1.4165e-05i,0.0001116-0.00020042i,0.00028586+0.00010687i,9.5476e-05+0.00022133i
-0.0015074+0.00085565i,-0.0018251+0.00090098i,-0.0029982+0.0020212i,-0.0017357+0.0026066i,0.00051907+0.0024445i,0.00084936+0.0010703i,0.00058159-0.00015715i,0.00025315-0.0003055i,1.415e-05+0.00012357i,-0.00012652+0.00081358i,0.00029778+0.00012337i,0.0013339-0.00069837i,0.0014948-0.00066662i,0.0010271+0.00016746i,7.1663e-05+0.00010664i,-0.00068091-0.00070891i,-0.00022149-0.00055212i,-0.00015424-8.0548e-05i,-0.00029275+0.00041132i,0.00043585-0.00010033i,8.0085e-05-0.00076504i,-0.00058383-0.00026012i,0.0003614+0.00031998i
-0.00062586-0.0019599i,-0.0023447-0.0014139i,-0.0025632-0.0012641i,-0.0019098-0.00093106i,-0.0017424-0.00045363i,-0.00070643+0.00031172i,0.00038021+0.0013156i,6.1021e-05+0.00091082i,-0.0003931+0.00045731i,0.00020519+0.00055852i,0.00058467+0.00055674i,-0.00020619+0.00069796i,-0.0002532+0.00090097i,0.00036857+0.00050062i,0.00040253+0.00058508i,0.00020521+0.0010599i,-0.00034088+0.00069803i,-0.00040682+9.6328e-05i,0.00020977+0.00019645i,0.00024778+0.00073683i,0.00022418+0.00020467i,-3.8034e-05-0.0010205i,-0.00059621-0.0018652i
0.00089188+0.00025552i,0.00020039-0.00030167i,-0.0012437+0.00071073i,-0.00029684+0.001293i,0.0014315+0.001137i,0.00082338+0.00097685i,0.0002999+0.00030342i,0.00082382+0.00081757i,0.00082056+0.00091356i,0.00029786+0.0005413i,1.8644e-05+4.2874e-06i,-1.315e-05-0.00028834i,-0.00010897-0.0002069i,2.584e-05-0.0004588i,0.00054032-0.00054848i,0.0011339-0.00066193i,0.00096275-0.00017478i,-0.0003377+0.00048876i,-0.00063344+3.8155e-05i,-0.00023868-0.00037449i,-0.00019589+0.000197i,7.5487e-06+0.00090544i,-0.00043672+0.0010972i
0.00016594+0.00094789i,0.00032892+0.0013806i,0.00048471+0.0011498i,0.0005862+0.00067205i,0.00015134+0.00041828i,-0.00093206+0.00010334i,-0.0014709+0.00050065i,-0.00085394+0.0013149i,0.00033886+0.0010618i,0.00043534+0.00039525i,-0.00034511+4.9281e-05i,-0.00060639-0.00055852i,0.00029369+0.00017473i,0.00070467+0.0007367i,-0.00010598-0.00050511i,-8.2999e-05-0.0013934i,-0.00011345-0.00094269i,-0.00042074-0.00071652i,6.8655e-05-9.6205e-05i,0.00066702+0.00072466i,0.00099884+0.0006888i,0.0012745+0.00076528i,0.00054351+0.00090371i
0.0034104-0.0022697i,0.0014311-0.0018517i,0.00023852-0.00076934i,-0.00065166-0.00039549i,-0.00092143-0.00035528i,-0.00064007-2.0571e-05i,-0.0003659+0.0018451i,8.6673e-05+0.0020819i,8.6345e-05+0.0005191i,-0.00033767-2.7539e-05i,-0.00030611+9.7175e-05i,0.00057229+0.00055109i,0.0014026+0.00031162i,0.00095236-9.7682e-05i,-0.00030229-0.000113i,-0.00061804-0.00040249i,-0.00020518-0.00036663i,-0.00046404-0.00047612i,-0.00052438-0.0011495i,-0.00058999-0.00062719i,-0.00033615-0.00034643i,0.00012878-0.00074627i,-0.00019642-0.00041235i
-0.001854+0.00039277i,-0.00077566+0.00092218i,0.00082396+0.0011659i,0.0013597+0.0011628i,0.0020609+0.00047158i,0.0017663-0.00015182i,0.000336+7.9591e-05i,-0.00020055+0.0010494i,0.00023901+0.0011081i,0.00052415+0.00056391i,0.000456+0.00039814i,0.00040243+0.00043456i,-7.8208e-05+0.00021381i,1.6188e-06-0.0003425i,-0.00016341-0.00088807i,-0.00033464-0.001395i,1.5416e-05-0.00070851i,8.5879e-05+0.0001146i,-0.00026648-0.00025086i,-9.4819e-06-0.00091577i,0.00022744-0.00042573i,0.00011884-0.00039845i,-2.7979e-05-0.00071651i
0.00070449-0.00085529i,-0.00049474-0.00046078i,-0.0018921-5.2452e-05i,-0.0019341+0.0015036i,-0.001322+0.0025328i,-0.00072334+0.0012601i,-0.00089576+0.00036707i,-0.00088371+0.00043674i,-0.00016435+0.00035324i,-6.4343e-05+0.00012456i,-0.00044798+7.5526e-05i,-0.00051023-0.00010473i,8.478e-05-0.00020037i,0.00035653+0.00019616i,5.449e-06+0.00058768i,-0.00046676+0.00014024i,-0.00032546-0.00025357i,0.0010035-0.0003122i,0.0016085-0.0012597i,0.0011644-0.0015411i,-0.00024773-0.00047345i,-0.0010178-4.1213e-07i,-7.6834e-05-0.0004251i
-0.0026191+0.0014074i,-0.0020415+0.0013405i,-0.00098451+0.0010059i,-0.00067017+3.6508e-05i,-0.00023128-0.00063294i,-0.00054611-0.00046772i,-3.1961e-05+0.00018267i,0.001025+0.0013059i,0.00069809+0.0014064i,0.00031165+0.00054002i,0.00059579+4.4114e-05i,0.00016895+0.00025608i,-0.0005452+0.00028744i,-6.1265e-05+0.00027974i,0.0006574+1.4027e-06i,0.0011857-0.00046077i,0.0013312-4.383e-06i,0.0010048-9.6319e-05i,0.00022544-0.00065836i,-0.00045614-0.00061963i,-0.00098618+0.00015713i,-0.00092754+0.00056i,-0.00050145-7.9645e-05i
0.0019648+0.0022589i,0.00017527+0.0018593i,-0.00086012+0.0017033i,-0.0010613+0.0010457i,-0.0012564+0.00049841i,-0.0012765+0.00028594i,-0.00078166+0.00090316i,-0.00034783+0.0011443i,-0.00025037+0.00084076i,-0.00019419+0.00034097i,-0.00032822-0.00046376i,2.3991e-05-0.00028116i,0.00057484+0.00023734i,9.165e-06+0.00037727i,-5.8892e-05+0.00051049i,0.00017701+0.00059856i,-8.357e-05+0.00041058i,-6.5137e-05+0.00034685i,-0.0001003+0.00039674i,0.00032415-0.00030938i,0.00085388-0.00044762i,0.00048178+0.0002427i,-0.00017831+0.00013918i
-0.0012468-9.4647e-05i,-0.00049676-0.00010682i,-0.00042524+0.0010187i,-0.00052912+0.0015662i,-0.00016402+0.00046864i,-0.00040156-0.00051409i,-0.00030848-0.000395i,0.00012554+0.00025864i,8.0182e-05+0.00012017i,0.00013683-0.00017458i,0.00027202-0.00012794i,0.00056273-8.1236e-05i,0.00054617-0.0002984i,3.4645e-05-0.00075539i,0.0001933-0.00096106i,0.0007719-0.00081467i,0.00051269-0.00015162i,0.00015866+7.7689e-05i,-0.00017208-9.6344e-05i,-0.0003846+0.00022043i,-0.00036374+0.00024553i,-0.00019074-0.00035027i,0.00030975-0.00046543i
0.002675+0.00054891i,0.0028472+0.00076816i,0.0014505+0.00077552i,0.00078892+0.00017551i,0.0013445-0.00036403i,0.0010856-0.00050058i,0.00059827+0.00042846i,0.00059256+0.0010154i,0.00083227+0.00084569i,0.00043193+0.00033026i,0.00012741-2.171e-05i,0.00017339+0.00075975i,-8.0192e-05+0.00023123i,-0.00048141-0.00097983i,-0.00053564-0.0011576i,-0.00021418-0.0004221i,9.5699e-05+0.0001228i,0.00051427+8.5526e-05i,0.00073623+0.00017592i,0.00073307-3.1819e-05i,0.00036882-8.7924e-05i,-0.00013442+0.00021531i,-0.00013556+0.00048622i
-0.00013413-0.0022655i,-0.0023513-0.0016481i,-0.0035395-0.00024431i,-0.0029542+0.0003546i,-0.0022882+0.00074533i,-0.0018312+0.00086048i,-0.0007691+0.0012313i,-0.00081498+0.0013738i,-0.00106+0.00091382i,-0.00069137+0.00053018i,-0.00072099-6.6832e-05i,-0.00065588+8.3943e-05i,-0.00034326+0.00057038i,0.0002277+3.9493e-05i,0.00035288-0.00050611i,-2.4978e-05-0.00038241i,-0.00042869-0.00046497i,-0.00025384-0.00015179i,0.00013675+0.00027754i,8.9607e-05-0.00020878i,-0.00030624-0.00084035i,-0.00054419-0.00060202i,-0.00055932+0.00013435i
0.00081993+0.0016631i,8.3309e-05+0.00039146i,-8.4594e-05+0.00055849i,0.00054279+0.00077908i,0.0010899-9.068e-05i,0.00063419-0.00051108i,0.0002636+0.0010053i,0.00039077+0.0019775i,0.00021646+0.0018844i,-0.0001399+0.0012275i,-0.0002475+0.00037869i,-0.00022345-0.00087589i,0.00031102-0.0019641i,0.000679-0.0020839i,0.0007587-0.0015143i,0.00040328-0.00068278i,0.00015197+0.00010297i,0.00042507+0.00027203i,0.00028614-0.00035511i,-0.00019321-0.0001942i,0.00017647+0.000416i,0.00090772-0.00022377i,0.00082997-0.00093524i
-0.0014125+0.0014127i,-0.0014794+0.0021362i,-0.0016302+0.0025105i,-0.0013303+0.0023222i,-0.00056538+0.00099642i,-0.00038002+0.00014179i,-0.00061919+0.00079438i,-0.00021504+0.0014251i,1.7752e-05+0.00092228i,-0.00032576+4.9609e-05i,0.00022788+0.00016299i,0.00011461+0.00041377i,-0.00041257-3.3549e-05i,-0.00046086+0.00020716i,-0.00020744-0.00012619i,-0.00046801-0.00042307i,-0.00096567-0.00042166i,-0.00064613-0.00050164i,-0.00035148-0.00064122i,0.00058234-0.00060051i,0.00074671-0.00041775i,0.0004098-0.00036799i,0.00047448-0.00010741i
0.00060484+0.00041464i,0.0015145+0.00087972i,0.0015342+0.002263i,0.002213+0.0035567i,0.0013568+0.0030732i,0.00018223+0.0013476i,-0.00038779+0.00072501i,-7.239e-05+0.00095073i,-4.2965e-05+0.00076729i,0.00042274+0.00046794i,0.0015363+2.2773e-05i,0.0008327-9.1639e-05i,-0.00022667-8.1231e-05i,-0.00029943+0.00022468i,-0.00017643+0.00041046i,-9.9361e-05-0.00025942i,4.7755e-05-0.00015415i,0.00053135+0.0002649i,0.00045339+0.00084694i,-0.00038556+0.00079304i,-0.00043437+0.00018541i,0.00011576+0.00026686i,0.00033726+0.00011087i
-0.00046206-0.00031445i,-9.131e-05+0.00046275i,0.00032073+0.0013676i,4.8597e-05+0.00069547i,0.00046798+0.00014573i,0.0016246+0.0010038i,0.0013344+0.00085426i,0.00057527+0.00028355i,0.00086398+3.7739e-05i,0.0012001-0.00020738i,0.00081734-0.00038357i,0.00050511-0.00019433i,0.00054168+0.00040386i,-0.00013577+5.206e-05i,-0.00072753-0.00043361i,-0.00068436-0.00017875i,-0.00065655-0.0005006i,-0.00070351-0.0004734i,-0.00032619+1.3706e-05i,0.0002642-0.00046209i,0.00058618-0.00042818i,0.00053053+1.6587e-05i,0.00091396+0.00025793i
-0.00016062-0.0011022i,-0.0015931-0.00096741i,-0.0017645+0.00025729i,-0.0010562+0.0010534i,-0.00054934+0.00082993i,-0.00038875+0.00074824i,-0.00059028+0.0005947i,-0.00033446+0.00074835i,0.00021008+0.0010151i,0.00029713+0.00024236i,0.00010111+0.00019282i,-0.00039764+0.0014145i,-0.00041132+0.0014662i,0.00020575-4.1812e-05i,0.0003469-0.00014626i,-0.00035285+6.6167e-05i,-0.001123-0.00058309i,-0.00068234-0.00030377i,-3.6893e-05-0.00017894i,-0.00013306-0.00068401i,-0.00026849-0.00095003i,-0.00022146-0.00075259i,0.00047112-0.00066412i
-0.0015562+0.0024948i,-0.0019338+0.0029713i,-0.00086301+0.0027122i,-0.00024874+0.0020865i,1.7673e-05+0.00088631i,0.00059716+0.00041804i,0.00026261+0.00084852i,-0.00047746+0.0010314i,-0.00062513+0.00085002i,-0.0005195+0.00025936i,-0.00055203-3.6757e-05i,-7.299e-05+0.00037761i,-0.00051494-9.3508e-05i,-0.00076403-0.00024682i,-9.0739e-05+0.00050245i,-6.0696e-06+0.00054262i,-6.5137e-05+0.00065947i,0.0001328+0.00089218i,2.6365e-05+0.00031664i,-6.362e-05-0.00031918i,0.0010645-0.00033932i,0.0013327-0.00026119i,0.00098768-0.0001221i
0.0015538+0.0014445i,0.0001288+0.0010839i,-0.00064686+0.00072952i,0.00025301+0.0013265i,0.00086483+0.0017098i,2.3068e-06+0.001442i,-0.00028439+0.0011709i,-0.00057109+0.0015502i,-0.0009254+0.0015605i,-0.00012341+0.00026275i,0.00023526-0.00027223i,-0.00041445-0.00048845i,-7.0713e-05-0.0008089i,0.00026972-0.00029047i,-6.1845e-05+0.00010924i,-0.00038083+0.00011567i,3.5054e-05-0.00048214i,0.00017732-0.00091038i,0.00011963-0.00047093i,0.00019384+0.00013444i,0.00077621+9.9955e-05i,0.0004228+0.00010912i,-0.00044638+0.00028413i
