-0.0010419-0.0024819i,-0.0019964-0.0014859i,-0.0033472-0.0026096i,-0.002654-0.0024693i,-0.0010302-0.0013058i,0.00027062-0.00041361i,0.0012228-0.00037829i,0.0012376-0.00031066i,8.9355e-05+0.0003014i,-0.00099715-0.00012519i,-0.001061-0.00012086i,-0.00010546+0.00038455i,4.9214e-05+0.00089832i,-0.00012013+0.0014256i,0.00049355+0.0017159i,0.00097405+0.0011072i,0.0009121+0.00016871i,3.092e-05-1.672e-06i,-0.00025552-0.00025831i,-0.00010251+4.606e-05i,0.00035959+0.00081514i,0.00083222+0.00063734i,0.00083794+0.00022732i
0.0013394+0.00045366i,0.00045813-0.00029342i,0.00085122-0.0012915i,0.0012832-0.0022202i,0.00042133-0.0024617i,1.2733e-05-0.0026375i,-0.00020619-0.0012954i,-0.00033286+0.00069529i,-0.00042676+0.0015511i,-0.00046179+0.0010772i,7.9575e-05+0.0002013i,0.00021851+0.00018226i,-0.0001852+0.00048253i,-0.00047386-0.0001881i,-0.00082046-0.00011543i,-0.0009061+0.00074258i,-0.00049324+0.00092641i,-0.00014521+0.00041011i,-0.00028504-0.00034065i,-8.1555e-05-0.00033267i,0.00060184-0.00023654i,0.00060952-0.00049639i,0.00019775-0.00016139i
-0.0010902-0.0021957i,-0.0018141-0.0019331i,-0.0037384-0.0018634i,-0.0043753-0.0011183i,-0.0036987+0.00033529i,-0.0019844+0.00059081i,-0.00073943+0.0001591i,-0.00070754+0.00016176i,-0.00097942+0.00038735i,-0.0012334+0.0011706i,-0.0012261+0.0013888i,-0.00058483+0.00092385i,0.0002877+0.00098542i,0.00099942+0.0010659i,0.0015819+0.001075i,0.0014166+0.00094629i,0.00078702+0.00014699i,5.9745e-05-0.00021418i,-0.0010028-0.00034012i,-0.00116-0.00019329i,-0.00021605+0.00016717i,0.00052867-0.00017373i,0.00012212-0.00044291i
-0.0026161+0.00067061i,-0.0017458+0.00029415i,-0.0028448+0.00081032i,-0.0038173+0.00080256i,-0.0028356+0.0012586i,-0.0014012+0.00051693i,-0.00096833-0.00018692i,-0.00090865-0.00020199i,-0.00048096-2.4733e-05i,0.00026367+0.00044128i,0.00020463+0.00038103i,0.00038236+0.00047821i,0.0012732+0.0005486i,0.0013396+0.00028446i,0.00075287+3.9192e-05i,0.00041128-1.3363e-05i,0.00080036-0.00031639i,0.00088588-0.00028746i,0.00035256-0.00020157i,-0.00010625-0.00061131i,-0.00040155-0.00092789i,-0.00030251-0.00032363i,0.00032287-8.2989e-05i
0.0013016-0.00065116i,-0.00030353+0.00024541i,-0.0016116+0.00080375i,-0.0017765+9.7847e-05i,-0.0010593-0.00069143i,-0.0012478-0.00046945i,-0.0015201-1.141e-05i,-0.00038516-1.3384e-05i,4.7054e-05-0.00039069i,-0.00043118-0.00093173i,-0.00067825-0.00060097i,-0.00018378-0.00016861i,0.00017966-0.00024526i,-0.00055365+0.00069493i,-0.0016262+0.00076355i,-0.0011472-2.2053e-05i,-0.00018141-0.00053171i,1.7469e-05-0.0003671i,0.00029704-0.00058679i,-5.0211e-05-0.0012751i,-0.00013646-0.0013984i,0.00076587-0.00063923i,0.00079565-0.00030418i
0.00038094-0.0006044i,-0.00055848-0.0010662i,-0.001346-0.0020825i,-0.0011935-0.0023795i,-0.0011808-0.00089023i,-0.00061507+0.00043989i,0.00056119+0.00062587i,0.00062773+0.00049403i,-0.00059131+0.00074853i,-0.0012039+0.0011505i,-0.00046655+0.0010438i,-0.00011283+0.0004579i,-0.00020967+0.00071042i,0.0001016+0.0014691i,5.4116e-05+0.0013473i,0.00046812+0.0011044i,0.00064087+0.00097325i,0.00033086-0.00020612i,0.00074388-0.00035146i,0.00061444-5.5355e-05i,-2.638e-06-0.00016484i,-2.3848e-05-0.00022445i,0.00066104-0.00043546i
-0.0011737+0.00051925i,-0.002249+0.00083301i,-0.0030759+0.0014609i,-0.0021407+0.00060012i,0.00039902-0.00098448i,0.0028569-0.00078553i,0.0025364-0.00022023i,0.00023032+0.0004228i,-0.001463+0.0007624i,-0.0016916+0.001128i,-0.0010947+0.0011773i,-0.00036242+0.0010884i,-0.00021812+0.0012404i,0.00066167+0.0011346i,0.0011052+0.0011479i,0.00080183+0.00024531i,0.00027866-0.00047191i,-2.7562e-05-0.0006358i,0.00023172-0.0001089i,0.00020881+0.00026472i,0.00025042+1.6193e-06i,2.5039e-05-2.9019e-05i,-4.7148e-05-6.3176e-05i
-0.00044973+0.00012644i,-0.00035653+0.00053221i,-0.00022532+0.00056447i,-0.00098915-0.00018038i,-0.00078671-0.0011012i,-0.00077369-0.0016301i,-0.00095808-0.0016888i,-0.0004909-0.00050172i,-0.00011694+0.0001496i,0.00049971+0.00020855i,0.00038981+0.00083519i,0.00020784+0.00119i,0.00050912+0.00076674i,9.3078e-05+0.00038601i,-0.00062322+0.00010904i,-0.0013194-0.00021682i,-0.00101-0.0002049i,-7.5607e-05-0.00073557i,-2.3684e-05-0.00080832i,-8.5344e-05-0.00031165i,0.00038769-5.4223e-05i,0.00024293+0.00020831i,0.00018974+6.2083e-05i
-0.00076183-0.0022435i,-0.0015371-0.001196i,-0.0044569-0.0016603i,-0.0052194-0.0016544i,-0.0028375-0.0022185i,-0.0011296-0.0020881i,-0.00127-0.0012278i,-0.0016653-0.00034585i,-0.00052743+2.579e-05i,-4.4684e-05-0.00026127i,-7.6312e-05+0.00010628i,0.00050576+0.00099953i,5.8667e-05+0.0012689i,0.00015303+0.0014381i,0.0010703+0.0021028i,0.00096285+0.0012158i,0.00021604-8.7442e-05i,-0.00012696+0.0001272i,-0.00020198+0.00016987i,-5.1956e-05-0.00060669i,-0.00063654-0.0012133i,-0.00066182-0.0013225i,5.9431e-05-0.001513i
-0.00098669+0.001093i,-0.00040354+0.001675i,-0.00067951+0.0025307i,-0.0016823+0.0020558i,-0.0016909+0.00083305i,-0.00094443-0.00051414i,-0.00083875-0.0013096i,-0.00064422-0.00094655i,-0.00027999+0.00012025i,4.0665e-05+0.00023127i,4.1741e-05+0.00029163i,-7.0786e-05+0.00076821i,1.9884e-05+0.0007423i,0.00076597+0.00040151i,0.00094695+0.00055213i,-5.4861e-05+0.00047332i,-0.00039221-0.0001632i,0.0004598-0.00098554i,0.0010828-0.00036525i,0.0010145+0.00014423i,0.0006912-0.0002694i,-8.2772e-05-0.00057725i,5.224e-05-0.0008507i
