-0.0032565+0.0002325i,-0.002368+0.0001057i,-0.0031872+0.00095495i,-0.0031824+0.0015039i,-0.0018758+0.0025052i,-0.00082877+0.0031607i,0.00019953+0.0027459i,0.001058+0.0027348i,0.00078727+0.001538i,0.00050855+0.00021015i,0.0009451+0.00021449i,0.0010524-0.00034851i,0.00042552-0.00089158i,7.4094e-05-0.00057518i,0.00038136-0.00014235i,-0.00012103+0.00027399i,-0.00021681+0.00068057i,0.00012047+0.00042016i,-0.00046181+0.00046092i,-0.00063752+0.00025358i,0.00041251-0.00056624i,0.00092816-0.0010916i,0.00054828-0.0010627i
0.0012697+0.0021301i,0.0024521+0.00080791i,0.0023722-0.00061215i,0.00073926-0.00051835i,-0.00047729+0.00040104i,-0.00078074+0.0010017i,0.00028798+0.0014273i,0.0007327+0.0014168i,0.00013843+0.00065497i,-0.00030704-0.00042802i,-0.0003946-0.00065329i,0.00053781-0.00010546i,0.00062998-2.9182e-05i,-0.00014696+0.00017904i,0.0003744+0.00048657i,0.00069887+0.00027424i,0.00038827+0.00020049i,0.00035567+0.00059385i,0.00033294+0.00066396i,0.00029027-0.00020085i,0.00030711-0.00049995i,0.0004289+0.00041158i,-0.00015369+0.00036396i
0.0010508+0.0014048i,0.0012187+0.00051917i,0.00079829-0.00026375i,0.00023908-0.000723i,-0.00033248-0.00029597i,-0.00045725+0.00035055i,-0.00022078+0.00099i,0.00064548+0.00061672i,0.0011121-0.00028864i,0.0004329-0.00033914i,-2.1874e-05-0.00060252i,-1.1807e-05-0.00086196i,0.00026397-0.00060542i,0.00031231-0.00023248i,-7.1079e-06-0.00044986i,-0.00014865-0.0011373i,8.1314e-05-0.00093098i,0.00042814-3.2887e-05i,0.00028557+0.00066103i,-0.00025803+0.0008112i,-6.8509e-05-0.00019194i,0.00014314-0.00062117i,0.00043953+6.443e-05i
0.0023033+0.0031013i,0.0023153+0.0024794i,0.0020149+0.00095084i,0.0020165-0.00015733i,0.0013096-9.1393e-05i,0.0010199+0.00045795i,0.001474+0.00098104i,0.001455+0.00088587i,0.00076084-0.00024995i,0.00021992-0.00072001i,-8.9389e-05-0.00037618i,-3.8208e-06+8.385e-05i,0.00010325+0.0002688i,0.00074161-0.00030708i,0.001161-0.00060615i,0.00064153-0.00045037i,0.00084177-0.00052829i,0.00082712-0.00021357i,0.00038218+0.00072262i,0.00056085+0.0010597i,0.001033+2.0581e-05i,0.001121-0.00039445i,9.2472e-05+0.00011005i
-0.0011621+0.0016076i,-0.00078361+0.0016147i,0.00016855+0.0015917i,0.0011817+0.0014351i,0.0013888+0.0013987i,0.0011466+0.0012693i,0.00010683+0.0011269i,-0.00054627+0.0011675i,-0.0006041+0.00066265i,-0.00026695+0.00041461i,0.00025735+0.00055892i,0.00022304+0.00064185i,8.4401e-05+0.00053729i,0.00040337+4.4938e-05i,7.7375e-05-0.00036768i,-0.00014075-0.00041577i,-5.9802e-05-0.00022575i,-0.00030788-0.00045915i,-4.5463e-05-0.00026769i,4.6063e-06+0.00050225i,0.00020409+0.0011564i,0.00048843+0.0013283i,0.00084755+2.4507e-05i
0.0021472+0.00070619i,0.0020276-0.00052161i,0.0014014-0.0012186i,0.00036115-0.0010118i,5.0154e-05-0.0010164i,-3.6514e-08-0.000691i,0.0002274+0.00081458i,0.0010972+0.0017234i,0.0014017+0.00042912i,0.00075064-0.00072423i,0.0002108-0.001031i,0.00032725-0.00052176i,0.00031488+0.00022668i,-2.8131e-05+0.00042636i,-0.00046565+4.4114e-05i,-0.00035915-6.3313e-05i,-0.00022515+0.00013887i,-2.5456e-06+0.00010164i,0.00033621+0.00046834i,0.00022391+0.0002287i,0.00021363-0.00018016i,0.00028601+0.00043105i,-0.00021145+0.00032585i
0.0007436+0.0043152i,0.002143+0.0032304i,0.0016671+0.002464i,5.7203e-05+0.0011169i,-0.00019135+0.00031571i,-0.00028495+0.00044434i,1.8823e-06+0.00045065i,0.00042479+0.00032806i,3.5288e-05+0.00029056i,-9.3955e-05+0.00026391i,-0.00015021-0.00029134i,-0.00026783-0.000274i,-0.00051057+2.853e-05i,-0.00052136-0.00018301i,-0.00032216-9.6269e-05i,-0.00031649+0.00076767i,-0.00015931+0.00094046i,-0.00039235-3.6993e-05i,-0.00062658+0.00044318i,-0.00068606+0.00073898i,-0.00032701+0.00031511i,-0.00072916+0.00033154i,-0.0012105+0.00010939i
0.00039467+0.0024703i,0.0005169+0.0010994i,0.00025428+0.00039006i,0.00064438+5.2821e-05i,0.00077211+2.0429e-06i,0.00062134+0.00047941i,0.00044068+0.00096975i,0.00060694+0.0011763i,0.0002535+0.0005355i,-0.00013686+0.00032492i,0.00043316+0.00061209i,0.00087622+0.00024908i,0.00050147+0.00028045i,-7.3136e-05+0.00051044i,0.00048114+0.00048644i,0.0012503-0.00012703i,0.0011659-0.00060613i,0.0010955-0.00024755i,0.0010421+0.00019393i,0.00080762+0.000535i,0.00046741+6.9355e-05i,0.00014753-0.00012854i,-5.9324e-05-9.5601e-05i
0.00012812+0.0004729i,0.0011613+0.00067812i,0.00033605+0.00065662i,-0.00055227+0.0005249i,-0.00030243+0.00095516i,-0.00030853+0.00090367i,-0.00056028+0.00025201i,0.00053734+0.00070255i,0.0011822+0.0012356i,0.00066572+0.000864i,0.0010667+0.00033734i,0.0011961-0.00034248i,0.0010469-0.00039803i,0.00047537+0.0004896i,8.3805e-05+0.0002928i,0.00052141-8.9535e-05i,0.00036964-0.00016166i,-0.00068036+0.00013845i,-0.000795-0.00013185i,-0.00018981-0.00025805i,0.00013229-0.00026191i,0.00043161-0.00031039i,-3.3313e-05+0.00040948i
0.00062661+0.0036562i,-0.00030974+0.0021082i,-0.00090329+0.00084203i,-0.00087622+0.00058064i,-0.00034212+0.00081413i,0.00028457+0.0012532i,0.00027324+0.001282i,0.00028853+0.00085299i,0.00050101+9.8234e-05i,2.2557e-06+8.4896e-05i,0.0001861+0.00030055i,0.00069419-5.8672e-05i,0.00036051-0.00091615i,0.00027732-0.00065528i,6.012e-05+3.6228e-05i,7.7273e-05-0.00026887i,0.00025231-0.0004408i,5.0193e-05-5.5692e-05i,-0.00021617+0.00014888i,-0.00060721-7.2903e-05i,-0.0004826-0.00021156i,-0.0006624+0.00033442i,-0.0012025-0.00024887i
-0.00097119+0.0028214i,0.00053344+0.0023019i,0.0014114+0.0017542i,0.0011956+6.5787e-05i,0.00018295-4.7015e-05i,-0.00031815+0.00060271i,-3.4134e-05+0.00036223i,-0.00044061-9.4827e-05i,-0.00013328-0.00014277i,-0.00013027+0.00032411i,-0.00023755+0.0010172i,0.00047643+0.0013463i,0.0010158+0.00058688i,0.00076098+0.0006736i,0.00018846+0.001079i,0.00040137+0.00053606i,0.00013295-1.2583e-05i,-8.6029e-06+0.00026717i,0.00023528+0.00063021i,0.00041613-9.8733e-05i,0.00024741-0.0013169i,-0.00038861-0.00090897i,-0.0007648+0.00038009i
-0.00073737+0.0026139i,-0.00040302+0.0010551i,-0.0012831+0.00019383i,-0.0018234+0.00065657i,-0.00077927+0.00096647i,-0.00021548+0.00078102i,-0.00089586+0.0011253i,-0.00028121+0.00087653i,0.00054884+0.00079526i,0.00028763+0.00029629i,0.00035283-0.00047939i,0.0001129-0.0007518i,-0.00042505-0.0012148i,-0.00054449-0.00089359i,-0.00057114-0.00021756i,-0.00022971+0.00068765i,0.00020351+0.00088222i,-0.00012275+0.00064277i,-8.8498e-05+0.0008351i,0.00051756-0.00017273i,0.00099775-0.0012838i,0.00066573-0.0011866i,0.0007154-0.00045186i
0.0023462+0.0011039i,0.002947-0.00021347i,0.0018822-0.001488i,-3.3964e-06-0.0012343i,-0.00084373-0.0007103i,1.2412e-05+0.0003741i,0.00032116+0.00087944i,0.00025334+0.0010055i,0.00043084+0.00096696i,-0.00011651+0.00047533i,-0.00023284+0.00010918i,-0.00028198-0.00012587i,-0.00053535-0.0005661i,-1.1128e-05-0.00057327i,0.00046177-0.00011878i,0.00024901-0.00022433i,0.00045003-0.00040728i,-0.00017745-0.00023648i,-0.00078262+0.00057418i,-0.00057284+0.0012399i,0.00020345+0.0008908i,0.00063968+0.00020583i,0.00054656+0.00015829i
0.002029+0.0014826i,0.00039612+0.0011368i,-0.00056961-5.6498e-05i,-0.00060508-0.0010467i,-0.00032071-0.0015638i,9.8942e-05-0.00078673i,0.00040828+0.00097346i,0.00051646+0.0015192i,0.00087814+0.00046266i,0.00049573-0.00023541i,-0.00033529-0.00017997i,-0.00034834-0.0001252i,-0.00038585+0.00013075i,-0.00068791-1.478e-05i,-0.00045374-0.00016421i,0.00022035+0.00016294i,0.00022415+0.00029924i,0.00022627+7.2246e-05i,0.00032584-9.9013e-05i,0.0002929+3.1491e-05i,0.00020195-9.4096e-05i,-9.194e-05-0.00034116i,9.203e-05-0.00043951i
0.00028164+0.0022671i,0.0011198+0.0012352i,0.0014475-0.00016531i,0.0010084-0.00042446i,0.00055753-0.00019722i,4.288e-05+0.00026521i,6.0535e-05+0.00014407i,0.00049007+0.00044966i,0.00033612+0.00090712i,5.2935e-05+0.00050231i,0.00036283-4.6526e-05i,0.00023852-0.00045909i,-2.8028e-05-0.00084969i,-9.7746e-05-0.00055598i,-0.00019207-0.00030599i,4.918e-05-0.00041094i,-0.00053482+0.0002424i,-0.0011024+0.00064196i,-0.00061366+0.00098131i,-3.9752e-05+0.00093119i,-0.00051952+0.00038979i,-0.00094724+0.00021817i,-0.00065745-0.00049006i
-0.00037479+0.0037345i,0.00024131+0.0025579i,0.00023393+0.00097341i,0.0010101+0.00030535i,0.0018014+0.00061361i,0.0012451+0.00089143i,0.00065697+0.0008696i,0.00012233+0.0005192i,0.00023043-0.00040027i,0.00034261-0.00012458i,-6.4583e-05+0.00024536i,0.00011046+1.2212e-05i,-0.00012427+0.00034221i,-0.00080049+0.0007119i,-0.0010039+0.00026849i,1.2983e-05-0.00075168i,-1.1375e-05-0.00079504i,-0.00057911+7.7483e-05i,-4.5522e-05+0.00053027i,0.00039964+0.00053546i,0.00026802+0.00070171i,0.00031543+0.00068833i,0.0010764+0.00024306i
0.00036187+0.0031319i,0.00084269+0.0021231i,0.0012105+0.00078184i,0.000716+0.00080863i,-0.0003135+0.0012636i,-0.00024269+0.0016664i,0.00068202+0.0018146i,0.001283+0.00091938i,0.001342+0.00046265i,0.00042011+0.00055322i,-0.0001453+0.00029802i,0.00026191+0.00083596i,4.3904e-05+0.00093928i,-0.00073212-2.2141e-05i,-0.0011042-0.00062536i,-0.00089754-0.00079804i,-0.00076103-0.00066084i,9.2856e-05-0.0005505i,0.00016192+4.6771e-05i,-0.00035678+0.00049807i,0.00022073-0.00014603i,0.00037572-0.00029913i,0.00059514-3.2195e-05i
-0.0017022+0.00025152i,-0.0017952+0.0007475i,-0.0018522+0.0014182i,-0.0019384+0.0017874i,-0.0016711+0.0019272i,-0.00046888+0.0017995i,0.00029425+0.0012001i,0.00034376+0.00072659i,0.00056757-0.00042915i,0.00089697-0.00093503i,0.00072952-0.00062977i,0.00057429-0.00074544i,0.00034234-0.00043357i,0.00066685-0.00011239i,0.0003173+0.00012452i,-0.00057768-1.7314e-05i,0.00023728-0.00098582i,0.0004153-0.0009354i,-0.00031488-0.0005789i,0.0002195-0.00068709i,0.0010269-0.00082007i,0.00050697-0.00067621i,-0.00020407-0.00049873i
-0.00058523+0.0019839i,-0.00079079+0.0012149i,-0.0017509+0.00066925i,-0.0015681+0.00042078i,-0.00019067+0.00038243i,0.00032158+0.00054444i,0.00019646+0.00086752i,0.00049866+0.0015637i,0.00091018+0.0015755i,0.00068189+0.00042275i,0.00081053-0.00044729i,0.0012441-0.00072875i,0.0013002-0.00018323i,0.00076468+0.00079393i,0.00023879+0.00013865i,8.353e-05-0.00073482i,-0.00020052+6.31e-05i,1.0685e-05+0.00080126i,0.00079322+0.00054759i,0.00051702+6.2954e-05i,-0.00040862+0.0001046i,-0.00046753+0.00029191i,-0.00025736+0.00014881i
0.0012012+0.0024241i,0.0021599+4.2052e-05i,0.0019696-0.001377i,0.0010253-0.0014057i,0.0009919-8.4748e-05i,0.0011715+0.0010476i,0.00074014+0.0015615i,0.0012677+0.0012796i,0.0019749+0.001133i,0.0013669+0.0014145i,0.00066218+0.0012863i,0.00015566+0.00028899i,0.00048958-0.00073893i,0.0006776-0.00052393i,0.00081324-0.00035869i,0.00091207-2.1606e-05i,0.00067134+0.00023764i,0.00019358+0.00017978i,1.0849e-05+4.8852e-05i,-0.00012163-5.4358e-05i,-6.1905e-05+6.0551e-05i,0.00016696-0.00029419i,-0.00016591-0.00093606i
