-0.0010084+0.00051344i,0.00033685+0.00037875i,-0.00090601+0.00063711i,-0.0017557+0.0018024i,-0.0014809+0.0034225i,-0.00017586+0.0045028i,0.00062059+0.0031938i,0.00039906+0.0016889i,0.00084642+0.0013498i,0.00063434-4.3682e-05i,0.00067253-0.00062086i,0.0011292-0.00029557i,0.00031052-0.00029137i,-0.00057559-0.00014097i,-0.00026539+0.0001676i,0.00017795+0.00043633i,0.00015989+5.0384e-05i,-0.00032196-0.0003354i,-0.00045623-0.00021834i,-0.0001241-0.00012147i,4.5543e-05-0.00012246i,0.00050208-0.00045396i,0.00052139-0.00050028i
-0.00052555-0.00042223i,-0.0011973-0.00012565i,-0.0016313+0.0016985i,-0.00098773+0.0035645i,-0.00064035+0.0042491i,-0.00026044+0.0031797i,0.00056323+0.0021734i,0.00018906+0.0017906i,5.0777e-05+0.0020485i,0.00021388+0.0014806i,0.00039953+0.00024023i,5.7198e-05-0.00071276i,-0.00068274-0.00018882i,-0.00010412+0.00067014i,0.00071265+0.00057746i,0.00049274-0.00049327i,0.00065312-0.001073i,0.00033144-4.3364e-05i,0.0001443+0.00024406i,-9.1898e-05-0.00023386i,-9.0042e-05-8.82e-05i,0.00047164+0.00012581i,0.00036394-0.00027247i
-0.00050689+0.0023987i,0.00054388+0.0010267i,0.0017087+0.00091502i,0.0017602+0.0023642i,0.0016276+0.0033643i,0.001287+0.0022831i,0.00027249+0.0014418i,-0.00028689+0.00095307i,0.00058245+0.00030712i,0.0016033-0.00045279i,0.0013047-0.00115i,0.00099005-0.00084738i,0.00057132-0.00058113i,-0.0002153+0.00029815i,-0.00012857+0.00069926i,0.00034187-0.00033747i,0.00021854-0.00042272i,0.00044444+0.00073203i,0.0010831+0.0012536i,0.00036955+0.00054194i,-0.00069302+7.9821e-05i,-0.00081248+0.00024945i,-0.00056435-0.00022033i
0.0016085+0.00059777i,0.00067277-0.0010353i,-0.0016263-0.0017784i,-0.0028303-0.0010354i,-0.002129+0.0003848i,-0.00097203+0.0015411i,0.00032598+0.001361i,-2.4586e-05+0.00045627i,-0.00044537+0.00022382i,0.00084076-0.00018313i,0.0014029-0.00054584i,0.0009866-0.00047611i,0.0012644-0.00029872i,0.0010211-0.00063776i,0.00016918-0.00063806i,-0.00021083-9.7212e-05i,7.234e-05-0.00048116i,0.00034694-0.00061387i,0.00037457-0.00042228i,0.00033483-5.0196e-07i,-8.566e-05+0.00038939i,-0.00034933-0.00028249i,-0.00018456-0.00083099i
0.00027481+0.0010253i,7.6714e-05+0.00082369i,-0.00022295+0.0015172i,-0.0017615+0.0024766i,-0.0020596+0.002652i,-0.00078167+0.0022904i,-0.00068342+0.0019042i,-0.00089296+0.0015431i,-0.00051327+0.00095569i,8.9034e-05-4.6737e-05i,0.00022668-0.00018191i,0.00064124-0.00055438i,0.0011727-0.00059838i,0.0010291-6.8013e-05i,0.00016057+6.2102e-05i,-0.00021759+0.00024797i,-0.00021947-0.00076939i,-0.00034463-0.00093747i,-4.3578e-05-0.0004296i,0.00053729-0.0010109i,0.0012474-0.00088517i,0.00076689+8.1913e-05i,6.7296e-05+7.8769e-05i
7.207e-05-0.0012869i,-0.00043209-2.9196e-05i,-0.0015921+0.00018223i,-0.0025993+0.0020852i,-0.0017953+0.0040337i,-0.00024862+0.0036162i,0.00034795+0.001246i,0.00022834+6.5835e-06i,0.00053416+0.00021461i,9.3186e-05+0.00056886i,-0.00047354+0.0011453i,-0.00058788+0.0012381i,-0.00080305+0.00060073i,-0.00030122+0.00060843i,0.00024796+0.00035512i,0.00014091-0.00057794i,-3.9519e-05-0.0009198i,-4.0888e-05-0.00059402i,-0.00055074+0.00026632i,-0.00031484+0.00043106i,0.0003784-4.878e-05i,-0.00036299+0.00039477i,-0.00019121-8.758e-05i
6.2128e-06+0.00068239i,-4.0579e-05+0.00084128i,-0.00026502+0.002257i,-0.0014881+0.0038242i,-0.0019288+0.0047297i,-0.0010017+0.0039379i,-0.0002746+0.0018202i,0.00030946+0.00050687i,0.00047405+2.9005e-06i,0.0001884-0.00067934i,9.2377e-06-0.0011671i,-0.00023494-0.001166i,-0.00068259-0.00058952i,-0.0010056-0.0003808i,-0.00040216-0.00035801i,6.9317e-05-0.0005577i,0.00034735-0.00070141i,0.00033793-0.0001809i,-0.00076694-1.4472e-05i,-0.0010786+6.8223e-05i,-1.3938e-05+8.6885e-05i,-1.6495e-07+6.2246e-05i,-0.00057686+0.00045313i
0.00043058+0.0012344i,-0.00037456+0.0018626i,-0.00093053+0.0012907i,-0.00085549+0.0015299i,-0.00046782+0.0024415i,-0.0003718+0.0019293i,-0.00026848+0.00099569i,-2.701e-05+0.0017618i,0.00091048+0.0017267i,0.0016001+3.0149e-05i,0.0007377-0.00059214i,-5.2816e-05-0.00051365i,-0.00024815-0.00056294i,-0.00063861-0.00066807i,-0.00010776-0.00077163i,0.00064841-0.00022237i,0.00045684-0.00029979i,0.00018236-0.00031181i,-0.00024976-0.00039772i,-0.00040333-0.0010018i,0.00013175-0.0010802i,0.00031866-0.00051894i,0.00019655+0.00053077i
-0.0013783+0.00036536i,-0.00090474+0.00046378i,-0.001122+0.0008641i,-0.0010728+0.0029273i,-0.00067373+0.0047566i,-0.00031726+0.0036966i,-0.00042209+0.001573i,-0.00020877+0.0009323i,-0.00012546+0.00076472i,-0.00022263+0.00057735i,-7.6915e-05+0.00012846i,0.00032525-0.00012826i,0.00072294+0.00020388i,0.00053625+0.00042175i,0.00042866+0.00053282i,1.994e-05+4.6751e-06i,-0.00026088-0.00077387i,0.00013827-0.00047802i,0.00044195-0.00017467i,0.0009831-0.00013392i,0.0011489-0.00018298i,0.00046122-0.00011289i,-0.00024824+0.00064035i
0.0022018-0.0010219i,0.00098733-0.0017207i,0.0001753-0.0014531i,-0.00078389-0.00038276i,-0.001157+0.00074908i,-0.00062807+0.001807i,-0.00010074+0.0012723i,0.00015891+0.00014198i,-0.00019711+4.3962e-05i,-0.00018025+0.00079984i,-0.0002529+0.00085341i,-0.00041687+0.00062491i,0.00018262+0.00018423i,0.00025439-0.00022907i,-0.00043742-0.00031414i,-0.00062341-0.00054838i,-2.4577e-05-0.00057042i,-0.00012287+6.4526e-06i,-0.00078636+0.00049364i,-0.00073057+0.00077433i,0.00035422+0.00061983i,0.00083638+0.00033315i,0.00030449+0.00035354i
-0.00093922+0.002986i,8.1802e-05+0.0021785i,0.0010738+0.0016477i,0.00073713+0.0032896i,0.0010013+0.0035958i,0.00053376+0.0019283i,-0.00072792+0.00090931i,-0.00092313+0.00036922i,0.00020413+0.00063476i,0.0011232-5.2305e-05i,0.00075913-0.0007872i,0.00043597-0.00079999i,0.00063505-0.00043488i,0.00065933-0.00032254i,0.00015328-0.00013888i,-0.00038063+0.0004143i,-0.00019275+0.00085701i,0.00054969+0.00077563i,5.2629e-05+0.000439i,-0.0004562-9.1286e-05i,0.00012849-0.00022962i,0.00065526-0.00028121i,0.00045581-0.00060491i
-0.00019031-0.00022267i,-0.00081143+0.00034618i,-0.0013321+0.00083185i,-0.0012172+0.0021962i,-0.0013816+0.0036666i,-0.00099927+0.0029208i,-7.9753e-05+0.001503i,-0.00070426+0.0010908i,-0.0011087+0.00029445i,-0.00034756-0.00039724i,0.00048179-0.00025762i,0.0012139+7.19e-06i,0.0015275-2.372e-05i,0.001494-0.00060655i,0.00084216-0.00056175i,0.00050913-0.00038132i,0.00040678-0.0003152i,-0.00022865-0.00017932i,-0.00018448+8.8469e-05i,-0.00030598+0.00074944i,0.00021257+0.00093773i,0.0010242+0.00047537i,0.0011176+0.00015394i
0.001315-0.00022159i,0.00015817-0.00033775i,-0.00090878-0.00023205i,-0.0018073+0.0023395i,-0.0022017+0.0052361i,-0.0007892+0.0052384i,0.00028178+0.0032264i,-0.00030629+0.0012505i,-0.00011397+0.00055816i,0.00081571+0.0006135i,0.0011217+0.00024133i,0.0011224-0.00042176i,0.00081671-0.00011452i,3.5144e-05+4.1953e-05i,-0.00064084-0.00011432i,-0.00016498+0.00029996i,0.00011017+0.00045847i,5.0287e-05+0.00025044i,1.4324e-05-0.00039915i,-0.00085826-0.00042856i,-0.00078722+0.00050508i,3.4683e-05+0.00069521i,0.00046827+0.00032118i
0.001044-0.0019317i,5.0143e-05-0.0014602i,-0.0021203-0.001073i,-0.0035004-9.0575e-05i,-0.0030297+0.0016271i,-0.0010753+0.0021305i,-0.00015621+0.0010382i,-0.00025964+0.0010868i,0.00034067+0.0010476i,0.00074909+0.00027704i,-0.00020968-0.0006178i,-1.7813e-05-0.0010065i,0.0013768-0.00046508i,0.00097828-0.00017481i,0.00031537+7.1572e-05i,0.00032787+0.00017117i,-7.156e-05+0.00027009i,-0.00027977+0.00044863i,-0.00019079+0.00016991i,-0.0005933+0.00048078i,-0.00076699+0.00052339i,0.00057025-0.00065391i,0.0011049-0.00079465i
-0.0007521+0.0018518i,-0.0011809+0.0021988i,-0.00070871+0.0016726i,-0.00016388+0.0017359i,0.00026958+0.002321i,0.0012384+0.002102i,0.00065544+0.0019212i,-0.00068846+0.0017951i,-0.00054191+0.0011011i,4.5168e-05+0.00061324i,0.00038722+0.00020175i,0.00049689-0.00074017i,0.00054781-0.0010192i,-3.4939e-05-0.00022285i,-0.000824-0.00012727i,-0.00088709-0.00042427i,-0.00034734-0.00047103i,0.00028281-2.5403e-05i,-0.00013169-0.00018186i,-0.00076886-0.0007097i,-0.0006223-0.00040816i,3.1812e-05-0.00072832i,0.00056934-0.00039926i
3.184e-05-0.00037147i,0.0006033+0.00051886i,-0.0012764+0.0014945i,-0.0019108+0.0028581i,-0.001194+0.0032957i,-6.9078e-06+0.0020346i,0.00061939-0.00023818i,0.00050238-0.0011955i,0.00077774-0.00048524i,0.0011354+0.00077754i,0.00010673+0.0017617i,-0.00035894+0.0013344i,0.00046361+0.00049233i,0.00044551-0.0002814i,0.0007413-0.00096397i,0.00076646-0.00045276i,0.00027592+4.1055e-05i,0.00026292-3.2056e-05i,-4.874e-06+0.00027227i,-0.00031006+0.00038395i,0.00082391+0.00017833i,0.0011263+0.00024092i,-5.2743e-05+0.00045834i
0.00085566+0.0015757i,0.00084372+0.0014652i,0.0006525+0.0013077i,0.00025405+0.0013344i,0.00019971+0.0022436i,-0.00088659+0.0019857i,-0.0009888+0.00059977i,9.9967e-05+0.00035088i,0.00082216+0.00106i,0.00083009+0.0010474i,0.00049341+0.00031785i,0.00040942+2.0788e-06i,0.00037229-0.00014328i,0.00017939-0.00025402i,0.00025255+6.6222e-05i,0.00062822+0.00017667i,0.0012097-0.00017121i,0.0015508-0.00057694i,0.0012101-0.00045809i,0.0012873-0.00021177i,0.0010785-0.00031794i,0.00087358-0.00059808i,0.00098125-0.00048064i
-0.00087072+0.0016952i,-0.00030576+0.0020078i,-0.0010909+0.0031569i,-0.0017432+0.0042759i,1.0642e-06+0.0048988i,0.0012756+0.0035117i,0.00028787+0.0013555i,-0.0008318+0.00048464i,-0.0003309+0.00052115i,0.00038195+0.00042547i,9.9682e-05+0.00026345i,-0.00070129+0.00013215i,-0.0014672-0.00081429i,-0.00098033-0.0009792i,-0.00046308-0.00049613i,-0.0006776+0.00010969i,-0.00057013+0.00036636i,9.8422e-05-0.00019392i,0.00030353-0.00022503i,-0.000474-0.00015981i,-0.00070488-0.00083715i,-0.00043988-0.0012042i,-0.00045213-0.00044116i
-0.0010068-0.00049511i,-0.00084247-0.000124i,-0.00074746+0.001038i,-0.00079606+0.0025096i,-0.00010677+0.0041222i,0.00057444+0.0043107i,0.0001328+0.0020801i,-0.0005864-0.00010503i,-0.00011972-0.0010459i,0.00025197-0.001095i,-0.00025094-0.00028308i,6.803e-05+0.00035537i,0.00045666+0.00046981i,0.00017559-0.00027356i,0.00011209-0.00087761i,-0.00038128-0.00058869i,-0.00035003-8.9541e-05i,0.00033315-0.00052767i,0.00065258-0.0011389i,0.00071468-0.0011885i,0.0009045-0.00084193i,0.0013782-0.00014067i,0.00088778+0.00022299i
0.00078733-0.0023434i,-0.00031681-0.0027555i,-0.0025828-0.0021109i,-0.0043887-0.00024766i,-0.0038551+0.0016003i,-0.0014062+0.0034875i,0.0004668+0.002365i,0.00079819+0.00048537i,0.00066135+0.00030549i,0.00018996+1.3938e-05i,0.00025749-0.00019247i,0.00074586-0.0003241i,0.00081491+0.00054063i,0.00025787+0.00094418i,9.0408e-05+0.00045869i,0.0011283+5.5562e-05i,0.00070427+2.9358e-05i,-0.00015266+0.00015865i,0.00037008+0.0003756i,5.8536e-06+0.00011659i,-0.00050243-0.000625i,-0.00024418-0.00041607i,0.00034432-0.00029108i
6.3528e-06-0.00083522i,0.00039021-0.00093413i,0.00011191-0.00084084i,-0.00034067+0.00035449i,-0.00092701+0.0018934i,-0.0010629+0.0019028i,-0.00022312+0.0014604i,0.00090721+0.0015814i,0.00072991+0.0012974i,0.00013232+0.00054558i,0.00036073-2.4142e-05i,0.00037974+0.00022582i,0.00019245+1.0117e-05i,0.00057251-0.00097832i,0.0011836-0.00093997i,0.00075927-0.0004109i,0.00041689-0.00058688i,0.00026041-0.00074064i,-0.00047036-0.00082757i,-0.00075974-0.00086766i,-0.0010085-0.00037846i,-0.0010141+6.191e-05i,-0.00035076-0.00013934i
-0.0015281-0.00035713i,-0.0013994-0.00017735i,-0.0016824+0.00059489i,-0.0021558+0.002395i,-0.0022312+0.0038365i,-0.0010953+0.0033947i,-0.00017109+0.0018102i,-0.00040415+0.00073856i,-0.00077184+0.0003043i,-5.5744e-05+8.7229e-05i,0.0007138-0.00077154i,0.00043295-0.0010063i,-0.00012567-0.0007047i,0.00020447-0.00074593i,0.00026672-0.00054421i,-0.00025547-0.00011862i,-0.00037834-5.4218e-05i,-0.00017307+9.1274e-05i,0.00017417+5.6207e-05i,5.3861e-05+0.00055909i,9.4197e-05+0.0007402i,0.00056125+0.00021194i,-6.5235e-05+0.00039075i
-0.00029918+0.00077233i,-0.00069167+0.00019524i,-0.0015927+0.00084553i,-0.001678+0.0023714i,-0.0012302+0.0038713i,-0.0011265+0.0032902i,-0.0010475+0.0017791i,-0.00045203+0.00026302i,7.9049e-05-0.00062625i,0.0010489-2.4038e-05i,0.00081497+0.00035051i,-0.00038247-9.0201e-05i,-0.0002909-0.00027088i,-0.00036121-0.00015602i,-0.00083856-9.481e-06i,-0.0012053-0.00022036i,-0.0014762-0.00059242i,-0.00073568-0.00060918i,-0.00040936-0.00012458i,-0.00076545-0.00046131i,-0.00031939-0.00071041i,0.00024078-5.922e-05i,0.00041957-0.00034942i
-0.00092814-0.0015357i,-0.0022258-0.00066661i,-0.0031092+0.00021907i,-0.0034113+0.0023532i,-0.0030817+0.0037625i,-0.0016999+0.0032293i,-0.00059094+0.0014973i,-0.00029204+0.0001551i,0.00013587+0.00046477i,0.0003353+0.00098062i,-0.00014686+4.0048e-05i,-0.00028722-0.00013161i,0.00037282+1.0731e-05i,0.00026684-0.00016659i,5.8086e-05-9.3832e-05i,0.00073979-0.00059823i,0.0012138-0.00074987i,0.00061557+7.2941e-05i,-0.00052336-0.00022371i,-0.00027564-7.0312e-05i,0.00074652+0.0010101i,0.00098531+0.0010189i,0.00058796+0.00015013i
0.00058586+0.0011515i,-0.00031838+0.00047767i,-0.00041971-0.00031024i,-0.00094909+2.3514e-05i,-0.0017998+0.0015848i,-0.002123+0.0022344i,-0.0010371+0.0014005i,4.1526e-06+0.00068243i,0.00049169+0.00098489i,0.00069677-7.829e-05i,0.00037757-0.0013462i,-0.00042491-0.00033984i,-0.00079368+0.00061043i,7.1786e-06+0.00047855i,0.00098018-0.00027393i,0.00063215-0.00045827i,0.00031533+0.00054189i,0.00049181+0.0011922i,0.00044956+0.0011495i,0.00069253+0.00072627i,0.0010653+0.00033695i,0.00069464+0.00097937i,0.00018403+0.00070785i
0.00031007+7.9074e-06i,-0.00011242-0.00079965i,-0.0013704-0.00053096i,-0.0017853+0.00081985i,-0.0021595+0.0023586i,-0.0020862+0.0031279i,-0.00059877+0.0020243i,0.00035333+0.00051943i,0.00013452-0.00036257i,-0.00026017+0.00032603i,-0.00022437+0.00056599i,-4.0348e-05-0.00011073i,0.00028835+0.0002185i,0.00099278+0.000749i,0.00057464+0.00021402i,0.00016724-0.00032302i,0.0002288+2.7315e-05i,-0.00026823-5.3241e-05i,-0.00053559-0.00075391i,-0.00047513-0.00079255i,-0.0010955-6.2662e-05i,-0.00068762+0.00018681i,0.00044284-0.00023692i
0.00013676+8.6042e-05i,-0.00024126+0.0012526i,-0.00090215+0.0022811i,-0.0021273+0.003006i,-0.0035206+0.0033947i,-0.0032311+0.0021058i,-0.0018342+0.00099229i,-0.00065444+0.00093018i,9.4006e-05+0.00096082i,0.00013189+0.0007713i,-0.00042188+0.00048674i,-0.00041736+0.00032603i,-0.00021289+0.00057604i,-7.9311e-05+0.00057105i,-0.00029175+1.6901e-05i,-0.00056928-0.00019952i,-0.00079456-8.7354e-05i,6.7826e-05-0.00048297i,0.00054811-0.00076489i,4.1457e-05-6.8335e-05i,4.721e-05+0.00052068i,0.00029859+0.0007683i,0.0004234-1.8577e-05i
-0.00033939+0.0015935i,-0.0013105+0.0015177i,-0.001296+0.0029887i,-3.8907e-05+0.0043319i,0.00077405+0.0040999i,0.00080874+0.0029171i,-5.1785e-05+0.0012093i,-0.001085+0.00044718i,-0.0013871+0.00023722i,-0.00056521+0.00019715i,-0.00014344+0.00040238i,0.00010695-9.0328e-05i,0.00013869-0.00081625i,-1.0847e-05-0.0008079i,-0.00020899-0.00036067i,-0.00027958-0.0009742i,0.00010958-0.00066098i,0.00015232+3.0093e-05i,-0.00036668-0.00036664i,-0.00072824-0.0003565i,-0.0010229+0.00036487i,-0.0012876+0.00050237i,-0.00060161+0.00058973i
-0.00047534+0.0010015i,-0.00035127+0.00011907i,-0.00027314+0.00024056i,-0.00081455+0.0016605i,-0.00095138+0.0028963i,-0.00037277+0.0033259i,-5.5851e-05+0.002129i,-0.00042793+0.0003707i,-0.00033613-4.3409e-05i,1.6205e-05+0.00017466i,0.00073086-0.00014214i,0.00060405-0.00042579i,0.00028602-0.00040931i,0.00078363-0.00029765i,0.00028825+0.0002491i,-0.00045111+0.00022625i,-7.8754e-05-0.00023731i,0.00049157+0.00018312i,-5.9919e-05+0.00055258i,-0.00092284+0.00041816i,-0.0005802+0.00047721i,0.00059345-0.00013141i,0.0007399-0.00070971i
