-0.0010673+0.001175i,0.0003909+0.0017477i,0.00099049+0.001014i,0.0013366-0.0004509i,0.00040137-0.0015184i,-0.00042618-8.8984e-05i,-0.00021608+0.0016421i,-0.0001032+0.0017149i,0.00016538+0.0011207i,4.7711e-05+0.00030762i,-0.00018686-0.00017132i,3.9932e-05-0.00017526i,-0.00018571-0.00069064i,-0.00025903-0.0014031i,0.0004501-0.00044991i,0.00010908+0.00083447i,1.5955e-06+0.00025973i,0.00011079-0.00023669i,0.00043509+0.00026238i,0.00056378-4.8908e-05i,6.8484e-06-0.00091441i,-0.00041278-0.00064645i,-0.00045272-0.00022119i
-0.001778+0.00038684i,-0.0015702+0.0011976i,-0.001287+0.0023102i,0.00011179+0.0024161i,0.0016845+0.0012925i,0.0022149+0.00052864i,0.0023202-0.0001944i,0.0019389-0.00093738i,0.00065614-0.0013625i,-0.00025227-0.0011938i,-0.00082941-0.0010165i,-0.00078955-0.0014894i,-0.00083914-0.0012134i,-0.00056701-0.00039401i,-9.7052e-05+0.00015079i,-0.00018313+0.00050663i,-0.00052356+0.00089938i,0.00030978+0.00023324i,0.001582-0.00019945i,0.0012491-0.00012269i,0.00059075-0.00040617i,0.00026705-0.00061189i,-0.00011365-0.00043921i
-0.0011679+0.00029407i,-0.00081945+0.0005739i,-0.00054556+0.00152i,0.00056832+0.0015499i,0.0022792+0.0020861i,0.0029556+0.001462i,0.0021675+0.00020383i,0.0010482+0.00045243i,0.00015867+0.00044298i,-0.00068756-0.00055971i,-0.00097256-0.0009799i,-0.001123-0.00035536i,-0.00071942+0.00088379i,-0.00032661+0.0015693i,-0.00040198+0.00052875i,-0.00045357+0.00014854i,0.0001263+0.00054425i,0.0010535+0.00039773i,0.0012976+0.00024802i,0.001446-0.00023564i,0.00089558-0.00034328i,-3.4321e-06+0.00042731i,-0.0003217+0.00086627i
5.6903e-05-0.00036016i,0.00064414+0.00033522i,0.00088507+0.0014961i,0.0019726+0.0032265i,0.0029574+0.0035825i,0.0030969+0.0027757i,0.0024891+0.0023445i,0.0022358+0.0015732i,0.0013277+0.00085723i,-0.00038192+0.00055209i,-0.00065082+0.00044365i,-0.00022092+5.3197e-05i,0.00022759-0.00033575i,0.00072233-0.00019492i,0.00067627-0.00021107i,0.00057472-0.00042619i,0.0005066-0.00051717i,0.00021573-0.00021313i,0.00026115-0.00079078i,0.00032938-0.00087748i,2.5092e-05+5.555e-05i,4.7018e-05+0.00038413i,0.00011645+0.00060883i
-0.0018304+0.00096866i,-0.0016436+0.0022962i,-0.0012419+0.0033147i,0.0001304+0.0027096i,0.00080304+0.0013815i,0.0006952+0.00036035i,0.00099471+0.00058881i,0.0016194+0.0010697i,0.0016178+0.0012036i,0.00096253+0.001184i,0.0011193+0.0013528i,0.0017641+0.0003613i,0.0015745-0.0007626i,-1.3361e-05-0.00079338i,-0.0012002-0.00078758i,-0.0010761-0.00038461i,-0.00067416+0.00027262i,0.00031608+0.00027159i,0.0014716+0.00044261i,0.0014799-0.00028993i,0.0007893-0.0011806i,0.00054573-0.00049331i,0.00034503+0.00010123i
0.00043842+0.0024983i,0.00085623+0.0024629i,0.0015232+0.0017183i,0.0013536+0.0011975i,0.00086159+0.00076181i,0.00093199+0.00076866i,0.0012566+0.0010556i,0.0019611+0.00025816i,0.002202-0.00063508i,0.0022889-0.00079215i,0.0022936-0.00090456i,0.0014775-0.00065929i,-7.9529e-05-0.00067724i,-0.00068557+6.8613e-06i,-0.00029689+0.00080537i,4.1669e-05+8.8838e-05i,0.00018331+7.1233e-05i,0.0005431-3.4633e-05i,0.0011272-0.00033717i,0.0011197-0.00056455i,0.0003829-0.00073953i,0.00017836-0.00033945i,1.1722e-05-0.0001326i
-0.0016658+0.0022019i,-0.0023238+0.0021601i,-0.0016452+0.0042211i,-0.00050334+0.004331i,0.00067879+0.0028348i,0.0014057+0.0015942i,0.0018933+0.00032754i,0.0022034-0.00071629i,0.0019563-0.0016934i,0.0014902-0.0020917i,0.00063553-0.0019039i,2.0323e-05-0.0018051i,-0.00020157-0.00033415i,-0.001208+0.0010623i,-0.0019097+0.0010366i,-0.0017898+0.00073066i,-0.0012252+0.0014887i,-0.00061478+0.0018849i,0.00018655+0.00056865i,0.00073948-0.00033438i,9.597e-06-0.00077368i,-0.0010983-0.00088552i,-0.00087766-0.00091371i
-0.0010732+0.0014776i,-0.0008228+0.0012631i,0.00014746+0.0018863i,0.0030169+0.002194i,0.0049845+0.0019645i,0.0038657+0.0012568i,0.0023938+8.2658e-05i,0.0015872-0.00082838i,0.00074944-0.0015535i,-1.3504e-05-0.0020965i,-0.00066115-0.0017536i,-0.00088334-0.00093435i,-0.0011355+0.00039803i,-0.0020614+0.0014214i,-0.00113+0.001288i,0.0005018+0.0017849i,0.00049601+0.0026775i,9.4431e-05+0.002148i,0.00051981+0.00072123i,0.00067294-0.00025273i,0.00018016+0.00029033i,0.00045468+0.0011383i,0.00061708+0.00099986i
0.00046123+0.00063692i,-8.1105e-05+0.001685i,0.00061326+0.0016523i,0.0021344+0.0010009i,0.0030624+0.00015767i,0.0025799+0.00019629i,0.0016906+0.00018384i,0.00073542-0.00076489i,-0.00032754-0.0013053i,-0.00087146-0.0017863i,-0.0012416-0.0012473i,-0.00083385-1.4309e-05i,0.00025301+0.001131i,0.00083076+0.0009691i,-0.00011509-2.9878e-05i,-0.00051086+1.7512e-05i,-0.00041321-5.6143e-05i,0.00055123+0.00010043i,0.0015207+0.00049949i,0.00097451-0.00011495i,0.00036326-0.00024847i,-0.00030205+9.0527e-05i,0.00022559-0.00036152i
-0.00026752-0.0016955i,0.00021523-0.001017i,-0.00087155+0.00029789i,-0.0010011+0.0010088i,-0.00032605+0.0015345i,0.00090542+0.0017877i,0.0016383+0.0015354i,0.0012562+0.0013193i,0.00035525+0.00092166i,-0.0008049+0.0008314i,-0.001192+0.00086619i,-0.00047846+0.00061531i,0.00065911-0.00011221i,0.0011741-0.00068602i,0.00099012-0.00058332i,0.00090394-0.00039116i,0.0011403-0.00049843i,0.0013118-0.00076609i,0.0009136-0.00093678i,7.7674e-05-0.00041719i,8.4349e-05-0.00027459i,0.00071964-0.00032995i,0.0010938-0.00017162i
-0.00078428-0.0016848i,-0.0010737-0.00032408i,-0.00046607+0.0020801i,-0.00052447+0.0030668i,-0.00010678+0.0023439i,0.001743+0.0015046i,0.0022666+0.0014061i,0.0016276+0.0014684i,0.00089443+0.0016508i,0.00033216+0.0018309i,0.00010713+0.001437i,0.00028083-1.5333e-05i,0.00041844-0.0012978i,0.00017996-0.0016089i,0.00028469-0.00079657i,0.00012372+0.00027913i,-0.0006045+0.00041588i,-0.00021857+0.00078225i,0.00064047+0.00014993i,0.00025571-0.00052842i,-7.2403e-05+3.7847e-05i,-9.6979e-05+8.8527e-05i,-0.00062974-0.00020656i
0.0020403+0.00034972i,0.00041955+0.00070163i,-0.00062945+0.00025462i,-0.00041243+0.0010374i,0.00056488+0.0022282i,0.00098474+0.0019496i,0.0022048+0.00093544i,0.003399+0.0005076i,0.0034943+4.4132e-05i,0.0025569-0.00038973i,0.0018567-0.00064293i,0.0017057-0.00097844i,0.00097058-0.0011343i,-0.00034047-0.00064808i,-0.00082235-0.00040979i,-0.00053988-0.0004488i,-0.0005363+4.9408e-05i,-0.00049617+0.00057855i,-0.00010145-4.2327e-05i,0.00029744-0.00010237i,0.00022661+3.6163e-05i,0.00016929-0.0003435i,0.00050777-0.00031149i
0.00050193+0.00079205i,0.00081918+0.0018073i,0.0011206+0.0024097i,0.0018274+0.0024283i,0.0020522+0.0014168i,0.0017373+0.00083228i,0.0023104+0.00021429i,0.0025475-0.0011084i,0.0023539-0.0022077i,0.002003-0.0029201i,0.00078589-0.0033482i,-0.00078082-0.0021753i,-0.0010022-3.664e-05i,-0.00044813+0.00078985i,0.00010647+0.00079435i,0.00056537+0.0019888i,0.00040687+0.0026319i,0.00061256+0.0017353i,0.0010123+0.00072878i,0.0010845+0.0002194i,0.00083645+0.00045942i,0.00064323+0.00039202i,0.00067807+0.00020486i
