0.00022553+0.00073041i,0.00027771+0.00011696i,-8.8625e-05-0.0018422i,-0.0011491-0.0023461i,-0.0013906-0.0015543i,-0.0007288-0.0014158i,0.00021768-0.0023079i,-3.1304e-05-0.0025644i,-0.00053596-0.0016273i,0.00021315-0.00060375i,0.00057094-0.00017481i,0.0007625-0.00010619i,0.0011113-1.4623e-05i,0.00078353-2.8822e-05i,0.00046253-0.00019099i,0.00017737+0.00028035i,-8.8581e-05+0.00029628i,-3.4676e-05+0.00013801i,-0.00010122+0.00037305i,-0.0005401+0.00052943i,-0.00076257+0.00056705i,-0.00015167+4.8197e-05i,0.00028469-0.00042285i
-0.00089729+0.0013323i,-0.00068859+0.00085734i,-0.0019959+0.00025262i,-0.0032995+0.00016535i,-0.0025808-0.00043553i,-0.0011674-0.00071029i,-0.0012214-0.00075836i,-0.0012527-0.00065887i,-0.00037492-0.00022435i,0.00033732-0.00054091i,0.00012252-0.0010466i,0.00038299-0.0006924i,0.00046629-0.00039073i,-0.00027853+5.8777e-05i,-0.00045167+0.00080229i,-0.00047038+0.00054219i,0.00020021-7.5887e-05i,-9.8109e-05-0.00020389i,-0.00055912-0.00019164i,-0.00021058+0.00017017i,0.00021888+0.00029019i,0.00055709-0.00012502i,0.00011111-0.00045485i
-0.00029406-0.00017467i,-0.0004441-0.00097855i,-0.00077253-0.0010705i,-0.0010374-0.00031824i,-0.00072671+0.00013154i,-0.00013569-2.2439e-05i,-0.00041119-0.00014845i,-0.00087388-0.0011994i,-0.00071012-0.00075038i,-0.00070706+0.00047462i,-0.00031322+0.000357i,0.00032426-0.0001158i,0.00051063+0.00010466i,0.00015932-0.00016783i,0.00049004-0.00060665i,0.00090076-0.0004917i,0.00033922+9.2464e-06i,-3.3676e-05+0.00050589i,9.6681e-05+0.00023909i,-0.00018795-0.00076815i,-0.0008224-0.0012924i,-0.0011212-0.00083008i,-0.00053804+0.00038029i
-0.0014095-0.0011583i,-0.0019581-0.0025012i,-0.0027246-0.0028639i,-0.0037246-0.0016217i,-0.0027556-9.0373e-05i,-0.0015343-0.00040264i,-0.0015759-0.0020728i,-0.0012112-0.0022436i,-0.00038476-0.0012398i,0.0004861-0.00059945i,0.00092656-0.0011402i,0.0012829-0.0015415i,0.0010327-0.0011498i,0.00079368-7.3778e-05i,0.0005181+0.00047039i,-8.1809e-05+0.00046491i,-0.00065155+0.00031135i,-0.00088917-0.0002071i,-0.00083526+6.1236e-06i,0.00021642+0.00091746i,0.00083247+0.00086432i,-7.7953e-05+0.00029553i,-8.843e-05+0.00076298i
0.00083461+0.00078829i,0.0015055+0.00014245i,0.00033838+9.8136e-05i,-0.00075818+0.00022864i,0.00021279+0.000344i,0.00044149-0.00075065i,-0.00016574-0.0021377i,-0.00094574-0.00096541i,-0.00048774-0.00061303i,0.00063349-0.0012601i,0.0007085-0.001002i,0.00084076-0.00050306i,0.00087002-0.00083475i,0.0012055-0.0012716i,0.001296-0.00023231i,0.00036687-0.00013918i,-0.00034589-0.0008405i,-0.00021596-8.74e-05i,0.00023467+0.00022996i,0.0003196-8.998e-05i,-0.00031014+5.9203e-05i,-0.0011597+0.00027041i,-0.001234+0.00046813i
0.00056785+0.00077422i,-0.00012386-0.00053716i,-0.0013732-0.0020598i,-0.0020666-0.0025341i,-0.0022857-0.0023933i,-0.0013845-0.0016832i,-0.0010075-0.0020403i,-0.0012664-0.0019617i,-0.0011077-0.00060762i,0.00011149+0.00051894i,0.00071767+0.00059654i,0.00060233-0.00027207i,0.00016872-0.00047847i,0.00027325+0.00020413i,0.00051846+0.00066599i,0.00028787+0.00073975i,4.3939e-05+0.00067512i,-0.00065991+0.00048473i,-0.0012382+0.00024344i,-0.0014977+8.3161e-05i,-0.0015571+0.000314i,-0.00094213+0.0012449i,-0.00019552+0.0011344i
7.158e-05+0.00085702i,-0.00096175-0.00051897i,-0.0015223-0.0023495i,-0.0025553-0.0021095i,-0.0025091-0.0010219i,-0.0019917+0.00023375i,-0.0012699+0.00018652i,-0.00056064-0.0011453i,-0.00022332-0.0013385i,0.00036618-0.0010156i,0.00076226-0.00092885i,0.00085087-0.00042863i,0.00039771+0.00026286i,-0.0002414-0.00049612i,-0.00013733-0.00073882i,-5.4225e-05-0.00071337i,-0.00061462-0.00037544i,-0.0013584-1.2758e-05i,-0.0011394+1.414e-05i,-0.00043941+0.00047758i,-0.00040834+0.00026049i,-0.00028228-0.00032121i,-0.00067476-0.00064567i
-0.00042946-0.00043204i,-0.00089154-0.00080188i,-0.0015026-0.000879i,-0.0021664-0.00035862i,-0.0017751-0.0002491i,-0.00054569-0.0002485i,-0.00063537-0.00072518i,-0.0009903-0.0019633i,5.434e-05-0.0015987i,0.00042142-0.00078745i,0.00025282-0.0011701i,0.00072609-0.0016126i,0.0010731-0.00060904i,0.0010719+0.00049234i,0.0010786+0.0004659i,0.00082447+0.00066243i,0.00042718+0.00022271i,0.00043804-0.00065693i,0.00094986-6.7298e-05i,0.00060453+0.00038646i,-0.0001037-0.00027448i,-0.00024957-0.0014548i,-0.00018096-0.0014012i
-0.00029946+0.0017463i,-0.00060234+0.00067257i,-2.785e-05+0.0002357i,0.00062039-0.001416i,0.0012112-0.0029445i,0.00016619-0.003404i,-0.0012613-0.0026794i,-0.00141-0.0019265i,-0.00062465-0.00083949i,-2.9331e-05-0.0003906i,5.4337e-05-0.00072429i,0.00029573-0.00030459i,0.00046662+0.00028449i,0.00051296-1.0596e-05i,8.0778e-05+0.00019454i,1.1004e-05+0.00065446i,0.00085892+0.00040865i,0.00087618+9.0233e-05i,0.00021584-0.000282i,-0.00036274-0.00024503i,-0.00056387-9.2978e-05i,-0.00027038+0.0003529i,-0.00024848+0.00049581i
7.6651e-05+0.00071551i,0.0001013-0.0011897i,-0.0015022-0.0020984i,-0.0031787-0.0022036i,-0.003731-0.0014191i,-0.0031428-0.0011461i,-0.0016679-0.002236i,-0.00059129-0.0022173i,-8.889e-05-0.0010038i,0.00085811-0.00057162i,0.0016576-0.0010621i,0.0018642-0.0015393i,0.0014684-0.0012691i,0.0003116-0.0010925i,-0.00022811-0.0008076i,-0.00050636-0.00045212i,-0.00053803-0.00051374i,0.0001775+2.7094e-06i,0.00034809+0.00066651i,-0.00040208-0.00021697i,-0.00049033-0.0012629i,-0.0003079-0.00086481i,-0.00023118-0.00035237i
