-0.00010872-0.00047942i,-0.00043961-0.00013004i,-0.00016997-0.00070833i,0.0010247-0.0023195i,0.00038239-0.0019838i,-0.00021823-0.00063709i,-0.0013811-0.00047446i,-0.0017814+0.00086809i,-0.00067018+0.0019247i,6.8588e-05+0.00081985i,0.00052053-0.00040769i,0.00094243-0.0001759i,0.00084564+0.00032415i,0.00043296+0.00023437i,-0.00014295-0.00025538i,-0.00091313-0.0009892i,-0.0010705-0.00077295i,0.0001334-0.00021646i,0.00038117+3.7991e-05i,-0.00036319-0.00024048i,-0.00011934-0.00061648i,0.00014433-0.00024457i,0.00036044+0.00020542i
-0.0017477-0.0013836i,-0.0016068-0.0011092i,-0.0017019-0.00068155i,-0.0009635-0.00027673i,0.00034837-0.00070509i,0.0016226-0.00085358i,0.0014426-0.00064257i,-3.2973e-05-0.00045487i,-0.00065663-0.00029728i,-0.00069775-0.00025105i,-0.00023299-0.00028551i,0.00043862-0.00022778i,0.00014936-0.00019981i,-0.00048574-0.00018576i,-0.00090069-0.00054165i,-0.0010024-0.0010758i,-0.00045585-0.00033807i,-0.00035136-4.3187e-06i,-0.00046851-0.0004641i,-0.00063775-0.00027972i,-0.00018715-1.6122e-06i,0.00040275-0.00074441i,0.0012312-0.00093215i
-0.0001569+0.00033529i,-0.0001979+0.0013704i,-0.0010686+0.001727i,0.00017054+0.00084276i,0.0022237+0.00018702i,0.0021928-0.00065959i,0.00070783-0.0012716i,-0.00055155-0.00083272i,-0.00053725-8.9545e-05i,0.00012357+0.00065783i,7.0297e-05+0.0011188i,-0.00065997+0.00046422i,-0.0005125-0.00031848i,-0.00017821-0.00051294i,-0.00052123-0.00081221i,-0.00071571-0.00026655i,-0.00010107+0.0002378i,0.00025037-0.00023396i,-3.6199e-05+9.6997e-05i,-0.00011513+0.00018484i,0.00057947-9.4513e-05i,0.00094186+7.8751e-05i,0.0004215+0.0002041i
-0.00024374+0.00033735i,-0.00036743+0.0014063i,4.6316e-05+0.0013001i,0.00083016+0.00076546i,0.00073713+0.0012702i,0.00073017+0.0015248i,0.0010043+0.00047586i,0.0004324-0.00080675i,0.00013124-0.00096715i,0.00029177-0.00033539i,-4.4899e-05+0.00081006i,-0.00014563+0.0013946i,-2.0015e-06+0.00047578i,8.3121e-05-0.00083074i,4.8768e-05-0.00067438i,-0.00023986-1.0986e-05i,0.00039115-6.7171e-05i,0.00019037-0.0001103i,-6.9015e-05-2.2898e-06i,-0.00023632+0.00014939i,2.3971e-05+0.0005765i,0.0012398-2.511e-05i,0.00076534-0.00035411i
-0.001383+0.0014815i,-0.0019505+0.0010999i,-0.0017319+0.0010492i,-0.00015844+0.00047339i,0.0012033-0.00048168i,0.0014906-0.0008951i,0.00079205-0.00045187i,0.00059599-2.6639e-05i,-3.0397e-05-4.5696e-05i,-0.0010356+0.00061131i,-0.0014307+0.00080321i,-0.00022138-0.00015023i,0.00071124-0.00044234i,-0.00044757-6.9678e-05i,-0.0013664-2.2647e-05i,-0.0010324+0.00037789i,-0.00063716+1.0483e-06i,-0.00057224-0.00072346i,-0.00037508+3.9624e-05i,-0.00018441+0.0006126i,-0.0001703+0.00065751i,0.00018193+0.00054354i,0.00038807+0.00061319i
-0.00045304-0.0018935i,-0.00052408-0.00059711i,-0.00078228+0.00014767i,-0.00054518+0.00070505i,0.00041206+0.00091649i,0.00080529+0.00046489i,0.0003467-0.00089497i,0.00048219-0.0010641i,0.00081838-0.00024076i,-1.6181e-05+7.1903e-05i,-0.00023073-5.7901e-05i,0.00065706-0.0006078i,0.0011028-0.00069369i,0.00095703-0.00065917i,0.00047857-0.00068218i,0.0003773-0.00030861i,0.00076498+4.8144e-05i,0.00056095+0.00020955i,0.00054696+9.8039e-05i,0.0003254+0.00057164i,-0.00029962+0.0010744i,-0.00032934+0.00096975i,-0.0001483+0.00039213i
0.00010218+0.00037343i,-0.00037803+0.00070488i,-0.00086165-0.00063727i,6.159e-05-0.0023079i,0.0012836-0.0021206i,0.0013165-0.0015941i,0.0010529-0.001448i,0.00022918-0.00098752i,-0.00021487-0.00076266i,-0.00011563-0.00029863i,0.00018744+0.00027812i,0.0005159+0.000435i,1.8049e-05+0.00038796i,-0.00057662+0.00025809i,-0.000413+0.00054562i,2.743e-05+0.00055786i,1.8101e-05-0.00016558i,-0.00021866-0.000123i,-0.00027763+0.00064383i,-1.2358e-05+0.0011217i,0.00061882+0.00078931i,0.00055285+0.00018039i,0.00039301-0.00029783i
-0.0010556+0.0014927i,-0.00047559+0.00032678i,0.0002938+0.00085547i,0.00063926+0.0016411i,0.0010731+0.001006i,0.001418-0.00076283i,0.0007153-0.0012342i,0.00029984-0.00031485i,0.00063364+0.00023096i,0.00051241-0.0001867i,0.0002598-0.00063644i,0.00025717-0.00054667i,0.00031843-7.9589e-06i,-3.937e-05+0.00024753i,0.00052724-0.00010077i,0.00069127-6.1225e-05i,-2.7159e-05-3.1254e-05i,0.00014876+0.00015793i,0.0003246+0.0004254i,3.8485e-06-0.00014617i,-9.8192e-05+2.4956e-05i,-0.00013081+0.001134i,-0.00044907+0.001101i
9.2624e-05-5.6414e-05i,0.00015432-0.00027825i,0.0004874-0.00079431i,0.00030239-0.00097426i,0.00025065-0.00055991i,0.00054061-0.00047608i,0.00057609-0.00052552i,0.0003535-0.00033861i,-9.0529e-05+0.00014013i,0.00014729-7.1262e-05i,0.00041498+9.8203e-05i,7.0984e-05+0.0004838i,3.1079e-05+0.00070943i,1.1263e-05+0.00033546i,-0.00055384+0.00026608i,-0.00064195+0.00061031i,-0.0003358-5.9874e-05i,-0.0010471-0.00028185i,-0.0009747-0.00052633i,1.7197e-05-0.00038344i,0.00037681+0.00020237i,0.00048577+1.5865e-05i,0.00024981-0.00043053i
-0.00037314+0.0010233i,-0.0002534+0.0013255i,0.00062634+0.00084305i,0.0011067-0.00021587i,0.00085846-0.0013153i,0.00037634-0.002016i,-0.00013553-0.0019075i,-0.00031137-0.00078924i,-0.00036299+3.4847e-05i,-9.3288e-05-0.00043048i,0.00021801-0.00071378i,-0.00026377-0.00059706i,-0.0004629-0.00075624i,-0.00033379-0.00056679i,-0.00054799+9.5783e-05i,-0.00053613-0.00012542i,-0.00046769-0.00035474i,3.2518e-05-0.00016151i,0.0005382+0.00016074i,-0.00015811+0.00025972i,-0.00083382+0.00014298i,-0.00055824+0.00021504i,-0.00022407+0.00060067i
0.00016371+0.0010978i,0.00016655+0.00031113i,0.00022886-0.0010427i,0.00033989-0.0010619i,0.00024448-0.00057916i,0.00018442-0.0008348i,-0.00034106-0.0021986i,-0.00046985-0.0015028i,-5.5224e-05-0.00017279i,-0.00022138-0.00019875i,-0.00031598-0.00050185i,6.19e-05-0.00025997i,-0.0003621-5.7328e-05i,-0.0011298-0.0001219i,-0.0018129-0.00038064i,-0.0014771-0.00010852i,-0.00088348+0.00062102i,-0.00082969+0.00020881i,-0.00044597+0.00019923i,-6.3171e-05+0.00050169i,-0.00050164+0.00044859i,-0.0012196+0.00064786i,-0.00057384+0.00057636i
-0.00105+0.00062881i,-0.00099479+0.0011194i,-0.00013008+0.0016208i,0.00027572+0.0015869i,0.00096073+0.000961i,0.0015277-0.00039912i,0.001371-0.00096203i,0.0003469-0.00040864i,-0.00054179+8.25e-05i,-0.00079352-9.6987e-05i,-0.00017192-2.5178e-05i,0.00045772+0.00019248i,0.000391+6.9324e-05i,-0.00036264-0.00040094i,-0.00045221-0.0002141i,-0.00057552+0.00044983i,-0.00076913+0.00061119i,-0.00046833+0.00084525i,-0.00062366+0.00094524i,-0.00045959+0.00041727i,6.046e-05+0.00038692i,0.00019128+0.00024371i,0.00027262+0.00063731i
-0.00080132+0.00075482i,-0.00018583+0.001367i,0.00071892+0.00052997i,0.0011811+0.00063308i,0.00058012+0.00034976i,-0.00017857-0.0015721i,-0.00029441-0.0016565i,-0.00026993-0.00087646i,-4.3787e-05-0.00031113i,0.00050639+0.00020001i,0.00067551-0.00013021i,1.8637e-05-0.00074692i,-0.00017784-0.00099953i,3.9928e-05-0.00030122i,0.00045527+0.00049759i,0.00089097+0.00040664i,0.00035087-0.00021477i,-2.4199e-05-1.9393e-05i,-3.9567e-05+0.0004281i,-0.00028417+0.00042945i,0.00030101-0.00052101i,0.00055305-0.0015801i,7.8736e-06-0.00097021i
0.0012685+0.0003111i,0.00077409-0.00036059i,0.00011167-0.0010128i,-0.00031011-0.0015875i,-0.00038926-0.0014731i,-6.4993e-05-0.0010023i,-0.00062614-0.00050898i,-0.00065614-0.00029953i,0.00022211-0.00029305i,0.00040978-3.7811e-05i,0.0005443-8.8038e-05i,0.00034349-0.00097205i,-0.00010337-0.0015645i,-0.00027413-0.0012921i,-0.00015108-0.00034695i,0.00036302-0.00021897i,0.00081989-0.00043592i,0.00013713+0.0002927i,-0.00059258+0.00068618i,-0.00032947+1.8195e-05i,0.00019871-9.7924e-05i,0.0001033+0.00028364i,-0.00038498+0.00047977i
0.0013879+0.0011791i,0.0019399+0.001262i,0.0023351+0.00057982i,0.0030918-0.0002624i,0.0031784-0.00075224i,0.0020541-0.00080132i,0.00094685-0.00011695i,1.4905e-06+0.00011517i,0.00034148-0.0003459i,0.0010599-0.0011051i,0.00094298-0.0013616i,0.00057098-2.3273e-05i,-0.00022939+0.00067521i,-0.00075783+0.00014182i,-0.00049492-0.0007331i,-0.00012271-0.00095997i,-4.1908e-05-0.00051033i,-0.00022449-0.00014266i,-0.00011572+0.00017373i,0.00015584+0.00029729i,-2.4474e-05+0.00020147i,-0.00025964+0.00027155i,-0.00052388-8.8359e-05i
-0.0017503-0.00080434i,-0.00098125-0.00075101i,5.2388e-05-0.00072563i,0.00017442-0.00052619i,-0.00084391-9.7671e-05i,-0.00085753+0.00081713i,0.00021433+0.00067352i,-1.6866e-05+0.0002962i,-0.00030276+0.00037469i,-2.1403e-05+0.00014092i,0.0003292+0.00045674i,0.00025977+0.00062574i,-0.00032233+0.00019564i,-0.00064168+6.8945e-06i,-0.00040737-7.4215e-05i,-0.00049679-0.0005774i,-0.0005761-2.3939e-05i,-0.00031663+0.00084656i,-0.00083236+0.0012088i,-0.0012765+0.00096541i,-0.0011107+0.00022786i,-0.00045456+0.0001527i,-0.00037298-0.00032166i
-0.00043235+0.00071165i,-2.666e-06+0.0009408i,0.00073982+0.0011671i,0.0011117+0.0014549i,0.001395+0.00026198i,0.00097441-0.0010715i,-0.00016755-0.00070724i,-0.00030483-4.0646e-05i,0.00025376-0.00032723i,0.00044387-0.00069382i,8.5751e-05-0.0005644i,-6.8204e-05-0.00041532i,0.00022761-0.00053987i,-0.00054162-0.00045729i,-0.00096043+0.00012132i,-0.00027685-0.00021169i,0.00025095-0.00050328i,0.00035454-4.6696e-05i,0.00035912+0.00016311i,8.9711e-05+0.00011621i,-7.7013e-05-8.567e-05i,0.00054182-0.00094455i,0.00067675-0.00080826i
0.00020183+0.00044713i,-8.4945e-05+0.00064899i,0.0013427+0.00089044i,0.0016648+0.00029388i,0.0011128-0.00085748i,0.00019467-0.001863i,-0.0006487-0.0018081i,0.00011843-0.0012814i,0.00093624-0.00034838i,0.00052389+0.00011682i,6.4612e-05+0.00039588i,-0.00037415+0.0010763i,-0.00038115-0.00010345i,-1.3179e-05-0.0016822i,-0.00012218-0.0011095i,-0.0001393+0.00032347i,0.0002258+0.00061646i,0.00051355+0.00034638i,5.746e-05-0.0001638i,-9.4202e-05-0.00025214i,0.00019361+0.00039185i,-0.00013822+0.00062642i,-9.7166e-05+0.00039751i
-0.0012763+0.00025283i,-0.00055673+0.00072508i,-0.00024692+0.0013424i,0.00023376+0.00081834i,0.00089807-0.000503i,0.0014307-0.00065717i,0.00085627-0.00049837i,-0.00042775+4.4377e-05i,-0.00028257+0.00035549i,0.00021383+1.3077e-05i,-3.8518e-05-0.00013911i,-0.00026548-8.8921e-05i,-0.00011402-0.0005459i,0.00024255-0.00077953i,0.00030106-0.00041317i,-0.00031961+0.00043862i,-0.0002082+0.00053655i,0.00044968+0.0002695i,0.00054909+0.00049842i,0.00066328+0.00020282i,4.7346e-05-1.8856e-06i,-0.00058734+0.00011264i,0.00012447-5.5482e-05i
-0.00079079-0.0015291i,-0.00020773-0.0014127i,0.0011323-0.00039831i,0.00092122-1.3789e-06i,0.00038374+0.00074567i,0.00050005+0.0011259i,-0.00011214+0.00033429i,-0.00024661-0.00089783i,-0.00010526-0.0010253i,3.2278e-05-0.0002848i,0.00028616+0.00017636i,0.0008501+0.00058333i,0.00084031+0.00019891i,0.00042785-0.00047118i,6.9558e-05-0.00028966i,1.6612e-05-0.00015482i,-0.00015481-4.1746e-06i,-0.00062679-0.00024794i,3.012e-05-0.00043557i,0.001263-0.00037516i,0.0011056+0.00015107i,0.00036085+0.00050226i,-7.2999e-05+0.00040718i
0.001047-9.2367e-05i,0.0014658-0.00018025i,0.0011062-0.00098542i,0.00049575-0.0018471i,0.00012518-0.0022742i,0.00020465-0.0016955i,0.00031371-0.0007286i,0.00010692-0.00043538i,0.00042623-0.00063011i,0.00044927-0.00053225i,0.00029131-0.00012055i,-0.00023535-0.00046635i,-0.0014427-0.00096711i,-0.0014511-0.00081948i,-0.00061908+0.00023575i,-0.00069143+0.0004604i,-0.00080642-6.675e-05i,-8.3504e-05+0.00022333i,0.00078965+0.00053654i,0.00048467+0.00040459i,-0.00022307+0.00056836i,-0.00043877+0.0011033i,-0.00055614+0.00068708i
-0.00033566+0.00092127i,0.00052055+0.0010187i,0.0015441+0.0022305i,0.0019314+0.0016339i,0.0017691+0.00043357i,0.001913+8.6058e-05i,0.0018435+0.0004273i,0.0005651+0.00068526i,-5.6636e-05+0.00099211i,-0.00033442+0.00066678i,-0.00063218-1.6417e-05i,-0.00031604+0.000381i,0.00017104+0.00049532i,-0.00027058+0.00054696i,-0.00065876+0.00072705i,9.3683e-05+0.0007103i,0.0013318+0.00034603i,0.0018065+0.0003698i,0.00092806-0.00020793i,0.00010922-0.00016867i,0.00042061+0.0004659i,0.00075997+0.00037622i,0.00072434+0.00024383i
0.00024779+0.0017243i,0.00033385+0.00083437i,0.00030538+0.00042335i,0.00087128+0.00016604i,0.00073015-0.00030722i,3.3978e-05-0.00072124i,-0.0001287-0.0010787i,-6.5364e-05-0.0010104i,-0.00047236-0.00037261i,-0.00025604+0.00075444i,0.00042669+0.0014162i,0.00021411+0.0011932i,-0.00065328+0.00042107i,-0.00069166+0.00037496i,-0.00054684+0.00025519i,-0.00065342-0.00084267i,-0.00064408-0.00057823i,-0.00018215+0.00033492i,0.0001746+0.00053411i,6.7911e-06+0.00049767i,-0.00029523+0.00046834i,-0.00039778+0.00032115i,-0.00016863-9.2534e-05i
0.00048706-0.00019392i,0.00048647-0.00035199i,0.0015534-0.00057128i,0.0026501-0.00096553i,0.0018453-0.00046867i,0.00099885-0.00012992i,0.00062617-7.9703e-05i,0.00022097-0.00018738i,0.00077553-0.00059495i,0.00085112-0.0005775i,-0.00023866-0.00013791i,4.5907e-05+0.00020841i,0.00087035-0.00012362i,0.00057463+0.00027111i,-0.00033809+0.00070018i,-0.00042417+0.00018267i,0.000118-0.00027089i,-0.00015176-0.0002699i,-0.00012444+0.00036565i,4.3622e-05+0.00086951i,-0.00020707+0.00076312i,0.00030403+0.00014874i,-7.0274e-06-6.2929e-06i
0.00077096-3.721e-05i,-0.00010078-1.0448e-06i,-0.00055493-0.00035802i,-0.00014234-0.00074085i,-4.7268e-05-0.00092828i,-0.00038352-0.00039427i,-0.0010344-0.00044351i,-0.0012002+0.00016891i,-0.00023619+0.00075971i,-0.00012117-0.00024374i,-0.00048032-0.00020932i,3.7445e-05+0.00054806i,-0.00021363+0.00048018i,-0.00062456+0.0002814i,2.2381e-05+0.00015424i,0.00014457+0.00050607i,-0.00047571+0.0010653i,-0.00080562+0.00075825i,-0.0007457-2.768e-06i,-0.00096647-0.00021784i,-0.00045768+0.00037447i,0.0002663+0.00046889i,0.00070602-0.00010626i
8.0969e-05+0.0010803i,0.00071279+0.00031505i,0.0019656+9.243e-05i,0.0022959-0.00010548i,0.0024163-0.00090219i,0.0017536-0.002322i,0.0011132-0.0017286i,0.000863+0.00022068i,0.00067444+0.00068986i,0.00014538+0.0004403i,-0.00030789+0.00045308i,-0.00032102+0.00082672i,-0.0010037+0.00016965i,-0.0009176-0.00071655i,-1.1362e-05-0.00020263i,0.00013389-1.9891e-05i,-9.7879e-07+6.0967e-05i,0.00014091+0.00066417i,0.00012735+0.00054009i,-0.00013722+1.6868e-05i,-0.00086134-0.0002911i,-0.00074571-9.5987e-05i,-0.00016176-0.00042189i
-0.0014375+0.00046542i,-0.00076098+0.0011416i,-0.00084393+0.0011308i,0.00015724+0.00029229i,0.0016878+0.00089072i,0.0017053+0.0012691i,0.0010138+0.00073725i,0.00020221+0.00019188i,2.1104e-05+7.4799e-05i,0.00018248-0.00022946i,0.00051814-0.00037704i,0.001365-0.0010001i,0.0013752-0.0011872i,5.5489e-05-0.00091849i,-0.00033995-0.00060228i,-9.1079e-05+0.00013629i,0.00010706+0.00020249i,-3.5843e-05-0.00078061i,-0.00025534-0.00092961i,-0.00011426-0.00024592i,-0.00049841+8.8534e-05i,-0.00029572+0.00023112i,7.9406e-05+0.00066859i
0.00046588+0.0010949i,0.00040211+0.0009962i,0.0010456+0.00043558i,0.0019411+0.00019882i,0.0022405-0.00027512i,0.0023926-0.00060323i,0.001145-0.00056028i,0.0004223-0.00066903i,0.00042061-4.3143e-05i,-0.00060938+0.00054756i,-0.0001234+2.6161e-05i,0.00066811-0.0009245i,0.00046211-0.0011453i,0.00077747-0.00034941i,0.00090031-0.00029145i,0.00037062-0.00042378i,-0.0001113-0.00063381i,0.0001551-0.00083306i,-2.677e-05-0.00016201i,0.00017263+2.2851e-05i,0.00059313-0.00017311i,0.00029788+0.00012477i,0.00057278-3.5449e-05i
0.0013214+0.00044197i,0.00029565-0.00026135i,2.6351e-05-0.0013418i,0.00088267-0.0023871i,0.0014386-0.0017672i,0.00066455-0.00090072i,-0.00050132-0.00084291i,-0.00018394-0.00032221i,0.00022651-9.5807e-05i,0.00062214+9.9957e-06i,0.00060823+0.00012175i,0.00019898+0.00039167i,-0.00010785+0.00056633i,-0.00089609+0.00016777i,-0.0014026-0.000176i,-0.0014294-0.00019138i,-0.001483-0.00051697i,-0.00086952-0.00053185i,-0.00029461-0.00020362i,4.9936e-05-0.00010904i,0.00031764-0.0002372i,4.2541e-05-0.00036632i,0.00022341-0.00020296i
