0.0018385-0.00030666i,0.0010809-0.0017392i,0.00070999-0.0027689i,-0.00058606-0.0024059i,-0.0016518-0.00085546i,-0.0016093+0.00020609i,-0.00085315+0.00016752i,0.00049648+0.00048767i,0.00053067+9.1818e-05i,-0.00014251-0.00025145i,-7.3719e-05+9.215e-05i,5.097e-05-0.00043178i,-9.9332e-05-0.0012641i,0.00020752-0.00063014i,0.00043968-0.00012813i,-0.00023665-0.00026635i,-0.00061043-0.00076882i,-0.0004226-0.00063913i,-0.00052829+0.0003027i,-0.00057696+0.00059437i,-0.00011266-6.5317e-05i,0.00033823+0.00028974i,0.00034738+0.00075033i
-1.9482e-05+0.0015394i,-3.1701e-05+0.0010957i,0.0014127+0.00059555i,0.0018758-0.00030995i,0.00083525-0.0014941i,0.00025769-0.0017479i,-0.00014613-0.0016428i,-0.00086045-0.002278i,-0.00055689-0.0029353i,-0.00019307-0.0020763i,0.00047092-0.00085921i,0.00093094-0.00063546i,0.0011437-0.00033609i,0.0012985+0.00017975i,0.0005421+0.0014685i,-0.00047045+0.0019288i,-0.00094453+0.00060195i,-0.00093007-0.00025143i,-0.0010414+0.00046224i,-0.00055165+0.00091991i,-9.0407e-05+0.00050995i,8.4392e-05+0.00063624i,0.00010254+0.00066525i
0.00022282-0.00039638i,0.00064374-0.00013671i,0.00092696-0.00033177i,0.00049753+0.00037942i,-0.00040243+0.00030344i,-0.00041613-7.7575e-06i,-0.00027719-0.00098183i,-0.00095077-0.0021887i,-0.0013798-0.002053i,-0.0011634-0.0013659i,-0.00082895-0.00075171i,-3.3804e-05+0.00041555i,0.00056976+0.00015166i,0.00077498-0.0010309i,0.00071625-0.00064946i,0.00038562+0.00013629i,-1.1609e-05+0.00015638i,-2.6193e-05+0.00094944i,-0.00047901+0.001432i,-0.00048999+0.00094391i,-0.0008234+0.00026764i,-0.00084096+0.00024642i,0.00062994+0.0002619i
-0.00033741+0.00058609i,0.00021186+9.6669e-05i,0.00034285+0.0009146i,-0.00035728-0.00036155i,-0.0001661-0.0016568i,0.00014341-0.0021392i,-0.00015546-0.0019614i,0.00062914-0.0019546i,0.00054545-0.0013672i,-0.00081453-0.00077891i,-0.00088624-0.0010925i,2.6343e-05-0.00059484i,0.00032689-0.0010372i,-0.00028072-0.0016114i,-0.00061457-0.0014205i,-0.00032558-0.00067493i,-0.00073999-0.00031239i,-0.00043167-0.0003674i,0.00037745+0.00013387i,0.0001353+0.00047608i,0.00040111+0.0006119i,0.00078739+0.0007995i,1.2143e-05+0.00027838i
0.00027274-0.0001818i,0.0011085+5.0324e-05i,0.00077146+0.00023311i,0.00079061-0.00057506i,0.00052844-0.0015646i,-0.00016876-0.0018201i,-0.0013082-0.0018462i,-0.0016582-0.0017747i,-0.0011747-0.0010244i,-0.00041986-0.00037657i,8.163e-05-0.00011309i,0.00076116-0.0003257i,0.0015189-0.00069843i,0.00063838-0.00065897i,0.00026585-0.0003105i,0.00013255-0.00041076i,0.00017219-0.00032475i,-0.00015224+0.00031376i,-0.00050572+0.00066223i,0.00029759+0.00049695i,0.00048371-0.00027458i,-3.5395e-05-0.00049952i,-0.00036569+0.00056844i
0.0023052+0.00045674i,0.0016328+0.00039643i,0.00041529-0.0007845i,-0.00085309-0.0017206i,-0.001901-0.0016855i,-0.0022967-0.0015463i,-0.0018513-0.0011415i,-0.0011178-0.0011518i,-0.00078631-0.0019668i,-0.0003706-0.0016182i,0.00045872-5.6345e-05i,0.00038661+0.000182i,0.00036001+0.00026919i,0.00050447+0.00044025i,2.0576e-05+8.1712e-05i,-0.0002837-6.681e-05i,-5.0747e-05-7.0646e-05i,0.00024163+0.00022391i,0.00029352+0.00014137i,0.00033889-0.00024313i,-0.00019245-4.9509e-05i,-0.00091077-0.00023301i,-0.0003601-0.00040469i
-0.00064486-0.00014167i,-0.001166+0.00052568i,-0.0008724+0.00044897i,-7.4698e-05+0.00047183i,0.00030344+0.00014913i,0.00016401-0.00011156i,0.00046206-0.00076182i,0.00066919-0.0013005i,-4.8515e-05-0.0015526i,-0.00010063-0.0016559i,-0.00011793-0.00039896i,-0.00011731+0.00066095i,7.6897e-05+0.00018253i,0.00013523+0.0001381i,0.00054459+0.00046165i,0.0008643+0.00014156i,0.00048161-0.00032477i,-7.735e-05+0.00022245i,5.3148e-05+0.00071977i,0.00047352+0.00081792i,0.00062471+0.00069879i,0.00063694-0.00051145i,0.00044423-0.00046828i
0.00058122+0.00027862i,0.00044376-0.00046754i,0.00053126-0.0019513i,-0.00036986-0.002056i,-0.001263-0.0015655i,-0.0011118-0.0017718i,-0.00062615-0.0017547i,-0.0010766-0.0016757i,-0.0011413-0.00095407i,-0.00094385-0.00046137i,-0.00097154-0.00056022i,-4.3628e-05-0.00038717i,0.00043701+0.00017655i,-0.00014549-2.1304e-05i,-0.00069689-0.0010116i,0.00021595-0.00134i,0.00091415-0.00066477i,0.00063906-0.00045583i,0.00012031+0.00032003i,-0.00060863+0.0011101i,-0.00034029+0.00054236i,8.6248e-06+0.00017685i,-6.046e-05+0.00041524i
0.00022335-0.0016629i,0.0008449-0.00084476i,-0.00010146-0.0016149i,-0.0015334-0.0018081i,-0.0019542-0.0010829i,-0.0020689-0.0013974i,-0.0014975-0.0010295i,-0.0012545-0.0011665i,-0.0015892-0.0023017i,-0.0013454-0.0020837i,-0.00088179-0.0013383i,-0.00077074-0.00079684i,-0.00033766-0.00011754i,0.00016131-0.0001678i,-0.00042178+0.00024106i,-0.00054224+0.00047127i,-2.3762e-05+0.00020427i,0.00021447+0.00035327i,0.00014114+0.0010177i,-0.00031232+0.0010175i,-6.2498e-05+0.00076935i,0.00050546+0.0013214i,0.00063898+0.0012936i
-0.00077055-0.0015234i,-0.00022618-0.0018484i,-0.00041389-0.0027365i,-0.0012537-0.0020942i,-0.0015825-0.0014089i,-0.00097373-0.0016801i,-0.00093011-0.0019783i,-0.001371-0.0017759i,-0.0013035-0.0013507i,-0.00078209-0.0002548i,-0.00021039+0.00065709i,0.0005716+0.00093677i,0.00029668+0.00046637i,-0.00043707-0.00028174i,-0.00071616-0.0003042i,-0.00057316-0.00012847i,-0.00033865+0.0004147i,-0.00060481+0.0001928i,-0.00069985-2.836e-05i,-0.00067887+0.00028886i,-0.0011298+0.00044407i,-0.00028432+0.00043985i,0.00066183+0.00037183i
1.5243e-05-0.0017481i,0.00051133-0.00071124i,-0.00025368-0.00042446i,-0.001342-0.00049568i,-0.0012703-0.0008152i,-0.001144-0.00098803i,-0.0011325-0.00084191i,-0.0016097-0.0009108i,-0.0015861-0.0015853i,-0.00065081-0.001086i,-0.00037993-6.0173e-05i,-0.00032595-0.00012205i,-0.00014744+1.3766e-05i,-0.00075973+0.00043455i,-0.0012884+9.2752e-05i,-0.0010349-0.00010901i,-0.00095556-0.0006176i,-0.00097278-0.0015016i,-0.00087042-0.0010981i,-0.0004405-0.00016191i,-2.1181e-05+0.00015107i,0.00098173-0.00017869i,0.0010997-0.00081239i
