0.0018385-0.00030666i,0.0010809-0.0017392i,0.00070999-0.0027689i,-0.00058606-0.0024059i,-0.0016518-0.00085546i,-0.0016093+0.00020609i,-0.00085315+0.00016752i,0.00049648+0.00048767i,0.00053067+9.1818e-05i,-0.00014251-0.00025145i,-7.3719e-05+9.215e-05i,5.097e-05-0.00043178i,-9.9332e-05-0.0012641i,0.00020752-0.00063014i,0.00043968-0.00012813i,-0.00023665-0.00026635i,-0.00061043-0.00076882i,-0.0004226-0.00063913i,-0.00052829+0.0003027i,-0.00057696+0.00059437i,-0.00011266-6.5317e-05i,0.00033823+0.00028974i,0.00034738+0.00075033i
-0.00098953+0.00025333i,-0.0009573-0.0009647i,-0.0011425-0.0018578i,-0.00095753-0.0015022i,-0.0011663-0.00096091i,-0.00093575-0.00085819i,3.4787e-05-0.00058532i,0.00083565-0.00044789i,0.00023239-0.0011701i,0.00013162-0.0013665i,0.00050696-0.00059711i,0.00062059-0.00061192i,0.00081435-0.0003345i,2.0426e-05-0.00029739i,-0.00027861-0.00054123i,-0.00064055-0.00090201i,-0.00034273-0.00092824i,0.00018691+0.00087777i,-0.00046182+0.0017527i,-0.00064989+0.00091596i,-0.00023334-0.00013087i,-0.0001433+0.00027491i,-2.3303e-05+0.0011241i
-0.001112-0.0017872i,-0.00056228-0.0015119i,-0.001093-0.00067531i,-0.0021596-0.00047929i,-0.0019893-0.0015036i,-0.001248-0.0022986i,-0.0012387-0.00095031i,-0.00069928-0.00038984i,-0.00039815-0.001191i,-0.00067415-0.0011205i,-0.00030302-0.00027052i,-0.00017191-0.00035618i,0.00027371-0.00017392i,0.001123+0.0007071i,0.0012409+0.0012887i,0.0008825+0.00096255i,0.00069966+0.00036153i,3.4894e-05-7.7005e-05i,-0.00078401-5.7949e-05i,-0.00042052-3.4634e-06i,0.00010221+0.00012262i,0.00042107+0.00029899i,0.0007954+0.0006023i
-0.00042196+0.0014078i,0.00024489+0.00098703i,0.00025747+0.001142i,0.00093994+0.00013309i,0.0018093-0.001205i,0.0012907-0.0023061i,-0.00029092-0.0026828i,-0.0010118-0.0024208i,-0.00047404-0.0017505i,2.3568e-05-0.000935i,0.00032694-0.00038079i,0.00049745+0.00016036i,0.00090362-0.00011634i,0.00099573-0.00055908i,0.0003395-0.00054552i,-0.00014971-0.00072478i,-0.00029708-0.00055272i,-0.00079708-0.00032167i,-0.0013628-0.00029574i,-0.00081157+0.00045995i,0.0002028+0.0013503i,0.00070475+0.00067513i,0.00084017-0.0003015i
-0.00013315-0.00037605i,-0.00041772-0.00029835i,-0.00082609-0.00091244i,-0.00039518-0.0013081i,-0.00032841-0.0013745i,-0.00057394-0.0013808i,-0.00022903-0.0018904i,-0.00034333-0.002056i,-0.00081859-0.0020264i,-0.00089722-0.00141i,-0.00080072-0.00049682i,-0.00028428+0.00021617i,0.00043031+0.00038934i,0.00071559-0.00028604i,0.00022967-0.00058952i,5.8163e-05-0.00061846i,0.00055269-0.0007358i,0.00040613-8.8922e-06i,-0.00026167+0.00032493i,-0.00062066+0.00029939i,-0.00097143+0.00071754i,-0.00041193+0.00091223i,0.00052911+0.00044488i
0.00040428-0.0010785i,0.00052893-0.00025172i,-0.00061011-0.00067036i,-0.00065529-0.0019389i,-2.9489e-06-0.0021961i,0.00022541-0.0019987i,-0.00078912-0.0018236i,-0.00099811-0.0019209i,0.00026588-0.0024168i,0.00054672-0.0023574i,4.5669e-05-0.0014329i,-0.00055273-0.00053807i,-0.00062735-0.0003603i,-0.00037411-0.00054777i,5.1566e-05-0.00077039i,0.00082146-0.00025396i,0.00055046+0.00020103i,-0.00058334-0.00023989i,-0.0010815-0.00071248i,-0.00013897-0.00032348i,0.00090949+0.00013166i,0.00039833-0.00013664i,-0.00023317-0.00072523i
-0.0012384-0.0004315i,-9.736e-05+0.00011954i,-0.00024278+0.00046629i,-0.0013735-0.00042827i,-0.0015729-0.0021215i,-0.0014322-0.0026775i,-0.0012836-0.0019105i,-0.0011025-0.0016797i,-0.00021301-0.0018192i,0.00058135-0.0014924i,0.00010431-0.0017464i,-8.1824e-05-0.0017418i,0.00041812-0.00058978i,0.00030322+7.076e-05i,0.00024256-4.4443e-05i,0.00019507-0.00018306i,0.00033243-0.00039574i,0.00073951-0.00046348i,0.00019132-0.00069621i,-0.00033302-0.00030195i,0.00018378+0.00081867i,0.00042203+0.00030608i,0.00026789-0.00046189i
-0.0012848-0.00091435i,-0.0012345-0.00037334i,-0.0013357+0.00039538i,-0.00031681-0.00012674i,0.00081403-0.0011301i,0.0012267-0.0013536i,0.00082869-0.0017265i,0.00036873-0.0025809i,-0.00028382-0.002709i,-0.0003293-0.0022064i,0.00016824-0.001465i,0.00036085-0.0011636i,0.00067777-0.00067667i,0.0012828-0.00054673i,0.0008684-0.0007225i,-0.00032504-0.00042894i,-0.00099441-0.00074683i,-0.00071362-0.00088984i,0.00017696-0.00011555i,0.00095772+0.00050916i,0.00092568+0.00049039i,0.00023945+0.00013861i,0.00028096-0.00017851i
0.0025975-0.0017686i,0.001954-0.0029041i,0.0015687-0.004201i,0.00030668-0.0040835i,-0.0008441-0.0026025i,-0.00092469-0.001512i,-0.00064327-0.0018056i,0.00025766-0.0021914i,0.00046784-0.0021603i,-0.00076294-0.0011453i,-0.001831-0.00027705i,-0.0011421+0.00011351i,-0.0001257+1.3531e-05i,0.00040753-0.0003076i,0.00044865-0.0001357i,0.0001946-0.0001121i,-0.0001331+0.00065989i,0.00018723+0.00062539i,2.6092e-05+0.00034667i,-0.0007245+0.00067969i,0.00033809+0.00049781i,0.0012332+0.00032243i,0.00099974+0.00029742i
0.00040977+0.0015618i,0.00033805+0.0013444i,0.0010502+0.00053872i,0.00032763-0.00062342i,-0.00076404-0.0022476i,-0.0010175-0.0031717i,0.00012474-0.0020664i,0.00093601-0.001485i,0.00094804-0.0015147i,1.2849e-05-0.00099592i,-0.00037961-0.00053952i,0.00020765-0.00032724i,0.00056466-0.000914i,-4.545e-05-0.0011768i,-0.00089775-0.00022273i,-0.00097356+0.00013934i,-0.00043149+5.5634e-05i,-0.00072788-0.00055277i,-0.00071398-0.0009124i,0.00037607+0.00017822i,0.00060787+0.00096415i,0.00018348+0.00074896i,-0.0004963+0.00083441i
-0.00083299+0.0022847i,-0.00011131+0.0019596i,0.00071067+0.0012083i,0.00087849+0.00031643i,0.001129-0.00028217i,0.00099971-0.0021504i,-0.00022855-0.0025144i,-0.0016901-0.0012943i,-0.0015705-0.0011183i,-0.00076884-0.00095453i,-0.0002027-0.00022496i,0.00035729-0.00036879i,9.6401e-05-0.00055593i,-0.00026829-0.00038024i,-8.7618e-05-0.0001655i,-0.0002484-0.00018786i,-0.00079757-0.00068544i,-0.0010382-0.00041523i,-0.00063287+0.0007701i,-9.9368e-05+0.0016307i,-4.5866e-05+0.0015471i,-0.00024991+0.00074934i,-0.00050638+0.00026384i
0.0022365+0.0018648i,0.001593+0.00098018i,0.0013855-0.00029247i,0.00012831-0.00088377i,-0.00096724-0.0016023i,-0.00039941-0.0022636i,0.000212-0.0025528i,0.00010814-0.0023536i,0.00022499-0.0020112i,-0.00031563-0.0019399i,-0.0010434-0.0018999i,-0.0012813-0.0017855i,-0.00060442-0.0012161i,6.5972e-05+0.00013311i,-0.00040286+0.00076402i,-0.00060182+0.0007605i,1.7447e-05+0.00092656i,0.00060503+0.00055259i,0.00020164+0.00055589i,0.00010131+0.00021673i,0.00062903-0.00039854i,0.00067626-0.00087759i,0.00048642-0.00043774i
-0.00065089+0.00022547i,-1.6198e-05+0.0013982i,0.00066005+0.0008969i,0.0014552-0.00029766i,0.00045216-0.00087581i,-0.0004959-0.0013633i,-0.00026898-0.0015392i,0.00016527-0.0020614i,0.00025917-0.0025308i,5.2154e-05-0.00094881i,1.863e-06+0.00025003i,0.00036453+0.00073371i,0.00088922+0.00065925i,0.0011035-9.0748e-05i,0.00075498-0.00012367i,0.00039303+0.0002349i,-0.00027493+0.00054834i,-0.00094932+0.00055529i,-0.0010909+0.00064837i,-0.0011326+0.001022i,-0.00091978+0.0010536i,0.00015565+0.00068567i,2.0329e-05+0.00082203i
0.0016808-0.000204i,0.0016081+0.00010264i,0.0014047-0.00043849i,-0.00013139-0.0019959i,-0.0014539-0.002423i,-0.0017569-0.0013667i,-0.0012039-0.00092839i,-0.00035119-0.00097792i,7.0166e-05-0.00092822i,-0.0007533-0.001212i,-0.0013915-0.0020083i,-0.0002782-0.0013212i,0.00016593-0.00036142i,-2.3056e-05+0.00044367i,0.00010995+0.00048121i,0.00027882+4.8395e-05i,-0.0001088-0.00028449i,-0.00024779+0.00029667i,-0.00051397+0.00082178i,-0.00053518+0.00033464i,-0.00066832+0.00028654i,-0.0005801+0.00023577i,0.00033888-0.00033332i
0.0014049+0.0010915i,0.00082444+0.00026144i,0.00083908-0.00083251i,0.00082968-0.0016202i,0.0001511-0.0027067i,-1.8616e-05-0.0027474i,0.00013131-0.0017872i,0.00052575-0.0017485i,0.00044933-0.0023381i,-0.00014361-0.0025234i,-0.00056912-0.0013015i,-0.00024576+0.00013844i,0.0011623+0.00081394i,0.0015201+1.7454e-05i,0.00094235-0.0010426i,0.00069974-0.00097992i,0.00041189-0.00053872i,0.00041337-0.00013785i,0.0002762-3.3682e-05i,-0.00048209-0.00034298i,-0.0011437-0.00039402i,-0.0008159-0.00051915i,2.866e-05-0.00071617i
-0.00033602+0.00047613i,8.7972e-06+0.00091898i,-5.4953e-05-0.00078702i,0.00023099-0.0027178i,-1.6398e-05-0.0031464i,-0.00049901-0.0025761i,-0.00099859-0.0012523i,-0.00024703-0.000551i,0.00067292-0.0015394i,-0.0002895-0.0022931i,-0.0011792-0.0023582i,-0.0012948-0.00090624i,-0.0011541-1.8333e-05i,1.2355e-05-0.00059037i,0.000257-0.00058571i,-0.00038312+8.3405e-06i,-0.00017364+0.00035447i,-7.5433e-05+0.00048521i,-0.00030997+0.00092223i,-0.00029445+0.0010005i,-0.00028676+0.00066951i,-0.00021923+0.00072327i,-8.0735e-05+0.00030792i
-0.0017669+0.00034537i,-0.0017654+0.00058645i,-0.0019597-0.00021001i,-0.0019498-0.00087207i,-0.0017743-0.0009509i,-0.0012635-0.00075007i,-0.0010761-0.0010664i,-0.0014571-0.0010898i,-0.0012715-0.00057857i,-0.00060166+4.4272e-05i,-0.00053096+0.000233i,0.00074249+0.0003242i,0.0020427+0.00040252i,0.001071+0.00016808i,0.00069773+0.0003829i,0.0010779+0.00028997i,0.00084986-0.00044358i,0.0004434-0.00024731i,0.00030066+4.6225e-05i,-4.4943e-05-0.00016557i,-0.0005419+0.00035788i,-0.00014245+0.00098904i,0.00016462+5.1902e-05i
-0.0015802-0.00061003i,-0.0012282-0.0011672i,-0.0013894-0.0010716i,-0.00066769-0.00069075i,0.00045357-0.00091036i,0.00065917-0.0010672i,0.0011483-0.0014645i,0.0013916-0.0020988i,0.00086797-0.0020904i,0.0002672-0.0016219i,0.00025795-0.00062373i,0.00022382+0.00031983i,-9.8776e-05+0.00052563i,2.9213e-05+0.00035059i,0.0002106-0.00042035i,0.00068035-0.00057071i,0.0011366+0.00055509i,0.00078459+0.0013005i,-8.269e-05+0.00043218i,0.00013818-0.00036882i,0.00094853+0.00043177i,0.0006247+0.00070411i,-0.00031419-0.00040599i
-0.00069036-0.00038421i,-0.00084312-0.00088108i,-0.0011376-6.8298e-05i,-0.00048579+0.00010338i,0.00036736-0.00016779i,0.00051036-0.00025866i,0.00062365-0.00079691i,5.7043e-05-0.0016512i,-5.743e-05-0.0019448i,0.00036183-0.0021971i,-0.00030787-0.0018742i,-0.0010279-0.0011278i,-0.00028862-0.00089196i,0.00021014-0.00048001i,-6.7454e-05+0.00054661i,-0.00011855+0.00038413i,-8.2074e-05-0.00028353i,-0.00048989-0.00050382i,-0.00097537-0.00022203i,-0.00092817+0.00024343i,-0.00080543+0.00023147i,-0.00094616+0.00027766i,-0.00051137+0.00081114i
0.0018918+0.00037041i,0.0022461-0.00028833i,0.0015691-0.0020292i,0.00077393-0.0018376i,-0.00026901-0.00098914i,-0.00053298-0.00090767i,-0.00080695-0.0013204i,-0.0013652-0.0016795i,-0.0010533-0.0018703i,0.00029403-0.0017212i,-0.00011194-0.00022901i,-0.0013801+0.0008612i,-0.00055564+0.00062226i,-0.00018888+0.00091231i,-0.00043014+0.0012268i,-0.00013511+0.00085239i,0.00014586+6.2839e-05i,-3.3149e-05+0.00020505i,-2.4114e-05+0.00096878i,-5.9502e-05+0.00031631i,-0.00028815-0.0005551i,-0.00027889-0.00064417i,-0.00050135+7.8334e-05i
-0.00053281-0.0013005i,-0.00022028-0.0010791i,4.8629e-05-0.00078698i,-0.00036904-0.00053952i,-0.00027682-0.0013161i,-0.00016478-0.001786i,-0.00012003-0.0017059i,-8.9224e-06-0.0019478i,-0.00041796-0.0020487i,-0.0008493-0.0011087i,-0.0011105-0.00019667i,-0.00067058+0.00018269i,2.5626e-05+0.00034497i,5.0834e-05+0.00019726i,9.7088e-05-0.00025192i,0.00041558-0.00028881i,0.00016708-0.00011931i,-0.00051054-0.00072783i,-0.00032445+1.6452e-05i,0.00011784+0.0010994i,0.00015501+0.00068928i,-7.0284e-05+0.00039554i,-9.9416e-05+0.00029494i
-0.0020094-0.00087083i,-0.0018219-0.00044736i,-0.00049843+0.00032013i,0.00011531+2.5425e-06i,-9.4422e-05-0.00066878i,0.00014253-0.0009519i,0.00012936-0.0011821i,-0.0001223-0.0014848i,0.00016408-0.0011515i,0.0002658-0.00033841i,0.00029089+0.000644i,0.00027787+0.00069507i,0.0011765-6.5478e-05i,0.0018734+5.3959e-05i,0.00084195-6.2073e-05i,-2.1938e-05-0.00057286i,-0.00044539-0.0006453i,-0.00023161-0.00021559i,-0.00031499+0.00097214i,-0.0007057+0.001343i,5.8715e-05+0.00082212i,0.001116+0.00045311i,0.0011827+0.00044787i
-0.00012964+0.0010431i,0.00040125+0.0014672i,0.00029951+0.001033i,0.00037427-0.00049632i,0.0003437-0.0017386i,-0.00084948-0.0015362i,-0.0015477-0.0012126i,-0.0006372-0.0017002i,3.9599e-05-0.0016227i,0.00017308-0.0013499i,0.0004494-0.0012605i,0.00025488-0.0013162i,3.2401e-05-0.00091178i,-9.3043e-05-0.00026183i,-6.6022e-05-0.00026551i,-0.00012876-0.00078617i,-0.00038041-0.00086267i,-2.2698e-06-7.9722e-05i,0.00038887+0.0004511i,0.0006583+0.00039132i,0.00048998+0.00048088i,0.00032311+0.00030014i,0.00062052-0.00021692i
0.00013076-0.0013591i,-0.00042667-0.0013589i,-0.0012419-0.00092387i,-0.0013194-0.00028112i,-0.00025171-9.3114e-05i,0.00025781-0.00086841i,0.00016886-0.0014102i,-0.00056618-0.0017203i,-0.00092388-0.0016717i,-0.0012354-0.0014376i,-0.00093708-0.0013701i,0.00052652-6.4767e-05i,0.00091594+0.00083099i,0.0011008+0.00062039i,0.0012535-0.00017915i,0.00071953-0.00050216i,0.00020373-0.00058076i,-0.0005425-0.00050817i,-0.00059667-4.9483e-05i,0.00043516+0.0002085i,0.00030516+5.1042e-05i,-0.00017347+0.00060997i,7.9568e-05+0.0007474i
-0.0017398+0.00042067i,-0.00060775-2.2335e-05i,-0.00043245+4.6091e-06i,-0.0015746-0.0010488i,-0.0018725-0.0022723i,-0.0011012-0.0021902i,-7.5055e-06-0.0014116i,-0.00019016-0.0014721i,-0.00034992-0.0023339i,0.00089897-0.0012421i,0.0016107+0.00055727i,0.0011606+0.00081726i,0.00036301+0.00053493i,6.1493e-05-8.2326e-05i,0.00039708-0.00021096i,2.004e-05-0.00041249i,-0.0007009+0.00030205i,-0.0010432+0.00098889i,-9.2284e-06+0.0004447i,0.00034752+0.0005098i,-0.00035555+0.00061196i,-0.0006284+0.00031734i,-0.00033843+1.252e-05i
0.00019045-0.0010679i,0.00088666-0.0020448i,0.00077461-0.0026492i,-1.9341e-05-0.00391i,-0.00098529-0.0034253i,-0.0017315-0.0019951i,-0.0014846-0.0015921i,-0.00077504-0.0013032i,-0.00040282-0.00080979i,-4.4898e-05-0.0013358i,6.2779e-05-0.0015938i,0.00023403-0.0012079i,0.0010798-0.00089318i,0.00053491-0.00050283i,-0.00064948-0.00094427i,3.9597e-05-0.00065845i,0.00022571-0.00027909i,-0.00045505-0.00061309i,-0.00028866-0.0008947i,0.00029938-0.00045711i,0.0006311-0.00041089i,0.00030912-0.0001572i,-0.00010154+0.00082427i
-0.00087324-0.00012838i,-0.00029954+0.00033113i,-0.00022047+5.1732e-05i,-0.00019072-0.00071899i,-0.00064508-0.0016191i,-0.00062876-0.0023811i,-0.00066186-0.0030689i,-0.00092006-0.003388i,-0.00032492-0.0026044i,0.00032117-0.0011011i,0.00035021+9.5792e-07i,0.00032068-0.00039493i,0.000435-0.001524i,0.00034715-0.001034i,0.00038247+0.00026576i,0.00089541-0.00026177i,0.0011208-0.00098156i,-0.0002268-0.00073001i,-0.00048173+0.00026906i,-5.7685e-05+0.00034843i,5.9581e-05-0.00022678i,-0.00029317+2.6689e-05i,-0.00059985+0.00025378i
-0.00014225-0.0016301i,-0.00045647-0.0013446i,-0.00083582-0.00092097i,-0.0016259-0.00025421i,-0.0016004-0.00018159i,-0.00082869-0.0011498i,-6.0785e-05-0.0023518i,-0.00050208-0.0028206i,-0.0011886-0.0024481i,-0.00059349-0.0013495i,-0.00050347-0.00026193i,0.00024338+0.00040358i,0.0010651+0.00010138i,0.0015431+0.00016801i,0.0013325+0.00014245i,0.0010805-0.00083114i,0.00067937-0.00059836i,-0.00086924+0.00030803i,-0.0013503+0.00073836i,-0.00041847+0.00094488i,0.00068162+0.0014528i,0.0011686+0.0011223i,0.00095396+0.00068467i
0.00013398+0.00023247i,4.2084e-05+0.00027619i,0.0004417-0.00033173i,0.00010638-0.0014658i,-0.000508-0.0024342i,-0.00078764-0.0014887i,-0.0004964-0.00090909i,0.00060063-0.00098746i,0.0014397-0.00091748i,0.0012769-0.00072557i,0.00047872-0.0006385i,0.00082153-0.00019855i,0.0011355+4.2463e-06i,0.0006228+0.0003085i,-1.3147e-05+0.00044455i,-4.471e-05+0.000335i,4.7229e-05+0.00070587i,0.00017321+0.00032894i,0.00027254+0.00020753i,-0.0004081-0.00017028i,-0.00023023-0.00048802i,0.0009687+0.00045685i,0.001535+0.00073658i
0.00078527+0.00072324i,0.0012767+0.0013757i,0.00044887+0.0005611i,-3.476e-05-0.0011496i,0.00023513-0.0026863i,-6.9888e-05-0.0030126i,-0.00054384-0.0023111i,-0.00026858-0.0021008i,-0.00026858-0.0019145i,-0.00022955-0.0018205i,0.00033349-0.0016002i,0.00055585-7.4136e-06i,4.7724e-05+0.00037267i,-0.00050376-0.00040734i,-0.0005348-0.0004523i,-0.00027301-0.00020218i,2.2364e-05+0.00030029i,4.5547e-06+0.00061265i,-0.00028383+1.3084e-05i,-0.00074676-0.00068589i,-0.00068906-0.00042022i,-0.00014885+0.00017307i,0.00050239+0.00063131i
-0.00078295-0.0018507i,-0.0010763-0.0015156i,-0.0012168-0.0015924i,-0.00069477-0.00070974i,-0.00088725+6.3948e-05i,-0.00030303-0.00036557i,0.0009874-0.0012338i,0.00051127-0.0020402i,0.00022765-0.0026502i,0.00035088-0.0021754i,0.00031513-0.0011351i,0.00033993-0.00060783i,0.00023318-0.00010105i,0.00054646+0.0003796i,0.0011908+0.0010072i,0.0007616+0.0018576i,5.4514e-05+0.0011209i,7.3818e-05-3.0938e-05i,0.00031889-0.00047009i,0.00011901+0.00021111i,-0.00050741+0.00073563i,-0.00080743+0.00024501i,-0.00055972-6.3674e-05i
0.0012687-8.5058e-05i,0.00092381-0.0011029i,0.00012048-0.0024053i,-0.00058524-0.002939i,-0.00091279-0.0024714i,-0.00048709-0.0010195i,-0.00022231-0.0010127i,-1.2672e-05-0.002186i,-0.0003344-0.0026094i,-0.0007772-0.0019659i,-0.00022495-6.3952e-05i,0.00026409+0.00097754i,0.0010608+0.00058438i,0.0013668+0.00041757i,0.00076475+0.00095019i,0.00084772+0.0012518i,0.00094804+0.00088493i,0.00015329-0.00023759i,-6.3391e-06-0.0010222i,0.0003247-0.00064055i,-7.0451e-05-4.5328e-05i,-0.00043982+0.00057614i,-0.00085112+0.00046213i
0.0028742+0.0014286i,0.0025236+0.00090754i,0.0026683-0.00045263i,0.0020501-0.0017769i,0.00049366-0.0021531i,-0.00079615-0.0020513i,-0.00075091-0.0021708i,0.00013039-0.0025108i,0.00011483-0.0022572i,-0.00046063-0.0020401i,-0.00092704-0.0019755i,-0.00066424-0.001314i,-0.00029531-0.0013412i,-0.00067282-0.0017241i,-0.00070165-0.0012173i,-0.0004379-0.00061888i,-0.00061484+0.0006169i,-0.0010157+0.0016891i,-0.0011985+0.0011559i,-0.00069972+0.00040501i,-0.00022278+0.0001459i,-0.00018185+0.00010221i,-0.0002062+0.00062989i
-0.00084151-0.0015849i,-0.0011361-0.0019087i,-0.0017361-0.0019199i,-0.0013482-0.0012383i,-0.0013788-0.0014504i,-0.0015128-0.0018347i,-0.0014824-0.0017984i,-0.0010865-0.0018045i,-0.00056552-0.0019227i,-0.00074805-0.0012632i,-0.00071862-0.00048226i,4.2168e-05+9.3966e-05i,0.00059243-6.2132e-05i,0.00040587-0.00061431i,0.00069176-0.00096919i,0.00062976-0.00047451i,-2.9098e-05-0.00018475i,0.0001481-0.0004194i,0.00050317-0.00018035i,-0.00034737-0.00027719i,-0.00081891-0.0002258i,0.00016904-3.6348e-05i,0.00039655-0.00011838i
-0.00028715-2.323e-05i,-0.00049425+0.00088716i,-0.0003105+0.00065364i,0.00019924-0.00036968i,-1.9747e-05-0.00044745i,-0.00044718-0.00045809i,-0.00052796-0.00068173i,-0.00023021-0.0014653i,0.00046417-0.0021689i,0.00069339-0.0015061i,0.00022322-0.0001831i,0.00024137+0.00038264i,0.00046465-9.9185e-05i,-0.00021162-0.00032888i,-0.00019998-0.00034673i,0.00037495-0.00058069i,0.00014617-0.00040043i,0.00010315-0.00050228i,-3.4576e-06-0.00011085i,0.0001169+0.00053698i,0.00075409+0.00082428i,0.00061875-2.7041e-06i,0.00026601-0.00061721i
0.00035878+0.0010308i,0.0010256+0.00089687i,0.0014157+0.00060463i,0.0012739-0.00069665i,0.00060553-0.0016993i,-0.00027245-0.0015786i,-0.0008473-0.0014228i,-0.00094399-0.0010864i,-0.00013287-0.0003496i,0.00037392-0.00050395i,0.0002931-0.00052744i,0.00014654+0.00017794i,0.00037065+0.00019425i,0.00073271-0.00015198i,0.0003411+0.00042979i,-0.00027432+1.1421e-06i,-0.00045331-0.00076284i,-0.00059527-0.00061814i,-0.0011456-0.0001857i,-0.0011843+0.00034007i,-0.0010454+0.00046895i,-0.00033826+0.00078889i,0.00024908+0.0011482i
0.00044018-0.00014961i,-3.6974e-05+0.00045042i,4.8906e-05-0.00056211i,-0.00032552-0.0016756i,-0.00048728-0.0019313i,0.00032797-0.0015754i,0.00038247-0.0017211i,0.0003701-0.0023064i,-0.00032019-0.0026307i,-0.00095287-0.0019993i,-0.00026395-0.0006231i,0.0004387+0.00069305i,0.00065697+0.00085332i,0.00073754+0.00038151i,0.00013283-0.00016572i,-0.00043724-0.0014321i,-0.00033966-0.0026528i,-0.00032535-0.0024269i,-0.00092868-0.0010744i,-0.0015049-0.00050942i,-0.0012139-0.00024035i,-0.00016926-0.00018496i,0.00037842-0.00048788i
-0.00011266-0.0014016i,-0.00044298-0.00057536i,-7.1327e-06-0.00034459i,0.00043482-0.00045232i,4.297e-05-0.0009663i,-0.00036169-0.00053045i,0.00034319-9.0813e-05i,0.00045736-0.00085491i,0.00045085-0.0021372i,0.0002478-0.0028439i,-0.000456-0.0013188i,-3.9137e-05+0.00018332i,0.00051442-2.078e-05i,6.8029e-05-0.00049412i,-0.00022894-0.0003912i,0.00035902+0.00048117i,0.00049644+0.00019065i,-0.00040179-0.00072436i,-0.00078129-0.00083927i,-0.00033859-0.00022043i,-0.00014677+0.00044945i,-1.1048e-05+0.00088141i,0.00013022+0.00057186i
0.00076695-0.00047469i,0.00081472-0.00039251i,0.0013545-0.0013941i,0.00054594-0.0023141i,-0.00040248-0.0025917i,-2.6062e-05-0.0024826i,0.00038155-0.0022867i,0.00057052-0.0021068i,0.00080729-0.0019095i,1.7702e-05-0.0014073i,-0.00038879-0.00064225i,-3.3447e-05+5.6569e-05i,0.00024578+0.0003473i,0.0002805+0.00028285i,0.00016393+0.00011001i,0.00054831+0.00018573i,0.00043238+0.00035908i,0.00083748+0.00088471i,0.001062+0.00075348i,0.00013635+0.00015058i,-0.00053856-0.0005642i,-0.00028178-0.00054387i,2.5773e-05-0.00023389i
0.00071893-0.00072961i,0.00058106-0.00035772i,0.0013339-0.00028005i,0.00070443-0.00030283i,0.00020753-0.00073307i,0.0013643-0.0014277i,0.0011093-0.0021745i,-4.6651e-05-0.0022303i,5.8631e-05-0.0023461i,-0.00010268-0.0024817i,-0.00082386-0.0014487i,9.2528e-05-0.00042675i,0.00082842+0.0007192i,0.00018091+0.0012332i,0.00016675+0.00032806i,0.00049574-0.00060533i,-3.548e-05-0.00099219i,-0.00061255-0.00096766i,-0.0010077-0.00030123i,-0.0013812+0.00049238i,-0.00085282+0.00086795i,-0.00010954+0.00076093i,-7.9597e-05-3.0119e-05i
0.0017443-0.0014607i,0.0014934-0.0011734i,0.00036566-0.002848i,-0.00015701-0.0029979i,-0.0011654-0.0022886i,-0.00144-0.0015282i,-0.0011142-0.001001i,-0.00071855-0.0014154i,-0.00052299-0.0021723i,-0.0012324-0.0019564i,-0.0014159-0.00031691i,7.908e-05+0.00071611i,0.00097982+0.001515i,0.00028655+0.0019222i,0.00013564+0.00082082i,0.0002057-0.0002821i,0.00052875-0.00028125i,0.00053806+0.00058449i,-0.0003392+0.00068227i,-0.00053095+0.00050288i,-0.00039221+0.00067548i,-4.205e-05+0.00047895i,9.6333e-05+0.00044952i
0.0014254-0.00081306i,0.00070719-0.001673i,0.00062198-0.0021715i,-6.3555e-05-0.0013622i,-0.00124-0.0012724i,-0.00088662-0.0010571i,4.5484e-05-0.00076043i,0.00017811-0.0010007i,0.0001408-0.0012621i,-0.00047346-0.0016134i,-0.0010533-0.0010432i,-0.0006992+0.00039103i,2.8722e-05+0.00081082i,0.00064845+3.7826e-06i,0.0006397-0.00033612i,0.00027793-0.00027269i,0.00024542+0.00042131i,0.00033206+0.00024528i,0.00011976-0.000163i,-0.00011243-0.00040264i,-0.00025113-0.00068079i,0.00021516+0.00012344i,0.00069214+0.00058608i
0.0001001-0.00075679i,0.00054105-5.3745e-05i,0.00067371-0.00031212i,0.0002695-0.0013099i,0.00010685-0.0013675i,2.1801e-05-0.001476i,0.00013731-0.0012591i,0.00063574-0.0014575i,0.0011279-0.0019383i,0.00091734-0.0010819i,0.00026962+0.00010972i,-0.00012888+0.00083372i,0.00040176+0.0010268i,0.0010381+0.00046468i,0.00076409+0.00023415i,0.00055522+0.00010171i,0.00023936+0.00011664i,5.1025e-05+0.00080801i,0.00046419+0.0010574i,0.00018684+0.0010222i,-0.00019656+0.0010835i,-0.00028064+0.00028219i,-0.00062968-0.00024427i
0.0014891+0.0013646i,0.0013034+0.0010144i,0.00012934+0.0005156i,-0.00036913-0.0012795i,-8.1824e-05-0.0026845i,-0.00052803-0.0030721i,-0.00078605-0.0024257i,-6.4966e-05-0.0018956i,0.00044948-0.0021515i,-0.00017284-0.0019209i,-0.001149-0.00086276i,-0.0009921+0.0001183i,3.22e-05+0.00061625i,0.0004415+0.00046521i,-0.00041932-0.00018155i,-0.0007279-4.2169e-05i,-0.00014358-5.8644e-05i,-5.8075e-05-0.00027721i,-0.00026113+0.00040697i,-0.00065598+0.0001555i,-0.00041569-9.0659e-05i,8.2711e-05+0.00048125i,0.0001734+0.00011151i
