-0.0001505+0.00087666i,0.0013719+0.0015368i,0.0018737+0.0019999i,0.0023833+0.0023973i,0.0020436+0.0025631i,-0.00049895+0.0023937i,-0.0013396+0.0016787i,0.00012089+0.0018987i,0.0013995+0.0023783i,0.0013803+0.0016748i,0.0011264+0.00030689i,0.0017134+0.00058727i,0.0012848+0.0011908i,0.00071452+0.00079834i,0.00047629+0.00078363i,0.0004823+0.00087045i,0.00022058+0.00074362i,0.0001665+2.433e-06i,0.00057042-0.0003767i,0.00067797-0.00023009i,5.3921e-05-0.00037101i,0.0001813-0.00079864i,0.00032359-0.0015891i
4.679e-05+0.00059529i,-0.00055695+0.00062594i,-9.325e-05+0.0024259i,0.0018452+0.0046396i,0.0026418+0.0047706i,0.0014657+0.0025447i,0.00011659+0.0005433i,0.00035431+0.0005725i,0.0007012+0.0016254i,0.00022862+0.0013847i,-0.00024274+0.00098493i,-0.00028176+0.00056064i,-0.00050838+0.00077555i,-0.00029746+0.0014465i,0.00036427+0.0011955i,0.0013724+0.00093217i,0.0012305+0.0010975i,0.00036529+0.00093059i,-3.4206e-05+0.0010801i,-8.3492e-05+0.001261i,-0.00017246+0.0010142i,7.9849e-05+0.0010011i,0.00067596+0.0014602i
-0.0011527-0.00016893i,-0.00099345+0.00086461i,0.00030908+0.0032443i,0.0016446+0.0049854i,0.0026212+0.0047643i,0.0029564+0.0018769i,0.0029853+3.7715e-05i,0.002229+0.00023142i,0.0015853+0.00022772i,0.0011948+0.00088549i,0.00013853+0.0014269i,0.00029116+0.000821i,0.00078834+0.00073378i,0.00021577+0.001189i,0.0001863+0.00082559i,0.00025432+0.0010942i,0.00028151+0.0011229i,0.0004015+4.7173e-05i,0.00065318-0.00085374i,0.00011369-0.00073277i,-0.00036653-0.00020913i,0.00065718+9.4965e-05i,0.00097266+3.0723e-06i
0.0011092-0.0016847i,0.00058446-0.00070969i,-0.0009578+0.0016325i,-0.0016977+0.0042989i,-0.001136+0.0046427i,0.00040825+0.0022182i,0.0012082+0.00044979i,0.0017631+0.00083856i,0.0027366+0.00080056i,0.0014286+4.3233e-06i,1.1462e-05+0.00021941i,-0.00024841+0.00073604i,-0.00019434+0.00073267i,-0.00029066+0.00075401i,0.00044515+0.00089967i,0.0013179+0.0010106i,0.0013199+0.0015316i,0.00059009+0.0016847i,-0.00026611+0.00066879i,-0.00040148-0.00033186i,-0.00015985-0.00078615i,2.2034e-05-0.00083798i,-1.1241e-05-0.00063018i
0.0012435-0.00053374i,-0.000462+0.00019445i,-0.0016557+0.0010974i,-0.0011755+0.0034725i,-0.00064893+0.0042073i,-0.00054546+0.0025596i,-0.00041955+0.001771i,-1.7234e-07+0.0015482i,0.00067335+0.00051117i,0.0013014+0.00047695i,0.00048392+0.00087241i,-0.0002105+3.6231e-05i,-0.00037866+0.00013926i,-0.00027189+0.00069607i,0.00033974+0.00086106i,0.00068253+0.00028939i,0.00080092-8.997e-05i,0.00039484+0.00013446i,0.00045302+6.5499e-05i,0.00025542-0.00079872i,-0.00063075-0.00093442i,-0.00053696-0.00025329i,-0.00023086-0.0010375i
-0.00066669+0.00032737i,-0.00019714+0.001922i,-0.00045337+0.0038441i,0.00030508+0.0050402i,0.001351+0.004056i,0.0018609+0.0016533i,0.0016044+0.00044059i,0.0015003+0.00067652i,0.0018711+0.00053627i,0.00068722+0.00034306i,-0.0004471+0.00080297i,-0.00023954+0.000987i,-5.1611e-05+0.00127i,-0.00024933+0.00088203i,5.6157e-05+0.00033293i,0.00015766+0.0011214i,0.00042104+0.0010771i,0.00048815+0.00064521i,0.00028403+0.00048436i,0.00090186-0.00023882i,0.00067174-0.00049344i,5.1029e-05-0.00045927i,-0.00040683-0.00054823i
-0.0019293+0.00014075i,-0.0015984+0.0010943i,-0.00084745+0.0034267i,-0.00036216+0.0045626i,0.0011851+0.0038794i,0.0017633+0.0017485i,0.0011182+0.00023714i,0.0008365+0.0011929i,0.00037733+0.0013628i,-0.0003821+0.0011335i,-0.00039519+0.0013857i,0.00064586+0.001522i,0.00086291+0.0012618i,0.00022046+0.0012793i,-0.00057614+0.00086701i,-0.00054631+0.00066699i,0.0002622+0.0006488i,0.00022623+0.00038811i,-0.00060912+0.0004147i,-0.00050916+0.00091898i,0.00021071+0.00069097i,0.00057072+4.5368e-05i,0.00049469-0.00047533i
-0.00093614-0.0006652i,-0.0010552+0.000926i,-0.0015013+0.0028197i,-0.00134+0.0045692i,4.9747e-05+0.0050291i,0.0014165+0.0033492i,0.00071763+0.0021906i,-0.00033268+0.001673i,0.00026627+0.0018301i,0.0002277+0.0015898i,-9.7827e-05+0.0010694i,0.00011479+0.00019431i,-8.2119e-05-4.2949e-05i,-0.00043003+0.00098181i,-0.00084901+0.0018052i,-0.00057717+0.0020295i,0.00054694+0.0015146i,0.00067304+0.0010204i,0.00045357+0.00054536i,0.00069043+0.00021434i,0.00013919-2.9875e-05i,0.0001383-0.00055916i,0.00023516-0.00033373i
-0.00060559-0.00058654i,-0.00014914-0.00019832i,-0.00084273+0.0021178i,-0.00031753+0.0053966i,0.0010504+0.0059342i,0.0014178+0.0031089i,0.00085005+0.00055515i,0.00073659+0.00054815i,0.0010388+0.00074971i,0.00032585+3.2839e-05i,-2.6143e-05-0.00058682i,0.00028695-0.00022015i,0.00029509-7.7022e-05i,-2.6043e-05-0.00054225i,0.00053878+2.0282e-05i,0.00066498-7.4832e-05i,-7.6801e-05+6.8556e-05i,-0.0001995+0.0010788i,-8.8641e-05+0.0011101i,-4.4991e-05+0.00036964i,0.00018156-0.00058559i,0.00029851-0.00089684i,-2.013e-05-0.00031398i
0.00090993+8.5099e-05i,-3.7764e-05+0.0011682i,-0.0011428+0.0022772i,-0.00022538+0.0038076i,0.0014943+0.0044157i,0.0020803+0.0028496i,0.0015845+0.0011975i,0.0018797+0.00066153i,0.0022419+0.00058802i,0.001265+0.00071557i,0.00054876+0.00094962i,0.00031799+0.0002263i,-8.7704e-05-0.0003448i,0.00087936+0.00054389i,0.0014396+0.0011256i,-1.032e-05+0.0007859i,-0.00091852+0.0008891i,0.00024562+0.001011i,0.0014457+0.0006144i,0.0013911+0.00044895i,0.00021213-0.00033003i,-0.00018791-0.00074927i,0.0009633-0.00052526i
-0.0012384-0.00020874i,-0.0010454+0.00082092i,-0.0015728+0.0036492i,-0.0013553+0.005682i,0.00066491+0.0052219i,0.0024863+0.0020628i,0.0022775+0.0001121i,0.0017647+0.00070371i,0.0011125+0.00052321i,0.00030756+0.00022913i,-0.00020572+0.0011856i,-2.6945e-05+0.0012393i,0.00020442+0.00014465i,0.00021999+0.00021101i,0.00026104+0.0013492i,0.00017576+0.0015691i,0.00071102+0.0010115i,0.00093432-0.00029171i,0.00022731-0.0010852i,0.00043086-0.00051446i,0.00082353-0.00022027i,0.00038277-0.00083092i,-0.00021885-0.001251i
0.001108-0.0002457i,-0.00086855+0.0023465i,-0.0015179+0.0048982i,-0.00084142+0.0072004i,0.00080911+0.0069956i,0.002067+0.0038053i,0.00081053+0.0016543i,0.00037416+0.0019457i,0.00052209+0.0014784i,0.00026461+0.00047449i,0.00029569+0.00067991i,0.00058162+0.00092282i,0.00050401+0.00049413i,-0.00017871+0.00022919i,0.00014181+0.0010182i,8.9045e-05+0.0010892i,-0.00026441+0.00046963i,-0.00018347+2.4046e-05i,-0.00021119-0.00080005i,-0.00035896-0.00091639i,-0.00040962-0.00032795i,-0.00046977-2.175e-05i,-0.00087487-0.00035405i
0.0013253+0.00083348i,0.00047563+0.0013104i,0.00031907+0.0028507i,6.7665e-06+0.0049607i,-0.00021203+0.004781i,2.5666e-05+0.0027881i,-0.0006217+0.0018698i,-0.00053762+0.0018503i,0.00067932+0.001402i,0.00069443+0.00058095i,0.00020132-0.00033183i,0.00010058-0.001053i,-2.2773e-05-0.00078495i,0.0001648+0.00053954i,0.0010426+0.0018808i,0.00089404+0.0024242i,0.00023587+0.00095871i,0.00012978-0.0002789i,-7.4072e-05-0.00031595i,0.00065699+0.00021312i,0.0013471+0.00041517i,0.00095609+0.00036936i,0.00093456+0.00063521i
-0.0011288+0.00024576i,-0.00063858+0.0015182i,-5.9579e-05+0.0037788i,0.00082365+0.0057262i,0.0020186+0.0052918i,0.0028199+0.0028335i,0.0018195+0.0015631i,0.0011733+0.0016071i,0.0012393+0.0016284i,0.00083953+0.0012607i,0.00059085+0.0010832i,0.00063766+0.00052788i,0.00051979+0.00032173i,0.0003905+0.00080257i,0.00012448+0.0015138i,-6.948e-05+0.001316i,0.00019151+0.00044018i,0.00022858-9.0844e-05i,0.00019887+0.00037733i,-0.00038034+0.00039931i,-0.00052175-0.00050585i,-0.00028037-0.00027832i,-0.00023009-0.00026106i
-0.00076382-0.0020005i,8.3545e-05-0.00051039i,-9.0967e-05+0.0026218i,0.00087121+0.0056727i,0.0020965+0.005394i,0.0020225+0.002028i,0.00089283+6.842e-05i,0.0015477+0.00081431i,0.0020604+0.0011912i,0.00073295+0.0010055i,-0.00044019+0.0014602i,-0.00058343+0.0010121i,-0.00010465+0.00031177i,8.7111e-05+0.00067706i,-0.00011338+0.0013189i,-0.00019814+0.0012331i,0.00025738+0.00042816i,0.00041093-0.00020425i,0.00061066-0.00025776i,0.00042545+0.00020928i,-0.00023345+0.00013854i,-0.00049853-0.00046581i,-0.00078309-0.0013092i
0.00015514-7.2024e-05i,0.00039053+0.001748i,0.00035966+0.0043246i,0.00048268+0.0056905i,0.00056924+0.0044053i,0.0012209+0.0015998i,0.0010066+9.1072e-05i,0.00029589+0.00083649i,-0.00030855+0.00087811i,0.00016724+0.00026217i,0.00095337+0.00028772i,0.001061+0.00030942i,0.00023221+0.00053428i,-0.00068132+0.00039256i,-0.00049634+0.00041154i,0.0003636+0.00063248i,0.00091369+0.00055186i,0.00038192+3.645e-05i,-0.00036731-0.00042278i,-0.00029094-0.00049369i,0.00033844-0.0005129i,0.00080918-0.00054332i,0.000531-0.00047669i
0.0011922+0.0019142i,0.00089889+0.0019486i,0.0011697+0.0024169i,0.0018656+0.0035132i,0.0018978+0.0029713i,0.00039817+0.00035456i,-0.0014286-0.00033793i,-0.00067821+0.00075618i,0.00096564+0.0009934i,0.00077461+4.8653e-05i,0.00073676+0.00031419i,0.0007063+0.00080632i,0.00027898+0.00035494i,0.00038228-2.9313e-06i,0.00066931+0.00039961i,0.00023948+0.00096402i,0.00015519+0.0012925i,-0.00030436+0.0013368i,-0.0011432+0.0010607i,-0.00042658+0.00018151i,0.00072339-0.00035213i,0.0013959-0.00039004i,0.0013931-2.8151e-05i
0.0014973-0.00027711i,0.0012153+0.00066393i,0.0015066+0.0033251i,0.0014787+0.0052047i,0.0018226+0.0044746i,0.0014592+0.0023986i,0.001051+0.0015082i,0.001485+0.0019248i,0.0019648+0.0015513i,0.0017178+0.0010447i,0.0010179+0.0011533i,8.7565e-05+0.0012498i,-0.00032404+0.00090321i,-0.00031312+0.00087655i,-0.00043057+0.00089308i,-0.00025604-5.6903e-07i,-0.00026901-0.00044673i,-0.00059198-2.4591e-05i,-0.0004156+6.3217e-05i,0.00028616-0.00011299i,0.00087906-1.2292e-06i,0.00097181-0.00033393i,0.00027231-0.00052632i
-0.00075953+0.00028638i,-4.5601e-06+0.0016782i,0.00056226+0.0032971i,0.0015035+0.0043746i,0.0015532+0.0048729i,0.00036306+0.0033955i,-0.0007503+0.0022568i,-0.00044078+0.0023435i,0.00091229+0.0018585i,0.00094281+0.00078939i,0.00062315+0.00093029i,0.00052835+0.0012646i,0.00022731+0.0013012i,7.9688e-05+0.0012798i,0.00023686+0.00040625i,0.00052058-0.0002415i,0.00035351-0.00013997i,-0.00012238-0.00060621i,8.118e-05-0.00016208i,-4.8072e-05+0.00062084i,7.0263e-05+0.00068516i,1.4464e-05+9.5063e-05i,-0.00021067-0.00040095i
-0.0003432-0.00012558i,-0.00094607+0.00091035i,-0.0012158+0.0034645i,-0.00063018+0.0056498i,0.0011062+0.0051364i,0.0016056+0.0028903i,0.00069126+0.0011701i,0.00087636+0.0010565i,0.0019458+0.0013724i,0.001811+0.00077106i,0.0015111+1.319e-05i,0.0013592+0.00043279i,0.00057571+0.00085863i,-8.7086e-05+0.00096442i,-0.00040968+0.0011393i,-0.0001105+0.0010956i,-0.00011784+0.0011432i,0.00010359+0.00090652i,0.00043395+0.00033051i,0.00045365+0.00015035i,0.00017728+0.00018757i,-0.00044178+0.00031849i,-0.00040832+0.00020879i
